State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Bihar,Khagaria,40.22,46.33,39.44,43.68,26.62,39.08,,,17.0,31.0,84.22,,99.85,74.3,55.54,53.57,,,,61.09,60.2,54.4,75.0
Bihar,Kishanganj,29.0,46.32,,,,,,35.64,44.0,48.03,50.19,,64.68,57.21,55.54,53.56,57.56,59.52,56.68,61.12,54.56,54.41,67.02
Bihar,Lakhisarai,,,,,,,,,,,84.22,,,,,,,,,,,,
Bihar,Madhepura,40.7,48.01,40.55,39.7,36.49,41.59,,35.65,43.99,48.03,50.18,,64.68,57.22,60.41,85.46,66.68,61.05,67.27,61.05,29.6,54.57,
Bihar,Madhubani,38.67,36.2,17.81,18.39,13.18,31.39,,33.63,35.39,39.05,54.57,,48.3,56.77,35.76,44.49,52.91,57.13,59.5,84.44,43.17,48.43,107.04
Bihar,Munger,,,,,,,,14.44,,,67.61,,69.13,48.66,60.13,61.54,57.25,56.8,60.98,80.04,64.47,85.6,84.35
Bihar,Muzaffarpur,48.77,44.93,43.46,39.96,38.38,39.6,,37.98,17.64,28.9,50.56,,77.76,38.47,50.4,34.54,36.55,35.32,33.89,31.39,34.12,35.99,34.87
Bihar,Nalanda,32.76,40.35,37.56,34.76,41.54,42.04,,42.4,54.94,30.66,24.76,,49.76,52.82,65.55,44.53,54.23,63.48,58.99,,54.7,54.44,73.63
Bihar,Nawada,45.02,44.52,46.15,42.59,35.95,27.05,,36.99,35.0,48.78,50.18,,60.46,24.74,113.26,110.48,97.39,48.97,78.3,60.8,54.68,55.95,
Bihar,Pashchim Champaran,49.06,51.21,48.45,43.41,42.47,42.46,,40.52,46.22,31.69,38.92,,46.33,48.59,64.26,49.41,52.14,60.36,109.61,61.68,54.9,59.15,66.9
Bihar,Patna,28.12,40.13,37.91,37.71,37.96,41.34,,35.65,44.0,43.95,36.74,,55.14,56.66,58.4,50.78,56.75,60.68,57.15,61.13,54.61,54.42,73.63
Bihar,Purbi Champaran,33.49,36.26,35.62,44.0,40.06,33.08,,36.82,44.6,129.23,40.64,,47.57,41.9,50.81,18.41,54.48,43.32,45.19,53.07,44.73,41.67,80.95
Bihar,Purnia,28.85,46.33,40.14,,,41.0,,,,,43.56,,46.68,48.0,62.35,47.63,53.69,59.08,94.45,60.5,55.0,57.3,69.0
Bihar,Rohtas,23.08,37.41,31.01,34.3,41.93,42.05,,,,30.96,28.47,,42.89,52.08,66.05,43.56,,,,,,,
Bihar,Saharsa,40.5,46.33,43.1,40.79,48.0,44.52,,45.59,43.95,48.0,50.25,,54.46,50.02,62.35,54.72,55.34,59.32,89.84,60.67,50.17,56.8,68.87
Bihar,Samastipur,38.57,35.67,40.19,34.93,13.37,28.97,,16.47,35.79,39.05,48.95,,46.58,57.07,36.0,44.8,53.17,59.28,48.17,82.42,48.6,53.29,105.37
Bihar,Saran,27.02,50.75,39.72,40.49,36.87,42.28,,34.4,,46.49,41.69,,48.09,54.41,57.43,51.44,52.87,53.13,68.7,62.7,55.73,66.15,80.76
Bihar,Sheikhpura,46.83,52.23,40.69,46.15,48.0,13.0,,1.38,16.17,40.74,67.81,,65.78,48.66,60.44,53.57,55.63,56.0,56.75,61.12,64.45,54.4,74.75
Bihar,Sheohar,33.64,47.15,21.31,18.11,34.15,39.6,,43.1,57.37,51.04,21.22,,116.53,92.39,64.57,102.73,54.17,102.28,99.7,69.63,53.67,53.46,67.44
Bihar,Sitamarhi,34.13,47.26,31.81,39.53,34.71,53.92,,28.56,45.56,33.65,82.37,,53.62,48.41,58.63,56.57,58.46,66.5,53.21,53.62,64.19,56.78,68.87
Bihar,Siwan,35.89,47.16,35.34,38.63,35.72,35.87,,32.39,44.15,46.54,46.23,,35.81,54.42,55.13,66.1,127.99,61.25,54.24,49.11,39.83,53.84,58.72
Bihar,Supaul,,,,,,,,,,,50.18,,,48.9,60.0,85.1,62.09,,,,,,
Bihar,Vaishali,41.27,47.14,44.0,39.96,37.78,39.6,,37.98,45.56,51.03,46.79,,77.76,52.21,50.4,45.9,52.63,60.67,63.67,48.94,47.67,46.51,
Chhattisgarh,Balod,,,,,,,,,,,,12.0,2.61,2.56,3.25,2.47,0.71,1.3,2.49,0.53,27.43,16.12,2.94
Chhattisgarh,Baloda Bazar,,,,,,,,,,,,7.68,3.35,3.52,3.58,2.75,2.7,0.62,0.19,,0.42,,1.7
Chhattisgarh,Balrampur,,,,,,,,,,,,13.12,3.6,47.91,4.45,2.56,0.91,1.2,0.48,1.15,11.58,12.02,1.17
Chhattisgarh,Bastar,2.99,3.34,2.99,3.34,3.29,3.09,3.52,3.39,3.24,6.19,2.49,6.03,3.49,2.79,5.3,2.99,2.23,1.53,2.4,1.08,19.93,16.01,1.92
Chhattisgarh,Bemetara,,,,,,,,,,,,3.03,2.95,3.3,7.88,3.53,1.97,7.29,5.78,5.95,28.79,22.59,2.59
Chhattisgarh,Bijapur,,,,,,,,4.0,3.0,,2.0,4.0,,,,,,,,4.0,,,
Chhattisgarh,Bilaspur,3.13,3.08,3.03,3.13,3.13,3.08,3.08,3.18,3.08,4.93,3.08,26.67,3.17,3.06,3.35,3.19,2.83,0.75,0.23,1.8,1.24,35.58,1.24
Chhattisgarh,Dantewada,3.22,3.36,2.5,2.5,2.0,2.44,3.07,3.8,3.21,,2.55,,,,,,,,,,,,
Chhattisgarh,Dhamtari,3.0,,4.0,4.0,3.74,3.0,3.0,3.0,3.0,5.43,3.2,20.5,3.23,3.0,7.8,3.25,2.45,2.26,1.25,2.74,12.73,17.14,2.36
Chhattisgarh,Durg,1.43,1.69,1.6,1.89,1.8,1.83,1.83,2.03,1.89,4.9,3.08,11.98,2.95,3.04,5.09,3.09,1.03,0.01,3.39,2.17,16.63,10.84,1.67
Chhattisgarh,Gariyaband,,,,,,,,,,,,4.97,3.36,3.51,3.91,3.01,2.54,,2.59,2.32,21.25,29.26,0.88
Chhattisgarh,Gaurella Pendra Marwahi,,,,,,,,,,,,,,,,,,,,,7.5,,
