State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Madhya Pradesh,Singrauli,,,0.37,0.22,,,,,,,,,,,,
Madhya Pradesh,Tikamgarh,,,0.34,0.26,,,,,,,,,,,,
Madhya Pradesh,Umaria,,,0.22,0.15,,,,,,,,,,,,
Manipur,Bishnupur,,1.26,0.93,1.32,1.2,0.98,1.1,1.23,1.16,1.18,1.11,1.11,,,,
Manipur,Chandel,,0.86,,0.87,0.9,1.02,1.01,1.07,1.08,1.13,1.05,1.12,,,,
Manipur,Churachandpur,,1.1,0.6,1.1,1.11,0.94,1,1.04,1.1,1.12,1.12,0.8,,,,
Manipur,Imphal East,,1.19,0.9,1.39,1.19,1.12,1.12,1.21,1.21,1.28,1.26,1.15,,,,
Manipur,Imphal West,,1.31,0.9,1.34,1.26,0.98,1.07,1.15,1.18,1.2,1.18,1.06,,,,
Manipur,Senapati,,1.1,0.64,1.03,1.01,1.01,1.02,1.03,1.05,1.11,1.19,1.16,,,,
Manipur,Tamenglong,,1.04,0.5,1,1,0.96,1,0.98,1.05,1.11,1.08,1.01,,,,
Manipur,Thoubal,,1.13,0.94,1.19,1.04,0.96,0.98,0.98,1.06,1.1,1.08,1.06,,,,
Manipur,Ukhrul,,1.17,0.69,1.17,1.2,1.01,1.05,0.99,1.08,1.12,1.29,1,,,,
Meghalaya,East Garo Hills,,,,,,,0.79,0.87,0.95,0.87,0.87,0.87,0.87,0.87,,0.87
Meghalaya,East Jaintia Hills,,,,,,,0.95,1,1.05,1.05,1.05,1.05,1.05,1.05,,1.13
Meghalaya,East Khasi Hills,,,,,,,3.2,3.25,3.47,3.16,3.16,3.16,3.16,3.16,,3.2
Meghalaya,North Garo Hills,,,,,,,0.76,0.82,0.88,0.88,0.88,0.88,0.88,0.88,,0.9
Meghalaya,Ri Bhoi,,,,,,,1.4,1.45,1.58,1.46,1.46,1.46,1.46,1.46,,1.5
Meghalaya,South Garo Hills,,,,,,,0.85,0.92,0.96,0.98,0.98,0.98,0.99,0.99,,0.99
Meghalaya,South West Garo Hills,,,,,,,1.51,1.52,1.68,1.69,1.69,1.7,1.7,1.7,,1.7
Meghalaya,South West Khasi Hills,,,,,,,2.33,2.67,3,3,3,3,3,3,,3
Meghalaya,West Garo Hills,,,,,,,1.81,1.82,1.86,1.86,1.86,1.86,1.87,1.87,,1.87
Meghalaya,West Jaintia Hills,,,,,,,1.06,1.15,1.26,1.26,1.26,1.26,1.26,1.26,,1.3
Meghalaya,West Khasi Hills,,,,,,,1.54,1.57,1.73,1.73,1.73,1.73,1.73,1.73,,1.75
Mizoram,Aizawl,,,,1.47,1.22,1.11,0.79,0.78,1.27,1.3,4.42,4.31,1.99,1.65,1.65,0.99
Mizoram,Champhai,,,,1.1,1.22,0.05,1.21,1.1,1.32,1.12,1.06,1.08,1.05,0.73,0.8,0.81
Mizoram,Hnahthial,,,,,,,,,,,,,,1.67,,1.71
Mizoram,Khawzawl,,,,,,,,,,,,,,1.25,1.2,1.22
Mizoram,Kolasib,,,,1.08,1.17,1.41,1.43,1.3,1.32,1.32,1.33,1.36,1.88,1.91,1.88,1.91
Mizoram,Lawngtlai,,,,0.52,0.5,,0.45,0.42,0.93,0.93,0.92,0.97,1.01,1,0.93,0.9
