state,district,year,arecanut_whole_year_yield_tonne_per_hectare
,,2011 - 2012,2.5
,,2013 - 2014,1.5
,,2014 - 2015,1.5
,,2015 - 2016,1.67
,,2016 - 2017,1.67
,,2017 - 2018,1.33
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,1.13
,,2021 - 2022,1.19
,,2022 - 2023,2.0
,Tiruchirappalli,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.92
,,2005 - 2006,1.23
,,2006 - 2007,1.27
,,2007 - 2008,3.22
,,2008 - 2009,3.06
,,2009 - 2010,2.34
,,2011 - 2012,2.45
,,2013 - 2014,1.54
,,2014 - 2015,3.64
,,2015 - 2016,4.31
,,2016 - 2017,1.3
,,2017 - 2018,4.21
,,2018 - 2019,2.97
,,2019 - 2020,2.97
,,2020 - 2021,0.82
,,2021 - 2022,1.47
,,2022 - 2023,2.15
,Tirunelveli,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,2.13
,,2005 - 2006,1.15
,,2006 - 2007,0.61
,,2007 - 2008,1.84
,,2008 - 2009,0.28
,,2009 - 2010,0.35
,,2011 - 2012,0.34
,,2013 - 2014,1.3
,,2014 - 2015,0.01
,,2015 - 2016,0.12
,,2016 - 2017,0.33
,,2017 - 2018,0.63
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,1.0
,,2021 - 2022,1.25
,,2022 - 2023,1.0
,Tirupathur,2020 - 2021,1.29
,,2021 - 2022,1.43
,,2022 - 2023,1.8
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,0.86
,,2011 - 2012,1.29
,,2013 - 2014,1.57
,,2014 - 2015,0.5
,,2015 - 2016,0.59
,,2016 - 2017,2.0
,,2017 - 2018,1.43
,,2018 - 2019,7.07
,,2019 - 2020,7.07
,,2020 - 2021,3.23
,,2021 - 2022,3.12
,,2022 - 2023,3.69
,Tiruvannamalai,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.4
,,2013 - 2014,1.2
,,2014 - 2015,1.0
,,2015 - 2016,1.7
,,2016 - 2017,0.0
,,2017 - 2018,2.45
,,2018 - 2019,0.2
,,2019 - 2020,2.0
,,2020 - 2021,1.15
,,2021 - 2022,1.27
,,2022 - 2023,1.56
,Vellore,2005 - 2006,1.0
,,2006 - 2007,1.4
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.43
,,2013 - 2014,1.31
,,2014 - 2015,1.25
,,2015 - 2016,1.67
,,2016 - 2017,1.83
,,2017 - 2018,2.25
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,Villupuram,2004 - 2005,1.4
,,2005 - 2006,0.8
,,2006 - 2007,1.4
,,2007 - 2008,2.13
,,2008 - 2009,1.98
,,2009 - 2010,1.92
,,2011 - 2012,2.45
,,2013 - 2014,1.26
,,2014 - 2015,0.89
,,2015 - 2016,1.05
,,2016 - 2017,1.35
,,2017 - 2018,0.73
,,2018 - 2019,2.19
,,2019 - 2020,2.19
,Virudhunagar,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,2.0
,,2011 - 2012,2.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.5
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,1.0
,,2022 - 2023,2.0
West Bengal,paraganas north,2000 - 2001,1.93
,,2001 - 2002,1.85
,,2002 - 2003,2.59
,,2003 - 2004,2.89
,,2005 - 2006,5.13
,,2006 - 2007,1.09
,,2007 - 2008,2.66
,,2008 - 2009,2.66
,paraganas south,2000 - 2001,0.75
,,2001 - 2002,1.8
,,2002 - 2003,1.85
,,2003 - 2004,2.0
,,2005 - 2006,1.61
,,2006 - 2007,1.61
,,2007 - 2008,1.43
,,2008 - 2009,1.42
,Bankura,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,18.4
,,2003 - 2004,2.9
,,2005 - 2006,1.03
,,2006 - 2007,0.82
,,2007 - 2008,0.82
,,2008 - 2009,0.82
,Birbhum,2000 - 2001,1.17
,,2001 - 2002,1.18
,,2002 - 2003,1.21
,,2003 - 2004,1.32
,,2005 - 2006,1.18
,,2006 - 2007,1.95
,,2007 - 2008,1.61
,,2008 - 2009,1.62
,Coochbehar,2000 - 2001,1.5
,,2001 - 2002,1.5
,,2002 - 2003,1.5
,,2003 - 2004,1.5
,,2005 - 2006,5.0
,,2006 - 2007,5.75
,,2007 - 2008,1.12
,,2008 - 2009,1.24
,Darjeeling,2000 - 2001,2.07
,,2001 - 2002,2.08
,,2002 - 2003,1.95
,,2003 - 2004,1.96
,,2005 - 2006,3.45
,,2006 - 2007,2.4
,,2007 - 2008,2.18
,,2008 - 2009,1.84
,Dinajpur dakshin,2000 - 2001,1.25
,,2001 - 2002,1.22
,,2002 - 2003,1.25
,,2003 - 2004,1.23
,,2005 - 2006,0.98
,,2006 - 2007,0.99
,,2007 - 2008,1.0
,,2008 - 2009,0.88
,Dinajpur uttar,2000 - 2001,5.55
,,2001 - 2002,4.65
,,2002 - 2003,4.83
,,2003 - 2004,6.04
,,2005 - 2006,12.12
,,2006 - 2007,1.1
,,2007 - 2008,1.58
,,2008 - 2009,1.34
,Hooghly,2000 - 2001,1.85
,,2001 - 2002,1.9
,,2002 - 2003,2.5
,,2003 - 2004,2.56
,,2005 - 2006,2.95
,,2006 - 2007,2.9
,,2007 - 2008,1.51
,,2008 - 2009,1.51
,Howrah,2000 - 2001,2.1
,,2001 - 2002,2.4
,,2002 - 2003,2.16
,,2003 - 2004,2.18
,,2005 - 2006,2.09
,,2006 - 2007,2.03
,,2007 - 2008,2.08
,,2008 - 2009,2.0
,Jalpaiguri,2000 - 2001,1.09
,,2001 - 2002,1.09
,,2002 - 2003,1.1
,,2003 - 2004,1.12
,,2005 - 2006,1.99
,,2006 - 2007,2.27
,,2007 - 2008,2.28
,,2008 - 2009,2.23
,Maldah,2000 - 2001,1.19
,,2001 - 2002,1.15
,,2002 - 2003,1.81
,,2003 - 2004,1.81
,,2005 - 2006,1.79
,,2006 - 2007,1.8
,,2007 - 2008,1.54
,,2008 - 2009,1.52
,Medinipur east,2000 - 2001,1.65
,,2001 - 2002,1.65
,,2002 - 2003,1.65
,,2003 - 2004,2.5
,,2005 - 2006,0.26
,,2006 - 2007,0.27
,,2007 - 2008,1.24
,,2008 - 2009,1.57
,Medinipur west,2000 - 2001,1.28
,,2001 - 2002,1.29
,,2002 - 2003,2.39
,,2003 - 2004,1.6
,,2005 - 2006,1.06
,,2006 - 2007,1.16
,,2007 - 2008,1.26
,,2008 - 2009,1.26
,Murshidabad,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,1.77
,,2003 - 2004,1.59
,,2005 - 2006,1.73
,,2006 - 2007,1.75
,,2007 - 2008,2.0
,,2008 - 2009,1.95
,Nadia,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.01
,,2003 - 2004,1.01
,,2005 - 2006,2.76
,,2006 - 2007,2.77
,,2007 - 2008,2.74
,,2008 - 2009,2.74
,Purba bardhaman,2000 - 2001,2.9
,,2001 - 2002,2.89
,,2002 - 2003,3.0
,,2003 - 2004,2.53
,,2005 - 2006,2.83
,,2006 - 2007,2.62
,,2007 - 2008,1.83
,,2008 - 2009,1.83
,Purulia,2003 - 2004,1.0
,,2008 - 2009,0.8
