state,district,year,arecanut_rabi_yield_tonne_per_hectare
,,2010 - 2011,0.72
,,2011 - 2012,0.54
,,2012 - 2013,0.44
,,2013 - 2014,2.96
,,2014 - 2015,3.54
,,2015 - 2016,1.05
,,2016 - 2017,1.73
,,2017 - 2018,1.51
,,2018 - 2019,0.98
,,2019 - 2020,1.66
,,2020 - 2021,1.17
,,2021 - 2022,1.17
,,2022 - 2023,1.19
,Hojai,2019 - 2020,0.61
,,2020 - 2021,0.62
,,2021 - 2022,0.62
,,2022 - 2023,0.62
,Jorhat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.63
,,2011 - 2012,0.74
,,2012 - 2013,0.64
,,2013 - 2014,0.66
,,2014 - 2015,0.73
,,2015 - 2016,0.64
,,2016 - 2017,0.76
,,2017 - 2018,0.96
,,2018 - 2019,0.84
,,2019 - 2020,0.76
,,2020 - 2021,0.65
,,2021 - 2022,0.65
,,2022 - 2023,0.65
,Kamrup,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.73
,,2011 - 2012,1.13
,,2012 - 2013,1.09
,,2013 - 2014,0.94
,,2014 - 2015,1.76
,,2015 - 2016,1.17
,,2016 - 2017,1.08
,,2017 - 2018,0.93
,,2018 - 2019,1.26
,,2019 - 2020,0.63
,,2020 - 2021,0.98
,,2021 - 2022,0.98
,,2022 - 2023,1.02
,Kamrup metro,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.64
,,2011 - 2012,1.06
,,2012 - 2013,0.13
,,2013 - 2014,1.01
,,2014 - 2015,0.76
,,2015 - 2016,0.83
,,2016 - 2017,1.21
,,2017 - 2018,1.0
,,2018 - 2019,0.82
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Karbi anglong,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.38
,,2011 - 2012,0.76
,,2012 - 2013,0.98
,,2013 - 2014,0.31
,,2014 - 2015,0.42
,,2015 - 2016,0.75
,,2016 - 2017,0.54
,,2017 - 2018,0.54
,,2018 - 2019,0.56
,,2019 - 2020,0.52
,,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.51
,Karimganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,0.36
,,2012 - 2013,0.34
,,2013 - 2014,0.4
,,2014 - 2015,1.23
,,2015 - 2016,0.23
,,2016 - 2017,0.1
,,2017 - 2018,0.33
,,2018 - 2019,0.29
,,2019 - 2020,0.48
,,2020 - 2021,0.35
,,2021 - 2022,0.35
,,2022 - 2023,0.07
,Kokrajhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.63
,,2011 - 2012,1.69
,,2012 - 2013,19.3
,,2013 - 2014,0.81
,,2014 - 2015,1.48
,,2015 - 2016,0.81
,,2016 - 2017,0.83
,,2017 - 2018,0.51
,,2018 - 2019,0.83
,,2019 - 2020,0.62
,,2020 - 2021,0.63
,,2021 - 2022,0.63
,,2022 - 2023,0.65
,Lakhimpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.32
,,2011 - 2012,0.67
,,2012 - 2013,0.65
,,2013 - 2014,0.68
,,2014 - 2015,0.45
,,2015 - 2016,0.49
,,2016 - 2017,0.34
,,2017 - 2018,0.3
,,2018 - 2019,0.53
,,2019 - 2020,0.26
,,2020 - 2021,0.49
,,2021 - 2022,0.49
,,2022 - 2023,0.39
,Majuli,2019 - 2020,0.46
,,2020 - 2021,0.47
,,2021 - 2022,0.47
,,2022 - 2023,0.47
,Marigaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.01
,,2011 - 2012,0.73
,,2012 - 2013,0.6
,,2013 - 2014,0.74
,,2014 - 2015,0.97
,,2015 - 2016,0.71
,,2016 - 2017,0.77
,,2017 - 2018,0.82
,,2018 - 2019,0.76
,,2019 - 2020,0.75
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Nagaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
