state,district,year,linseed_rabi_yield_tonne_per_hectare
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Bhojpur,2000 - 2001,0.7
,,2001 - 2002,0.83
,,2002 - 2003,0.82
,,2003 - 2004,0.79
,,2004 - 2005,0.95
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.86
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.83
,,2022 - 2023,0.89
,Buxar,2000 - 2001,0.7
,,2001 - 2002,0.83
,,2002 - 2003,0.82
,,2003 - 2004,0.79
,,2004 - 2005,0.95
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.86
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,0.88
,Darbhanga,2000 - 2001,0.74
,,2001 - 2002,0.61
,,2002 - 2003,0.6
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.85
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.87
,,2015 - 2016,0.86
,,2016 - 2017,0.88
,,2017 - 2018,0.84
,,2018 - 2019,0.84
,,2019 - 2020,0.88
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Gaya,2000 - 2001,0.63
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,Gopalganj,2000 - 2001,0.99
,,2001 - 2002,1.0
,,2002 - 2003,0.74
,,2003 - 2004,0.79
,,2004 - 2005,0.85
,,2005 - 2006,0.85
,,2006 - 2007,0.86
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.84
,,2010 - 2011,0.8
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2022 - 2023,0.85
,Jamui,2000 - 2001,0.68
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.74
,,2004 - 2005,0.84
,,2005 - 2006,0.82
,,2006 - 2007,0.82
,,2007 - 2008,0.82
,,2008 - 2009,0.82
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.92
,Jehanabad,2000 - 2001,0.63
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.84
,,2010 - 2011,0.81
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.85
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Kaimur (bhabua),2000 - 2001,0.83
,,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.79
,,2004 - 2005,0.91
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.86
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Katihar,2000 - 2001,0.64
,,2001 - 2002,0.5
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.74
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.79
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Khagaria,2000 - 2001,0.69
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.74
,,2004 - 2005,0.84
,,2005 - 2006,0.83
,,2006 - 2007,0.81
,,2007 - 2008,0.83
,,2008 - 2009,0.81
,,2009 - 2010,0.86
,,2010 - 2011,0.83
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.86
,,2014 - 2015,0.86
,,2015 - 2016,0.9
,,2016 - 2017,0.77
,,2017 - 2018,0.82
,,2018 - 2019,0.87
,,2019 - 2020,0.86
,,2020 - 2021,0.9
,,2021 - 2022,0.82
,,2022 - 2023,0.85
,Kishanganj,2000 - 2001,0.64
,,2001 - 2002,0.56
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.74
,,2005 - 2006,0.86
,,2006 - 2007,0.85
,,2007 - 2008,0.74
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.83
,,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Lakhisarai,2000 - 2001,0.68
,,2001 - 2002,0.71
,,2002 - 2003,0.76
,,2003 - 2004,0.74
,,2004 - 2005,0.84
,,2005 - 2006,0.81
,,2006 - 2007,0.82
,,2007 - 2008,0.84
,,2008 - 2009,0.83
,,2009 - 2010,0.86
,,2010 - 2011,0.83
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2014 - 2015,0.86
,,2015 - 2016,0.92
,,2016 - 2017,0.78
,,2017 - 2018,0.85
,,2021 - 2022,0.81
,,2022 - 2023,1.0
,Madhepura,2000 - 2001,0.74
,,2001 - 2002,0.74
,,2002 - 2003,0.74
,,2003 - 2004,0.78
,,2004 - 2005,0.84
,,2005 - 2006,0.87
,,2006 - 2007,0.85
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.84
,,2010 - 2011,0.82
,,2011 - 2012,0.87
,,2012 - 2013,0.87
,,2013 - 2014,0.85
,,2014 - 2015,0.86
