state,district,year,linseed_rabi_yield_tonne_per_hectare
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2015 - 2016,0.27
,,2016 - 2017,0.3
,,2017 - 2018,0.3
,,2018 - 2019,1.12
,,2020 - 2021,0.65
,,2021 - 2022,1.3
,,2022 - 2023,2.48
,Leh ladakh,2003 - 2004,1.0
,,2011 - 2012,1.2
,,2015 - 2016,1.6
,Poonch,2001 - 2002,1.0
,,2002 - 2003,0.1
,,2003 - 2004,0.05
,,2010 - 2011,0.56
,Pulwama,2000 - 2001,0.59
,,2001 - 2002,1.07
,,2002 - 2003,1.12
,,2003 - 2004,0.9
,,2006 - 2007,0.96
,,2007 - 2008,0.96
,,2008 - 2009,1.03
,,2009 - 2010,1.08
,,2010 - 2011,2.16
,,2011 - 2012,1.2
,,2012 - 2013,0.94
,,2013 - 2014,0.94
,,2015 - 2016,0.07
,,2016 - 2017,1.03
,,2017 - 2018,0.51
,,2018 - 2019,1.12
,,2019 - 2020,1.22
,,2020 - 2021,0.87
,,2021 - 2022,2.52
,,2022 - 2023,2.48
,Rajauri,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2011 - 2012,
,,2015 - 2016,0.3
,,2019 - 2020,1.22
,Reasi,2009 - 2010,0.15
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,Samba,2008 - 2009,1.1
,,2010 - 2011,0.56
,,2011 - 2012,0.71
,,2012 - 2013,0.7
,,2013 - 2014,0.7
,Srinagar,2000 - 2001,0.58
,,2001 - 2002,1.05
,,2002 - 2003,1.18
,,2003 - 2004,0.9
,Udhampur,2001 - 2002,0.43
,,2006 - 2007,0.3
,,2007 - 2008,0.3
Jharkhand,Bokaro,2017 - 2018,0.55
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2022 - 2023,0.58
,Chatra,2017 - 2018,0.78
,,2018 - 2019,0.78
,,2019 - 2020,0.79
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Deoghar,2017 - 2018,0.65
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Dhanbad,2017 - 2018,0.62
,,2018 - 2019,0.61
,,2019 - 2020,0.69
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.71
,Dumka,2017 - 2018,0.7
,,2018 - 2019,0.52
,,2019 - 2020,0.48
,,2020 - 2021,0.62
,,2021 - 2022,0.62
,,2022 - 2023,0.48
,East singhbum,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.65
,Garhwa,2017 - 2018,0.53
,,2018 - 2019,0.41
,,2019 - 2020,0.41
,,2020 - 2021,0.46
,,2021 - 2022,0.65
,,2022 - 2023,0.47
,Giridih,2017 - 2018,0.48
,,2018 - 2019,0.48
,,2019 - 2020,0.49
,,2020 - 2021,0.63
,,2021 - 2022,0.62
,,2022 - 2023,0.62
,Godda,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.68
,,2020 - 2021,0.7
,,2021 - 2022,0.63
,,2022 - 2023,0.6
,Gumla,2017 - 2018,0.79
,,2018 - 2019,0.78
,,2019 - 2020,0.81
,,2020 - 2021,0.8
,,2021 - 2022,0.41
,,2022 - 2023,0.8
,Hazaribagh,2017 - 2018,0.7
,,2018 - 2019,0.45
,,2019 - 2020,0.3
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Jamtara,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.65
,Khunti,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Koderma,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Latehar,2017 - 2018,0.53
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Lohardaga,2017 - 2018,0.33
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.43
,,2021 - 2022,0.45
,,2022 - 2023,0.53
,Pakur,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.9
,,2022 - 2023,0.85
,Palamu,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.48
,,2020 - 2021,0.48
,,2021 - 2022,0.49
,,2022 - 2023,0.49
,Ramgarh,2017 - 2018,0.71
,,2018 - 2019,0.5
,,2019 - 2020,0.31
,,2020 - 2021,0.56
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Ranchi,2017 - 2018,0.5
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Sahebganj,2017 - 2018,0.24
,,2018 - 2019,0.24
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.24
,,2022 - 2023,0.24
,Saraikela kharsawan,2017 - 2018,1.1
,,2018 - 2019,0.41
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.1
,,2022 - 2023,1.1
,Simdega,2017 - 2018,0.62
,,2018 - 2019,0.62
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,West singhbhum,2017 - 2018,0.57
,,2018 - 2019,0.49
,,2019 - 2020,0.51
,,2020 - 2021,0.52
,,2021 - 2022,0.51
,,2022 - 2023,0.52
Karnataka,Bagalkot,2000 - 2001,0.3
,,2001 - 2002,0.42
,,2002 - 2003,0.44
,,2003 - 2004,0.07
,,2004 - 2005,0.2
,,2005 - 2006,0.21
,,2006 - 2007,0.18
,,2007 - 2008,0.5
,,2008 - 2009,0.4
,,2009 - 2010,0.27
,,2010 - 2011,0.25
,,2011 - 2012,0.36
,,2012 - 2013,0.14
,,2013 - 2014,0.15
,,2014 - 2015,0.26
,,2015 - 2016,0.13
,,2016 - 2017,0.05
,,2017 - 2018,0.32
,,2018 - 2019,0.15
,,2019 - 2020,0.67
,,2020 - 2021,0.62
,,2021 - 2022,0.33
,,2022 - 2023,0.4
,Bangalore rural,2018 - 2019,0.0
,,2019 - 2020,0.5
,,2020 - 2021,0.47
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Belgaum,2000 - 2001,0.3
,,2001 - 2002,0.23
,,2002 - 2003,0.19
,,2003 - 2004,0.2
,,2004 - 2005,0.18
,,2005 - 2006,0.42
,,2006 - 2007,0.42
,,2007 - 2008,0.33
,,2008 - 2009,0.43
,,2009 - 2010,0.25
,,2010 - 2011,0.36
,,2011 - 2012,0.52
,,2012 - 2013,0.19
,,2013 - 2014,0.56
,,2014 - 2015,0.25
,,2015 - 2016,0.13
,,2016 - 2017,0.19
,,2017 - 2018,0.46
,,2018 - 2019,0.34
,,2019 - 2020,0.45
,,2020 - 2021,0.38
,,2021 - 2022,0.33
,Bellary,2000 - 2001,0.36
,,2001 - 2002,0.32
,,2002 - 2003,0.36
,,2003 - 2004,0.0
,,2004 - 2005,0.2
,,2005 - 2006,0.32
,,2006 - 2007,0.31
,,2007 - 2008,0.4
,,2008 - 2009,0.4
,,2009 - 2010,0.31
,,2010 - 2011,0.29
,,2015 - 2016,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,,2021 - 2022,0.35
,,2022 - 2023,0.33
,Bengaluru urban,2012 - 2013,0.0
,,2013 - 2014,0.5
,,2015 - 2016,0.17
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.38
,,2022 - 2023,0.4
,Bidar,2000 - 2001,0.37
,,2001 - 2002,0.33
,,2002 - 2003,0.35
,,2003 - 2004,0.08
,,2004 - 2005,0.21
,,2005 - 2006,0.33
,,2006 - 2007,0.31
,,2007 - 2008,0.39
,,2008 - 2009,0.38
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.24
,,2012 - 2013,0.18
,,2013 - 2014,0.3
,,2014 - 2015,0.31
,,2015 - 2016,0.12
,,2016 - 2017,0.05
,,2017 - 2018,0.35
,,2018 - 2019,0.2
,,2019 - 2020,0.4
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Bijapur,2000 - 2001,0.47
,,2001 - 2002,0.29
,,2002 - 2003,0.37
,,2003 - 2004,0.01
,,2004 - 2005,0.24
,,2005 - 2006,0.4
,,2006 - 2007,0.46
,,2007 - 2008,0.34
,,2008 - 2009,0.33
,,2009 - 2010,0.28
,,2010 - 2011,0.41
,,2011 - 2012,0.13
,,2012 - 2013,0.16
,,2013 - 2014,0.27
,,2014 - 2015,0.2
,,2015 - 2016,0.08
,,2016 - 2017,0.33
,,2017 - 2018,0.34
,,2018 - 2019,0.21
,,2019 - 2020,0.47
,,2020 - 2021,0.44
,,2021 - 2022,0.37
,,2022 - 2023,0.33
,Chamarajanagar,2014 - 2015,0.33
,,2019 - 2020,0.45
,,2020 - 2021,0.33
,,2021 - 2022,0.35
,Chikballapur,2018 - 2019,0.21
,,2019 - 2020,0.49
,,2020 - 2021,0.45
,,2021 - 2022,0.36
,,2022 - 2023,0.34
,Chikmagalur,2013 - 2014,0.25
,,2014 - 2015,0.5
,,2015 - 2016,0.13
,,2016 - 2017,0.0
,,2018 - 2019,0.0
,,2022 - 2023,0.5
,Chitradurga,2018 - 2019,0.21
,,2019 - 2020,0.5
,,2020 - 2021,0.45
,,2021 - 2022,0.36
,,2022 - 2023,0.33
,Davangere,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.0
,,2005 - 2006,0.33
,,2022 - 2023,0.36
,Dharwad,2000 - 2001,0.37
,,2001 - 2002,0.33
,,2002 - 2003,0.35
,,2003 - 2004,0.07
,,2004 - 2005,0.21
,,2005 - 2006,0.33
,,2006 - 2007,0.3
,,2007 - 2008,0.39
,,2008 - 2009,0.38
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.24
,,2012 - 2013,0.18
,,2013 - 2014,0.3
,,2014 - 2015,0.31
,,2015 - 2016,0.14
,,2018 - 2019,0.25
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,Gadag,2000 - 2001,0.37
,,2001 - 2002,0.23
,,2002 - 2003,0.31
,,2003 - 2004,0.08
,,2004 - 2005,0.24
,,2005 - 2006,0.41
,,2006 - 2007,0.31
,,2007 - 2008,0.56
,,2008 - 2009,0.57
,,2009 - 2010,0.61
,,2010 - 2011,0.27
,,2011 - 2012,0.33
,,2012 - 2013,0.2
,,2013 - 2014,0.42
,,2014 - 2015,0.31
,,2015 - 2016,0.09
,,2016 - 2017,0.02
,,2017 - 2018,0.42
,,2018 - 2019,0.2
,,2019 - 2020,0.5
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Gulbarga,2000 - 2001,0.37
,,2001 - 2002,0.34
,,2002 - 2003,0.35
,,2003 - 2004,0.08
,,2004 - 2005,0.21
,,2005 - 2006,0.33
,,2006 - 2007,0.31
,,2007 - 2008,0.39
,,2008 - 2009,0.38
,,2009 - 2010,0.29
,,2010 - 2011,0.34
,,2011 - 2012,0.25
,,2012 - 2013,0.18
,,2013 - 2014,0.3
,,2014 - 2015,0.31
,,2015 - 2016,0.12
,,2016 - 2017,0.06
,,2017 - 2018,0.35
,,2018 - 2019,0.21
,,2020 - 2021,0.45
,,2021 - 2022,0.33
,,2022 - 2023,0.25
,Hassan,2019 - 2020,0.0
,,2021 - 2022,0.35
,Haveri,2000 - 2001,0.37
,,2001 - 2002,0.34
,,2002 - 2003,0.36
,,2003 - 2004,0.09
,,2004 - 2005,0.2
,,2005 - 2006,0.33
,,2006 - 2007,0.31
,,2007 - 2008,0.4
,,2008 - 2009,0.37
,,2009 - 2010,0.29
,,2010 - 2011,0.34
,,2011 - 2012,0.24
,,2012 - 2013,0.18
,,2013 - 2014,0.3
,,2014 - 2015,0.31
,,2015 - 2016,0.12
,,2016 - 2017,0.08
,,2017 - 2018,0.35
,,2018 - 2019,0.17
,,2019 - 2020,0.4
,,2020 - 2021,0.44
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Kolar,2020 - 2021,0.33
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Koppal,2000 - 2001,0.37
,,2001 - 2002,0.42
,,2002 - 2003,0.31
,,2003 - 2004,0.08
,,2004 - 2005,0.18
,,2005 - 2006,0.35
,,2006 - 2007,0.11
,,2007 - 2008,0.32
,,2008 - 2009,0.35
,,2009 - 2010,0.29
,,2010 - 2011,0.29
,,2011 - 2012,0.13
,,2012 - 2013,0.28
,,2013 - 2014,0.35
,,2014 - 2015,0.58
,,2015 - 2016,0.15
,,2016 - 2017,0.04
,,2017 - 2018,0.37
,,2018 - 2019,0.27
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2022 - 2023,0.33
,Mandya,2019 - 2020,0.4
,,2020 - 2021,0.33
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Mysore,2014 - 2015,0.27
,,2015 - 2016,0.13
,,2019 - 2020,0.5
,,2021 - 2022,0.4
,Raichur,2000 - 2001,0.37
,,2001 - 2002,0.34
,,2002 - 2003,0.35
,,2003 - 2004,0.08
,,2004 - 2005,0.21
,,2005 - 2006,0.33
,,2006 - 2007,0.31
,,2007 - 2008,0.4
,,2008 - 2009,0.33
,,2009 - 2010,0.51
,,2010 - 2011,0.47
,,2011 - 2012,0.55
,,2012 - 2013,0.39
,,2013 - 2014,0.44
,,2014 - 2015,0.77
,,2019 - 2020,0.4
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Ramanagara,2020 - 2021,0.44
,,2022 - 2023,0.33
,Shimoga,2000 - 2001,0.33
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.0
,,2004 - 2005,0.21
,,2005 - 2006,0.33
,,2006 - 2007,0.4
,,2007 - 2008,0.36
,,2008 - 2009,0.5
,,2009 - 2010,0.32
,,2010 - 2011,0.33
,,2011 - 2012,0.23
,,2012 - 2013,0.33
,,2013 - 2014,0.5
,,2015 - 2016,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,Tumkur,2000 - 2001,0.33
,,2004 - 2005,0.19
,,2005 - 2006,0.33
,,2012 - 2013,0.16
,,2013 - 2014,0.0
,,2014 - 2015,0.32
,,2015 - 2016,0.13
,,2016 - 2017,0.05
,,2017 - 2018,0.34
,,2018 - 2019,0.21
,,2019 - 2020,0.49
,,2020 - 2021,0.45
,,2021 - 2022,0.36
,,2022 - 2023,0.34
,Uttar kannad,2000 - 2001,0.37
,,2001 - 2002,0.29
,,2002 - 2003,0.33
,,2003 - 2004,0.1
,,2004 - 2005,0.21
,,2005 - 2006,0.0
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.38
,,2020 - 2021,0.5
,Yadgir,2010 - 2011,0.35
,,2011 - 2012,0.26
,,2012 - 2013,0.33
,,2013 - 2014,0.25
,,2016 - 2017,0.0
,,2022 - 2023,0.38
Madhya Pradesh,Agar malwa,2013 - 2014,0.76
,,2017 - 2018,0.79
,,2018 - 2019,0.43
,,2019 - 2020,0.58
,,2020 - 2021,0.67
,,2021 - 2022,0.76
,,2022 - 2023,0.71
,Alirajpur,2009 - 2010,
,,2010 - 2011,0.67
,Anuppur,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.24
,,2008 - 2009,0.24
,,2009 - 2010,
,,2010 - 2011,0.18
,,2011 - 2012,0.32
,,2012 - 2013,0.46
,,2013 - 2014,0.39
,,2014 - 2015,0.33
,,2015 - 2016,0.5
,,2016 - 2017,0.2
,,2017 - 2018,0.36
,,2018 - 2019,0.43
,,2019 - 2020,0.54
,,2020 - 2021,0.61
,,2021 - 2022,0.48
,,2022 - 2023,0.64
,Ashoknagar,2003 - 2004,0.84
,,2004 - 2005,0.92
,,2005 - 2006,1.14
,,2006 - 2007,1.12
,,2007 - 2008,0.97
,,2008 - 2009,1.21
,,2009 - 2010,
,,2010 - 2011,0.84
,,2011 - 2012,1.78
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2017 - 2018,0.4
,,2018 - 2019,1.4
,,2019 - 2020,1.5
,,2020 - 2021,0.55
,,2021 - 2022,1.0
,,2022 - 2023,0.77
,Balaghat,2000 - 2001,0.39
,,2001 - 2002,0.32
,,2002 - 2003,0.46
,,2003 - 2004,0.48
,,2004 - 2005,0.35
,,2005 - 2006,0.41
,,2006 - 2007,0.41
,,2007 - 2008,0.44
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,0.47
,,2011 - 2012,0.65
,,2012 - 2013,0.48
,,2013 - 2014,0.39
,,2014 - 2015,0.67
,,2015 - 2016,0.33
,,2016 - 2017,0.2
,,2017 - 2018,0.37
,,2018 - 2019,0.59
,,2019 - 2020,0.66
,,2020 - 2021,0.39
,,2021 - 2022,0.48
,,2022 - 2023,0.62
,Barwani,2000 - 2001,0.19
,,2001 - 2002,0.01
,,2002 - 2003,0.01
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,
,,2010 - 2011,0.0
,,2011 - 2012,0.58
,,2017 - 2018,0.7
,,2019 - 2020,0.71
,,2020 - 2021,0.0
,,2022 - 2023,1.0
,Betul,2000 - 2001,0.39
,,2001 - 2002,0.46
,,2002 - 2003,0.48
,,2003 - 2004,0.62
,,2004 - 2005,0.64
,,2005 - 2006,0.6
,,2006 - 2007,0.64
,,2007 - 2008,0.59
,,2008 - 2009,0.64
,,2009 - 2010,
,,2010 - 2011,0.61
,,2011 - 2012,0.96
,,2012 - 2013,0.83
,,2013 - 2014,0.76
,,2017 - 2018,0.62
,,2018 - 2019,0.73
,,2019 - 2020,0.66
,,2020 - 2021,0.73
,,2021 - 2022,0.88
,,2022 - 2023,0.0
,Bhind,2000 - 2001,0.26
,,2001 - 2002,0.58
,,2002 - 2003,0.39
,,2003 - 2004,0.59
,,2004 - 2005,0.59
,,2005 - 2006,0.56
,,2006 - 2007,0.48
,,2007 - 2008,0.36
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.42
,,2011 - 2012,0.65
,,2015 - 2016,1.0
,,2017 - 2018,0.54
,Bhopal,2000 - 2001,0.8
,,2001 - 2002,0.71
,,2002 - 2003,0.74
,,2003 - 2004,0.76
,,2004 - 2005,0.85
,,2005 - 2006,0.88
,,2006 - 2007,0.91
,,2007 - 2008,0.89
,,2008 - 2009,0.91
,,2009 - 2010,
,,2010 - 2011,0.7
,,2011 - 2012,1.79
,,2012 - 2013,1.32
,,2013 - 2014,0.69
,,2017 - 2018,1.0
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,2.0
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Burhanpur,2005 - 2006,0.67
,,2007 - 2008,0.0
,,2008 - 2009,0.57
,,2019 - 2020,0.0
,,2020 - 2021,1.0
,Chhatarpur,2000 - 2001,0.39
,,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.44
,,2004 - 2005,0.44
,,2005 - 2006,0.43
,,2006 - 2007,0.32
,,2007 - 2008,0.29
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.44
,,2012 - 2013,0.43
,,2013 - 2014,0.39
,,2014 - 2015,0.67
,,2015 - 2016,0.33
,,2016 - 2017,0.83
,,2017 - 2018,0.75
,,2018 - 2019,0.71
,,2019 - 2020,0.78
,,2020 - 2021,1.1
,,2021 - 2022,0.51
,,2022 - 2023,0.65
,Chhindwara,2000 - 2001,0.36
,,2001 - 2002,0.35
,,2002 - 2003,0.36
,,2003 - 2004,0.52
,,2004 - 2005,0.55
,,2005 - 2006,0.43
,,2006 - 2007,0.55
,,2007 - 2008,0.54
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.47
,,2011 - 2012,1.4
,,2012 - 2013,0.86
,,2013 - 2014,0.94
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2017 - 2018,1.1
,,2018 - 2019,1.0
,,2019 - 2020,1.55
,,2020 - 2021,1.06
,,2021 - 2022,1.0
,,2022 - 2023,0.93
,Damoh,2000 - 2001,0.29
,,2001 - 2002,0.4
,,2002 - 2003,0.28
,,2003 - 2004,0.47
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.47
,,2007 - 2008,0.44
,,2008 - 2009,0.67
,,2009 - 2010,
,,2010 - 2011,0.6
,,2011 - 2012,0.98
,,2012 - 2013,0.67
,,2013 - 2014,0.36
,,2014 - 2015,1.0
,,2015 - 2016,0.4
,,2016 - 2017,0.5
,,2017 - 2018,0.8
,,2018 - 2019,0.87
,,2019 - 2020,0.96
,,2020 - 2021,0.89
,,2021 - 2022,0.85
,,2022 - 2023,0.86
,Datia,2000 - 2001,0.58
,,2001 - 2002,0.67
,,2002 - 2003,0.47
,,2003 - 2004,0.75
,,2004 - 2005,0.58
,,2005 - 2006,0.71
,,2006 - 2007,0.59
,,2007 - 2008,0.48
,,2008 - 2009,0.76
,,2009 - 2010,
,,2010 - 2011,0.47
,,2011 - 2012,0.95
,,2012 - 2013,0.67
,,2022 - 2023,0.0
,Dewas,2000 - 2001,0.6
,,2001 - 2002,0.64
,,2002 - 2003,0.7
,,2003 - 2004,0.74
,,2004 - 2005,0.78
,,2005 - 2006,0.85
,,2006 - 2007,0.94
,,2007 - 2008,0.9
,,2008 - 2009,1.01
,,2009 - 2010,
,,2010 - 2011,1.03
,,2011 - 2012,1.5
,,2012 - 2013,1.41
,,2013 - 2014,0.97
,,2015 - 2016,0.5
,,2017 - 2018,0.45
,,2018 - 2019,1.0
,,2019 - 2020,1.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.0
,Dhar,2000 - 2001,0.19
,,2001 - 2002,0.29
,,2002 - 2003,0.31
,,2003 - 2004,0.4
,,2004 - 2005,0.43
,,2005 - 2006,0.36
,,2006 - 2007,0.44
,,2007 - 2008,0.39
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,0.37
,,2011 - 2012,0.57
,,2012 - 2013,0.33
,,2013 - 2014,1.0
,,2018 - 2019,0.91
,,2019 - 2020,1.09
,,2020 - 2021,0.55
,,2021 - 2022,0.6
,,2022 - 2023,0.56
,Dindori,2000 - 2001,0.17
,,2001 - 2002,0.28
,,2002 - 2003,0.18
,,2003 - 2004,0.31
,,2004 - 2005,0.35
,,2005 - 2006,0.28
,,2006 - 2007,0.3
,,2007 - 2008,0.28
,,2008 - 2009,0.31
,,2009 - 2010,
,,2010 - 2011,0.23
,,2011 - 2012,0.34
,,2012 - 2013,0.35
,,2013 - 2014,0.3
,,2014 - 2015,0.25
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.48
,,2018 - 2019,0.38
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.48
,Guna,2000 - 2001,0.86
,,2001 - 2002,0.91
,,2002 - 2003,0.43
,,2003 - 2004,0.97
,,2004 - 2005,0.9
,,2005 - 2006,1.18
,,2006 - 2007,1.21
,,2007 - 2008,1.07
,,2008 - 2009,1.07
,,2009 - 2010,
,,2010 - 2011,1.0
,,2012 - 2013,1.19
,,2018 - 2019,1.0
,,2019 - 2020,3.0
,,2020 - 2021,0.86
,,2021 - 2022,0.92
,,2022 - 2023,0.74
,Gwalior,2000 - 2001,0.73
,,2001 - 2002,1.28
,,2002 - 2003,0.65
,,2003 - 2004,0.92
,,2004 - 2005,1.26
,,2005 - 2006,1.25
,,2006 - 2007,0.92
,,2007 - 2008,0.77
,,2008 - 2009,1.02
,,2009 - 2010,
,,2010 - 2011,0.99
,,2011 - 2012,1.57
,,2012 - 2013,1.03
,,2013 - 2014,0.67
,,2017 - 2018,0.75
,,2019 - 2020,1.69
,,2020 - 2021,1.0
,Harda,2000 - 2001,0.36
,,2001 - 2002,0.4
,,2002 - 2003,0.43
,,2003 - 2004,0.47
,,2004 - 2005,0.58
,,2005 - 2006,0.72
,,2006 - 2007,0.73
,,2007 - 2008,0.66
,,2008 - 2009,0.95
,,2009 - 2010,
,,2010 - 2011,0.79
,,2011 - 2012,1.3
,,2012 - 2013,0.78
,,2013 - 2014,1.0
,,2018 - 2019,0.0
,,2019 - 2020,1.5
,,2020 - 2021,1.0
,,2022 - 2023,0.0
,Hoshangabad,2000 - 2001,0.46
,,2001 - 2002,0.46
,,2002 - 2003,0.49
,,2003 - 2004,0.51
,,2004 - 2005,0.53
,,2005 - 2006,0.6
,,2006 - 2007,0.62
,,2007 - 2008,0.55
,,2008 - 2009,0.63
,,2009 - 2010,
,,2010 - 2011,0.63
,,2018 - 2019,0.8
,,2019 - 2020,1.5
,,2020 - 2021,1.33
,,2021 - 2022,0.77
,,2022 - 2023,0.66
,Indore,2000 - 2001,0.74
,,2001 - 2002,0.65
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.79
,,2005 - 2006,0.76
,,2006 - 2007,0.81
,,2007 - 2008,0.73
,,2008 - 2009,0.78
,,2009 - 2010,
,,2010 - 2011,0.73
,,2011 - 2012,1.22
,,2012 - 2013,0.77
,,2013 - 2014,0.56
,,2017 - 2018,1.0
,,2018 - 2019,0.8
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.62
,,2022 - 2023,0.33
,Jabalpur,2000 - 2001,0.36
,,2001 - 2002,0.57
,,2002 - 2003,0.51
,,2003 - 2004,0.69
,,2004 - 2005,0.71
,,2005 - 2006,0.88
,,2006 - 2007,0.87
,,2007 - 2008,0.55
,,2008 - 2009,0.72
,,2009 - 2010,
,,2010 - 2011,0.79
,,2011 - 2012,0.97
,,2012 - 2013,0.88
,,2013 - 2014,0.7
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2017 - 2018,0.7
,,2018 - 2019,0.98
,,2019 - 2020,1.26
,,2020 - 2021,0.95
,,2021 - 2022,0.91
,,2022 - 2023,0.82
,Jhabua,2002 - 2003,0.67
,,2003 - 2004,0.57
,,2004 - 2005,0.0
,,2007 - 2008,0.0
,,2017 - 2018,0.75
,,2019 - 2020,0.5
,,2020 - 2021,0.0
,,2022 - 2023,1.0
,Katni,2000 - 2001,0.35
,,2001 - 2002,0.39
,,2002 - 2003,0.27
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2005 - 2006,0.44
,,2006 - 2007,0.36
,,2007 - 2008,0.33
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.53
,,2012 - 2013,0.47
,,2013 - 2014,0.83
,,2014 - 2015,0.67
,,2015 - 2016,0.4
,,2016 - 2017,0.67
,,2017 - 2018,0.65
,,2018 - 2019,0.82
,,2019 - 2020,1.18
,,2020 - 2021,1.09
,,2021 - 2022,0.88
,,2022 - 2023,0.86
,Khandwa,2000 - 2001,0.23
,,2001 - 2002,0.32
,,2002 - 2003,0.34
,,2003 - 2004,0.33
,,2004 - 2005,0.29
,,2005 - 2006,0.35
,,2006 - 2007,0.47
,,2007 - 2008,0.38
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,0.43
,,2012 - 2013,0.4
,,2013 - 2014,0.52
,,2014 - 2015,0.0
