state,district,year,tobacco_kharif_area_hectare,tobacco_kharif_production_tonne,tobacco_kharif_yield_tonne_per_hectare,tobacco_rabi_area_hectare,tobacco_rabi_production_tonne,tobacco_rabi_yield_tonne_per_hectare,tobacco_whole_year_area_hectare,tobacco_whole_year_production_tonne,tobacco_whole_year_yield_tonne_per_hectare,tobacco_summer_area_hectare,tobacco_summer_production_tonne,tobacco_summer_yield_tonne_per_hectare
,,2017 - 2018,46.0,64.0,1.39,,,1.39,,,,,,
,,2018 - 2019,165.0,218.0,1.32,,,1.32,,,,,,
,,2019 - 2020,85.0,131.0,1.54,,,1.54,,,,,,
,,2020 - 2021,,,,,,2.19,,,,,,
,,2021 - 2022,10.0,21.0,2.1,,,2.1,,,,,,
,,2022 - 2023,,,,,,3.03,,,,,,
,Nandyal,2022 - 2023,45.0,105.0,2.33,,,1.95,,,,,,
,Ntr,2022 - 2023,,,,36.0,93.0,2.58,,,,,,
,Palnadu,2022 - 2023,867.0,,2.59,,,2.57,,,,,,
,Parvathipuram manyam,2022 - 2023,,,,71.0,184.0,2.59,,,,,,
,Prakasam,2000 - 2001,,,,,,,,,2.13,,,
,,2001 - 2002,,,,,,,,,1.12,,,
,,2002 - 2003,,,,,,,,,1.11,,,
,,2003 - 2004,,,,,,,,,1.18,,,
,,2004 - 2005,,,,,,,,,1.25,,,
,,2005 - 2006,,,,,,,,,1.26,,,
,,2006 - 2007,,,,,,,,,1.03,,,
,,2007 - 2008,,,,,,,,,1.18,,,
,,2008 - 2009,,,,,,,,,1.47,,,
,,2009 - 2010,,,,,,,,,1.67,,,
,,2010 - 2011,,,,,,,,,1.57,,,
,,2011 - 2012,,,,,,,,,1.74,,,
,,2012 - 2013,,,,,,,,,1.85,,,
,,2013 - 2014,,,3.12,,,1.9,,,,,,
,,2014 - 2015,,,2.05,,,2.12,,,,,,
,,2015 - 2016,,,3.4,,,1.94,,,,,,
,,2016 - 2017,,,3.27,,,2.01,,,,,,
,,2017 - 2018,,,3.25,,,2.0,,,,,,
,,2018 - 2019,,,2.98,,,1.37,,,,,,
,,2019 - 2020,,,3.01,,,1.93,,,,,,
,,2020 - 2021,,,2.79,,,2.32,,,,,,
,,2021 - 2022,819.0,,3.58,,,2.17,,,,,,
,,2022 - 2023,,,2.52,,,1.6,,,,,,
,Spsr nellore,2000 - 2001,,,,,,,12.0,28.0,2.33,,,
,,2001 - 2002,,,,,,,,,1.15,,,
,,2002 - 2003,,,,,,,,,1.15,,,
,,2003 - 2004,,,,,,,,,1.51,,,
,,2004 - 2005,,,,,,,,,0.73,,,
,,2005 - 2006,,,,,,,,,0.92,,,
,,2006 - 2007,,,,,,,,,1.19,,,
,,2007 - 2008,,,,,,,,,0.7,,,
,,2008 - 2009,,,,,,,,,0.66,,,
,,2009 - 2010,,,,,,,,,1.27,,,
,,2010 - 2011,,,,,,,,,1.69,,,
,,2011 - 2012,,,,,,,,,1.61,,,
,,2012 - 2013,,,,,,,,,1.56,,,
,,2013 - 2014,,,,,,0.79,,,,,,
,,2014 - 2015,,,,,,2.44,,,,,,
,,2015 - 2016,,,,,,1.14,,,,,,
,,2016 - 2017,,,,,,1.06,,,,,,
,,2017 - 2018,,,,,,1.16,,,,,,
,,2018 - 2019,,,,,,1.15,,,,,,
,,2019 - 2020,,,,,,1.56,,,,,,
,,2020 - 2021,,,,,,1.47,,,,,,
,,2021 - 2022,,,,,,1.48,,,,,,
,,2022 - 2023,,,,,,1.68,,,,,,
,Sri sathya sai,2022 - 2023,,,,13.0,24.0,1.85,,,,,,
,Srikakulam,2000 - 2001,,,,,,,44.0,103.0,2.34,,,
,,2001 - 2002,,,,,,,40.0,59.0,1.48,,,
,,2002 - 2003,,,,,,,29.0,65.0,2.24,,,
,,2003 - 2004,,,,,,,35.0,75.0,2.14,,,
,,2004 - 2005,,,,,,,35.0,75.0,2.14,,,
,,2005 - 2006,,,,,,,58.0,158.0,2.72,,,
,,2006 - 2007,,,,,,,70.0,165.0,2.36,,,
,,2008 - 2009,,,,,,,112.0,308.0,2.75,,,
,,2009 - 2010,,,,,,,97.0,238.0,2.45,,,
,,2010 - 2011,,,,,,,105.0,337.0,3.21,,,
,,2011 - 2012,,,,,,,50.0,172.0,3.44,,,
,,2013 - 2014,2.0,7.0,3.5,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,,,,,,,2.01,,,
,,2001 - 2002,,,,,,,,,1.53,,,
,,2002 - 2003,,,,,,,,,2.81,,,
,,2003 - 2004,,,,,,,,,1.91,,,
,,2004 - 2005,,,,,,,,,2.0,,,
,,2005 - 2006,,,,,,,,,2.59,,,
,,2006 - 2007,,,,,,,925.0,,2.15,,,
,,2007 - 2008,,,,,,,,,1.0,,,
,,2008 - 2009,,,,,,,,,2.54,,,
,,2009 - 2010,,,,,,,999.0,,2.25,,,
,,2010 - 2011,,,,,,,495.0,,2.75,,,
,,2011 - 2012,,,,,,,580.0,,3.18,,,
,,2013 - 2014,331.0,,3.12,106.0,372.0,3.51,,,,,,
,,2014 - 2015,248.0,774.0,3.12,113.0,340.0,3.01,,,,,,
,,2015 - 2016,376.0,,3.63,87.0,251.0,2.89,,,,,,
,,2016 - 2017,563.0,,3.23,42.0,110.0,2.62,,,,,,
,,2017 - 2018,542.0,,1.89,44.0,114.0,2.59,,,,,,
,,2018 - 2019,345.0,,3.14,18.0,51.0,2.83,,,,,,
,,2019 - 2020,440.0,,3.33,31.0,83.0,2.68,,,,,,
,,2020 - 2021,225.0,717.0,3.19,9.0,25.0,2.78,,,,,,
,,2021 - 2022,95.0,338.0,3.56,7.0,19.0,2.71,,,,,,
,Vizianagaram,2000 - 2001,,,,,,,,,2.33,,,
,,2001 - 2002,,,,,,,,,1.62,,,
,,2002 - 2003,,,,,,,,,2.25,,,
,,2003 - 2004,,,,,,,,,2.13,,,
,,2004 - 2005,,,,,,,,,2.13,,,
,,2005 - 2006,,,,,,,,,2.26,,,
,,2006 - 2007,,,,,,,,,2.17,,,
,,2007 - 2008,,,,,,,,,2.0,,,
,,2008 - 2009,,,,,,,,,2.51,,,
,,2009 - 2010,,,,,,,,,2.21,,,
,,2010 - 2011,,,,,,,,,2.96,,,
,,2011 - 2012,,,,,,,,,1.83,,,
,,2012 - 2013,,,,,,,,,3.0,,,
,,2013 - 2014,3.0,11.0,3.67,741.0,,1.69,,,,,,
,,2014 - 2015,27.0,81.0,3.0,515.0,,3.01,,,,,,
,,2015 - 2016,,,,268.0,713.0,2.66,,,,,,
,,2016 - 2017,,,,102.0,90.0,0.88,,,,,,
,,2017 - 2018,,,,70.0,97.0,1.39,,,,,,
,,2018 - 2019,,,,75.0,105.0,1.4,,,,,,
,,2019 - 2020,,,,51.0,81.0,1.59,,,,,,
,,2020 - 2021,,,,33.0,55.0,1.67,,,,,,
,,2021 - 2022,,,,98.0,123.0,1.26,,,,,,
,West godavari,2000 - 2001,,,,,,,,,2.18,,,
,,2001 - 2002,,,,,,,,,1.42,,,
,,2002 - 2003,,,,,,,,,1.64,,,
,,2003 - 2004,,,,,,,,,1.4,,,
,,2004 - 2005,,,,,,,,,1.43,,,
,,2005 - 2006,,,,,,,,,1.99,,,
,,2006 - 2007,,,,,,,,,1.82,,,
,,2007 - 2008,,,,,,,,,2.14,,,
,,2008 - 2009,,,,,,,,,1.92,,,
,,2009 - 2010,,,,,,,,,1.93,,,
,,2010 - 2011,,,,,,,,,1.86,,,
,,2011 - 2012,,,,,,,,,1.82,,,
,,2012 - 2013,,,,,,,,,1.74,,,
,,2013 - 2014,,,,,,1.71,,,,,,
,,2014 - 2015,,,,,,3.18,,,,,,
,,2015 - 2016,,,,,,2.96,,,,,,
,,2016 - 2017,,,,,,2.82,,,,,,
,,2017 - 2018,,,,,,2.32,,,,,,
,,2018 - 2019,,,,,,1.42,,,,,,
,,2019 - 2020,,,,,,2.52,,,,,,
,,2020 - 2021,,,,,,2.45,,,,,,
,,2021 - 2022,,,,,,2.54,,,,,,
Assam,Baksa,2005 - 2006,,,,,,,10.0,4.0,0.4,,,
,,2006 - 2007,,,,,,,9.0,4.0,0.44,,,
,,2007 - 2008,,,,,,,8.0,3.0,0.38,,,
,,2008 - 2009,,,,,,,84.0,40.0,0.48,,,
