state,district,year,masoor_rabi_area_hectare,masoor_rabi_production_tonne,masoor_rabi_yield_tonne_per_hectare,masoor_kharif_area_hectare,masoor_kharif_production_tonne,masoor_kharif_yield_tonne_per_hectare,masoor_summer_area_hectare,masoor_summer_production_tonne,masoor_summer_yield_tonne_per_hectare,masoor_whole_year_area_hectare,masoor_whole_year_production_tonne,masoor_whole_year_yield_tonne_per_hectare
,,2019 - 2020,40.0,22.0,0.55,,,,,,,,,
,,2020 - 2021,64.0,36.0,0.56,,,,,,,,,
,,2021 - 2022,47.0,16.0,0.34,,,,,,,,,
,,2022 - 2023,129.0,121.0,0.94,,,,,,,,,
,Dima hasao,2001 - 2002,6.0,2.0,0.33,,,,,,,,,
,,2002 - 2003,4.0,2.0,0.5,,,,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,,,,,,,,
,,2005 - 2006,3.0,1.0,0.33,,,,,,,,,
,,2006 - 2007,2.0,1.0,0.5,,,,,,,,,
,,2007 - 2008,2.0,1.0,0.5,,,,,,,,,
,,2008 - 2009,3.0,1.0,0.33,,,,,,,,,
,,2009 - 2010,2.0,1.0,0.5,,,,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,,,,,,,
,,2011 - 2012,7.0,3.0,0.43,,,,,,,,,
,,2012 - 2013,16.0,7.0,0.44,,,,,,,,,
,,2013 - 2014,34.0,20.0,0.59,,,,,,,,,
,,2014 - 2015,7.0,4.0,0.57,,,,,,,,,
,,2015 - 2016,14.0,8.0,0.57,,,,,,,,,
,,2016 - 2017,18.0,11.0,0.61,,,,,,,,,
,,2017 - 2018,10.0,4.0,0.4,,,,,,,,,
,,2018 - 2019,19.0,11.0,0.58,,,,,,,,,
,,2019 - 2020,19.0,11.0,0.58,,,,,,,,,
,,2020 - 2021,25.0,15.0,0.6,,,,,,,,,
,,2021 - 2022,25.0,15.0,0.6,,,,,,,,,
,,2022 - 2023,25.0,15.0,0.6,,,,,,,,,
,Goalpara,2001 - 2002,,508.0,0.46,,,,,,,,,
,,2002 - 2003,850.0,411.0,0.48,,,,,,,,,
,,2003 - 2004,,477.0,0.46,,,,,,,,,
,,2004 - 2005,,470.0,0.47,,,,,,,,,
,,2005 - 2006,,496.0,0.47,,,,,,,,,
,,2006 - 2007,,492.0,0.47,,,,,,,,,
,,2007 - 2008,,533.0,0.47,,,,,,,,,
,,2008 - 2009,,554.0,0.48,,,,,,,,,
,,2009 - 2010,,615.0,0.47,,,,,,,,,
,,2010 - 2011,,803.0,0.47,,,,,,,,,
,,2011 - 2012,,830.0,0.49,,,,,,,,,
,,2012 - 2013,,895.0,0.53,,,,,,,,,
,,2013 - 2014,,,0.85,,,,,,,,,
,,2014 - 2015,,,0.7,,,,,,,,,
,,2015 - 2016,,,0.69,,,,,,,,,
,,2016 - 2017,,731.0,0.65,,,,,,,,,
,,2017 - 2018,,819.0,0.7,,,,,,,,,
,,2018 - 2019,,831.0,0.7,,,,,,,,,
,,2019 - 2020,969.0,678.0,0.7,,,,,,,,,
,,2020 - 2021,767.0,540.0,0.7,,,,,,,,,
,,2021 - 2022,791.0,560.0,0.71,,,,,,,,,
,,2022 - 2023,791.0,573.0,0.72,,,,,,,,,
,Golaghat,2001 - 2002,,766.0,0.62,,,,,,,,,
,,2002 - 2003,,698.0,0.62,,,,,,,,,
,,2003 - 2004,760.0,471.0,0.62,,,,,,,,,
,,2004 - 2005,953.0,591.0,0.62,,,,,,,,,
,,2005 - 2006,856.0,531.0,0.62,,,,,,,,,
,,2006 - 2007,948.0,588.0,0.62,,,,,,,,,
,,2007 - 2008,805.0,500.0,0.62,,,,,,,,,
,,2008 - 2009,633.0,392.0,0.62,,,,,,,,,
,,2009 - 2010,633.0,393.0,0.62,,,,,,,,,
,,2010 - 2011,558.0,346.0,0.62,,,,,,,,,
,,2011 - 2012,388.0,236.0,0.61,,,,,,,,,
,,2012 - 2013,381.0,260.0,0.68,,,,,,,,,
,,2013 - 2014,280.0,201.0,0.72,,,,,,,,,
,,2014 - 2015,340.0,306.0,0.9,,,,,,,,,
,,2015 - 2016,323.0,220.0,0.68,,,,,,,,,
,,2016 - 2017,322.0,227.0,0.7,,,,,,,,,
,,2017 - 2018,317.0,227.0,0.72,,,,,,,,,
,,2018 - 2019,316.0,226.0,0.72,,,,,,,,,
,,2019 - 2020,305.0,219.0,0.72,,,,,,,,,
,,2020 - 2021,284.0,204.0,0.72,,,,,,,,,
,,2021 - 2022,319.0,228.0,0.71,,,,,,,,,
,,2022 - 2023,292.0,209.0,0.72,,,,,,,,,
,Hailakandi,2009 - 2010,25.0,11.0,0.44,,,,,,,,,
,,2014 - 2015,10.0,5.0,0.5,,,,,,,,,
,,2019 - 2020,2.0,2.0,1.0,,,,,,,,,
,,2020 - 2021,3.0,2.0,0.67,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,,,,
,Hojai,2020 - 2021,102.0,92.0,0.9,,,,,,,,,
,,2021 - 2022,102.0,92.0,0.9,,,,,,,,,
,,2022 - 2023,102.0,93.0,0.91,,,,,,,,,
,Jorhat,2001 - 2002,367.0,182.0,0.5,,,,,,,,,
,,2002 - 2003,240.0,118.0,0.49,,,,,,,,,
,,2003 - 2004,965.0,477.0,0.49,,,,,,,,,
,,2004 - 2005,315.0,156.0,0.5,,,,,,,,,
,,2005 - 2006,207.0,103.0,0.5,,,,,,,,,
,,2006 - 2007,422.0,209.0,0.5,,,,,,,,,
,,2007 - 2008,416.0,206.0,0.5,,,,,,,,,
,,2008 - 2009,108.0,53.0,0.49,,,,,,,,,
,,2009 - 2010,66.0,33.0,0.5,,,,,,,,,
,,2010 - 2011,76.0,37.0,0.49,,,,,,,,,
,,2011 - 2012,57.0,30.0,0.53,,,,,,,,,
,,2012 - 2013,175.0,101.0,0.58,,,,,,,,,
,,2013 - 2014,179.0,106.0,0.59,,,,,,,,,
,,2014 - 2015,185.0,142.0,0.77,,,,,,,,,
,,2015 - 2016,180.0,137.0,0.76,,,,,,,,,
,,2016 - 2017,509.0,401.0,0.79,,,,,,,,,
,,2017 - 2018,285.0,205.0,0.72,,,,,,,,,
,,2018 - 2019,510.0,350.0,0.69,,,,,,,,,
,,2019 - 2020,387.0,309.0,0.8,,,,,,,,,
,,2020 - 2021,112.0,91.0,0.81,,,,,,,,,
,,2021 - 2022,34.0,27.0,0.79,,,,,,,,,
,,2022 - 2023,32.0,26.0,0.81,,,,,,,,,
,Kamrup,2001 - 2002,,,0.45,,,,,,,,,
,,2002 - 2003,,,0.46,,,,,,,,,
,,2003 - 2004,,,0.45,,,,,,,,,
,,2004 - 2005,,,0.47,,,,,,,,,
,,2005 - 2006,,723.0,0.47,,,,,,,,,
,,2006 - 2007,,667.0,0.46,,,,,,,,,
,,2007 - 2008,,,0.47,,,,,,,,,
,,2008 - 2009,,,0.47,,,,,,,,,
,,2009 - 2010,,,0.47,,,,,,,,,
,,2010 - 2011,,,0.48,,,,,,,,,
,,2011 - 2012,,,0.51,,,,,,,,,
,,2012 - 2013,,,0.56,,,,,,,,,
,,2013 - 2014,,,0.59,,,,,,,,,
,,2014 - 2015,,,0.74,,,,,,,,,
,,2015 - 2016,,949.0,0.5,,,,,,,,,
,,2016 - 2017,,884.0,0.51,,,,,,,,,
,,2017 - 2018,,750.0,0.51,,,,,,,,,
,,2018 - 2019,,689.0,0.51,,,,,,,,,
,,2019 - 2020,,696.0,0.53,,,,,,,,,
,,2020 - 2021,,777.0,0.53,,,,,,,,,
,,2021 - 2022,,996.0,0.55,,,,,,,,,
,,2022 - 2023,,,1.2,,,,,,,,,
,Kamrup metro,2005 - 2006,36.0,18.0,0.5,,,,,,,,,
,,2006 - 2007,185.0,90.0,0.49,,,,,,,,,
,,2007 - 2008,176.0,83.0,0.47,,,,,,,,,
,,2008 - 2009,112.0,49.0,0.44,,,,,,,,,
,,2009 - 2010,153.0,71.0,0.46,,,,,,,,,
,,2010 - 2011,155.0,72.0,0.46,,,,,,,,,
,,2011 - 2012,155.0,75.0,0.48,,,,,,,,,
,,2012 - 2013,212.0,109.0,0.51,,,,,,,,,
,,2013 - 2014,201.0,113.0,0.56,,,,,,,,,
,,2014 - 2015,187.0,128.0,0.68,,,,,,,,,
,,2015 - 2016,186.0,105.0,0.56,,,,,,,,,
,,2016 - 2017,108.0,55.0,0.51,,,,,,,,,
,,2017 - 2018,117.0,60.0,0.51,,,,,,,,,
,,2018 - 2019,129.0,68.0,0.53,,,,,,,,,
,,2019 - 2020,117.0,62.0,0.53,,,,,,,,,
,,2020 - 2021,119.0,63.0,0.53,,,,,,,,,
,,2021 - 2022,292.0,159.0,0.54,,,,,,,,,
,,2022 - 2023,212.0,233.0,1.1,,,,,,,,,
,Karbi anglong,2001 - 2002,219.0,119.0,0.54,,,,,,,,,
,,2002 - 2003,213.0,103.0,0.48,,,,,,,,,
,,2003 - 2004,194.0,100.0,0.52,,,,,,,,,
,,2004 - 2005,213.0,97.0,0.46,,,,,,,,,
,,2005 - 2006,214.0,102.0,0.48,,,,,,,,,
,,2006 - 2007,205.0,98.0,0.48,,,,,,,,,
,,2007 - 2008,205.0,96.0,0.47,,,,,,,,,
,,2008 - 2009,222.0,106.0,0.48,,,,,,,,,
,,2009 - 2010,230.0,111.0,0.48,,,,,,,,,
,,2010 - 2011,208.0,102.0,0.49,,,,,,,,,
,,2011 - 2012,212.0,107.0,0.5,,,,,,,,,
,,2012 - 2013,220.0,126.0,0.57,,,,,,,,,
,,2013 - 2014,227.0,138.0,0.61,,,,,,,,,
,,2014 - 2015,245.0,186.0,0.76,,,,,,,,,
,,2015 - 2016,247.0,149.0,0.6,,,,,,,,,
,,2016 - 2017,258.0,159.0,0.62,,,,,,,,,
,,2017 - 2018,759.0,466.0,0.61,,,,,,,,,
,,2018 - 2019,824.0,497.0,0.6,,,,,,,,,
,,2019 - 2020,788.0,480.0,0.61,,,,,,,,,
,,2020 - 2021,605.0,369.0,0.61,,,,,,,,,
,,2021 - 2022,555.0,339.0,0.61,,,,,,,,,
,,2022 - 2023,625.0,381.0,0.61,,,,,,,,,
,Karimganj,2009 - 2010,15.0,7.0,0.47,,,,,,,,,
,,2010 - 2011,16.0,7.0,0.44,,,,,,,,,
,,2014 - 2015,20.0,13.0,0.65,,,,,,,,,
,,2016 - 2017,50.0,33.0,0.66,,,,,,,,,
,,2017 - 2018,10.0,4.0,0.4,,,,,,,,,
,,2018 - 2019,32.0,22.0,0.69,,,,,,,,,
,,2019 - 2020,35.0,21.0,0.6,,,,,,,,,
,,2020 - 2021,220.0,154.0,0.7,,,,,,,,,
,,2021 - 2022,195.0,146.0,0.75,,,,,,,,,
,,2022 - 2023,180.0,162.0,0.9,,,,,,,,,
,Kokrajhar,2001 - 2002,825.0,402.0,0.49,,,,,,,,,
,,2002 - 2003,813.0,398.0,0.49,,,,,,,,,
,,2003 - 2004,760.0,370.0,0.49,,,,,,,,,
,,2004 - 2005,826.0,403.0,0.49,,,,,,,,,
,,2005 - 2006,806.0,394.0,0.49,,,,,,,,,
,,2006 - 2007,828.0,402.0,0.49,,,,,,,,,
,,2007 - 2008,782.0,381.0,0.49,,,,,,,,,
,,2008 - 2009,543.0,265.0,0.49,,,,,,,,,
,,2009 - 2010,691.0,333.0,0.48,,,,,,,,,
,,2010 - 2011,,564.0,0.48,,,,,,,,,
,,2011 - 2012,,639.0,0.52,,,,,,,,,
,,2012 - 2013,,675.0,0.57,,,,,,,,,
,,2013 - 2014,,772.0,0.58,,,,,,,,,
,,2014 - 2015,,,0.76,,,,,,,,,
,,2015 - 2016,,961.0,0.69,,,,,,,,,
