state,district,year,masoor_rabi_area_hectare,masoor_rabi_production_tonne,masoor_rabi_yield_tonne_per_hectare,masoor_kharif_area_hectare,masoor_kharif_production_tonne,masoor_kharif_yield_tonne_per_hectare,masoor_summer_area_hectare,masoor_summer_production_tonne,masoor_summer_yield_tonne_per_hectare,masoor_whole_year_area_hectare,masoor_whole_year_production_tonne,masoor_whole_year_yield_tonne_per_hectare
,,2001 - 2002,,,0.79,,,,,,,,,
,,2002 - 2003,,,0.66,,,,,,,,,
,,2003 - 2004,,,0.8,,,,,,,,,
,,2006 - 2007,,,0.7,,,,,,,,,
,,2007 - 2008,,,0.72,,,,,,,,,
,,2008 - 2009,,,0.82,,,,,,,,,
,,2009 - 2010,,,0.87,,,,,,,,,
,,2010 - 2011,,,1.02,,,,,,,,,
,,2011 - 2012,,,1.23,,,,,,,,,
,,2012 - 2013,,,0.95,,,,,,,,,
,,2013 - 2014,,,1.19,,,,,,,,,
,,2014 - 2015,,,0.46,,,,,,,,,
,,2015 - 2016,,,0.79,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,
,,2017 - 2018,,,1.58,,,,,,,,,
,,2018 - 2019,,,1.29,,,,,,,,,
,,2019 - 2020,,,0.83,,,,,,,,,
,,2020 - 2021,,,1.39,,,,,,,,,
,,2021 - 2022,,,0.97,,,,,,,,,
,,2022 - 2023,,,0.82,,,,,,,,,
,Basti,2000 - 2001,,,0.94,,,,,,,,,
,,2001 - 2002,,,0.8,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,
,,2003 - 2004,,,0.64,,,,,,,,,
,,2006 - 2007,902.0,636.0,0.71,,,,,,,,,
,,2007 - 2008,,844.0,0.73,,,,,,,,,
,,2008 - 2009,,,0.88,,,,,,,,,
,,2009 - 2010,,,0.8,,,,,,,,,
,,2010 - 2011,,,0.7,,,,,,,,,
,,2011 - 2012,,,0.88,,,,,,,,,
,,2012 - 2013,,,0.89,,,,,,,,,
,,2013 - 2014,,,0.69,,,,,,,,,
,,2014 - 2015,,942.0,0.54,,,,,,,,,
,,2015 - 2016,,894.0,0.71,,,,,,,,,
,,2016 - 2017,,,0.96,,,,,,,,,
,,2017 - 2018,,,1.03,,,,,,,,,
,,2018 - 2019,,,1.03,,,,,,,,,
,,2019 - 2020,,,0.98,,,,,,,,,
,,2020 - 2021,,,1.01,,,,,,,,,
,,2021 - 2022,,,0.94,,,,,,,,,
,,2022 - 2023,,,0.95,,,,,,,,,
,Bijnor,2000 - 2001,,,0.95,,,,,,,,,
,,2001 - 2002,,,0.48,,,,,,,,,
,,2002 - 2003,,,1.15,,,,,,,,,
,,2003 - 2004,,,0.93,,,,,,,,,
,,2006 - 2007,,,0.7,,,,,,,,,
,,2007 - 2008,,783.0,0.58,,,,,,,,,
,,2008 - 2009,,,0.78,,,,,,,,,
,,2009 - 2010,,917.0,0.8,,,,,,,,,
,,2010 - 2011,,818.0,0.7,,,,,,,,,
,,2011 - 2012,817.0,994.0,1.22,,,,,,,,,
,,2012 - 2013,557.0,502.0,0.9,,,,,,,,,
,,2013 - 2014,827.0,,1.58,,,,,,,,,
,,2014 - 2015,902.0,437.0,0.48,,,,,,,,,
,,2015 - 2016,,774.0,0.74,,,,,,,,,
,,2016 - 2017,764.0,612.0,0.8,,,,,,,,,
,,2017 - 2018,801.0,522.0,0.65,,,,,,,,,
,,2018 - 2019,745.0,804.0,1.08,,,,,,,,,
,,2019 - 2020,697.0,949.0,1.36,,,,,,,,,
,,2020 - 2021,900.0,,1.37,,,,,,,,,
,,2021 - 2022,897.0,680.0,0.76,,,,,,,,,
,,2022 - 2023,,624.0,0.6,,,,,,,,,
,Budaun,2000 - 2001,,,0.88,,,,,,,,,
,,2001 - 2002,,,0.77,,,,,,,,,
,,2002 - 2003,,,0.93,,,,,,,,,
,,2003 - 2004,,,1.02,,,,,,,,,
,,2006 - 2007,,,0.87,,,,,,,,,
,,2007 - 2008,,,1.26,,,,,,,,,
,,2008 - 2009,,,1.28,,,,,,,,,
,,2009 - 2010,,,0.84,,,,,,,,,
,,2010 - 2011,,,1.08,,,,,,,,,
,,2011 - 2012,,,1.42,,,,,,,,,
,,2012 - 2013,,,1.35,,,,,,,,,
,,2013 - 2014,,,1.47,,,,,,,,,
,,2014 - 2015,,,1.07,,,,,,,,,
,,2015 - 2016,,,1.02,,,,,,,,,
,,2016 - 2017,,,1.74,,,,,,,,,
,,2017 - 2018,,,0.78,,,,,,,,,
,,2018 - 2019,,,1.06,,,,,,,,,
,,2019 - 2020,,,1.35,,,,,,,,,
,,2020 - 2021,,,1.36,,,,,,,,,
,,2021 - 2022,,,0.99,,,,,,,,,
,,2022 - 2023,,,0.76,,,,,,,,,
,Bulandshahr,2000 - 2001,,879.0,0.63,,,,,,,,,
,,2001 - 2002,,,0.8,,,,,,,,,
,,2002 - 2003,,,0.76,,,,,,,,,
,,2003 - 2004,,,0.9,,,,,,,,,
,,2006 - 2007,906.0,639.0,0.71,,,,,,,,,
,,2007 - 2008,,738.0,0.72,,,,,,,,,
,,2008 - 2009,,978.0,0.88,,,,,,,,,
,,2009 - 2010,,911.0,0.8,,,,,,,,,
,,2010 - 2011,,920.0,0.7,,,,,,,,,
,,2011 - 2012,,955.0,0.88,,,,,,,,,
,,2012 - 2013,857.0,763.0,0.89,,,,,,,,,
,,2013 - 2014,807.0,558.0,0.69,,,,,,,,,
,,2014 - 2015,907.0,487.0,0.54,,,,,,,,,
,,2015 - 2016,738.0,524.0,0.71,,,,,,,,,
,,2016 - 2017,,965.0,0.96,,,,,,,,,
,,2017 - 2018,,,1.03,,,,,,,,,
,,2018 - 2019,876.0,899.0,1.03,,,,,,,,,
,,2019 - 2020,,,0.98,,,,,,,,,
,,2020 - 2021,,,1.01,,,,,,,,,
,,2021 - 2022,,,0.94,,,,,,,,,
,,2022 - 2023,,,0.95,,,,,,,,,
,Chandauli,2000 - 2001,,,0.53,,,,,,,,,
,,2001 - 2002,,,0.46,,,,,,,,,
,,2002 - 2003,,,0.34,,,,,,,,,
,,2003 - 2004,,,0.48,,,,,,,,,
,,2006 - 2007,,,0.55,,,,,,,,,
,,2007 - 2008,,,0.71,,,,,,,,,
,,2008 - 2009,,,0.64,,,,,,,,,
,,2009 - 2010,,,0.91,,,,,,,,,
,,2010 - 2011,,,0.64,,,,,,,,,
,,2011 - 2012,,,0.99,,,,,,,,,
,,2012 - 2013,,,0.56,,,,,,,,,
,,2013 - 2014,,,0.65,,,,,,,,,
,,2014 - 2015,,,0.49,,,,,,,,,
,,2015 - 2016,,,0.49,,,,,,,,,
,,2016 - 2017,,,0.68,,,,,,,,,
,,2017 - 2018,,,0.79,,,,,,,,,
,,2018 - 2019,,,1.28,,,,,,,,,
,,2019 - 2020,,,1.14,,,,,,,,,
,,2020 - 2021,,,1.23,,,,,,,,,
,,2021 - 2022,,,1.19,,,,,,,,,
,,2022 - 2023,,,1.25,,,,,,,,,
,Chitrakoot,2000 - 2001,,,0.61,,,,,,,,,
,,2001 - 2002,,,0.87,,,,,,,,,
,,2002 - 2003,,,0.74,,,,,,,,,
,,2003 - 2004,,,1.11,,,,,,,,,
,,2006 - 2007,,,0.37,,,,,,,,,
,,2007 - 2008,,,0.57,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,,0.59,,,,,,,,,
,,2010 - 2011,,,0.3,,,,,,,,,
,,2011 - 2012,,,0.81,,,,,,,,,
,,2012 - 2013,,,0.67,,,,,,,,,
,,2013 - 2014,,,0.16,,,,,,,,,
,,2014 - 2015,,,0.13,,,,,,,,,
,,2015 - 2016,,615.0,0.17,,,,,,,,,
,,2016 - 2017,,,0.84,,,,,,,,,
,,2017 - 2018,,,0.6,,,,,,,,,
,,2018 - 2019,,,0.86,,,,,,,,,
,,2019 - 2020,,,0.77,,,,,,,,,
,,2020 - 2021,,,0.9,,,,,,,,,
,,2021 - 2022,,,0.83,,,,,,,,,
,,2022 - 2023,,,0.7,,,,,,,,,
,Deoria,2000 - 2001,,,1.05,,,,,,,,,
,,2001 - 2002,,942.0,0.74,,,,,,,,,
,,2002 - 2003,967.0,576.0,0.6,,,,,,,,,
,,2003 - 2004,872.0,648.0,0.74,,,,,,,,,
,,2006 - 2007,645.0,396.0,0.61,,,,,,,,,
,,2007 - 2008,550.0,456.0,0.83,,,,,,,,,
,,2008 - 2009,,802.0,0.7,,,,,,,,,
,,2009 - 2010,335.0,252.0,0.75,,,,,,,,,
,,2010 - 2011,439.0,340.0,0.77,,,,,,,,,
,,2011 - 2012,456.0,297.0,0.65,,,,,,,,,
,,2012 - 2013,299.0,226.0,0.76,,,,,,,,,
,,2013 - 2014,,,0.73,,,,,,,,,
,,2014 - 2015,444.0,188.0,0.42,,,,,,,,,
,,2015 - 2016,166.0,105.0,0.63,,,,,,,,,
,,2016 - 2017,303.0,218.0,0.72,,,,,,,,,
,,2017 - 2018,585.0,487.0,0.83,,,,,,,,,
,,2018 - 2019,334.0,282.0,0.84,,,,,,,,,
,,2019 - 2020,306.0,194.0,0.63,,,,,,,,,
,,2020 - 2021,340.0,256.0,0.75,,,,,,,,,
,,2021 - 2022,400.0,251.0,0.63,,,,,,,,,
,,2022 - 2023,460.0,328.0,0.71,,,,,,,,,
,Etah,2000 - 2001,,,0.81,,,,,,,,,
,,2001 - 2002,,,0.8,,,,,,,,,
,,2002 - 2003,,,0.97,,,,,,,,,
,,2003 - 2004,,,0.97,,,,,,,,,
,,2006 - 2007,,,0.9,,,,,,,,,
,,2007 - 2008,,,0.72,,,,,,,,,
,,2008 - 2009,,,0.88,,,,,,,,,
,,2009 - 2010,,,0.8,,,,,,,,,
,,2010 - 2011,,,0.88,,,,,,,,,
,,2011 - 2012,,,1.93,,,,,,,,,
,,2012 - 2013,,,1.41,,,,,,,,,
,,2013 - 2014,,,2.4,,,,,,,,,
,,2014 - 2015,,,0.63,,,,,,,,,
,,2015 - 2016,,,0.71,,,,,,,,,
,,2016 - 2017,,,1.0,,,,,,,,,
,,2017 - 2018,,,1.23,,,,,,,,,
,,2018 - 2019,,,1.11,,,,,,,,,
,,2019 - 2020,,,0.77,,,,,,,,,
,,2020 - 2021,,,0.95,,,,,,,,,
,,2021 - 2022,,,0.69,,,,,,,,,
,,2022 - 2023,368.0,262.0,0.71,,,,,,,,,
,Etawah,2000 - 2001,4.0,3.0,0.75,,,,,,,,,
,,2001 - 2002,8.0,6.0,0.75,,,,,,,,,
,,2002 - 2003,4.0,3.0,0.75,,,,,,,,,
,,2003 - 2004,6.0,5.0,0.83,,,,,,,,,
,,2006 - 2007,3.0,4.0,1.33,,,,,,,,,
,,2007 - 2008,10.0,6.0,0.6,,,,,,,,,
,,2008 - 2009,1.0,1.0,1.0,,,,,,,,,
,,2009 - 2010,5.0,4.0,0.8,,,,,,,,,
,,2010 - 2011,4.0,4.0,1.0,,,,,,,,,
,,2011 - 2012,37.0,32.0,0.86,,,,,,,,,
,,2013 - 2014,16.0,11.0,0.69,,,,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,,,,,,,
,,2016 - 2017,5.0,4.0,0.8,,,,,,,,,
,,2018 - 2019,3.0,3.0,1.0,,,,,,,,,
,,2019 - 2020,6.0,5.0,0.83,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,
,Faizabad,2000 - 2001,,,0.88,,,,,,,,,
,,2001 - 2002,,,1.13,,,,,,,,,
,,2002 - 2003,,,0.6,,,,,,,,,
,,2003 - 2004,,,1.12,,,,,,,,,
,,2006 - 2007,,957.0,0.86,,,,,,,,,
,,2007 - 2008,,950.0,0.7,,,,,,,,,
,,2008 - 2009,,,0.83,,,,,,,,,
,,2009 - 2010,,,0.8,,,,,,,,,
,,2010 - 2011,,,0.8,,,,,,,,,
,,2011 - 2012,,,0.71,,,,,,,,,
,,2012 - 2013,,,0.7,,,,,,,,,
,,2013 - 2014,,868.0,0.43,,,,,,,,,
,,2014 - 2015,,944.0,0.49,,,,,,,,,
,,2015 - 2016,,,0.52,,,,,,,,,
,,2016 - 2017,,,1.18,,,,,,,,,
,,2017 - 2018,,,0.96,,,,,,,,,
,,2018 - 2019,,,0.91,,,,,,,,,
,,2019 - 2020,,,0.8,,,,,,,,,
,,2020 - 2021,,,0.79,,,,,,,,,
,,2021 - 2022,,,0.86,,,,,,,,,
,,2022 - 2023,,,0.92,,,,,,,,,
,Farrukhabad,2000 - 2001,900.0,563.0,0.63,,,,,,,,,
,,2001 - 2002,838.0,670.0,0.8,,,,,,,,,
,,2002 - 2003,861.0,657.0,0.76,,,,,,,,,
,,2003 - 2004,,941.0,0.9,,,,,,,,,
,,2006 - 2007,798.0,970.0,1.22,,,,,,,,,
,,2007 - 2008,,641.0,0.6,,,,,,,,,
,,2008 - 2009,987.0,871.0,0.88,,,,,,,,,
,,2009 - 2010,984.0,790.0,0.8,,,,,,,,,
,,2010 - 2011,957.0,,1.13,,,,,,,,,
,,2011 - 2012,,963.0,0.86,,,,,,,,,
,,2012 - 2013,,,1.22,,,,,,,,,
,,2013 - 2014,,854.0,0.69,,,,,,,,,
,,2014 - 2015,,559.0,0.54,,,,,,,,,
,,2015 - 2016,,,0.73,,,,,,,,,
,,2016 - 2017,,958.0,0.8,,,,,,,,,
,,2017 - 2018,,795.0,0.61,,,,,,,,,
,,2018 - 2019,,776.0,0.7,,,,,,,,,
,,2019 - 2020,,,0.95,,,,,,,,,
,,2020 - 2021,,999.0,0.86,,,,,,,,,
,,2021 - 2022,,,0.64,,,,,,,,,
,,2022 - 2023,,,1.11,,,,,,,,,
,Fatehpur,2000 - 2001,,884.0,0.46,,,,,,,,,
,,2001 - 2002,,,0.67,,,,,,,,,
,,2002 - 2003,,,1.0,,,,,,,,,
,,2003 - 2004,,,1.01,,,,,,,,,
,,2006 - 2007,,,0.67,,,,,,,,,
,,2007 - 2008,,,0.82,,,,,,,,,
,,2008 - 2009,,835.0,0.8,,,,,,,,,
,,2009 - 2010,,,0.76,,,,,,,,,
,,2010 - 2011,986.0,609.0,0.62,,,,,,,,,
,,2011 - 2012,,899.0,0.73,,,,,,,,,
,,2012 - 2013,,881.0,0.87,,,,,,,,,
,,2013 - 2014,894.0,476.0,0.53,,,,,,,,,
,,2014 - 2015,807.0,129.0,0.16,,,,,,,,,
,,2015 - 2016,370.0,182.0,0.49,,,,,,,,,
,,2016 - 2017,,951.0,0.85,,,,,,,,,
,,2017 - 2018,893.0,643.0,0.72,,,,,,,,,
,,2018 - 2019,827.0,759.0,0.92,,,,,,,,,
,,2019 - 2020,801.0,692.0,0.86,,,,,,,,,
,,2020 - 2021,772.0,,1.34,,,,,,,,,
,,2021 - 2022,980.0,751.0,0.77,,,,,,,,,
,,2022 - 2023,,940.0,0.83,,,,,,,,,
,Firozabad,2000 - 2001,70.0,57.0,0.81,,,,,,,,,
,,2001 - 2002,59.0,47.0,0.8,,,,,,,,,
,,2002 - 2003,44.0,43.0,0.98,,,,,,,,,
,,2003 - 2004,45.0,41.0,0.91,,,,,,,,,
,,2006 - 2007,101.0,91.0,0.9,,,,,,,,,
,,2007 - 2008,71.0,51.0,0.72,,,,,,,,,
,,2008 - 2009,26.0,23.0,0.88,,,,,,,,,
,,2009 - 2010,57.0,46.0,0.81,,,,,,,,,
,,2010 - 2011,98.0,86.0,0.88,,,,,,,,,
,,2011 - 2012,31.0,60.0,1.94,,,,,,,,,
,,2012 - 2013,44.0,87.0,1.98,,,,,,,,,
,,2013 - 2014,27.0,26.0,0.96,,,,,,,,,
,,2014 - 2015,31.0,29.0,0.94,,,,,,,,,
,,2015 - 2016,22.0,15.0,0.68,,,,,,,,,
,,2016 - 2017,48.0,46.0,0.96,,,,,,,,,
,,2017 - 2018,27.0,28.0,1.04,,,,,,,,,
,,2018 - 2019,18.0,18.0,1.0,,,,,,,,,
,,2019 - 2020,77.0,75.0,0.97,,,,,,,,,
,,2020 - 2021,404.0,410.0,1.01,,,,,,,,,
,,2021 - 2022,40.0,38.0,0.95,,,,,,,,,
,,2022 - 2023,47.0,45.0,0.96,,,,,,,,,
,Gautam buddha nagar,2000 - 2001,223.0,139.0,0.62,,,,,,,,,
,,2001 - 2002,223.0,178.0,0.8,,,,,,,,,
,,2002 - 2003,203.0,155.0,0.76,,,,,,,,,
,,2003 - 2004,150.0,135.0,0.9,,,,,,,,,
,,2006 - 2007,245.0,173.0,0.71,,,,,,,,,
,,2007 - 2008,181.0,131.0,0.72,,,,,,,,,
,,2008 - 2009,105.0,93.0,0.89,,,,,,,,,
,,2009 - 2010,90.0,72.0,0.8,,,,,,,,,
,,2010 - 2011,127.0,89.0,0.7,,,,,,,,,
,,2011 - 2012,94.0,83.0,0.88,,,,,,,,,
,,2012 - 2013,191.0,170.0,0.89,,,,,,,,,
,,2013 - 2014,33.0,23.0,0.7,,,,,,,,,
,,2014 - 2015,7.0,4.0,0.57,,,,,,,,,
,,2015 - 2016,4.0,3.0,0.75,,,,,,,,,
,,2016 - 2017,58.0,56.0,0.97,,,,,,,,,
,,2017 - 2018,43.0,44.0,1.02,,,,,,,,,
,,2018 - 2019,33.0,34.0,1.03,,,,,,,,,
,,2019 - 2020,42.0,41.0,0.98,,,,,,,,,
,,2020 - 2021,33.0,33.0,1.0,,,,,,,,,
,,2021 - 2022,55.0,52.0,0.95,,,,,,,,,
,,2022 - 2023,42.0,40.0,0.95,,,,,,,,,
,Ghaziabad,2000 - 2001,383.0,240.0,0.63,,,,,,,,,
,,2001 - 2002,287.0,230.0,0.8,,,,,,,,,
,,2002 - 2003,264.0,202.0,0.77,,,,,,,,,
,,2003 - 2004,261.0,235.0,0.9,,,,,,,,,
,,2006 - 2007,198.0,139.0,0.7,,,,,,,,,
,,2007 - 2008,194.0,140.0,0.72,,,,,,,,,
,,2008 - 2009,263.0,232.0,0.88,,,,,,,,,
,,2009 - 2010,252.0,202.0,0.8,,,,,,,,,
,,2010 - 2011,233.0,163.0,0.7,,,,,,,,,
,,2011 - 2012,261.0,230.0,0.88,,,,,,,,,
,,2012 - 2013,41.0,36.0,0.88,,,,,,,,,
,,2013 - 2014,21.0,14.0,0.67,,,,,,,,,
,,2014 - 2015,17.0,9.0,0.53,,,,,,,,,
,,2015 - 2016,15.0,11.0,0.73,,,,,,,,,
,,2016 - 2017,29.0,28.0,0.97,,,,,,,,,
,,2017 - 2018,29.0,30.0,1.03,,,,,,,,,
,,2018 - 2019,29.0,30.0,1.03,,,,,,,,,
,,2019 - 2020,35.0,34.0,0.97,,,,,,,,,
,,2020 - 2021,29.0,29.0,1.0,,,,,,,,,
,,2021 - 2022,32.0,30.0,0.94,,,,,,,,,
,,2022 - 2023,38.0,36.0,0.95,,,,,,,,,
,Ghazipur,2000 - 2001,,,0.92,,,,,,,,,
,,2001 - 2002,,,0.92,,,,,,,,,
,,2002 - 2003,,,0.87,,,,,,,,,
,,2003 - 2004,,,1.01,,,,,,,,,
,,2006 - 2007,,,0.84,,,,,,,,,
,,2007 - 2008,,,0.95,,,,,,,,,
,,2008 - 2009,,,1.26,,,,,,,,,
,,2009 - 2010,,,1.02,,,,,,,,,
,,2010 - 2011,,,0.9,,,,,,,,,
,,2011 - 2012,,,1.11,,,,,,,,,
,,2012 - 2013,,,1.1,,,,,,,,,
,,2013 - 2014,,,0.67,,,,,,,,,
,,2014 - 2015,,,0.89,,,,,,,,,
,,2015 - 2016,,,1.09,,,,,,,,,
,,2016 - 2017,,,1.1,,,,,,,,,
,,2017 - 2018,,,1.09,,,,,,,,,
,,2018 - 2019,,,1.16,,,,,,,,,
,,2019 - 2020,,,1.25,,,,,,,,,
,,2020 - 2021,,,1.25,,,,,,,,,
,,2021 - 2022,,,1.29,,,,,,,,,
,,2022 - 2023,,,1.6,,,,,,,,,
,Gonda,2000 - 2001,,,0.87,,,,,,,,,
,,2001 - 2002,,,0.75,,,,,,,,,
,,2002 - 2003,,,0.65,,,,,,,,,
,,2003 - 2004,,,0.86,,,,,,,,,
,,2006 - 2007,,,0.77,,,,,,,,,
,,2007 - 2008,,,0.86,,,,,,,,,
,,2008 - 2009,,,0.88,,,,,,,,,
,,2009 - 2010,,,0.75,,,,,,,,,
,,2010 - 2011,,,0.8,,,,,,,,,
,,2011 - 2012,,,0.78,,,,,,,,,
,,2012 - 2013,,,0.9,,,,,,,,,
,,2013 - 2014,,,0.86,,,,,,,,,
,,2014 - 2015,,,0.76,,,,,,,,,
,,2015 - 2016,,,0.81,,,,,,,,,
,,2016 - 2017,,,0.91,,,,,,,,,
,,2017 - 2018,,,0.93,,,,,,,,,
,,2018 - 2019,,,0.93,,,,,,,,,
,,2019 - 2020,,,1.1,,,,,,,,,
,,2020 - 2021,,,1.29,,,,,,,,,
,,2021 - 2022,,,1.22,,,,,,,,,
,,2022 - 2023,,,0.93,,,,,,,,,
,Gorakhpur,2000 - 2001,,,1.05,,,,,,,,,
,,2001 - 2002,,,0.74,,,,,,,,,
,,2002 - 2003,,,0.6,,,,,,,,,
,,2003 - 2004,,,0.95,,,,,,,,,
,,2006 - 2007,,,0.61,,,,,,,,,
,,2007 - 2008,,,0.83,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,983.0,0.75,,,,,,,,,
,,2010 - 2011,,,0.77,,,,,,,,,
,,2011 - 2012,,845.0,0.65,,,,,,,,,
,,2012 - 2013,,961.0,0.76,,,,,,,,,
,,2013 - 2014,,916.0,0.73,,,,,,,,,
,,2014 - 2015,,487.0,0.42,,,,,,,,,
,,2015 - 2016,675.0,426.0,0.63,,,,,,,,,
,,2016 - 2017,,,0.72,,,,,,,,,
,,2017 - 2018,840.0,700.0,0.83,,,,,,,,,
,,2018 - 2019,,,0.84,,,,,,,,,
,,2019 - 2020,,853.0,0.63,,,,,,,,,
,,2020 - 2021,,,0.75,,,,,,,,,
,,2021 - 2022,,904.0,0.63,,,,,,,,,
,,2022 - 2023,,,0.71,,,,,,,,,
,Hamirpur,2000 - 2001,,,0.37,,,,,,,,,
,,2001 - 2002,,,0.85,,,,,,,,,
,,2002 - 2003,,,0.7,,,,,,,,,
,,2003 - 2004,,,1.01,,,,,,,,,
,,2006 - 2007,,,0.45,,,,,,,,,
,,2007 - 2008,,,0.4,,,,,,,,,
,,2008 - 2009,,,0.78,,,,,,,,,
,,2009 - 2010,,,0.65,,,,,,,,,
,,2010 - 2011,,,0.5,,,,,,,,,
,,2011 - 2012,,,0.62,,,,,,,,,
,,2012 - 2013,,,0.67,,,,,,,,,
,,2013 - 2014,,,0.47,,,,,,,,,
,,2014 - 2015,,,0.2,,,,,,,,,
,,2015 - 2016,,,0.4,,,,,,,,,
,,2016 - 2017,,,0.93,,,,,,,,,
,,2017 - 2018,,,0.87,,,,,,,,,
,,2018 - 2019,,,0.97,,,,,,,,,
,,2019 - 2020,,,1.02,,,,,,,,,
,,2020 - 2021,,,1.03,,,,,,,,,
,,2021 - 2022,,,0.87,,,,,,,,,
,,2022 - 2023,,,0.63,,,,,,,,,
,Hapur,2012 - 2013,210.0,187.0,0.89,,,,,,,,,
,,2013 - 2014,264.0,182.0,0.69,,,,,,,,,
,,2014 - 2015,216.0,116.0,0.54,,,,,,,,,
,,2015 - 2016,167.0,118.0,0.71,,,,,,,,,
,,2016 - 2017,231.0,223.0,0.97,,,,,,,,,
,,2017 - 2018,192.0,198.0,1.03,,,,,,,,,
,,2018 - 2019,226.0,232.0,1.03,,,,,,,,,
,,2019 - 2020,454.0,444.0,0.98,,,,,,,,,
,,2020 - 2021,247.0,250.0,1.01,,,,,,,,,
,,2021 - 2022,298.0,281.0,0.94,,,,,,,,,
,,2022 - 2023,345.0,328.0,0.95,,,,,,,,,
,Hardoi,2000 - 2001,,,1.07,,,,,,,,,
,,2001 - 2002,,,0.69,,,,,,,,,
,,2002 - 2003,,,0.78,,,,,,,,,
,,2003 - 2004,,,0.85,,,,,,,,,
,,2006 - 2007,,,0.71,,,,,,,,,
,,2007 - 2008,,,0.89,,,,,,,,,
,,2008 - 2009,,,0.95,,,,,,,,,
,,2009 - 2010,,,1.04,,,,,,,,,
,,2010 - 2011,,,0.89,,,,,,,,,
,,2011 - 2012,,,0.94,,,,,,,,,
,,2012 - 2013,,,0.97,,,,,,,,,
,,2013 - 2014,,,0.8,,,,,,,,,
,,2014 - 2015,,,0.65,,,,,,,,,
,,2015 - 2016,,,0.88,,,,,,,,,
,,2016 - 2017,,,1.06,,,,,,,,,
,,2017 - 2018,,,1.19,,,,,,,,,
,,2018 - 2019,,,1.2,,,,,,,,,
,,2019 - 2020,,,0.91,,,,,,,,,
,,2020 - 2021,,,1.08,,,,,,,,,
,,2021 - 2022,,,1.16,,,,,,,,,
,,2022 - 2023,,,1.11,,,,,,,,,
,Hathras,2000 - 2001,704.0,572.0,0.81,,,,,,,,,
,,2001 - 2002,796.0,636.0,0.8,,,,,,,,,
,,2002 - 2003,672.0,655.0,0.97,,,,,,,,,
,,2003 - 2004,572.0,517.0,0.9,,,,,,,,,
,,2006 - 2007,393.0,356.0,0.91,,,,,,,,,
,,2007 - 2008,745.0,540.0,0.72,,,,,,,,,
,,2008 - 2009,301.0,266.0,0.88,,,,,,,,,
,,2009 - 2010,238.0,191.0,0.8,,,,,,,,,
,,2010 - 2011,311.0,274.0,0.88,,,,,,,,,
,,2011 - 2012,673.0,,1.93,,,,,,,,,
,,2012 - 2013,280.0,395.0,1.41,,,,,,,,,
,,2013 - 2014,426.0,,2.4,,,,,,,,,
,,2014 - 2015,307.0,194.0,0.63,,,,,,,,,
,,2015 - 2016,369.0,262.0,0.71,,,,,,,,,
,,2016 - 2017,431.0,430.0,1.0,,,,,,,,,
,,2017 - 2018,330.0,407.0,1.23,,,,,,,,,
,,2018 - 2019,,,1.11,,,,,,,,,
,,2019 - 2020,329.0,252.0,0.77,,,,,,,,,
,,2020 - 2021,306.0,289.0,0.94,,,,,,,,,
,,2021 - 2022,328.0,226.0,0.69,,,,,,,,,
,,2022 - 2023,380.0,271.0,0.71,,,,,,,,,
,Jalaun,2000 - 2001,,,0.5,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,
,,2002 - 2003,,,1.08,,,,,,,,,
,,2003 - 2004,,,1.16,,,,,,,,,
,,2006 - 2007,,,0.66,,,,,,,,,
,,2007 - 2008,,,0.62,,,,,,,,,
,,2008 - 2009,,,1.16,,,,,,,,,
,,2009 - 2010,,,0.89,,,,,,,,,
,,2010 - 2011,,,0.81,,,,,,,,,
,,2011 - 2012,,,1.19,,,,,,,,,
,,2012 - 2013,,,1.22,,,,,,,,,
,,2013 - 2014,,,0.76,,,,,,,,,
,,2014 - 2015,,,0.46,,,,,,,,,
,,2015 - 2016,,,0.64,,,,,,,,,
,,2016 - 2017,,,1.34,,,,,,,,,
,,2017 - 2018,,,1.3,,,,,,,,,
,,2018 - 2019,,,1.36,,,,,,,,,
,,2019 - 2020,,,1.35,,,,,,,,,
,,2020 - 2021,,,1.24,,,,,,,,,
,,2021 - 2022,,,1.25,,,,,,,,,
,,2022 - 2023,,,1.23,,,,,,,,,
,Jaunpur,2000 - 2001,118.0,63.0,0.53,,,,,,,,,
,,2001 - 2002,123.0,86.0,0.7,,,,,,,,,
,,2002 - 2003,176.0,111.0,0.63,,,,,,,,,
,,2003 - 2004,258.0,201.0,0.78,,,,,,,,,
,,2006 - 2007,27.0,21.0,0.78,,,,,,,,,
,,2007 - 2008,19.0,17.0,0.89,,,,,,,,,
,,2008 - 2009,154.0,153.0,0.99,,,,,,,,,
,,2009 - 2010,124.0,117.0,0.94,,,,,,,,,
,,2010 - 2011,150.0,116.0,0.77,,,,,,,,,
,,2011 - 2012,,,1.05,,,,,,,,,
,,2012 - 2013,114.0,96.0,0.84,,,,,,,,,
