state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2006 - 2007,,,0.91,681.0,620.0,0.91,,,,,,
,,2007 - 2008,,,1.1,,,,,,,,,
,,2008 - 2009,,,1.09,368.0,400.0,1.09,,,,,,
,,2009 - 2010,,,0.72,488.0,352.0,0.72,,,,,,
,,2010 - 2011,,,1.49,416.0,618.0,1.49,,,,,,
,,2011 - 2012,,,0.47,619.0,290.0,0.47,,,,,,
,,2012 - 2013,,,1.25,,,1.0,,,,,,
,,2013 - 2014,,,1.14,219.0,249.0,1.14,,,,,,
,,2014 - 2015,,,1.4,184.0,258.0,1.4,,,,,,
,,2015 - 2016,,,1.36,99.0,134.0,1.35,,,,,,
,,2016 - 2017,,,1.72,219.0,377.0,1.72,,,,,,
,,2017 - 2018,,,1.94,310.0,602.0,1.94,,,,,,
,,2018 - 2019,,,0.73,112.0,82.0,0.73,,,,,,
,,2019 - 2020,,,2.28,820.0,,2.28,,,,,,
,,2020 - 2021,,,1.37,,,1.37,,,,,,
,,2021 - 2022,,,1.8,,,1.8,,,,,,
,,2022 - 2023,,,1.7,,,1.76,,,,,,
,Nandyal,2022 - 2023,,,1.43,494.0,870.0,1.76,,,,,,
,Palnadu,2022 - 2023,75.0,173.0,2.31,1.0,2.0,2.0,,,,,,
,Parvathipuram manyam,2022 - 2023,18.0,41.0,2.28,,,,,,,,,
,Prakasam,2000 - 2001,,,1.5,,,1.5,,,,,,
,,2001 - 2002,,,1.23,717.0,880.0,1.23,,,,,,
,,2002 - 2003,,,0.93,198.0,185.0,0.93,,,,,,
,,2003 - 2004,,,1.41,66.0,93.0,1.41,,,,,,
,,2004 - 2005,,,1.19,148.0,176.0,1.19,,,,,,
,,2005 - 2006,,,1.63,159.0,260.0,1.64,,,,,,
,,2006 - 2007,,,1.17,266.0,311.0,1.17,,,,,,
,,2007 - 2008,,,2.06,,,,,,,,,
,,2008 - 2009,,,1.13,54.0,61.0,1.13,,,,,,
,,2009 - 2010,,,2.53,426.0,,2.53,,,,,,
,,2010 - 2011,,,2.16,990.0,,2.16,,,,,,
,,2011 - 2012,,,2.1,377.0,792.0,2.1,,,,,,
,,2012 - 2013,,,2.07,,,1.0,,,,,,
,,2013 - 2014,,,1.81,649.0,,1.81,,,,,,
