state,district,year,bajra_kharif_area_hectare,bajra_kharif_production_tonne,bajra_kharif_yield_tonne_per_hectare,bajra_rabi_area_hectare,bajra_rabi_production_tonne,bajra_rabi_yield_tonne_per_hectare,bajra_whole_year_area_hectare,bajra_whole_year_production_tonne,bajra_whole_year_yield_tonne_per_hectare,bajra_summer_area_hectare,bajra_summer_production_tonne,bajra_summer_yield_tonne_per_hectare
,,2004 - 2005,,,,543.0,172.0,0.32,,,,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,,,,
,,2006 - 2007,,,,165.0,58.0,0.35,,,,,,
,,2008 - 2009,,,,4.0,3.0,0.75,,,,,,
,,2009 - 2010,,,,710.0,344.0,0.48,,,,,,
,,2010 - 2011,,,,,,0.73,,,,,,
,,2011 - 2012,,,,599.0,375.0,0.63,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,
,,2013 - 2014,,,,,,0.94,,,,,,
,,2014 - 2015,,,,,,0.94,,,,,,
,,2015 - 2016,,,,,973.0,0.94,,,,,,
,,2020 - 2021,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,Khammam,2000 - 2001,221.0,133.0,0.6,91.0,55.0,0.6,,,,,,
,,2001 - 2002,124.0,58.0,0.47,73.0,34.0,0.47,,,,,,
,,2002 - 2003,292.0,138.0,0.47,24.0,11.0,0.46,,,,,,
,,2003 - 2004,675.0,412.0,0.61,61.0,37.0,0.61,,,,,,
,,2004 - 2005,202.0,64.0,0.32,,,,,,,,,
,,2005 - 2006,261.0,165.0,0.63,1.0,1.0,1.0,,,,,,
,,2006 - 2007,35.0,12.0,0.34,,,,,,,,,
,,2008 - 2009,33.0,21.0,0.64,6.0,4.0,0.67,,,,,,
,,2009 - 2010,4.0,2.0,0.5,28.0,14.0,0.5,,,,,,
,,2010 - 2011,6.0,4.0,0.67,,,,,,,,,
,,2011 - 2012,4.0,3.0,0.75,,,,,,,,,
,,2013 - 2014,2.0,2.0,1.0,6.0,6.0,1.0,,,,,,
,,2016 - 2017,2.0,2.0,1.0,,,,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,Komaram bheem asifabad,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,1.0,2.0,2.0,,,,,,,,,
,,2022 - 2023,183.0,155.0,0.85,,,,,,,,,
,Mahabubabad,2017 - 2018,,,,3.0,3.0,1.0,,,,,,
,,2018 - 2019,,,,1.0,,0.0,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,2.0,7.0,3.5,,,,,,
,Mahbubnagar,2000 - 2001,,,0.61,594.0,364.0,0.61,,,,,,
,,2001 - 2002,,,0.48,29.0,14.0,0.48,,,,,,
,,2002 - 2003,,,0.55,1.0,1.0,1.0,,,,,,
,,2003 - 2004,,,0.58,48.0,28.0,0.58,,,,,,
,,2004 - 2005,,,0.47,,,,,,,,,
,,2005 - 2006,,,0.79,,,,,,,,,
,,2006 - 2007,,,0.38,,,,,,,,,
,,2007 - 2008,,,0.67,,,,,,,,,
,,2008 - 2009,,,0.66,101.0,67.0,0.66,,,,,,
,,2009 - 2010,,,0.44,,,,,,,,,
,,2010 - 2011,,,0.74,14.0,10.0,0.71,,,,,,
,,2011 - 2012,,,0.55,20.0,11.0,0.55,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,,,0.93,,,,,,,,,
,,2014 - 2015,,,0.95,,,,,,,,,
,,2015 - 2016,,,0.95,,,,,,,,,
,,2016 - 2017,4.0,4.0,1.0,,,,,,,,,
,,2019 - 2020,9.0,11.0,1.22,,,,,,,,,
,,2020 - 2021,17.0,16.0,0.94,,,,,,,,,
,,2021 - 2022,5.0,6.0,1.2,,,,,,,,,
,Medak,2000 - 2001,,646.0,0.6,,,,,,,,,
,,2001 - 2002,870.0,406.0,0.47,,,,,,,,,
,,2002 - 2003,588.0,279.0,0.47,,,,,,,,,
,,2003 - 2004,665.0,406.0,0.61,9.0,5.0,0.56,,,,,,
,,2004 - 2005,338.0,107.0,0.32,,,,,,,,,
,,2005 - 2006,613.0,389.0,0.63,2.0,1.0,0.5,,,,,,
,,2006 - 2007,508.0,179.0,0.35,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,
,,2008 - 2009,739.0,469.0,0.63,,,,,,,,,
,,2009 - 2010,266.0,129.0,0.48,,,,,,,,,
,,2010 - 2011,406.0,294.0,0.72,,,,,,,,,
,,2011 - 2012,323.0,202.0,0.63,,,,,,,,,
,,2013 - 2014,232.0,219.0,0.94,,,,,,,,,
,,2014 - 2015,294.0,275.0,0.94,9.0,8.0,0.89,,,,,,
,,2015 - 2016,285.0,267.0,0.94,,,,,,,,,
,,2016 - 2017,,,,2.0,2.0,1.0,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,,,,
,,2019 - 2020,19.0,23.0,1.21,7.0,9.0,1.29,,,,,,
,,2020 - 2021,11.0,11.0,1.0,18.0,18.0,1.0,,,,,,
,,2021 - 2022,8.0,10.0,1.25,22.0,22.0,1.0,,,,,,
,,2022 - 2023,4.0,3.0,0.75,11.0,36.0,3.27,,,,,,
,Medchal,2020 - 2021,3.0,3.0,1.0,4.0,4.0,1.0,,,,,,
,,2021 - 2022,5.0,6.0,1.2,7.0,7.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,5.0,16.0,3.2,,,,,,
,Mulugu,2021 - 2022,,,,3.0,3.0,1.0,,,,,,
,Nagarkurnool,2016 - 2017,456.0,484.0,1.06,,,,,,,,,
,,2017 - 2018,269.0,284.0,1.06,,,,,,,,,
,,2018 - 2019,5.0,1.0,0.2,,,,,,,,,
,,2019 - 2020,91.0,111.0,1.22,2.0,2.0,1.0,,,,,,
,,2020 - 2021,69.0,63.0,0.91,8.0,8.0,1.0,,,,,,
,,2021 - 2022,4.0,5.0,1.25,12.0,12.0,1.0,,,,,,
,,2022 - 2023,16.0,14.0,0.88,8.0,26.0,3.25,,,,,,
,Nalgonda,2000 - 2001,,,0.59,5.0,3.0,0.6,,,,,,
,,2001 - 2002,,,0.44,24.0,11.0,0.46,,,,,,
,,2002 - 2003,,,0.41,,,,,,,,,
,,2003 - 2004,,,0.63,5.0,3.0,0.6,,,,,,
,,2004 - 2005,,,0.2,82.0,16.0,0.2,,,,,,
,,2005 - 2006,,,0.47,9.0,4.0,0.44,,,,,,
,,2006 - 2007,,,0.31,,,,,,,,,
,,2007 - 2008,,,0.4,,,,,,,,,
,,2008 - 2009,,,0.5,6.0,3.0,0.5,,,,,,
,,2009 - 2010,,,0.6,,,,,,,,,
,,2010 - 2011,,,0.7,,,,,,,,,
,,2011 - 2012,916.0,752.0,0.82,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,765.0,773.0,1.01,2.0,2.0,1.0,,,,,,
,,2014 - 2015,41.0,17.0,0.41,,,,,,,,,
,,2015 - 2016,53.0,31.0,0.58,2.0,1.0,0.5,,,,,,
,,2016 - 2017,,633.0,0.59,16.0,9.0,0.56,,,,,,
,,2017 - 2018,127.0,92.0,0.72,8.0,6.0,0.75,,,,,,
,,2018 - 2019,8.0,4.0,0.5,,,,,,,,,
,,2019 - 2020,84.0,102.0,1.21,7.0,9.0,1.29,,,,,,
,,2020 - 2021,46.0,42.0,0.91,21.0,20.0,0.95,,,,,,
,,2021 - 2022,10.0,12.0,1.2,37.0,37.0,1.0,,,,,,
,,2022 - 2023,9.0,8.0,0.89,42.0,137.0,3.26,,,,,,
,Narayanapet,2019 - 2020,3.0,4.0,1.33,,,,,,,,,
,,2020 - 2021,3.0,3.0,1.0,,,,,,,,,
,,2021 - 2022,2.0,2.0,1.0,15.0,15.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,3.0,10.0,3.33,,,,,,
,Nirmal,2017 - 2018,,,,,,1.06,,,,,,
,,2018 - 2019,,,,764.0,380.0,0.5,,,,,,
,,2019 - 2020,,,,439.0,,0.0,,,,,,
,,2020 - 2021,,,,500.0,464.0,0.93,,,,,,
,,2021 - 2022,,,,45.0,45.0,1.0,,,,,,
,,2022 - 2023,,,,3.0,6.0,2.0,,,,,,
,Nizamabad,2000 - 2001,,,,,,0.6,,,,,,
,,2001 - 2002,,,,,,0.47,,,,,,
,,2002 - 2003,,,,,,0.47,,,,,,
,,2003 - 2004,,,,,,0.61,,,,,,
,,2004 - 2005,,,,,,0.32,,,,,,
,,2005 - 2006,,,,,,0.63,,,,,,
,,2006 - 2007,,,,,,0.35,,,,,,
,,2007 - 2008,,,,,,0.67,,,,,,
,,2008 - 2009,18.0,11.0,0.61,,,0.63,,,,,,
,,2009 - 2010,,,,,,0.48,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,0.73,,,,,,
,,2011 - 2012,37.0,23.0,0.62,,,0.63,,,,,,
,,2012 - 2013,,,,,,2.0,,,,,,
,,2013 - 2014,,,,,,0.94,,,,,,
,,2014 - 2015,,,,,,0.94,,,,,,
,,2015 - 2016,,,,,,0.94,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,0.87,,,,,,
,,2017 - 2018,,,,,,1.06,,,,,,
,,2018 - 2019,,,,,,0.5,,,,,,
,,2019 - 2020,4.0,5.0,1.25,,,1.22,,,,,,
,,2020 - 2021,14.0,13.0,0.93,,,0.93,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,1.01,,,,,,
,,2022 - 2023,4.0,3.0,0.75,,,3.26,,,,,,
,Peddapalli,2016 - 2017,,,,,,0.87,,,,,,
,,2022 - 2023,,,,1.0,3.0,3.0,,,,,,
,Rajanna,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,Rangareddi,2000 - 2001,,661.0,0.6,39.0,23.0,0.59,,,,,,
,,2001 - 2002,706.0,330.0,0.47,34.0,16.0,0.47,,,,,,
,,2002 - 2003,691.0,328.0,0.47,1.0,,0.0,,,,,,
,,2003 - 2004,969.0,592.0,0.61,1.0,1.0,1.0,,,,,,
,,2004 - 2005,967.0,306.0,0.32,2.0,1.0,0.5,,,,,,
,,2005 - 2006,521.0,330.0,0.63,,,,,,,,,
,,2006 - 2007,354.0,125.0,0.35,,,,,,,,,
,,2008 - 2009,333.0,211.0,0.63,,,,,,,,,
,,2009 - 2010,168.0,81.0,0.48,,,,,,,,,
,,2010 - 2011,331.0,240.0,0.73,,,,,,,,,
,,2011 - 2012,88.0,55.0,0.63,,,,,,,,,
,,2013 - 2014,145.0,137.0,0.94,2.0,2.0,1.0,,,,,,
,,2014 - 2015,51.0,48.0,0.94,9.0,8.0,0.89,,,,,,
,,2015 - 2016,65.0,61.0,0.94,,,,,,,,,
,,2016 - 2017,136.0,118.0,0.87,3.0,3.0,1.0,,,,,,
,,2017 - 2018,66.0,70.0,1.06,,,,,,,,,
,,2018 - 2019,55.0,27.0,0.49,1.0,,0.0,,,,,,
,,2019 - 2020,113.0,137.0,1.21,14.0,17.0,1.21,,,,,,
,,2020 - 2021,69.0,64.0,0.93,42.0,39.0,0.93,,,,,,
,,2021 - 2022,14.0,17.0,1.21,24.0,26.0,1.08,,,,,,
,,2022 - 2023,10.0,8.0,0.8,9.0,29.0,3.22,,,,,,
,Sangareddy,2016 - 2017,240.0,209.0,0.87,,,,,,,,,
,,2017 - 2018,98.0,104.0,1.06,1.0,1.0,1.0,,,,,,
,,2018 - 2019,125.0,62.0,0.5,,,,,,,,,
,,2019 - 2020,115.0,54.0,0.47,3.0,1.0,0.33,,,,,,
,,2020 - 2021,66.0,45.0,0.68,3.0,2.0,0.67,,,,,,
,,2021 - 2022,26.0,3.0,0.12,14.0,14.0,1.0,,,,,,
,,2022 - 2023,8.0,7.0,0.88,,,,,,,,,
,Siddipet,2020 - 2021,6.0,6.0,1.0,24.0,23.0,0.96,,,,,,
,,2021 - 2022,8.0,10.0,1.25,12.0,12.0,1.0,,,,,,
,,2022 - 2023,1.0,1.0,1.0,2.0,7.0,3.5,,,,,,
,Suryapet,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,,,,1.0,3.0,3.0,,,,,,
,Vikarabad,2016 - 2017,7.0,6.0,0.86,,,,,,,,,
,,2017 - 2018,3.0,3.0,1.0,,,,,,,,,
,,2018 - 2019,2.0,1.0,0.5,,,,,,,,,
,,2019 - 2020,57.0,69.0,1.21,,,,,,,,,
,,2020 - 2021,9.0,8.0,0.89,1.0,1.0,1.0,,,,,,
,,2021 - 2022,8.0,10.0,1.25,,,,,,,,,
,,2022 - 2023,4.0,3.0,0.75,1.0,3.0,3.0,,,,,,
,Wanaparthy,2017 - 2018,2.0,2.0,1.0,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,2.0,2.0,1.0,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,,,,
,Warangal,2000 - 2001,79.0,47.0,0.59,15.0,9.0,0.6,,,,,,
,,2001 - 2002,55.0,26.0,0.47,,,,,,,,,
,,2002 - 2003,49.0,23.0,0.47,,,,,,,,,
,,2003 - 2004,62.0,38.0,0.61,290.0,177.0,0.61,,,,,,
,,2004 - 2005,25.0,8.0,0.32,,,,,,,,,
,,2005 - 2006,73.0,46.0,0.63,,,,,,,,,
,,2006 - 2007,22.0,8.0,0.36,,,,,,,,,
,,2007 - 2008,,,,,,0.5,,,,,,
,,2010 - 2011,9.0,7.0,0.78,,,,,,,,,
,,2011 - 2012,,,,4.0,3.0,0.75,,,,,,
,,2014 - 2015,7.0,7.0,1.0,77.0,72.0,0.94,,,,,,
,,2015 - 2016,6.0,6.0,1.0,4.0,4.0,1.0,,,,,,
,,2018 - 2019,,,,1.0,,0.0,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,3.0,10.0,3.33,,,,,,
,Warangal urban,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,,,,1.0,3.0,3.0,,,,,,
,Yadadri,2016 - 2017,29.0,17.0,0.59,,,,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,8.0,8.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,
The Dadra & Nagar Haveli and Daman and Diu,Diu,2021 - 2022,496.0,759.0,1.53,,,,,,,,,
,,2022 - 2023,496.0,753.0,1.52,,,,,,,,,
Uttar Pradesh,Agra,2000 - 2001,,,1.41,,,,,,,,,
,,2001 - 2002,,,1.12,,,,,,,,,
,,2002 - 2003,,,1.59,,,,,,,,,
,,2003 - 2004,,,1.42,,,,,,,,,
,,2004 - 2005,,,1.95,,,,,,,,,
,,2005 - 2006,,,1.4,,,,,,,,,
,,2006 - 2007,,,1.38,,,,,,,,,
,,2007 - 2008,,,1.25,,,,,,,,,
,,2008 - 2009,,,1.57,,,,,,,,,
,,2009 - 2010,,,1.57,,,,,,,,,
,,2010 - 2011,,,1.77,,,,,,,,,
,,2011 - 2012,,,2.11,,,,,,,,,
,,2012 - 2013,,,2.15,,,,,,,,,
,,2013 - 2014,,,2.4,,,,,,,,,
,,2014 - 2015,,,2.09,,,,,,,,,
,,2015 - 2016,,,1.9,,,,,,,,,
,,2016 - 2017,,,2.45,,,,,,,,,
,,2017 - 2018,,,2.38,,,,,,,,,
,,2018 - 2019,,,2.28,,,,,,,,,
,,2019 - 2020,,,2.48,,,,,,,,,
,,2020 - 2021,,,2.45,,,,,,,,,
,,2021 - 2022,,,2.38,,,,,,,,,
,,2022 - 2023,,,2.27,,,,,,,,,
,Aligarh,2000 - 2001,,,1.66,,,,,,,,,
,,2001 - 2002,,,1.29,,,,,,,,,
,,2002 - 2003,,,1.54,,,,,,,,,
,,2003 - 2004,,,1.56,,,,,,,,,
,,2004 - 2005,,,1.86,,,,,,,,,
,,2005 - 2006,,,1.73,,,,,,,,,
,,2006 - 2007,,,1.72,,,,,,,,,
,,2007 - 2008,,,1.91,,,,,,,,,
,,2008 - 2009,,,2.04,,,,,,,,,
,,2009 - 2010,,,1.81,,,,,,,,,
,,2010 - 2011,,,1.98,,,,,,,,,
,,2011 - 2012,,,1.93,,,,,,,,,
,,2012 - 2013,,,2.5,,,,,,,,,
,,2013 - 2014,,,3.12,,,,,,,,,
,,2014 - 2015,,,2.09,,,,,,,,,
,,2015 - 2016,,,2.24,,,,,,,,,
,,2016 - 2017,,,2.3,,,,,,,,,
,,2017 - 2018,,,2.37,,,,,,,,,
,,2018 - 2019,,,2.2,,,,,,,,,
,,2019 - 2020,,,2.33,,,,,,,,,
,,2020 - 2021,,,2.4,,,,,,,,,
,,2021 - 2022,,,2.34,,,,,,,,,
,,2022 - 2023,,,2.62,,,,,,,,,
,Allahabad,2000 - 2001,,,0.59,,,,,,,,,
,,2001 - 2002,,,0.92,,,,,,,,,
,,2002 - 2003,,,0.89,,,,,,,,,
,,2003 - 2004,,,0.61,,,,,,,,,
,,2004 - 2005,,,0.96,,,,,,,,,
,,2005 - 2006,,,1.19,,,,,,,,,
,,2006 - 2007,,,0.92,,,,,,,,,
,,2007 - 2008,,,1.15,,,,,,,,,
,,2008 - 2009,,,1.04,,,,,,,,,
,,2009 - 2010,,,0.94,,,,,,,,,
,,2010 - 2011,,,1.01,,,,,,,,,
,,2011 - 2012,,,0.95,,,,,,,,,
,,2012 - 2013,,,0.92,,,,,,,,,
,,2013 - 2014,,,0.73,,,,,,,,,
,,2014 - 2015,,,0.69,,,,,,,,,
,,2015 - 2016,,,0.9,,,,,,,,,
,,2016 - 2017,,,0.95,,,,,,,,,
,,2017 - 2018,,,0.75,,,,,,,,,
,,2018 - 2019,,,1.34,,,,,,,,,
,,2019 - 2020,,,1.23,,,,,,,,,
,,2020 - 2021,,,1.2,,,,,,,,,
,,2021 - 2022,,,1.06,,,,,,,,,
,,2022 - 2023,,,1.75,,,,,,,,,
,Ambedkar nagar,2000 - 2001,76.0,118.0,1.55,,,,,,,,,
,,2001 - 2002,478.0,601.0,1.26,,,,,,,,,
,,2002 - 2003,40.0,55.0,1.38,,,,,,,,,
,,2003 - 2004,73.0,100.0,1.37,,,,,,,,,
,,2004 - 2005,41.0,64.0,1.56,,,,,,,,,
,,2005 - 2006,78.0,122.0,1.56,,,,,,,,,
,,2006 - 2007,34.0,51.0,1.5,,,,,,,,,
,,2007 - 2008,11.0,17.0,1.55,,,,,,,,,
,,2008 - 2009,27.0,45.0,1.67,,,,,,,,,
,,2009 - 2010,16.0,27.0,1.69,,,,,,,,,
,,2010 - 2011,17.0,17.0,1.0,,,,,,,,,
,,2011 - 2012,193.0,367.0,1.9,,,,,,,,,
,,2012 - 2013,8.0,7.0,0.88,,,,,,,,,
,,2013 - 2014,53.0,51.0,0.96,,,,,,,,,
,,2014 - 2015,14.0,17.0,1.21,,,,,,,,,
,,2015 - 2016,23.0,12.0,0.52,,,,,,,,,
,,2016 - 2017,8.0,7.0,0.88,,,,,,,,,
,,2017 - 2018,8.0,16.0,2.0,,,,,,,,,
,,2018 - 2019,9.0,19.0,2.11,,,,,,,,,
,,2019 - 2020,9.0,19.0,2.11,,,,,,,,,
,,2020 - 2021,2.0,5.0,2.5,,,,,,,,,
,,2021 - 2022,3.0,6.0,2.0,,,,,,,,,
,,2022 - 2023,3.0,6.0,2.0,,,,,,,,,
,Amethi,2010 - 2011,550.0,645.0,1.17,,,,,,,,,
,,2011 - 2012,,,1.9,,,,,,,,,
,,2012 - 2013,486.0,410.0,0.84,,,,,,,,,
,,2013 - 2014,773.0,736.0,0.95,,,,,,,,,
,,2014 - 2015,159.0,196.0,1.23,,,,,,,,,
,,2015 - 2016,213.0,112.0,0.53,,,,,,,,,
,,2016 - 2017,418.0,335.0,0.8,,,,,,,,,
,,2017 - 2018,458.0,904.0,1.97,,,,,,,,,
,,2018 - 2019,385.0,796.0,2.07,,,,,,,,,
,,2019 - 2020,426.0,921.0,2.16,,,,,,,,,
,,2020 - 2021,396.0,946.0,2.39,,,,,,,,,
,,2021 - 2022,433.0,934.0,2.16,,,,,,,,,
,,2022 - 2023,401.0,866.0,2.16,,,,,,,,,
,Amroha,2000 - 2001,,,0.9,,,,,,,,,
,,2001 - 2002,,,1.34,,,,,,,,,
,,2002 - 2003,,,0.41,,,,,,,,,
,,2003 - 2004,,,0.66,,,,,,,,,
,,2004 - 2005,,,0.93,,,,,,,,,
,,2005 - 2006,,,0.78,,,,,,,,,
,,2006 - 2007,,,0.69,,,,,,,,,
,,2007 - 2008,,,0.99,,,,,,,,,
,,2008 - 2009,,,1.02,,,,,,,,,
,,2009 - 2010,,,0.91,,,,,,,,,
,,2010 - 2011,,,0.77,,,,,,,,,
,,2011 - 2012,,,0.84,,,,,,,,,
,,2012 - 2013,,,0.57,,,,,,,,,
,,2013 - 2014,,,0.57,,,,,,,,,
,,2014 - 2015,,,1.03,,,,,,,,,
,,2015 - 2016,,,1.29,,,,,,,,,
,,2016 - 2017,,,0.99,,,,,,,,,
,,2017 - 2018,,,0.97,,,,,,,,,
,,2018 - 2019,,,1.14,,,,,,,,,
,,2019 - 2020,,,1.07,,,,,,,,,
,,2020 - 2021,,,0.89,,,,,,,,,
,,2021 - 2022,,,1.26,,,,,,,,,
,,2022 - 2023,,,1.29,,,,,,,,,
,Auraiya,2000 - 2001,,,1.44,,,,,,,,,
,,2001 - 2002,,,1.35,,,,,,,,,
,,2002 - 2003,,,1.38,,,,,,,,,
,,2003 - 2004,,,1.34,,,,,,,,,
,,2004 - 2005,,,1.53,,,,,,,,,
,,2005 - 2006,,,1.54,,,,,,,,,
,,2006 - 2007,,,1.73,,,,,,,,,
,,2007 - 2008,,,1.84,,,,,,,,,
,,2008 - 2009,,,2.36,,,,,,,,,
,,2009 - 2010,,,2.27,,,,,,,,,
,,2010 - 2011,,,2.0,,,,,,,,,
,,2011 - 2012,,,2.06,,,,,,,,,
,,2012 - 2013,,,2.4,,,,,,,,,
,,2013 - 2014,,,2.29,,,,,,,,,
,,2014 - 2015,,,2.2,,,,,,,,,
,,2015 - 2016,,,2.29,,,,,,,,,
,,2016 - 2017,,,2.32,,,,,,,,,
,,2017 - 2018,,,2.29,,,,,,,,,
,,2018 - 2019,,,2.47,,,,,,,,,
,,2019 - 2020,,,2.58,,,,,,,,,
,,2020 - 2021,,,2.85,,,,,,,,,
,,2021 - 2022,,,2.76,,,,,,,,,
,,2022 - 2023,,,2.46,,,,,,,,,
,Azamgarh,2000 - 2001,133.0,104.0,0.78,,,,,,,,,
,,2001 - 2002,120.0,142.0,1.18,,,,,,,,,
,,2002 - 2003,58.0,78.0,1.34,,,,,,,,,
,,2003 - 2004,193.0,260.0,1.35,,,,,,,,,
,,2004 - 2005,92.0,149.0,1.62,,,,,,,,,
,,2005 - 2006,445.0,673.0,1.51,,,,,,,,,
,,2006 - 2007,96.0,148.0,1.54,,,,,,,,,
,,2007 - 2008,113.0,176.0,1.56,,,,,,,,,
,,2008 - 2009,268.0,446.0,1.66,,,,,,,,,
,,2009 - 2010,67.0,114.0,1.7,,,,,,,,,
,,2010 - 2011,144.0,139.0,0.97,,,,,,,,,
,,2011 - 2012,979.0,,1.47,,,,,,,,,
,,2012 - 2013,69.0,133.0,1.93,,,,,,,,,
,,2013 - 2014,116.0,147.0,1.27,,,,,,,,,
,,2014 - 2015,68.0,135.0,1.99,,,,,,,,,
,,2015 - 2016,32.0,58.0,1.81,,,,,,,,,
,,2016 - 2017,106.0,201.0,1.9,,,,,,,,,
,,2017 - 2018,112.0,216.0,1.93,,,,,,,,,
,,2018 - 2019,105.0,218.0,2.08,,,,,,,,,
,,2019 - 2020,112.0,242.0,2.16,,,,,,,,,
,,2020 - 2021,118.0,283.0,2.4,,,,,,,,,
,,2021 - 2022,119.0,257.0,2.16,,,,,,,,,
,,2022 - 2023,125.0,270.0,2.16,,,,,,,,,
,Baghpat,2000 - 2001,716.0,918.0,1.28,,,,,,,,,
,,2001 - 2002,673.0,668.0,0.99,,,,,,,,,
,,2002 - 2003,564.0,712.0,1.26,,,,,,,,,
,,2003 - 2004,912.0,,1.42,,,,,,,,,
,,2004 - 2005,653.0,967.0,1.48,,,,,,,,,
,,2005 - 2006,,,1.44,,,,,,,,,
,,2006 - 2007,626.0,777.0,1.24,,,,,,,,,
,,2007 - 2008,,,1.51,,,,,,,,,
,,2008 - 2009,466.0,832.0,1.79,,,,,,,,,
,,2009 - 2010,319.0,613.0,1.92,,,,,,,,,
,,2010 - 2011,458.0,818.0,1.79,,,,,,,,,
,,2011 - 2012,405.0,759.0,1.87,,,,,,,,,
,,2012 - 2013,440.0,,2.33,,,,,,,,,
,,2013 - 2014,922.0,,1.35,,,,,,,,,
,,2014 - 2015,685.0,,2.03,,,,,,,,,
,,2015 - 2016,573.0,,1.99,,,,,,,,,
,,2016 - 2017,445.0,521.0,1.17,,,,,,,,,
,,2017 - 2018,,,1.95,,,,,,,,,
,,2018 - 2019,542.0,,2.35,,,,,,,,,
,,2019 - 2020,641.0,,1.89,,,,,,,,,
,,2020 - 2021,428.0,805.0,1.88,,,,,,,,,
,,2021 - 2022,595.0,,1.74,,,,,,,,,
,,2022 - 2023,647.0,,1.6,,,,,,,,,
,Bahraich,2000 - 2001,286.0,496.0,1.73,,,,,,,,,
,,2001 - 2002,212.0,340.0,1.6,,,,,,,,,
,,2002 - 2003,23.0,36.0,1.57,,,,,,,,,
,,2003 - 2004,88.0,129.0,1.47,,,,,,,,,
,,2004 - 2005,34.0,63.0,1.85,,,,,,,,,
,,2005 - 2006,258.0,393.0,1.52,,,,,,,,,
,,2006 - 2007,17.0,30.0,1.76,,,,,,,,,
,,2007 - 2008,13.0,20.0,1.54,,,,,,,,,
,,2008 - 2009,51.0,93.0,1.82,,,,,,,,,
,,2009 - 2010,13.0,21.0,1.62,,,,,,,,,
,,2011 - 2012,12.0,25.0,2.08,,,,,,,,,
,,2012 - 2013,20.0,41.0,2.05,,,,,,,,,
,,2013 - 2014,24.0,49.0,2.04,,,,,,,,,
,,2014 - 2015,25.0,48.0,1.92,,,,,,,,,
,,2015 - 2016,6.0,10.0,1.67,,,,,,,,,
,,2016 - 2017,16.0,30.0,1.88,,,,,,,,,
,,2017 - 2018,14.0,27.0,1.93,,,,,,,,,
,,2018 - 2019,30.0,61.0,2.03,,,,,,,,,
,,2019 - 2020,30.0,64.0,2.13,,,,,,,,,
,,2020 - 2021,2.0,4.0,2.0,,,,,,,,,
,,2021 - 2022,21.0,45.0,2.14,,,,,,,,,
,,2022 - 2023,20.0,43.0,2.15,,,,,,,,,
,Ballia,2000 - 2001,,,0.79,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,
,,2002 - 2003,,,1.34,,,,,,,,,
,,2003 - 2004,,,1.35,,,,,,,,,
,,2004 - 2005,,,1.62,,,,,,,,,
,,2005 - 2006,,,1.51,,,,,,,,,
,,2006 - 2007,,,1.55,,,,,,,,,
,,2007 - 2008,,,1.56,,,,,,,,,
,,2008 - 2009,,,1.67,,,,,,,,,
,,2009 - 2010,,,1.7,,,,,,,,,
,,2010 - 2011,,,0.97,,,,,,,,,
,,2011 - 2012,,,1.47,,,,,,,,,
,,2012 - 2013,,,1.92,,,,,,,,,
,,2013 - 2014,,,1.27,,,,,,,,,
,,2014 - 2015,,,1.99,,,,,,,,,
,,2015 - 2016,,,1.81,,,,,,,,,
,,2016 - 2017,,,1.9,,,,,,,,,
,,2017 - 2018,,,1.93,,,,,,,,,
,,2018 - 2019,,,2.08,,,,,,,,,
,,2019 - 2020,460.0,993.0,2.16,,,,,,,,,
