state,district,year,groundnut_rabi_area_hectare,groundnut_rabi_production_tonne,groundnut_rabi_yield_tonne_per_hectare,groundnut_kharif_area_hectare,groundnut_kharif_production_tonne,groundnut_kharif_yield_tonne_per_hectare,groundnut_summer_area_hectare,groundnut_summer_production_tonne,groundnut_summer_yield_tonne_per_hectare,groundnut_whole_year_area_hectare,groundnut_whole_year_production_tonne,groundnut_whole_year_yield_tonne_per_hectare,groundnut_autumn_area_hectare,groundnut_autumn_production_tonne,groundnut_autumn_yield_tonne_per_hectare,groundnut_winter_area_hectare,groundnut_winter_production_tonne,groundnut_winter_yield_tonne_per_hectare
,,2006 - 2007,,,1.05,,,0.07,,,,,,,,,,,,
,,2007 - 2008,,,1.33,,,1.26,,,,,,,,,,,,
,,2008 - 2009,,,1.48,,,0.09,,,,,,,,,,,,
,,2009 - 2010,,,1.44,,,0.22,,,,,,,,,,,,
,,2010 - 2011,,,1.7,,,0.55,,,,,,,,,,,,
,,2011 - 2012,,,1.64,,,0.24,,,,,,,,,,,,
,,2012 - 2013,,,1.62,,,0.42,,,,,,,,,,,,
,,2013 - 2014,,,1.52,,,0.4,,,,,,,,,,,,
,,2014 - 2015,,,1.65,,,0.27,,,,,,,,,,,,
,,2015 - 2016,,,1.38,,,0.72,,,,,,,,,,,,
,,2016 - 2017,,,1.54,,,0.23,,,,,,,,,,,,
,,2017 - 2018,,,2.07,,,1.02,,,,,,,,,,,,
,,2018 - 2019,,,1.59,,,0.32,,,,,,,,,,,,
,,2019 - 2020,,,1.76,,,0.75,,,,,,,,,,,,
,,2020 - 2021,,,1.28,,,0.47,,,,,,,,,,,,
,,2021 - 2022,,,1.13,,,0.16,,,,,,,,,,,,
,,2022 - 2023,,,2.77,,,0.45,,,,,,,,,,,,
,Annamayya,2022 - 2023,,,2.83,,,1.31,,,,,,,,,,,,
,Bapatla,2022 - 2023,,,4.69,899.0,,3.39,,,,,,,,,,,,
,Chittoor,2000 - 2001,,,2.69,,,1.14,,,,,,,,,,,,
,,2001 - 2002,,,2.77,,,0.73,,,,,,,,,,,,
,,2002 - 2003,,,2.82,,,0.49,,,,,,,,,,,,
,,2003 - 2004,,,2.28,,,0.68,,,,,,,,,,,,
,,2004 - 2005,,,2.53,,,0.71,,,,,,,,,,,,
,,2005 - 2006,,,2.48,,,0.74,,,,,,,,,,,,
,,2006 - 2007,,,2.92,,,0.53,,,,,,,,,,,,
,,2007 - 2008,,,2.71,,,1.68,,,,,,,,,,,,
,,2008 - 2009,,,2.7,,,0.49,,,,,,,,,,,,
,,2009 - 2010,,,3.61,,,0.58,,,,,,,,,,,,
,,2010 - 2011,,,2.35,,,1.08,,,,,,,,,,,,
,,2011 - 2012,,,3.24,,,0.63,,,,,,,,,,,,
,,2012 - 2013,,,2.67,,,0.64,,,,,,,,,,,,
,,2013 - 2014,,,2.73,,,1.0,,,,,,,,,,,,
,,2014 - 2015,,,2.6,,,0.59,,,,,,,,,,,,
,,2015 - 2016,,,2.73,,,1.14,,,,,,,,,,,,
,,2016 - 2017,,,3.34,,,0.54,,,,,,,,,,,,
,,2017 - 2018,,,3.38,,,1.86,,,,,,,,,,,,
,,2018 - 2019,,,3.11,,,0.9,,,,,,,,,,,,
,,2019 - 2020,,,3.05,,,1.73,,,,,,,,,,,,
,,2020 - 2021,,,2.67,,,1.04,,,,,,,,,,,,
,,2021 - 2022,,,3.01,,,1.15,,,,,,,,,,,,
,,2022 - 2023,,,1.89,,,1.56,,,,,,,,,,,,
,East godavari,2000 - 2001,766.0,,1.57,344.0,354.0,1.03,,,,,,,,,,,,
,,2001 - 2002,494.0,979.0,1.98,140.0,72.0,0.51,,,,,,,,,,,,
,,2002 - 2003,526.0,920.0,1.75,50.0,48.0,0.96,,,,,,,,,,,,
,,2003 - 2004,580.0,977.0,1.68,125.0,120.0,0.96,,,,,,,,,,,,
,,2004 - 2005,434.0,897.0,2.07,60.0,58.0,0.97,,,,,,,,,,,,
,,2005 - 2006,546.0,,2.36,85.0,95.0,1.12,,,,,,,,,,,,
,,2006 - 2007,407.0,963.0,2.37,122.0,118.0,0.97,,,,,,,,,,,,
,,2008 - 2009,451.0,,2.24,35.0,42.0,1.2,,,,,,,,,,,,
,,2009 - 2010,479.0,,2.5,89.0,99.0,1.11,,,,,,,,,,,,
,,2010 - 2011,290.0,635.0,2.19,66.0,82.0,1.24,,,,,,,,,,,,
,,2011 - 2012,227.0,544.0,2.4,47.0,66.0,1.4,,,,,,,,,,,,
,,2013 - 2014,127.0,328.0,2.58,61.0,114.0,1.87,,,,,,,,,,,,
,,2014 - 2015,338.0,,3.25,27.0,44.0,1.63,,,,,,,,,,,,
,,2015 - 2016,300.0,876.0,2.92,57.0,119.0,2.09,,,,,,,,,,,,
,,2016 - 2017,266.0,821.0,3.09,45.0,101.0,2.24,,,,,,,,,,,,
,,2017 - 2018,157.0,494.0,3.15,7.0,18.0,2.57,,,,,,,,,,,,
,,2018 - 2019,181.0,530.0,2.93,,,,,,,,,,,,,,,
,,2019 - 2020,142.0,419.0,2.95,9.0,27.0,3.0,,,,,,,,,,,,
,,2020 - 2021,234.0,717.0,3.06,12.0,41.0,3.42,,,,,,,,,,,,
,,2021 - 2022,216.0,718.0,3.32,11.0,35.0,3.18,,,,,,,,,,,,
,,2022 - 2023,206.0,640.0,3.11,280.0,867.0,3.1,,,,,,,,,,,,
,Eluru,2022 - 2023,,,3.99,774.0,,3.25,,,,,,,,,,,,
,Guntur,2000 - 2001,,,2.25,255.0,278.0,1.09,,,,,,,,,,,,
,,2001 - 2002,,,2.54,189.0,138.0,0.73,,,,,,,,,,,,
,,2002 - 2003,,,2.15,161.0,141.0,0.88,,,,,,,,,,,,
,,2003 - 2004,,,1.34,265.0,254.0,0.96,,,,,,,,,,,,
,,2004 - 2005,,,2.53,184.0,176.0,0.96,,,,,,,,,,,,
,,2005 - 2006,,,3.36,235.0,263.0,1.12,,,,,,,,,,,,
,,2006 - 2007,,,2.25,178.0,173.0,0.97,,,,,,,,,,,,
,,2007 - 2008,,,1.29,,,,,,,,,,,,,,,
,,2008 - 2009,,,2.47,292.0,350.0,1.2,,,,,,,,,,,,
,,2009 - 2010,,,2.76,256.0,284.0,1.11,,,,,,,,,,,,
,,2010 - 2011,,,2.98,357.0,442.0,1.24,,,,,,,,,,,,
,,2011 - 2012,,,2.9,341.0,477.0,1.4,,,,,,,,,,,,
,,2012 - 2013,,,1.86,,,,,,,,,,,,,,,
,,2013 - 2014,,,3.58,510.0,955.0,1.87,,,,,,,,,,,,
,,2014 - 2015,,,5.15,804.0,,1.61,,,,,,,,,,,,
,,2015 - 2016,,,3.66,559.0,,2.09,,,,,,,,,,,,
,,2016 - 2017,,,3.43,698.0,,2.25,,,,,,,,,,,,
,,2017 - 2018,,,4.53,584.0,,2.51,,,,,,,,,,,,
,,2018 - 2019,,,3.93,597.0,,2.9,,,,,,,,,,,,
,,2019 - 2020,,,3.72,390.0,,3.05,,,,,,,,,,,,
,,2020 - 2021,,,4.36,434.0,,3.61,,,,,,,,,,,,
,,2021 - 2022,,,4.81,328.0,,4.35,,,,,,,,,,,,
,,2022 - 2023,2.0,8.0,4.0,16.0,50.0,3.13,,,,,,,,,,,,
,Kadapa,2000 - 2001,,,1.24,,,1.16,,,,,,,,,,,,
,,2001 - 2002,,,1.72,,,0.36,,,,,,,,,,,,
,,2002 - 2003,,,1.35,,,0.13,,,,,,,,,,,,
,,2003 - 2004,,,1.69,,,0.2,,,,,,,,,,,,
,,2004 - 2005,,,2.58,,,0.54,,,,,,,,,,,,
,,2005 - 2006,,,1.84,,,0.09,,,,,,,,,,,,
,,2006 - 2007,,,2.06,,,0.27,,,,,,,,,,,,
,,2007 - 2008,,,1.25,,,1.9,,,,,,,,,,,,
,,2008 - 2009,,,2.16,,,0.23,,,,,,,,,,,,
,,2009 - 2010,,,3.15,,,0.32,,,,,,,,,,,,
,,2010 - 2011,,,2.99,,,0.61,,,,,,,,,,,,
,,2011 - 2012,,,2.39,,,0.33,,,,,,,,,,,,
,,2012 - 2013,,,1.52,,,0.25,,,,,,,,,,,,
,,2013 - 2014,,,2.16,,,1.02,,,,,,,,,,,,
,,2014 - 2015,,,1.33,,,0.44,,,,,,,,,,,,
,,2015 - 2016,,,2.14,,,1.28,,,,,,,,,,,,
,,2016 - 2017,,,3.43,,,0.38,,,,,,,,,,,,
,,2017 - 2018,,,1.69,,,1.56,,,,,,,,,,,,
,,2018 - 2019,,,0.97,,,0.52,,,,,,,,,,,,
,,2019 - 2020,,,2.94,,,1.58,,,,,,,,,,,,
,,2020 - 2021,,,1.97,,,0.97,,,,,,,,,,,,
,,2021 - 2022,,,2.11,,,0.81,,,,,,,,,,,,
,,2022 - 2023,,,2.71,,,1.7,,,,,,,,,,,,
,Kakinada,2022 - 2023,101.0,379.0,3.75,5.0,15.0,3.0,,,,,,,,,,,,
,Konaseema,2022 - 2023,37.0,88.0,2.38,,,,,,,,,,,,,,,
,Krishna,2000 - 2001,,,2.37,,,0.78,,,,,,,,,,,,
,,2001 - 2002,,,2.24,,,0.8,,,,,,,,,,,,
,,2002 - 2003,,,1.87,985.0,977.0,0.99,,,,,,,,,,,,
,,2003 - 2004,,,1.67,,,1.09,,,,,,,,,,,,
,,2004 - 2005,,,2.33,,,2.41,,,,,,,,,,,,
,,2005 - 2006,,,1.93,,,2.34,,,,,,,,,,,,
,,2006 - 2007,,,2.74,,,2.08,,,,,,,,,,,,
,,2007 - 2008,,,2.33,,,2.0,,,,,,,,,,,,
,,2008 - 2009,,,2.11,,,2.88,,,,,,,,,,,,
,,2009 - 2010,,,1.66,,,2.33,,,,,,,,,,,,
,,2010 - 2011,,,1.37,,,2.8,,,,,,,,,,,,
,,2011 - 2012,,,2.18,,,1.88,,,,,,,,,,,,
,,2012 - 2013,,,2.33,,,2.5,,,,,,,,,,,,
,,2013 - 2014,,,1.78,,,1.92,,,,,,,,,,,,
,,2014 - 2015,845.0,,2.19,999.0,,2.69,,,,,,,,,,,,
,,2015 - 2016,815.0,,3.37,,,3.41,,,,,,,,,,,,
,,2016 - 2017,684.0,,2.98,926.0,,4.41,,,,,,,,,,,,
,,2017 - 2018,706.0,,3.58,,,2.72,,,,,,,,,,,,
,,2018 - 2019,547.0,,4.32,,,4.07,,,,,,,,,,,,
,,2019 - 2020,622.0,,4.14,870.0,,4.15,,,,,,,,,,,,
,,2020 - 2021,833.0,,3.06,,,2.3,,,,,,,,,,,,
,,2021 - 2022,992.0,,3.37,992.0,,2.64,,,,,,,,,,,,
,,2022 - 2023,446.0,,2.93,628.0,,2.5,,,,,,,,,,,,
,Kurnool,2000 - 2001,,,1.83,,,0.98,,,,,,,,,,,,
,,2001 - 2002,,,2.03,,,0.86,,,,,,,,,,,,
,,2002 - 2003,,,1.41,,,0.58,,,,,,,,,,,,
,,2003 - 2004,,,1.84,,,0.95,,,,,,,,,,,,
,,2004 - 2005,,,1.91,,,0.93,,,,,,,,,,,,
,,2005 - 2006,,,2.0,,,1.09,,,,,,,,,,,,
,,2006 - 2007,,,1.87,,,0.61,,,,,,,,,,,,
,,2007 - 2008,,,2.39,,,1.26,,,,,,,,,,,,
,,2008 - 2009,,,2.22,,,0.57,,,,,,,,,,,,
,,2009 - 2010,,,2.24,,,0.42,,,,,,,,,,,,
,,2010 - 2011,,,2.33,,,0.6,,,,,,,,,,,,
,,2011 - 2012,,,1.53,,,0.25,,,,,,,,,,,,
,,2012 - 2013,,,2.05,,,0.74,,,,,,,,,,,,
,,2013 - 2014,,,2.04,,,0.9,,,,,,,,,,,,
,,2014 - 2015,,,2.3,,,0.72,,,,,,,,,,,,
,,2015 - 2016,,,2.05,,,0.91,,,,,,,,,,,,
,,2016 - 2017,,,2.06,,,0.87,,,,,,,,,,,,
,,2017 - 2018,,,2.1,,,1.42,,,,,,,,,,,,
,,2018 - 2019,,,2.1,,,0.48,,,,,,,,,,,,
,,2019 - 2020,,,2.69,,,1.57,,,,,,,,,,,,
,,2020 - 2021,,,2.06,,,1.01,,,,,,,,,,,,
,,2021 - 2022,,,1.8,,,0.71,,,,,,,,,,,,
,,2022 - 2023,,,2.73,,,1.01,,,,,,,,,,,,
,Nandyal,2022 - 2023,,,1.99,,,0.76,,,,,,,,,,,,
,Ntr,2022 - 2023,21.0,79.0,3.76,30.0,93.0,3.1,,,,,,,,,,,,
,Palnadu,2022 - 2023,150.0,435.0,2.9,23.0,71.0,3.09,,,,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,148.0,555.0,3.75,28.0,87.0,3.11,,,,,,,,,,,,
,Prakasam,2000 - 2001,,,1.23,,,0.86,,,,,,,,,,,,
,,2001 - 2002,,,1.73,,,0.8,,,,,,,,,,,,
,,2002 - 2003,,,1.33,,,1.03,,,,,,,,,,,,
,,2003 - 2004,,,1.86,,,1.17,,,,,,,,,,,,
,,2004 - 2005,,,2.16,,,0.99,,,,,,,,,,,,
,,2005 - 2006,,,2.27,,,1.14,,,,,,,,,,,,
,,2006 - 2007,,,3.28,,862.0,0.55,,,,,,,,,,,,
,,2007 - 2008,,,2.13,,,0.5,,,,,,,,,,,,
,,2008 - 2009,,,2.64,,218.0,0.09,,,,,,,,,,,,
,,2009 - 2010,,,3.33,,,1.11,,,,,,,,,,,,
,,2010 - 2011,,,2.48,,388.0,0.16,,,,,,,,,,,,
,,2011 - 2012,,,3.0,,150.0,0.07,,,,,,,,,,,,
,,2012 - 2013,,,2.8,,,1.67,,,,,,,,,,,,
,,2013 - 2014,,,3.64,,,1.87,,,,,,,,,,,,
,,2014 - 2015,,,3.63,,,1.61,,,,,,,,,,,,
,,2015 - 2016,,,2.75,,,3.25,,,,,,,,,,,,
,,2016 - 2017,,,3.24,,,2.67,,,,,,,,,,,,
,,2017 - 2018,,,2.52,,,2.39,,,,,,,,,,,,
,,2018 - 2019,855.0,,3.95,,,3.84,,,,,,,,,,,,
,,2019 - 2020,,,3.02,,,3.19,,,,,,,,,,,,
,,2020 - 2021,,,2.77,,,3.09,,,,,,,,,,,,
,,2021 - 2022,,,2.32,,,2.59,,,,,,,,,,,,
,,2022 - 2023,292.0,486.0,1.66,446.0,989.0,2.22,,,,,,,,,,,,
,Spsr nellore,2000 - 2001,,,2.0,,,1.43,,,,,,,,,,,,
,,2001 - 2002,,,2.61,,,1.46,,,,,,,,,,,,
,,2002 - 2003,,,2.52,,,1.86,,,,,,,,,,,,
,,2003 - 2004,,,2.04,,,1.85,,,,,,,,,,,,
,,2004 - 2005,,,2.8,,,1.91,,,,,,,,,,,,
,,2005 - 2006,,,2.71,,,1.77,,,,,,,,,,,,
,,2006 - 2007,,,2.63,,,2.36,,,,,,,,,,,,
,,2007 - 2008,,,2.43,,,2.2,,,,,,,,,,,,
,,2008 - 2009,,,2.94,,,2.81,,,,,,,,,,,,
,,2009 - 2010,,,3.1,,,2.66,,,,,,,,,,,,
,,2010 - 2011,,,2.49,,,2.17,,,,,,,,,,,,
,,2011 - 2012,,,3.0,,,2.52,,,,,,,,,,,,
,,2012 - 2013,,,3.33,,,2.75,,,,,,,,,,,,
,,2013 - 2014,,,3.17,,,2.91,,,,,,,,,,,,
,,2014 - 2015,,,3.72,,,2.82,,,,,,,,,,,,
,,2015 - 2016,,,3.68,,,2.97,,,,,,,,,,,,
,,2016 - 2017,,,3.67,,,2.62,,,,,,,,,,,,
,,2017 - 2018,,,3.76,,,3.4,,,,,,,,,,,,
,,2018 - 2019,,,4.06,,,4.03,,,,,,,,,,,,
,,2019 - 2020,,,4.01,,,4.11,,,,,,,,,,,,
,,2020 - 2021,,,4.04,,,4.03,,,,,,,,,,,,
,,2021 - 2022,,,4.3,,,3.96,,,,,,,,,,,,
,,2022 - 2023,,,4.88,,,3.86,,,,,,,,,,,,
,Sri sathya sai,2022 - 2023,,,2.21,,,0.28,,,,,,,,,,,,
,Srikakulam,2000 - 2001,,,0.98,,,0.94,,,,,,,,,,,,
,,2001 - 2002,,,1.11,,,0.71,,,,,,,,,,,,
,,2002 - 2003,,,1.14,,,0.71,,,,,,,,,,,,
,,2003 - 2004,,,1.59,,,0.86,,,,,,,,,,,,
,,2004 - 2005,,,1.04,,,0.91,,,,,,,,,,,,
,,2005 - 2006,,,1.67,,,1.06,,,,,,,,,,,,
,,2006 - 2007,,,1.71,,,0.74,,,,,,,,,,,,
,,2007 - 2008,,,2.25,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,1.31,,,0.93,,,,,,,,,,,,
,,2009 - 2010,,,2.13,,,0.87,,,,,,,,,,,,
,,2010 - 2011,,,1.84,,,1.17,,,,,,,,,,,,
,,2011 - 2012,,,1.66,,,1.27,,,,,,,,,,,,
,,2012 - 2013,,,1.75,,,1.14,,,,,,,,,,,,
,,2013 - 2014,,,1.42,,,1.46,,,,,,,,,,,,
,,2014 - 2015,,,1.93,,,1.0,,,,,,,,,,,,
,,2015 - 2016,,,1.52,,,1.17,,,,,,,,,,,,
,,2016 - 2017,,,2.32,,,1.21,,,,,,,,,,,,
,,2017 - 2018,,,2.05,,,1.1,,,,,,,,,,,,
,,2018 - 2019,,,1.55,,,1.1,,,,,,,,,,,,
,,2019 - 2020,,,1.54,,,1.36,,,,,,,,,,,,
,,2020 - 2021,,,1.77,341.0,444.0,1.3,,,,,,,,,,,,
,,2021 - 2022,,,2.15,296.0,316.0,1.07,,,,,,,,,,,,
,,2022 - 2023,,,2.66,157.0,215.0,1.37,,,,,,,,,,,,
,Tirupati,2022 - 2023,,,4.35,,,2.08,,,,,,,,,,,,
,Visakhapatanam,2000 - 2001,,,1.57,,,1.1,,,,,,,,,,,,
,,2001 - 2002,,,1.98,,,1.14,,,,,,,,,,,,
,,2002 - 2003,893.0,,1.75,,,0.82,,,,,,,,,,,,
,,2003 - 2004,,,1.68,,,1.18,,,,,,,,,,,,
,,2004 - 2005,883.0,,2.07,,,1.13,,,,,,,,,,,,
,,2005 - 2006,995.0,,2.36,,,1.08,,,,,,,,,,,,
,,2006 - 2007,,,2.37,,,1.06,,,,,,,,,,,,
,,2007 - 2008,,,2.0,,,1.25,,,,,,,,,,,,
,,2008 - 2009,975.0,,2.24,,,1.12,,,,,,,,,,,,
,,2009 - 2010,,,2.5,,,0.93,,,,,,,,,,,,
,,2010 - 2011,,,2.19,,,0.99,,,,,,,,,,,,
,,2011 - 2012,788.0,,2.4,,,1.12,,,,,,,,,,,,
,,2012 - 2013,,,2.0,,,1.0,,,,,,,,,,,,
,,2013 - 2014,810.0,,2.58,,,1.1,,,,,,,,,,,,
,,2014 - 2015,742.0,,3.25,,,1.07,,,,,,,,,,,,
,,2015 - 2016,670.0,849.0,1.27,,,1.39,,,,,,,,,,,,
,,2016 - 2017,625.0,,1.64,,,1.34,,,,,,,,,,,,
,,2017 - 2018,598.0,,1.71,,,1.36,,,,,,,,,,,,
,,2018 - 2019,411.0,697.0,1.7,,,1.51,,,,,,,,,,,,
,,2019 - 2020,512.0,849.0,1.66,,,1.47,,,,,,,,,,,,
,,2020 - 2021,647.0,894.0,1.38,,,2.11,,,,,,,,,,,,
,,2021 - 2022,564.0,917.0,1.63,,,1.74,,,,,,,,,,,,
,,2022 - 2023,6.0,23.0,3.83,59.0,183.0,3.1,,,,,,,,,,,,
,Vizianagaram,2000 - 2001,,,0.62,,,0.94,,,,,,,,,,,,
,,2001 - 2002,,,1.27,,,0.79,,,,,,,,,,,,
,,2002 - 2003,,,0.95,,,0.79,,,,,,,,,,,,
,,2003 - 2004,,,1.37,,,0.84,,,,,,,,,,,,
,,2004 - 2005,,,0.76,,,0.81,,,,,,,,,,,,
,,2005 - 2006,,,0.74,,,0.97,,,,,,,,,,,,
,,2006 - 2007,,,1.47,,,0.88,,,,,,,,,,,,
,,2007 - 2008,,,2.67,,,1.15,,,,,,,,,,,,
,,2008 - 2009,,,2.39,,,0.92,,,,,,,,,,,,
,,2009 - 2010,,,1.72,,,0.93,,,,,,,,,,,,
,,2010 - 2011,,,1.34,,,1.07,,,,,,,,,,,,
,,2011 - 2012,,,1.48,,,1.19,,,,,,,,,,,,
,,2012 - 2013,,,1.5,,,1.08,,,,,,,,,,,,
,,2013 - 2014,,,1.28,,,1.22,,,,,,,,,,,,
,,2014 - 2015,,,2.49,,,1.03,,,,,,,,,,,,
,,2015 - 2016,,,2.59,,,1.04,,,,,,,,,,,,
,,2016 - 2017,,,1.95,,,1.16,,,,,,,,,,,,
,,2017 - 2018,,,2.07,,,1.16,,,,,,,,,,,,
,,2018 - 2019,,,2.31,,,1.01,,,,,,,,,,,,
,,2019 - 2020,524.0,,2.31,980.0,,1.28,,,,,,,,,,,,
,,2020 - 2021,737.0,,2.54,470.0,569.0,1.21,,,,,,,,,,,,
,,2021 - 2022,553.0,,2.35,545.0,615.0,1.13,,,,,,,,,,,,
,,2022 - 2023,264.0,670.0,2.54,359.0,477.0,1.33,,,,,,,,,,,,
,West godavari,2000 - 2001,,,1.92,790.0,,1.27,,,,,,,,,,,,
,,2001 - 2002,,,2.31,670.0,,1.68,,,,,,,,,,,,
,,2002 - 2003,,,1.98,155.0,242.0,1.56,,,,,,,,,,,,
,,2003 - 2004,,,2.02,465.0,445.0,0.96,,,,,,,,,,,,
,,2004 - 2005,,,2.51,934.0,896.0,0.96,,,,,,,,,,,,
,,2005 - 2006,,,4.3,,,1.12,,,,,,,,,,,,
,,2006 - 2007,,,2.44,,,0.97,,,,,,,,,,,,
,,2007 - 2008,,,3.0,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,,2.11,,,1.2,,,,,,,,,,,,
,,2009 - 2010,,,2.45,,,1.11,,,,,,,,,,,,
,,2010 - 2011,,,2.31,,,1.24,,,,,,,,,,,,
,,2011 - 2012,,,2.5,,,1.4,,,,,,,,,,,,
,,2012 - 2013,,,3.0,,,2.0,,,,,,,,,,,,
,,2013 - 2014,,,2.88,,,1.87,,,,,,,,,,,,
,,2014 - 2015,,,2.68,343.0,554.0,1.62,,,,,,,,,,,,
,,2015 - 2016,,,3.65,,,2.09,,,,,,,,,,,,
,,2016 - 2017,,,3.77,,,2.25,,,,,,,,,,,,
,,2017 - 2018,,,3.84,784.0,,2.51,,,,,,,,,,,,
,,2018 - 2019,,,2.84,872.0,,2.9,,,,,,,,,,,,
,,2019 - 2020,,,2.77,,,2.08,,,,,,,,,,,,
,,2020 - 2021,,,3.56,816.0,,2.76,,,,,,,,,,,,
,,2021 - 2022,,,3.16,889.0,,3.51,,,,,,,,,,,,
,,2022 - 2023,4.0,15.0,3.75,,,,,,,,,,,,,,,
Arunachal Pradesh,Anjaw,2016 - 2017,,,,30.0,35.0,1.17,,,,,,,,,,,,
,,2017 - 2018,,,,32.0,37.0,1.16,,,,,,,,,,,,
,,2018 - 2019,,,,32.0,37.0,1.16,,,,,,,,,,,,
,,2019 - 2020,,,,32.0,37.0,1.16,,,,,,,,,,,,
,,2020 - 2021,,,,32.0,37.0,1.16,,,,,,,,,,,,
,,2021 - 2022,,,,34.0,27.0,0.79,,,,,,,,,,,,
,,2022 - 2023,,,,44.0,32.0,0.73,,,,,,,,,,,,
,Changlang,2016 - 2017,,,,288.0,131.0,0.45,,,,,,,,,,,,
,,2017 - 2018,,,,115.0,322.0,2.8,,,,,,,,,,,,
,,2018 - 2019,,,,115.0,322.0,2.8,,,,,,,,,,,,
,,2019 - 2020,,,,115.0,322.0,2.8,,,,,,,,,,,,
,,2020 - 2021,,,,115.0,322.0,2.8,,,,,,,,,,,,
,,2021 - 2022,,,,119.0,286.0,2.4,,,,,,,,,,,,
,,2022 - 2023,,,,139.0,310.0,2.23,,,,,,,,,,,,
,Dibang valley,2016 - 2017,,,,37.0,32.0,0.86,,,,,,,,,,,,
,,2017 - 2018,,,,39.0,34.0,0.87,,,,,,,,,,,,
,,2018 - 2019,,,,39.0,34.0,0.87,,,,,,,,,,,,
,,2019 - 2020,,,,39.0,34.0,0.87,,,,,,,,,,,,
,,2020 - 2021,,,,39.0,34.0,0.87,,,,,,,,,,,,
,,2021 - 2022,,,,40.0,34.0,0.85,,,,,,,,,,,,
,,2022 - 2023,,,,40.0,34.0,0.85,,,,,,,,,,,,
,East siang,2016 - 2017,,,,51.0,79.0,1.55,,,,,,,,,,,,
,,2017 - 2018,,,,53.0,51.0,0.96,,,,,,,,,,,,
,,2018 - 2019,,,,55.0,53.0,0.96,,,,,,,,,,,,
,,2019 - 2020,,,,55.0,55.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,55.0,55.0,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,66.0,68.0,1.03,,,,,,,,,,,,
,,2022 - 2023,,,,91.0,83.0,0.91,,,,,,,,,,,,
,Kra daadi,2016 - 2017,,,,7.0,8.0,1.14,,,,,,,,,,,,
,,2017 - 2018,,,,11.0,13.0,1.18,,,,,,,,,,,,
,,2018 - 2019,,,,11.0,13.0,1.18,,,,,,,,,,,,
,,2019 - 2020,,,,11.0,13.0,1.18,,,,,,,,,,,,
,,2020 - 2021,,,,11.0,13.0,1.18,,,,,,,,,,,,
,,2021 - 2022,,,,12.0,13.0,1.08,,,,,,,,,,,,
,,2022 - 2023,,,,12.0,13.0,1.08,,,,,,,,,,,,
,Kurung kumey,2016 - 2017,,,,6.0,7.0,1.17,,,,,,,,,,,,
