state,district,year,cotton_kharif_area_hectare,cotton_kharif_production_bales,cotton_kharif_yield_tonne_per_hectare,cotton_rabi_area_hectare,cotton_rabi_production_bales,cotton_rabi_yield_tonne_per_hectare,cotton_whole_year_area_hectare,cotton_whole_year_production_bales,cotton_whole_year_yield_tonne_per_hectare,cotton_summer_area_hectare,cotton_summer_production_bales,cotton_summer_yield_tonne_per_hectare
,,2006 - 2007,,,2.02,,,,,,,,,
,,2007 - 2008,,,2.96,,,,,,,,,
,,2008 - 2009,,,3.22,,,,,,,,,
,,2009 - 2010,,,2.84,,,,,,,,,
,,2010 - 2011,,,2.24,,,,,,,,,
,,2011 - 2012,,,2.42,,,,,,,,,
,,2012 - 2013,,,3.1,,,,,,,,,
,,2013 - 2014,,,3.33,,,3.33,,,,,,
,,2014 - 2015,,,3.53,651.0,,3.53,,,,,,
,,2015 - 2016,,,2.82,214.0,602.0,2.81,,,,,,
,,2016 - 2017,,,3.08,,,3.08,,,,,,
,,2017 - 2018,,,2.4,496.0,,2.4,,,,,,
,,2018 - 2019,,,2.01,255.0,513.0,2.01,,,,,,
,,2019 - 2020,,,0.49,,,2.89,,,,,,
,,2020 - 2021,,,1.38,808.0,,1.38,,,,,,
,,2021 - 2022,,,1.92,,,1.92,,,,,,
,,2022 - 2023,,,1.7,,,2.81,,,,,,
,Spsr nellore,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,2.61,,,,,,,,,
,,2002 - 2003,,,1.78,,,,,,,,,
,,2003 - 2004,,,2.98,,,,,,,,,
,,2004 - 2005,,,2.85,,,,,,,,,
,,2005 - 2006,,,2.42,,,,,,,,,
,,2006 - 2007,,,3.08,,,,,,,,,
,,2007 - 2008,,,4.0,,,,,,,,,
,,2008 - 2009,,,3.59,,,,,,,,,
,,2009 - 2010,,,3.21,,,,,,,,,
,,2010 - 2011,,,1.78,,,,,,,,,
,,2011 - 2012,,,2.05,,,,,,,,,
,,2012 - 2013,,,2.71,,,,,,,,,
,,2013 - 2014,,,2.51,,,2.51,,,,,,
,,2014 - 2015,,,3.09,,,3.09,,,,,,
,,2015 - 2016,,,2.38,998.0,,2.38,,,,,,
,,2016 - 2017,,,2.43,,,2.44,,,,,,
,,2017 - 2018,,,1.97,964.0,,1.97,,,,,,
,,2018 - 2019,791.0,,2.65,,,2.65,,,,,,
,,2019 - 2020,,435.0,0.43,,,2.53,,,,,,
,,2020 - 2021,,,2.74,620.0,,2.75,,,,,,
