state,district,year,cotton_kharif_area_hectare,cotton_kharif_production_bales,cotton_kharif_yield_tonne_per_hectare,cotton_rabi_area_hectare,cotton_rabi_production_bales,cotton_rabi_yield_tonne_per_hectare,cotton_whole_year_area_hectare,cotton_whole_year_production_bales,cotton_whole_year_yield_tonne_per_hectare,cotton_summer_area_hectare,cotton_summer_production_bales,cotton_summer_yield_tonne_per_hectare
,,2005 - 2006,,,1.02,,,,,,,,,
,,2006 - 2007,,,1.49,,,,,,,,,
,,2007 - 2008,,,2.19,,,,,,,,,
,,2008 - 2009,,,0.66,,,,,,,,,
,,2009 - 2010,,,1.53,,,,,,,,,
,,2010 - 2011,,,2.52,,,,,,,,,
,,2011 - 2012,,,1.73,,,,,,,,,
,,2012 - 2013,,,1.62,,,,,,,,,
,,2013 - 2014,,,2.5,,,,,,,,,
,,2014 - 2015,,,1.23,,,,,,,,,
,,2015 - 2016,,,1.02,,,,,,,,,
,,2016 - 2017,,,1.76,,,,,,,,,
,,2017 - 2018,,,1.89,,,,,,,,,
,,2018 - 2019,,,0.97,,,,,,,,,
,,2019 - 2020,,,0.81,,,,,,,,,
,,2020 - 2021,,,2.1,,,,,,,,,
,,2021 - 2022,,,1.18,,,,,,,,,
,,2022 - 2023,,,2.11,,,,,,,,,
,Gadchiroli,2002 - 2003,400.0,400.0,1.0,,,,,,,,,
,,2003 - 2004,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,200.0,300.0,1.5,,,,,,,,,
,,2007 - 2008,500.0,900.0,1.8,,,,,,,,,
,,2008 - 2009,600.0,800.0,1.33,,,,,,,,,
,,2009 - 2010,,,1.35,,,,,,,,,
,,2010 - 2011,,,1.54,,,,,,,,,
,,2011 - 2012,,,1.67,,,,,,,,,
,,2012 - 2013,,,1.94,,,,,,,,,
,,2013 - 2014,,,1.53,,,,,,,,,
,,2014 - 2015,,,1.81,,,,,,,,,
,,2015 - 2016,,,1.68,,,,,,,,,
,,2016 - 2017,,,2.96,,,,,,,,,
,,2017 - 2018,,,4.0,,,,,,,,,
,,2018 - 2019,,,2.14,,,,,,,,,
,,2019 - 2020,,,3.01,,,,,,,,,
,,2020 - 2021,,,2.51,,,,,,,,,
,,2021 - 2022,,,2.38,,,,,,,,,
,,2022 - 2023,,,2.34,,,,,,,,,
,Gondia,2019 - 2020,2.0,5.0,2.5,,,,,,,,,
,,2021 - 2022,8.0,22.0,2.75,,,,,,,,,
,Hingoli,2000 - 2001,,,0.5,,,,,,,,,
,,2001 - 2002,,,1.04,,,,,,,,,
,,2002 - 2003,,,1.04,,,,,,,,,
,,2003 - 2004,,,1.54,,,,,,,,,
,,2004 - 2005,,,0.92,,,,,,,,,
,,2005 - 2006,,,1.33,,,,,,,,,
,,2006 - 2007,,,2.08,,,,,,,,,
,,2007 - 2008,,,3.62,,,,,,,,,
,,2008 - 2009,,,1.75,,,,,,,,,
,,2009 - 2010,,,1.63,,,,,,,,,
,,2010 - 2011,,,1.63,,,,,,,,,
,,2011 - 2012,,,1.6,,,,,,,,,
,,2012 - 2013,,,2.4,,,,,,,,,
,,2013 - 2014,,,2.0,,,,,,,,,
,,2014 - 2015,,,0.9,,,,,,,,,
,,2015 - 2016,,,0.55,,,,,,,,,
,,2016 - 2017,,,2.1,,,,,,,,,
,,2017 - 2018,,,1.54,,,,,,,,,
,,2018 - 2019,,,1.96,,,,,,,,,
,,2019 - 2020,,,2.51,,,,,,,,,
,,2020 - 2021,,,1.87,,,,,,,,,
,,2021 - 2022,,,1.75,,,,,,,,,
,,2022 - 2023,,,2.41,,,,,,,,,
,Jalgaon,2000 - 2001,,,0.68,,,,,,,,,
,,2001 - 2002,,,1.25,,,,,,,,,
,,2002 - 2003,,,1.22,,,,,,,,,
,,2003 - 2004,,,1.34,,,,,,,,,
,,2004 - 2005,,,1.56,,,,,,,,,
,,2005 - 2006,,,1.54,,,,,,,,,
,,2006 - 2007,,,1.91,,,,,,,,,
,,2007 - 2008,,,2.28,,,,,,,,,
,,2008 - 2009,,,1.79,,,,,,,,,
,,2009 - 2010,,,1.66,,,,,,,,,
,,2010 - 2011,,,2.15,,,,,,,,,
,,2011 - 2012,,,1.9,,,,,,,,,
,,2012 - 2013,,,1.53,,,,,,,,,
,,2013 - 2014,,,2.69,,,,,,,,,
,,2014 - 2015,,,1.63,,,,,,,,,
,,2015 - 2016,,,1.31,,,,,,,,,
,,2016 - 2017,,,2.9,,,,,,,,,
,,2017 - 2018,,,1.62,,,,,,,,,
,,2018 - 2019,,,1.8,,,,,,,,,
,,2019 - 2020,,,0.94,,,,,,,,,
,,2020 - 2021,,,2.59,,,,,,,,,
,,2021 - 2022,,,1.49,,,,,,,,,
,,2022 - 2023,,,2.44,,,,,,,,,
,Jalna,2000 - 2001,,,0.68,,,,,,,,,
,,2001 - 2002,,,1.17,,,,,,,,,
,,2002 - 2003,,,1.38,,,,,,,,,
,,2003 - 2004,,,1.04,,,,,,,,,
,,2004 - 2005,,,1.19,,,,,,,,,
,,2005 - 2006,,,1.25,,,,,,,,,
,,2006 - 2007,,,2.21,,,,,,,,,
,,2007 - 2008,,,2.43,,,,,,,,,
,,2008 - 2009,,,1.46,,,,,,,,,
,,2009 - 2010,,,1.73,,,,,,,,,
,,2010 - 2011,,,2.56,,,,,,,,,
,,2011 - 2012,,,1.72,,,,,,,,,
,,2012 - 2013,,,0.66,,,,,,,,,
,,2013 - 2014,,,2.28,,,,,,,,,
,,2014 - 2015,,,0.54,,,,,,,,,
,,2015 - 2016,,,0.52,,,,,,,,,
,,2016 - 2017,,,2.62,,,,,,,,,
,,2017 - 2018,,,0.62,,,,,,,,,
,,2018 - 2019,,,1.15,,,,,,,,,
,,2019 - 2020,,,2.33,,,,,,,,,
,,2020 - 2021,,,2.29,,,,,,,,,
,,2021 - 2022,,,1.83,,,,,,,,,
,,2022 - 2023,,,2.27,,,,,,,,,
,Kolhapur,2000 - 2001,100.0,100.0,1.0,,,,,,,,,
,,2001 - 2002,100.0,100.0,1.0,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,100.0,100.0,1.0,,,,,,,,,
,,2005 - 2006,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,
,,2007 - 2008,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,100.0,200.0,2.0,,,,,,,,,
,,2009 - 2010,100.0,100.0,1.0,,,,,,,,,
,,2010 - 2011,100.0,200.0,2.0,,,,,,,,,
,,2017 - 2018,13.0,12.0,0.92,,,,,,,,,
,Latur,2000 - 2001,,,0.89,,,,,,,,,
,,2001 - 2002,,,0.84,,,,,,,,,
,,2002 - 2003,,,0.6,,,,,,,,,
,,2003 - 2004,,,0.89,,,,,,,,,
,,2004 - 2005,,,0.96,,,,,,,,,
,,2005 - 2006,,,1.0,,,,,,,,,
,,2006 - 2007,,,0.96,,,,,,,,,
,,2007 - 2008,,,1.5,,,,,,,,,
,,2008 - 2009,,,1.74,,,,,,,,,
,,2009 - 2010,,,1.88,,,,,,,,,
,,2010 - 2011,,,2.35,,,,,,,,,
,,2011 - 2012,,,2.78,,,,,,,,,
,,2012 - 2013,,,3.24,,,,,,,,,
,,2013 - 2014,,,3.23,,,,,,,,,
,,2014 - 2015,,,0.71,,,,,,,,,
,,2015 - 2016,,,0.48,,,,,,,,,
,,2016 - 2017,,,4.37,,,,,,,,,
,,2017 - 2018,,,3.76,,,,,,,,,
,,2018 - 2019,,,0.85,,,,,,,,,
,,2019 - 2020,,,1.52,,,,,,,,,
,,2020 - 2021,,,2.51,,,,,,,,,
,,2021 - 2022,,,1.59,,,,,,,,,
,,2022 - 2023,,,3.74,,,,,,,,,
,Nagpur,2000 - 2001,,,0.89,,,,,,,,,
,,2001 - 2002,,,0.96,,,,,,,,,
,,2002 - 2003,,,0.97,,,,,,,,,
,,2003 - 2004,,,1.55,,,,,,,,,
,,2004 - 2005,,,1.39,,,,,,,,,
,,2005 - 2006,,,1.35,,,,,,,,,
,,2006 - 2007,,,1.24,,,,,,,,,
,,2007 - 2008,,,1.69,,,,,,,,,
,,2008 - 2009,,,1.43,,,,,,,,,
,,2009 - 2010,,,1.4,,,,,,,,,
,,2010 - 2011,,,1.56,,,,,,,,,
,,2011 - 2012,,,1.39,,,,,,,,,
,,2012 - 2013,,,1.98,,,,,,,,,
,,2013 - 2014,,,1.63,,,,,,,,,
,,2014 - 2015,,,1.35,,,,,,,,,
,,2015 - 2016,,,1.28,,,,,,,,,
,,2016 - 2017,,,4.03,,,,,,,,,
,,2017 - 2018,,,2.39,,,,,,,,,
,,2018 - 2019,,,2.28,,,,,,,,,
,,2019 - 2020,,,2.67,,,,,,,,,
,,2020 - 2021,,,3.2,,,,,,,,,
,,2021 - 2022,,,2.84,,,,,,,,,
,,2022 - 2023,,,2.74,,,,,,,,,
,Nanded,2000 - 2001,,,0.31,,,,,,,,,
,,2001 - 2002,,,0.67,,,,,,,,,
,,2002 - 2003,,,0.59,,,,,,,,,
,,2003 - 2004,,,0.94,,,,,,,,,
,,2004 - 2005,,,0.84,,,,,,,,,
,,2005 - 2006,,,0.57,,,,,,,,,
,,2006 - 2007,,,0.6,,,,,,,,,
,,2007 - 2008,,,1.31,,,,,,,,,
,,2008 - 2009,,,0.71,,,,,,,,,
,,2009 - 2010,,,0.77,,,,,,,,,
,,2010 - 2011,,,1.53,,,,,,,,,
,,2011 - 2012,,,1.59,,,,,,,,,
,,2012 - 2013,,,1.61,,,,,,,,,
,,2013 - 2014,,,1.12,,,,,,,,,
,,2014 - 2015,,,0.52,,,,,,,,,
,,2015 - 2016,,,0.68,,,,,,,,,
,,2016 - 2017,,,1.74,,,,,,,,,
,,2017 - 2018,,,1.04,,,,,,,,,
,,2018 - 2019,,,1.51,,,,,,,,,
,,2019 - 2020,,,1.06,,,,,,,,,
,,2020 - 2021,,,1.68,,,,,,,,,
,,2021 - 2022,,,1.31,,,,,,,,,
,,2022 - 2023,,,1.69,,,,,,,,,
,Nandurbar,2000 - 2001,,,0.59,,,,,,,,,
,,2001 - 2002,,,0.7,,,,,,,,,
,,2002 - 2003,,,0.67,,,,,,,,,
,,2003 - 2004,,,1.13,,,,,,,,,
,,2004 - 2005,,,0.9,,,,,,,,,
,,2005 - 2006,,,1.44,,,,,,,,,
,,2006 - 2007,,,0.9,,,,,,,,,
,,2007 - 2008,,,2.33,,,,,,,,,
,,2008 - 2009,,,1.89,,,,,,,,,
,,2009 - 2010,,,1.97,,,,,,,,,
,,2010 - 2011,,,2.08,,,,,,,,,
,,2011 - 2012,,,1.42,,,,,,,,,
,,2012 - 2013,,,1.22,,,,,,,,,
,,2013 - 2014,,,1.47,,,,,,,,,
,,2014 - 2015,,,0.85,,,,,,,,,
,,2015 - 2016,,,0.95,,,,,,,,,
,,2016 - 2017,,,1.78,,,,,,,,,
,,2017 - 2018,,,1.99,,,,,,,,,
,,2018 - 2019,,,1.08,,,,,,,,,
,,2019 - 2020,,,1.58,,,,,,,,,
,,2020 - 2021,,,2.54,,,,,,,,,
,,2021 - 2022,,,1.37,,,,,,,,,
,,2022 - 2023,,,1.65,,,,,,,,,
,Nashik,2000 - 2001,,,1.0,,,,,,,,,
,,2001 - 2002,,,0.63,,,,,,,,,
,,2002 - 2003,,,1.24,,,,,,,,,
,,2003 - 2004,,,0.65,,,,,,,,,
,,2004 - 2005,,,1.42,,,,,,,,,
,,2005 - 2006,,,1.99,,,,,,,,,
,,2006 - 2007,,,1.43,,,,,,,,,
,,2007 - 2008,,,1.94,,,,,,,,,
,,2008 - 2009,,,1.3,,,,,,,,,
,,2009 - 2010,,,1.49,,,,,,,,,
,,2010 - 2011,,,1.99,,,,,,,,,
,,2011 - 2012,,,2.05,,,,,,,,,
,,2012 - 2013,,,1.68,,,,,,,,,
,,2013 - 2014,,,2.19,,,,,,,,,
,,2014 - 2015,,,0.97,,,,,,,,,
,,2015 - 2016,,,0.62,,,,,,,,,
,,2016 - 2017,,,3.39,,,,,,,,,
,,2017 - 2018,,,2.2,,,,,,,,,
,,2018 - 2019,,,0.49,,,,,,,,,
,,2019 - 2020,,,1.18,,,,,,,,,
,,2020 - 2021,,,2.7,,,,,,,,,
,,2021 - 2022,,,2.01,,,,,,,,,
,,2022 - 2023,,,2.81,,,,,,,,,
,Parbhani,2000 - 2001,,,0.45,,,,,,,,,
,,2001 - 2002,,,0.88,,,,,,,,,
,,2002 - 2003,,,1.01,,,,,,,,,
,,2003 - 2004,,,1.23,,,,,,,,,
,,2004 - 2005,,,0.87,,,,,,,,,
,,2005 - 2006,,,1.2,,,,,,,,,
,,2006 - 2007,,,1.53,,,,,,,,,
,,2007 - 2008,,,2.75,,,,,,,,,
,,2008 - 2009,,,1.77,,,,,,,,,
,,2009 - 2010,,,1.58,,,,,,,,,
,,2010 - 2011,,,1.74,,,,,,,,,
,,2011 - 2012,,,1.72,,,,,,,,,
,,2012 - 2013,,,2.0,,,,,,,,,
,,2013 - 2014,,,2.1,,,,,,,,,
,,2014 - 2015,,,0.75,,,,,,,,,
,,2015 - 2016,,,0.4,,,,,,,,,
,,2016 - 2017,,,4.58,,,,,,,,,
,,2017 - 2018,,,1.99,,,,,,,,,
,,2018 - 2019,,,1.64,,,,,,,,,
,,2019 - 2020,,,1.39,,,,,,,,,
,,2020 - 2021,,,1.82,,,,,,,,,
,,2021 - 2022,,,1.81,,,,,,,,,
,,2022 - 2023,,,2.92,,,,,,,,,
,Pune,2000 - 2001,700.0,,2.29,,,,,,,,,
,,2001 - 2002,200.0,400.0,2.0,,,,,,,,,
,,2002 - 2003,200.0,500.0,2.5,,,,,,,,,
,,2003 - 2004,100.0,300.0,3.0,,,,,,,,,
,,2004 - 2005,100.0,200.0,2.0,,,,,,,,,
,,2005 - 2006,100.0,300.0,3.0,,,,,,,,,
,,2006 - 2007,100.0,200.0,2.0,,,,,,,,,
,,2007 - 2008,100.0,200.0,2.0,,,,,,,,,
,,2008 - 2009,100.0,300.0,3.0,,,,,,,,,
,,2019 - 2020,14.0,478.0,34.14,,,,,,,,,
,,2020 - 2021,41.0,97.0,2.37,,,,,,,,,
,,2021 - 2022,30.0,149.0,4.97,,,,,,,,,
,,2022 - 2023,423.1,,2.4,,,,,,,,,
,Sangli,2000 - 2001,,,1.81,,,,,,,,,
,,2001 - 2002,,,0.97,,,,,,,,,
,,2002 - 2003,,,1.1,,,,,,,,,
,,2003 - 2004,600.0,900.0,1.5,,,,,,,,,
,,2004 - 2005,,200.0,0.15,,,,,,,,,
,,2005 - 2006,,,0.89,,,,,,,,,
,,2006 - 2007,,,1.19,,,,,,,,,
,,2007 - 2008,,,3.32,,,,,,,,,
,,2008 - 2009,,,1.07,,,,,,,,,
,,2009 - 2010,,,0.72,,,,,,,,,
,,2010 - 2011,,,1.17,,,,,,,,,
,,2011 - 2012,,,1.73,,,,,,,,,
,,2012 - 2013,,,3.35,,,,,,,,,
,,2013 - 2014,,,2.21,,,,,,,,,
,,2014 - 2015,,,1.0,,,,,,,,,
,,2015 - 2016,,500.0,0.5,,,,,,,,,
,,2016 - 2017,600.0,,3.0,,,,,,,,,
,,2017 - 2018,254.0,200.0,0.79,,,,,,,,,
,,2018 - 2019,178.0,251.0,1.41,,,,,,,,,
,,2019 - 2020,95.0,179.0,1.88,,,,,,,,,
,,2020 - 2021,160.0,80.0,0.5,,,,,,,,,
,,2022 - 2023,125.0,278.79,2.23,,,,,,,,,
,Satara,2000 - 2001,,,1.89,,,,,,,,,
,,2001 - 2002,,,0.97,,,,,,,,,
,,2002 - 2003,,,1.14,,,,,,,,,
,,2003 - 2004,600.0,900.0,1.5,,,,,,,,,
,,2004 - 2005,600.0,600.0,1.0,,,,,,,,,
,,2005 - 2006,,,0.91,,,,,,,,,
,,2006 - 2007,,,1.1,,,,,,,,,
,,2007 - 2008,,,3.38,,,,,,,,,
,,2008 - 2009,,,1.07,,,,,,,,,
,,2009 - 2010,,,0.69,,,,,,,,,
,,2010 - 2011,,,0.81,,,,,,,,,
,,2011 - 2012,,,1.7,,,,,,,,,
,,2012 - 2013,100.0,300.0,3.0,,,,,,,,,
,,2013 - 2014,200.0,500.0,2.5,,,,,,,,,
,,2014 - 2015,100.0,100.0,1.0,,,,,,,,,
,,2015 - 2016,100.0,30.0,0.3,,,,,,,,,
,,2016 - 2017,100.0,200.0,2.0,,,,,,,,,
,,2017 - 2018,85.0,100.0,1.18,,,,,,,,,
,,2018 - 2019,21.0,37.0,1.76,,,,,,,,,
,,2019 - 2020,14.0,26.0,1.86,,,,,,,,,
,,2020 - 2021,9.0,5.0,0.56,,,,,,,,,
,,2021 - 2022,162.0,243.0,1.5,,,,,,,,,
,,2022 - 2023,503.36,,2.16,,,,,,,,,
,Solapur,2000 - 2001,,,1.72,,,,,,,,,
,,2001 - 2002,,,0.88,,,,,,,,,
,,2002 - 2003,,,1.7,,,,,,,,,
,,2003 - 2004,,,1.36,,,,,,,,,
,,2004 - 2005,,,1.9,,,,,,,,,
,,2005 - 2006,800.0,,1.63,,,,,,,,,
,,2006 - 2007,900.0,,1.67,,,,,,,,,
,,2007 - 2008,,,2.73,,,,,,,,,
,,2008 - 2009,100.0,200.0,2.0,,,,,,,,,
,,2009 - 2010,,,1.71,,,,,,,,,
,,2010 - 2011,,,2.89,,,,,,,,,
,,2011 - 2012,900.0,,2.67,,,,,,,,,
,,2012 - 2013,500.0,,3.4,,,,,,,,,
,,2013 - 2014,500.0,700.0,1.4,,,,,,,,,
,,2014 - 2015,600.0,,2.0,,,,,,,,,
,,2015 - 2016,900.0,700.0,0.78,,,,,,,,,
,,2016 - 2017,900.0,,1.52,,,,,,,,,
,,2017 - 2018,300.0,400.0,1.33,,,,,,,,,
,,2018 - 2019,163.0,88.0,0.54,,,,,,,,,
,,2019 - 2020,521.0,240.0,0.46,,,,,,,,,
,,2020 - 2021,400.0,900.0,2.25,,,,,,,,,
,,2021 - 2022,300.0,400.0,1.33,,,,,,,,,
,,2022 - 2023,413.96,667.8,1.61,,,,,,,,,
,Wardha,2000 - 2001,,,1.14,,,,,,,,,
,,2001 - 2002,,,0.91,,,,,,,,,
,,2002 - 2003,,,0.95,,,,,,,,,
,,2003 - 2004,,,1.35,,,,,,,,,
,,2004 - 2005,,,1.29,,,,,,,,,
,,2005 - 2006,,,1.09,,,,,,,,,
,,2006 - 2007,,,1.33,,,,,,,,,
,,2007 - 2008,,,1.92,,,,,,,,,
,,2008 - 2009,,,1.22,,,,,,,,,
,,2009 - 2010,,,1.37,,,,,,,,,
,,2010 - 2011,,,1.38,,,,,,,,,
,,2011 - 2012,,,1.89,,,,,,,,,
,,2012 - 2013,,,1.88,,,,,,,,,
,,2013 - 2014,,,1.44,,,,,,,,,
,,2014 - 2015,,,0.89,,,,,,,,,
,,2015 - 2016,,,1.44,,,,,,,,,
,,2016 - 2017,,,2.99,,,,,,,,,
,,2017 - 2018,,,2.5,,,,,,,,,
,,2018 - 2019,,,2.7,,,,,,,,,
,,2019 - 2020,,,2.75,,,,,,,,,
,,2020 - 2021,,,2.44,,,,,,,,,
,,2021 - 2022,,,2.97,,,,,,,,,
,,2022 - 2023,,,2.46,,,,,,,,,
,Washim,2000 - 2001,,,0.51,,,,,,,,,
,,2001 - 2002,,,0.9,,,,,,,,,
,,2002 - 2003,,,0.84,,,,,,,,,
,,2003 - 2004,,,0.83,,,,,,,,,
,,2004 - 2005,,,0.72,,,,,,,,,
,,2005 - 2006,,,1.04,,,,,,,,,
,,2006 - 2007,,,1.01,,,,,,,,,
,,2007 - 2008,,,2.47,,,,,,,,,
,,2008 - 2009,,,0.86,,,,,,,,,
,,2009 - 2010,,,1.35,,,,,,,,,
,,2010 - 2011,,,2.08,,,,,,,,,
,,2011 - 2012,,,1.62,,,,,,,,,
,,2012 - 2013,,,1.55,,,,,,,,,
,,2013 - 2014,,,1.08,,,,,,,,,
,,2014 - 2015,,,0.83,,,,,,,,,
,,2015 - 2016,,,1.05,,,,,,,,,
,,2016 - 2017,,,2.04,,,,,,,,,
,,2017 - 2018,,,0.92,,,,,,,,,
,,2018 - 2019,,,1.81,,,,,,,,,
,,2019 - 2020,,,1.68,,,,,,,,,
,,2020 - 2021,,,3.75,,,,,,,,,
,,2021 - 2022,,,3.32,,,,,,,,,
,,2022 - 2023,,,2.12,,,,,,,,,
,Yavatmal,2000 - 2001,,,0.53,,,,,,,,,
,,2001 - 2002,,,0.7,,,,,,,,,
,,2002 - 2003,,,0.78,,,,,,,,,
,,2003 - 2004,,,1.02,,,,,,,,,
,,2004 - 2005,,,0.86,,,,,,,,,
,,2005 - 2006,,,0.87,,,,,,,,,
,,2006 - 2007,,,1.19,,,,,,,,,
,,2007 - 2008,,,2.42,,,,,,,,,
,,2008 - 2009,,,1.88,,,,,,,,,
,,2009 - 2010,,,1.29,,,,,,,,,
,,2010 - 2011,,,1.62,,,,,,,,,
,,2011 - 2012,,,1.48,,,,,,,,,
,,2012 - 2013,,,2.1,,,,,,,,,
,,2013 - 2014,,,1.68,,,,,,,,,
,,2014 - 2015,,,0.68,,,,,,,,,
,,2015 - 2016,,,1.12,,,,,,,,,
,,2016 - 2017,,,2.61,,,,,,,,,
,,2017 - 2018,,,1.02,,,,,,,,,
,,2018 - 2019,,,1.84,,,,,,,,,
,,2019 - 2020,,,1.17,,,,,,,,,
,,2020 - 2021,,,1.61,,,,,,,,,
,,2021 - 2022,,,1.52,,,,,,,,,
,,2022 - 2023,,,1.22,,,,,,,,,
Manipur,Churachandpur,2000 - 2001,60.0,20.0,0.33,,,,,,,,,
,,2001 - 2002,90.0,30.0,0.33,,,,,,,,,
,,2006 - 2007,210.0,70.0,0.33,,,,,,,,,
,,2007 - 2008,210.0,70.0,0.33,,,,,,,,,
Meghalaya,East garo hills,2000 - 2001,,,1.28,,,,,,,,,
,,2001 - 2002,,,1.29,,,,,,,,,
,,2002 - 2003,,,1.29,,,,,,,,,
,,2003 - 2004,,,1.29,,,,,,,,,
,,2004 - 2005,,,1.29,,,,,,,,,
,,2005 - 2006,,,1.3,,,,,,,,,
,,2006 - 2007,,,,,,1.3,,,,,,
,,2007 - 2008,,,0.85,,,,,,,,,
,,2008 - 2009,,,0.74,,,,,,,,,
,,2009 - 2010,,,0.74,,,,,,,,,
,,2010 - 2011,,,0.69,,,,,,,,,
,,2011 - 2012,,,0.71,,,,,,,,,
,,2012 - 2013,,,0.88,,,,,,,,,
,,2013 - 2014,,,0.92,,,,,,,,,
,,2014 - 2015,,,0.96,,,,,,,,,
,,2015 - 2016,,,0.96,,,,,,,,,
,,2016 - 2017,,,0.94,,,,,,,,,
,,2017 - 2018,,,0.95,,,,,,,,,
,,2018 - 2019,,,0.96,,,,,,,,,
,,2019 - 2020,,,0.94,,,,,,,,,
,,2020 - 2021,,,0.94,,,,,,,,,
,,2021 - 2022,,,0.93,,,,,,,,,
,,2022 - 2023,753.0,704.0,0.93,,,,,,,,,
,North garo hills,2013 - 2014,863.0,743.0,0.86,,,,,,,,,
,,2014 - 2015,866.0,773.0,0.89,,,,,,,,,
,,2015 - 2016,864.0,758.0,0.88,,,,,,,,,
,,2016 - 2017,860.0,769.0,0.89,,,,,,,,,
,,2017 - 2018,860.0,779.0,0.91,,,,,,,,,
,,2018 - 2019,861.0,785.0,0.91,,,,,,,,,
,,2019 - 2020,858.0,762.0,0.89,,,,,,,,,
,,2020 - 2021,857.0,758.0,0.88,,,,,,,,,
,,2021 - 2022,856.0,754.0,0.88,,,,,,,,,
,,2022 - 2023,539.0,301.0,0.56,,,,,,,,,
,South garo hills,2000 - 2001,240.0,220.0,0.92,,,,,,,,,
,,2001 - 2002,220.0,201.0,0.91,,,,,,,,,
,,2002 - 2003,215.0,196.0,0.91,,,,,,,,,
,,2003 - 2004,208.0,183.0,0.88,,,,,,,,,
,,2004 - 2005,195.0,176.0,0.9,,,,,,,,,
,,2005 - 2006,193.0,174.0,0.9,,,,,,,,,
,,2006 - 2007,,,,189.0,172.0,0.91,,,,,,
,,2007 - 2008,189.0,170.0,0.9,,,,,,,,,
,,2008 - 2009,185.0,169.0,0.91,,,,,,,,,
,,2009 - 2010,187.0,167.0,0.89,,,,,,,,,
,,2010 - 2011,185.0,165.0,0.89,,,,,,,,,
,,2011 - 2012,190.0,179.0,0.94,,,,,,,,,
,,2012 - 2013,201.0,238.0,1.18,,,,,,,,,
,,2013 - 2014,202.0,245.0,1.21,,,,,,,,,
,,2014 - 2015,203.0,258.0,1.27,,,,,,,,,
,,2015 - 2016,203.0,256.0,1.26,,,,,,,,,
,,2016 - 2017,196.0,242.0,1.23,,,,,,,,,
,,2017 - 2018,196.0,244.0,1.24,,,,,,,,,
,,2018 - 2019,197.0,247.0,1.25,,,,,,,,,
,,2019 - 2020,194.0,242.0,1.25,,,,,,,,,
,,2020 - 2021,193.0,240.0,1.24,,,,,,,,,
,,2021 - 2022,192.0,238.0,1.24,,,,,,,,,
,,2022 - 2023,15.0,10.0,0.67,,,,,,,,,
,South west garo hills,2013 - 2014,441.0,565.0,1.28,,,,,,,,,
,,2014 - 2015,448.0,625.0,1.4,,,,,,,,,
,,2015 - 2016,447.0,619.0,1.38,,,,,,,,,
,,2016 - 2017,438.0,595.0,1.36,,,,,,,,,
,,2017 - 2018,438.0,598.0,1.37,,,,,,,,,
,,2018 - 2019,439.0,602.0,1.37,,,,,,,,,
,,2019 - 2020,436.0,585.0,1.34,,,,,,,,,
,,2020 - 2021,435.0,581.0,1.34,,,,,,,,,
,,2021 - 2022,434.0,577.0,1.33,,,,,,,,,
,,2022 - 2023,142.0,108.0,0.76,,,,,,,,,
,West garo hills,2000 - 2001,,,0.91,,,,,,,,,
,,2001 - 2002,,,0.95,,,,,,,,,
,,2002 - 2003,,,0.94,,,,,,,,,
,,2003 - 2004,,,0.94,,,,,,,,,
,,2004 - 2005,,,0.95,,,,,,,,,
,,2005 - 2006,,,0.94,,,,,,,,,
,,2006 - 2007,,,,,,0.94,,,,,,
,,2007 - 2008,,,0.94,,,,,,,,,
,,2008 - 2009,,,0.82,,,,,,,,,
,,2009 - 2010,,,0.83,,,,,,,,,
,,2010 - 2011,,,0.89,,,,,,,,,
,,2011 - 2012,,,1.06,,,,,,,,,
,,2012 - 2013,,,1.32,,,,,,,,,
,,2013 - 2014,,,1.36,,,,,,,,,
,,2014 - 2015,,,1.41,,,,,,,,,
,,2015 - 2016,,,1.4,,,,,,,,,
,,2016 - 2017,,,1.36,,,,,,,,,
,,2017 - 2018,,,1.38,,,,,,,,,
,,2018 - 2019,,,1.38,,,,,,,,,
,,2019 - 2020,,,1.37,,,,,,,,,
,,2020 - 2021,,,1.36,,,,,,,,,
,,2021 - 2022,,,1.36,,,,,,,,,
,,2022 - 2023,693.0,689.0,0.99,,,,,,,,,
Mizoram,Aizawl,2000 - 2001,337.0,871.0,2.58,,,,,,,,,
,,2001 - 2002,450.0,843.0,1.87,,,,,,,,,
,,2002 - 2003,224.0,641.0,2.86,,,,,,,,,
,,2003 - 2004,50.0,141.0,2.82,,,,,,,,,
,,2004 - 2005,68.0,323.0,4.75,,,,,,,,,
,,2005 - 2006,74.0,40.0,0.54,,,,,,,,,
,,2006 - 2007,64.0,26.0,0.41,,,,,,,,,
,,2007 - 2008,47.0,4.0,0.09,,,,,,,,,
,,2008 - 2009,36.0,5.0,0.14,,,,,,,,,
,,2009 - 2010,23.0,13.0,0.57,,,,,,,,,
,,2010 - 2011,7.0,2.0,0.29,,,,,,,,,
,,2015 - 2016,17.0,7.0,0.41,,,,,,,,,
