state,district,year,soyabean_kharif_area_hectare,soyabean_kharif_production_tonne,soyabean_kharif_yield_tonne_per_hectare,soyabean_rabi_area_hectare,soyabean_rabi_production_tonne,soyabean_rabi_yield_tonne_per_hectare,soyabean_whole_year_area_hectare,soyabean_whole_year_production_tonne,soyabean_whole_year_yield_tonne_per_hectare,soyabean_summer_area_hectare,soyabean_summer_production_tonne,soyabean_summer_yield_tonne_per_hectare
,Vizianagaram,2021 - 2022,1.0,2.0,2.0,,,,,,,,,
,West godavari,2009 - 2010,5.0,,0.0,,,,,,,,,
Arunachal Pradesh,Anjaw,2016 - 2017,20.0,45.0,2.25,,,,,,,,,
,,2017 - 2018,21.0,30.0,1.43,,,,,,,,,
,,2018 - 2019,21.0,30.0,1.43,,,,,,,,,
,,2019 - 2020,21.0,30.0,1.43,,,,,,,,,
,,2020 - 2021,22.0,30.0,1.36,,,,,,,,,
,,2021 - 2022,23.0,18.0,0.78,,,,,,,,,
,,2022 - 2023,16.0,18.0,1.13,,,,,,,,,
,Changlang,2016 - 2017,84.0,83.0,0.99,,,,,,,,,
,,2017 - 2018,153.0,456.0,2.98,,,,,,,,,
,,2018 - 2019,103.0,302.0,2.93,,,,,,,,,
,,2019 - 2020,103.0,302.0,2.93,,,,,,,,,
,,2020 - 2021,104.0,302.0,2.9,,,,,,,,,
,,2021 - 2022,107.0,208.0,1.94,,,,,,,,,
,,2022 - 2023,179.0,218.0,1.22,,,,,,,,,
,Dibang valley,2016 - 2017,88.0,108.0,1.23,,,,,,,,,
,,2017 - 2018,90.0,66.0,0.73,,,,,,,,,
,,2018 - 2019,90.0,66.0,0.73,,,,,,,,,
,,2019 - 2020,90.0,66.0,0.73,,,,,,,,,
,,2020 - 2021,90.0,66.0,0.73,,,,,,,,,
,,2021 - 2022,91.0,67.0,0.74,,,,,,,,,
,,2022 - 2023,102.0,77.0,0.75,,,,,,,,,
,East kameng,2016 - 2017,235.0,386.0,1.64,,,,,,,,,
,,2017 - 2018,192.0,201.0,1.05,,,,,,,,,
,,2018 - 2019,192.0,201.0,1.05,,,,,,,,,
,,2019 - 2020,134.0,141.0,1.05,,,,,,,,,
,,2020 - 2021,59.0,60.0,1.02,,,,,,,,,
,,2021 - 2022,139.0,173.0,1.24,,,,,,,,,
,,2022 - 2023,129.0,193.0,1.5,,,,,,,,,
,East siang,2016 - 2017,354.0,455.0,1.29,,,,,,,,,
,,2017 - 2018,305.0,307.0,1.01,,,,,,,,,
,,2018 - 2019,280.0,282.0,1.01,,,,,,,,,
,,2019 - 2020,280.0,282.0,1.01,,,,,,,,,
,,2020 - 2021,280.0,290.0,1.04,,,,,,,,,
,,2021 - 2022,291.0,425.0,1.46,,,,,,,,,
,,2022 - 2023,253.0,395.0,1.56,,,,,,,,,
,Kamle,2018 - 2019,31.0,20.0,0.65,,,,,,,,,
,,2019 - 2020,31.0,20.0,0.65,,,,,,,,,
,,2020 - 2021,9.0,13.0,1.44,,,,,,,,,
,,2021 - 2022,33.0,30.0,0.91,,,,,,,,,
,,2022 - 2023,33.0,35.0,1.06,,,,,,,,,
,Kra daadi,2016 - 2017,12.0,114.0,9.5,,,,,,,,,
,,2017 - 2018,14.0,5.0,0.36,,,,,,,,,
,,2018 - 2019,14.0,5.0,0.36,,,,,,,,,
,,2019 - 2020,14.0,7.0,0.5,,,,,,,,,
,,2020 - 2021,114.0,81.0,0.71,,,,,,,,,
,,2021 - 2022,17.0,18.0,1.06,,,,,,,,,
,,2022 - 2023,14.0,15.0,1.07,,,,,,,,,
,Kurung kumey,2016 - 2017,108.0,109.0,1.01,,,,,,,,,
,,2017 - 2018,11.0,32.0,2.91,,,,,,,,,
,,2018 - 2019,11.0,32.0,2.91,,,,,,,,,
,,2019 - 2020,11.0,32.0,2.91,,,,,,,,,
,,2020 - 2021,325.0,305.0,0.94,,,,,,,,,
,,2021 - 2022,13.0,16.0,1.23,,,,,,,,,
,,2022 - 2023,10.0,11.0,1.1,,,,,,,,,
,Leparada,2019 - 2020,13.0,26.0,2.0,,,,,,,,,
,,2020 - 2021,14.0,26.0,1.86,,,,,,,,,
,,2021 - 2022,18.0,22.0,1.22,,,,,,,,,
,,2022 - 2023,16.0,24.0,1.5,,,,,,,,,
,Lohit,2016 - 2017,139.0,105.0,0.76,,,,,,,,,
,,2017 - 2018,110.0,11.0,0.1,,,,,,,,,
,,2018 - 2019,110.0,11.0,0.1,,,,,,,,,
,,2019 - 2020,110.0,11.0,0.1,,,,,,,,,
,,2020 - 2021,110.0,21.0,0.19,,,,,,,,,
,,2021 - 2022,118.0,175.0,1.48,,,,,,,,,
,,2022 - 2023,174.0,195.0,1.12,,,,,,,,,
,Longding,2016 - 2017,160.0,201.0,1.26,,,,,,,,,
,,2017 - 2018,78.0,119.0,1.53,,,,,,,,,
,,2018 - 2019,78.0,119.0,1.53,,,,,,,,,
,,2019 - 2020,78.0,119.0,1.53,,,,,,,,,
,,2020 - 2021,78.0,119.0,1.53,,,,,,,,,
,,2021 - 2022,80.0,70.0,0.88,,,,,,,,,
,,2022 - 2023,83.0,80.0,0.96,,,,,,,,,
,Lower dibang valley,2016 - 2017,375.0,268.0,0.71,,,,,,,,,
,,2017 - 2018,574.0,789.0,1.37,,,,,,,,,
,,2018 - 2019,574.0,791.0,1.38,,,,,,,,,
,,2019 - 2020,574.0,791.0,1.38,,,,,,,,,
,,2020 - 2021,573.0,791.0,1.38,,,,,,,,,
,,2021 - 2022,588.0,840.0,1.43,,,,,,,,,
,,2022 - 2023,761.0,,1.33,,,,,,,,,
,Lower siang,2018 - 2019,78.0,185.0,2.37,,,,,,,,,
,,2019 - 2020,70.0,166.0,2.37,,,,,,,,,
,,2020 - 2021,69.0,166.0,2.41,,,,,,,,,
,,2021 - 2022,75.0,98.0,1.31,,,,,,,,,
,,2022 - 2023,63.0,78.0,1.24,,,,,,,,,
,Lower subansiri,2016 - 2017,44.0,136.0,3.09,,,,,,,,,
,,2017 - 2018,41.0,16.0,0.39,,,,,,,,,
,,2018 - 2019,30.0,16.0,0.53,,,,,,,,,
,,2019 - 2020,30.0,17.0,0.57,,,,,,,,,
,,2020 - 2021,11.0,32.0,2.91,,,,,,,,,
,,2021 - 2022,36.0,46.0,1.28,,,,,,,,,
,,2022 - 2023,14.0,17.0,1.21,,,,,,,,,
,Namsai,2016 - 2017,325.0,342.0,1.05,,,,,,,,,
,,2017 - 2018,462.0,,2.17,,,,,,,,,
,,2018 - 2019,462.0,,2.17,,,,,,,,,
,,2019 - 2020,462.0,,2.17,,,,,,,,,
,,2020 - 2021,461.0,,2.17,,,,,,,,,
,,2021 - 2022,470.0,,2.16,,,,,,,,,
,,2022 - 2023,548.0,,2.14,,,,,,,,,
,Pakke kessang,2019 - 2020,58.0,60.0,1.03,,,,,,,,,
,,2020 - 2021,135.0,141.0,1.04,,,,,,,,,
,,2021 - 2022,63.0,78.0,1.24,,,,,,,,,
,,2022 - 2023,51.0,88.0,1.73,,,,,,,,,
,Papum pare,2016 - 2017,364.0,394.0,1.08,,,,,,,,,
,,2017 - 2018,325.0,305.0,0.94,,,,,,,,,
,,2018 - 2019,325.0,305.0,0.94,,,,,,,,,
,,2019 - 2020,326.0,305.0,0.94,,,,,,,,,
,,2020 - 2021,14.0,7.0,0.5,,,,,,,,,
,,2021 - 2022,335.0,385.0,1.15,,,,,,,,,
,,2022 - 2023,406.0,465.0,1.15,,,,,,,,,
,Shi yomi,2019 - 2020,6.0,8.0,1.33,,,,,,,,,
,,2020 - 2021,7.0,8.0,1.14,,,,,,,,,
,,2021 - 2022,7.0,7.0,1.0,,,,,,,,,
,,2022 - 2023,10.0,9.0,0.9,,,,,,,,,
,Siang,2016 - 2017,77.0,226.0,2.94,,,,,,,,,
,,2017 - 2018,41.0,220.0,5.37,,,,,,,,,
,,2018 - 2019,41.0,220.0,5.37,,,,,,,,,
,,2019 - 2020,41.0,220.0,5.37,,,,,,,,,
,,2020 - 2021,40.0,220.0,5.5,,,,,,,,,
,,2021 - 2022,49.0,66.0,1.35,,,,,,,,,
,,2022 - 2023,92.0,115.0,1.25,,,,,,,,,
,Tawang,2016 - 2017,295.0,525.0,1.78,,,,,,,,,
,,2017 - 2018,312.0,456.0,1.46,,,,,,,,,
,,2018 - 2019,312.0,458.0,1.47,,,,,,,,,
,,2019 - 2020,315.0,461.0,1.46,,,,,,,,,
,,2020 - 2021,316.0,477.0,1.51,,,,,,,,,
,,2021 - 2022,322.0,486.0,1.51,,,,,,,,,
,,2022 - 2023,334.0,508.0,1.52,,,,,,,,,
,Tirap,2016 - 2017,90.0,242.0,2.69,,,,,,,,,
,,2017 - 2018,108.0,160.0,1.48,,,,,,,,,
,,2018 - 2019,108.0,160.0,1.48,,,,,,,,,
,,2019 - 2020,108.0,160.0,1.48,,,,,,,,,
,,2020 - 2021,108.0,160.0,1.48,,,,,,,,,
,,2021 - 2022,114.0,137.0,1.2,,,,,,,,,
,,2022 - 2023,113.0,147.0,1.3,,,,,,,,,
,Upper siang,2021 - 2022,18.0,24.0,1.33,,,,,,,,,
,,2022 - 2023,36.0,49.0,1.36,,,,,,,,,
,Upper subansiri,2016 - 2017,132.0,278.0,2.11,,,,,,,,,
,,2017 - 2018,134.0,87.0,0.65,,,,,,,,,
,,2018 - 2019,114.0,70.0,0.61,,,,,,,,,
,,2019 - 2020,114.0,71.0,0.62,,,,,,,,,
,,2020 - 2021,31.0,20.0,0.65,,,,,,,,,
,,2021 - 2022,120.0,113.0,0.94,,,,,,,,,
,,2022 - 2023,85.0,93.0,1.09,,,,,,,,,
,West kameng,2016 - 2017,133.0,216.0,1.62,,,,,,,,,
,,2017 - 2018,138.0,136.0,0.99,,,,,,,,,
,,2018 - 2019,138.0,136.0,0.99,,,,,,,,,
,,2019 - 2020,139.0,138.0,0.99,,,,,,,,,
,,2020 - 2021,139.0,144.0,1.04,,,,,,,,,
,,2021 - 2022,145.0,169.0,1.17,,,,,,,,,
,,2022 - 2023,141.0,189.0,1.34,,,,,,,,,
,West siang,2016 - 2017,63.0,165.0,2.62,,,,,,,,,
