state,district,year,soyabean_kharif_area_hectare,soyabean_kharif_production_tonne,soyabean_kharif_yield_tonne_per_hectare,soyabean_rabi_area_hectare,soyabean_rabi_production_tonne,soyabean_rabi_yield_tonne_per_hectare,soyabean_whole_year_area_hectare,soyabean_whole_year_production_tonne,soyabean_whole_year_yield_tonne_per_hectare,soyabean_summer_area_hectare,soyabean_summer_production_tonne,soyabean_summer_yield_tonne_per_hectare
,Thoubal,2006 - 2007,80.0,100.0,1.25,,,,,,,,,
,,2008 - 2009,810.0,636.0,0.79,,,,,,,,,
,,2009 - 2010,100.0,73.0,0.73,,,,,,,,,
,,2010 - 2011,700.0,570.0,0.81,,,,,,,,,
,,2011 - 2012,780.0,685.0,0.88,,,,,,,,,
,,2012 - 2013,800.0,675.0,0.84,,,,,,,,,
,,2013 - 2014,820.0,655.0,0.8,,,,,,,,,
,,2014 - 2015,820.0,655.0,0.8,,,,,,,,,
,,2015 - 2016,825.0,730.0,0.88,,,,,,,,,
,,2016 - 2017,825.0,745.0,0.9,,,,,,,,,
,,2017 - 2018,820.0,780.0,0.95,,,,,,,,,
,,2018 - 2019,820.0,760.0,0.93,,,,,,,,,
,Ukhrul,2002 - 2003,50.0,60.0,1.2,,,,,,,,,
,,2003 - 2004,90.0,110.0,1.22,,,,,,,,,
,,2004 - 2005,200.0,240.0,1.2,,,,,,,,,
,,2008 - 2009,415.0,208.0,0.5,,,,,,,,,
,,2009 - 2010,35.0,14.0,0.4,,,,,,,,,
,,2010 - 2011,415.0,218.5,0.53,,,,,,,,,
,,2011 - 2012,450.0,405.0,0.9,,,,,,,,,
,,2012 - 2013,410.0,250.0,0.61,,,,,,,,,
,,2013 - 2014,420.0,294.5,0.7,,,,,,,,,
,,2014 - 2015,420.0,290.0,0.69,,,,,,,,,
,,2015 - 2016,430.0,350.0,0.81,,,,,,,,,
,,2016 - 2017,430.0,355.5,0.83,,,,,,,,,
,,2017 - 2018,425.0,370.0,0.87,,,,,,,,,
,,2018 - 2019,435.0,370.0,0.85,,,,,,,,,
Meghalaya,East garo hills,2000 - 2001,122.0,115.0,0.94,,,,,,,,,
,,2001 - 2002,122.0,115.0,0.94,,,,,,,,,
,,2002 - 2003,117.0,110.0,0.94,,,,,,,,,
,,2003 - 2004,103.0,97.0,0.94,,,,,,,,,
,,2004 - 2005,104.0,99.0,0.95,,,,,,,,,
,,2006 - 2007,98.0,95.0,0.97,,,,,,,,,
,,2008 - 2009,103.0,92.0,0.89,,,,,,,,,
,,2010 - 2011,114.0,106.0,0.93,,,,,,,,,
,,2011 - 2012,123.0,115.0,0.93,,,,,,,,,
,,2012 - 2013,178.0,180.0,1.01,,,,,,,,,
,,2013 - 2014,89.0,91.0,1.02,,,,,,,,,
,,2014 - 2015,92.0,97.0,1.05,,,,,,,,,
,,2015 - 2016,93.0,99.0,1.06,,,,,,,,,
,,2016 - 2017,99.0,100.0,1.01,,,,,,,,,
,,2017 - 2018,99.0,100.0,1.01,,,,,,,,,
,,2018 - 2019,100.0,101.0,1.01,,,,,,,,,
,,2019 - 2020,100.0,101.0,1.01,,,,,,,,,
,,2020 - 2021,100.0,101.0,1.01,,,,,,,,,
,,2021 - 2022,101.0,104.0,1.03,,,,,,,,,
,,2022 - 2023,102.0,106.0,1.04,,,,,,,,,
,East jaintia hills,2000 - 2001,390.0,389.0,1.0,,,,,,,,,
,,2001 - 2002,395.0,404.0,1.02,,,,,,,,,
,,2002 - 2003,395.0,399.0,1.01,,,,,,,,,
,,2003 - 2004,397.0,412.0,1.04,,,,,,,,,
,,2004 - 2005,398.0,402.0,1.01,,,,,,,,,
,,2006 - 2007,410.0,416.0,1.01,,,,,,,,,
,,2008 - 2009,410.0,529.0,1.29,,,,,,,,,
,,2010 - 2011,410.0,529.0,1.29,,,,,,,,,
,,2011 - 2012,413.0,535.0,1.3,,,,,,,,,
,,2012 - 2013,604.0,842.0,1.39,,,,,,,,,
,,2013 - 2014,57.0,89.0,1.56,,,,,,,,,
,,2014 - 2015,60.0,95.0,1.58,,,,,,,,,
,,2015 - 2016,62.0,101.0,1.63,,,,,,,,,
,,2016 - 2017,73.0,108.0,1.48,,,,,,,,,
,,2017 - 2018,74.0,110.0,1.49,,,,,,,,,
,,2018 - 2019,75.0,112.0,1.49,,,,,,,,,
,,2019 - 2020,75.0,112.0,1.49,,,,,,,,,
,,2020 - 2021,75.0,112.0,1.49,,,,,,,,,
,,2021 - 2022,76.0,116.0,1.53,,,,,,,,,
,,2022 - 2023,77.0,118.0,1.53,,,,,,,,,
,East khasi hills,2000 - 2001,190.0,163.0,0.86,,,,,,,,,
,,2001 - 2002,182.0,172.0,0.95,,,,,,,,,
,,2002 - 2003,189.0,181.0,0.96,,,,,,,,,
,,2003 - 2004,185.0,181.0,0.98,,,,,,,,,
,,2004 - 2005,157.0,154.0,0.98,,,,,,,,,
,,2006 - 2007,221.0,219.0,0.99,,,,,,,,,
,,2008 - 2009,222.0,237.0,1.07,,,,,,,,,
,,2010 - 2011,225.0,240.0,1.07,,,,,,,,,
,,2011 - 2012,226.0,245.0,1.08,,,,,,,,,
,,2012 - 2013,322.0,379.0,1.18,,,,,,,,,
,,2013 - 2014,333.0,404.0,1.21,,,,,,,,,
,,2014 - 2015,346.0,433.0,1.25,,,,,,,,,
,,2015 - 2016,350.0,446.0,1.27,,,,,,,,,
,,2016 - 2017,374.0,449.0,1.2,,,,,,,,,
,,2017 - 2018,376.0,452.0,1.2,,,,,,,,,
,,2018 - 2019,377.0,454.0,1.2,,,,,,,,,
,,2019 - 2020,378.0,457.0,1.21,,,,,,,,,
,,2020 - 2021,379.0,460.0,1.21,,,,,,,,,
,,2021 - 2022,380.0,463.0,1.22,,,,,,,,,
,,2022 - 2023,381.0,466.0,1.22,,,,,,,,,
,North garo hills,2013 - 2014,96.0,101.0,1.05,,,,,,,,,
,,2014 - 2015,100.0,110.0,1.1,,,,,,,,,
,,2015 - 2016,102.0,113.0,1.11,,,,,,,,,
,,2016 - 2017,108.0,114.0,1.06,,,,,,,,,
,,2017 - 2018,108.0,114.0,1.06,,,,,,,,,
,,2018 - 2019,109.0,115.0,1.06,,,,,,,,,
,,2019 - 2020,109.0,115.0,1.06,,,,,,,,,
,,2020 - 2021,109.0,115.0,1.06,,,,,,,,,
,,2021 - 2022,109.0,115.0,1.06,,,,,,,,,
,,2022 - 2023,110.0,117.0,1.06,,,,,,,,,
,Ri bhoi,2000 - 2001,147.0,150.0,1.02,,,,,,,,,
,,2001 - 2002,147.0,150.0,1.02,,,,,,,,,
,,2002 - 2003,162.0,169.0,1.04,,,,,,,,,
,,2003 - 2004,164.0,172.0,1.05,,,,,,,,,
,,2004 - 2005,165.0,174.0,1.05,,,,,,,,,
,,2006 - 2007,168.0,184.0,1.1,,,,,,,,,
,,2008 - 2009,154.0,173.0,1.12,,,,,,,,,
,,2010 - 2011,152.0,170.0,1.12,,,,,,,,,
,,2011 - 2012,154.0,173.0,1.12,,,,,,,,,
,,2012 - 2013,224.0,270.0,1.21,,,,,,,,,
,,2013 - 2014,232.0,287.0,1.24,,,,,,,,,
,,2014 - 2015,241.0,307.0,1.27,,,,,,,,,
,,2015 - 2016,244.0,319.0,1.31,,,,,,,,,
,,2016 - 2017,260.0,325.0,1.25,,,,,,,,,
,,2017 - 2018,260.0,325.0,1.25,,,,,,,,,
,,2018 - 2019,261.0,327.0,1.25,,,,,,,,,
,,2019 - 2020,262.0,329.0,1.26,,,,,,,,,
,,2020 - 2021,263.0,331.0,1.26,,,,,,,,,
,,2021 - 2022,264.0,333.0,1.26,,,,,,,,,
,,2022 - 2023,265.0,336.0,1.27,,,,,,,,,
,South garo hills,2000 - 2001,8.0,10.0,1.25,,,,,,,,,
,,2001 - 2002,8.0,9.0,1.13,,,,,,,,,
,,2002 - 2003,8.0,8.0,1.0,,,,,,,,,
,,2003 - 2004,8.0,10.0,1.25,,,,,,,,,
,,2004 - 2005,8.0,8.0,1.0,,,,,,,,,
,,2006 - 2007,8.0,10.0,1.25,,,,,,,,,
,,2008 - 2009,7.0,10.0,1.43,,,,,,,,,
,,2010 - 2011,11.0,12.0,1.09,,,,,,,,,
,,2011 - 2012,12.0,15.0,1.25,,,,,,,,,
,,2012 - 2013,14.0,28.0,2.0,,,,,,,,,
,,2013 - 2014,15.0,31.0,2.07,,,,,,,,,
,,2014 - 2015,16.0,34.0,2.13,,,,,,,,,
,,2015 - 2016,18.0,37.0,2.06,,,,,,,,,
,,2016 - 2017,20.0,40.0,2.0,,,,,,,,,
,,2017 - 2018,20.0,40.0,2.0,,,,,,,,,
,,2018 - 2019,21.0,42.0,2.0,,,,,,,,,
,,2019 - 2020,21.0,42.0,2.0,,,,,,,,,
,,2020 - 2021,21.0,42.0,2.0,,,,,,,,,
,,2021 - 2022,22.0,46.0,2.09,,,,,,,,,
,,2022 - 2023,25.0,52.94,2.12,,,,,,,,,
,South west garo hills,2013 - 2014,84.0,496.0,5.9,,,,,,,,,
,,2014 - 2015,87.0,529.0,6.08,,,,,,,,,
,,2015 - 2016,88.0,543.0,6.17,,,,,,,,,
,,2016 - 2017,94.0,555.0,5.9,,,,,,,,,
,,2017 - 2018,95.0,561.0,5.91,,,,,,,,,
,,2018 - 2019,96.0,567.0,5.91,,,,,,,,,
,,2019 - 2020,97.0,573.0,5.91,,,,,,,,,
,,2020 - 2021,98.0,579.0,5.91,,,,,,,,,
,,2021 - 2022,99.0,585.0,5.91,,,,,,,,,
,,2022 - 2023,100.0,591.0,5.91,,,,,,,,,
,South west khasi hills,2013 - 2014,5.0,7.0,1.4,,,,,,,,,
,,2014 - 2015,5.0,7.0,1.4,,,,,,,,,
,,2015 - 2016,5.0,8.0,1.6,,,,,,,,,
,,2016 - 2017,6.0,8.0,1.33,,,,,,,,,
,,2017 - 2018,6.0,8.0,1.33,,,,,,,,,
,,2018 - 2019,7.0,9.0,1.29,,,,,,,,,
,,2019 - 2020,7.0,9.0,1.29,,,,,,,,,
,,2020 - 2021,7.0,9.0,1.29,,,,,,,,,
,,2021 - 2022,8.0,11.0,1.38,,,,,,,,,
,,2022 - 2023,8.0,11.0,1.38,,,,,,,,,
,West garo hills,2000 - 2001,109.0,77.0,0.71,,,,,,,,,
,,2001 - 2002,109.0,78.0,0.72,,,,,,,,,
,,2002 - 2003,112.0,82.0,0.73,,,,,,,,,
,,2003 - 2004,111.0,81.0,0.73,,,,,,,,,
,,2004 - 2005,119.0,87.0,0.73,,,,,,,,,
,,2006 - 2007,125.0,90.0,0.72,,,,,,,,,
,,2008 - 2009,134.0,100.0,0.75,,,,,,,,,
,,2010 - 2011,141.0,103.0,0.73,,,,,,,,,
,,2011 - 2012,142.0,118.0,0.83,,,,,,,,,
,,2012 - 2013,205.0,,5.69,,,,,,,,,
,,2013 - 2014,129.0,748.0,5.8,,,,,,,,,
,,2014 - 2015,134.0,805.0,6.01,,,,,,,,,
,,2015 - 2016,136.0,832.0,6.12,,,,,,,,,
,,2016 - 2017,146.0,847.0,5.8,,,,,,,,,
,,2017 - 2018,147.0,853.0,5.8,,,,,,,,,
,,2018 - 2019,148.0,859.0,5.8,,,,,,,,,
,,2019 - 2020,149.0,865.0,5.81,,,,,,,,,
,,2020 - 2021,150.0,871.0,5.81,,,,,,,,,
,,2021 - 2022,151.0,877.0,5.81,,,,,,,,,
,,2022 - 2023,152.0,884.0,5.82,,,,,,,,,
,West jaintia hills,2013 - 2014,568.0,809.0,1.42,,,,,,,,,
,,2014 - 2015,588.0,868.0,1.48,,,,,,,,,
,,2015 - 2016,593.0,891.0,1.5,,,,,,,,,
,,2016 - 2017,625.0,906.0,1.45,,,,,,,,,
,,2017 - 2018,626.0,909.0,1.45,,,,,,,,,
,,2018 - 2019,627.0,911.0,1.45,,,,,,,,,
,,2019 - 2020,628.0,914.0,1.46,,,,,,,,,
,,2020 - 2021,629.0,918.0,1.46,,,,,,,,,
,,2021 - 2022,630.0,922.0,1.46,,,,,,,,,
,,2022 - 2023,631.0,927.0,1.47,,,,,,,,,
,West khasi hills,2000 - 2001,17.0,10.0,0.59,,,,,,,,,
,,2001 - 2002,18.0,11.0,0.61,,,,,,,,,
,,2002 - 2003,16.0,10.0,0.63,,,,,,,,,
,,2003 - 2004,16.0,10.0,0.63,,,,,,,,,
,,2004 - 2005,16.0,11.0,0.69,,,,,,,,,
,,2006 - 2007,22.0,17.0,0.77,,,,,,,,,
,,2008 - 2009,25.0,22.0,0.88,,,,,,,,,
,,2010 - 2011,25.0,26.0,1.04,,,,,,,,,
,,2011 - 2012,28.0,30.0,1.07,,,,,,,,,
,,2012 - 2013,42.0,46.0,1.1,,,,,,,,,
,,2013 - 2014,41.0,44.0,1.07,,,,,,,,,
,,2014 - 2015,43.0,47.0,1.09,,,,,,,,,
,,2015 - 2016,44.0,50.0,1.14,,,,,,,,,
,,2016 - 2017,45.0,50.0,1.11,,,,,,,,,
,,2017 - 2018,46.0,52.0,1.13,,,,,,,,,
,,2018 - 2019,47.0,53.0,1.13,,,,,,,,,
,,2019 - 2020,47.0,53.0,1.13,,,,,,,,,
,,2020 - 2021,47.0,53.0,1.13,,,,,,,,,
,,2021 - 2022,48.0,56.0,1.17,,,,,,,,,
,,2022 - 2023,49.0,57.0,1.16,,,,,,,,,
Mizoram,Aizawl,2000 - 2001,643.0,625.0,0.97,,,,,,,,,
,,2001 - 2002,711.0,666.0,0.94,,,,,,,,,
,,2002 - 2003,646.0,617.0,0.96,,,,,,,,,
,,2003 - 2004,425.0,388.0,0.91,,,,,,,,,
,,2004 - 2005,371.0,746.0,2.01,,,,,,,,,
,,2005 - 2006,400.0,780.0,1.95,,,,,,,,,
,,2010 - 2011,326.0,,3.71,,,,,,,,,
,,2011 - 2012,280.0,376.0,1.34,,,,,,,,,
,,2012 - 2013,246.0,336.0,1.37,,,,,,,,,
,,2013 - 2014,235.0,323.0,1.37,,,,,,,,,
,,2014 - 2015,248.0,371.0,1.5,,,,,,,,,
,,2015 - 2016,232.0,361.0,1.56,,,,,,,,,
,,2016 - 2017,230.0,348.0,1.51,,,,,,,,,
,,2017 - 2018,220.0,330.0,1.5,,,,,,,,,
,,2018 - 2019,159.0,236.0,1.48,,,,,,,,,
,,2019 - 2020,159.0,270.0,1.7,,,,,,,,,
,,2020 - 2021,97.0,144.0,1.48,,,,,,,,,
,,2021 - 2022,156.0,235.0,1.51,,,,,,,,,
,,2022 - 2023,146.0,216.0,1.48,,,,,,,,,
,Champhai,2000 - 2001,82.0,54.0,0.66,,,,,,,,,
,,2001 - 2002,63.0,62.0,0.98,,,,,,,,,
,,2002 - 2003,117.0,94.0,0.8,,,,,,,,,
,,2003 - 2004,135.0,250.0,1.85,,,,,,,,,
,,2004 - 2005,150.0,145.0,0.97,,,,,,,,,
,,2005 - 2006,158.0,167.0,1.06,,,,,,,,,
,,2010 - 2011,205.0,196.0,0.96,,,,,,,,,
,,2011 - 2012,239.0,244.0,1.02,,,,,,,,,
,,2012 - 2013,170.0,173.0,1.02,,,,,,,,,
,,2013 - 2014,153.0,159.0,1.04,,,,,,,,,
,,2014 - 2015,161.0,165.0,1.02,,,,,,,,,
,,2015 - 2016,148.0,163.0,1.1,,,,,,,,,
,,2016 - 2017,124.0,143.0,1.15,,,,,,,,,
,,2017 - 2018,111.0,100.8,0.91,,,,,,,,,
,,2018 - 2019,97.0,91.0,0.94,,,,,,,,,
,,2019 - 2020,95.0,89.0,0.94,,,,,,,,,
,,2020 - 2021,80.0,70.0,0.88,,,,,,,,,
,,2021 - 2022,30.0,34.0,1.13,,,,,,,,,
,,2022 - 2023,30.0,44.0,1.47,,,,,,,,,
,Hnahthial,2020 - 2021,15.0,25.0,1.67,,,,,,,,,
,,2021 - 2022,46.0,49.0,1.07,,,,,,,,,
,,2022 - 2023,22.0,32.0,1.45,,,,,,,,,
,Khawzawl,2020 - 2021,8.0,11.0,1.38,,,,,,,,,
,,2021 - 2022,95.0,95.0,1.0,,,,,,,,,
,,2022 - 2023,898.0,718.0,0.8,,,,,,,,,
,Kolasib,2000 - 2001,261.0,221.0,0.85,,,,,,,,,
,,2001 - 2002,265.0,224.0,0.85,,,,,,,,,
,,2002 - 2003,960.0,875.0,0.91,,,,,,,,,
,,2003 - 2004,710.0,646.0,0.91,,,,,,,,,
,,2004 - 2005,373.0,,3.6,,,,,,,,,
,,2005 - 2006,365.0,,3.43,,,,,,,,,
,,2010 - 2011,137.0,161.0,1.18,,,,,,,,,
,,2011 - 2012,144.0,168.0,1.17,,,,,,,,,
,,2012 - 2013,130.0,302.0,2.32,,,,,,,,,
,,2013 - 2014,136.0,316.0,2.32,,,,,,,,,
,,2014 - 2015,138.0,323.0,2.34,,,,,,,,,
,,2015 - 2016,144.0,338.0,2.35,,,,,,,,,
,,2016 - 2017,140.0,330.0,2.36,,,,,,,,,
,,2017 - 2018,130.0,308.0,2.37,,,,,,,,,
,,2018 - 2019,130.0,318.0,2.45,,,,,,,,,
,,2019 - 2020,127.0,217.0,1.71,,,,,,,,,
,,2020 - 2021,197.0,341.0,1.73,,,,,,,,,
,,2021 - 2022,207.0,357.0,1.72,,,,,,,,,
,,2022 - 2023,170.0,263.0,1.55,,,,,,,,,
,Lawngtlai,2004 - 2005,47.0,40.0,0.85,,,,,,,,,
,,2005 - 2006,55.0,50.0,0.91,,,,,,,,,
,,2010 - 2011,43.0,22.0,0.51,,,,,,,,,
,,2011 - 2012,63.0,32.0,0.51,,,,,,,,,
,,2012 - 2013,65.0,33.0,0.51,,,,,,,,,
,,2013 - 2014,71.0,51.0,0.72,,,,,,,,,
,,2014 - 2015,80.0,57.0,0.71,,,,,,,,,
,,2015 - 2016,90.0,116.0,1.29,,,,,,,,,
,,2016 - 2017,97.0,125.0,1.29,,,,,,,,,
,,2017 - 2018,119.0,151.9,1.28,,,,,,,,,
,,2018 - 2019,90.0,133.0,1.48,,,,,,,,,
,,2019 - 2020,167.0,223.0,1.34,,,,,,,,,
,,2020 - 2021,195.0,262.0,1.34,,,,,,,,,
,,2021 - 2022,243.0,321.0,1.32,,,,,,,,,
,,2022 - 2023,,,1.15,,,,,,,,,
,Lunglei,2000 - 2001,208.0,691.0,3.32,,,,,,,,,
,,2001 - 2002,227.0,260.0,1.15,,,,,,,,,
,,2002 - 2003,227.0,260.0,1.15,,,,,,,,,
,,2003 - 2004,267.0,359.0,1.34,,,,,,,,,
,,2004 - 2005,200.0,226.0,1.13,,,,,,,,,
,,2005 - 2006,245.0,319.0,1.3,,,,,,,,,
,,2010 - 2011,309.0,305.0,0.99,,,,,,,,,
,,2011 - 2012,128.0,115.0,0.9,,,,,,,,,
,,2012 - 2013,158.0,177.0,1.12,,,,,,,,,
,,2013 - 2014,86.0,103.0,1.2,,,,,,,,,
,,2014 - 2015,78.0,71.0,0.91,,,,,,,,,
,,2015 - 2016,91.0,77.0,0.85,,,,,,,,,
,,2016 - 2017,66.0,66.0,1.0,,,,,,,,,
,,2017 - 2018,56.3,79.0,1.4,,,,,,,,,
,,2018 - 2019,57.0,84.0,1.47,,,,,,,,,
,,2019 - 2020,60.0,82.0,1.37,,,,,,,,,
,,2020 - 2021,46.0,61.0,1.33,,,,,,,,,
,,2021 - 2022,45.0,58.0,1.29,,,,,,,,,
,,2022 - 2023,49.0,62.0,1.27,,,,,,,,,
,Mamit,2003 - 2004,317.0,221.0,0.7,,,,,,,,,
,,2004 - 2005,192.0,164.0,0.85,,,,,,,,,
,,2005 - 2006,104.0,127.0,1.22,,,,,,,,,
,,2010 - 2011,135.0,328.0,2.43,,,,,,,,,
,,2011 - 2012,38.0,77.0,2.03,,,,,,,,,
,,2012 - 2013,16.0,32.0,2.0,,,,,,,,,
,,2013 - 2014,36.0,77.0,2.14,,,,,,,,,
,,2014 - 2015,40.0,6.0,0.15,,,,,,,,,
,,2015 - 2016,44.0,78.0,1.77,,,,,,,,,
,,2016 - 2017,48.0,82.0,1.71,,,,,,,,,
,,2017 - 2018,36.0,47.0,1.31,,,,,,,,,
,,2018 - 2019,34.0,43.0,1.26,,,,,,,,,
,,2019 - 2020,70.0,78.0,1.11,,,,,,,,,
,,2020 - 2021,55.0,58.0,1.05,,,,,,,,,
,,2021 - 2022,40.0,57.0,1.43,,,,,,,,,
,,2022 - 2023,48.0,48.0,1.0,,,,,,,,,
,Saiha,2003 - 2004,124.0,99.0,0.8,,,,,,,,,
,,2004 - 2005,81.0,67.0,0.83,,,,,,,,,
,,2005 - 2006,88.0,100.0,1.14,,,,,,,,,
,,2010 - 2011,25.0,35.0,1.4,,,,,,,,,
,,2011 - 2012,26.7,16.0,0.6,,,,,,,,,
,,2012 - 2013,45.0,21.0,0.47,,,,,,,,,
,,2013 - 2014,3.0,2.0,0.67,,,,,,,,,
,,2014 - 2015,12.0,12.0,1.0,,,,,,,,,
,,2015 - 2016,14.0,13.0,0.93,,,,,,,,,
,,2016 - 2017,16.0,19.0,1.19,,,,,,,,,
,,2017 - 2018,16.0,9.1,0.57,,,,,,,,,
,,2018 - 2019,16.0,11.0,0.69,,,,,,,,,
,,2019 - 2020,14.0,7.0,0.5,,,,,,,,,
,,2020 - 2021,19.0,17.0,0.89,,,,,,,,,
,,2021 - 2022,10.0,10.0,1.0,,,,,,,,,
,,2022 - 2023,10.0,10.0,1.0,,,,,,,,,
,Saitual,2020 - 2021,108.0,130.0,1.2,,,,,,,,,
,,2021 - 2022,125.0,152.0,1.22,,,,,,,,,
,,2022 - 2023,125.0,152.0,1.22,,,,,,,,,
,Serchhip,2004 - 2005,20.0,13.0,0.65,,,,,,,,,
,,2005 - 2006,35.0,26.0,0.74,,,,,,,,,
,,2010 - 2011,221.0,398.0,1.8,,,,,,,,,
,,2011 - 2012,225.0,405.0,1.8,,,,,,,,,
,,2012 - 2013,246.0,443.0,1.8,,,,,,,,,
,,2013 - 2014,260.0,427.0,1.64,,,,,,,,,
,,2014 - 2015,285.0,467.0,1.64,,,,,,,,,
,,2015 - 2016,285.0,467.0,1.64,,,,,,,,,
,,2016 - 2017,298.0,491.0,1.65,,,,,,,,,
,,2017 - 2018,320.0,512.0,1.6,,,,,,,,,
,,2018 - 2019,429.0,836.0,1.95,,,,,,,,,
,,2019 - 2020,429.0,861.0,2.01,,,,,,,,,
,,2020 - 2021,429.0,861.0,2.01,,,,,,,,,
,,2021 - 2022,429.0,815.0,1.9,,,,,,,,,
,,2022 - 2023,429.0,815.0,1.9,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,665.0,854.0,1.28,,,,,,,,,
,Dimapur,2000 - 2001,,,1.81,,,,,,,,,
,,2002 - 2003,,,1.51,,,,,,,,,
,,2003 - 2004,,,1.02,,,,,,,,,
,,2004 - 2005,,,1.26,,,,,,,,,
,,2005 - 2006,,,1.05,,,,,,,,,
,,2006 - 2007,,,1.2,,,,,,,,,
,,2007 - 2008,,,1.95,,,,,,,,,
,,2008 - 2009,,,1.65,,,,,,,,,
,,2009 - 2010,,,1.04,,,,,,,,,
,,2010 - 2011,,,1.24,,,,,,,,,
,,2011 - 2012,,,1.24,,,,,,,,,
,,2012 - 2013,,,1.24,,,,,,,,,
,,2013 - 2014,,,1.24,,,,,,,,,
,,2014 - 2015,,,1.24,,,,,,,,,
,,2015 - 2016,,,1.24,,,,,,,,,
,,2016 - 2017,,,1.24,,,,,,,,,
,,2017 - 2018,,,1.24,,,,,,,,,
,,2018 - 2019,,,1.24,,,,,,,,,
,,2019 - 2020,,,1.24,,,,,,,,,
,,2020 - 2021,,,1.27,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,
,,2022 - 2023,228.0,293.0,1.29,,,,,,,,,
,Kiphire,2008 - 2009,,,1.54,,,,,,,,,
,,2009 - 2010,,,1.03,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,
,,2011 - 2012,,,1.22,,,,,,,,,
,,2012 - 2013,,,1.21,,,,,,,,,
,,2013 - 2014,,,1.21,,,,,,,,,
,,2014 - 2015,,,1.21,,,,,,,,,
,,2015 - 2016,,,1.21,,,,,,,,,
,,2016 - 2017,,,1.23,,,,,,,,,
,,2017 - 2018,,,1.24,,,,,,,,,
,,2018 - 2019,,,1.25,,,,,,,,,
,,2019 - 2020,,,1.25,,,,,,,,,
,,2020 - 2021,,,1.27,,,,,,,,,
,,2021 - 2022,171.0,179.0,1.05,,,,,,,,,
,,2022 - 2023,,,1.27,,,,,,,,,
,Kohima,2000 - 2001,830.0,,1.29,,,,,,,,,
,,2001 - 2002,,,2.33,,,,,,,,,
,,2002 - 2003,,,1.86,,,,,,,,,
,,2003 - 2004,,,1.46,,,,,,,,,
,,2004 - 2005,,,2.27,,,,,,,,,
,,2005 - 2006,,,1.49,,,,,,,,,
,,2006 - 2007,,,1.2,,,,,,,,,
,,2007 - 2008,,,1.13,,,,,,,,,
,,2008 - 2009,,,1.35,,,,,,,,,
,,2009 - 2010,,,1.03,,,,,,,,,
,,2010 - 2011,,,1.27,,,,,,,,,
,,2011 - 2012,,,1.27,,,,,,,,,
,,2012 - 2013,,,1.27,,,,,,,,,
,,2013 - 2014,,,1.28,,,,,,,,,
,,2014 - 2015,,,1.27,,,,,,,,,
,,2015 - 2016,,,1.27,,,,,,,,,
,,2016 - 2017,,,1.27,,,,,,,,,
,,2017 - 2018,,,1.27,,,,,,,,,
,,2018 - 2019,,,1.27,,,,,,,,,
,,2019 - 2020,,,1.28,,,,,,,,,
,,2020 - 2021,,,1.27,,,,,,,,,
,,2021 - 2022,390.0,468.0,1.2,,,,,,,,,
,,2022 - 2023,264.0,335.0,1.27,,,,,,,,,
,Longleng,2008 - 2009,,,1.65,,,,,,,,,
,,2009 - 2010,,,1.01,,,,,,,,,
,,2010 - 2011,,,1.17,,,,,,,,,
,,2011 - 2012,,,1.2,,,,,,,,,
,,2012 - 2013,,,1.2,,,,,,,,,
,,2013 - 2014,,,1.2,,,,,,,,,
,,2014 - 2015,,,1.2,,,,,,,,,
,,2015 - 2016,,,1.22,,,,,,,,,
,,2016 - 2017,,,1.22,,,,,,,,,
,,2017 - 2018,,,1.23,,,,,,,,,
,,2018 - 2019,,,1.24,,,,,,,,,
,,2019 - 2020,,,1.24,,,,,,,,,
,,2020 - 2021,,,1.26,,,,,,,,,
,,2021 - 2022,240.0,301.0,1.25,,,,,,,,,
,,2022 - 2023,465.0,587.0,1.26,,,,,,,,,
,Mokokchung,2000 - 2001,,,1.14,,,,,,,,,
,,2001 - 2002,,,1.27,,,,,,,,,
,,2002 - 2003,,,1.25,,,,,,,,,
,,2003 - 2004,,,1.34,,,,,,,,,
,,2004 - 2005,,,1.6,,,,,,,,,
,,2005 - 2006,,,1.08,,,,,,,,,
,,2006 - 2007,,,1.2,,,,,,,,,
,,2007 - 2008,,,1.12,,,,,,,,,
,,2008 - 2009,,,1.41,,,,,,,,,
,,2009 - 2010,,,1.04,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,
,,2011 - 2012,,,1.2,,,,,,,,,
,,2012 - 2013,,,1.21,,,,,,,,,
,,2013 - 2014,,,1.21,,,,,,,,,
,,2014 - 2015,,,1.21,,,,,,,,,
,,2015 - 2016,,,1.22,,,,,,,,,
,,2016 - 2017,,,1.22,,,,,,,,,
,,2017 - 2018,,,1.24,,,,,,,,,
,,2018 - 2019,,,1.24,,,,,,,,,
,,2019 - 2020,,,1.24,,,,,,,,,
,,2020 - 2021,,,1.26,,,,,,,,,
,,2021 - 2022,234.0,293.0,1.25,,,,,,,,,
,,2022 - 2023,453.0,552.0,1.22,,,,,,,,,
,Mon,2000 - 2001,,,1.15,,,,,,,,,
,,2001 - 2002,,,1.16,,,,,,,,,
,,2002 - 2003,,,1.12,,,,,,,,,
,,2003 - 2004,,,1.42,,,,,,,,,
,,2004 - 2005,,,1.54,,,,,,,,,
