state,district,year,sugarcane_whole_year_area_hectare,sugarcane_whole_year_production_tonne,sugarcane_whole_year_yield_tonne_per_hectare,sugarcane_autumn_area_hectare,sugarcane_autumn_production_tonne,sugarcane_autumn_yield_tonne_per_hectare,sugarcane_kharif_area_hectare,sugarcane_kharif_production_tonne,sugarcane_kharif_yield_tonne_per_hectare,sugarcane_winter_area_hectare,sugarcane_winter_production_tonne,sugarcane_winter_yield_tonne_per_hectare,sugarcane_rabi_area_hectare,sugarcane_rabi_production_tonne,sugarcane_rabi_yield_tonne_per_hectare,sugarcane_summer_area_hectare,sugarcane_summer_production_tonne,sugarcane_summer_yield_tonne_per_hectare
,,2007 - 2008,,,,,,,,,26.42,,,,,,,,,
,,2008 - 2009,,,,,,,,,40.74,,,,,,,,,
,,2009 - 2010,,,,,,,902.0,,40.09,,,,,,,,,
,,2010 - 2011,,,,,,,,,49.27,,,,,,,,,
,,2011 - 2012,,,,,,,,,48.1,,,,,,,,,
,,2012 - 2013,,,,,,,,,37.15,,,,,,,,,
,,2013 - 2014,,,,,,,,,44.67,,,,,,,,,
,,2014 - 2015,,,,,,,,,40.45,,,,,,,,,
,,2015 - 2016,,,,,,,,,36.68,,,,,,,,,
,,2016 - 2017,,,,,,,,,42.95,,,,,,,,,
,,2017 - 2018,,,,,,,,,38.33,,,,,,,,,
,,2018 - 2019,,,,,,,,,39.0,,,,,,,,,
,,2019 - 2020,,,,,,,,,39.77,,,,,,,,,
,Hapur,2012 - 2013,,,,,,,,,62.5,,,,,,,,,
,,2013 - 2014,,,,,,,,,65.18,,,,,,,,,
,,2014 - 2015,,,,,,,,,70.33,,,,,,,,,
,,2015 - 2016,,,,,,,,,67.66,,,,,,,,,
,,2016 - 2017,,,,,,,,,78.56,,,,,,,,,
,,2017 - 2018,,,,,,,,,83.31,,,,,,,,,
,,2018 - 2019,,,,,,,,,83.62,,,,,,,,,
,,2019 - 2020,,,,,,,,,84.41,,,,,,,,,
,,2020 - 2021,,,,,,,,,84.68,,,,,,,,,
,,2021 - 2022,,,,,,,,,83.04,,,,,,,,,
,,2022 - 2023,,,,,,,,,85.11,,,,,,,,,
,Hardoi,2000 - 2001,,,55.09,,,,,,,,,,,,,,,
,,2001 - 2002,,,51.96,,,,,,,,,,,,,,,
,,2002 - 2003,,,48.5,,,,,,,,,,,,,,,
,,2003 - 2004,,,47.08,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,50.48,,,,,,,,,
,,2005 - 2006,,,,,,,,,47.74,,,,,,,,,
,,2006 - 2007,,,,,,,,,52.89,,,,,,,,,
,,2007 - 2008,,,,,,,,,48.16,,,,,,,,,
,,2008 - 2009,,,,,,,,,47.98,,,,,,,,,
,,2009 - 2010,,,,,,,,,50.88,,,,,,,,,
,,2010 - 2011,,,,,,,,,53.25,,,,,,,,,
,,2011 - 2012,,,,,,,,,56.41,,,,,,,,,
,,2012 - 2013,,,,,,,,,61.68,,,,,,,,,
,,2013 - 2014,,,,,,,,,58.09,,,,,,,,,
,,2014 - 2015,,,,,,,,,60.12,,,,,,,,,
,,2015 - 2016,,,,,,,,,62.46,,,,,,,,,
,,2016 - 2017,,,,,,,,,69.0,,,,,,,,,
,,2017 - 2018,,,,,,,,,75.53,,,,,,,,,
,,2018 - 2019,,,,,,,,,78.32,,,,,,,,,
,,2019 - 2020,,,,,,,,,78.43,,,,,,,,,
,,2020 - 2021,,,,,,,,,79.32,,,,,,,,,
,,2021 - 2022,,,,,,,,,79.97,,,,,,,,,
,,2022 - 2023,,,,,,,,,81.97,,,,,,,,,
,Hathras,2000 - 2001,468.0,,51.63,,,,,,,,,,,,,,,
,,2001 - 2002,479.0,,52.42,,,,,,,,,,,,,,,
,,2002 - 2003,481.0,,54.41,,,,,,,,,,,,,,,
,,2003 - 2004,543.0,,51.72,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,490.0,,49.67,,,,,,,,,
,,2005 - 2006,,,,,,,,,50.38,,,,,,,,,
,,2006 - 2007,,,,,,,516.0,,53.85,,,,,,,,,
,,2007 - 2008,,,,,,,362.0,,52.53,,,,,,,,,
,,2008 - 2009,,,,,,,212.0,,51.15,,,,,,,,,
,,2009 - 2010,,,,,,,365.0,,54.83,,,,,,,,,
,,2010 - 2011,,,,,,,387.0,,55.13,,,,,,,,,
,,2011 - 2012,,,,,,,223.0,,58.48,,,,,,,,,
,,2012 - 2013,,,,,,,530.0,,60.4,,,,,,,,,
,,2013 - 2014,,,,,,,326.0,,61.47,,,,,,,,,
,,2014 - 2015,,,,,,,262.0,,57.4,,,,,,,,,
,,2015 - 2016,,,,,,,220.0,,61.29,,,,,,,,,
,,2016 - 2017,,,,,,,122.0,,65.16,,,,,,,,,
,,2017 - 2018,,,,,,,566.0,,74.27,,,,,,,,,
,,2018 - 2019,,,,,,,861.0,,79.27,,,,,,,,,
,,2019 - 2020,,,,,,,,,80.49,,,,,,,,,
,Jalaun,2000 - 2001,,,41.72,,,,,,,,,,,,,,,
,,2001 - 2002,,,46.62,,,,,,,,,,,,,,,
,,2002 - 2003,,,45.15,,,,,,,,,,,,,,,
,,2003 - 2004,,,49.58,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,60.29,,,,,,,,,
,,2005 - 2006,,,,,,,,,22.47,,,,,,,,,
,,2006 - 2007,,,,,,,,,38.53,,,,,,,,,
,,2007 - 2008,,,,,,,,,19.95,,,,,,,,,
,,2008 - 2009,,,,,,,,,23.05,,,,,,,,,
,,2009 - 2010,,,,,,,493.0,,32.05,,,,,,,,,
,,2010 - 2011,,,,,,,,,37.68,,,,,,,,,
,,2011 - 2012,,,,,,,,,40.58,,,,,,,,,
,,2012 - 2013,,,,,,,,,37.15,,,,,,,,,
,,2013 - 2014,,,,,,,,,40.16,,,,,,,,,
,,2014 - 2015,,,,,,,,,40.43,,,,,,,,,
,,2015 - 2016,,,,,,,,,34.43,,,,,,,,,
,,2016 - 2017,,,,,,,,,38.04,,,,,,,,,
,,2017 - 2018,,,,,,,,,39.44,,,,,,,,,
,,2018 - 2019,,,,,,,,,37.14,,,,,,,,,
,,2019 - 2020,,,,,,,,,36.76,,,,,,,,,
,Jaunpur,2000 - 2001,,,49.86,,,,,,,,,,,,,,,
,,2001 - 2002,,,50.4,,,,,,,,,,,,,,,
,,2002 - 2003,,,47.16,,,,,,,,,,,,,,,
,,2003 - 2004,,,38.56,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,42.64,,,,,,,,,
,,2005 - 2006,,,,,,,,,47.91,,,,,,,,,
,,2006 - 2007,,,,,,,,,58.86,,,,,,,,,
,,2007 - 2008,,,,,,,,,53.77,,,,,,,,,
,,2008 - 2009,,,,,,,,,53.54,,,,,,,,,
,,2009 - 2010,,,,,,,,,54.28,,,,,,,,,
,,2010 - 2011,,,,,,,,,55.88,,,,,,,,,
,,2011 - 2012,,,,,,,,,52.64,,,,,,,,,
,,2012 - 2013,,,,,,,,,55.86,,,,,,,,,
,,2013 - 2014,,,,,,,,,57.36,,,,,,,,,
,,2014 - 2015,,,,,,,,,57.26,,,,,,,,,
,,2015 - 2016,,,,,,,,,57.35,,,,,,,,,
,,2016 - 2017,,,,,,,,,63.12,,,,,,,,,
,,2017 - 2018,,,,,,,,,65.87,,,,,,,,,
,,2018 - 2019,,,,,,,,,69.44,,,,,,,,,
,,2019 - 2020,,,,,,,,,62.46,,,,,,,,,
,,2020 - 2021,,,,,,,,,65.55,,,,,,,,,
,,2021 - 2022,,,,,,,,,61.25,,,,,,,,,
,,2022 - 2023,,,,,,,,,65.33,,,,,,,,,
,Jhansi,2000 - 2001,95.0,,41.72,,,,,,,,,,,,,,,
,,2001 - 2002,80.0,,46.63,,,,,,,,,,,,,,,
,,2002 - 2003,37.0,,45.16,,,,,,,,,,,,,,,
,,2003 - 2004,67.0,,49.57,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,67.0,,60.3,,,,,,,,,
,,2005 - 2006,,,,,,,67.0,,22.48,,,,,,,,,
,,2006 - 2007,,,,,,,139.0,,38.53,,,,,,,,,
,,2007 - 2008,,,,,,,22.0,439.0,19.95,,,,,,,,,
,,2008 - 2009,,,,,,,41.0,946.0,23.07,,,,,,,,,
,,2009 - 2010,,,,,,,39.0,,32.05,,,,,,,,,
,,2010 - 2011,,,,,,,80.0,,37.69,,,,,,,,,
,,2011 - 2012,,,,,,,333.0,,40.58,,,,,,,,,
,,2012 - 2013,,,,,,,228.0,,37.15,,,,,,,,,
,,2013 - 2014,,,,,,,208.0,,40.16,,,,,,,,,
,,2014 - 2015,,,,,,,165.0,,40.43,,,,,,,,,
,,2015 - 2016,,,,,,,153.0,,34.42,,,,,,,,,
,,2016 - 2017,,,,,,,57.0,,38.04,,,,,,,,,
,,2017 - 2018,,,,,,,154.0,,39.44,,,,,,,,,
,,2018 - 2019,,,,,,,138.0,,37.14,,,,,,,,,
,,2019 - 2020,,,,,,,105.0,,36.75,,,,,,,,,
,Kannauj,2000 - 2001,474.0,,51.37,,,,,,,,,,,,,,,
,,2001 - 2002,539.0,,53.4,,,,,,,,,,,,,,,
,,2002 - 2003,404.0,,49.35,,,,,,,,,,,,,,,
,,2003 - 2004,348.0,,47.28,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,358.0,,53.46,,,,,,,,,
,,2005 - 2006,,,,,,,355.0,,46.5,,,,,,,,,
,,2006 - 2007,,,,,,,358.0,,56.77,,,,,,,,,
,,2007 - 2008,,,,,,,399.0,,50.64,,,,,,,,,
,,2008 - 2009,,,,,,,94.0,,44.71,,,,,,,,,
,,2009 - 2010,,,,,,,163.0,,51.36,,,,,,,,,
,,2010 - 2011,,,,,,,197.0,,53.45,,,,,,,,,
,,2011 - 2012,,,,,,,226.0,,57.97,,,,,,,,,
,,2012 - 2013,,,,,,,215.0,,60.7,,,,,,,,,
,,2013 - 2014,,,,,,,204.0,,59.59,,,,,,,,,
,,2014 - 2015,,,,,,,130.0,,57.62,,,,,,,,,
,,2015 - 2016,,,,,,,154.0,,57.83,,,,,,,,,
,,2016 - 2017,,,,,,,208.0,,60.37,,,,,,,,,
,,2017 - 2018,,,,,,,194.0,,64.7,,,,,,,,,
,,2018 - 2019,,,,,,,173.0,,65.51,,,,,,,,,
,,2019 - 2020,,,,,,,168.0,,64.55,,,,,,,,,
,Kanpur dehat,2003 - 2004,,,41.68,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,45.51,,,,,,,,,
,,2005 - 2006,,,,,,,,,42.41,,,,,,,,,
,,2006 - 2007,,,,,,,,,45.11,,,,,,,,,
,,2007 - 2008,,,,,,,,,50.64,,,,,,,,,
,,2008 - 2009,,,,,,,,,44.72,,,,,,,,,
,,2009 - 2010,,,,,,,,,51.36,,,,,,,,,
,,2010 - 2011,,,,,,,,,53.45,,,,,,,,,
,,2011 - 2012,,,,,,,,,57.97,,,,,,,,,
,,2012 - 2013,,,,,,,,,60.7,,,,,,,,,
,,2013 - 2014,,,,,,,,,59.59,,,,,,,,,
,,2014 - 2015,,,,,,,,,57.61,,,,,,,,,
,,2015 - 2016,,,,,,,,,57.84,,,,,,,,,
,,2016 - 2017,,,,,,,,,60.37,,,,,,,,,
,,2017 - 2018,,,,,,,,,64.7,,,,,,,,,
,,2018 - 2019,,,,,,,,,65.51,,,,,,,,,
,,2019 - 2020,,,,,,,,,64.56,,,,,,,,,
,,2020 - 2021,,,,,,,,,71.96,,,,,,,,,
,,2021 - 2022,,,,,,,,,72.71,,,,,,,,,
,Kanpur nagar,2000 - 2001,,,47.49,,,,,,,,,,,,,,,
,,2001 - 2002,,,47.97,,,,,,,,,,,,,,,
,,2002 - 2003,,,43.53,,,,,,,,,,,,,,,
,,2003 - 2004,,,42.31,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,51.58,,,,,,,,,
,,2005 - 2006,,,,,,,,,31.83,,,,,,,,,
,,2006 - 2007,,,,,,,,,48.3,,,,,,,,,
,,2007 - 2008,,,,,,,,,40.87,,,,,,,,,
,,2008 - 2009,,,,,,,,,38.82,,,,,,,,,
,,2009 - 2010,,,,,,,,,41.16,,,,,,,,,
,,2010 - 2011,,,,,,,,,43.72,,,,,,,,,
,,2011 - 2012,,,,,,,,,47.17,,,,,,,,,
,,2012 - 2013,,,,,,,,,55.3,,,,,,,,,
,,2013 - 2014,,,,,,,,,54.01,,,,,,,,,
,,2014 - 2015,,,,,,,,,49.76,,,,,,,,,
,,2015 - 2016,,,,,,,,,50.33,,,,,,,,,
,,2016 - 2017,,,,,,,,,55.58,,,,,,,,,
,,2017 - 2018,,,,,,,,,61.73,,,,,,,,,
,,2018 - 2019,,,,,,,,,63.2,,,,,,,,,
,,2019 - 2020,,,,,,,,,63.89,,,,,,,,,
,,2022 - 2023,,,,,,,,,74.35,,,,,,,,,
,Kasganj,2009 - 2010,,,,,,,,,53.64,,,,,,,,,
,,2010 - 2011,,,,,,,,,48.84,,,,,,,,,
,,2011 - 2012,,,,,,,,,56.41,,,,,,,,,
,,2012 - 2013,,,,,,,,,58.62,,,,,,,,,
,,2013 - 2014,,,,,,,,,62.01,,,,,,,,,
,,2014 - 2015,,,,,,,,,55.23,,,,,,,,,
,,2015 - 2016,,,,,,,,,61.01,,,,,,,,,
,,2016 - 2017,,,,,,,,,64.01,,,,,,,,,
,,2017 - 2018,,,,,,,,,74.26,,,,,,,,,
,,2018 - 2019,,,,,,,,,79.27,,,,,,,,,
,,2019 - 2020,,,,,,,,,80.49,,,,,,,,,
,,2022 - 2023,,,,,,,,,82.89,,,,,,,,,
,Kaushambi,2000 - 2001,,,41.39,,,,,,,,,,,,,,,
,,2001 - 2002,,,40.16,,,,,,,,,,,,,,,
,,2002 - 2003,,,42.44,,,,,,,,,,,,,,,
,,2003 - 2004,,,45.29,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,68.27,,,,,,,,,
,,2005 - 2006,,,,,,,,,37.05,,,,,,,,,
,,2006 - 2007,,,,,,,,,32.88,,,,,,,,,
,,2007 - 2008,,,,,,,,,44.6,,,,,,,,,
,,2008 - 2009,,,,,,,,,55.27,,,,,,,,,
,,2009 - 2010,,,,,,,484.0,,43.55,,,,,,,,,
,,2010 - 2011,,,,,,,,,58.34,,,,,,,,,
,,2011 - 2012,,,,,,,,,55.87,,,,,,,,,
,,2012 - 2013,,,,,,,,,61.14,,,,,,,,,
,,2013 - 2014,,,,,,,,,68.23,,,,,,,,,
,,2014 - 2015,,,,,,,,,65.78,,,,,,,,,
,,2015 - 2016,,,,,,,663.0,,67.03,,,,,,,,,
,,2016 - 2017,,,,,,,,,72.67,,,,,,,,,
,,2017 - 2018,,,,,,,,,36.73,,,,,,,,,
,,2018 - 2019,,,,,,,,,38.4,,,,,,,,,
,,2019 - 2020,,,,,,,,,81.31,,,,,,,,,
,Kheri,2000 - 2001,,,50.2,,,,,,,,,,,,,,,
,,2001 - 2002,,,53.25,,,,,,,,,,,,,,,
,,2002 - 2003,,,53.59,,,,,,,,,,,,,,,
,,2003 - 2004,,,50.04,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,60.59,,,,,,,,,
,,2005 - 2006,,,,,,,,,56.75,,,,,,,,,
,,2006 - 2007,,,,,,,,,59.1,,,,,,,,,
,,2007 - 2008,,,,,,,,,53.16,,,,,,,,,
,,2008 - 2009,,,,,,,,,49.57,,,,,,,,,
,,2009 - 2010,,,,,,,,,60.14,,,,,,,,,
,,2010 - 2011,,,,,,,,,55.93,,,,,,,,,
,,2011 - 2012,,,,,,,,,61.92,,,,,,,,,
,,2012 - 2013,,,,,,,,,60.28,,,,,,,,,
,,2013 - 2014,,,,,,,,,62.66,,,,,,,,,
,,2014 - 2015,,,,,,,,,66.1,,,,,,,,,
,,2015 - 2016,,,,,,,,,66.42,,,,,,,,,
,,2016 - 2017,,,,,,,,,71.99,,,,,,,,,
,,2017 - 2018,,,,,,,,,80.71,,,,,,,,,
,,2018 - 2019,,,,,,,,,86.34,,,,,,,,,
,,2019 - 2020,,,,,,,,,86.85,,,,,,,,,
,,2020 - 2021,,,,,,,,,85.37,,,,,,,,,
,,2021 - 2022,,,,,,,,,85.64,,,,,,,,,
,,2022 - 2023,,,,,,,,,86.86,,,,,,,,,
,Kushi nagar,2000 - 2001,,,47.7,,,,,,,,,,,,,,,
,,2001 - 2002,,,52.74,,,,,,,,,,,,,,,
,,2002 - 2003,,,52.13,,,,,,,,,,,,,,,
,,2003 - 2004,,,50.18,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,53.22,,,,,,,,,
,,2005 - 2006,,,,,,,,,52.7,,,,,,,,,
,,2006 - 2007,,,,,,,,,53.91,,,,,,,,,
,,2007 - 2008,,,,,,,,,51.78,,,,,,,,,
,,2008 - 2009,,,,,,,,,48.5,,,,,,,,,
,,2009 - 2010,,,,,,,,,52.74,,,,,,,,,
,,2010 - 2011,,,,,,,,,51.46,,,,,,,,,
,,2011 - 2012,,,,,,,,,52.04,,,,,,,,,
,,2012 - 2013,,,,,,,,,56.82,,,,,,,,,
,,2013 - 2014,,,,,,,,,59.77,,,,,,,,,
,,2014 - 2015,,,,,,,,,60.17,,,,,,,,,
,,2015 - 2016,,,,,,,,,62.66,,,,,,,,,
,,2016 - 2017,,,,,,,,,66.9,,,,,,,,,
,,2017 - 2018,,,,,,,,,73.54,,,,,,,,,
,,2018 - 2019,,,,,,,,,77.62,,,,,,,,,
,,2019 - 2020,,,,,,,,,77.78,,,,,,,,,
,,2020 - 2021,,,,,,,,,71.3,,,,,,,,,
,,2021 - 2022,,,,,,,,,71.92,,,,,,,,,
,,2022 - 2023,,,,,,,,,77.73,,,,,,,,,
,Lalitpur,2000 - 2001,191.0,,41.72,,,,,,,,,,,,,,,
,,2001 - 2002,170.0,,46.62,,,,,,,,,,,,,,,
,,2002 - 2003,126.0,,45.15,,,,,,,,,,,,,,,
,,2003 - 2004,93.0,,49.57,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,104.0,,60.29,,,,,,,,,
,,2005 - 2006,,,,,,,95.0,,22.47,,,,,,,,,
,,2006 - 2007,,,,,,,398.0,,38.53,,,,,,,,,
,,2007 - 2008,,,,,,,148.0,,19.95,,,,,,,,,
,,2008 - 2009,,,,,,,73.0,,23.07,,,,,,,,,
,,2009 - 2010,,,,,,,129.0,,32.05,,,,,,,,,
,,2010 - 2011,,,,,,,284.0,,37.68,,,,,,,,,
,,2011 - 2012,,,,,,,199.0,,40.58,,,,,,,,,
,,2012 - 2013,,,,,,,37.0,,37.16,,,,,,,,,
,,2013 - 2014,,,,,,,56.0,,40.16,,,,,,,,,
,,2014 - 2015,,,,,,,52.0,,40.42,,,,,,,,,
,,2015 - 2016,,,,,,,38.0,,34.42,,,,,,,,,
,,2016 - 2017,,,,,,,41.0,,38.05,,,,,,,,,
,,2017 - 2018,,,,,,,24.0,946.0,39.42,,,,,,,,,
,,2018 - 2019,,,,,,,87.0,,37.14,,,,,,,,,
,,2019 - 2020,,,,,,,39.0,,36.77,,,,,,,,,
,Lucknow,2000 - 2001,488.0,,56.19,,,,,,,,,,,,,,,
,,2001 - 2002,540.0,,52.8,,,,,,,,,,,,,,,
,,2002 - 2003,427.0,,47.45,,,,,,,,,,,,,,,
,,2003 - 2004,425.0,,48.03,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,428.0,,54.12,,,,,,,,,
,,2005 - 2006,,,,,,,398.0,,49.44,,,,,,,,,
,,2006 - 2007,,,,,,,428.0,,56.59,,,,,,,,,
,,2007 - 2008,,,,,,,472.0,,54.07,,,,,,,,,
,,2008 - 2009,,,,,,,398.0,,50.72,,,,,,,,,
,,2009 - 2010,,,,,,,277.0,,53.26,,,,,,,,,
,,2010 - 2011,,,,,,,184.0,,55.37,,,,,,,,,
,,2011 - 2012,,,,,,,174.0,,55.91,,,,,,,,,
,,2012 - 2013,,,,,,,264.0,,61.33,,,,,,,,,
,,2013 - 2014,,,,,,,202.0,,62.71,,,,,,,,,
,,2014 - 2015,,,,,,,195.0,,65.91,,,,,,,,,
,,2015 - 2016,,,,,,,203.0,,65.98,,,,,,,,,
,,2016 - 2017,,,,,,,217.0,,71.35,,,,,,,,,
,,2017 - 2018,,,,,,,267.0,,78.09,,,,,,,,,
,,2018 - 2019,,,,,,,193.0,,82.16,,,,,,,,,
,,2019 - 2020,,,,,,,203.0,,82.43,,,,,,,,,
,Maharajganj,2000 - 2001,,,47.56,,,,,,,,,,,,,,,
,,2001 - 2002,,,58.14,,,,,,,,,,,,,,,
,,2002 - 2003,,,55.9,,,,,,,,,,,,,,,
,,2003 - 2004,,,48.55,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,56.9,,,,,,,,,
,,2005 - 2006,,,,,,,,,60.02,,,,,,,,,
,,2006 - 2007,,,,,,,,,50.35,,,,,,,,,
,,2007 - 2008,,,,,,,,,56.1,,,,,,,,,
,,2008 - 2009,,,,,,,,,52.21,,,,,,,,,
,,2009 - 2010,,,,,,,,,51.17,,,,,,,,,
,,2010 - 2011,,,,,,,,,56.88,,,,,,,,,
,,2011 - 2012,,,,,,,,,59.64,,,,,,,,,
,,2012 - 2013,,,,,,,,,60.73,,,,,,,,,
,,2013 - 2014,,,,,,,,,61.02,,,,,,,,,
,,2014 - 2015,,,,,,,,,59.76,,,,,,,,,
,,2015 - 2016,,,,,,,,,60.13,,,,,,,,,
,,2016 - 2017,,,,,,,,,64.2,,,,,,,,,
,,2017 - 2018,,,,,,,,,65.83,,,,,,,,,
,,2018 - 2019,,,,,,,,,67.8,,,,,,,,,
,,2019 - 2020,,,,,,,,,67.82,,,,,,,,,
,,2020 - 2021,,,,,,,,,65.73,,,,,,,,,
,,2021 - 2022,,,,,,,,,66.48,,,,,,,,,
,,2022 - 2023,,,,,,,,,69.54,,,,,,,,,
,Mahoba,2000 - 2001,,,43.15,,,,,,,,,,,,,,,
,,2001 - 2002,,,51.67,,,,,,,,,,,,,,,
,,2002 - 2003,,,50.55,,,,,,,,,,,,,,,
,,2003 - 2004,,,42.18,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,38.69,,,,,,,,,
,,2005 - 2006,,,,,,,,,31.47,,,,,,,,,
,,2006 - 2007,,,,,,,,,42.66,,,,,,,,,
,,2007 - 2008,,,,,,,,,26.42,,,,,,,,,
,,2008 - 2009,,,,,,,,,40.74,,,,,,,,,
,,2009 - 2010,,,,,,,,,40.09,,,,,,,,,
,,2010 - 2011,,,,,,,,,49.27,,,,,,,,,
,,2011 - 2012,,,,,,,,,48.11,,,,,,,,,
,,2012 - 2013,,,,,,,,,37.15,,,,,,,,,
,,2013 - 2014,,,,,,,,,44.67,,,,,,,,,
,,2014 - 2015,,,,,,,,,40.44,,,,,,,,,
,,2015 - 2016,,,,,,,,,36.69,,,,,,,,,
,,2016 - 2017,,,,,,,,,42.95,,,,,,,,,
,,2017 - 2018,,,,,,,,,38.33,,,,,,,,,
,,2018 - 2019,,,,,,,,,39.0,,,,,,,,,
,,2019 - 2020,,,,,,,,,39.77,,,,,,,,,
,Mainpuri,2000 - 2001,436.0,,51.63,,,,,,,,,,,,,,,
,,2001 - 2002,524.0,,52.42,,,,,,,,,,,,,,,
,,2002 - 2003,420.0,,54.41,,,,,,,,,,,,,,,
,,2003 - 2004,527.0,,51.72,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,361.0,,49.67,,,,,,,,,
,,2005 - 2006,,,,,,,527.0,,50.38,,,,,,,,,
,,2006 - 2007,,,,,,,361.0,,53.84,,,,,,,,,
,,2007 - 2008,,,,,,,453.0,,52.53,,,,,,,,,
,,2008 - 2009,,,,,,,423.0,,51.15,,,,,,,,,
,,2009 - 2010,,,,,,,369.0,,43.2,,,,,,,,,
,,2010 - 2011,,,,,,,430.0,,50.9,,,,,,,,,
,,2011 - 2012,,,,,,,529.0,,47.47,,,,,,,,,
,,2012 - 2013,,,,,,,555.0,,45.35,,,,,,,,,
,,2013 - 2014,,,,,,,547.0,,47.99,,,,,,,,,
,,2014 - 2015,,,,,,,338.0,,42.11,,,,,,,,,
,,2015 - 2016,,,,,,,355.0,,46.7,,,,,,,,,
,,2016 - 2017,,,,,,,463.0,,53.6,,,,,,,,,
,,2017 - 2018,,,,,,,441.0,,56.68,,,,,,,,,
,,2018 - 2019,,,,,,,452.0,,54.87,,,,,,,,,
,,2019 - 2020,,,,,,,477.0,,65.8,,,,,,,,,
,Mathura,2000 - 2001,,,47.57,,,,,,,,,,,,,,,
,,2001 - 2002,,,42.53,,,,,,,,,,,,,,,
,,2002 - 2003,,,53.98,,,,,,,,,,,,,,,
,,2003 - 2004,,,49.28,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,47.7,,,,,,,,,
,,2005 - 2006,,,,,,,,,45.58,,,,,,,,,
,,2006 - 2007,,,,,,,,,44.29,,,,,,,,,
,,2007 - 2008,,,,,,,,,48.46,,,,,,,,,
,,2008 - 2009,,,,,,,,,43.92,,,,,,,,,
,,2009 - 2010,,,,,,,,,43.2,,,,,,,,,
,,2010 - 2011,,,,,,,,,50.9,,,,,,,,,
,,2011 - 2012,,,,,,,,,47.48,,,,,,,,,
,,2012 - 2013,,,,,,,856.0,,45.35,,,,,,,,,
,,2013 - 2014,,,,,,,585.0,,47.99,,,,,,,,,
,,2014 - 2015,,,,,,,990.0,,42.11,,,,,,,,,
,,2015 - 2016,,,,,,,742.0,,46.7,,,,,,,,,
,,2016 - 2017,,,,,,,295.0,,53.6,,,,,,,,,
,,2017 - 2018,,,,,,,523.0,,56.68,,,,,,,,,
,,2018 - 2019,,,,,,,183.0,,54.86,,,,,,,,,
,,2019 - 2020,,,,,,,829.0,,65.8,,,,,,,,,
,,2020 - 2021,,,,,,,131.0,,61.07,,,,,,,,,
,,2021 - 2022,,,,,,,136.0,,58.82,,,,,,,,,
,,2022 - 2023,,,,,,,113.0,,61.95,,,,,,,,,
,Mau,2000 - 2001,,,47.0,,,,,,,,,,,,,,,
,,2001 - 2002,,,46.72,,,,,,,,,,,,,,,
,,2002 - 2003,,,43.28,,,,,,,,,,,,,,,
,,2003 - 2004,,,43.34,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,44.16,,,,,,,,,
,,2005 - 2006,,,,,,,,,46.44,,,,,,,,,
,,2006 - 2007,,,,,,,,,38.28,,,,,,,,,
,,2007 - 2008,,,,,,,,,40.9,,,,,,,,,
,,2008 - 2009,,,,,,,,,39.77,,,,,,,,,
,,2009 - 2010,,,,,,,,,41.91,,,,,,,,,
,,2010 - 2011,,,,,,,,,43.06,,,,,,,,,
,,2011 - 2012,,,,,,,,,44.59,,,,,,,,,
,,2012 - 2013,,,,,,,,,47.87,,,,,,,,,
,,2013 - 2014,,,,,,,,,51.22,,,,,,,,,
,,2014 - 2015,,,,,,,,,51.8,,,,,,,,,
,,2015 - 2016,,,,,,,,,52.81,,,,,,,,,
,,2016 - 2017,,,,,,,,,58.17,,,,,,,,,
,,2017 - 2018,,,,,,,,,60.6,,,,,,,,,
,,2018 - 2019,,,,,,,,,63.4,,,,,,,,,
,,2019 - 2020,,,,,,,,,64.1,,,,,,,,,
,,2020 - 2021,,,,,,,,,58.26,,,,,,,,,
,,2021 - 2022,,,,,,,,,61.88,,,,,,,,,
,,2022 - 2023,,,,,,,,,63.37,,,,,,,,,
,Meerut,2000 - 2001,,,61.78,,,,,,,,,,,,,,,
,,2001 - 2002,,,64.65,,,,,,,,,,,,,,,
,,2002 - 2003,,,62.43,,,,,,,,,,,,,,,
,,2003 - 2004,,,64.5,,,,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,68.02,,,,,,,,,
,,2005 - 2006,,,,,,,,,67.83,,,,,,,,,
,,2006 - 2007,,,,,,,,,69.3,,,,,,,,,
