state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2020 - 2021,,,,,,,169.0,,6.79,,,,,,
,,2021 - 2022,,,,,,,172.0,,6.78,,,,,,
,,2022 - 2023,,,,,,,176.0,,6.78,,,,,,
,Dibang valley,2000 - 2001,,,,,,,510.0,,5.64,,,,,,
,,2001 - 2002,,,,,,,520.0,,7.0,,,,,,
,,2002 - 2003,,,,,,,50.0,325.0,6.5,,,,,,
,,2003 - 2004,,,,,,,92.0,644.0,7.0,,,,,,
,,2004 - 2005,,,,,,,55.0,326.0,5.93,,,,,,
,,2005 - 2006,,,,,,,40.0,280.0,7.0,,,,,,
,,2006 - 2007,,,,,,,53.0,333.0,6.28,,,,,,
,,2007 - 2008,,,,,,,45.0,268.0,5.96,,,,,,
,,2008 - 2009,,,,,,,48.0,305.0,6.35,,,,,,
,,2009 - 2010,,,,,,,48.0,305.0,6.35,,,,,,
,,2010 - 2011,,,,,,,100.0,550.0,5.5,,,,,,
,,2011 - 2012,,,,,,,106.0,614.0,5.79,,,,,,
,,2012 - 2013,,,,,,,110.0,645.0,5.86,,,,,,
,,2013 - 2014,,,,,,,113.0,682.0,6.04,,,,,,
,,2014 - 2015,,,,,,,122.0,761.0,6.24,,,,,,
,,2015 - 2016,,,,,,,162.0,891.0,5.5,,,,,,
,,2016 - 2017,,,,,,,162.0,891.0,5.5,,,,,,
,,2017 - 2018,,,,,,,167.0,943.0,5.65,,,,,,
,,2018 - 2019,,,,,,,171.0,925.0,5.41,,,,,,
,,2019 - 2020,,,,,,,172.0,983.0,5.72,,,,,,
,,2020 - 2021,,,,,,,172.0,990.0,5.76,,,,,,
,,2021 - 2022,,,,,,,176.0,,5.76,,,,,,
,,2022 - 2023,,,,,,,179.0,,5.76,,,,,,
,East kameng,2000 - 2001,,,,,,,74.0,340.0,4.59,,,,,,
,,2001 - 2002,,,,,,,63.0,366.0,5.81,,,,,,
,,2002 - 2003,,,,,,,70.0,410.0,5.86,,,,,,
,,2003 - 2004,,,,,,,70.0,410.0,5.86,,,,,,
,,2005 - 2006,,,,,,,95.0,556.0,5.85,,,,,,
,,2006 - 2007,,,,,,,90.0,522.0,5.8,,,,,,
,,2007 - 2008,,,,,,,90.0,581.0,6.46,,,,,,
,,2008 - 2009,,,,,,,94.0,614.0,6.53,,,,,,
,,2009 - 2010,,,,,,,95.0,622.0,6.55,,,,,,
,,2010 - 2011,,,,,,,97.0,637.0,6.57,,,,,,
,,2011 - 2012,,,,,,,103.0,711.0,6.9,,,,,,
,,2012 - 2013,,,,,,,103.0,710.0,6.89,,,,,,
,,2013 - 2014,,,,,,,110.0,770.0,7.0,,,,,,
,,2014 - 2015,,,,,,,119.0,849.0,7.13,,,,,,
,,2015 - 2016,,,,,,,159.0,979.0,6.16,,,,,,
,,2016 - 2017,,,,,,,159.0,979.0,6.16,,,,,,
,,2017 - 2018,,,,,,,164.0,,6.29,,,,,,
,,2018 - 2019,,,,,,,168.0,,6.33,,,,,,
,,2019 - 2020,,,,,,,118.0,750.0,6.36,,,,,,
,,2020 - 2021,,,,,,,118.0,756.0,6.41,,,,,,
,,2021 - 2022,,,,,,,121.0,776.0,6.41,,,,,,
,,2022 - 2023,,,,,,,126.0,808.0,6.41,,,,,,
,East siang,2000 - 2001,,,,,,,500.0,,8.54,,,,,,
,,2001 - 2002,,,,,,,530.0,,8.3,,,,,,
,,2002 - 2003,,,,,,,570.0,,8.14,,,,,,
,,2003 - 2004,,,,,,,620.0,,8.21,,,,,,
,,2004 - 2005,,,,,,,520.0,,8.01,,,,,,
,,2005 - 2006,,,,,,,676.0,,7.15,,,,,,
,,2006 - 2007,,,,,,,676.0,,7.15,,,,,,
,,2007 - 2008,,,,,,,685.0,,7.15,,,,,,
,,2008 - 2009,,,,,,,707.0,,8.09,,,,,,
,,2009 - 2010,,,,,,,707.0,,8.09,,,,,,
,,2010 - 2011,,,,,,,742.0,,8.23,,,,,,
,,2011 - 2012,,,,,,,787.0,,8.66,,,,,,
,,2012 - 2013,,,,,,,875.0,,6.49,,,,,,
,,2013 - 2014,,,,,,,930.0,,6.42,,,,,,
,,2014 - 2015,,,,,,,944.0,,6.41,,,,,,
,,2015 - 2016,,,,,,,701.0,,6.37,,,,,,
,,2016 - 2017,,,,,,,701.0,,6.37,,,,,,
,,2017 - 2018,,,,,,,706.0,,6.42,,,,,,
,,2018 - 2019,,,,,,,484.0,,6.46,,,,,,
,,2019 - 2020,,,,,,,485.0,,6.47,,,,,,
,,2020 - 2021,,,,,,,485.0,,6.49,,,,,,
,,2021 - 2022,,,,,,,499.0,,6.89,,,,,,
,,2022 - 2023,,,,,,,509.0,,6.9,,,,,,
,Kamle,2018 - 2019,,,,,,,176.0,,8.14,,,,,,
,,2019 - 2020,,,,,,,177.0,,8.14,,,,,,
,,2020 - 2021,,,,,,,177.0,,8.18,,,,,,
,,2021 - 2022,,,,,,,180.0,,8.14,,,,,,
,,2022 - 2023,,,,,,,183.0,,8.14,,,,,,
,Kra daadi,2015 - 2016,,,,,,,100.0,350.0,3.5,,,,,,
,,2016 - 2017,,,,,,,100.0,150.0,1.5,,,,,,
,,2017 - 2018,,,,,,,105.0,202.0,1.92,,,,,,
,,2018 - 2019,,,,,,,109.0,234.0,2.15,,,,,,
,,2019 - 2020,,,,,,,110.0,242.0,2.2,,,,,,
,,2020 - 2021,,,,,,,110.0,247.0,2.25,,,,,,
,,2021 - 2022,,,,,,,113.0,254.0,2.25,,,,,,
,,2022 - 2023,,,,,,,117.0,263.0,2.25,,,,,,
,Kurung kumey,2002 - 2003,,,,,,,215.0,,7.16,,,,,,
,,2003 - 2004,,,,,,,230.0,,7.11,,,,,,
,,2004 - 2005,,,,,,,279.0,,9.98,,,,,,
,,2006 - 2007,,,,,,,292.0,,7.76,,,,,,
,,2007 - 2008,,,,,,,25.0,15.0,0.6,,,,,,
,,2008 - 2009,,,,,,,25.0,15.0,0.6,,,,,,
,,2009 - 2010,,,,,,,25.0,15.0,0.6,,,,,,
,,2010 - 2011,,,,,,,25.0,17.0,0.68,,,,,,
,,2011 - 2012,,,,,,,26.0,19.0,0.73,,,,,,
,,2012 - 2013,,,,,,,27.0,23.0,0.85,,,,,,
,,2013 - 2014,,,,,,,14.0,119.0,8.5,,,,,,
,,2014 - 2015,,,,,,,20.0,191.0,9.55,,,,,,
,,2015 - 2016,,,,,,,80.0,230.0,2.88,,,,,,
,,2016 - 2017,,,,,,,80.0,230.0,2.88,,,,,,
,,2017 - 2018,,,,,,,85.0,282.0,3.32,,,,,,
,,2018 - 2019,,,,,,,89.0,314.0,3.53,,,,,,
,,2019 - 2020,,,,,,,90.0,322.0,3.58,,,,,,
,,2020 - 2021,,,,,,,90.0,327.0,3.63,,,,,,
,,2021 - 2022,,,,,,,91.0,330.0,3.63,,,,,,
,,2022 - 2023,,,,,,,94.0,341.0,3.63,,,,,,
,Leparada,2019 - 2020,,,,,,,82.0,557.0,6.79,,,,,,
,,2020 - 2021,,,,,,,82.0,564.0,6.88,,,,,,
,,2021 - 2022,,,,,,,83.0,640.0,7.71,,,,,,
,,2022 - 2023,,,,,,,87.0,671.0,7.71,,,,,,
,Lohit,2000 - 2001,,,,,,,650.0,,9.6,,,,,,
,,2001 - 2002,,,,,,,620.0,,8.2,,,,,,
,,2002 - 2003,,,,,,,630.0,,8.2,,,,,,
,,2003 - 2004,,,,,,,580.0,,8.2,,,,,,
,,2004 - 2005,,,,,,,125.0,,8.0,,,,,,
,,2005 - 2006,,,,,,,795.0,,8.3,,,,,,
,,2006 - 2007,,,,,,,625.0,,9.15,,,,,,
,,2007 - 2008,,,,,,,620.0,,9.2,,,,,,
,,2008 - 2009,,,,,,,682.0,,9.23,,,,,,
,,2009 - 2010,,,,,,,705.0,,9.4,,,,,,
,,2010 - 2011,,,,,,,732.0,,9.4,,,,,,
,,2011 - 2012,,,,,,,778.0,,9.87,,,,,,
,,2012 - 2013,,,,,,,860.0,,9.0,,,,,,
,,2013 - 2014,,,,,,,863.0,,9.3,,,,,,
,,2014 - 2015,,,,,,,872.0,,9.29,,,,,,
,,2015 - 2016,,,,,,,389.0,,7.97,,,,,,
,,2016 - 2017,,,,,,,389.0,,7.97,,,,,,
,,2017 - 2018,,,,,,,394.0,,8.01,,,,,,
,,2018 - 2019,,,,,,,398.0,,8.01,,,,,,
,,2019 - 2020,,,,,,,399.0,,8.01,,,,,,
,,2020 - 2021,,,,,,,399.0,,8.02,,,,,,
,,2021 - 2022,,,,,,,409.0,,8.0,,,,,,
,,2022 - 2023,,,,,,,415.0,,8.0,,,,,,
,Longding,2013 - 2014,,,,,,,32.0,86.0,2.69,,,,,,
,,2015 - 2016,,,,,,,83.0,420.0,5.06,,,,,,
,,2016 - 2017,,,,,,,83.0,420.0,5.06,,,,,,
,,2017 - 2018,,,,,,,88.0,472.0,5.36,,,,,,
,,2018 - 2019,,,,,,,92.0,504.0,5.48,,,,,,
,,2019 - 2020,,,,,,,93.0,512.0,5.51,,,,,,
,,2020 - 2021,,,,,,,93.0,518.0,5.57,,,,,,
