state,district,year,potato_kharif_area_hectare,potato_kharif_production_tonne,potato_kharif_yield_tonne_per_hectare,potato_rabi_area_hectare,potato_rabi_production_tonne,potato_rabi_yield_tonne_per_hectare,potato_whole_year_area_hectare,potato_whole_year_production_tonne,potato_whole_year_yield_tonne_per_hectare,potato_winter_area_hectare,potato_winter_production_tonne,potato_winter_yield_tonne_per_hectare,potato_summer_area_hectare,potato_summer_production_tonne,potato_summer_yield_tonne_per_hectare
,,2003 - 2004,,,,,,,,,9.98,,,,,,
,,2004 - 2005,,,,,,,,,14.44,,,,,,
,,2005 - 2006,,,,,,,,,12.47,,,,,,
,,2006 - 2007,,,,,,,,,10.87,,,,,,
,,2007 - 2008,,,,,,,,,10.0,,,,,,
,,2008 - 2009,,,,,,,495.0,,9.29,,,,,,
,,2009 - 2010,,,,,,,542.0,,9.89,,,,,,
,,2010 - 2011,,,,,,,553.0,,7.63,,,,,,
,,2011 - 2012,,,,,,,545.0,,11.24,,,,,,
,,2012 - 2013,,,,,,,600.0,,9.66,,,,,,
,,2013 - 2014,,,,,,,606.0,,16.14,,,,,,
,,2015 - 2016,,,,,,,,,20.0,,,,,,
,,2016 - 2017,,,,,,,,,20.0,,,,,,
,,2017 - 2018,,,,,,,,,20.06,,,,,,
,,2018 - 2019,,,,,,,,,20.3,,,,,,
,,2019 - 2020,,,,,,,,,20.3,,,,,,
,Singrauli,2008 - 2009,,,,,,,,,9.29,,,,,,
,,2009 - 2010,,,,,,,,,12.37,,,,,,
,,2010 - 2011,,,,,,,,,9.31,,,,,,
,,2011 - 2012,,,,,,,,,10.04,,,,,,
,,2012 - 2013,,,,,,,,,15.34,,,,,,
,,2013 - 2014,,,,,,,,,10.21,,,,,,
,,2015 - 2016,,,,,,,,,26.0,,,,,,
,,2016 - 2017,,,,,,,,,26.0,,,,,,
,,2017 - 2018,,,,,,,,,26.09,,,,,,
,,2018 - 2019,,,,,,,,,26.25,,,,,,
,,2019 - 2020,,,,,,,,,26.5,,,,,,
,Tikamgarh,2001 - 2002,,,,,,,,,13.91,,,,,,
,,2002 - 2003,,,,,,,,,10.03,,,,,,
,,2003 - 2004,,,,,,,,,12.33,,,,,,
,,2004 - 2005,,,,,,,,,9.18,,,,,,
,,2005 - 2006,,,,,,,,,9.74,,,,,,
,,2006 - 2007,,,,,,,,,9.66,,,,,,
,,2007 - 2008,,,,,,,693.0,,7.24,,,,,,
,,2008 - 2009,,,,,,,,,8.26,,,,,,
,,2009 - 2010,,,,,,,,,8.01,,,,,,
,,2010 - 2011,,,,,,,,,3.48,,,,,,
,,2011 - 2012,,,,,,,,,6.39,,,,,,
,,2012 - 2013,,,,,,,,,7.07,,,,,,
,,2013 - 2014,,,,,,,,,7.99,,,,,,
,,2015 - 2016,,,,,,,,,14.0,,,,,,
,,2016 - 2017,,,,,,,,,14.5,,,,,,
,,2017 - 2018,,,,,,,937.0,,15.0,,,,,,
,,2018 - 2019,,,,,,,,,15.0,,,,,,
,,2019 - 2020,,,,,,,,,15.0,,,,,,
,Ujjain,2001 - 2002,,,,,,,,,10.63,,,,,,
,,2002 - 2003,,,,,,,,,9.5,,,,,,
,,2003 - 2004,,,,,,,,,17.33,,,,,,
,,2004 - 2005,,,,,,,,,19.09,,,,,,
,,2005 - 2006,,,,,,,,,15.52,,,,,,
,,2006 - 2007,,,,,,,,,17.18,,,,,,
,,2007 - 2008,,,,,,,,,10.26,,,,,,
,,2008 - 2009,,,,,,,,,10.48,,,,,,
,,2009 - 2010,,,,,,,,,12.58,,,,,,
,,2010 - 2011,,,,,,,,,8.37,,,,,,
,,2011 - 2012,,,,,,,,,13.18,,,,,,
,,2012 - 2013,,,,,,,,,12.75,,,,,,
,,2013 - 2014,,,,,,,,,12.78,,,,,,
,,2015 - 2016,,,,,,,,,19.25,,,,,,
,,2016 - 2017,,,,,,,,,19.25,,,,,,
,,2017 - 2018,,,,,,,,,19.9,,,,,,
,,2018 - 2019,,,,,,,,,20.0,,,,,,
,,2019 - 2020,,,,,,,,,20.14,,,,,,
,Umaria,2001 - 2002,,,,,,,254.0,,11.17,,,,,,
,,2002 - 2003,,,,,,,256.0,,8.72,,,,,,
,,2003 - 2004,,,,,,,290.0,,10.72,,,,,,
,,2004 - 2005,,,,,,,285.0,,11.97,,,,,,
,,2005 - 2006,,,,,,,276.0,,11.04,,,,,,
,,2006 - 2007,,,,,,,292.0,,10.59,,,,,,
,,2007 - 2008,,,,,,,316.0,,10.28,,,,,,
,,2008 - 2009,,,,,,,319.0,,9.18,,,,,,
,,2009 - 2010,,,,,,,329.0,,9.83,,,,,,
,,2010 - 2011,,,,,,,424.0,,5.79,,,,,,
,,2011 - 2012,,,,,,,446.0,,7.26,,,,,,
,,2012 - 2013,,,,,,,508.0,,8.04,,,,,,
,,2013 - 2014,,,,,,,538.0,,10.21,,,,,,
,,2015 - 2016,,,,,,,148.0,,15.7,,,,,,
,,2016 - 2017,,,,,,,310.0,,25.09,,,,,,
,,2017 - 2018,,,,,,,700.0,,25.09,,,,,,
,,2018 - 2019,,,,,,,450.0,,25.0,,,,,,
,,2019 - 2020,,,,,,,600.0,,25.0,,,,,,
,Vidisha,2001 - 2002,,,,,,,92.0,,12.52,,,,,,
,,2002 - 2003,,,,,,,156.0,,11.0,,,,,,
,,2003 - 2004,,,,,,,147.0,,12.4,,,,,,
,,2004 - 2005,,,,,,,119.0,,13.64,,,,,,
,,2005 - 2006,,,,,,,109.0,,12.3,,,,,,
,,2006 - 2007,,,,,,,165.0,,11.67,,,,,,
,,2007 - 2008,,,,,,,154.0,,10.79,,,,,,
,,2008 - 2009,,,,,,,213.0,,10.53,,,,,,
,,2009 - 2010,,,,,,,274.0,,10.41,,,,,,
,,2010 - 2011,,,,,,,113.0,999.0,8.84,,,,,,
,,2011 - 2012,,,,,,,325.0,,12.71,,,,,,
,,2012 - 2013,,,,,,,184.0,,11.03,,,,,,
,,2013 - 2014,,,,,,,243.0,,10.54,,,,,,
,,2015 - 2016,,,,,,,,,18.0,,,,,,
,,2016 - 2017,,,,,,,,,20.0,,,,,,
,,2017 - 2018,,,,,,,785.0,,20.0,,,,,,
,,2018 - 2019,,,,,,,784.0,,19.77,,,,,,
,,2019 - 2020,,,,,,,797.0,,22.72,,,,,,
Manipur,Bishnupur,2000 - 2001,,,,,,,390.0,,5.23,,,,,,
,,2002 - 2003,,,,,,,370.0,,5.24,,,,,,
,,2004 - 2005,,,,,,,190.0,990.0,5.21,,,,,,
,,2005 - 2006,,,,,,,260.0,,5.23,,,,,,
,,2006 - 2007,,,,,,,690.0,,5.23,,,,,,
,,2007 - 2008,,,,,,,620.0,,5.23,,,,,,
,,2008 - 2009,,,,,,,,,8.88,,,,,,
,,2009 - 2010,,,,,,,,,8.84,,,,,,
,,2010 - 2011,,,,,,,,,8.66,,,,,,
,,2011 - 2012,,,,,,,,,8.52,,,,,,
,,2012 - 2013,,,,,,,,,8.36,,,,,,
,,2013 - 2014,,,,,,,,,8.42,,,,,,
,,2014 - 2015,,,,,,,,,8.42,,,,,,
,,2015 - 2016,,,,,,,,,8.36,,,,,,
,,2016 - 2017,,,,,,,,,8.2,,,,,,
,,2017 - 2018,,,,,,,,,8.36,,,,,,
,,2018 - 2019,,,,,,,,,7.54,,,,,,
,,2021 - 2022,,,,,,,,,8.3,,,,,,
,,2022 - 2023,,,,,,,,,8.4,,,,,,
,Chandel,2000 - 2001,,,,,,,140.0,730.0,5.21,,,,,,
,,2002 - 2003,,,,,,,40.0,210.0,5.25,,,,,,
,,2004 - 2005,,,,,,,20.0,100.0,5.0,,,,,,
,,2005 - 2006,,,,,,,50.0,260.0,5.2,,,,,,
,,2006 - 2007,,,,,,,10.0,50.0,5.0,,,,,,
,,2007 - 2008,,,,,,,20.0,100.0,5.0,,,,,,
,,2008 - 2009,,,,,,,,,7.92,,,,,,
,,2009 - 2010,,,,,,,,,7.85,,,,,,
,,2010 - 2011,,,,,,,,,8.19,,,,,,
,,2011 - 2012,,,,,,,,,8.57,,,,,,
,,2012 - 2013,,,,,,,,,8.86,,,,,,
,,2013 - 2014,,,,,,,,,8.58,,,,,,
,,2014 - 2015,,,,,,,,,8.58,,,,,,
,,2015 - 2016,,,,,,,,,8.86,,,,,,
,,2016 - 2017,,,,,,,,,8.87,,,,,,
,,2017 - 2018,,,,,,,,,8.86,,,,,,
,,2018 - 2019,,,,,,,,,8.77,,,,,,
,,2021 - 2022,,,,,,,,,8.68,,,,,,
,,2022 - 2023,,,,,,,,,7.27,,,,,,
,Churachandpur,2000 - 2001,,,,,,,60.0,310.0,5.17,,,,,,
,,2007 - 2008,,,,,,,70.0,370.0,5.29,,,,,,
,,2008 - 2009,,,,,,,,,8.8,,,,,,
,,2009 - 2010,,,,,,,,,8.91,,,,,,
,,2010 - 2011,,,,,,,,,8.5,,,,,,
,,2011 - 2012,,,,,,,,,8.25,,,,,,
,,2012 - 2013,,,,,,,,,8.33,,,,,,
,,2013 - 2014,,,,,,,,,8.35,,,,,,
,,2014 - 2015,,,,,,,,,8.35,,,,,,
,,2015 - 2016,,,,,,,,,8.33,,,,,,
,,2016 - 2017,,,,,,,,,8.33,,,,,,
,,2017 - 2018,,,,,,,,,8.33,,,,,,
,,2018 - 2019,,,,,,,,,8.2,,,,,,
,,2021 - 2022,,,,,,,,,8.2,,,,,,
,,2022 - 2023,,,,,,,,,8.09,,,,,,
,Imphal east,2000 - 2001,,,,,,,260.0,,5.23,,,,,,
,,2002 - 2003,,,,,,,270.0,,5.22,,,,,,
,,2004 - 2005,,,,,,,160.0,840.0,5.25,,,,,,
,,2005 - 2006,,,,,,,250.0,,5.24,,,,,,
,,2006 - 2007,,,,,,,920.0,,5.23,,,,,,
,,2007 - 2008,,,,,,,120.0,630.0,5.25,,,,,,
,,2008 - 2009,,,,,,,790.0,,5.7,,,,,,
,,2009 - 2010,,,,,,,910.0,,7.51,,,,,,
,,2010 - 2011,,,,,,,930.0,,8.1,,,,,,
,,2011 - 2012,,,,,,,,,8.85,,,,,,
,,2012 - 2013,,,,,,,,,8.41,,,,,,
,,2013 - 2014,,,,,,,,,8.47,,,,,,
,,2014 - 2015,,,,,,,,,8.47,,,,,,
,,2015 - 2016,,,,,,,,,8.41,,,,,,
,,2016 - 2017,,,,,,,,,7.71,,,,,,
,,2017 - 2018,,,,,,,,,8.41,,,,,,
,,2018 - 2019,,,,,,,,,8.35,,,,,,
,,2021 - 2022,,,,,,,,,8.28,,,,,,
,,2022 - 2023,,,,,,,,,8.8,,,,,,
,Imphal west,2000 - 2001,,,,,,,90.0,470.0,5.22,,,,,,
,,2002 - 2003,,,,,,,370.0,,5.24,,,,,,
,,2004 - 2005,,,,,,,340.0,,5.24,,,,,,
,,2005 - 2006,,,,,,,510.0,,5.24,,,,,,
,,2006 - 2007,,,,,,,20.0,110.0,5.5,,,,,,
,,2007 - 2008,,,,,,,250.0,,5.24,,,,,,
,,2008 - 2009,,,,,,,890.0,,7.98,,,,,,
,,2009 - 2010,,,,,,,920.0,,8.46,,,,,,
,,2010 - 2011,,,,,,,,,8.41,,,,,,
,,2011 - 2012,,,,,,,,,8.9,,,,,,
,,2012 - 2013,,,,,,,,,8.67,,,,,,
,,2013 - 2014,,,,,,,,,8.59,,,,,,
,,2014 - 2015,,,,,,,,,8.59,,,,,,
,,2015 - 2016,,,,,,,,,8.67,,,,,,
,,2016 - 2017,,,,,,,,,8.67,,,,,,
,,2017 - 2018,,,,,,,,,8.67,,,,,,
,,2018 - 2019,,,,,,,,,8.35,,,,,,
,,2021 - 2022,,,,,,,,,8.4,,,,,,
,,2022 - 2023,,,,,,,,,8.67,,,,,,
,Senapati,2000 - 2001,,,,,,,360.0,,5.25,,,,,,
,,2002 - 2003,,,,,,,,,5.23,,,,,,
,,2004 - 2005,,,,,,,,,5.23,,,,,,
,,2005 - 2006,,,,,,,,,5.23,,,,,,
,,2006 - 2007,,,,,,,470.0,,5.23,,,,850.0,,5.22
,,2007 - 2008,,,,,,,560.0,,5.23,,,,,,
,,2008 - 2009,,,,,,,,,10.2,,,,,,
,,2009 - 2010,,,,,,,,,9.01,,,,,,
,,2010 - 2011,,,,,,,,,8.41,,,,,,
,,2011 - 2012,,,,,,,,,8.1,,,,,,
,,2012 - 2013,,,,,,,,,8.77,,,,,,
,,2013 - 2014,,,,,,,,,8.76,,,,,,
,,2014 - 2015,,,,,,,,,8.76,,,,,,
,,2015 - 2016,,,,,,,,,8.68,,,,,,
,,2016 - 2017,,,,,,,,,8.68,,,,,,
,,2017 - 2018,,,,,,,,,8.68,,,,,,
,,2018 - 2019,,,,,,,,,8.48,,,,,,
,,2021 - 2022,,,,,,,,,8.43,,,,,,
,,2022 - 2023,,,,,,,,,8.43,,,,,,
,Tamenglong,2000 - 2001,,,,,,,20.0,100.0,5.0,,,,,,
,,2002 - 2003,,,,,,,10.0,50.0,5.0,,,,,,
,,2004 - 2005,,,,,,,40.0,210.0,5.25,,,,,,
,,2005 - 2006,,,,,,,10.0,50.0,5.0,,,,,,
,,2006 - 2007,,,,,,,50.0,260.0,5.2,,,,,,
,,2007 - 2008,,,,,,,40.0,210.0,5.25,,,,,,
,,2008 - 2009,,,,,,,,,7.74,,,,,,
,,2009 - 2010,,,,,,,,,7.7,,,,,,
,,2010 - 2011,,,,,,,,,7.91,,,,,,
,,2011 - 2012,,,,,,,,,8.23,,,,,,
,,2012 - 2013,,,,,,,,,8.22,,,,,,
,,2013 - 2014,,,,,,,,,8.32,,,,,,
,,2014 - 2015,,,,,,,,,8.32,,,,,,
,,2015 - 2016,,,,,,,,,8.2,,,,,,
,,2016 - 2017,,,,,,,,,8.14,,,,,,
,,2017 - 2018,,,,,,,,,8.2,,,,,,
,,2018 - 2019,,,,,,,,,8.2,,,,,,
,,2021 - 2022,,,,,,,,,8.1,,,,,,
,,2022 - 2023,,,,,,,,,8.14,,,,,,
,Thoubal,2000 - 2001,,,,,,,,,5.24,,,,,,
,,2002 - 2003,,,,,,,,,5.22,,,,,,
,,2004 - 2005,,,,,,,980.0,,5.23,,,,,,
,,2005 - 2006,,,,,,,930.0,,5.23,,,,,,
,,2006 - 2007,,,,,,,400.0,,5.23,,,,,,
,,2007 - 2008,,,,,,,10.0,50.0,5.0,,,,,,
,,2008 - 2009,,,,,,,,,8.72,,,,,,
,,2009 - 2010,,,,,,,,,8.74,,,,,,
,,2010 - 2011,,,,,,,,,8.85,,,,,,
,,2011 - 2012,,,,,,,,,8.64,,,,,,
,,2012 - 2013,,,,,,,,,8.52,,,,,,
,,2013 - 2014,,,,,,,,,8.59,,,,,,
,,2014 - 2015,,,,,,,,,8.59,,,,,,
,,2015 - 2016,,,,,,,,,8.52,,,,,,
,,2016 - 2017,,,,,,,,,8.4,,,,,,
,,2017 - 2018,,,,,,,,,8.52,,,,,,
,,2018 - 2019,,,,,,,,,8.35,,,,,,
,,2021 - 2022,,,,,,,,,8.41,,,,,,
,,2022 - 2023,,,,,,,,,8.53,,,,,,
,Ukhrul,2000 - 2001,,,,,,,170.0,890.0,5.24,,,,,,
,,2002 - 2003,,,,,,,,,5.23,,,,,,
,,2004 - 2005,,,,,,,30.0,160.0,5.33,,,,,,
,,2005 - 2006,,,,,,,260.0,,5.23,,,,,,
,,2006 - 2007,,,,,,,310.0,,5.23,,,,,,
,,2007 - 2008,,,,,,,260.0,,5.23,,,,,,
,,2008 - 2009,,,,,,,970.0,,7.55,,,,,,
,,2009 - 2010,,,,,,,,,7.56,,,,,,
,,2010 - 2011,,,,,,,970.0,,7.55,,,,,,
,,2011 - 2012,,,,,,,,,8.25,,,,,,
,,2012 - 2013,,,,,,,,,8.17,,,,,,
,,2013 - 2014,,,,,,,,,8.24,,,,,,
,,2014 - 2015,,,,,,,,,8.24,,,,,,
,,2015 - 2016,,,,,,,,,8.37,,,,,,
,,2016 - 2017,,,,,,,,,7.7,,,,,,
,,2017 - 2018,,,,,,,,,8.37,,,,,,
,,2018 - 2019,,,,,,,,,8.31,,,,,,
,,2021 - 2022,,,,,,,,,7.41,,,,,,
,,2022 - 2023,,,,,,,,,7.41,,,,,,
Meghalaya,East garo hills,2000 - 2001,,,,,,,116.0,901.0,7.77,,,,,,
,,2001 - 2002,,,,,,,120.0,932.0,7.77,,,,,,
,,2002 - 2003,,,,,,,118.0,917.0,7.77,,,,,,
,,2003 - 2004,,,,,,,121.0,939.0,7.76,,,,,,
,,2004 - 2005,,,,,,,121.0,938.0,7.75,,,,,,
,,2005 - 2006,,,,,,,128.0,993.0,7.76,,,,,,
,,2006 - 2007,,,,144.0,961.0,6.67,,,,,,,,,
,,2008 - 2009,,,,,,,138.0,,7.75,,,,,,
,,2009 - 2010,,,,,,,131.0,,7.75,,,,,,
,,2010 - 2011,,,,,,,130.0,,7.75,,,,,,
,,2011 - 2012,,,,,,,132.0,,7.77,,,,,,
,,2012 - 2013,,,,,,,135.0,,7.92,,,,,,
,,2013 - 2014,,,,,,,80.0,646.0,8.08,,,,,,
,,2014 - 2015,,,,,,,,,,73.0,590.0,8.08,4.0,28.0,7.0
,,2015 - 2016,,,,,,,,,,74.0,596.0,8.05,5.0,35.0,7.0
,,2016 - 2017,,,,,,,,,,75.0,601.0,8.01,6.0,42.0,7.0
,,2017 - 2018,,,,,,,,,,76.0,609.0,8.01,7.0,49.0,7.0
,,2018 - 2019,,,,,,,,,,77.0,617.0,8.01,8.0,56.0,7.0
,,2019 - 2020,,,,,,,,,,78.0,625.0,8.01,9.0,63.0,7.0
,,2020 - 2021,,,,,,,,,,78.0,625.0,8.01,8.0,56.0,7.0
,,2021 - 2022,,,,,,,,,,77.0,617.0,8.01,,,
,,2022 - 2023,,,,,,,,,,7.0,48.0,6.86,,,
,East jaintia hills,2000 - 2001,,,,,,,319.0,,5.72,,,,,,
,,2001 - 2002,,,,,,,277.0,,5.79,,,,,,
,,2002 - 2003,,,,,,,284.0,,7.35,,,,,,
,,2003 - 2004,,,,,,,285.0,,5.55,,,,,,
,,2004 - 2005,,,,,,,288.0,,5.56,,,,,,
,,2005 - 2006,,,,,,,282.0,,7.41,,,,,,
,,2006 - 2007,,,,285.0,,8.55,,,,,,,,,
,,2008 - 2009,,,,,,,209.0,,4.79,,,,,,
,,2009 - 2010,,,,,,,200.0,912.0,4.56,,,,,,
,,2010 - 2011,,,,,,,187.0,898.0,4.8,,,,,,
,,2011 - 2012,,,,,,,203.0,985.0,4.85,,,,,,
,,2012 - 2013,,,,,,,207.0,,4.97,,,,,,
,,2013 - 2014,,,,,,,38.0,215.0,5.66,,,,,,
,,2014 - 2015,,,,,,,,,,13.0,52.0,4.0,30.0,194.0,6.47
,,2015 - 2016,,,,,,,,,,14.0,56.0,4.0,35.0,226.0,6.46
,,2016 - 2017,,,,,,,,,,15.0,57.0,3.8,39.0,257.0,6.59
,,2017 - 2018,,,,,,,,,,16.0,61.0,3.81,39.0,257.0,6.59
,,2018 - 2019,,,,,,,,,,16.0,61.0,3.81,40.0,264.0,6.6
,,2019 - 2020,,,,,,,,,,16.0,61.0,3.81,41.0,271.0,6.61
,,2020 - 2021,,,,,,,,,,16.0,61.0,3.81,41.0,271.0,6.61
,,2021 - 2022,,,,,,,,,,16.0,61.0,3.81,,,
,,2022 - 2023,,,,,,,,,,48.0,317.0,6.6,,,
,East khasi hills,2000 - 2001,,,,,,,,,8.72,,,,,,
,,2001 - 2002,,,,,,,,,8.98,,,,,,
,,2002 - 2003,,,,,,,,,10.6,,,,,,
,,2003 - 2004,,,,,,,,,9.09,,,,,,
,,2004 - 2005,,,,,,,,,8.99,,,,,,
,,2005 - 2006,,,,,,,,,9.9,,,,,,
,,2006 - 2007,,,,,,9.92,,,,,,,,,
,,2008 - 2009,,,,,,,,,9.69,,,,,,
,,2009 - 2010,,,,,,,,,9.79,,,,,,
,,2010 - 2011,,,,,,,,,9.82,,,,,,
,,2011 - 2012,,,,,,,,,9.84,,,,,,
,,2012 - 2013,,,,,,,,,10.04,,,,,,
,,2013 - 2014,,,,,,,,,10.37,,,,,,
,,2014 - 2015,,,,,,,,,,,,7.26,,,11.71
,,2015 - 2016,,,,,,,,,,,,7.31,,,11.73
,,2016 - 2017,,,,,,,,,,,,7.06,,,11.95
,,2017 - 2018,,,,,,,,,,,,7.07,,,11.95
,,2018 - 2019,,,,,,,,,,,,7.07,,,11.95
,,2019 - 2020,,,,,,,,,,,,7.07,,,11.95
,,2020 - 2021,,,,,,,,,,,,7.07,,,11.95
,,2021 - 2022,,,,,,,,,,,,7.07,,,
,,2022 - 2023,,,,,,,,,,,,11.96,,,
,North garo hills,2013 - 2014,,,,,,,58.0,476.0,8.21,,,,,,
,,2014 - 2015,,,,,,,,,,52.0,430.0,8.27,3.0,19.0,6.33
,,2015 - 2016,,,,,,,,,,53.0,447.0,8.43,4.0,27.0,6.75
,,2016 - 2017,,,,,,,,,,55.0,451.0,8.2,5.0,35.0,7.0
,,2017 - 2018,,,,,,,,,,55.0,451.0,8.2,5.0,35.0,7.0
,,2018 - 2019,,,,,,,,,,55.0,451.0,8.2,6.0,42.0,7.0
,,2019 - 2020,,,,,,,,,,55.0,451.0,8.2,7.0,49.0,7.0
,,2020 - 2021,,,,,,,,,,55.0,451.0,8.2,6.0,42.0,7.0
,,2021 - 2022,,,,,,,,,,55.0,451.0,8.2,,,
,,2022 - 2023,,,,,,,,,,5.0,35.0,7.0,,,
,Ri bhoi,2000 - 2001,,,,,,,17.0,75.0,4.41,,,,,,
,,2001 - 2002,,,,,,,17.0,75.0,4.41,,,,,,
,,2002 - 2003,,,,,,,26.0,156.0,6.0,,,,,,
,,2003 - 2004,,,,,,,25.0,148.0,5.92,,,,,,
,,2004 - 2005,,,,,,,26.0,154.0,5.92,,,,,,
,,2005 - 2006,,,,,,,27.0,154.0,5.7,,,,,,
,,2006 - 2007,,,,30.0,167.0,5.57,,,,,,,,,
,,2008 - 2009,,,,,,,25.0,154.0,6.16,,,,,,
,,2009 - 2010,,,,,,,28.0,162.0,5.79,,,,,,
,,2010 - 2011,,,,,,,26.0,149.0,5.73,,,,,,
,,2011 - 2012,,,,,,,28.0,168.0,6.0,,,,,,
,,2012 - 2013,,,,,,,29.0,175.0,6.03,,,,,,
,,2013 - 2014,,,,,,,30.0,182.0,6.07,,,,,,
,,2014 - 2015,,,,,,,,,,6.0,18.0,3.0,22.0,152.0,6.91
,,2015 - 2016,,,,,,,,,,8.0,29.0,3.63,26.0,180.0,6.92
,,2016 - 2017,,,,,,,,,,9.0,30.0,3.33,29.0,208.0,7.17
,,2017 - 2018,,,,,,,,,,9.0,30.0,3.33,29.0,208.0,7.17
,,2018 - 2019,,,,,,,,,,9.0,30.0,3.33,29.0,208.0,7.17
,,2019 - 2020,,,,,,,,,,9.0,30.0,3.33,29.0,208.0,7.17
,,2020 - 2021,,,,,,,,,,9.0,30.0,3.33,29.0,208.0,7.17
,,2021 - 2022,,,,,,,,,,9.0,30.0,3.33,,,
,,2022 - 2023,,,,,,,,,,28.0,199.0,7.11,,,
,South garo hills,2000 - 2001,,,,,,,32.0,250.0,7.81,,,,,,
,,2001 - 2002,,,,,,,52.0,407.0,7.83,,,,,,
,,2002 - 2003,,,,,,,49.0,382.0,7.8,,,,,,
,,2003 - 2004,,,,,,,52.0,410.0,7.88,,,,,,
,,2004 - 2005,,,,,,,49.0,367.0,7.49,,,,,,
,,2005 - 2006,,,,,,,48.0,365.0,7.6,,,,,,
,,2006 - 2007,,,,51.0,382.0,7.49,,,,,,,,,
,,2008 - 2009,,,,,,,56.0,419.0,7.48,,,,,,
,,2009 - 2010,,,,,,,58.0,434.0,7.48,,,,,,
,,2010 - 2011,,,,,,,60.0,426.0,7.1,,,,,,
,,2011 - 2012,,,,,,,63.0,449.0,7.13,,,,,,
,,2012 - 2013,,,,,,,64.0,464.0,7.25,,,,,,
,,2013 - 2014,,,,,,,65.0,482.0,7.42,,,,,,
,,2014 - 2015,,,,,,,,,,61.0,453.0,7.43,3.0,21.0,7.0
,,2015 - 2016,,,,,,,,,,62.0,467.0,7.53,4.0,27.0,6.75
,,2016 - 2017,,,,,,,,,,65.0,472.0,7.26,5.0,34.0,6.8
,,2017 - 2018,,,,,,,,,,67.0,487.0,7.27,5.0,34.0,6.8
,,2018 - 2019,,,,,,,,,,67.0,487.0,7.27,5.0,34.0,6.8
,,2019 - 2020,,,,,,,,,,67.0,487.0,7.27,5.0,34.0,6.8
,,2020 - 2021,,,,,,,,,,66.0,479.0,7.26,4.0,27.0,6.75
,,2021 - 2022,,,,,,,,,,65.0,471.0,7.25,,,
,,2022 - 2023,,,,,,,,,,3.0,20.0,6.67,,,
,South west garo hills,2013 - 2014,,,,,,,225.0,,9.1,,,,,,
,,2014 - 2015,,,,,,,,,,216.0,,9.19,11.0,95.0,8.64
,,2015 - 2016,,,,,,,,,,217.0,,9.2,11.0,98.0,8.91
,,2016 - 2017,,,,,,,,,,217.0,,9.26,12.0,105.0,8.75
,,2017 - 2018,,,,,,,,,,218.0,,9.26,12.0,105.0,8.75
,,2018 - 2019,,,,,,,,,,219.0,,9.26,12.0,105.0,8.75
,,2019 - 2020,,,,,,,,,,220.0,,9.27,12.0,105.0,8.75
,,2020 - 2021,,,,,,,,,,220.0,,9.27,12.0,105.0,8.75
,,2021 - 2022,,,,,,,,,,219.0,,9.26,,,
,,2022 - 2023,,,,,,,,,,11.0,96.0,8.73,,,
,South west khasi hills,2013 - 2014,,,,,,,,,12.76,,,,,,
,,2014 - 2015,,,,,,,,,,601.0,,8.99,,,14.49
,,2015 - 2016,,,,,,,,,,605.0,,9.08,,,14.52
,,2016 - 2017,,,,,,,,,,634.0,,8.79,,,14.55
,,2017 - 2018,,,,,,,,,,636.0,,8.79,,,14.56
,,2018 - 2019,,,,,,,,,,637.0,,8.79,,,14.56
,,2019 - 2020,,,,,,,,,,638.0,,8.79,,,14.56
,,2020 - 2021,,,,,,,,,,638.0,,8.79,,,14.56
,,2021 - 2022,,,,,,,,,,637.0,,8.79,,,
,,2022 - 2023,,,,,,,,,,,,14.56,,,
,West garo hills,2000 - 2001,,,,,,,414.0,,7.63,,,,,,
,,2001 - 2002,,,,,,,422.0,,7.6,,,,,,
,,2002 - 2003,,,,,,,423.0,,7.63,,,,,,
,,2003 - 2004,,,,,,,437.0,,7.62,,,,,,
,,2004 - 2005,,,,,,,441.0,,7.66,,,,,,
,,2005 - 2006,,,,,,,452.0,,7.67,,,,,,
,,2006 - 2007,,,,450.0,,7.63,,,,,,,,,
,,2008 - 2009,,,,,,,532.0,,7.79,,,,,,
,,2009 - 2010,,,,,,,535.0,,7.58,,,,,,
,,2010 - 2011,,,,,,,538.0,,7.77,,,,,,
,,2011 - 2012,,,,,,,543.0,,7.82,,,,,,
,,2012 - 2013,,,,,,,555.0,,7.98,,,,,,
,,2013 - 2014,,,,,,,339.0,,7.71,,,,,,
,,2014 - 2015,,,,,,,,,,326.0,,7.86,17.0,125.0,7.35
,,2015 - 2016,,,,,,,,,,327.0,,7.87,19.0,134.0,7.05
,,2016 - 2017,,,,,,,,,,342.0,,7.6,22.0,154.0,7.0
,,2017 - 2018,,,,,,,,,,343.0,,7.6,22.0,154.0,7.0
,,2018 - 2019,,,,,,,,,,344.0,,7.6,24.0,168.0,7.0
,,2019 - 2020,,,,,,,,,,345.0,,7.6,25.0,175.0,7.0
,,2020 - 2021,,,,,,,,,,345.0,,7.6,24.0,168.0,7.0
,,2021 - 2022,,,,,,,,,,344.0,,7.6,,,
,,2022 - 2023,,,,,,,,,,23.0,161.0,7.0,,,
,West jaintia hills,2013 - 2014,,,,,,,172.0,858.0,4.99,,,,,,
,,2014 - 2015,,,,,,,,,,54.0,183.0,3.39,125.0,688.0,5.5
,,2015 - 2016,,,,,,,,,,56.0,196.0,3.5,130.0,726.0,5.58
