state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,Charaideo,2020 - 2021,54.0,80.0,1.48,,,,,,,,,,,,
,Chirang,2005 - 2006,431.0,275.0,0.64,,,,,,,,,,,,
,,2006 - 2007,501.0,319.0,0.64,,,,,,,,,,,,
,,2007 - 2008,460.0,293.0,0.64,,,,,,,,,,,,
,,2008 - 2009,514.0,327.0,0.64,,,,,,,,,,,,
,,2009 - 2010,492.0,313.0,0.64,,,,,,,,,,,,
,,2010 - 2011,540.0,344.0,0.64,,,,,,,,,,,,
,,2011 - 2012,515.0,411.0,0.8,,,,,,,,,,,,
,,2012 - 2013,412.0,356.0,0.86,,,,,,,,,,,,
,,2013 - 2014,424.0,367.0,0.87,,,,,,,,,,,,
,,2014 - 2015,454.0,398.0,0.88,,,,,,,,,,,,
,,2015 - 2016,490.0,434.0,0.89,,,,,,,,,,,,
,,2016 - 2017,555.0,494.0,0.89,,,,,,,,,,,,
,,2017 - 2018,566.0,557.0,0.98,,,,,,,,,,,,
,,2018 - 2019,537.0,540.0,1.01,,,,,,,,,,,,
,,2019 - 2020,571.0,583.0,1.02,,,,,,,,,,,,
,,2020 - 2021,576.0,588.0,1.02,,,,,,,,,,,,
,Darrang,2000 - 2001,,,0.72,,,,,,,,,,,,
,,2001 - 2002,,,0.7,,,,,,,,,,,,
,,2002 - 2003,,,0.7,,,,,,,,,,,,
,,2003 - 2004,,,0.7,,,,,,,,,,,,
,,2004 - 2005,,695.0,0.66,,,,,,,,,,,,
,,2005 - 2006,610.0,454.0,0.74,,,,,,,,,,,,
,,2006 - 2007,699.0,521.0,0.75,,,,,,,,,,,,
,,2007 - 2008,801.0,597.0,0.75,,,,,,,,,,,,
,,2008 - 2009,651.0,484.0,0.74,,,,,,,,,,,,
,,2009 - 2010,587.0,437.0,0.74,,,,,,,,,,,,
,,2010 - 2011,680.0,507.0,0.75,,,,,,,,,,,,
,,2011 - 2012,868.0,672.0,0.77,,,,,,,,,,,,
,,2012 - 2013,911.0,770.0,0.85,,,,,,,,,,,,
,,2013 - 2014,923.0,780.0,0.85,,,,,,,,,,,,
,,2014 - 2015,902.0,776.0,0.86,,,,,,,,,,,,
,,2015 - 2016,903.0,781.0,0.86,,,,,,,,,,,,
,,2016 - 2017,905.0,796.0,0.88,,,,,,,,,,,,
,,2017 - 2018,903.0,831.0,0.92,,,,,,,,,,,,
,,2018 - 2019,870.0,812.0,0.93,,,,,,,,,,,,
,,2019 - 2020,887.0,836.0,0.94,,,,,,,,,,,,
,,2020 - 2021,895.0,844.0,0.94,,,,,,,,,,,,
,Dhemaji,2000 - 2001,293.0,225.0,0.77,,,,,,,,,,,,
,,2001 - 2002,299.0,231.0,0.77,,,,,,,,,,,,
,,2002 - 2003,302.0,232.0,0.77,,,,,,,,,,,,
,,2003 - 2004,305.0,236.0,0.77,,,,,,,,,,,,
,,2004 - 2005,201.0,153.0,0.76,,,,,,,,,,,,
,,2005 - 2006,187.0,142.0,0.76,,,,,,,,,,,,
,,2006 - 2007,185.0,140.0,0.76,,,,,,,,,,,,
,,2007 - 2008,192.0,146.0,0.76,,,,,,,,,,,,
,,2008 - 2009,213.0,160.0,0.75,,,,,,,,,,,,
