state,district,year,dry_chillies_whole_year_area_hectare,dry_chillies_whole_year_production_tonne,dry_chillies_whole_year_yield_tonne_per_hectare,dry_chillies_rabi_area_hectare,dry_chillies_rabi_production_tonne,dry_chillies_rabi_yield_tonne_per_hectare,dry_chillies_kharif_area_hectare,dry_chillies_kharif_production_tonne,dry_chillies_kharif_yield_tonne_per_hectare,dry_chillies_summer_area_hectare,dry_chillies_summer_production_tonne,dry_chillies_summer_yield_tonne_per_hectare,dry_chillies_autumn_area_hectare,dry_chillies_autumn_production_tonne,dry_chillies_autumn_yield_tonne_per_hectare
,,2018 - 2019,395.0,466.0,1.18,,,,,,,,,,,,
,,2019 - 2020,342.0,217.0,0.63,,,,,,,,,,,,
,,2020 - 2021,132.0,61.0,0.46,,,,,,,,,,,,
,,2021 - 2022,168.0,84.0,0.5,,,,,,,,,,,,
,,2022 - 2023,120.0,58.0,0.48,,,,,,,,,,,,
,Tirupathur,2020 - 2021,687.0,442.0,0.64,,,,,,,,,,,,
,,2021 - 2022,737.0,366.0,0.5,,,,,,,,,,,,
,,2022 - 2023,868.0,264.0,0.3,,,,,,,,,,,,
,Tiruppur,2008 - 2009,,,0.0,,,,,,,,,,,,
,,2009 - 2010,,545.0,0.53,,,,,,,,,,,,
,,2011 - 2012,,609.0,0.59,,,,,,,,,,,,
,,2013 - 2014,612.0,167.0,0.27,,,,,,,,,,,,
,,2014 - 2015,744.0,492.0,0.66,,,,,,,,,,,,
,,2015 - 2016,637.0,326.0,0.51,,,,,,,,,,,,
,,2016 - 2017,559.0,,4.07,,,,,,,,,,,,
,,2017 - 2018,344.0,141.0,0.41,,,,,,,,,,,,
,,2018 - 2019,573.0,80.0,0.14,,,,,,,,,,,,
,,2019 - 2020,701.0,714.0,1.02,,,,,,,,,,,,
,,2020 - 2021,835.0,173.0,0.21,,,,,,,,,,,,
,,2021 - 2022,804.0,552.0,0.69,,,,,,,,,,,,
,,2022 - 2023,920.0,917.0,1.0,,,,,,,,,,,,
,Tiruvannamalai,2000 - 2001,542.0,436.0,0.8,,,,,,,,,,,,
,,2002 - 2003,464.0,279.0,0.6,,,,,,,,,,,,
,,2003 - 2004,688.0,451.0,0.66,,,,,,,,,,,,
,,2004 - 2005,703.0,871.0,1.24,,,,,,,,,,,,
,,2005 - 2006,322.0,344.0,1.07,,,,,,,,,,,,
,,2006 - 2007,367.0,387.0,1.05,,,,,,,,,,,,
,,2007 - 2008,348.0,176.0,0.51,,,,,,,,,,,,
,,2008 - 2009,342.0,312.0,0.91,,,,,,,,,,,,
,,2009 - 2010,379.0,202.0,0.53,,,,,,,,,,,,
,,2011 - 2012,481.0,210.0,0.44,,,,,,,,,,,,
,,2013 - 2014,447.0,122.0,0.27,,,,,,,,,,,,
,,2014 - 2015,564.0,893.0,1.58,,,,,,,,,,,,
,,2015 - 2016,660.0,565.0,0.86,,,,,,,,,,,,
,,2016 - 2017,807.0,,1.96,,,,,,,,,,,,
,,2017 - 2018,,,1.82,,,,,,,,,,,,
,,2018 - 2019,912.0,573.0,0.63,,,,,,,,,,,,
,,2019 - 2020,,,4.69,,,,,,,,,,,,
,,2020 - 2021,,,3.93,,,,,,,,,,,,
,,2021 - 2022,,,1.53,,,,,,,,,,,,
,,2022 - 2023,,,1.8,,,,,,,,,,,,
,Vellore,2000 - 2001,417.0,382.0,0.92,,,,,,,,,,,,
,,2002 - 2003,385.0,228.0,0.59,,,,,,,,,,,,
,,2003 - 2004,495.0,264.0,0.53,,,,,,,,,,,,
,,2004 - 2005,665.0,443.0,0.67,,,,,,,,,,,,
,,2005 - 2006,330.0,214.0,0.65,,,,,,,,,,,,
,,2006 - 2007,396.0,275.0,0.69,,,,,,,,,,,,
,,2007 - 2008,592.0,299.0,0.51,,,,,,,,,,,,
,,2008 - 2009,466.0,235.0,0.5,,,,,,,,,,,,
,,2009 - 2010,505.0,270.0,0.53,,,,,,,,,,,,
,,2011 - 2012,916.0,400.0,0.44,,,,,,,,,,,,
,,2013 - 2014,682.0,553.0,0.81,,,,,,,,,,,,
,,2014 - 2015,924.0,749.0,0.81,,,,,,,,,,,,
,,2015 - 2016,908.0,,2.09,,,,,,,,,,,,
,,2016 - 2017,,,2.35,,,,,,,,,,,,
,,2017 - 2018,938.0,,2.04,,,,,,,,,,,,
,,2018 - 2019,,855.0,0.84,,,,,,,,,,,,
,,2019 - 2020,,,0.9,,,,,,,,,,,,
,,2020 - 2021,636.0,798.0,1.25,,,,,,,,,,,,
,,2021 - 2022,602.0,299.0,0.5,,,,,,,,,,,,
,,2022 - 2023,812.0,390.0,0.48,,,,,,,,,,,,
,Villupuram,2000 - 2001,256.0,200.0,0.78,,,,,,,,,,,,
,,2002 - 2003,355.0,211.0,0.59,,,,,,,,,,,,
,,2003 - 2004,390.0,209.0,0.54,,,,,,,,,,,,
,,2004 - 2005,282.0,188.0,0.67,,,,,,,,,,,,
,,2005 - 2006,186.0,121.0,0.65,,,,,,,,,,,,
,,2006 - 2007,182.0,126.0,0.69,,,,,,,,,,,,
,,2007 - 2008,201.0,102.0,0.51,,,,,,,,,,,,
,,2008 - 2009,271.0,136.0,0.5,,,,,,,,,,,,
,,2009 - 2010,254.0,136.0,0.54,,,,,,,,,,,,
,,2011 - 2012,140.0,61.0,0.44,,,,,,,,,,,,
,,2013 - 2014,144.0,39.0,0.27,,,,,,,,,,,,
,,2014 - 2015,242.0,352.0,1.45,,,,,,,,,,,,
,,2015 - 2016,291.0,149.0,0.51,,,,,,,,,,,,
,,2016 - 2017,245.0,113.0,0.46,,,,,,,,,,,,
,,2017 - 2018,376.0,154.0,0.41,,,,,,,,,,,,
,,2018 - 2019,358.0,109.0,0.3,,,,,,,,,,,,
,,2019 - 2020,,883.0,0.62,,,,,,,,,,,,
,,2020 - 2021,407.0,188.0,0.46,,,,,,,,,,,,
,,2021 - 2022,414.0,205.0,0.5,,,,,,,,,,,,
,,2022 - 2023,474.0,227.0,0.48,,,,,,,,,,,,
,Virudhunagar,2000 - 2001,,,0.64,,,,,,,,,,,,
,,2002 - 2003,,,0.67,,,,,,,,,,,,
,,2003 - 2004,,,0.53,,,,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,,,,
,,2005 - 2006,,,0.84,,,,,,,,,,,,
,,2006 - 2007,,,0.92,,,,,,,,,,,,
,,2007 - 2008,,,0.57,,,,,,,,,,,,
,,2008 - 2009,,,0.97,,,,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,,,,
,,2011 - 2012,,,1.01,,,,,,,,,,,,
,,2013 - 2014,,,0.95,,,,,,,,,,,,
,,2014 - 2015,,,0.85,,,,,,,,,,,,
,,2015 - 2016,,,0.97,,,,,,,,,,,,
,,2016 - 2017,,853.0,0.61,,,,,,,,,,,,
,,2017 - 2018,,957.0,0.79,,,,,,,,,,,,
,,2018 - 2019,984.0,357.0,0.36,,,,,,,,,,,,
,,2019 - 2020,,492.0,0.46,,,,,,,,,,,,
,,2020 - 2021,,470.0,0.4,,,,,,,,,,,,
,,2021 - 2022,,887.0,0.57,,,,,,,,,,,,
,,2022 - 2023,,,0.82,,,,,,,,,,,,
Telangana,Adilabad,2000 - 2001,,,,484.0,,2.31,,,0.82,,,,,,
,,2001 - 2002,,,,601.0,,2.76,,,0.59,,,,,,
,,2002 - 2003,,,,289.0,718.0,2.48,,,0.64,,,,,,
,,2003 - 2004,,,,310.0,,3.26,,,1.26,,,,,,
,,2004 - 2005,,,,561.0,,2.99,,,0.81,,,,,,
,,2005 - 2006,,,,575.0,,3.01,,,1.11,,,,,,
,,2006 - 2007,,,,,,3.26,,,0.84,,,,,,
,,2007 - 2008,,,,,,,,,2.4,,,,,,
,,2008 - 2009,,,,350.0,,3.93,,,2.01,,,,,,
,,2009 - 2010,,,,162.0,613.0,3.78,,,0.81,,,,,,
,,2010 - 2011,,,,480.0,,2.99,,,1.17,,,,,,
,,2011 - 2012,,,,265.0,863.0,3.26,,,0.99,,,,,,
,,2012 - 2013,,,,,,,,,1.0,,,,,,
,,2013 - 2014,,,,410.0,,4.39,,,1.94,,,,,,
,,2014 - 2015,,,,98.0,402.0,4.1,,,1.03,,,,,,
,,2015 - 2016,,,,148.0,405.0,2.74,,,1.2,,,,,,
,,2016 - 2017,,,,22.0,122.0,5.55,84.0,292.0,3.48,,,,,,
,,2017 - 2018,,,,22.0,128.0,5.82,62.0,274.0,4.42,,,,,,
,,2018 - 2019,,,,17.0,104.0,6.12,28.0,120.0,4.29,,,,,,
,,2019 - 2020,,,,15.0,88.0,5.87,39.0,209.0,5.36,,,,,,
,,2020 - 2021,,,,5.0,29.0,5.8,12.0,78.0,6.5,,,,,,
,,2021 - 2022,,,,13.0,66.0,5.08,70.0,196.0,2.8,,,,,,
,,2022 - 2023,,,,14.0,71.0,5.07,72.0,269.0,3.74,,,,,,
,Bhadradri,2016 - 2017,,,,,,7.09,,,3.86,,,,,,
,,2017 - 2018,,,,,,8.36,,,4.54,,,,,,
,,2018 - 2019,,,,,,6.28,,,5.65,,,,,,
,,2019 - 2020,,,,,,4.41,,,5.16,,,,,,
,,2020 - 2021,,,,671.0,,8.26,,,8.35,,,,,,
,,2021 - 2022,,,,,,4.63,,,3.89,,,,,,
,,2022 - 2023,,,,,,10.12,,,4.77,,,,,,
,Jagitial,2016 - 2017,,,,,,,,,2.77,,,,,,
,,2017 - 2018,,,,,,,912.0,,2.77,,,,,,
,,2018 - 2019,,,,,,,880.0,,2.1,,,,,,
,,2019 - 2020,,,,,,,,,1.48,,,,,,
,,2020 - 2021,,,,,,,919.0,,2.57,,,,,,
,,2021 - 2022,,,,147.0,749.0,5.1,989.0,,2.05,,,,,,
,,2022 - 2023,,,,140.0,712.0,5.09,403.0,851.0,2.11,,,,,,
,Jangoan,2016 - 2017,,,,112.0,621.0,5.54,,,4.51,,,,,,
,,2017 - 2018,,,,26.0,151.0,5.81,630.0,,5.73,,,,,,
,,2018 - 2019,,,,,,,472.0,,7.79,,,,,,
,,2019 - 2020,,,,4.0,24.0,6.0,304.0,,4.21,,,,,,
,,2020 - 2021,,,,160.0,957.0,5.98,593.0,,2.55,,,,,,
,,2021 - 2022,,,,256.0,,5.1,965.0,,3.71,,,,,,
,,2022 - 2023,,,,96.0,244.0,2.54,426.0,,2.53,,,,,,
,Jayashankar,2016 - 2017,,,,,,6.29,,,4.51,,,,,,
,,2017 - 2018,,,,,,5.91,,,3.14,,,,,,
,,2018 - 2019,,,,6.0,39.0,6.5,,,4.1,,,,,,
,,2019 - 2020,,,,92.0,542.0,5.89,,,4.04,,,,,,
,,2020 - 2021,,,,306.0,,5.97,,,9.22,,,,,,
,,2021 - 2022,,,,17.0,87.0,5.12,,,3.36,,,,,,
,,2022 - 2023,,,,515.0,,4.24,,,4.17,,,,,,
,Jogulamba,2016 - 2017,,,,6.0,33.0,5.5,,,2.29,,,,,,
,,2017 - 2018,,,,,,,,,1.3,,,,,,
,,2018 - 2019,,,,,,,,,3.47,,,,,,
,,2019 - 2020,,,,,,,,,5.48,,,,,,
,,2020 - 2021,,,,249.0,,6.04,,,3.28,,,,,,
,,2021 - 2022,,,,89.0,454.0,5.1,,,3.76,,,,,,
,,2022 - 2023,,,,25.0,46.0,1.84,,,3.21,,,,,,
,Kamareddy,2016 - 2017,,,,85.0,471.0,5.54,2.0,7.0,3.5,,,,,,
,,2017 - 2018,,,,115.0,667.0,5.8,18.0,80.0,4.44,,,,,,
,,2018 - 2019,,,,38.0,234.0,6.16,27.0,116.0,4.3,,,,,,
,,2019 - 2020,,,,9.0,53.0,5.89,1.0,5.0,5.0,,,,,,
,,2020 - 2021,,,,6.0,44.0,7.33,6.0,44.0,7.33,,,,,,
,,2021 - 2022,,,,21.0,107.0,5.1,5.0,14.0,2.8,,,,,,
,,2022 - 2023,,,,12.0,61.0,5.08,3.0,11.0,3.67,,,,,,
,Karimnagar,2000 - 2001,,,,,,2.31,,,2.2,,,,,,
,,2001 - 2002,,,,,,2.76,,,1.89,,,,,,
,,2002 - 2003,,,,,,2.49,,,1.38,,,,,,
,,2003 - 2004,,,,,,3.26,,,1.69,,,,,,
,,2004 - 2005,,,,740.0,,2.99,,,1.39,,,,,,
,,2005 - 2006,,,,576.0,,3.01,,,1.49,,,,,,
,,2006 - 2007,,,,446.0,,3.26,,,1.81,,,,,,
,,2007 - 2008,,,,,,,,,2.17,,,,,,
,,2008 - 2009,,,,,,,,,1.97,,,,,,
,,2009 - 2010,,,,,,,,,1.08,,,,,,
,,2010 - 2011,,,,,,,,,1.54,,,,,,
,,2011 - 2012,,,,128.0,417.0,3.26,,,1.71,,,,,,
,,2012 - 2013,,,,,,,,,2.4,,,,,,
,,2013 - 2014,,,,92.0,404.0,4.39,,,2.68,,,,,,
,,2014 - 2015,,,,415.0,,4.1,,,2.51,,,,,,
,,2015 - 2016,,,,229.0,626.0,2.73,,,2.5,,,,,,
,,2016 - 2017,,,,,,,308.0,853.0,2.77,,,,,,
,,2017 - 2018,,,,,,,81.0,358.0,4.42,,,,,,
,,2018 - 2019,,,,,,,158.0,678.0,4.29,,,,,,
,,2019 - 2020,,,,,,,321.0,,5.36,,,,,,
,,2020 - 2021,,,,3.0,22.0,7.33,290.0,,6.04,,,,,,
,,2021 - 2022,,,,44.0,224.0,5.09,622.0,,3.57,,,,,,
,,2022 - 2023,,,,7.0,36.0,5.14,299.0,,3.87,,,,,,
,Khammam,2000 - 2001,,,,,,2.21,,,3.34,,,,,,
,,2001 - 2002,,,,,,3.69,,,4.13,,,,,,
,,2002 - 2003,,,,,,3.49,,,2.75,,,,,,
,,2003 - 2004,,,,,,4.53,,,3.35,,,,,,
,,2004 - 2005,,,,,,3.33,,,4.48,,,,,,
,,2005 - 2006,,,,,,3.67,,,4.27,,,,,,
,,2006 - 2007,,,,,,4.08,,,4.58,,,,,,
,,2007 - 2008,,,,,,3.89,,,3.48,,,,,,
,,2008 - 2009,,,,,,4.86,,,4.4,,,,,,
,,2009 - 2010,,,,,,4.24,,,5.04,,,,,,
,,2010 - 2011,,,,,,2.47,,,4.12,,,,,,
,,2011 - 2012,,,,,,3.92,,,3.24,,,,,,
,,2012 - 2013,,,,,,4.9,,,4.4,,,,,,
,,2013 - 2014,,,,,,5.17,,,3.68,,,,,,
,,2014 - 2015,,,,,,6.15,,,3.76,,,,,,
,,2015 - 2016,,,,,,2.52,,,3.22,,,,,,
,,2016 - 2017,,,,855.0,,5.54,,,3.86,,,,,,
,,2017 - 2018,,,,506.0,,5.8,,,7.11,,,,,,
,,2018 - 2019,,,,682.0,,6.15,,,4.4,,,,,,
,,2019 - 2020,,,,451.0,,5.89,,,7.21,,,,,,
,,2020 - 2021,,,,,,2.88,,,7.94,,,,,,
,,2021 - 2022,,,,208.0,316.0,1.52,,,2.44,,,,,,
,,2022 - 2023,,,,90.0,193.0,2.14,,,3.56,,,,,,
,Komaram bheem asifabad,2016 - 2017,,,,,,,121.0,420.0,3.47,,,,,,
,,2017 - 2018,,,,,,,25.0,111.0,4.44,,,,,,
,,2018 - 2019,,,,68.0,418.0,6.15,46.0,198.0,4.3,,,,,,
,,2019 - 2020,,,,19.0,112.0,5.89,13.0,70.0,5.38,,,,,,
,,2020 - 2021,,,,13.0,82.0,6.31,24.0,144.0,6.0,,,,,,
,,2021 - 2022,,,,101.0,515.0,5.1,102.0,288.0,2.82,,,,,,
,,2022 - 2023,,,,114.0,580.0,5.09,179.0,669.0,3.74,,,,,,
,Mahabubabad,2016 - 2017,,,,,,3.82,,,4.52,,,,,,
,,2017 - 2018,,,,,,4.44,,,4.49,,,,,,
,,2018 - 2019,,,,512.0,,4.2,,,3.82,,,,,,
,,2019 - 2020,,,,40.0,117.0,2.93,,,3.86,,,,,,
,,2020 - 2021,,,,551.0,,8.05,,,3.9,,,,,,
,,2021 - 2022,,,,68.0,347.0,5.1,,,2.06,,,,,,
,,2022 - 2023,,,,6.0,31.0,5.17,,,3.7,,,,,,
,Mahbubnagar,2000 - 2001,,,,,,2.31,,,1.13,,,,,,
,,2001 - 2002,,,,,,2.76,,,0.84,,,,,,
,,2002 - 2003,,,,,,2.49,,,1.12,,,,,,
,,2003 - 2004,,,,,,3.26,,,3.0,,,,,,
,,2004 - 2005,,,,,,2.99,,,1.81,,,,,,
,,2005 - 2006,,,,,,3.01,,,2.95,,,,,,
,,2006 - 2007,,,,,,3.26,,,3.33,,,,,,
,,2007 - 2008,,,,,,2.5,,,3.57,,,,,,
,,2008 - 2009,,,,286.0,,3.93,,,2.55,,,,,,
,,2009 - 2010,,,,178.0,673.0,3.78,,,3.42,,,,,,
,,2010 - 2011,,,,261.0,780.0,2.99,,,4.19,,,,,,
,,2011 - 2012,,,,115.0,374.0,3.25,,,1.78,,,,,,
,,2012 - 2013,,,,,,,,,3.0,,,,,,
,,2013 - 2014,,,,36.0,158.0,4.39,,,3.23,,,,,,
,,2014 - 2015,,,,121.0,496.0,4.1,,,3.42,,,,,,
,,2015 - 2016,,,,185.0,506.0,2.74,,,2.31,,,,,,
,,2016 - 2017,,,,53.0,294.0,5.55,486.0,,2.29,,,,,,
,,2017 - 2018,,,,47.0,273.0,5.81,301.0,,4.42,,,,,,
,,2018 - 2019,,,,,,,148.0,636.0,4.3,,,,,,
,,2019 - 2020,,,,12.0,71.0,5.92,89.0,477.0,5.36,,,,,,
,,2020 - 2021,,,,37.0,220.0,5.95,58.0,346.0,5.97,,,,,,
,,2021 - 2022,,,,38.0,194.0,5.11,186.0,520.0,2.8,,,,,,
,,2022 - 2023,,,,15.0,76.0,5.07,191.0,279.0,1.46,,,,,,
,Mancherial,2016 - 2017,,,,,,,,,3.47,,,,,,
,,2017 - 2018,,,,,,,470.0,,3.24,,,,,,
,,2018 - 2019,,,,,,,486.0,,3.59,,,,,,
,,2019 - 2020,,,,7.0,41.0,5.86,391.0,,4.47,,,,,,
,,2020 - 2021,,,,52.0,315.0,6.06,348.0,,11.39,,,,,,
,,2021 - 2022,,,,121.0,617.0,5.1,573.0,,4.6,,,,,,
,,2022 - 2023,,,,166.0,844.0,5.08,390.0,,6.21,,,,,,
,Medak,2000 - 2001,,,,,,2.31,,,0.95,,,,,,
,,2001 - 2002,,,,,,2.75,,,0.83,,,,,,
,,2002 - 2003,,,,,,2.49,,,0.88,,,,,,
,,2003 - 2004,,,,,,3.26,,,1.47,,,,,,
,,2004 - 2005,,,,,,2.99,,,1.14,,,,,,
,,2005 - 2006,,,,,,3.01,,,1.19,,,,,,
,,2006 - 2007,,,,,,3.26,,,0.61,,,,,,
,,2007 - 2008,,,,,,4.0,,,1.0,,,,,,
,,2008 - 2009,,,,,,3.93,,,0.65,,,,,,
,,2009 - 2010,,,,967.0,,3.78,,,1.05,,,,,,
,,2010 - 2011,,,,,,2.99,,,1.0,,,,,,
,,2011 - 2012,,,,335.0,,3.25,,,1.19,,,,,,
,,2012 - 2013,,,,,,,,,1.0,,,,,,
,,2013 - 2014,,,,,,,358.0,286.0,0.8,,,,,,
,,2014 - 2015,,,,,,,291.0,134.0,0.46,,,,,,
,,2015 - 2016,,,,3.0,8.0,2.67,366.0,208.0,0.57,,,,,,
,,2016 - 2017,,,,30.0,166.0,5.53,12.0,43.0,3.58,,,,,,
,,2017 - 2018,,,,11.0,64.0,5.82,10.0,44.0,4.4,,,,,,
,,2018 - 2019,,,,10.0,61.0,6.1,11.0,47.0,4.27,,,,,,
,,2019 - 2020,,,,,,,2.0,11.0,5.5,,,,,,
,,2020 - 2021,,,,5.0,29.0,5.8,10.0,58.0,5.8,,,,,,
,,2021 - 2022,,,,18.0,92.0,5.11,10.0,28.0,2.8,,,,,,
,,2022 - 2023,,,,6.0,31.0,5.17,6.0,22.0,3.67,,,,,,
,Medchal,2016 - 2017,,,,,,,3.0,11.0,3.67,,,,,,
,,2019 - 2020,,,,5.0,29.0,5.8,,,,,,,,,
,,2021 - 2022,,,,5.0,25.0,5.0,,,,,,,,,
,,2022 - 2023,,,,3.0,15.0,5.0,,,,,,,,,
,Mulugu,2018 - 2019,,,,,,6.57,,,4.1,,,,,,
,,2019 - 2020,,,,,,7.19,,,5.09,,,,,,
,,2020 - 2021,,,,,,6.08,,,5.88,,,,,,
,,2021 - 2022,,,,,,5.93,,,2.77,,,,,,
,,2022 - 2023,,,,,,4.69,352.0,,3.18,,,,,,
,Nagarkurnool,2016 - 2017,,,,453.0,,5.54,813.0,,2.29,,,,,,
,,2017 - 2018,,,,152.0,882.0,5.8,303.0,868.0,2.86,,,,,,
,,2018 - 2019,,,,84.0,516.0,6.14,761.0,,4.29,,,,,,
,,2019 - 2020,,,,84.0,495.0,5.89,702.0,,5.36,,,,,,
,,2020 - 2021,,,,456.0,,6.0,,,4.14,,,,,,
,,2021 - 2022,,,,121.0,617.0,5.1,,,6.04,,,,,,
,,2022 - 2023,,,,172.0,728.0,4.23,,,4.46,,,,,,
,Nalgonda,2000 - 2001,,,,,,2.31,,,1.04,,,,,,
,,2001 - 2002,,,,845.0,,2.76,,,2.78,,,,,,
,,2002 - 2003,,,,,,2.49,,,0.74,,,,,,
,,2003 - 2004,,,,,,3.26,,,2.53,,,,,,
,,2004 - 2005,,,,,,2.99,,,1.61,,,,,,
,,2005 - 2006,,,,,,3.0,,,1.98,,,,,,
,,2006 - 2007,,,,922.0,,3.26,,,2.4,,,,,,
,,2007 - 2008,,,,,,2.5,,,2.33,,,,,,
,,2008 - 2009,,,,,,3.94,,,2.8,,,,,,
,,2009 - 2010,,,,,,3.78,,,1.71,,,,,,
,,2010 - 2011,,,,,,2.99,,,2.07,,,,,,
,,2011 - 2012,,,,,,3.25,,,2.64,,,,,,
,,2012 - 2013,,,,,,4.0,,,2.2,,,,,,
,,2013 - 2014,,,,713.0,,4.39,,,3.02,,,,,,
,,2014 - 2015,,,,968.0,,4.1,,,2.8,,,,,,
,,2015 - 2016,,,,482.0,,2.73,,,1.95,,,,,,
,,2016 - 2017,,,,215.0,,5.54,,,2.36,,,,,,
,,2017 - 2018,,,,52.0,302.0,5.81,,,2.9,,,,,,
,,2018 - 2019,,,,60.0,369.0,6.15,,,3.46,,,,,,
,,2019 - 2020,,,,63.0,371.0,5.89,,,7.33,,,,,,
,,2020 - 2021,,,,9.0,56.0,6.22,808.0,,7.12,,,,,,
,,2021 - 2022,,,,150.0,765.0,5.1,,,4.71,,,,,,
,,2022 - 2023,,,,247.0,,5.09,,,4.91,,,,,,
,Narayanapet,2018 - 2019,,,,,,,53.0,228.0,4.3,,,,,,
,,2019 - 2020,,,,,,,9.0,48.0,5.33,,,,,,
,,2020 - 2021,,,,,,,27.0,166.0,6.15,,,,,,
,,2021 - 2022,,,,46.0,234.0,5.09,102.0,285.0,2.79,,,,,,
,,2022 - 2023,,,,41.0,209.0,5.1,96.0,359.0,3.74,,,,,,
,Nirmal,2016 - 2017,,,,,,,616.0,,3.48,,,,,,
,,2017 - 2018,,,,1.0,6.0,6.0,239.0,809.0,3.38,,,,,,
,,2018 - 2019,,,,,,,236.0,834.0,3.53,,,,,,
,,2019 - 2020,,,,10.0,59.0,5.9,78.0,183.0,2.35,,,,,,
,,2020 - 2021,,,,19.0,116.0,6.11,107.0,622.0,5.81,,,,,,
,,2021 - 2022,,,,18.0,92.0,5.11,88.0,422.0,4.8,,,,,,
,,2022 - 2023,,,,6.0,31.0,5.17,75.0,280.0,3.73,,,,,,
,Nizamabad,2000 - 2001,,,,,,2.31,,,1.94,,,,,,
,,2001 - 2002,,,,,,2.76,,,2.15,,,,,,
,,2002 - 2003,,,,995.0,,2.49,,,1.56,,,,,,
,,2003 - 2004,,,,,,3.26,,,2.28,,,,,,
,,2004 - 2005,,,,,,2.99,,,2.57,,,,,,
,,2005 - 2006,,,,,,3.01,,,2.68,,,,,,
,,2006 - 2007,,,,,,3.27,,,2.98,,,,,,
,,2007 - 2008,,,,,,4.0,,,3.0,,,,,,
,,2008 - 2009,,,,,,3.93,,,3.36,,,,,,
,,2009 - 2010,,,,,,3.78,791.0,,3.47,,,,,,
,,2010 - 2011,,,,,,2.99,,,3.16,,,,,,
,,2011 - 2012,,,,,,3.26,,,2.4,,,,,,
,,2012 - 2013,,,,,,4.0,,,2.0,,,,,,
,,2013 - 2014,,,,865.0,,4.39,498.0,,3.16,,,,,,
,,2014 - 2015,,,,539.0,,4.1,497.0,,3.25,,,,,,
,,2015 - 2016,,,,277.0,757.0,2.73,246.0,690.0,2.8,,,,,,
,,2016 - 2017,,,,212.0,,5.54,223.0,799.0,3.58,,,,,,
,,2017 - 2018,,,,220.0,,5.8,92.0,407.0,4.42,,,,,,
,,2018 - 2019,,,,231.0,,6.14,94.0,404.0,4.3,,,,,,
,,2019 - 2020,,,,37.0,218.0,5.89,20.0,107.0,5.35,,,,,,
,,2020 - 2021,,,,64.0,393.0,6.14,15.0,88.0,5.87,,,,,,
,,2021 - 2022,,,,68.0,347.0,5.1,20.0,56.0,2.8,,,,,,
,,2022 - 2023,,,,25.0,127.0,5.08,6.0,22.0,3.67,,,,,,
,Peddapalli,2016 - 2017,,,,315.0,,5.54,415.0,,2.77,,,,,,
,,2017 - 2018,,,,,,,259.0,,4.42,,,,,,
,,2018 - 2019,,,,,,,407.0,,4.29,,,,,,
,,2019 - 2020,,,,,,,316.0,,5.36,,,,,,
,,2020 - 2021,,,,,,,375.0,,5.38,,,,,,
,,2021 - 2022,,,,44.0,224.0,5.09,496.0,899.0,1.81,,,,,,
,,2022 - 2023,,,,13.0,66.0,5.08,306.0,,3.52,,,,,,
,Rajanna,2016 - 2017,,,,,,,122.0,338.0,2.77,,,,,,
,,2017 - 2018,,,,,,,47.0,208.0,4.43,,,,,,
,,2018 - 2019,,,,,,,52.0,223.0,4.29,,,,,,
,,2019 - 2020,,,,,,,6.0,32.0,5.33,,,,,,
,,2020 - 2021,,,,,,,35.0,207.0,5.91,,,,,,
,,2021 - 2022,,,,25.0,127.0,5.08,71.0,198.0,2.79,,,,,,
,,2022 - 2023,,,,12.0,61.0,5.08,87.0,325.0,3.74,,,,,,
,Rangareddi,2000 - 2001,,,,733.0,,2.31,,,1.94,,,,,,
,,2001 - 2002,,,,813.0,,2.76,,,2.15,,,,,,
,,2002 - 2003,,,,820.0,,2.49,,,1.56,,,,,,
,,2003 - 2004,,,,605.0,,3.26,,,2.28,,,,,,
,,2004 - 2005,,,,592.0,,2.99,,,2.57,,,,,,
,,2005 - 2006,,,,757.0,,3.01,,,2.68,,,,,,
,,2006 - 2007,,,,634.0,,3.26,,,2.98,,,,,,
,,2007 - 2008,,,,,,2.0,,,4.0,,,,,,
,,2008 - 2009,,,,370.0,,3.94,914.0,,3.36,,,,,,
,,2009 - 2010,,,,427.0,,3.78,850.0,,3.47,,,,,,
,,2010 - 2011,,,,405.0,,2.99,802.0,,3.15,,,,,,
,,2011 - 2012,,,,182.0,592.0,3.25,,,2.4,,,,,,
,,2012 - 2013,,,,,,,,,2.0,,,,,,
,,2013 - 2014,,,,162.0,711.0,4.39,444.0,,3.16,,,,,,
,,2014 - 2015,,,,206.0,845.0,4.1,290.0,943.0,3.25,,,,,,
,,2015 - 2016,,,,118.0,323.0,2.74,247.0,692.0,2.8,,,,,,
,,2016 - 2017,,,,44.0,244.0,5.55,22.0,79.0,3.59,,,,,,
,,2017 - 2018,,,,29.0,168.0,5.79,40.0,177.0,4.43,,,,,,
,,2018 - 2019,,,,24.0,147.0,6.13,19.0,82.0,4.32,,,,,,
,,2019 - 2020,,,,43.0,253.0,5.88,13.0,70.0,5.38,,,,,,
,,2020 - 2021,,,,19.0,119.0,6.26,50.0,309.0,6.18,,,,,,
,,2021 - 2022,,,,115.0,586.0,5.1,205.0,573.0,2.8,,,,,,
,,2022 - 2023,,,,41.0,209.0,5.1,186.0,695.0,3.74,,,,,,
