state,district,year,sunflower_rabi_area_hectare,sunflower_rabi_production_tonne,sunflower_rabi_yield_tonne_per_hectare,sunflower_kharif_area_hectare,sunflower_kharif_production_tonne,sunflower_kharif_yield_tonne_per_hectare,sunflower_whole_year_area_hectare,sunflower_whole_year_production_tonne,sunflower_whole_year_yield_tonne_per_hectare,sunflower_summer_area_hectare,sunflower_summer_production_tonne,sunflower_summer_yield_tonne_per_hectare
,,2016 - 2017,536.0,455.0,0.85,305.0,436.0,1.43,,,,,,
,,2017 - 2018,384.0,381.0,0.99,11.0,14.0,1.27,,,,,,
,,2018 - 2019,618.0,120.0,0.19,18.0,25.0,1.39,,,,,,
,,2019 - 2020,382.0,410.0,1.07,1.0,2.0,2.0,,,,,,
,,2020 - 2021,544.0,487.0,0.9,26.0,28.0,1.08,,,,,,
,,2021 - 2022,804.0,866.0,1.08,499.0,542.0,1.09,,,,,,
,,2022 - 2023,,,0.9,273.0,284.0,1.04,,,,,,
,Spsr nellore,2000 - 2001,,,,,,1.07,,,,,,
,,2001 - 2002,,,,,,1.13,,,,,,
,,2002 - 2003,,,,,,0.93,,,,,,
,,2003 - 2004,,,,,,0.97,,,,,,
,,2004 - 2005,,,0.56,,,0.56,,,,,,
,,2005 - 2006,,,,,,,,,0.48,,,
,,2006 - 2007,,,,,,,,,0.53,,,
,,2007 - 2008,,,0.78,,,0.75,,,,,,
,,2008 - 2009,,,,,,,,,0.6,,,
,,2009 - 2010,,,,,,,,,0.75,,,
,,2010 - 2011,,,,,,,,,0.91,,,
,,2011 - 2012,,,,,,,,,0.69,,,
,,2012 - 2013,,,0.5,,,1.0,,,,,,
,,2013 - 2014,,,0.81,980.0,772.0,0.79,,,,,,
,,2014 - 2015,784.0,835.0,1.07,550.0,666.0,1.21,,,,,,
,,2015 - 2016,541.0,439.0,0.81,393.0,541.0,1.38,,,,,,
,,2016 - 2017,388.0,252.0,0.65,938.0,,1.43,,,,,,
,,2017 - 2018,117.0,89.0,0.76,219.0,276.0,1.26,,,,,,
,,2018 - 2019,238.0,143.0,0.6,232.0,327.0,1.41,,,,,,
,,2019 - 2020,33.0,26.0,0.79,39.0,60.0,1.54,,,,,,
,,2020 - 2021,84.0,71.0,0.85,295.0,322.0,1.09,,,,,,
,,2021 - 2022,126.0,86.0,0.68,380.0,413.0,1.09,,,,,,
,,2022 - 2023,365.0,366.0,1.0,411.0,428.0,1.04,,,,,,
,Sri sathya sai,2022 - 2023,735.0,856.0,1.16,,,0.79,,,,,,
,Srikakulam,2000 - 2001,,,,92.0,136.0,1.48,,,,,,
,,2001 - 2002,,,,71.0,80.0,1.13,,,,,,
,,2002 - 2003,,,,56.0,61.0,1.09,,,,,,
,,2003 - 2004,,,,753.0,885.0,1.18,,,,,,
,,2004 - 2005,,895.0,0.9,,895.0,0.9,,,,,,
,,2005 - 2006,,,,,,,,,1.14,,,
,,2006 - 2007,,,,,,,,,0.81,,,
,,2007 - 2008,,,1.4,,,,,,,,,
,,2008 - 2009,,,,,,,,,1.01,,,
,,2009 - 2010,,,,,,,,,0.97,,,
,,2010 - 2011,,,,,,,,,1.24,,,
,,2011 - 2012,,,,,,,,,1.06,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,,,1.12,,,,,,,,,
,,2014 - 2015,,,0.96,,,,,,,,,
,,2015 - 2016,684.0,737.0,1.08,,,,,,,,,
,,2016 - 2017,488.0,373.0,0.76,,,,,,,,,
,,2017 - 2018,639.0,600.0,0.94,,,,,,,,,
,,2018 - 2019,639.0,197.0,0.31,,,,,,,,,
,,2019 - 2020,304.0,313.0,1.03,7.0,11.0,1.57,,,,,,
,,2020 - 2021,303.0,382.0,1.26,,,,,,,,,
,,2021 - 2022,429.0,322.0,0.75,,,,,,,,,
,,2022 - 2023,140.0,263.0,1.88,,,,,,,,,
,Tirupati,2022 - 2023,196.0,218.0,1.11,21.0,14.0,0.67,,,,,,
,Visakhapatanam,2003 - 2004,,,,7.0,8.0,1.14,,,,,,
,,2004 - 2005,43.0,38.0,0.88,53.0,44.0,0.83,,,,,,
,,2005 - 2006,,,,,,,77.0,87.0,1.13,,,
,,2006 - 2007,,,,,,,213.0,171.0,0.8,,,
,,2007 - 2008,,,2.0,,,,,,,,,
,,2008 - 2009,,,,,,,350.0,354.0,1.01,,,
,,2009 - 2010,,,,,,,282.0,274.0,0.97,,,
,,2010 - 2011,,,,,,,408.0,507.0,1.24,,,
,,2011 - 2012,,,,,,,547.0,568.0,1.04,,,
,,2012 - 2013,,,1.0,,,,,,,,,
,,2013 - 2014,246.0,275.0,1.12,4.0,3.0,0.75,,,,,,
,,2014 - 2015,186.0,179.0,0.96,10.0,12.0,1.2,,,,,,
,,2015 - 2016,132.0,142.0,1.08,,,,,,,,,
,,2016 - 2017,115.0,88.0,0.77,,,,,,,,,
,,2017 - 2018,98.0,92.0,0.94,1.0,1.0,1.0,,,,,,
,,2018 - 2019,73.0,22.0,0.3,4.0,6.0,1.5,,,,,,
,,2019 - 2020,74.0,76.0,1.03,,,,,,,,,
,,2020 - 2021,108.0,130.0,1.2,,,,,,,,,
,,2021 - 2022,243.0,264.0,1.09,,,,,,,,,
,Vizianagaram,2004 - 2005,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,
,,2005 - 2006,,,,,,,2.0,2.0,1.0,,,
,,2006 - 2007,,,,,,,39.0,32.0,0.82,,,
,,2008 - 2009,,,,,,,54.0,55.0,1.02,,,
,,2009 - 2010,,,,,,,41.0,40.0,0.98,,,
,,2010 - 2011,,,,,,,123.0,153.0,1.24,,,
,,2011 - 2012,,,,,,,63.0,65.0,1.03,,,
,,2013 - 2014,56.0,63.0,1.13,,,,,,,,,
,,2014 - 2015,6.0,6.0,1.0,,,,,,,,,
,,2016 - 2017,1.0,1.0,1.0,,,,,,,,,
