state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2020 - 2021,,,1.0,,,,,,,,,
,,2021 - 2022,,,0.89,,,,,,,,,
,,2022 - 2023,,,1.04,,,,,,,,,
,Kushi nagar,2000 - 2001,,,0.72,,,,,,,,,
,,2001 - 2002,,,0.66,,,,,,,,,
,,2002 - 2003,,,0.66,,,,,,,,,
,,2003 - 2004,,,0.8,,,,,,,,,
,,2004 - 2005,,,0.76,,,,,,,,,
,,2005 - 2006,,,0.71,,,,,,,,,
,,2006 - 2007,,,0.73,,,,,,,,,
,,2007 - 2008,,,0.77,,,,,,,,,
,,2008 - 2009,,,0.62,,,,,,,,,
,,2009 - 2010,,,0.77,,,,,,,,,
,,2010 - 2011,,,0.76,,,,,,,,,
,,2011 - 2012,,,0.93,,,,,,,,,
,,2012 - 2013,,,0.78,,,,,,,,,
,,2013 - 2014,,,0.7,,,,,,,,,
,,2014 - 2015,,,0.52,,,,,,,,,
,,2015 - 2016,,,0.72,,,,,,,,,
,,2016 - 2017,,,0.74,,,,,,,,,
,,2017 - 2018,,,0.87,,,,,,,,,
,,2018 - 2019,,,0.58,,,,,,,,,
,,2019 - 2020,,,0.72,,,,,,,,,
,,2020 - 2021,,,0.66,,,,,,,,,
,,2021 - 2022,,,1.1,,,,,,,,,
,,2022 - 2023,,,0.94,,,,,,,,,
,Lalitpur,2000 - 2001,478.0,252.0,0.53,,,,,,,,,
,,2001 - 2002,427.0,356.0,0.83,,,,,,,,,
,,2002 - 2003,329.0,190.0,0.58,,,,,,,,,
,,2003 - 2004,682.0,539.0,0.79,,,,,,,,,
,,2004 - 2005,,,0.75,,,,,,,,,
,,2005 - 2006,860.0,533.0,0.62,,,,,,,,,
,,2006 - 2007,,,0.55,,,,,,,,,
,,2007 - 2008,750.0,314.0,0.42,,,,,,,,,
,,2008 - 2009,,,0.87,,,,,,,,,
,,2009 - 2010,,,0.65,,,,,,,,,
,,2010 - 2011,,,0.59,,,,,,,,,
,,2011 - 2012,,,0.62,,,,,,,,,
,,2012 - 2013,,,0.74,,,,,,,,,
,,2013 - 2014,,,0.41,,,,,,,,,
,,2014 - 2015,,,0.4,,,,,,,,,
,,2015 - 2016,,888.0,0.4,,,,,,,,,
,,2016 - 2017,,,0.72,,,,,,,,,
,,2017 - 2018,,,0.58,,,,,,,,,
,,2018 - 2019,,,0.79,,,,,,,,,
,,2019 - 2020,,,0.77,,,,,,,,,
,,2020 - 2021,,,0.66,,,,,,,,,
,,2021 - 2022,,,0.77,,,,,,,,,
,,2022 - 2023,,,0.91,,,,,,,,,
,Lucknow,2000 - 2001,,,0.8,,,,,,,,,
,,2001 - 2002,,,0.57,,,,,,,,,
,,2002 - 2003,,,0.69,,,,,,,,,
,,2003 - 2004,,,0.65,,,,,,,,,
,,2004 - 2005,,,0.74,,,,,,,,,
,,2005 - 2006,,,0.8,,,,,,,,,
,,2006 - 2007,,,0.79,,,,,,,,,
,,2007 - 2008,,,0.96,,,,,,,,,
,,2008 - 2009,,,0.89,,,,,,,,,
,,2009 - 2010,,,0.85,,,,,,,,,
,,2010 - 2011,,,0.93,,,,,,,,,
,,2011 - 2012,,,0.84,,,,,,,,,
,,2012 - 2013,,,1.03,,,,,,,,,
,,2013 - 2014,,,0.52,,,,,,,,,
,,2014 - 2015,,,0.42,,,,,,,,,
,,2015 - 2016,,,0.74,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,
,,2017 - 2018,,,1.16,,,,,,,,,
,,2018 - 2019,,,0.94,,,,,,,,,
,,2019 - 2020,,,0.51,,,,,,,,,
,,2020 - 2021,,,1.09,,,,,,,,,
,,2021 - 2022,,,1.31,,,,,,,,,
,,2022 - 2023,,,0.87,,,,,,,,,
,Maharajganj,2000 - 2001,,,0.64,,,,,,,,,
,,2001 - 2002,,,0.67,,,,,,,,,
,,2002 - 2003,,,0.53,,,,,,,,,
,,2003 - 2004,,,0.94,,,,,,,,,
,,2004 - 2005,,,0.56,,,,,,,,,
,,2005 - 2006,,,0.43,,,,,,,,,
,,2006 - 2007,,,0.43,,,,,,,,,
,,2007 - 2008,,,0.59,,,,,,,,,
,,2008 - 2009,,,0.62,,,,,,,,,
,,2009 - 2010,,,0.75,,,,,,,,,
,,2010 - 2011,,,0.77,,,,,,,,,
,,2011 - 2012,,,0.7,,,,,,,,,
,,2012 - 2013,,,0.66,,,,,,,,,
,,2013 - 2014,,,0.71,,,,,,,,,
,,2014 - 2015,,,0.44,,,,,,,,,
,,2015 - 2016,,,0.54,,,,,,,,,
,,2016 - 2017,,,0.75,,,,,,,,,
,,2017 - 2018,,,1.17,,,,,,,,,
,,2018 - 2019,,,1.12,,,,,,,,,
,,2019 - 2020,,,0.58,,,,,,,,,
,,2020 - 2021,,,1.28,,,,,,,,,
,,2021 - 2022,,,1.12,,,,,,,,,
,,2022 - 2023,,,0.93,,,,,,,,,
,Mahoba,2000 - 2001,,,0.46,,,,,,,,,
,,2001 - 2002,,,0.36,,,,,,,,,
,,2002 - 2003,,878.0,0.32,,,,,,,,,
,,2003 - 2004,,961.0,0.45,,,,,,,,,
,,2004 - 2005,,,0.4,,,,,,,,,
,,2005 - 2006,,629.0,0.34,,,,,,,,,
,,2006 - 2007,,,0.37,,,,,,,,,
,,2007 - 2008,,906.0,0.31,,,,,,,,,
,,2008 - 2009,,,0.68,,,,,,,,,
,,2009 - 2010,,,0.4,,,,,,,,,
,,2010 - 2011,,,0.57,,,,,,,,,
,,2011 - 2012,,,0.42,,,,,,,,,
,,2012 - 2013,,,0.44,,,,,,,,,
,,2013 - 2014,,,0.21,,,,,,,,,
,,2014 - 2015,,741.0,0.13,,,,,,,,,
,,2015 - 2016,,251.0,0.08,,,,,,,,,
,,2016 - 2017,,,0.85,,,,,,,,,
,,2017 - 2018,,,0.42,,,,,,,,,
,,2018 - 2019,,,0.57,,,,,,,,,
,,2019 - 2020,,,0.94,,,,,,,,,
,,2020 - 2021,,,0.68,,,,,,,,,
,,2021 - 2022,,,0.67,,,,,,,,,
,,2022 - 2023,,,0.95,,,,,,,,,
,Mainpuri,2000 - 2001,,,1.23,,,,,,,,,
,,2001 - 2002,,,1.2,,,,,,,,,
,,2002 - 2003,,,1.15,,,,,,,,,
,,2003 - 2004,,,1.05,,,,,,,,,
,,2004 - 2005,,,1.2,,,,,,,,,
,,2005 - 2006,,,1.23,,,,,,,,,
,,2006 - 2007,,,1.25,,,,,,,,,
,,2007 - 2008,,,1.6,,,,,,,,,
,,2008 - 2009,,,1.57,,,,,,,,,
,,2009 - 2010,,,1.56,,,,,,,,,
,,2010 - 2011,,,1.53,,,,,,,,,
,,2011 - 2012,,,1.52,,,,,,,,,
,,2012 - 2013,,,1.67,,,,,,,,,
,,2013 - 2014,,,1.6,,,,,,,,,
,,2014 - 2015,,,1.75,,,,,,,,,
,,2015 - 2016,,,1.67,,,,,,,,,
,,2016 - 2017,,,2.0,,,,,,,,,
,,2017 - 2018,,,2.01,,,,,,,,,
,,2018 - 2019,,,1.93,,,,,,,,,
,,2019 - 2020,,,1.89,,,,,,,,,
,,2020 - 2021,,,2.1,,,,,,,,,
,,2021 - 2022,,,1.73,,,,,,,,,
,,2022 - 2023,,,1.8,,,,,,,,,
,Mathura,2000 - 2001,,,1.18,,,,,,,,,
,,2001 - 2002,,,1.4,,,,,,,,,
,,2002 - 2003,,,1.17,,,,,,,,,
,,2003 - 2004,,,1.38,,,,,,,,,
,,2004 - 2005,,,1.19,,,,,,,,,
,,2005 - 2006,,,1.58,,,,,,,,,
,,2006 - 2007,,,1.65,,,,,,,,,
,,2007 - 2008,,,1.65,,,,,,,,,
,,2008 - 2009,,,1.79,,,,,,,,,
,,2009 - 2010,,,1.62,,,,,,,,,
,,2010 - 2011,,,1.82,,,,,,,,,
,,2011 - 2012,,,1.7,,,,,,,,,
,,2012 - 2013,,,1.72,,,,,,,,,
,,2013 - 2014,,,1.52,,,,,,,,,
,,2014 - 2015,,,1.17,,,,,,,,,
,,2015 - 2016,,,1.57,,,,,,,,,
,,2016 - 2017,,,1.83,,,,,,,,,
,,2017 - 2018,,,1.96,,,,,,,,,
,,2018 - 2019,,,2.18,,,,,,,,,
,,2019 - 2020,,,1.58,,,,,,,,,
,,2020 - 2021,,,2.05,,,,,,,,,
,,2021 - 2022,,,1.58,,,,,,,,,
,,2022 - 2023,,,1.91,,,,,,,,,
,Mau,2000 - 2001,88.0,88.0,1.0,,,,,,,,,
,,2001 - 2002,134.0,137.0,1.02,,,,,,,,,
,,2002 - 2003,106.0,95.0,0.9,,,,,,,,,
,,2003 - 2004,137.0,137.0,1.0,,,,,,,,,
,,2004 - 2005,112.0,111.0,0.99,,,,,,,,,
,,2005 - 2006,164.0,190.0,1.16,,,,,,,,,
,,2006 - 2007,100.0,103.0,1.03,,,,,,,,,
,,2007 - 2008,104.0,120.0,1.15,,,,,,,,,
,,2008 - 2009,134.0,151.0,1.13,,,,,,,,,
,,2009 - 2010,134.0,150.0,1.12,,,,,,,,,
,,2010 - 2011,135.0,161.0,1.19,,,,,,,,,
,,2011 - 2012,139.0,159.0,1.14,,,,,,,,,
,,2012 - 2013,183.0,231.0,1.26,,,,,,,,,
,,2013 - 2014,206.0,209.0,1.01,,,,,,,,,
,,2014 - 2015,182.0,142.0,0.78,,,,,,,,,
,,2015 - 2016,352.0,360.0,1.02,,,,,,,,,
,,2016 - 2017,212.0,265.0,1.25,,,,,,,,,
,,2017 - 2018,207.0,290.0,1.4,,,,,,,,,
,,2018 - 2019,212.0,316.0,1.49,,,,,,,,,
,,2019 - 2020,210.0,266.0,1.27,,,,,,,,,
,,2020 - 2021,210.0,304.0,1.45,,,,,,,,,
,,2021 - 2022,254.0,347.0,1.37,,,,,,,,,
,,2022 - 2023,241.0,361.0,1.5,,,,,,,,,
,Meerut,2000 - 2001,,,1.23,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,
,,2002 - 2003,,,1.03,,,,,,,,,
,,2003 - 2004,,,0.85,,,,,,,,,
,,2004 - 2005,,,1.3,,,,,,,,,
,,2005 - 2006,,,1.24,,,,,,,,,
,,2006 - 2007,,,0.99,,,,,,,,,
,,2007 - 2008,,,1.34,,,,,,,,,
,,2008 - 2009,,,1.11,,,,,,,,,
,,2009 - 2010,,,1.31,,,,,,,,,
,,2010 - 2011,,,1.19,,,,,,,,,
,,2011 - 2012,,,1.17,,,,,,,,,
,,2012 - 2013,,,1.32,,,,,,,,,
,,2013 - 2014,,,1.49,,,,,,,,,
,,2014 - 2015,,,0.97,,,,,,,,,
,,2015 - 2016,,,1.07,,,,,,,,,
,,2016 - 2017,,,1.4,,,,,,,,,
,,2017 - 2018,,,1.42,,,,,,,,,
,,2018 - 2019,,,1.4,,,,,,,,,
,,2019 - 2020,,,1.43,,,,,,,,,
,,2020 - 2021,,,1.53,,,,,,,,,
,,2021 - 2022,,,1.39,,,,,,,,,
,,2022 - 2023,,,1.64,,,,,,,,,
,Mirzapur,2000 - 2001,,,0.28,,,,,,,,,
,,2001 - 2002,,,0.49,,,,,,,,,
,,2002 - 2003,,,0.55,,,,,,,,,
,,2003 - 2004,,,0.63,,,,,,,,,
,,2004 - 2005,,,0.7,,,,,,,,,
,,2005 - 2006,,,0.45,,,,,,,,,
,,2006 - 2007,,,0.56,,,,,,,,,
,,2007 - 2008,,,0.45,,,,,,,,,
,,2008 - 2009,,,0.59,,,,,,,,,
,,2009 - 2010,,,0.65,,,,,,,,,
,,2010 - 2011,,,0.54,,,,,,,,,
,,2011 - 2012,,,0.62,,,,,,,,,
,,2012 - 2013,,,0.54,,,,,,,,,
,,2013 - 2014,,,0.8,,,,,,,,,
,,2014 - 2015,,,0.63,,,,,,,,,
,,2015 - 2016,,,0.5,,,,,,,,,
,,2016 - 2017,,,0.73,,,,,,,,,
,,2017 - 2018,,,0.76,,,,,,,,,
,,2018 - 2019,,,0.84,,,,,,,,,
,,2019 - 2020,,,0.81,,,,,,,,,
,,2020 - 2021,,,0.84,,,,,,,,,
,,2021 - 2022,,,0.94,,,,,,,,,
,,2022 - 2023,,,1.23,,,,,,,,,
,Moradabad,2000 - 2001,,,0.95,,,,,,,,,
,,2001 - 2002,,,1.02,,,,,,,,,
,,2002 - 2003,,,0.9,,,,,,,,,
,,2003 - 2004,,,0.97,,,,,,,,,
,,2004 - 2005,,,1.0,,,,,,,,,
,,2005 - 2006,,,1.25,,,,,,,,,
,,2006 - 2007,,,1.1,,,,,,,,,
,,2007 - 2008,,,1.21,,,,,,,,,
,,2008 - 2009,,,1.08,,,,,,,,,
,,2009 - 2010,,,1.13,,,,,,,,,
,,2010 - 2011,,,1.14,,,,,,,,,
,,2011 - 2012,,,1.14,,,,,,,,,
,,2012 - 2013,,,1.24,,,,,,,,,
,,2013 - 2014,,,1.15,,,,,,,,,
,,2014 - 2015,,,0.61,,,,,,,,,
,,2015 - 2016,,,1.01,,,,,,,,,
,,2016 - 2017,,,1.18,,,,,,,,,
,,2017 - 2018,,,1.26,,,,,,,,,
,,2018 - 2019,,,1.2,,,,,,,,,
,,2019 - 2020,,,1.3,,,,,,,,,
,,2020 - 2021,,,1.37,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,
,,2022 - 2023,,,1.56,,,,,,,,,
,Muzaffarnagar,2000 - 2001,,,1.0,,,,,,,,,
,,2001 - 2002,,,1.0,,,,,,,,,
,,2002 - 2003,,,0.9,,,,,,,,,
,,2003 - 2004,,,0.99,,,,,,,,,
,,2004 - 2005,,,0.99,,,,,,,,,
,,2005 - 2006,,,1.15,,,,,,,,,
,,2006 - 2007,,,1.03,,,,,,,,,
,,2007 - 2008,,,1.16,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,1.12,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,
,,2011 - 2012,,,1.02,,,,,,,,,
,,2012 - 2013,,,1.11,,,,,,,,,
,,2013 - 2014,,,0.91,,,,,,,,,
,,2014 - 2015,,,0.6,,,,,,,,,
,,2015 - 2016,,,0.99,,,,,,,,,
,,2016 - 2017,,,1.23,,,,,,,,,
,,2017 - 2018,,,1.41,,,,,,,,,
,,2018 - 2019,,,1.4,,,,,,,,,
,,2019 - 2020,,,1.27,,,,,,,,,
,,2020 - 2021,,,1.49,,,,,,,,,
,,2021 - 2022,,,1.15,,,,,,,,,
,,2022 - 2023,,,1.49,,,,,,,,,
,Pilibhit,2000 - 2001,,,0.68,,,,,,,,,
,,2001 - 2002,,,0.77,,,,,,,,,
,,2002 - 2003,,,0.52,,,,,,,,,
,,2003 - 2004,,,0.66,,,,,,,,,
,,2004 - 2005,,,0.61,,,,,,,,,
,,2005 - 2006,,,0.68,,,,,,,,,
,,2006 - 2007,,,0.81,,,,,,,,,
,,2007 - 2008,,,0.79,,,,,,,,,
,,2008 - 2009,,,0.89,,,,,,,,,
,,2009 - 2010,,,0.79,,,,,,,,,
,,2010 - 2011,,,0.79,,,,,,,,,
,,2011 - 2012,,,0.75,,,,,,,,,
,,2012 - 2013,,,1.1,,,,,,,,,
,,2013 - 2014,,,0.88,,,,,,,,,
,,2014 - 2015,,,0.63,,,,,,,,,
,,2015 - 2016,,,0.83,,,,,,,,,
,,2016 - 2017,,,0.87,,,,,,,,,
,,2017 - 2018,,,0.83,,,,,,,,,
,,2018 - 2019,,,0.91,,,,,,,,,
,,2019 - 2020,,,0.86,,,,,,,,,
,,2020 - 2021,,,1.01,,,,,,,,,
,,2021 - 2022,,,0.9,,,,,,,,,
,,2022 - 2023,,,1.32,,,,,,,,,
,Pratapgarh,2000 - 2001,,,0.78,,,,,,,,,
,,2001 - 2002,,,0.95,,,,,,,,,
,,2002 - 2003,,,0.74,,,,,,,,,
,,2003 - 2004,,867.0,0.63,,,,,,,,,
,,2004 - 2005,,,0.74,,,,,,,,,
,,2005 - 2006,,,0.84,,,,,,,,,
,,2006 - 2007,,,0.63,,,,,,,,,
,,2007 - 2008,,,0.81,,,,,,,,,
,,2008 - 2009,,,0.9,,,,,,,,,
,,2009 - 2010,,,0.92,,,,,,,,,
,,2010 - 2011,,,0.94,,,,,,,,,
,,2011 - 2012,,,0.94,,,,,,,,,
,,2012 - 2013,,,1.01,,,,,,,,,
,,2013 - 2014,,,0.81,,,,,,,,,
,,2014 - 2015,,683.0,0.41,,,,,,,,,
,,2015 - 2016,,,0.64,,,,,,,,,
,,2016 - 2017,,,1.12,,,,,,,,,
,,2017 - 2018,,,1.25,,,,,,,,,
,,2018 - 2019,,,1.13,,,,,,,,,
,,2019 - 2020,,,1.1,,,,,,,,,
,,2020 - 2021,,,1.24,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,
,,2022 - 2023,,,1.4,,,,,,,,,
,Rae bareli,2000 - 2001,,,0.74,,,,,,,,,
,,2001 - 2002,,,0.73,,,,,,,,,
,,2002 - 2003,,,0.79,,,,,,,,,
,,2003 - 2004,,,0.74,,,,,,,,,
,,2004 - 2005,,,0.92,,,,,,,,,
,,2005 - 2006,,,0.66,,,,,,,,,
,,2006 - 2007,,,0.73,,,,,,,,,
,,2007 - 2008,,,1.24,,,,,,,,,
,,2008 - 2009,,,0.93,,,,,,,,,
,,2009 - 2010,,,0.74,,,,,,,,,
,,2010 - 2011,,,0.74,,,,,,,,,
,,2011 - 2012,,,0.84,,,,,,,,,
,,2012 - 2013,,,1.03,,,,,,,,,
,,2013 - 2014,,,0.76,,,,,,,,,
,,2014 - 2015,,,0.6,,,,,,,,,
,,2015 - 2016,,,0.38,,,,,,,,,
,,2016 - 2017,,,0.66,,,,,,,,,
,,2017 - 2018,,,0.75,,,,,,,,,
,,2018 - 2019,,,0.62,,,,,,,,,
,,2019 - 2020,,,0.75,,,,,,,,,
,,2020 - 2021,,,0.53,,,,,,,,,
,,2021 - 2022,,,0.68,,,,,,,,,
,,2022 - 2023,,,0.81,,,,,,,,,
,Rampur,2000 - 2001,,,0.92,,,,,,,,,
,,2001 - 2002,,,1.24,,,,,,,,,
,,2002 - 2003,,,0.73,,,,,,,,,
,,2003 - 2004,,,1.1,,,,,,,,,
,,2004 - 2005,,,1.27,,,,,,,,,
,,2005 - 2006,,,1.19,,,,,,,,,
,,2006 - 2007,,,0.97,,,,,,,,,
,,2007 - 2008,,,0.95,,,,,,,,,
,,2008 - 2009,,,1.04,,,,,,,,,
,,2009 - 2010,,,1.07,,,,,,,,,
,,2010 - 2011,,,1.13,,,,,,,,,
,,2011 - 2012,,,1.21,,,,,,,,,
,,2012 - 2013,,,1.12,,,,,,,,,
,,2013 - 2014,,,1.13,,,,,,,,,
,,2014 - 2015,,,0.68,,,,,,,,,
,,2015 - 2016,,,0.84,,,,,,,,,
,,2016 - 2017,,,1.38,,,,,,,,,
,,2017 - 2018,,,1.02,,,,,,,,,
,,2018 - 2019,,,1.15,,,,,,,,,
,,2019 - 2020,,,1.19,,,,,,,,,
,,2020 - 2021,,,1.44,,,,,,,,,
,,2021 - 2022,,,1.4,,,,,,,,,
,,2022 - 2023,,,1.43,,,,,,,,,
,Saharanpur,2000 - 2001,946.0,945.0,1.0,,,,,,,,,
,,2001 - 2002,958.0,963.0,1.01,,,,,,,,,
,,2002 - 2003,877.0,785.0,0.9,,,,,,,,,
,,2003 - 2004,957.0,950.0,0.99,,,,,,,,,
,,2004 - 2005,,,0.99,,,,,,,,,
,,2005 - 2006,980.0,,1.15,,,,,,,,,
,,2006 - 2007,,,1.03,,,,,,,,,
,,2007 - 2008,,,1.16,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,1.11,,,,,,,,,
,,2010 - 2011,,,1.19,,,,,,,,,
,,2011 - 2012,,,1.02,,,,,,,,,
,,2012 - 2013,,,1.11,,,,,,,,,
,,2013 - 2014,876.0,795.0,0.91,,,,,,,,,
,,2014 - 2015,,659.0,0.6,,,,,,,,,
,,2015 - 2016,,,0.98,,,,,,,,,
,,2016 - 2017,980.0,,1.17,,,,,,,,,
,,2017 - 2018,963.0,,1.45,,,,,,,,,
,,2018 - 2019,917.0,,1.46,,,,,,,,,
,,2019 - 2020,857.0,,1.41,,,,,,,,,
,,2020 - 2021,983.0,,1.54,,,,,,,,,
,,2021 - 2022,,,1.24,,,,,,,,,
,,2022 - 2023,,,1.61,,,,,,,,,
,Sambhal,2012 - 2013,,,1.48,,,,,,,,,
,,2013 - 2014,,,1.34,,,,,,,,,
,,2014 - 2015,,,0.97,,,,,,,,,
,,2015 - 2016,,,1.27,,,,,,,,,
,,2016 - 2017,,,1.38,,,,,,,,,
,,2017 - 2018,,,1.51,,,,,,,,,
,,2018 - 2019,,,1.47,,,,,,,,,
,,2019 - 2020,,,1.6,,,,,,,,,
,,2020 - 2021,,,1.64,,,,,,,,,
,,2021 - 2022,,,1.32,,,,,,,,,
,,2022 - 2023,,,1.61,,,,,,,,,
,Sant kabeer nagar,2000 - 2001,,,1.08,,,,,,,,,
,,2001 - 2002,,,0.81,,,,,,,,,
,,2002 - 2003,,,0.62,,,,,,,,,
,,2003 - 2004,,,0.61,,,,,,,,,
,,2004 - 2005,,,0.99,,,,,,,,,
,,2005 - 2006,,,1.16,,,,,,,,,
,,2006 - 2007,,,1.03,,,,,,,,,
,,2007 - 2008,,,1.16,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,1.12,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,
,,2011 - 2012,,,1.14,,,,,,,,,
,,2012 - 2013,,,1.26,,,,,,,,,
,,2013 - 2014,,,1.02,,,,,,,,,
,,2014 - 2015,,,0.78,,,,,,,,,
,,2015 - 2016,,,1.02,,,,,,,,,
,,2016 - 2017,,,1.09,,,,,,,,,
,,2017 - 2018,,,1.1,,,,,,,,,
,,2018 - 2019,,,1.13,,,,,,,,,
,,2019 - 2020,,,0.83,,,,,,,,,
,,2020 - 2021,,,1.04,,,,,,,,,
,,2021 - 2022,,,1.37,,,,,,,,,
,,2022 - 2023,,,1.5,,,,,,,,,
,Sant ravidas nagar,2000 - 2001,170.0,48.0,0.28,,,,,,,,,
,,2001 - 2002,165.0,81.0,0.49,,,,,,,,,
,,2002 - 2003,99.0,46.0,0.46,,,,,,,,,
,,2003 - 2004,92.0,46.0,0.5,,,,,,,,,
,,2004 - 2005,112.0,59.0,0.53,,,,,,,,,
,,2005 - 2006,110.0,50.0,0.45,,,,,,,,,
,,2006 - 2007,288.0,153.0,0.53,,,,,,,,,
,,2007 - 2008,124.0,56.0,0.45,,,,,,,,,
,,2008 - 2009,107.0,60.0,0.56,,,,,,,,,
,,2009 - 2010,126.0,74.0,0.59,,,,,,,,,
,,2010 - 2011,150.0,86.0,0.57,,,,,,,,,
,,2011 - 2012,154.0,81.0,0.53,,,,,,,,,
,,2012 - 2013,154.0,81.0,0.53,,,,,,,,,
,,2013 - 2014,147.0,96.0,0.65,,,,,,,,,
,,2014 - 2015,148.0,73.0,0.49,,,,,,,,,
,,2015 - 2016,190.0,84.0,0.44,,,,,,,,,
,,2016 - 2017,354.0,235.0,0.66,,,,,,,,,
,,2017 - 2018,131.0,86.0,0.66,,,,,,,,,
,,2018 - 2019,139.0,99.0,0.71,,,,,,,,,
,,2019 - 2020,176.0,125.0,0.71,,,,,,,,,
,,2020 - 2021,133.0,130.0,0.98,,,,,,,,,
,,2021 - 2022,173.0,150.0,0.87,,,,,,,,,
,,2022 - 2023,376.0,472.0,1.26,,,,,,,,,
,Shahjahanpur,2000 - 2001,,,0.79,,,,,,,,,
,,2001 - 2002,,,0.84,,,,,,,,,
,,2002 - 2003,,,0.75,,,,,,,,,
,,2003 - 2004,,,0.68,,,,,,,,,
,,2004 - 2005,,,0.67,,,,,,,,,
,,2005 - 2006,,,0.96,,,,,,,,,
,,2006 - 2007,,,0.93,,,,,,,,,
,,2007 - 2008,,,0.95,,,,,,,,,
,,2008 - 2009,,,0.7,,,,,,,,,
,,2009 - 2010,,,0.85,,,,,,,,,
,,2010 - 2011,,,0.85,,,,,,,,,
,,2011 - 2012,,,0.84,,,,,,,,,
,,2012 - 2013,,,0.96,,,,,,,,,
,,2013 - 2014,,,0.77,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,
,,2015 - 2016,,,0.87,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,
,,2017 - 2018,,,1.23,,,,,,,,,
,,2018 - 2019,,,1.8,,,,,,,,,
,,2019 - 2020,,,1.24,,,,,,,,,
,,2020 - 2021,,,1.57,,,,,,,,,
,,2021 - 2022,,,1.0,,,,,,,,,
,,2022 - 2023,,,1.56,,,,,,,,,
,Shamli,2012 - 2013,829.0,924.0,1.11,,,,,,,,,
,,2013 - 2014,,,0.91,,,,,,,,,
,,2014 - 2015,940.0,562.0,0.6,,,,,,,,,
,,2015 - 2016,,,0.98,,,,,,,,,
,,2016 - 2017,951.0,938.0,0.99,,,,,,,,,
,,2017 - 2018,,,1.61,,,,,,,,,
,,2018 - 2019,933.0,,1.77,,,,,,,,,
,,2019 - 2020,,,1.67,,,,,,,,,
,,2020 - 2021,,,1.78,,,,,,,,,
,,2021 - 2022,,,1.65,,,,,,,,,
,,2022 - 2023,,,1.78,,,,,,,,,
,Shravasti,2000 - 2001,,,0.61,,,,,,,,,
,,2001 - 2002,,,0.66,,,,,,,,,
,,2002 - 2003,,,0.6,,,,,,,,,
,,2003 - 2004,,,0.62,,,,,,,,,
,,2004 - 2005,,,0.64,,,,,,,,,
,,2005 - 2006,,,0.78,,,,,,,,,
,,2006 - 2007,,,0.9,,,,,,,,,
,,2007 - 2008,,,0.75,,,,,,,,,
,,2008 - 2009,,,0.71,,,,,,,,,
,,2009 - 2010,,,0.74,,,,,,,,,
,,2010 - 2011,,,0.62,,,,,,,,,
,,2011 - 2012,,909.0,0.34,,,,,,,,,
,,2012 - 2013,,,0.58,,,,,,,,,
,,2013 - 2014,,,0.72,,,,,,,,,
,,2014 - 2015,,,0.57,,,,,,,,,
,,2015 - 2016,,,0.72,,,,,,,,,
,,2016 - 2017,,,0.73,,,,,,,,,
,,2017 - 2018,,,0.67,,,,,,,,,
,,2018 - 2019,,,0.69,,,,,,,,,
,,2019 - 2020,,,0.67,,,,,,,,,
,,2020 - 2021,,,0.66,,,,,,,,,
,,2021 - 2022,,,0.54,,,,,,,,,
,,2022 - 2023,,,0.85,,,,,,,,,
,Siddharth nagar,2000 - 2001,,,1.08,,,,,,,,,
,,2001 - 2002,,,0.81,,,,,,,,,
,,2002 - 2003,,,0.62,,,,,,,,,
,,2003 - 2004,,,0.56,,,,,,,,,
,,2004 - 2005,,,0.99,,,,,,,,,
,,2005 - 2006,,,1.16,,,,,,,,,
,,2006 - 2007,,,1.03,,,,,,,,,
,,2007 - 2008,,,1.16,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,1.12,,,,,,,,,
,,2010 - 2011,,,1.2,,,,,,,,,
,,2011 - 2012,,,1.14,,,,,,,,,
,,2012 - 2013,,,1.26,,,,,,,,,
,,2013 - 2014,,,1.02,,,,,,,,,
,,2014 - 2015,,,0.78,,,,,,,,,
,,2015 - 2016,,,1.02,,,,,,,,,
,,2016 - 2017,,,1.09,,,,,,,,,
