state,district,year,rapeseed_and_mustard_rabi_area_hectare,rapeseed_and_mustard_rabi_production_tonne,rapeseed_and_mustard_rabi_yield_tonne_per_hectare,rapeseed_and_mustard_kharif_area_hectare,rapeseed_and_mustard_kharif_production_tonne,rapeseed_and_mustard_kharif_yield_tonne_per_hectare,rapeseed_and_mustard_winter_area_hectare,rapeseed_and_mustard_winter_production_tonne,rapeseed_and_mustard_winter_yield_tonne_per_hectare,rapeseed_and_mustard_whole_year_area_hectare,rapeseed_and_mustard_whole_year_production_tonne,rapeseed_and_mustard_whole_year_yield_tonne_per_hectare
,,2021 - 2022,112.0,173.0,1.54,,,,,,,,,
,,2022 - 2023,119.0,175.0,1.47,,,,,,,,,
,West kameng,2016 - 2017,187.0,341.0,1.82,,,,,,,,,
,,2017 - 2018,198.0,352.0,1.78,,,,,,,,,
,,2018 - 2019,198.0,352.0,1.78,,,,,,,,,
,,2019 - 2020,200.0,353.0,1.77,,,,,,,,,
,,2020 - 2021,201.0,363.0,1.81,,,,,,,,,
,,2021 - 2022,213.0,381.0,1.79,,,,,,,,,
,,2022 - 2023,215.0,391.0,1.82,,,,,,,,,
,West siang,2016 - 2017,,,1.38,,,,,,,,,
,,2017 - 2018,,,1.38,,,,,,,,,
,,2018 - 2019,941.0,663.0,0.7,,,,,,,,,
,,2019 - 2020,491.0,341.0,0.69,,,,,,,,,
,,2020 - 2021,492.0,345.0,0.7,,,,,,,,,
,,2021 - 2022,506.0,373.0,0.74,,,,,,,,,
,,2022 - 2023,498.0,435.0,0.87,,,,,,,,,
Assam,Baksa,2005 - 2006,,,0.44,,,,,,,,,
,,2006 - 2007,,,0.49,,,,,,,,,
,,2007 - 2008,,,0.65,,,,,,,,,
,,2008 - 2009,,,0.6,,,,,,,,,
,,2009 - 2010,,,0.29,,,,,,,,,
,,2010 - 2011,,,0.36,,,,,,,,,
,,2011 - 2012,,,0.51,,,,,,,,,
,,2012 - 2013,,,0.53,,,,,,,,,
,,2013 - 2014,,,0.59,,,,,,,,,
,,2014 - 2015,,,0.52,,,,,,,,,
,,2015 - 2016,,,0.57,,,,,,,,,
,,2016 - 2017,,,0.57,,,,,,,,,
,,2017 - 2018,,,0.6,,,,,,,,,
,,2018 - 2019,,,0.63,,,,,,,,,
,,2019 - 2020,,,0.65,,,,,,,,,
,,2020 - 2021,,,0.54,,,,,,,,,
,,2021 - 2022,,,0.7,,,,,,,,,
