state,district,year,onion_kharif_area_hectare,onion_kharif_production_tonne,onion_kharif_yield_tonne_per_hectare,onion_rabi_area_hectare,onion_rabi_production_tonne,onion_rabi_yield_tonne_per_hectare,onion_whole_year_area_hectare,onion_whole_year_production_tonne,onion_whole_year_yield_tonne_per_hectare,onion_summer_area_hectare,onion_summer_production_tonne,onion_summer_yield_tonne_per_hectare
,,2018 - 2019,,,,,,,53.0,708.0,13.36,,,
,,2019 - 2020,,,,,,,65.0,879.0,13.52,,,
,,2020 - 2021,,,,,,,65.0,879.0,13.52,,,
,,2021 - 2022,,,,,,,76.0,,13.51,,,
,,2022 - 2023,,,,,,,143.0,,13.52,,,
,Charaideo,2020 - 2021,,,,,,,29.0,117.0,4.03,,,
,,2021 - 2022,,,,,,,30.0,121.0,4.03,,,
,,2022 - 2023,,,,,,,38.0,165.0,4.34,,,
,Chirang,2005 - 2006,,,,,,,81.0,162.0,2.0,,,
,,2006 - 2007,,,,,,,140.0,280.0,2.0,,,
,,2007 - 2008,,,,,,,145.0,290.0,2.0,,,
,,2008 - 2009,,,,,,,190.0,381.0,2.01,,,
,,2009 - 2010,,,,,,,158.0,316.0,2.0,,,
,,2010 - 2011,,,,,,,195.0,390.0,2.0,,,
,,2011 - 2012,,,,,,,181.0,547.0,3.02,,,
,,2012 - 2013,,,,,,,200.0,629.0,3.15,,,
,,2013 - 2014,,,,,,,182.0,573.0,3.15,,,
,,2014 - 2015,,,,,,,199.0,629.0,3.16,,,
,,2015 - 2016,,,,,,,200.0,635.0,3.18,,,
,,2016 - 2017,,,,,,,239.0,851.0,3.56,,,
,,2017 - 2018,,,,,,,294.0,,3.56,,,
,,2018 - 2019,,,,,,,244.0,908.0,3.72,,,
,,2019 - 2020,,,,,,,279.0,,3.82,,,
,,2020 - 2021,,,,,,,327.0,,6.84,,,
,,2021 - 2022,,,,,,,246.0,,6.84,,,
,,2022 - 2023,,,,,,,300.0,,6.86,,,
,Darrang,2000 - 2001,,,,,,,560.0,,2.5,,,
,,2001 - 2002,,,,,,,605.0,,2.5,,,
,,2002 - 2003,,,,,,,620.0,,2.5,,,
,,2003 - 2004,,,,,,,620.0,,2.5,,,
,,2004 - 2005,,,,,,,625.0,,2.5,,,
,,2005 - 2006,,,,,,,313.0,783.0,2.5,,,
,,2006 - 2007,,,,,,,295.0,738.0,2.5,,,
,,2007 - 2008,,,,,,,325.0,813.0,2.5,,,
,,2008 - 2009,,,,,,,275.0,688.0,2.5,,,
,,2009 - 2010,,,,,,,268.0,670.0,2.5,,,
,,2010 - 2011,,,,,,,302.0,755.0,2.5,,,
,,2011 - 2012,,,,,,,448.0,,4.63,,,
,,2012 - 2013,,,,,,,392.0,,4.73,,,
,,2013 - 2014,,,,,,,552.0,,6.42,,,
,,2014 - 2015,,,,,,,632.0,,6.42,,,
,,2015 - 2016,,,,,,,608.0,,18.96,,,
,,2016 - 2017,,,,,,,616.0,,18.96,,,
,,2017 - 2018,,,,,,,619.0,,18.98,,,
,,2018 - 2019,,,,,,,612.0,,18.95,,,
,,2019 - 2020,,,,,,,620.0,,18.97,,,
,,2020 - 2021,,,,,,,628.0,,18.97,,,
,,2021 - 2022,,,,,,,626.0,,17.97,,,
,,2022 - 2023,,,,,,,629.0,,18.97,,,
,Dhemaji,2000 - 2001,,,,,,,145.0,389.0,2.68,,,
,,2001 - 2002,,,,,,,153.0,409.0,2.67,,,
,,2002 - 2003,,,,,,,153.0,409.0,2.67,,,
,,2003 - 2004,,,,,,,158.0,423.0,2.68,,,
,,2004 - 2005,,,,,,,76.0,193.0,2.54,,,
,,2005 - 2006,,,,,,,124.0,328.0,2.65,,,
,,2006 - 2007,,,,,,,100.0,263.0,2.63,,,
,,2007 - 2008,,,,,,,107.0,300.0,2.8,,,
,,2008 - 2009,,,,,,,107.0,300.0,2.8,,,
,,2009 - 2010,,,,,,,105.0,289.0,2.75,,,
,,2010 - 2011,,,,,,,105.0,289.0,2.75,,,
,,2011 - 2012,,,,,,,110.0,165.0,1.5,,,
,,2012 - 2013,,,,,,,113.0,195.0,1.73,,,
,,2013 - 2014,,,,,,,118.0,204.0,1.73,,,
,,2014 - 2015,,,,,,,206.0,357.0,1.73,,,
,,2015 - 2016,,,,,,,201.0,352.0,1.75,,,
,,2016 - 2017,,,,,,,151.0,365.0,2.42,,,
,,2017 - 2018,,,,,,,145.0,353.0,2.43,,,
,,2018 - 2019,,,,,,,142.0,369.0,2.6,,,
,,2019 - 2020,,,,,,,136.0,424.0,3.12,,,
,,2020 - 2021,,,,,,,133.0,415.0,3.12,,,
,,2021 - 2022,,,,,,,110.0,343.0,3.12,,,
,,2022 - 2023,,,,,,,100.0,319.0,3.19,,,
,Dhubri,2000 - 2001,,,,,,,962.0,,2.6,,,
,,2001 - 2002,,,,,,,825.0,,2.6,,,
,,2002 - 2003,,,,,,,843.0,,2.6,,,
,,2003 - 2004,,,,,,,838.0,,2.6,,,
,,2004 - 2005,,,,,,,850.0,,2.6,,,
,,2005 - 2006,,,,,,,726.0,,2.6,,,
,,2006 - 2007,,,,,,,722.0,,2.6,,,
,,2007 - 2008,,,,,,,637.0,,2.6,,,
,,2008 - 2009,,,,,,,664.0,,2.6,,,
,,2009 - 2010,,,,,,,640.0,,2.6,,,
,,2010 - 2011,,,,,,,550.0,,2.6,,,
,,2011 - 2012,,,,,,,550.0,,3.07,,,
,,2012 - 2013,,,,,,,510.0,,3.28,,,
,,2013 - 2014,,,,,,,515.0,,3.28,,,
,,2014 - 2015,,,,,,,516.0,,3.28,,,
,,2015 - 2016,,,,,,,581.0,,17.56,,,
,,2016 - 2017,,,,,,,529.0,,17.57,,,
,,2017 - 2018,,,,,,,542.0,,17.57,,,
,,2018 - 2019,,,,,,,526.0,,18.66,,,
,,2019 - 2020,,,,,,,538.0,,19.76,,,
,,2020 - 2021,,,,,,,280.0,,18.1,,,
,,2021 - 2022,,,,,,,280.0,,18.1,,,
,,2022 - 2023,,,,,,,475.0,,18.1,,,
,Dibrugarh,2000 - 2001,,,,,,,55.0,85.0,1.55,,,
,,2001 - 2002,,,,,,,60.0,111.0,1.85,,,
,,2002 - 2003,,,,,,,56.0,92.0,1.64,,,
,,2003 - 2004,,,,,,,58.0,98.0,1.69,,,
,,2004 - 2005,,,,,,,52.0,90.0,1.73,,,
,,2005 - 2006,,,,,,,62.0,105.0,1.69,,,
,,2006 - 2007,,,,,,,46.0,78.0,1.7,,,
,,2007 - 2008,,,,,,,30.0,51.0,1.7,,,
,,2008 - 2009,,,,,,,39.0,66.0,1.69,,,
,,2009 - 2010,,,,,,,47.0,80.0,1.7,,,
,,2010 - 2011,,,,,,,48.0,82.0,1.71,,,
,,2011 - 2012,,,,,,,55.0,163.0,2.96,,,
,,2012 - 2013,,,,,,,76.0,226.0,2.97,,,
,,2013 - 2014,,,,,,,69.0,205.0,2.97,,,
,,2014 - 2015,,,,,,,81.0,242.0,2.99,,,
,,2015 - 2016,,,,,,,72.0,216.0,3.0,,,
