state,district,year,onion_kharif_area_hectare,onion_kharif_production_tonne,onion_kharif_yield_tonne_per_hectare,onion_rabi_area_hectare,onion_rabi_production_tonne,onion_rabi_yield_tonne_per_hectare,onion_whole_year_area_hectare,onion_whole_year_production_tonne,onion_whole_year_yield_tonne_per_hectare,onion_summer_area_hectare,onion_summer_production_tonne,onion_summer_yield_tonne_per_hectare
,,2020 - 2021,4.0,53.0,13.25,66.0,,24.8,,,,,,
,,2021 - 2022,4.0,64.0,16.0,78.0,,23.44,,,,,,
,,2022 - 2023,,,,9.0,230.0,25.56,,,,,,
,Suryapet,2019 - 2020,9.0,201.0,22.33,,,,,,,,,
,,2020 - 2021,,,,2.0,65.0,32.5,,,,,,
,,2021 - 2022,1.0,16.0,16.0,3.0,70.0,23.33,,,,,,
,,2022 - 2023,1.0,11.0,11.0,,,,,,,,,
,Vikarabad,2016 - 2017,34.0,702.0,20.65,,,39.59,,,,,,
,,2017 - 2018,42.0,769.0,18.31,,,43.31,,,,,,
,,2018 - 2019,49.0,641.0,13.08,,,30.36,,,,,,
,,2019 - 2020,120.0,,22.32,,,50.77,,,,,,
,,2020 - 2021,116.0,,13.28,,,43.8,,,,,,
,,2021 - 2022,205.0,,8.68,,,21.21,,,,,,
,,2022 - 2023,45.0,638.0,14.18,,,27.01,,,,,,
,Wanaparthy,2016 - 2017,730.0,,14.93,21.0,690.0,32.86,,,,,,
,,2017 - 2018,556.0,,18.0,159.0,,36.36,,,,,,
,,2018 - 2019,609.0,,13.83,29.0,845.0,29.14,,,,,,
,,2019 - 2020,317.0,,31.7,226.0,,34.25,,,,,,
,,2020 - 2021,660.0,,15.64,235.0,,32.51,,,,,,
,,2021 - 2022,859.0,,24.78,42.0,984.0,23.43,,,,,,
,,2022 - 2023,717.0,,15.62,22.0,562.0,25.55,,,,,,
,Warangal,2000 - 2001,5.0,56.0,11.2,276.0,,25.14,,,,,,
,,2001 - 2002,,,,191.0,,26.13,,,,,,
,,2002 - 2003,,,,213.0,,24.99,,,,,,
,,2003 - 2004,7.0,75.0,10.71,168.0,,27.71,,,,,,
,,2004 - 2005,6.0,61.0,10.17,219.0,,22.33,,,,,,
,,2005 - 2006,51.0,659.0,12.92,306.0,,19.9,,,,,,
,,2006 - 2007,26.0,391.0,15.04,332.0,,24.85,,,,,,
,,2008 - 2009,46.0,661.0,14.37,216.0,,22.55,,,,,,
,,2009 - 2010,15.0,261.0,17.4,450.0,,24.27,,,,,,
,,2010 - 2011,31.0,515.0,16.61,272.0,,19.18,,,,,,
,,2011 - 2012,,,,257.0,,27.3,,,,,,
,,2013 - 2014,4.0,75.0,18.75,192.0,,33.34,,,,,,
,,2014 - 2015,,,,173.0,,27.31,,,,,,
,,2015 - 2016,6.0,85.0,14.17,301.0,,30.15,,,,,,
,,2016 - 2017,4.0,60.0,15.0,138.0,,32.84,,,,,,
,,2017 - 2018,,,,256.0,,36.37,,,,,,
,,2018 - 2019,,,,301.0,,29.15,,,,,,
,,2019 - 2020,4.0,89.0,22.25,148.0,,34.25,,,,,,
,,2020 - 2021,2.0,27.0,13.5,139.0,,32.51,,,,,,
,,2021 - 2022,3.0,48.0,16.0,86.0,,23.43,,,,,,
,,2022 - 2023,,,,42.0,,25.55,,,,,,
,Warangal urban,2016 - 2017,,,,102.0,,32.84,,,,,,
,,2017 - 2018,8.0,147.0,18.38,212.0,,36.37,,,,,,
,,2018 - 2019,13.0,170.0,13.08,194.0,,29.15,,,,,,
,,2019 - 2020,,,,126.0,,34.25,,,,,,
,,2020 - 2021,9.0,119.0,13.22,97.0,,32.51,,,,,,
,,2021 - 2022,16.0,257.0,16.06,79.0,,23.43,,,,,,
,,2022 - 2023,2.0,21.0,10.5,24.0,613.0,25.54,,,,,,
,Yadadri,2016 - 2017,,,,2.0,66.0,33.0,,,,,,
,,2017 - 2018,,,,1.0,36.0,36.0,,,,,,
,,2019 - 2020,,,,3.0,103.0,34.33,,,,,,
,,2020 - 2021,,,,4.0,130.0,32.5,,,,,,
,,2021 - 2022,,,,47.0,,23.43,,,,,,
,,2022 - 2023,,,,2.0,51.0,25.5,,,,,,
Uttar Pradesh,Agra,2002 - 2003,,,,38.0,392.0,10.32,,,,25.0,279.0,11.16
,,2003 - 2004,,,,45.0,646.0,14.36,,,,24.0,237.0,9.88
,,2004 - 2005,,,,,,,61.0,702.0,11.51,,,
,,2005 - 2006,,,,,,,146.0,,12.83,,,
,,2006 - 2007,,,,21.0,403.0,19.19,,,,45.0,524.0,11.64
,,2007 - 2008,,,,53.0,741.0,13.98,,,,27.0,444.0,16.44
,,2008 - 2009,,,,71.0,832.0,11.72,,,,,,
,,2009 - 2010,,,,92.0,,17.17,,,,25.0,350.0,14.0
,,2010 - 2011,,,,58.0,,18.41,,,,,,
,,2011 - 2012,,,,87.0,,22.87,,,,65.0,759.0,11.68
,,2012 - 2013,,,,72.0,,23.0,,,,57.0,541.0,9.49
,,2013 - 2014,,,,28.0,570.0,20.36,,,,96.0,,12.13
,,2014 - 2015,,,,97.0,,15.3,,,,79.0,,16.15
,,2015 - 2016,,,,104.0,,11.77,,,,64.0,933.0,14.58
,,2016 - 2017,,,,15.0,209.0,13.93,,,,67.0,778.0,11.61
,,2017 - 2018,,,,35.0,511.0,14.6,,,,54.0,977.0,18.09
,,2018 - 2019,,,,94.0,,15.48,,,,67.0,,17.06
,,2019 - 2020,,,,81.0,,14.26,,,,49.0,,20.45
,,2020 - 2021,,,,116.0,,14.99,,,,170.0,,16.84
,,2021 - 2022,,,,59.0,957.0,16.22,,,,70.0,,16.03
,,2022 - 2023,,,,125.0,,15.45,,,,14.0,232.0,16.57
,Aligarh,2002 - 2003,,,,57.0,588.0,10.32,,,,46.0,514.0,11.17
,,2003 - 2004,,,,48.0,689.0,14.35,,,,77.0,760.0,9.87
,,2004 - 2005,,,,,,,97.0,,11.45,,,
,,2005 - 2006,,,,,,,268.0,,12.85,,,
,,2006 - 2007,,,,59.0,,19.19,,,,83.0,967.0,11.65
,,2007 - 2008,,,,39.0,545.0,13.97,,,,32.0,526.0,16.44
,,2008 - 2009,,,,93.0,,11.72,,,,,,
,,2009 - 2010,,,,49.0,841.0,17.16,,,,54.0,750.0,13.89
,,2010 - 2011,,,,26.0,479.0,18.42,,,,,,
,,2011 - 2012,,,,52.0,,22.88,,,,82.0,888.0,10.83
,,2012 - 2013,,,,31.0,713.0,23.0,,,,32.0,348.0,10.88
,,2013 - 2014,,,,31.0,631.0,20.35,,,,57.0,767.0,13.46
,,2014 - 2015,,,,47.0,719.0,15.3,,,,82.0,,15.12
,,2015 - 2016,,,,115.0,,11.77,,,,151.0,,13.58
,,2016 - 2017,,,,44.0,613.0,13.93,,,,98.0,,13.53
,,2017 - 2018,,,,56.0,818.0,14.61,,,,47.0,676.0,14.38
,,2018 - 2019,,,,143.0,,15.48,,,,79.0,930.0,11.77
,,2019 - 2020,,,,93.0,,14.26,,,,74.0,,16.36
,,2020 - 2021,,,,47.0,705.0,15.0,,,,74.0,,16.42
,,2021 - 2022,,,,54.0,876.0,16.22,,,,69.0,,16.03
,,2022 - 2023,,,,89.0,,15.45,,,,311.0,,16.74
,Allahabad,2003 - 2004,,,,281.0,,14.35,,,,72.0,710.0,9.86
,,2004 - 2005,,,,,,,301.0,,10.64,,,
,,2005 - 2006,,,,,,,191.0,,12.83,,,
,,2006 - 2007,,,,253.0,,19.18,,,,79.0,920.0,11.65
,,2007 - 2008,,,,282.0,,13.98,,,,120.0,,13.5
,,2008 - 2009,,,,329.0,,11.72,,,,,,
,,2009 - 2010,,,,303.0,,18.72,,,,59.0,820.0,13.9
,,2010 - 2011,,,,208.0,,18.41,,,,,,
,,2011 - 2012,,,,393.0,,22.88,,,,71.0,769.0,10.83
,,2012 - 2013,,,,351.0,,23.0,,,,76.0,827.0,10.88
,,2013 - 2014,,,,351.0,,20.34,,,,106.0,,13.45
,,2014 - 2015,,,,324.0,,15.3,,,,101.0,,15.12
,,2015 - 2016,,,,400.0,,11.77,,,,115.0,,13.57
,,2016 - 2017,,,,350.0,,13.93,,,,67.0,906.0,13.52
,,2017 - 2018,,,,376.0,,15.68,,,,102.0,,14.38
,,2018 - 2019,,,,477.0,,12.51,,,,89.0,,11.78
,,2019 - 2020,,,,336.0,,18.32,,,,188.0,,16.37
,,2020 - 2021,,,,340.0,,18.24,,,,111.0,,16.42
,,2021 - 2022,,,,430.0,,18.96,,,,130.0,,16.02
,,2022 - 2023,,,,379.0,,18.6,,,,87.0,,16.18
,Ambedkar nagar,2002 - 2003,,,,23.0,237.0,10.3,,,,86.0,961.0,11.17
,,2003 - 2004,,,,21.0,302.0,14.38,,,,91.0,927.0,10.19
,,2004 - 2005,,,,,,,113.0,,11.85,,,
,,2005 - 2006,,,,,,,124.0,,12.9,,,
,,2006 - 2007,,,,23.0,441.0,19.17,,,,81.0,943.0,11.64
,,2007 - 2008,,,,31.0,433.0,13.97,,,,81.0,,19.15
,,2008 - 2009,,,,52.0,609.0,11.71,,,,,,
,,2009 - 2010,,,,45.0,773.0,17.18,,,,122.0,,14.05
,,2010 - 2011,,,,65.0,,18.42,,,,,,
,,2011 - 2012,,,,58.0,,22.88,,,,145.0,904.0,6.23
,,2012 - 2013,,,,65.0,,23.0,,,,136.0,,8.21
,,2013 - 2014,,,,97.0,,20.34,,,,156.0,,12.43
,,2014 - 2015,,,,103.0,,15.3,,,,122.0,,8.71
,,2015 - 2016,,,,105.0,,11.76,,,,126.0,,12.87
,,2016 - 2017,,,,89.0,,13.93,,,,162.0,,12.85
,,2017 - 2018,,,,64.0,935.0,14.61,,,,163.0,,12.65
,,2018 - 2019,,,,83.0,,15.48,,,,131.0,950.0,7.25
,,2019 - 2020,,,,142.0,,14.26,,,,141.0,,12.05
,,2020 - 2021,,,,131.0,,14.99,,,,172.0,,13.76
,,2021 - 2022,,,,87.0,,16.22,,,,179.0,,15.64
,,2022 - 2023,,,,257.0,,15.44,,,,197.0,,17.61
,Amethi,2011 - 2012,,,,153.0,,22.88,,,,603.0,,6.23
,,2012 - 2013,,,,165.0,,23.01,,,,531.0,,8.21
,,2013 - 2014,,,,155.0,,20.34,,,,476.0,,12.43
,,2014 - 2015,,,,177.0,,15.3,,,,435.0,,8.71
,,2015 - 2016,,,,139.0,,11.77,,,,418.0,,12.86
,,2016 - 2017,,,,59.0,822.0,13.93,,,,477.0,,12.85
,,2017 - 2018,,,,123.0,,14.61,,,,462.0,,12.65
,,2018 - 2019,,,,88.0,,15.48,,,,448.0,,7.25
,,2019 - 2020,,,,149.0,,14.26,,,,452.0,,12.05
,,2020 - 2021,,,,131.0,,15.0,,,,520.0,,13.76
,,2021 - 2022,,,,129.0,,16.22,,,,556.0,,15.63
,,2022 - 2023,,,,643.0,,15.44,,,,306.0,,18.99
,Amroha,2002 - 2003,,,,9.0,93.0,10.33,,,,21.0,235.0,11.19
,,2003 - 2004,,,,26.0,373.0,14.35,,,,5.0,49.0,9.8
,,2004 - 2005,,,,,,,3.0,35.0,11.67,,,
,,2005 - 2006,,,,,,,28.0,359.0,12.82,,,
,,2006 - 2007,,,,2.0,38.0,19.0,,,,4.0,47.0,11.75
,,2007 - 2008,,,,5.0,70.0,14.0,,,,,,
,,2008 - 2009,,,,3.0,35.0,11.67,,,,,,
,,2009 - 2010,,,,59.0,,17.17,,,,1.0,14.0,14.0
,,2010 - 2011,,,,4.0,74.0,18.5,,,,,,
,,2011 - 2012,,,,8.0,183.0,22.88,,,,,,
,,2012 - 2013,,,,10.0,230.0,23.0,,,,,,
,,2013 - 2014,,,,20.0,407.0,20.35,,,,,,
,,2014 - 2015,,,,22.0,337.0,15.32,,,,1.0,15.0,15.0
,,2015 - 2016,,,,8.0,94.0,11.75,,,,,,
,,2016 - 2017,,,,22.0,306.0,13.91,,,,,,
,,2017 - 2018,,,,20.0,292.0,14.6,,,,,,
,,2018 - 2019,,,,482.0,,15.48,,,,,,
,,2019 - 2020,,,,17.0,242.0,14.24,,,,,,
,,2020 - 2021,,,,18.0,270.0,15.0,,,,3.0,49.0,16.33
,,2022 - 2023,,,,22.0,340.0,15.45,,,,,,
,Auraiya,2002 - 2003,,,,33.0,341.0,10.33,,,,50.0,559.0,11.18
,,2003 - 2004,,,,24.0,345.0,14.38,,,,85.0,866.0,10.19
,,2004 - 2005,,,,,,,90.0,,11.8,,,
,,2005 - 2006,,,,,,,151.0,,12.87,,,
,,2006 - 2007,,,,19.0,364.0,19.16,,,,54.0,629.0,11.65
,,2007 - 2008,,,,46.0,643.0,13.98,,,,113.0,,11.35
,,2008 - 2009,,,,50.0,586.0,11.72,,,,,,
,,2009 - 2010,,,,37.0,635.0,17.16,,,,49.0,723.0,14.76
,,2010 - 2011,,,,23.0,423.0,18.39,,,,,,
,,2011 - 2012,,,,40.0,915.0,22.88,,,,63.0,714.0,11.33
,,2012 - 2013,,,,27.0,621.0,23.0,,,,51.0,581.0,11.39
,,2013 - 2014,,,,100.0,,20.34,,,,40.0,512.0,12.8
,,2014 - 2015,,,,25.0,382.0,15.28,,,,10.0,143.0,14.3
,,2015 - 2016,,,,7.0,82.0,11.71,,,,105.0,,16.73
,,2016 - 2017,,,,26.0,362.0,13.92,,,,30.0,453.0,15.1
,,2017 - 2018,,,,35.0,526.0,15.03,,,,15.0,169.0,11.27
,,2018 - 2019,,,,34.0,526.0,15.47,,,,32.0,338.0,10.56
,,2019 - 2020,,,,15.0,167.0,11.13,,,,35.0,525.0,15.0
,,2020 - 2021,,,,23.0,293.0,12.74,,,,24.0,345.0,14.38
,,2021 - 2022,,,,24.0,389.0,16.21,,,,42.0,663.0,15.79
,,2022 - 2023,,,,142.0,,16.11,,,,74.0,,15.54
,Azamgarh,2002 - 2003,,,,67.0,691.0,10.31,,,,583.0,,11.18
,,2003 - 2004,,,,90.0,,14.36,,,,651.0,,10.18
,,2004 - 2005,,,,,,,615.0,,12.08,,,
,,2005 - 2006,,,,,,,807.0,,12.91,,,
,,2006 - 2007,,,,82.0,,19.18,,,,625.0,,11.64
,,2007 - 2008,,,,114.0,,13.97,,,,625.0,,8.34
,,2008 - 2009,,,,99.0,,11.72,,,,,,
,,2009 - 2010,,,,119.0,,17.18,,,,689.0,,7.68
,,2010 - 2011,,,,86.0,,18.41,,,,,,
,,2011 - 2012,,,,82.0,,22.88,,,,546.0,,8.09
,,2012 - 2013,,,,66.0,,23.0,,,,587.0,,9.49
,,2013 - 2014,,,,79.0,,20.34,,,,614.0,,13.46
,,2014 - 2015,,,,51.0,780.0,15.29,,,,554.0,,19.16
,,2015 - 2016,,,,43.0,506.0,11.77,,,,617.0,,18.48
,,2016 - 2017,,,,121.0,,13.93,,,,623.0,,12.76
,,2017 - 2018,,,,146.0,,14.61,,,,622.0,,14.38
,,2018 - 2019,,,,74.0,455.0,6.15,,,,618.0,,8.93
,,2019 - 2020,,,,64.0,913.0,14.27,,,,605.0,,15.08
,,2020 - 2021,,,,64.0,959.0,14.98,,,,640.0,,14.7
,,2021 - 2022,,,,60.0,973.0,16.22,,,,723.0,,15.42
,,2022 - 2023,,,,705.0,,15.45,,,,278.0,,15.28
,Baghpat,2002 - 2003,,,,52.0,536.0,10.31,,,,57.0,637.0,11.18
,,2003 - 2004,,,,75.0,,14.35,,,,42.0,415.0,9.88
,,2004 - 2005,,,,,,,57.0,657.0,11.53,,,
,,2005 - 2006,,,,,,,124.0,,12.82,,,
,,2006 - 2007,,,,19.0,364.0,19.16,,,,36.0,419.0,11.64
,,2007 - 2008,,,,84.0,,13.96,,,,52.0,702.0,13.5
,,2008 - 2009,,,,56.0,657.0,11.73,,,,,,
,,2009 - 2010,,,,15.0,258.0,17.2,,,,106.0,,13.9
,,2010 - 2011,,,,24.0,442.0,18.42,,,,,,
,,2011 - 2012,,,,49.0,,22.88,,,,71.0,769.0,10.83
,,2012 - 2013,,,,35.0,805.0,23.0,,,,40.0,435.0,10.88
,,2013 - 2014,,,,27.0,549.0,20.33,,,,36.0,459.0,12.75
,,2014 - 2015,,,,15.0,229.0,15.27,,,,67.0,,15.12
,,2015 - 2016,,,,70.0,823.0,11.76,,,,24.0,326.0,13.58
,,2016 - 2017,,,,14.0,195.0,13.93,,,,29.0,392.0,13.52
,,2017 - 2018,,,,131.0,,14.61,,,,50.0,719.0,14.38
,,2018 - 2019,,,,204.0,,15.48,,,,43.0,506.0,11.77
,,2019 - 2020,,,,7.0,100.0,14.29,,,,,,
,,2020 - 2021,,,,10.0,150.0,15.0,,,,36.0,591.0,16.42
,,2021 - 2022,,,,14.0,227.0,16.21,,,,79.0,,16.03
,,2022 - 2023,,,,65.0,,15.45,,,,18.0,301.0,16.72
,Bahraich,2002 - 2003,,,,63.0,650.0,10.32,,,,281.0,,11.18
,,2003 - 2004,,,,66.0,947.0,14.35,,,,338.0,,9.87
,,2004 - 2005,,,,,,,477.0,,12.06,,,
,,2005 - 2006,,,,,,,540.0,,12.92,,,
,,2006 - 2007,,,,65.0,,19.18,,,,349.0,,11.64
,,2007 - 2008,,,,47.0,657.0,13.98,,,,707.0,,19.15
,,2008 - 2009,,,,43.0,504.0,11.72,,,,,,
,,2009 - 2010,,,,66.0,,17.18,,,,760.0,,15.37
,,2010 - 2011,,,,94.0,,18.4,,,,,,
,,2011 - 2012,,,,68.0,,22.87,,,,682.0,,9.16
,,2012 - 2013,,,,56.0,,23.0,,,,690.0,,11.69
,,2013 - 2014,,,,129.0,,20.34,,,,579.0,,13.46
,,2014 - 2015,,,,34.0,520.0,15.29,,,,548.0,,18.96
,,2015 - 2016,,,,25.0,294.0,11.76,,,,277.0,,15.01
,,2016 - 2017,,,,44.0,613.0,13.93,,,,559.0,,17.5
,,2017 - 2018,,,,65.0,949.0,14.6,,,,722.0,,16.45
,,2018 - 2019,,,,81.0,,15.48,,,,914.0,,10.68
,,2019 - 2020,,,,87.0,,14.26,,,,972.0,,22.12
,,2020 - 2021,,,,66.0,989.0,14.98,,,,579.0,,23.82
,,2021 - 2022,,,,63.0,,16.22,,,,726.0,,15.55
,,2022 - 2023,,,,715.0,,15.44,,,,178.0,,22.15
,Ballia,2002 - 2003,,,,464.0,,10.32,,,,298.0,,11.18
,,2003 - 2004,,,,358.0,,14.35,,,,191.0,,10.18
,,2004 - 2005,,,,,,,596.0,,11.08,,,
,,2005 - 2006,,,,,,,657.0,,12.83,,,
,,2006 - 2007,,,,368.0,,19.18,,,,292.0,,11.64
,,2007 - 2008,,,,405.0,,13.97,,,,693.0,,8.34
,,2008 - 2009,,,,406.0,,11.72,,,,,,
,,2009 - 2010,,,,353.0,,17.17,,,,327.0,,7.68
,,2010 - 2011,,,,447.0,,18.41,,,,,,
,,2011 - 2012,,,,507.0,,22.87,,,,328.0,,8.09
,,2012 - 2013,,,,825.0,,23.0,,,,320.0,,9.49
,,2013 - 2014,,,,602.0,,20.34,,,,306.0,,13.46
,,2014 - 2015,,,,231.0,,15.3,,,,281.0,,18.44
,,2015 - 2016,,,,275.0,,11.76,,,,298.0,,6.65
,,2016 - 2017,,,,508.0,,13.93,,,,340.0,,6.53
,,2017 - 2018,,,,843.0,,14.61,,,,,,
,,2018 - 2019,,,,796.0,,6.15,,,,391.0,,6.68
,,2019 - 2020,,,,543.0,,14.26,,,,315.0,,12.9
,,2020 - 2021,,,,533.0,,14.99,,,,357.0,,7.38
,,2021 - 2022,,,,540.0,,16.22,,,,415.0,,15.42
,,2022 - 2023,,,,923.0,,15.45,,,,273.0,,15.28
,Balrampur,2002 - 2003,,,,34.0,351.0,10.32,,,,63.0,704.0,11.17
,,2003 - 2004,,,,28.0,402.0,14.36,,,,79.0,779.0,9.86
,,2004 - 2005,,,,,,,154.0,,11.75,,,
,,2005 - 2006,,,,,,,113.0,,12.89,,,
,,2006 - 2007,,,,43.0,825.0,19.19,,,,114.0,,11.65
,,2007 - 2008,,,,42.0,587.0,13.98,,,,105.0,,19.15
,,2008 - 2009,,,,5.0,58.0,11.6,,,,,,
,,2009 - 2010,,,,43.0,739.0,17.19,,,,246.0,,15.37
,,2010 - 2011,,,,37.0,681.0,18.41,,,,,,
,,2011 - 2012,,,,56.0,,22.88,,,,126.0,,9.17
,,2012 - 2013,,,,53.0,,23.0,,,,132.0,,11.7
,,2013 - 2014,,,,87.0,,20.33,,,,90.0,,13.46
,,2014 - 2015,,,,64.0,979.0,15.3,,,,126.0,,18.96
,,2015 - 2016,,,,,,,,,,109.0,,15.01
,,2016 - 2017,,,,52.0,724.0,13.92,,,,122.0,,17.49
,,2017 - 2018,,,,58.0,847.0,14.6,,,,134.0,,16.45
,,2018 - 2019,,,,104.0,,15.48,,,,138.0,,10.68
,,2019 - 2020,,,,39.0,556.0,14.26,,,,8.0,177.0,22.13
,,2020 - 2021,,,,58.0,870.0,15.0,,,,129.0,,23.81
,,2021 - 2022,,,,54.0,876.0,16.22,,,,163.0,,15.55
,,2022 - 2023,,,,181.0,,15.45,,,,27.0,598.0,22.15
,Banda,2002 - 2003,,,,186.0,,10.32,,,,21.0,235.0,11.19
,,2003 - 2004,,,,199.0,,14.35,,,,13.0,128.0,9.85
,,2004 - 2005,,,,,,,197.0,,10.39,,,
,,2005 - 2006,,,,,,,264.0,,12.77,,,
,,2006 - 2007,,,,109.0,,19.18,,,,44.0,512.0,11.64
,,2007 - 2008,,,,245.0,,13.97,,,,10.0,135.0,13.5
,,2008 - 2009,,,,155.0,,11.72,,,,,,
,,2009 - 2010,,,,297.0,,17.18,,,,4.0,55.0,13.75
,,2010 - 2011,,,,252.0,,18.41,,,,,,
,,2011 - 2012,,,,295.0,,22.87,,,,16.0,173.0,10.81
,,2012 - 2013,,,,185.0,,23.01,,,,16.0,174.0,10.88
,,2013 - 2014,,,,202.0,,20.34,,,,2.0,27.0,13.5
,,2014 - 2015,,,,191.0,,15.3,,,,21.0,318.0,15.14
,,2015 - 2016,,,,302.0,,11.76,,,,142.0,,13.58
,,2016 - 2017,,,,390.0,,13.93,,,,6.0,81.0,13.5
,,2017 - 2018,,,,309.0,,14.61,,,,13.0,187.0,14.38
,,2018 - 2019,,,,230.0,,15.48,,,,7.0,82.0,11.71
,,2019 - 2020,,,,226.0,,14.26,,,,1.0,16.0,16.0
,,2020 - 2021,,,,301.0,,14.99,,,,9.0,148.0,16.44
,,2021 - 2022,,,,225.0,,16.22,,,,11.0,176.0,16.0
,,2022 - 2023,,,,209.0,,15.44,,,,,,
,Barabanki,2002 - 2003,,,,96.0,991.0,10.32,,,,300.0,,11.18
,,2003 - 2004,,,,115.0,,14.36,,,,334.0,,10.18
,,2004 - 2005,,,,,,,411.0,,11.9,,,
,,2005 - 2006,,,,,,,,,12.83,,,
,,2006 - 2007,,,,73.0,,19.18,,,,296.0,,11.65
,,2007 - 2008,,,,124.0,,13.97,,,,296.0,,19.15
,,2008 - 2009,,,,84.0,985.0,11.73,,,,,,
,,2009 - 2010,,,,56.0,962.0,17.18,,,,347.0,,14.05
,,2010 - 2011,,,,72.0,,18.4,,,,,,
,,2011 - 2012,,,,86.0,,22.87,,,,224.0,,6.23
,,2012 - 2013,,,,106.0,,23.0,,,,328.0,,8.21
,,2013 - 2014,,,,68.0,,20.34,,,,326.0,,13.22
,,2014 - 2015,,,,43.0,658.0,15.3,,,,131.0,,8.82
,,2015 - 2016,,,,101.0,,11.76,,,,147.0,,7.73
,,2016 - 2017,,,,83.0,,13.93,,,,292.0,,9.72
,,2017 - 2018,,,,90.0,,14.61,,,,276.0,,10.34
,,2018 - 2019,,,,115.0,,15.48,,,,266.0,,7.25
,,2019 - 2020,,,,92.0,,14.26,,,,256.0,,18.9
,,2020 - 2021,,,,113.0,,14.99,,,,242.0,,19.32
,,2021 - 2022,,,,90.0,,16.22,,,,347.0,,15.63
,,2022 - 2023,,,,401.0,,15.44,,,,,,19.0
,Bareilly,2002 - 2003,,,,157.0,,10.32,,,,122.0,,11.18
,,2003 - 2004,,,,114.0,,14.35,,,,140.0,,10.19
,,2004 - 2005,,,,,,,220.0,,11.05,,,
,,2005 - 2006,,,,,,,449.0,,12.87,,,
,,2006 - 2007,,,,88.0,,19.18,,,,66.0,769.0,11.65
,,2007 - 2008,,,,284.0,,13.97,,,,47.0,635.0,13.51
,,2008 - 2009,,,,46.0,539.0,11.72,,,,,,
,,2009 - 2010,,,,42.0,721.0,17.17,,,,33.0,459.0,13.91
,,2010 - 2011,,,,76.0,,18.41,,,,,,
,,2011 - 2012,,,,68.0,,22.88,,,,14.0,152.0,10.86
,,2012 - 2013,,,,43.0,989.0,23.0,,,,30.0,327.0,10.9
,,2013 - 2014,,,,252.0,,20.34,,,,62.0,834.0,13.45
,,2014 - 2015,,,,34.0,520.0,15.29,,,,56.0,847.0,15.13
,,2015 - 2016,,,,22.0,259.0,11.77,,,,62.0,842.0,13.58
,,2016 - 2017,,,,51.0,710.0,13.92,,,,16.0,216.0,13.5
,,2017 - 2018,,,,35.0,511.0,14.6,,,,129.0,,14.39
,,2018 - 2019,,,,61.0,944.0,15.48,,,,34.0,400.0,11.76
,,2019 - 2020,,,,645.0,,14.26,,,,45.0,736.0,16.36
,,2020 - 2021,,,,42.0,630.0,15.0,,,,35.0,575.0,16.43
,,2021 - 2022,,,,42.0,681.0,16.21,,,,66.0,,16.08
,,2022 - 2023,,,,321.0,,15.45,,,,,,
,Basti,2002 - 2003,,,,14.0,145.0,10.36,,,,184.0,,11.18
,,2003 - 2004,,,,26.0,373.0,14.35,,,,188.0,,9.87
,,2004 - 2005,,,,,,,202.0,,12.01,,,
,,2005 - 2006,,,,,,,106.0,,12.89,,,
,,2006 - 2007,,,,28.0,537.0,19.18,,,,203.0,,11.65
,,2007 - 2008,,,,31.0,433.0,13.97,,,,208.0,,13.5
,,2008 - 2009,,,,51.0,598.0,11.73,,,,,,
,,2009 - 2010,,,,66.0,,17.18,,,,149.0,,13.89
,,2010 - 2011,,,,64.0,,18.41,,,,,,
,,2011 - 2012,,,,55.0,,22.87,,,,66.0,715.0,10.83
,,2012 - 2013,,,,51.0,,23.0,,,,134.0,,10.88
,,2013 - 2014,,,,82.0,,20.34,,,,155.0,,13.46
,,2014 - 2015,,,,52.0,796.0,15.31,,,,179.0,,15.12
,,2015 - 2016,,,,347.0,,11.76,,,,143.0,,13.58
,,2016 - 2017,,,,142.0,,13.93,,,,162.0,,13.53
,,2017 - 2018,,,,83.0,,14.6,,,,158.0,,14.39
,,2018 - 2019,,,,101.0,,15.48,,,,164.0,,11.77
,,2019 - 2020,,,,78.0,,14.26,,,,156.0,,16.37
,,2020 - 2021,,,,76.0,,14.99,,,,153.0,,16.42
,,2021 - 2022,,,,79.0,,16.23,,,,188.0,,16.03
,,2022 - 2023,,,,241.0,,15.44,,,,33.0,552.0,16.73
,Bijnor,2002 - 2003,,,,6.0,62.0,10.33,,,,17.0,190.0,11.18
,,2003 - 2004,,,,18.0,258.0,14.33,,,,6.0,59.0,9.83
,,2004 - 2005,,,,,,,23.0,262.0,11.39,,,
,,2005 - 2006,,,,,,,911.0,,12.77,,,
,,2006 - 2007,,,,10.0,192.0,19.2,,,,16.0,186.0,11.63
,,2007 - 2008,,,,4.0,56.0,14.0,,,,54.0,729.0,13.5
,,2008 - 2009,,,,43.0,504.0,11.72,,,,,,
,,2009 - 2010,,,,19.0,326.0,17.16,,,,8.0,112.0,14.0
,,2010 - 2011,,,,1.0,18.0,18.0,,,,,,
,,2011 - 2012,,,,1.0,23.0,23.0,,,,6.0,65.0,10.83
,,2012 - 2013,,,,1.0,23.0,23.0,,,,9.0,98.0,10.89
,,2013 - 2014,,,,21.0,427.0,20.33,,,,13.0,175.0,13.46
,,2014 - 2015,,,,2.0,31.0,15.5,,,,,,
,,2015 - 2016,,,,,,,,,,10.0,136.0,13.6
,,2016 - 2017,,,,,,,,,,16.0,216.0,13.5
