state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
,,2018 - 2019,,,0.63,32.0,41.0,1.28,,,,,,,,,,,,
,,2019 - 2020,,,0.98,70.0,102.0,1.46,,,,,,,,,,,,
,,2020 - 2021,,,0.5,799.0,442.0,0.55,,,,,,,,,,,,
,,2021 - 2022,,,0.68,182.0,145.0,0.8,,,,,,,,,,,,
,,2022 - 2023,,,1.06,157.0,56.0,0.36,,,,,,,,,,,,
,Kakinada,2022 - 2023,,,0.67,6.0,3.0,0.5,,,,,,,,,,,,
,Konaseema,2022 - 2023,170.0,99.0,0.58,,,,,,,,,,,,,,,
,Krishna,2000 - 2001,,,0.49,,,0.28,,,,,,,,,,,,
,,2001 - 2002,,648.0,0.33,,,0.64,,,,,,,,,,,,
,,2002 - 2003,,,0.76,,,0.34,,,,,,,,,,,,
,,2003 - 2004,,,0.32,,,0.6,,,,,,,,,,,,
,,2004 - 2005,,,0.61,,,0.6,,,,,,,,,,,,
,,2005 - 2006,,796.0,0.31,,,0.81,,,,,,,,,,,,
,,2006 - 2007,,,0.63,,,0.49,,,,,,,,,,,,
,,2007 - 2008,,,0.5,,,0.64,,,,,,,,,,,,
,,2008 - 2009,,811.0,0.59,,,0.24,,,,,,,,,,,,
,,2009 - 2010,,,0.81,,,0.13,,,,,,,,,,,,
,,2010 - 2011,,,0.57,,,0.38,,,,,,,,,,,,
,,2011 - 2012,,,0.68,,,0.75,,,,,,,,,,,,
,,2012 - 2013,,,0.88,,,0.67,,,,,,,,,,,,
,,2013 - 2014,,,0.82,,,0.49,,,,,,,,,,,,
,,2014 - 2015,,,0.79,,,0.73,,,,,,,,,,,,
,,2015 - 2016,,,0.96,,,0.52,,,,,,,,,,,,
,,2016 - 2017,,,0.38,,,0.83,,,,,,,,,,,,
,,2017 - 2018,,,0.67,,,0.81,,,,,,,,,,,,
,,2018 - 2019,,,1.0,,,0.3,,,,,,,,,,,,
,,2019 - 2020,,,1.06,,,0.82,,,,,,,,,,,,
,,2020 - 2021,,,1.08,,829.0,0.24,,,,,,,,,,,,
,,2021 - 2022,,,1.16,,,0.63,,,,,,,,,,,,
,,2022 - 2023,,,1.45,,,,,,,,,,,,,,,
,Kurnool,2000 - 2001,274.0,92.0,0.34,,,0.44,,,,,,,,,,,,
,,2001 - 2002,398.0,121.0,0.3,,,0.48,,,,,,,,,,,,
,,2002 - 2003,486.0,124.0,0.26,,863.0,0.15,,,,,,,,,,,,
,,2003 - 2004,77.0,26.0,0.34,,,0.54,,,,,,,,,,,,
,,2004 - 2005,258.0,84.0,0.33,,,0.37,,,,,,,,,,,,
,,2005 - 2006,105.0,32.0,0.3,,,0.69,,,,,,,,,,,,
,,2006 - 2007,434.0,162.0,0.37,,489.0,0.12,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.67,,,,,,,,,,,,
,,2008 - 2009,63.0,21.0,0.33,926.0,361.0,0.39,,,,,,,,,,,,
,,2009 - 2010,370.0,148.0,0.4,,450.0,0.26,,,,,,,,,,,,
,,2010 - 2011,,535.0,0.35,,,0.32,,,,,,,,,,,,
,,2011 - 2012,,906.0,0.6,,824.0,0.64,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,1.0,,,,,,,,,,,,
,,2013 - 2014,785.0,491.0,0.63,,,1.11,,,,,,,,,,,,
,,2014 - 2015,,,0.82,,,1.23,,,,,,,,,,,,
,,2015 - 2016,,,0.84,,,0.72,,,,,,,,,,,,
,,2016 - 2017,389.0,160.0,0.41,,,1.02,,,,,,,,,,,,
,,2017 - 2018,146.0,137.0,0.94,878.0,674.0,0.77,,,,,,,,,,,,
,,2018 - 2019,430.0,270.0,0.63,601.0,257.0,0.43,,,,,,,,,,,,
,,2019 - 2020,798.0,779.0,0.98,858.0,310.0,0.36,,,,,,,,,,,,
,,2020 - 2021,,,1.08,671.0,303.0,0.45,,,,,,,,,,,,
,,2021 - 2022,871.0,903.0,1.04,349.0,310.0,0.89,,,,,,,,,,,,
