state,district,year,moong_rabi_area_hectare,moong_rabi_production_tonne,moong_rabi_yield_tonne_per_hectare,moong_kharif_area_hectare,moong_kharif_production_tonne,moong_kharif_yield_tonne_per_hectare,moong_summer_area_hectare,moong_summer_production_tonne,moong_summer_yield_tonne_per_hectare,moong_whole_year_area_hectare,moong_whole_year_production_tonne,moong_whole_year_yield_tonne_per_hectare,moong_autumn_area_hectare,moong_autumn_production_tonne,moong_autumn_yield_tonne_per_hectare,moong_winter_area_hectare,moong_winter_production_tonne,moong_winter_yield_tonne_per_hectare
,,2021 - 2022,,,,,765.0,0.59,,,,,,,,,,,,
,,2022 - 2023,,,,951.0,618.0,0.65,,,1.53,,,,,,,,,
,Neemuch,2005 - 2006,,,,78.0,18.0,0.23,,,,,,,,,,,,
,,2006 - 2007,,,,111.0,26.0,0.23,,,,,,,,,,,,
,,2009 - 2010,,,,98.0,26.0,0.27,,,,,,,,,,,,
,,2010 - 2011,,,,69.0,25.0,0.36,,,,,,,,,,,,
,,2011 - 2012,,,,89.0,17.0,0.19,,,,,,,,,,,,
,,2012 - 2013,,,,100.0,33.0,0.33,,,,,,,,,,,,
,,2013 - 2014,,,,108.0,40.0,0.37,,,,,,,,,,,,
,,2017 - 2018,,,,,400.0,0.4,80.0,70.0,0.88,,,,,,,,,
,,2018 - 2019,,,,99.0,35.0,0.35,,,,,,,,,,,,
,,2019 - 2020,,,,20.0,2.0,0.1,5.0,4.0,0.8,,,,,,,,,
,,2020 - 2021,,,,44.0,15.0,0.34,5.0,4.0,0.8,,,,,,,,,
,,2021 - 2022,,,,20.0,10.0,0.5,,,,,,,,,,,,
,,2022 - 2023,,,,22.0,7.0,0.32,21.0,17.0,0.81,,,,,,,,,
,Niwari,2020 - 2021,,,,,349.0,0.3,,,,,,,,,,,,
,,2021 - 2022,,,,813.0,325.0,0.4,,,,,,,,,,,,
,,2022 - 2023,,,,,563.0,0.4,2.0,2.0,1.0,,,,,,,,,
,Panna,2005 - 2006,,,,922.0,311.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,,,293.0,0.26,,,,,,,,,,,,
,,2009 - 2010,,,,,528.0,0.34,,,,,,,,,,,,
,,2010 - 2011,3.0,,0.0,,925.0,0.45,,,,,,,,,,,,
,,2011 - 2012,,,,,650.0,0.26,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.56,,,,,,,,,,,,
,,2013 - 2014,66.0,19.0,0.29,,,0.39,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.33,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.46,20.0,20.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.57,360.0,256.0,0.71,,,,,,,,,
,,2020 - 2021,,,,,918.0,0.51,360.0,306.0,0.85,,,,,,,,,
,,2021 - 2022,,,,,695.0,0.59,,,,,,,,,,,,
,,2022 - 2023,,,,,613.0,0.43,195.0,166.0,0.85,,,,,,,,,
,Raisen,2005 - 2006,,,,547.0,174.0,0.32,,,,,,,,,,,,
,,2006 - 2007,96.0,31.0,0.32,928.0,295.0,0.32,,,,,,,,,,,,
,,2009 - 2010,67.0,22.0,0.33,618.0,197.0,0.32,,,,,,,,,,,,
,,2010 - 2011,59.0,13.0,0.22,796.0,253.0,0.32,,,,,,,,,,,,
,,2011 - 2012,108.0,25.0,0.23,980.0,227.0,0.23,,,,,,,,,,,,
,,2012 - 2013,196.0,46.0,0.23,963.0,242.0,0.25,,,,,,,,,,,,
,,2013 - 2014,,,0.37,714.0,165.0,0.23,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.31,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.52,,,1.35,,,,,,,,,
,,2018 - 2019,,,,,919.0,0.23,1.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,,207.0,0.15,,,1.22,,,,,,,,,
,,2020 - 2021,,,,,,0.41,,,1.22,,,,,,,,,
,,2021 - 2022,,,,,,0.21,,,,,,,,,,,,
,,2022 - 2023,,,,,883.0,0.57,,,1.27,,,,,,,,,
,Rajgarh,2005 - 2006,,,,,,0.34,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.39,,,,,,,,,,,,
,,2009 - 2010,,,,,753.0,0.37,,,,,,,,,,,,
,,2010 - 2011,,,,,710.0,0.43,,,,,,,,,,,,
,,2011 - 2012,,,,,346.0,0.32,,,,,,,,,,,,
,,2012 - 2013,,,,830.0,397.0,0.48,,,,,,,,,,,,
,,2013 - 2014,,,,471.0,166.0,0.35,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.67,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.41,250.0,200.0,0.8,,,,,,,,,
,,2018 - 2019,,,,422.0,94.0,0.22,26.0,7.0,0.27,,,,,,,,,
,,2019 - 2020,,,,282.0,110.0,0.39,590.0,,0.0,,,,,,,,,
,,2020 - 2021,,,,181.0,43.0,0.24,590.0,549.0,0.93,,,,,,,,,
,,2021 - 2022,,,,77.0,32.0,0.42,,,,,,,,,,,,
,,2022 - 2023,,,,94.0,50.0,0.53,,,0.93,,,,,,,,,
,Ratlam,2005 - 2006,,,,262.0,189.0,0.72,,,,,,,,,,,,
,,2006 - 2007,13.0,5.0,0.38,339.0,245.0,0.72,,,,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,723.0,0.68,,,,,,,,,,,,
,,2010 - 2011,2.0,,0.0,834.0,565.0,0.68,,,,,,,,,,,,
,,2011 - 2012,3.0,2.0,0.67,743.0,483.0,0.65,,,,,,,,,,,,
,,2012 - 2013,,,,468.0,429.0,0.92,,,,,,,,,,,,
,,2013 - 2014,3.0,1.0,0.33,422.0,387.0,0.92,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,,400.0,0.4,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.72,300.0,400.0,1.33,,,,,,,,,
,,2018 - 2019,,,,175.0,135.0,0.77,,,,,,,,,,,,
,,2019 - 2020,,,,197.0,93.0,0.47,540.0,637.0,1.18,,,,,,,,,
,,2020 - 2021,,,,86.0,32.0,0.37,540.0,637.0,1.18,,,,,,,,,
,,2021 - 2022,,,,27.0,21.0,0.78,,,,,,,,,,,,
,,2022 - 2023,,,,83.0,63.0,0.76,23.0,27.0,1.17,,,,,,,,,
,Rewa,2005 - 2006,,,,,,0.36,,,,,,,,,,,,
,,2006 - 2007,,,,,961.0,0.33,,,,,,,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,794.0,0.24,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.3,,,,,,,,,,,,
,,2011 - 2012,,,,,830.0,0.19,,,,,,,,,,,,
,,2012 - 2013,20.0,7.0,0.35,,717.0,0.19,,,,,,,,,,,,
,,2013 - 2014,14.0,8.0,0.57,,,0.31,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.17,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.48,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.55,180.0,190.0,1.06,,,,,,,,,
,,2018 - 2019,,,,,,0.46,2.0,1.0,0.5,,,,,,,,,
,,2019 - 2020,,,,,,0.46,,,0.61,,,,,,,,,
,,2020 - 2021,,,,,,0.64,81.0,71.0,0.88,,,,,,,,,
,,2021 - 2022,,,,,847.0,0.38,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.38,36.0,33.0,0.92,,,,,,,,,
,Sagar,2005 - 2006,,,,,595.0,0.32,,,,,,,,,,,,
,,2006 - 2007,13.0,4.0,0.31,,342.0,0.33,,,,,,,,,,,,
,,2009 - 2010,1.0,,0.0,,460.0,0.4,,,,,,,,,,,,
,,2010 - 2011,35.0,6.0,0.17,,374.0,0.35,,,,,,,,,,,,
,,2011 - 2012,17.0,5.0,0.29,,,0.23,,,,,,,,,,,,
,,2012 - 2013,,,,,616.0,0.41,,,,,,,,,,,,
,,2013 - 2014,351.0,104.0,0.3,,325.0,0.28,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.25,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.56,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.51,110.0,70.0,0.64,,,,,,,,,
,,2018 - 2019,,,,,,0.67,16.0,3.0,0.19,,,,,,,,,
,,2019 - 2020,,,,,444.0,0.29,,,0.75,,,,,,,,,
,,2020 - 2021,,,,878.0,307.0,0.35,,,1.09,,,,,,,,,
,,2021 - 2022,,,,,,0.74,,,,,,,,,,,,
,,2022 - 2023,,,,,955.0,0.68,,,1.14,,,,,,,,,
,Satna,2005 - 2006,,,,,799.0,0.28,,,,,,,,,,,,
,,2006 - 2007,26.0,8.0,0.31,,686.0,0.25,,,,,,,,,,,,
,,2009 - 2010,20.0,9.0,0.45,,853.0,0.24,,,,,,,,,,,,
,,2010 - 2011,,,,,926.0,0.28,,,,,,,,,,,,
,,2011 - 2012,19.0,4.0,0.21,,674.0,0.18,,,,,,,,,,,,
,,2012 - 2013,3.0,1.0,0.33,,,0.29,,,,,,,,,,,,
,,2013 - 2014,5.0,2.0,0.4,,473.0,0.14,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.14,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.4,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.39,210.0,,0.0,,,,,,,,,
,,2018 - 2019,,,,,,0.21,4.0,2.0,0.5,,,,,,,,,
,,2019 - 2020,,,,,456.0,0.11,,,0.91,,,,,,,,,
,,2020 - 2021,,,,,,0.49,,,0.91,,,,,,,,,
,,2021 - 2022,,,,,355.0,0.31,,,,,,,,,,,,
,,2022 - 2023,,,,,730.0,0.44,115.0,105.0,0.91,,,,,,,,,
,Sehore,2005 - 2006,,,,215.0,72.0,0.33,,,,,,,,,,,,
,,2006 - 2007,120.0,35.0,0.29,124.0,42.0,0.34,,,,,,,,,,,,
,,2009 - 2010,78.0,28.0,0.36,103.0,35.0,0.34,,,,,,,,,,,,
,,2010 - 2011,61.0,18.0,0.3,125.0,57.0,0.46,,,,,,,,,,,,
,,2011 - 2012,63.0,18.0,0.29,133.0,32.0,0.24,,,,,,,,,,,,
,,2012 - 2013,,,0.24,265.0,101.0,0.38,,,,,,,,,,,,
,,2013 - 2014,,,0.38,289.0,36.0,0.12,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.45,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.6,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.55,,,1.3,,,,,,,,,
,,2018 - 2019,,,,586.0,183.0,0.31,,,,,,,,,,,,
,,2019 - 2020,,,,293.0,51.0,0.17,,,1.5,,,,,,,,,
,,2020 - 2021,,,,,,0.36,,,1.5,,,,,,,,,
,,2021 - 2022,,,,,,0.36,,,,,,,,,,,,
,,2022 - 2023,,,,433.0,199.0,0.46,,,1.46,,,,,,,,,
,Seoni,2005 - 2006,,,,502.0,166.0,0.33,,,,,,,,,,,,
,,2006 - 2007,74.0,19.0,0.26,508.0,183.0,0.36,,,,,,,,,,,,
,,2009 - 2010,56.0,15.0,0.27,421.0,152.0,0.36,,,,,,,,,,,,
,,2010 - 2011,43.0,7.0,0.16,470.0,170.0,0.36,,,,,,,,,,,,
,,2011 - 2012,46.0,8.0,0.17,490.0,127.0,0.26,,,,,,,,,,,,
,,2012 - 2013,325.0,83.0,0.26,500.0,192.0,0.38,,,,,,,,,,,,
,,2013 - 2014,146.0,60.0,0.41,513.0,65.0,0.13,,,,,,,,,,,,
,,2014 - 2015,,,,,0.0,0.0,,,,,,,,,,,,
,,2015 - 2016,,,,,140.0,0.14,,,,,,,,,,,,
,,2017 - 2018,,,,800.0,690.0,0.86,480.0,510.0,1.06,,,,,,,,,
,,2018 - 2019,,,,62.0,29.0,0.47,,,,,,,,,,,,
,,2019 - 2020,,,,32.0,14.0,0.44,,,0.53,,,,,,,,,
,,2020 - 2021,,,,20.0,6.0,0.3,,,0.79,,,,,,,,,
,,2021 - 2022,,,,9.0,4.0,0.44,,,,,,,,,,,,
,,2022 - 2023,,,,14.0,8.0,0.57,,,1.01,,,,,,,,,
,Shahdol,2005 - 2006,,,,49.0,11.0,0.22,,,,,,,,,,,,
,,2006 - 2007,,,,30.0,9.0,0.3,,,,,,,,,,,,
,,2009 - 2010,,,,96.0,34.0,0.35,,,,,,,,,,,,
,,2010 - 2011,2.0,,0.0,131.0,39.0,0.3,,,,,,,,,,,,
,,2011 - 2012,,,,36.0,8.0,0.22,,,,,,,,,,,,
,,2012 - 2013,,,,180.0,90.0,0.5,,,,,,,,,,,,
,,2013 - 2014,4.0,1.0,0.25,47.0,32.0,0.68,,,,,,,,,,,,
,,2014 - 2015,,,,,0.0,0.0,,,,,,,,,,,,
,,2015 - 2016,,,,,340.0,0.34,,,,,,,,,,,,
,,2017 - 2018,,,,800.0,580.0,0.73,40.0,50.0,1.25,,,,,,,,,
,,2018 - 2019,,,,40.0,18.0,0.45,,,,,,,,,,,,
,,2019 - 2020,,,,16.0,9.0,0.56,110.0,,0.0,,,,,,,,,
,,2020 - 2021,,,,24.0,7.0,0.29,110.0,79.0,0.72,,,,,,,,,
,,2022 - 2023,,,,15.0,6.0,0.4,37.0,26.0,0.7,,,,,,,,,
,Shajapur,2005 - 2006,,,,449.0,104.0,0.23,,,,,,,,,,,,
,,2006 - 2007,,,,397.0,103.0,0.26,,,,,,,,,,,,
,,2009 - 2010,,,,479.0,138.0,0.29,,,,,,,,,,,,
,,2010 - 2011,1.0,,0.0,521.0,181.0,0.35,,,,,,,,,,,,
,,2011 - 2012,1.0,,0.0,565.0,73.0,0.13,,,,,,,,,,,,
,,2012 - 2013,,,,662.0,206.0,0.31,,,,,,,,,,,,
,,2013 - 2014,164.0,59.0,0.36,123.0,41.0,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,,200.0,0.2,,,,,,,,,,,,
,,2017 - 2018,,,,,660.0,0.55,,,,,,,,,,,,
,,2018 - 2019,,,,224.0,57.0,0.25,,,,,,,,,,,,
,,2019 - 2020,,,,179.0,32.0,0.18,65.0,59.0,0.91,,,,,,,,,
,,2020 - 2021,,,,108.0,19.0,0.18,65.0,59.0,0.91,,,,,,,,,
,,2021 - 2022,,,,24.0,7.0,0.29,,,,,,,,,,,,
,,2022 - 2023,,,,90.0,30.0,0.33,54.0,49.0,0.91,,,,,,,,,
,Sheopur,2005 - 2006,,,,279.0,83.0,0.3,,,,,,,,,,,,
,,2006 - 2007,,,,151.0,42.0,0.28,,,,,,,,,,,,
,,2009 - 2010,,,,200.0,60.0,0.3,,,,,,,,,,,,
,,2010 - 2011,,,,599.0,177.0,0.3,,,,,,,,,,,,
,,2011 - 2012,,,,375.0,64.0,0.17,,,,,,,,,,,,
,,2012 - 2013,,,,310.0,179.0,0.58,,,,,,,,,,,,
,,2013 - 2014,,,,300.0,220.0,0.73,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,,296.0,0.15,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.8,,,,,,,,,,,,
,,2018 - 2019,,,,137.0,103.0,0.75,,,,,,,,,,,,
,,2019 - 2020,,,,26.0,15.0,0.58,441.0,265.0,0.6,,,,,,,,,
,,2020 - 2021,,,,31.0,20.0,0.65,,,1.0,,,,,,,,,
,,2022 - 2023,,,,174.0,105.0,0.6,,,0.98,,,,,,,,,
,Shivpuri,2005 - 2006,,,,,,0.43,,,,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,0.4,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.44,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.48,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.32,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.35,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.34,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.2,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.82,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.59,30.0,30.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,0.36,,,,,,,,,,,,
,,2019 - 2020,,,,939.0,301.0,0.32,432.0,318.0,0.74,,,,,,,,,
,,2020 - 2021,,,,895.0,387.0,0.43,432.0,318.0,0.74,,,,,,,,,
,,2021 - 2022,,,,556.0,162.0,0.29,,,,,,,,,,,,
,,2022 - 2023,,,,,711.0,0.49,935.0,687.0,0.73,,,,,,,,,
,Sidhi,2005 - 2006,,,,,362.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,,390.0,0.33,,,,,,,,,,,,
,,2009 - 2010,,,,,512.0,0.38,,,,,,,,,,,,
,,2010 - 2011,,,,,511.0,0.38,,,,,,,,,,,,
,,2011 - 2012,,,,,321.0,0.23,,,,,,,,,,,,
,,2012 - 2013,,,,,429.0,0.29,,,,,,,,,,,,
,,2013 - 2014,,,,,612.0,0.38,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.4,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.36,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.89,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,,814.0,0.4,5.0,1.0,0.2,,,,,,,,,
,,2019 - 2020,,,,,977.0,0.35,225.0,150.0,0.67,,,,,,,,,
,,2020 - 2021,,,,,,0.56,225.0,150.0,0.67,,,,,,,,,
,,2021 - 2022,,,,,914.0,0.41,,,,,,,,,,,,
,,2022 - 2023,,,,,812.0,0.41,1.0,1.0,1.0,,,,,,,,,
,Singrauli,2009 - 2010,,,,205.0,97.0,0.47,,,,,,,,,,,,
,,2010 - 2011,,,,192.0,97.0,0.51,,,,,,,,,,,,
,,2011 - 2012,2.0,,0.0,192.0,69.0,0.36,,,,,,,,,,,,
,,2012 - 2013,,,,170.0,55.0,0.32,,,,,,,,,,,,
,,2013 - 2014,,,,421.0,210.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.0,,,,,,,,,,,,
,,2015 - 2016,,,,,486.0,0.49,,,,,,,,,,,,
,,2017 - 2018,,,,,580.0,0.53,200.0,160.0,0.8,,,,,,,,,
,,2018 - 2019,,,,121.0,77.0,0.64,3.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,295.0,147.0,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,268.0,40.0,0.15,113.0,35.0,0.31,,,,,,,,,
,,2021 - 2022,,,,221.0,140.0,0.63,,,,,,,,,,,,
,,2022 - 2023,,,,212.0,93.0,0.44,,,,,,,,,,,,
,Tikamgarh,2005 - 2006,,,,,,0.3,,,,,,,,,,,,
,,2006 - 2007,7.0,2.0,0.29,,,0.23,,,,,,,,,,,,
,,2009 - 2010,6.0,2.0,0.33,,,0.27,,,,,,,,,,,,
,,2010 - 2011,7.0,1.0,0.14,,,0.27,,,,,,,,,,,,
,,2011 - 2012,9.0,1.0,0.11,,916.0,0.17,,,,,,,,,,,,
,,2012 - 2013,12.0,2.0,0.17,,,0.2,,,,,,,,,,,,
,,2013 - 2014,281.0,72.0,0.26,,,0.38,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.17,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.34,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.38,53.0,16.0,0.3,,,,,,,,,
,,2019 - 2020,,,,,586.0,0.23,,,,,,,,,,,,
,,2020 - 2021,,,,,540.0,0.39,,,,,,,,,,,,
,,2021 - 2022,,,,,543.0,0.41,,,,,,,,,,,,
,,2022 - 2023,,,,,778.0,0.48,65.0,48.0,0.74,,,,,,,,,
,Ujjain,2005 - 2006,,,,400.0,113.0,0.28,,,,,,,,,,,,
,,2006 - 2007,,,,324.0,143.0,0.44,,,,,,,,,,,,
,,2009 - 2010,,,,151.0,62.0,0.41,,,,,,,,,,,,
,,2010 - 2011,,,,175.0,71.0,0.41,,,,,,,,,,,,
,,2011 - 2012,,,,219.0,72.0,0.33,,,,,,,,,,,,
,,2012 - 2013,,,,268.0,97.0,0.36,,,,,,,,,,,,
,,2013 - 2014,380.0,124.0,0.33,276.0,68.0,0.25,,,,,,,,,,,,
,,2015 - 2016,,,,,220.0,0.22,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.33,,,,,,,,,,,,
,,2017 - 2018,,,,,830.0,0.37,890.0,800.0,0.9,,,,,,,,,
,,2018 - 2019,,,,282.0,121.0,0.43,1.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,212.0,58.0,0.27,685.0,514.0,0.75,,,,,,,,,
,,2020 - 2021,,,,173.0,61.0,0.35,685.0,514.0,0.75,,,,,,,,,
,,2021 - 2022,,,,14.0,8.0,0.57,,,,,,,,,,,,
,,2022 - 2023,,,,140.0,70.0,0.5,21.0,16.0,0.76,,,,,,,,,
,Umaria,2005 - 2006,,,,18.0,5.0,0.28,,,,,,,,,,,,
,,2006 - 2007,1.0,,0.0,21.0,6.0,0.29,,,,,,,,,,,,
,,2009 - 2010,1.0,,0.0,51.0,19.0,0.37,,,,,,,,,,,,
,,2010 - 2011,1.0,,0.0,38.0,13.0,0.34,,,,,,,,,,,,
,,2011 - 2012,2.0,,0.0,30.0,6.0,0.2,,,,,,,,,,,,
,,2012 - 2013,3.0,1.0,0.33,19.0,8.0,0.42,,,,,,,,,,,,
,,2013 - 2014,2.0,,0.0,30.0,7.0,0.23,,,,,,,,,,,,
,,2017 - 2018,,,,200.0,90.0,0.45,,,,,,,,,,,,
,,2018 - 2019,,,,35.0,17.0,0.49,,,,,,,,,,,,
,,2019 - 2020,,,,30.0,13.0,0.43,242.0,,0.0,,,,,,,,,
,,2020 - 2021,,,,20.0,3.0,0.15,242.0,152.0,0.63,,,,,,,,,
,,2022 - 2023,,,,,,,,,0.63,,,,,,,,,
,Vidisha,2005 - 2006,,,,848.0,298.0,0.35,,,,,,,,,,,,
,,2006 - 2007,,,,903.0,323.0,0.36,,,,,,,,,,,,
,,2009 - 2010,,,,776.0,286.0,0.37,,,,,,,,,,,,
,,2010 - 2011,,,,965.0,356.0,0.37,,,,,,,,,,,,
,,2011 - 2012,,,,,315.0,0.3,,,,,,,,,,,,
,,2012 - 2013,5.0,1.0,0.2,996.0,420.0,0.42,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.42,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.33,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.17,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.2,,,0.95,,,,,,,,,
,,2018 - 2019,,,,,366.0,0.3,8.0,1.0,0.13,,,,,,,,,
,,2019 - 2020,,,,427.0,103.0,0.24,,,0.53,,,,,,,,,
,,2020 - 2021,,,,515.0,136.0,0.26,,,1.2,,,,,,,,,
,,2021 - 2022,,,,,616.0,0.42,,,,,,,,,,,,
,,2022 - 2023,,,,422.0,178.0,0.42,,,1.21,,,,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,,,,,,0.43,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.17,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.48,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.28,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.33,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.28,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.59,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.69,,,,,,,,,,,,
,,2008 - 2009,,,,600.0,100.0,0.17,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.61,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.78,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.27,,,,,,,,,,,,
,,2012 - 2013,,,,,600.0,0.11,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.84,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.57,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.03,100.0,30.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,,0.47,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.43,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.18,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.16,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.61,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.6,509.0,93.75,0.18,,,,,,,,,
,,2022 - 2023,,,,,,0.8,95.0,17.5,0.18,,,,,,,,,
,Akola,2000 - 2001,,,,,,0.4,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.55,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.41,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.47,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.22,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.15,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.51,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.61,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.07,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.26,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.74,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.7,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.27,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.18,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.15,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.22,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.87,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.33,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.48,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.4,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.06,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.15,639.3,117.75,0.18,,,,,,,,,
,,2022 - 2023,,,,,,0.26,335.1,61.72,0.18,,,,,,,,,
,Amravati,2000 - 2001,,,,,,0.4,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.33,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.4,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.21,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.2,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.27,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.36,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.13,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.36,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.56,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.57,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.23,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.2,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.13,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.37,900.0,200.0,0.22,,,,,,,,,
,,2016 - 2017,,,,,,0.75,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.15,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.62,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.15,,,,,,,,,,,,
