state,district,year,horse_gram_rabi_area_hectare,horse_gram_rabi_production_tonne,horse_gram_rabi_yield_tonne_per_hectare,horse_gram_kharif_area_hectare,horse_gram_kharif_production_tonne,horse_gram_kharif_yield_tonne_per_hectare,horse_gram_summer_area_hectare,horse_gram_summer_production_tonne,horse_gram_summer_yield_tonne_per_hectare,horse_gram_whole_year_area_hectare,horse_gram_whole_year_production_tonne,horse_gram_whole_year_yield_tonne_per_hectare,horse_gram_winter_area_hectare,horse_gram_winter_production_tonne,horse_gram_winter_yield_tonne_per_hectare
,,2011 - 2012,89.0,37.0,0.42,,,,,,,,,,,,
,,2013 - 2014,117.0,54.0,0.46,,,,,,,,,,,,
,,2014 - 2015,755.0,313.0,0.41,,,,,,,,,,,,
,,2015 - 2016,,595.0,0.55,,,,,,,,,,,,
,,2016 - 2017,296.0,165.0,0.56,,,,,,,,,,,,
,,2017 - 2018,,842.0,0.71,,,,,,,,,,,,
,,2018 - 2019,,737.0,0.65,,,,,,,,,,,,
,,2019 - 2020,370.0,342.0,0.92,,,,,,,,,,,,
,,2020 - 2021,65.0,56.0,0.86,4.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,196.0,142.0,0.72,,,,,,,,,,,,
,,2022 - 2023,29.0,17.0,0.59,,,,,,,,,,,,
,Kurnool,2000 - 2001,,287.0,0.21,32.0,16.0,0.5,,,,,,,,,
,,2001 - 2002,,909.0,0.54,4.0,2.0,0.5,,,,,,,,,
,,2002 - 2003,,462.0,0.37,2.0,1.0,0.5,,,,,,,,,
,,2003 - 2004,,618.0,0.54,8.0,3.0,0.38,,,,,,,,,
,,2004 - 2005,981.0,130.0,0.13,,,,,,,,,,,,
,,2005 - 2006,,531.0,0.38,25.0,10.0,0.4,,,,,,,,,
,,2006 - 2007,,731.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,,,,
,,2008 - 2009,,749.0,0.66,,,,,,,,,,,,
,,2009 - 2010,,967.0,0.69,,,,,,,,,,,,
,,2010 - 2011,965.0,543.0,0.56,,,,,,,,,,,,
,,2011 - 2012,593.0,347.0,0.59,,,,,,,,,,,,
,,2012 - 2013,,,1.0,,,,,,,,,,,,
,,2013 - 2014,567.0,320.0,0.56,4.0,2.0,0.5,,,,,,,,,
,,2014 - 2015,380.0,174.0,0.46,,,,,,,,,,,,
,,2015 - 2016,260.0,135.0,0.52,98.0,29.0,0.3,,,,,,,,,
,,2016 - 2017,47.0,19.0,0.4,,,,,,,,,,,,
,,2017 - 2018,251.0,152.0,0.61,1.0,,0.0,,,,,,,,,
,,2018 - 2019,207.0,36.0,0.17,,,,,,,,,,,,
,,2019 - 2020,63.0,31.0,0.49,,,,,,,,,,,,
,,2020 - 2021,79.0,61.0,0.77,,,,,,,,,,,,
,,2021 - 2022,65.0,43.0,0.66,3.0,1.0,0.33,,,,,,,,,
,,2022 - 2023,17.0,9.0,0.53,2.0,1.0,0.5,,,,,,,,,
,Nandyal,2022 - 2023,110.0,59.0,0.54,2.0,1.0,0.5,,,,,,,,,
,Palnadu,2022 - 2023,,,,1.0,0.3,0.3,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,418.0,244.0,0.58,5.0,1.0,0.2,,,,,,,,,
,Prakasam,2000 - 2001,,257.0,0.21,15.0,8.0,0.53,,,,,,,,,
,,2001 - 2002,,622.0,0.54,,,,,,,,,,,,
,,2002 - 2003,,779.0,0.37,,,,,,,,,,,,
,,2003 - 2004,921.0,498.0,0.54,11.0,4.0,0.36,,,,,,,,,
,,2004 - 2005,823.0,333.0,0.4,,,,,,,,,,,,
,,2005 - 2006,813.0,293.0,0.36,,,,,,,,,,,,
,,2006 - 2007,548.0,277.0,0.51,,,,,,,,,,,,
,,2008 - 2009,98.0,37.0,0.38,,,,,,,,,,,,
,,2009 - 2010,299.0,186.0,0.62,,,,,,,,,,,,
,,2010 - 2011,191.0,79.0,0.41,,,,,,,,,,,,
,,2011 - 2012,336.0,140.0,0.42,,,,,,,,,,,,
,,2013 - 2014,325.0,149.0,0.46,6.0,4.0,0.67,,,,,,,,,
,,2014 - 2015,325.0,135.0,0.42,,,,,,,,,,,,
