state,district,year,arhar_tur_rabi_area_hectare,arhar_tur_rabi_production_tonne,arhar_tur_rabi_yield_tonne_per_hectare,arhar_tur_kharif_area_hectare,arhar_tur_kharif_production_tonne,arhar_tur_kharif_yield_tonne_per_hectare,arhar_tur_winter_area_hectare,arhar_tur_winter_production_tonne,arhar_tur_winter_yield_tonne_per_hectare,arhar_tur_whole_year_area_hectare,arhar_tur_whole_year_production_tonne,arhar_tur_whole_year_yield_tonne_per_hectare
,,2022 - 2023,,,,68.0,48.0,0.71,,,,,,
,Tirap,2016 - 2017,,,,41.0,19.0,0.46,,,,,,
,,2017 - 2018,,,,35.0,19.0,0.54,,,,,,
,,2018 - 2019,,,,35.0,19.0,0.54,,,,,,
,,2019 - 2020,,,,35.0,19.0,0.54,,,,,,
,,2020 - 2021,,,,35.0,19.0,0.54,,,,,,
,,2021 - 2022,,,,36.0,21.0,0.58,,,,,,
,,2022 - 2023,,,,37.0,23.0,0.62,,,,,,
,Upper siang,2016 - 2017,,,,95.0,87.0,0.92,,,,,,
,,2017 - 2018,,,,92.0,86.0,0.93,,,,,,
,,2018 - 2019,,,,92.0,86.0,0.93,,,,,,
,,2019 - 2020,,,,92.0,86.0,0.93,,,,,,
,,2020 - 2021,,,,92.0,86.0,0.93,,,,,,
,,2021 - 2022,,,,94.0,88.0,0.94,,,,,,
,,2022 - 2023,,,,96.0,90.0,0.94,,,,,,
,Upper subansiri,2016 - 2017,,,,62.0,56.0,0.9,,,,,,
,,2017 - 2018,,,,59.0,64.0,1.08,,,,,,
,,2018 - 2019,,,,39.0,54.0,1.38,,,,,,
,,2019 - 2020,,,,39.0,55.0,1.41,,,,,,
,,2020 - 2021,,,,39.0,55.0,1.41,,,,,,
,,2021 - 2022,,,,41.0,57.0,1.39,,,,,,
,,2022 - 2023,,,,43.0,58.0,1.35,,,,,,
,West siang,2016 - 2017,,,,51.0,45.0,0.88,,,,,,
,,2017 - 2018,,,,55.0,44.0,0.8,,,,,,
,,2018 - 2019,,,,27.0,30.0,1.11,,,,,,
,,2019 - 2020,,,,20.0,22.0,1.1,,,,,,
,,2020 - 2021,,,,20.0,22.0,1.1,,,,,,
,,2021 - 2022,,,,22.0,25.0,1.14,,,,,,
,,2022 - 2023,,,,23.0,26.0,1.13,,,,,,
Assam,Baksa,2005 - 2006,,,,191.0,115.0,0.6,,,,,,
,,2006 - 2007,,,,188.0,113.0,0.6,,,,,,
,,2007 - 2008,,,,165.0,99.0,0.6,,,,,,
,,2008 - 2009,,,,196.0,118.0,0.6,,,,,,
,,2009 - 2010,,,,196.0,118.0,0.6,,,,,,
,,2010 - 2011,,,,338.0,203.0,0.6,,,,,,
,,2011 - 2012,,,,235.0,167.0,0.71,,,,,,
,,2012 - 2013,,,,210.0,168.0,0.8,,,,,,
,,2013 - 2014,,,,230.0,221.0,0.96,,,,,,
,,2014 - 2015,,,,225.0,205.0,0.91,,,,,,
,,2015 - 2016,,,,225.0,316.0,1.4,,,,,,
,,2016 - 2017,,,,210.0,230.0,1.1,,,,,,
,,2017 - 2018,,,,220.0,312.0,1.42,,,,,,
,,2018 - 2019,,,,242.0,291.0,1.2,,,,,,
,,2019 - 2020,,,,240.0,359.0,1.5,,,,,,
,,2020 - 2021,,,,220.0,334.0,1.52,,,,,,
,,2021 - 2022,,,,230.0,348.0,1.51,,,,,,
,,2022 - 2023,,,,245.0,372.0,1.52,,,,,,
,Barpeta,2000 - 2001,,,,280.0,230.0,0.82,,,,,,
,,2001 - 2002,,,,327.0,268.0,0.82,,,,,,
,,2002 - 2003,,,,317.0,260.0,0.82,,,,,,
,,2003 - 2004,,,,277.0,227.0,0.82,,,,,,
,,2004 - 2005,,,,209.0,172.0,0.82,,,,,,
,,2005 - 2006,,,,160.0,99.0,0.62,,,,,,
,,2006 - 2007,,,,181.0,136.0,0.75,,,,,,
,,2007 - 2008,,,,169.0,124.0,0.73,,,,,,
,,2008 - 2009,,,,358.0,252.0,0.7,,,,,,
,,2009 - 2010,,,,398.0,291.0,0.73,,,,,,
,,2010 - 2011,,,,434.0,312.0,0.72,,,,,,
,,2011 - 2012,,,,301.0,253.0,0.84,,,,,,
,,2012 - 2013,,,,273.0,220.0,0.81,,,,,,
,,2013 - 2014,,,,213.0,180.0,0.85,,,,,,
,,2014 - 2015,,,,231.0,212.0,0.92,,,,,,
,,2015 - 2016,,,,214.0,199.0,0.93,,,,,,
,,2016 - 2017,,,,207.0,139.0,0.67,,,,,,
,,2017 - 2018,,,,167.0,107.0,0.64,,,,,,
,,2018 - 2019,,,,162.0,103.0,0.64,,,,,,
,,2019 - 2020,,,,167.0,105.0,0.63,,,,,,
,,2020 - 2021,,,,166.0,104.0,0.63,,,,,,
,,2021 - 2022,,,,157.0,106.0,0.68,,,,,,
,,2022 - 2023,,,,157.0,107.0,0.68,,,,,,
,Biswanath,2020 - 2021,,,,336.0,407.0,1.21,,,,,,
,,2021 - 2022,,,,366.0,440.0,1.2,,,,,,
,,2022 - 2023,,,,315.0,383.0,1.22,,,,,,
,Bongaigaon,2000 - 2001,,,,227.0,191.0,0.84,,,,,,
,,2001 - 2002,,,,255.0,214.0,0.84,,,,,,
,,2002 - 2003,,,,269.0,225.0,0.84,,,,,,
,,2003 - 2004,,,,239.0,200.0,0.84,,,,,,
,,2004 - 2005,,,,227.0,190.0,0.84,,,,,,
,,2005 - 2006,,,,99.0,83.0,0.84,,,,,,
,,2006 - 2007,,,,116.0,97.0,0.84,,,,,,
,,2007 - 2008,,,,108.0,90.0,0.83,,,,,,
,,2008 - 2009,,,,95.0,79.0,0.83,,,,,,
,,2009 - 2010,,,,94.0,78.0,0.83,,,,,,
,,2010 - 2011,,,,118.0,98.0,0.83,,,,,,
,,2011 - 2012,,,,125.0,117.0,0.94,,,,,,
,,2012 - 2013,,,,120.0,111.0,0.93,,,,,,
,,2013 - 2014,,,,149.0,141.0,0.95,,,,,,
,,2014 - 2015,,,,161.0,170.0,1.06,,,,,,
,,2015 - 2016,,,,169.0,141.0,0.83,,,,,,
,,2016 - 2017,,,,167.0,187.0,1.12,,,,,,
,,2017 - 2018,,,,161.0,132.0,0.82,,,,,,
,,2018 - 2019,,,,164.0,140.0,0.85,,,,,,
,,2019 - 2020,,,,158.0,132.0,0.84,,,,,,
,,2020 - 2021,,,,160.0,112.0,0.7,,,,,,
,,2021 - 2022,,,,168.0,118.0,0.7,,,,,,
,,2022 - 2023,,,,391.0,322.0,0.82,,,,,,
,Cachar,2000 - 2001,,,,112.0,79.0,0.71,,,,,,
,,2001 - 2002,,,,112.0,79.0,0.71,,,,,,
,,2002 - 2003,,,,110.0,78.0,0.71,,,,,,
,,2003 - 2004,,,,120.0,85.0,0.71,,,,,,
,,2004 - 2005,,,,125.0,89.0,0.71,,,,,,
,,2005 - 2006,,,,122.0,86.0,0.7,,,,,,
,,2006 - 2007,,,,139.0,98.0,0.71,,,,,,
,,2007 - 2008,,,,127.0,90.0,0.71,,,,,,
,,2008 - 2009,,,,122.0,86.0,0.7,,,,,,
,,2009 - 2010,,,,123.0,87.0,0.71,,,,,,
,,2010 - 2011,,,,115.0,82.0,0.71,,,,,,
,,2011 - 2012,,,,115.0,87.0,0.76,,,,,,
,,2012 - 2013,,,,117.0,99.0,0.85,,,,,,
,,2013 - 2014,,,,123.0,105.0,0.85,,,,,,
,,2014 - 2015,,,,146.0,141.0,0.97,,,,,,
,,2015 - 2016,,,,150.0,107.0,0.71,,,,,,
,,2016 - 2017,,,,143.0,102.0,0.71,,,,,,
,,2017 - 2018,,,,135.0,97.0,0.72,,,,,,
,,2018 - 2019,,,,149.0,112.0,0.75,,,,,,
,,2019 - 2020,,,,140.0,107.0,0.76,,,,,,
,,2020 - 2021,,,,140.0,106.0,0.76,,,,,,
,,2021 - 2022,,,,148.0,112.0,0.76,,,,,,
,,2022 - 2023,,,,135.0,95.0,0.7,,,,,,
,Charaideo,2020 - 2021,,,,21.0,17.0,0.81,,,,,,
,,2021 - 2022,,,,22.0,18.0,0.82,,,,,,
,,2022 - 2023,,,,22.0,18.0,0.82,,,,,,
,Chirang,2005 - 2006,,,,176.0,147.0,0.84,,,,,,
,,2006 - 2007,,,,160.0,133.0,0.83,,,,,,
,,2007 - 2008,,,,119.0,99.0,0.83,,,,,,
,,2008 - 2009,,,,128.0,107.0,0.84,,,,,,
,,2009 - 2010,,,,137.0,114.0,0.83,,,,,,
,,2010 - 2011,,,,329.0,274.0,0.83,,,,,,
,,2011 - 2012,,,,281.0,246.0,0.88,,,,,,
,,2012 - 2013,,,,368.0,342.0,0.93,,,,,,
,,2013 - 2014,,,,262.0,216.0,0.82,,,,,,
,,2014 - 2015,,,,222.0,236.0,1.06,,,,,,
,,2015 - 2016,,,,282.0,232.0,0.82,,,,,,
,,2016 - 2017,,,,231.0,210.0,0.91,,,,,,
,,2017 - 2018,,,,183.0,150.0,0.82,,,,,,
,,2018 - 2019,,,,172.0,155.0,0.9,,,,,,
,,2019 - 2020,,,,100.0,92.0,0.92,,,,,,
,,2020 - 2021,,,,95.0,87.0,0.92,,,,,,
,,2021 - 2022,,,,110.0,93.0,0.85,,,,,,
,,2022 - 2023,,,,256.0,195.0,0.76,,,,,,
,Darrang,2000 - 2001,,,,486.0,284.0,0.58,,,,,,
,,2001 - 2002,,,,520.0,303.0,0.58,,,,,,
,,2002 - 2003,,,,500.0,291.0,0.58,,,,,,
,,2003 - 2004,,,,505.0,295.0,0.58,,,,,,
,,2004 - 2005,,,,422.0,247.0,0.59,,,,,,
,,2005 - 2006,,,,235.0,135.0,0.57,,,,,,
,,2006 - 2007,,,,137.0,79.0,0.58,,,,,,
,,2007 - 2008,,,,73.0,43.0,0.59,,,,,,
,,2008 - 2009,,,,103.0,60.0,0.58,,,,,,
,,2009 - 2010,,,,60.0,35.0,0.58,,,,,,
,,2010 - 2011,,,,147.0,85.0,0.58,,,,,,
,,2011 - 2012,,,,130.0,86.0,0.66,,,,,,
,,2012 - 2013,,,,188.0,122.0,0.65,,,,,,
,,2013 - 2014,,,,187.0,393.0,2.1,,,,,,
,,2014 - 2015,,,,169.0,126.0,0.75,,,,,,
,,2015 - 2016,,,,266.0,231.0,0.87,,,,,,
,,2016 - 2017,,,,136.0,111.0,0.82,,,,,,
,,2017 - 2018,,,,111.0,91.0,0.82,,,,,,
,,2018 - 2019,,,,23.0,19.0,0.83,,,,,,
,,2019 - 2020,,,,175.0,144.0,0.82,,,,,,
,,2020 - 2021,,,,239.0,179.0,0.75,,,,,,
,,2021 - 2022,,,,239.0,186.0,0.78,,,,,,
,,2022 - 2023,,,,280.0,234.0,0.84,,,,,,
,Dhemaji,2000 - 2001,,,,30.0,23.0,0.77,,,,,,
,,2001 - 2002,,,,31.0,23.0,0.74,,,,,,
,,2002 - 2003,,,,30.0,23.0,0.77,,,,,,
,,2003 - 2004,,,,30.0,23.0,0.77,,,,,,
,,2004 - 2005,,,,30.0,23.0,0.77,,,,,,
,,2005 - 2006,,,,41.0,31.0,0.76,,,,,,
,,2006 - 2007,,,,33.0,25.0,0.76,,,,,,
,,2007 - 2008,,,,31.0,23.0,0.74,,,,,,
,,2008 - 2009,,,,31.0,23.0,0.74,,,,,,
,,2009 - 2010,,,,31.0,23.0,0.74,,,,,,
,,2010 - 2011,,,,31.0,23.0,0.74,,,,,,
,,2011 - 2012,,,,35.0,29.0,0.83,,,,,,
,,2012 - 2013,,,,33.0,27.0,0.82,,,,,,
,,2013 - 2014,,,,40.0,34.0,0.85,,,,,,
,,2014 - 2015,,,,34.0,32.0,0.94,,,,,,
,,2015 - 2016,,,,25.0,24.0,0.96,,,,,,
,,2016 - 2017,,,,30.0,29.0,0.97,,,,,,
,,2017 - 2018,,,,38.0,36.0,0.95,,,,,,
,,2018 - 2019,,,,32.0,43.0,1.34,,,,,,
,,2019 - 2020,,,,36.0,40.0,1.11,,,,,,
,,2020 - 2021,,,,28.0,28.0,1.0,,,,,,
,,2021 - 2022,,,,29.0,18.0,0.62,,,,,,
,,2022 - 2023,,,,52.0,23.0,0.44,,,,,,
,Dhubri,2000 - 2001,,,,326.0,238.0,0.73,,,,,,
,,2001 - 2002,,,,386.0,282.0,0.73,,,,,,
,,2002 - 2003,,,,337.0,246.0,0.73,,,,,,
,,2003 - 2004,,,,343.0,251.0,0.73,,,,,,
,,2004 - 2005,,,,307.0,224.0,0.73,,,,,,
,,2005 - 2006,,,,229.0,167.0,0.73,,,,,,
,,2006 - 2007,,,,148.0,108.0,0.73,,,,,,
,,2007 - 2008,,,,146.0,106.0,0.73,,,,,,
,,2008 - 2009,,,,138.0,100.0,0.72,,,,,,
,,2009 - 2010,,,,103.0,75.0,0.73,,,,,,
,,2010 - 2011,,,,97.0,71.0,0.73,,,,,,
,,2011 - 2012,,,,83.0,69.0,0.83,,,,,,
,,2012 - 2013,,,,225.0,187.0,0.83,,,,,,
,,2013 - 2014,,,,80.0,67.0,0.84,,,,,,
,,2014 - 2015,,,,69.0,64.0,0.93,,,,,,
,,2015 - 2016,,,,65.0,62.0,0.95,,,,,,
,,2016 - 2017,,,,71.0,67.0,0.94,,,,,,
,,2017 - 2018,,,,69.0,65.0,0.94,,,,,,
,,2018 - 2019,,,,80.0,77.0,0.96,,,,,,
,,2019 - 2020,,,,97.0,93.0,0.96,,,,,,
,,2020 - 2021,,,,36.0,34.0,0.94,,,,,,
,,2021 - 2022,,,,36.0,34.0,0.94,,,,,,
,,2022 - 2023,,,,86.0,82.0,0.95,,,,,,
,Dibrugarh,2000 - 2001,,,,186.0,140.0,0.75,,,,,,
,,2001 - 2002,,,,190.0,142.0,0.75,,,,,,
,,2002 - 2003,,,,190.0,143.0,0.75,,,,,,
,,2003 - 2004,,,,190.0,143.0,0.75,,,,,,
,,2004 - 2005,,,,110.0,83.0,0.75,,,,,,
,,2005 - 2006,,,,52.0,39.0,0.75,,,,,,
,,2006 - 2007,,,,14.0,11.0,0.79,,,,,,
,,2007 - 2008,,,,46.0,35.0,0.76,,,,,,
,,2008 - 2009,,,,18.0,14.0,0.78,,,,,,
,,2009 - 2010,,,,55.0,41.0,0.75,,,,,,
,,2010 - 2011,,,,64.0,48.0,0.75,,,,,,
,,2011 - 2012,,,,35.0,28.0,0.8,,,,,,
,,2012 - 2013,,,,39.0,33.0,0.85,,,,,,
,,2013 - 2014,,,,49.0,42.0,0.86,,,,,,
,,2014 - 2015,,,,49.0,47.0,0.96,,,,,,
,,2015 - 2016,,,,55.0,45.0,0.82,,,,,,
,,2016 - 2017,,,,59.0,48.0,0.81,,,,,,
,,2017 - 2018,,,,55.0,45.0,0.82,,,,,,
,,2018 - 2019,,,,61.0,52.0,0.85,,,,,,
,,2019 - 2020,,,,54.0,46.0,0.85,,,,,,
,,2020 - 2021,,,,54.0,47.0,0.87,,,,,,
,,2021 - 2022,,,,35.0,20.0,0.57,,,,,,
,,2022 - 2023,,,,33.0,26.0,0.79,,,,,,
,Dima hasao,2000 - 2001,,,,258.0,186.0,0.72,,,,,,
,,2001 - 2002,,,,259.0,186.0,0.72,,,,,,
,,2002 - 2003,,,,261.0,188.0,0.72,,,,,,
,,2003 - 2004,,,,237.0,171.0,0.72,,,,,,
,,2004 - 2005,,,,250.0,180.0,0.72,,,,,,
,,2005 - 2006,,,,250.0,180.0,0.72,,,,,,
,,2006 - 2007,,,,250.0,180.0,0.72,,,,,,
,,2007 - 2008,,,,260.0,187.0,0.72,,,,,,
,,2008 - 2009,,,,255.0,184.0,0.72,,,,,,
,,2009 - 2010,,,,340.0,245.0,0.72,,,,,,
,,2010 - 2011,,,,283.0,204.0,0.72,,,,,,
,,2011 - 2012,,,,262.0,200.0,0.76,,,,,,
,,2012 - 2013,,,,387.0,313.0,0.81,,,,,,
,,2013 - 2014,,,,416.0,343.0,0.82,,,,,,
,,2014 - 2015,,,,448.0,414.0,0.92,,,,,,
,,2015 - 2016,,,,443.0,319.0,0.72,,,,,,
,,2016 - 2017,,,,435.0,313.0,0.72,,,,,,
,,2017 - 2018,,,,443.0,319.0,0.72,,,,,,
,,2018 - 2019,,,,465.0,336.0,0.72,,,,,,
,,2019 - 2020,,,,465.0,336.0,0.72,,,,,,
,,2020 - 2021,,,,448.0,323.0,0.72,,,,,,
,,2021 - 2022,,,,422.0,305.0,0.72,,,,,,
,,2022 - 2023,,,,425.0,306.0,0.72,,,,,,
,Goalpara,2000 - 2001,,,,394.0,331.0,0.84,,,,,,
,,2001 - 2002,,,,375.0,312.0,0.83,,,,,,
,,2002 - 2003,,,,270.0,224.0,0.83,,,,,,
,,2003 - 2004,,,,250.0,209.0,0.84,,,,,,
,,2004 - 2005,,,,270.0,225.0,0.83,,,,,,
,,2005 - 2006,,,,275.0,229.0,0.83,,,,,,
,,2006 - 2007,,,,280.0,234.0,0.84,,,,,,
,,2007 - 2008,,,,455.0,379.0,0.83,,,,,,
,,2008 - 2009,,,,455.0,379.0,0.83,,,,,,
,,2009 - 2010,,,,455.0,379.0,0.83,,,,,,
,,2010 - 2011,,,,450.0,375.0,0.83,,,,,,
,,2011 - 2012,,,,250.0,219.0,0.88,,,,,,
,,2012 - 2013,,,,271.0,266.0,0.98,,,,,,
,,2013 - 2014,,,,300.0,570.0,1.9,,,,,,
,,2014 - 2015,,,,421.0,473.0,1.12,,,,,,
,,2015 - 2016,,,,546.0,601.0,1.1,,,,,,
,,2016 - 2017,,,,389.0,467.0,1.2,,,,,,
,,2017 - 2018,,,,324.0,227.0,0.7,,,,,,
,,2018 - 2019,,,,330.0,231.0,0.7,,,,,,
,,2019 - 2020,,,,376.0,263.0,0.7,,,,,,
,,2020 - 2021,,,,396.0,278.0,0.7,,,,,,
,,2021 - 2022,,,,411.0,292.0,0.71,,,,,,
,,2022 - 2023,,,,397.0,295.0,0.74,,,,,,
,Golaghat,2000 - 2001,,,,283.0,193.0,0.68,,,,,,
,,2001 - 2002,,,,287.0,194.0,0.68,,,,,,
,,2002 - 2003,,,,279.0,189.0,0.68,,,,,,
,,2003 - 2004,,,,275.0,187.0,0.68,,,,,,
,,2004 - 2005,,,,270.0,183.0,0.68,,,,,,
,,2005 - 2006,,,,272.0,185.0,0.68,,,,,,
,,2006 - 2007,,,,160.0,109.0,0.68,,,,,,
,,2007 - 2008,,,,175.0,119.0,0.68,,,,,,
,,2008 - 2009,,,,158.0,107.0,0.68,,,,,,
,,2009 - 2010,,,,132.0,90.0,0.68,,,,,,
,,2010 - 2011,,,,155.0,106.0,0.68,,,,,,
,,2011 - 2012,,,,138.0,101.0,0.73,,,,,,
,,2012 - 2013,,,,141.0,118.0,0.84,,,,,,
,,2013 - 2014,,,,155.0,132.0,0.85,,,,,,
,,2014 - 2015,,,,142.0,133.0,0.94,,,,,,
,,2015 - 2016,,,,142.0,124.0,0.87,,,,,,
,,2016 - 2017,,,,139.0,124.0,0.89,,,,,,
,,2017 - 2018,,,,130.0,113.0,0.87,,,,,,
,,2018 - 2019,,,,137.0,120.0,0.88,,,,,,
,,2019 - 2020,,,,134.0,118.0,0.88,,,,,,
,,2020 - 2021,,,,134.0,117.0,0.87,,,,,,
,,2021 - 2022,,,,120.0,104.0,0.87,,,,,,
,,2022 - 2023,,,,114.0,101.0,0.89,,,,,,
,Hailakandi,2000 - 2001,,,,70.0,48.0,0.69,,,,,,
,,2001 - 2002,,,,70.0,48.0,0.69,,,,,,
,,2002 - 2003,,,,70.0,48.0,0.69,,,,,,
,,2003 - 2004,,,,60.0,42.0,0.7,,,,,,
,,2004 - 2005,,,,60.0,42.0,0.7,,,,,,
,,2005 - 2006,,,,65.0,45.0,0.69,,,,,,
,,2006 - 2007,,,,60.0,42.0,0.7,,,,,,
,,2007 - 2008,,,,55.0,38.0,0.69,,,,,,
,,2008 - 2009,,,,60.0,42.0,0.7,,,,,,
,,2009 - 2010,,,,65.0,45.0,0.69,,,,,,
,,2010 - 2011,,,,170.0,118.0,0.69,,,,,,
,,2011 - 2012,,,,150.0,111.0,0.74,,,,,,
,,2012 - 2013,,,,70.0,55.0,0.79,,,,,,
,,2013 - 2014,,,,80.0,63.0,0.79,,,,,,
,,2014 - 2015,,,,70.0,62.0,0.89,,,,,,
,,2015 - 2016,,,,66.0,36.0,0.55,,,,,,
,,2016 - 2017,,,,66.0,36.0,0.55,,,,,,
,,2017 - 2018,,,,60.0,33.0,0.55,,,,,,
,,2018 - 2019,,,,61.0,31.0,0.51,,,,,,
,,2019 - 2020,,,,55.0,28.0,0.51,,,,,,
,,2020 - 2021,,,,55.0,28.0,0.51,,,,,,
,,2021 - 2022,,,,55.0,28.0,0.51,,,,,,
,,2022 - 2023,,,,45.0,20.0,0.44,,,,,,
,Jorhat,2000 - 2001,,,,30.0,19.0,0.63,,,,,,
,,2001 - 2002,,,,32.0,19.0,0.59,,,,,,
,,2002 - 2003,,,,23.0,13.0,0.57,,,,,,
,,2003 - 2004,,,,18.0,11.0,0.61,,,,,,
,,2004 - 2005,,,,17.0,10.0,0.59,,,,,,
,,2005 - 2006,,,,18.0,11.0,0.61,,,,,,
,,2006 - 2007,,,,19.0,11.0,0.58,,,,,,
,,2007 - 2008,,,,7.0,5.0,0.71,,,,,,
,,2008 - 2009,,,,12.0,7.0,0.58,,,,,,
,,2009 - 2010,,,,41.0,24.0,0.59,,,,,,
,,2010 - 2011,,,,49.0,29.0,0.59,,,,,,
,,2011 - 2012,,,,28.0,20.0,0.71,,,,,,
,,2012 - 2013,,,,32.0,25.0,0.78,,,,,,
,,2013 - 2014,,,,38.0,31.0,0.82,,,,,,
,,2014 - 2015,,,,32.0,29.0,0.91,,,,,,
,,2015 - 2016,,,,34.0,31.0,0.91,,,,,,
,,2016 - 2017,,,,30.0,27.0,0.9,,,,,,
,,2017 - 2018,,,,20.0,17.0,0.85,,,,,,
,,2018 - 2019,,,,36.0,32.0,0.89,,,,,,
,,2019 - 2020,,,,52.0,47.0,0.9,,,,,,
,,2020 - 2021,,,,26.0,23.0,0.88,,,,,,
,,2021 - 2022,,,,21.0,19.0,0.9,,,,,,
,,2022 - 2023,,,,20.0,18.0,0.9,,,,,,
,Kamrup,2000 - 2001,,,,457.0,366.0,0.8,,,,,,
,,2001 - 2002,,,,427.0,342.0,0.8,,,,,,
,,2002 - 2003,,,,370.0,296.0,0.8,,,,,,
,,2003 - 2004,,,,357.0,285.0,0.8,,,,,,
,,2004 - 2005,,,,397.0,317.0,0.8,,,,,,
,,2005 - 2006,,,,298.0,239.0,0.8,,,,,,
,,2006 - 2007,,,,635.0,508.0,0.8,,,,,,
,,2007 - 2008,,,,181.0,145.0,0.8,,,,,,
,,2008 - 2009,,,,146.0,117.0,0.8,,,,,,
,,2009 - 2010,,,,171.0,136.0,0.8,,,,,,
,,2010 - 2011,,,,160.0,128.0,0.8,,,,,,
,,2011 - 2012,,,,157.0,145.0,0.92,,,,,,
,,2012 - 2013,,,,187.0,168.0,0.9,,,,,,
,,2013 - 2014,,,,198.0,183.0,0.92,,,,,,
,,2014 - 2015,,,,169.0,173.0,1.02,,,,,,
,,2015 - 2016,,,,176.0,161.0,0.91,,,,,,
,,2016 - 2017,,,,178.0,165.0,0.93,,,,,,
,,2017 - 2018,,,,164.0,152.0,0.93,,,,,,
,,2018 - 2019,,,,172.0,159.0,0.92,,,,,,
,,2019 - 2020,,,,172.0,159.0,0.92,,,,,,
,,2020 - 2021,,,,291.0,268.0,0.92,,,,,,
,,2021 - 2022,,,,330.0,300.0,0.91,,,,,,
,,2022 - 2023,,,,270.0,211.0,0.78,,,,,,
,Kamrup metro,2005 - 2006,,,,12.0,10.0,0.83,,,,,,
,,2006 - 2007,,,,275.0,220.0,0.8,,,,,,
,,2007 - 2008,,,,75.0,60.0,0.8,,,,,,
,,2008 - 2009,,,,46.0,37.0,0.8,,,,,,
,,2009 - 2010,,,,35.0,28.0,0.8,,,,,,
,,2010 - 2011,,,,47.0,38.0,0.81,,,,,,
,,2011 - 2012,,,,38.0,32.0,0.84,,,,,,
,,2012 - 2013,,,,40.0,36.0,0.9,,,,,,
,,2013 - 2014,,,,40.0,36.0,0.9,,,,,,
,,2014 - 2015,,,,39.0,40.0,1.03,,,,,,
,,2015 - 2016,,,,34.0,31.0,0.91,,,,,,
,,2016 - 2017,,,,22.0,20.0,0.91,,,,,,
,,2017 - 2018,,,,29.0,27.0,0.93,,,,,,
,,2018 - 2019,,,,31.0,29.0,0.94,,,,,,
,,2019 - 2020,,,,12.0,11.0,0.92,,,,,,
,,2020 - 2021,,,,27.0,25.0,0.93,,,,,,
,,2021 - 2022,,,,31.0,29.0,0.94,,,,,,
,,2022 - 2023,,,,28.0,42.0,1.5,,,,,,
,Karbi anglong,2000 - 2001,,,,,696.0,0.68,,,,,,
,,2001 - 2002,,,,958.0,657.0,0.69,,,,,,
,,2002 - 2003,,,,959.0,660.0,0.69,,,,,,
,,2003 - 2004,,,,,778.0,0.67,,,,,,
,,2004 - 2005,,,,,782.0,0.68,,,,,,
,,2005 - 2006,,,,,801.0,0.68,,,,,,
,,2006 - 2007,,,,,821.0,0.67,,,,,,
,,2007 - 2008,,,,,818.0,0.67,,,,,,
,,2008 - 2009,,,,,838.0,0.68,,,,,,
,,2009 - 2010,,,,,900.0,0.72,,,,,,
,,2010 - 2011,,,,,910.0,0.72,,,,,,
,,2011 - 2012,,,,,828.0,0.76,,,,,,
,,2012 - 2013,,,,,874.0,0.8,,,,,,
,,2013 - 2014,,,,,934.0,0.76,,,,,,
,,2014 - 2015,,,,,,0.92,,,,,,
,,2015 - 2016,,,,,919.0,0.82,,,,,,
,,2016 - 2017,,,,,900.0,0.79,,,,,,
,,2017 - 2018,,,,,855.0,0.79,,,,,,
,,2018 - 2019,,,,,926.0,0.76,,,,,,
,,2019 - 2020,,,,,954.0,0.76,,,,,,
,,2020 - 2021,,,,734.0,561.0,0.76,,,,,,
,,2021 - 2022,,,,698.0,533.0,0.76,,,,,,
,,2022 - 2023,,,,484.0,370.0,0.76,,,,,,
,Karimganj,2000 - 2001,,,,55.0,38.0,0.69,,,,,,
,,2001 - 2002,,,,55.0,38.0,0.69,,,,,,
,,2002 - 2003,,,,55.0,38.0,0.69,,,,,,
,,2003 - 2004,,,,45.0,31.0,0.69,,,,,,
,,2004 - 2005,,,,42.0,29.0,0.69,,,,,,
,,2005 - 2006,,,,40.0,28.0,0.7,,,,,,
,,2006 - 2007,,,,47.0,32.0,0.68,,,,,,
,,2007 - 2008,,,,47.0,32.0,0.68,,,,,,
,,2008 - 2009,,,,47.0,32.0,0.68,,,,,,
,,2009 - 2010,,,,51.0,36.0,0.71,,,,,,
,,2010 - 2011,,,,78.0,54.0,0.69,,,,,,
,,2011 - 2012,,,,85.0,66.0,0.78,,,,,,
,,2012 - 2013,,,,86.0,67.0,0.78,,,,,,
,,2013 - 2014,,,,77.0,58.0,0.75,,,,,,
,,2014 - 2015,,,,75.0,66.0,0.88,,,,,,
,,2015 - 2016,,,,70.0,62.0,0.89,,,,,,
,,2016 - 2017,,,,75.0,57.0,0.76,,,,,,
,,2017 - 2018,,,,65.0,25.0,0.38,,,,,,
,,2018 - 2019,,,,63.0,50.0,0.79,,,,,,
,,2019 - 2020,,,,65.0,59.0,0.91,,,,,,
,,2020 - 2021,,,,65.0,59.0,0.91,,,,,,
,,2021 - 2022,,,,65.0,59.0,0.91,,,,,,
,,2022 - 2023,,,,60.0,54.0,0.9,,,,,,
,Kokrajhar,2000 - 2001,,,,274.0,178.0,0.65,,,,,,
,,2001 - 2002,,,,283.0,184.0,0.65,,,,,,
,,2002 - 2003,,,,300.0,195.0,0.65,,,,,,
,,2003 - 2004,,,,307.0,199.0,0.65,,,,,,
,,2004 - 2005,,,,322.0,209.0,0.65,,,,,,
,,2005 - 2006,,,,288.0,187.0,0.65,,,,,,
,,2006 - 2007,,,,280.0,182.0,0.65,,,,,,
