state,district,year,arhar_tur_rabi_area_hectare,arhar_tur_rabi_production_tonne,arhar_tur_rabi_yield_tonne_per_hectare,arhar_tur_kharif_area_hectare,arhar_tur_kharif_production_tonne,arhar_tur_kharif_yield_tonne_per_hectare,arhar_tur_winter_area_hectare,arhar_tur_winter_production_tonne,arhar_tur_winter_yield_tonne_per_hectare,arhar_tur_whole_year_area_hectare,arhar_tur_whole_year_production_tonne,arhar_tur_whole_year_yield_tonne_per_hectare
,,2008 - 2009,334.0,159.0,0.48,712.0,340.0,0.48,,,,,,
,,2009 - 2010,87.0,58.0,0.67,,,0.66,,,,,,
,,2010 - 2011,363.0,184.0,0.51,,,0.51,,,,,,
,,2011 - 2012,119.0,63.0,0.53,578.0,306.0,0.53,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,
,,2013 - 2014,220.0,211.0,0.96,,,0.96,,,,,,
,,2014 - 2015,102.0,85.0,0.83,457.0,382.0,0.84,,,,,,
,,2015 - 2016,205.0,204.0,1.0,737.0,734.0,1.0,,,,,,
,,2016 - 2017,109.0,65.0,0.6,,,0.6,,,,,,
,,2017 - 2018,180.0,114.0,0.63,,756.0,0.63,,,,,,
,,2018 - 2019,84.0,43.0,0.51,50.0,26.0,0.52,,,,,,
,,2019 - 2020,131.0,82.0,0.63,757.0,472.0,0.62,,,,,,
,,2020 - 2021,306.0,66.0,0.22,810.0,175.0,0.22,,,,,,
,,2021 - 2022,299.0,77.0,0.26,512.0,132.0,0.26,,,,,,
,,2022 - 2023,225.0,81.0,0.36,335.0,88.0,0.26,,,,,,
,Sri sathya sai,2022 - 2023,,,,,,0.09,,,,,,
,Srikakulam,2000 - 2001,,,,,974.0,0.55,,,,,,
,,2001 - 2002,,,,,813.0,0.58,,,,,,
,,2002 - 2003,,,,,533.0,0.35,,,,,,
,,2003 - 2004,,,,,665.0,0.42,,,,,,
,,2004 - 2005,,,,,948.0,0.66,,,,,,
,,2005 - 2006,,,,,872.0,0.61,,,,,,
,,2006 - 2007,,,,,789.0,0.48,,,,,,
,,2007 - 2008,,,,,,0.5,,,,,,
,,2008 - 2009,,,,,636.0,0.48,,,,,,
,,2009 - 2010,,,,,718.0,0.66,,,,,,
,,2010 - 2011,,,,,832.0,0.51,,,,,,
,,2011 - 2012,25.0,13.0,0.52,,628.0,0.53,,,,,,
,,2012 - 2013,,,,,,1.0,,,,,,
,,2013 - 2014,16.0,15.0,0.94,706.0,678.0,0.96,,,,,,
,,2014 - 2015,12.0,10.0,0.83,646.0,539.0,0.83,,,,,,
,,2015 - 2016,14.0,3.0,0.21,634.0,144.0,0.23,,,,,,
,,2016 - 2017,4.0,2.0,0.5,657.0,311.0,0.47,,,,,,
,,2017 - 2018,42.0,24.0,0.57,610.0,343.0,0.56,,,,,,
,,2018 - 2019,,,,692.0,190.0,0.27,,,,,,
,,2019 - 2020,3.0,1.0,0.33,498.0,201.0,0.4,,,,,,
,,2020 - 2021,,,,477.0,209.0,0.44,,,,,,
,,2021 - 2022,,,,243.0,112.0,0.46,,,,,,
,,2022 - 2023,,,,67.0,24.0,0.36,,,,,,
,Tirupati,2022 - 2023,25.0,8.0,0.32,154.0,47.0,0.31,,,,,,
,Visakhapatanam,2000 - 2001,42.0,14.0,0.33,,,0.33,,,,,,
,,2001 - 2002,47.0,15.0,0.32,,,0.31,,,,,,
,,2002 - 2003,,,,,,0.34,,,,,,
,,2003 - 2004,6.0,3.0,0.5,,,0.51,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,,0.47,,,,,,
,,2005 - 2006,,,,,,0.29,,,,,,
,,2006 - 2007,,,,,,0.37,,,,,,
,,2007 - 2008,,,,,,0.67,,,,,,
,,2008 - 2009,,,,,868.0,0.3,,,,,,
,,2009 - 2010,362.0,197.0,0.54,,,0.54,,,,,,
,,2010 - 2011,18.0,7.0,0.39,,,0.38,,,,,,
,,2011 - 2012,29.0,12.0,0.41,,,0.4,,,,,,
,,2012 - 2013,,,,,,0.5,,,,,,
,,2013 - 2014,22.0,8.0,0.36,,619.0,0.34,,,,,,
,,2014 - 2015,4.0,1.0,0.25,,364.0,0.19,,,,,,
,,2015 - 2016,6.0,2.0,0.33,,413.0,0.26,,,,,,
,,2016 - 2017,3.0,1.0,0.33,,854.0,0.48,,,,,,
,,2017 - 2018,,,,,752.0,0.48,,,,,,
,,2018 - 2019,,,,,443.0,0.37,,,,,,
,,2019 - 2020,1.0,0.0,0.0,973.0,406.0,0.42,,,,,,
,,2020 - 2021,,,,669.0,244.0,0.36,,,,,,
,,2021 - 2022,,,,,410.0,0.37,,,,,,
,,2022 - 2023,,,,39.0,14.0,0.36,,,,,,
,Vizianagaram,2000 - 2001,,,,,722.0,0.55,,,,,,
,,2001 - 2002,,,,,765.0,0.58,,,,,,
,,2002 - 2003,,,,,555.0,0.35,,,,,,
,,2003 - 2004,,,,,791.0,0.42,,,,,,
,,2004 - 2005,,,,,,0.66,,,,,,
,,2005 - 2006,,,,,913.0,0.61,,,,,,
,,2006 - 2007,,,,,713.0,0.48,,,,,,
,,2007 - 2008,,,,,,0.5,,,,,,
,,2008 - 2009,,,,,896.0,0.48,,,,,,
,,2009 - 2010,120.0,79.0,0.66,,,0.66,,,,,,
,,2010 - 2011,,,,,,0.51,,,,,,
,,2011 - 2012,,,,,743.0,0.53,,,,,,
,,2012 - 2013,,,,,,0.5,,,,,,
,,2013 - 2014,,,,,,0.96,,,,,,
,,2014 - 2015,28.0,23.0,0.82,,889.0,0.83,,,,,,
,,2015 - 2016,8.0,6.0,0.75,983.0,701.0,0.71,,,,,,
,,2016 - 2017,,,,,,0.78,,,,,,
,,2017 - 2018,,,,,716.0,0.71,,,,,,
,,2018 - 2019,2.0,1.0,0.5,692.0,197.0,0.28,,,,,,
,,2019 - 2020,,,,484.0,212.0,0.44,,,,,,
,,2020 - 2021,,,,408.0,187.0,0.46,,,,,,
,,2021 - 2022,,,,555.0,275.0,0.5,,,,,,
,,2022 - 2023,,,,12.0,4.0,0.33,,,,,,
,West godavari,2000 - 2001,256.0,142.0,0.55,436.0,242.0,0.56,,,,,,
,,2001 - 2002,10.0,6.0,0.6,182.0,106.0,0.58,,,,,,
,,2002 - 2003,82.0,29.0,0.35,245.0,86.0,0.35,,,,,,
,,2003 - 2004,119.0,50.0,0.42,577.0,244.0,0.42,,,,,,
,,2004 - 2005,7.0,5.0,0.71,326.0,216.0,0.66,,,,,,
,,2005 - 2006,,,,409.0,247.0,0.6,,,,,,
,,2006 - 2007,,,,269.0,129.0,0.48,,,,,,
,,2008 - 2009,,,,259.0,124.0,0.48,,,,,,
,,2009 - 2010,231.0,153.0,0.66,894.0,592.0,0.66,,,,,,
,,2010 - 2011,255.0,129.0,0.51,334.0,169.0,0.51,,,,,,
,,2011 - 2012,82.0,43.0,0.52,141.0,75.0,0.53,,,,,,
,,2013 - 2014,80.0,77.0,0.96,127.0,122.0,0.96,,,,,,
,,2014 - 2015,639.0,534.0,0.84,90.0,75.0,0.83,,,,,,
,,2015 - 2016,581.0,525.0,0.9,611.0,552.0,0.9,,,,,,
,,2016 - 2017,120.0,70.0,0.58,456.0,266.0,0.58,,,,,,
,,2017 - 2018,49.0,28.0,0.57,140.0,80.0,0.57,,,,,,
,,2018 - 2019,16.0,4.0,0.25,100.0,24.0,0.24,,,,,,
,,2019 - 2020,25.0,13.0,0.52,75.0,40.0,0.53,,,,,,
,,2020 - 2021,20.0,9.0,0.45,14.0,6.0,0.43,,,,,,
,,2021 - 2022,22.0,9.0,0.41,86.0,35.0,0.41,,,,,,
Arunachal Pradesh,Dibang valley,2016 - 2017,,,,52.0,30.0,0.58,,,,,,
,,2017 - 2018,,,,48.0,30.0,0.63,,,,,,
,,2018 - 2019,,,,48.0,30.0,0.63,,,,,,
,,2019 - 2020,,,,48.0,30.0,0.63,,,,,,
,,2020 - 2021,,,,48.0,30.0,0.63,,,,,,
,,2021 - 2022,,,,48.0,32.0,0.67,,,,,,
,,2022 - 2023,,,,49.0,33.0,0.67,,,,,,
,East kameng,2016 - 2017,,,,74.0,68.0,0.92,,,,,,
,,2017 - 2018,,,,80.0,76.0,0.95,,,,,,
,,2018 - 2019,,,,80.0,76.0,0.95,,,,,,
,,2019 - 2020,,,,56.0,53.0,0.95,,,,,,
,,2020 - 2021,,,,56.0,53.0,0.95,,,,,,
,,2021 - 2022,,,,58.0,55.0,0.95,,,,,,
,,2022 - 2023,,,,60.0,57.0,0.95,,,,,,
,East siang,2016 - 2017,,,,63.0,59.0,0.94,,,,,,
,,2017 - 2018,,,,68.0,60.0,0.88,,,,,,
,,2018 - 2019,,,,68.0,60.0,0.88,,,,,,
,,2019 - 2020,,,,68.0,60.0,0.88,,,,,,
,,2020 - 2021,,,,68.0,60.0,0.88,,,,,,
,,2021 - 2022,,,,70.0,63.0,0.9,,,,,,
,,2022 - 2023,,,,72.0,65.0,0.9,,,,,,
,Kamle,2018 - 2019,,,,40.0,32.0,0.8,,,,,,
,,2019 - 2020,,,,40.0,36.0,0.9,,,,,,
,,2020 - 2021,,,,40.0,36.0,0.9,,,,,,
,,2021 - 2022,,,,41.0,38.0,0.93,,,,,,
,,2022 - 2023,,,,42.0,39.0,0.93,,,,,,
,Leparada,2019 - 2020,,,,10.0,11.0,1.1,,,,,,
,,2020 - 2021,,,,10.0,11.0,1.1,,,,,,
,,2021 - 2022,,,,12.0,14.0,1.17,,,,,,
,,2022 - 2023,,,,13.0,15.0,1.15,,,,,,
,Lohit,2016 - 2017,,,,26.0,14.0,0.54,,,,,,
,,2017 - 2018,,,,15.0,14.0,0.93,,,,,,
,,2018 - 2019,,,,15.0,14.0,0.93,,,,,,
,,2019 - 2020,,,,16.0,14.0,0.88,,,,,,
,,2020 - 2021,,,,16.0,14.0,0.88,,,,,,
,,2021 - 2022,,,,19.0,16.0,0.84,,,,,,
,,2022 - 2023,,,,20.0,17.0,0.85,,,,,,
,Longding,2016 - 2017,,,,28.0,9.0,0.32,,,,,,
,,2017 - 2018,,,,24.0,8.0,0.33,,,,,,
,,2018 - 2019,,,,24.0,8.0,0.33,,,,,,
,,2019 - 2020,,,,24.0,8.0,0.33,,,,,,
,,2020 - 2021,,,,24.0,8.0,0.33,,,,,,
,,2021 - 2022,,,,24.0,8.0,0.33,,,,,,
,,2022 - 2023,,,,25.0,10.0,0.4,,,,,,
,Lower dibang valley,2016 - 2017,,,,89.0,80.0,0.9,,,,,,
,,2017 - 2018,,,,95.0,90.0,0.95,,,,,,
,,2018 - 2019,,,,95.0,90.0,0.95,,,,,,
,,2019 - 2020,,,,96.0,90.0,0.94,,,,,,
,,2020 - 2021,,,,96.0,90.0,0.94,,,,,,
,,2021 - 2022,,,,98.0,92.0,0.94,,,,,,
,,2022 - 2023,,,,101.0,94.0,0.93,,,,,,
,Lower siang,2018 - 2019,,,,32.0,32.0,1.0,,,,,,
,,2019 - 2020,,,,29.0,29.0,1.0,,,,,,
,,2020 - 2021,,,,29.0,29.0,1.0,,,,,,
,,2021 - 2022,,,,31.0,32.0,1.03,,,,,,
,,2022 - 2023,,,,33.0,34.0,1.03,,,,,,
,Lower subansiri,2016 - 2017,,,,46.0,42.0,0.91,,,,,,
,,2017 - 2018,,,,54.0,41.0,0.76,,,,,,
,,2018 - 2019,,,,40.0,41.0,1.03,,,,,,
,,2019 - 2020,,,,40.0,42.0,1.05,,,,,,
,,2020 - 2021,,,,40.0,42.0,1.05,,,,,,
,,2021 - 2022,,,,41.0,44.0,1.07,,,,,,
,,2022 - 2023,,,,42.0,46.0,1.1,,,,,,
,Namsai,2016 - 2017,,,,34.0,21.0,0.62,,,,,,
,,2017 - 2018,,,,50.0,21.0,0.42,,,,,,
,,2018 - 2019,,,,50.0,21.0,0.42,,,,,,
,,2019 - 2020,,,,51.0,21.0,0.41,,,,,,
,,2020 - 2021,,,,51.0,21.0,0.41,,,,,,
,,2021 - 2022,,,,54.0,24.0,0.44,,,,,,
,,2022 - 2023,,,,57.0,32.0,0.56,,,,,,
,Pakke kessang,2019 - 2020,,,,24.0,23.0,0.96,,,,,,
,,2020 - 2021,,,,24.0,23.0,0.96,,,,,,
,,2021 - 2022,,,,26.0,25.0,0.96,,,,,,
,,2022 - 2023,,,,27.0,26.0,0.96,,,,,,
,Papum pare,2016 - 2017,,,,62.0,69.0,1.11,,,,,,
,,2017 - 2018,,,,70.0,69.0,0.99,,,,,,
,,2018 - 2019,,,,70.0,69.0,0.99,,,,,,
,,2019 - 2020,,,,70.0,70.0,1.0,,,,,,
,,2020 - 2021,,,,70.0,70.0,1.0,,,,,,
,,2021 - 2022,,,,74.0,72.0,0.97,,,,,,
,,2022 - 2023,,,,76.0,73.0,0.96,,,,,,
,Siang,2016 - 2017,,,,67.0,44.0,0.66,,,,,,
,,2017 - 2018,,,,61.0,43.0,0.7,,,,,,
,,2018 - 2019,,,,61.0,43.0,0.7,,,,,,
,,2019 - 2020,,,,61.0,43.0,0.7,,,,,,
,,2020 - 2021,,,,61.0,43.0,0.7,,,,,,
,,2021 - 2022,,,,65.0,45.0,0.69,,,,,,
