state,district,year,castor_seed_kharif_area_hectare,castor_seed_kharif_production_tonne,castor_seed_kharif_yield_tonne_per_hectare,castor_seed_rabi_area_hectare,castor_seed_rabi_production_tonne,castor_seed_rabi_yield_tonne_per_hectare,castor_seed_whole_year_area_hectare,castor_seed_whole_year_production_tonne,castor_seed_whole_year_yield_tonne_per_hectare
,,2009 - 2010,1.0,1.0,1.0,,,,,,
,,2010 - 2011,17.0,7.0,0.41,,,,,,
,,2011 - 2012,4.0,2.0,0.5,,,,,,
,,2013 - 2014,1.0,1.0,1.0,,,,,,
,,2014 - 2015,1.0,1.0,1.0,,,,,,
,,2017 - 2018,1.0,1.0,1.0,,,,,,
,,2018 - 2019,1.0,,0.0,,,,,,
,,2019 - 2020,1.0,1.0,1.0,,,,,,
,,2020 - 2021,8.0,2.0,0.25,,,,,,
,,2022 - 2023,3.0,1.0,0.33,,,,,,
,West godavari,2000 - 2001,276.0,84.0,0.3,,,,,,
,,2001 - 2002,14.0,4.0,0.29,,,,,,
,,2016 - 2017,2.0,1.0,0.5,,,,,,
Assam,Baksa,2005 - 2006,22.0,11.0,0.5,,,,,,
,,2006 - 2007,41.0,21.0,0.51,,,,,,
,,2007 - 2008,27.0,14.0,0.52,,,,,,
,,2008 - 2009,32.0,16.0,0.5,,,,,,
,,2009 - 2010,33.0,17.0,0.52,,,,,,
,,2010 - 2011,27.0,14.0,0.52,,,,,,
,,2011 - 2012,31.0,19.0,0.61,,,,,,
,,2012 - 2013,25.0,16.0,0.64,,,,,,
,,2013 - 2014,25.0,14.0,0.56,,,,,,
,,2014 - 2015,27.0,19.0,0.7,,,,,,
,,2015 - 2016,20.0,13.0,0.65,,,,,,
,,2016 - 2017,20.0,14.0,0.7,,,,,,
,,2017 - 2018,17.0,11.0,0.65,,,,,,
,,2018 - 2019,15.0,10.0,0.67,,,,,,
,,2019 - 2020,15.0,9.0,0.6,,,,,,
,,2020 - 2021,14.0,8.0,0.57,,,,,,
,,2021 - 2022,13.0,8.0,0.62,,,,,,
,,2022 - 2023,11.0,6.0,0.55,,,,,,
,Barpeta,2000 - 2001,11.0,6.0,0.55,,,,,,
,,2001 - 2002,10.0,6.0,0.6,,,,,,
,,2002 - 2003,10.0,6.0,0.6,,,,,,
,,2003 - 2004,11.0,6.0,0.55,,,,,,
,,2004 - 2005,11.0,6.0,0.55,,,,,,
,,2005 - 2006,16.0,9.0,0.56,,,,,,
,,2006 - 2007,15.0,8.0,0.53,,,,,,
,,2007 - 2008,17.0,10.0,0.59,,,,,,
,,2008 - 2009,44.0,26.0,0.59,,,,,,
,,2009 - 2010,54.0,31.0,0.57,,,,,,
,,2010 - 2011,34.0,20.0,0.59,,,,,,
,,2011 - 2012,14.0,10.0,0.71,,,,,,
,,2012 - 2013,14.0,11.0,0.79,,,,,,
,,2013 - 2014,14.0,9.0,0.64,,,,,,
,,2014 - 2015,13.0,10.0,0.77,,,,,,
,,2015 - 2016,13.0,8.0,0.62,,,,,,
,,2016 - 2017,13.0,8.0,0.62,,,,,,
,,2017 - 2018,12.0,8.0,0.67,,,,,,
,,2018 - 2019,9.0,4.0,0.44,,,,,,
,,2019 - 2020,12.0,5.0,0.42,,,,,,
,,2020 - 2021,11.0,5.0,0.45,,,,,,
