state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
,,2018 - 2019,,,1.29,,,1.05,,,,,,,,,,,,
,,2019 - 2020,,,1.4,,,1.26,,,,,,,,,,,,
,,2020 - 2021,,,1.34,,,1.15,,,,,,,,,,,,
,,2021 - 2022,,,1.33,,,0.71,,,,,,,,,,,,
,,2022 - 2023,,,1.64,,,1.37,,,,,,,,,,,,
,Kurnool,2000 - 2001,,,0.8,,175.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.68,,,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.58,,158.0,0.05,,,,,,,,,,,,
,,2003 - 2004,951.0,368.0,0.39,,977.0,0.62,,,,,,,,,,,,
,,2004 - 2005,,,0.63,,490.0,0.48,,,,,,,,,,,,
,,2005 - 2006,670.0,421.0,0.63,,449.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,0.78,,,0.38,,,,,,,,,,,,
,,2007 - 2008,,,0.5,,,0.63,,,,,,,,,,,,
,,2008 - 2009,988.0,662.0,0.67,,411.0,0.36,,,,,,,,,,,,
,,2009 - 2010,,,0.74,,915.0,0.29,,,,,,,,,,,,
,,2010 - 2011,,,0.53,,,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.7,,,0.53,,,,,,,,,,,,
,,2012 - 2013,,,0.8,,,1.0,,,,,,,,,,,,
,,2013 - 2014,,,0.79,,,0.93,,,,,,,,,,,,
,,2014 - 2015,,,1.95,,,1.33,,,,,,,,,,,,
,,2015 - 2016,,,1.19,,,0.9,,,,,,,,,,,,
,,2016 - 2017,,,1.53,,,1.32,,,,,,,,,,,,
,,2017 - 2018,,,1.34,,,0.82,,,,,,,,,,,,
,,2018 - 2019,,,1.22,,,0.92,,,,,,,,,,,,
,,2019 - 2020,,,1.41,,,0.73,,,,,,,,,,,,
,,2020 - 2021,,,1.55,,,0.9,,,,,,,,,,,,
,,2021 - 2022,,,1.72,,,1.12,,,,,,,,,,,,
,,2022 - 2023,737.0,,1.39,91.0,67.0,0.74,,,,,,,,,,,,
,Nandyal,2022 - 2023,,,1.52,,,0.91,,,,,,,,,,,,
,Ntr,2022 - 2023,165.0,171.0,1.04,,,0.78,,,,,,,,,,,,
,Palnadu,2022 - 2023,,931.0,0.8,,832.0,0.56,,,,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,,,0.58,93.0,101.0,1.09,,,,,,,,,,,,
,Prakasam,2000 - 2001,,,0.84,,185.0,0.06,,,,,,,,,,,,
,,2001 - 2002,,,0.57,,815.0,0.36,,,,,,,,,,,,
,,2002 - 2003,,,0.32,,59.0,0.05,,,,,,,,,,,,
,,2003 - 2004,,,0.86,932.0,574.0,0.62,,,,,,,,,,,,
,,2004 - 2005,,,0.51,997.0,481.0,0.48,,,,,,,,,,,,
,,2005 - 2006,,,0.45,,852.0,0.34,,,,,,,,,,,,
,,2006 - 2007,,,0.71,,650.0,0.38,,,,,,,,,,,,
,,2007 - 2008,,,0.85,,,0.67,,,,,,,,,,,,
,,2008 - 2009,,,0.65,,,0.36,,,,,,,,,,,,
,,2009 - 2010,,,0.59,,861.0,0.29,,,,,,,,,,,,
,,2010 - 2011,,,0.38,,993.0,0.42,,,,,,,,,,,,
,,2011 - 2012,,,0.44,,,0.5,,,,,,,,,,,,
,,2012 - 2013,,,0.7,,,0.5,,,,,,,,,,,,
,,2013 - 2014,,,0.82,,,0.63,,,,,,,,,,,,
,,2014 - 2015,,,0.87,,,1.02,,,,,,,,,,,,
,,2015 - 2016,,,0.62,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,0.33,,,0.21,,,,,,,,,,,,
