state,district,year,urad_rabi_area_hectare,urad_rabi_production_tonne,urad_rabi_yield_tonne_per_hectare,urad_kharif_area_hectare,urad_kharif_production_tonne,urad_kharif_yield_tonne_per_hectare,urad_summer_area_hectare,urad_summer_production_tonne,urad_summer_yield_tonne_per_hectare,urad_autumn_area_hectare,urad_autumn_production_tonne,urad_autumn_yield_tonne_per_hectare,urad_whole_year_area_hectare,urad_whole_year_production_tonne,urad_whole_year_yield_tonne_per_hectare,urad_winter_area_hectare,urad_winter_production_tonne,urad_winter_yield_tonne_per_hectare
,,2010 - 2011,5.0,1.0,0.2,,,0.36,,,,,,,,,,,,
,,2011 - 2012,,,,,541.0,0.15,,,,,,,,,,,,
,,2012 - 2013,,,,,893.0,0.35,,,,,,,,,,,,
,,2013 - 2014,,,,662.0,240.0,0.36,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.6,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.58,100.0,130.0,1.3,,,,,,,,,
,,2018 - 2019,,,,,384.0,0.33,2.0,1.0,0.5,,,,,,,,,
,,2019 - 2020,,,,356.0,68.0,0.19,,,,,,,,,,,,
,,2020 - 2021,,,,349.0,63.0,0.18,,,,,,,,,,,,
,,2021 - 2022,,,,439.0,111.0,0.25,7.0,4.0,0.57,,,,,,,,,
,,2022 - 2023,,,,106.0,42.0,0.4,1.0,1.0,1.0,,,,,,,,,
,Sheopur,2003 - 2004,,,,295.0,161.0,0.55,,,,,,,,,,,,
,,2004 - 2005,,,,289.0,159.0,0.55,,,,,,,,,,,,
,,2005 - 2006,,,,,290.0,0.26,,,,,,,,,,,,
,,2006 - 2007,,,,,254.0,0.22,,,,,,,,,,,,
,,2007 - 2008,,,,,371.0,0.22,,,,,,,,,,,,
,,2008 - 2009,,,,,250.0,0.22,,,,,,,,,,,,
,,2009 - 2010,,,,907.0,217.0,0.24,,,,,,,,,,,,
,,2010 - 2011,,,,807.0,193.0,0.24,,,,,,,,,,,,
,,2011 - 2012,,,,,267.0,0.16,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.66,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.85,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.75,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.99,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.83,2.0,1.0,0.5,,,,,,,,,
,,2019 - 2020,,,,,,0.6,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.68,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.27,44.0,30.0,0.68,,,,,,,,,
,,2022 - 2023,,,,,,0.67,3.0,2.0,0.67,,,,,,,,,
,Shivpuri,2003 - 2004,,,,,,0.45,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.47,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.46,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.4,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.29,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.45,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.43,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.46,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.33,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.35,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.33,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.51,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.36,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.52,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.86,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.36,36.0,13.0,0.36,,,,,,,,,
,,2019 - 2020,,,,,,0.32,125.0,74.0,0.59,,,,,,,,,
,,2020 - 2021,,,,,,0.26,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.29,122.0,83.0,0.68,,,,,,,,,
,,2022 - 2023,,,,,,0.36,60.0,47.0,0.78,,,,,,,,,
,Sidhi,2003 - 2004,,,,,,0.45,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.43,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.38,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.4,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.43,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.43,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.46,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.43,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.27,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.34,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.44,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.4,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.63,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.52,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.45,10.0,3.0,0.3,,,,,,,,,
,,2019 - 2020,,,,,,0.41,271.0,206.0,0.76,,,,,,,,,
,,2020 - 2021,,,,,,0.39,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.47,6.0,5.0,0.83,,,,,,,,,
,,2022 - 2023,,,,,,0.47,2.0,2.0,1.0,,,,,,,,,
,Singrauli,2008 - 2009,,,,,,0.43,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.55,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.59,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.35,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.38,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.46,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.57,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.67,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.56,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.62,69.0,17.0,0.25,,,,,,,,,
,,2019 - 2020,,,,,,0.49,618.0,270.0,0.44,,,,,,,,,
,,2020 - 2021,,,,,,0.38,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.62,87.0,81.0,0.93,,,,,,,,,
,,2022 - 2023,,,,,,0.62,145.0,135.0,0.93,,,,,,,,,
,Tikamgarh,2003 - 2004,12.0,4.0,0.33,,,0.33,,,,,,,,,,,,
,,2004 - 2005,17.0,5.0,0.29,,,0.29,,,,,,,,,,,,
,,2005 - 2006,3.0,1.0,0.33,,,0.33,,,,,,,,,,,,
,,2006 - 2007,5.0,1.0,0.2,,,0.23,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.29,,,,,,,,,,,,
,,2008 - 2009,12.0,3.0,0.25,,,0.37,,,,,,,,,,,,
,,2009 - 2010,6.0,2.0,0.33,,,0.3,,,,,,,,,,,,
,,2010 - 2011,6.0,2.0,0.33,,,0.36,,,,,,,,,,,,
,,2011 - 2012,13.0,2.0,0.15,,,0.21,,,,,,,,,,,,
,,2012 - 2013,6.0,1.0,0.17,,,0.22,,,,,,,,,,,,
,,2013 - 2014,51.0,9.0,0.18,,,0.18,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.3,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.2,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.24,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.99,80.0,100.0,1.25,,,,,,,,,
,,2018 - 2019,,,,,,0.24,8.0,2.0,0.25,,,,,,,,,
,,2019 - 2020,,,,,,0.09,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.14,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.26,107.0,58.0,0.54,,,,,,,,,
,,2022 - 2023,,,,,,0.53,17.0,9.0,0.53,,,,,,,,,
,Ujjain,2003 - 2004,,,,,,0.43,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.26,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.29,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.42,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.41,,,,,,,,,,,,
,,2008 - 2009,,,,,699.0,0.39,,,,,,,,,,,,
,,2009 - 2010,,,,,688.0,0.41,,,,,,,,,,,,
,,2010 - 2011,,,,,797.0,0.41,,,,,,,,,,,,
,,2011 - 2012,,,,,686.0,0.33,,,,,,,,,,,,
,,2012 - 2013,,,,,758.0,0.36,,,,,,,,,,,,
,,2013 - 2014,,,,,678.0,0.41,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.75,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.5,,,,,,,,,,,,
,,2016 - 2017,,,,,,1.0,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.83,10.0,10.0,1.0,,,,,,,,,
,,2018 - 2019,,,,,,0.73,6.0,2.0,0.33,,,,,,,,,
,,2019 - 2020,,,,,779.0,0.48,68.0,51.0,0.75,,,,,,,,,
,,2020 - 2021,,,,,747.0,0.51,,,,,,,,,,,,
,,2021 - 2022,,,,607.0,431.0,0.71,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,,,,143.0,101.0,0.71,,,,,,,,,,,,
,Umaria,2003 - 2004,,,,,,0.34,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.34,,,,,,,,,,,,
,,2005 - 2006,,,,,614.0,0.21,,,,,,,,,,,,
,,2006 - 2007,,,,,603.0,0.2,,,,,,,,,,,,
,,2007 - 2008,,,,,684.0,0.23,,,,,,,,,,,,
,,2008 - 2009,,,,,655.0,0.22,,,,,,,,,,,,
,,2009 - 2010,,,,,857.0,0.28,,,,,,,,,,,,
,,2010 - 2011,,,,,667.0,0.24,,,,,,,,,,,,
,,2011 - 2012,,,,,439.0,0.15,,,,,,,,,,,,
,,2012 - 2013,,,,,831.0,0.3,,,,,,,,,,,,
,,2013 - 2014,,,,,339.0,0.1,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.86,,,,,,,,,,,,
,,2015 - 2016,,,,,,1.0,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.71,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.53,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.41,1.0,,0.0,,,,,,,,,
,,2019 - 2020,,,,,,0.51,168.0,,0.0,,,,,,,,,
,,2020 - 2021,,,,,,0.32,,,,,,,,,,,,
,,2021 - 2022,,,,,835.0,0.4,563.0,512.0,0.91,,,,,,,,,
,,2022 - 2023,,,,,853.0,0.46,657.0,631.0,0.96,,,,,,,,,
,Vidisha,2003 - 2004,,,,,,0.34,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.38,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.4,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.4,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.41,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.39,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.41,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.42,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.35,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.63,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.63,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.62,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.7,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.82,,,,,,,,,,,,
,,2017 - 2018,,,,,,1.22,310.0,370.0,1.19,,,,,,,,,
,,2018 - 2019,,,,,,0.5,45.0,13.0,0.29,,,,,,,,,
,,2019 - 2020,,,,,,0.36,350.0,193.0,0.55,,,,,,,,,
,,2020 - 2021,,,,,,0.33,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.6,3.0,3.0,1.0,,,,,,,,,
,,2022 - 2023,,,,,,0.6,3.0,3.0,1.0,,,,,,,,,
Maharashtra,Ahilyanagar,2000 - 2001,,,,,,0.53,,,,,,,,,,,,
,,2001 - 2002,,,,,900.0,0.2,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.47,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.51,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.62,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.35,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.39,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.39,,,,,,,,,,,,
,,2008 - 2009,,,,600.0,200.0,0.33,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.47,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.64,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.93,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.18,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.49,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.85,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.13,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.45,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.25,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.18,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.22,,,,,,,,,,,,
,,2020 - 2021,,,,,,1.0,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.5,8.0,4.31,0.54,,,,,,,,,
,,2022 - 2023,,,,,,1.02,12.6,6.79,0.54,,,,,,,,,
,Akola,2000 - 2001,,,,,,0.62,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.74,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.48,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.59,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.22,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.16,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.58,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.55,,,,,,,,,,,,
,,2008 - 2009,,,,,800.0,0.08,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.34,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.68,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.7,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.32,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.23,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.18,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.21,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.88,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.3,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.49,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.36,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.21,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.09,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.31,,,,,,,,,,,,
,Amravati,2000 - 2001,,,,,,0.32,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.37,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.3,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.59,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.32,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.2,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.37,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.38,,,,,,,,,,,,
,,2008 - 2009,,,,,600.0,0.1,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.41,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.53,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.58,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.38,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.27,,,,,,,,,,,,
,,2014 - 2015,,,,,800.0,0.2,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.27,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.54,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.09,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.61,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.18,,,,,,,,,,,,
,,2020 - 2021,,,,,676.89,0.12,,,,,,,,,,,,
,,2021 - 2022,,,,,592.83,0.09,,,,,,,,,,,,
,,2022 - 2023,,,,,80.52,0.03,,,,,,,,,,,,
,Beed,2000 - 2001,,,,,,0.31,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.35,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.55,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.61,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.64,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.81,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.65,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.66,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.41,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.56,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.88,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.85,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.2,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.61,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.26,,,,,,,,,,,,
,,2015 - 2016,,,,,700.0,0.03,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.43,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.3,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.22,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.97,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.35,39.0,21.02,0.54,,,,,,,,,
,,2022 - 2023,,,,,,0.84,75.0,40.42,0.54,,,,,,,,,
,Bhandara,2000 - 2001,,,,500.0,200.0,0.4,,,,,,,,,,,,
,,2001 - 2002,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2002 - 2003,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2003 - 2004,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,300.0,100.0,0.33,,,,,,,,,,,,
,,2005 - 2006,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2009 - 2010,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2011 - 2012,,,,100.0,30.0,0.3,,,,,,,,,,,,
,,2012 - 2013,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2013 - 2014,,,,100.0,40.0,0.4,,,,,,,,,,,,
,,2014 - 2015,,,,100.0,0.0,0.0,,,,,,,,,,,,
,,2015 - 2016,,,,100.0,20.0,0.2,,,,,,,,,,,,
,,2016 - 2017,,,,49.0,21.0,0.43,,,,,,,,,,,,
,,2017 - 2018,,,,22.0,5.0,0.23,,,,,,,,,,,,
,,2019 - 2020,,,,39.0,11.0,0.28,,,,,,,,,,,,
,,2020 - 2021,,,,63.52,18.55,0.29,,,,,,,,,,,,
,,2021 - 2022,,,,44.26,17.54,0.4,26.0,14.01,0.54,,,,,,,,,
,,2022 - 2023,,,,33.36,15.38,0.46,,,,,,,,,,,,
,Buldhana,2000 - 2001,,,,,,0.25,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.54,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.44,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.63,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.42,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.15,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.49,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.64,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.15,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.41,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.69,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.77,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.64,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.54,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.35,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.24,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.81,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.57,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.59,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.67,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.63,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.77,17.6,9.49,0.54,,,,,,,,,
,,2022 - 2023,,,,,,0.66,4.5,2.43,0.54,,,,,,,,,
,Chandrapur,2000 - 2001,,,,,600.0,0.43,,,,,,,,,,,,
,,2001 - 2002,,,,800.0,500.0,0.63,,,,,,,,,,,,
,,2002 - 2003,,,,700.0,200.0,0.29,,,,,,,,,,,,
,,2003 - 2004,,,,700.0,300.0,0.43,,,,,,,,,,,,
,,2004 - 2005,,,,500.0,200.0,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,300.0,100.0,0.33,,,,,,,,,,,,
,,2006 - 2007,,,,300.0,200.0,0.67,,,,,,,,,,,,
,,2007 - 2008,,,,400.0,100.0,0.25,,,,,,,,,,,,
,,2008 - 2009,,,,400.0,200.0,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2010 - 2011,,,,300.0,200.0,0.67,,,,,,,,,,,,
,,2011 - 2012,,,,300.0,100.0,0.33,,,,,,,,,,,,
,,2012 - 2013,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2013 - 2014,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2015 - 2016,,,,200.0,0.0,0.0,,,,,,,,,,,,
,,2016 - 2017,,,,261.0,112.0,0.43,,,,,,,,,,,,
,,2017 - 2018,,,,201.0,50.0,0.25,,,,,,,,,,,,
,,2019 - 2020,,,,64.0,22.0,0.34,,,,,,,,,,,,
,,2020 - 2021,,,,81.0,23.65,0.29,,,,,,,,,,,,
,,2021 - 2022,,,,18.2,7.21,0.4,5.0,2.7,0.54,,,,,,,,,
,,2022 - 2023,,,,3.2,1.48,0.46,,,,,,,,,,,,
,Chhatrapati Sambhajinagar,2000 - 2001,,,,,,0.3,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.57,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.8,,,,,,,,,,,,
,,2003 - 2004,,,,,,1.1,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.41,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.73,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.7,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.76,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.54,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.49,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.68,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.79,,,,,,,,,,,,
,,2012 - 2013,,,,,500.0,0.36,,,,,,,,,,,,
,,2013 - 2014,,,,,,1.16,,,,,,,,,,,,
,,2014 - 2015,,,,,400.0,0.31,,,,,,,,,,,,
,,2015 - 2016,,,,,200.0,0.17,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.66,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.62,,,,,,,,,,,,
,,2018 - 2019,,,,,327.0,0.17,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.56,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.48,,,,,,,,,,,,
,,2021 - 2022,,,,,782.08,0.26,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.43,,,,,,,,,,,,
,Dharashiv,2000 - 2001,,,,,,0.42,,,,,,,,,,,,
,,2001 - 2002,,,,,,0.08,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.48,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.22,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.49,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.58,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.12,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.17,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.21,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.49,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.64,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.29,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.66,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.27,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.11,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.42,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.25,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.37,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.32,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.8,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.75,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.63,2.0,1.06,0.53,,,,,,,,,
,Dhule,2000 - 2001,,,,,,0.31,,,,,,,,,,,,
,,2001 - 2002,,,,,,1.05,,,,,,,,,,,,
,,2002 - 2003,,,,,,0.63,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.7,,,,,,,,,,,,
,,2004 - 2005,,,,,,0.45,,,,,,,,,,,,
,,2005 - 2006,,,,,,0.54,,,,,,,,,,,,
,,2006 - 2007,,,,,,0.48,,,,,,,,,,,,
,,2007 - 2008,,,,,,0.63,,,,,,,,,,,,
,,2008 - 2009,,,,,,0.13,,,,,,,,,,,,
,,2009 - 2010,,,,,,0.38,,,,,,,,,,,,
,,2010 - 2011,,,,,,0.95,,,,,,,,,,,,
,,2011 - 2012,,,,,,0.51,,,,,,,,,,,,
,,2012 - 2013,,,,,,0.49,,,,,,,,,,,,
,,2013 - 2014,,,,,,0.57,,,,,,,,,,,,
,,2014 - 2015,,,,,,0.35,,,,,,,,,,,,
,,2015 - 2016,,,,,,0.46,,,,,,,,,,,,
,,2016 - 2017,,,,,,0.36,,,,,,,,,,,,
,,2017 - 2018,,,,,,0.48,,,,,,,,,,,,
,,2018 - 2019,,,,,,0.29,,,,,,,,,,,,
,,2019 - 2020,,,,,,0.39,,,,,,,,,,,,
,,2020 - 2021,,,,,,0.35,,,,,,,,,,,,
,,2021 - 2022,,,,,,0.1,,,,,,,,,,,,
,,2022 - 2023,,,,,,0.42,,,,,,,,,,,,
,Gadchiroli,2000 - 2001,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2001 - 2002,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2002 - 2003,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2003 - 2004,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2005 - 2006,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2007 - 2008,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,200.0,100.0,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2010 - 2011,,,,100.0,100.0,1.0,,,,,,,,,,,,
,,2011 - 2012,,,,100.0,,0.0,,,,,,,,,,,,
