state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2022 - 2023,,,,247.0,74.0,0.3,,,,,,,,,,,,
,Kurnool,2000 - 2001,,,,126.0,26.0,0.21,365.0,85.0,0.23,,,,,,,,,
,,2001 - 2002,,,,74.0,36.0,0.49,113.0,19.0,0.17,,,,,,,,,
,,2002 - 2003,,,,154.0,50.0,0.32,93.0,9.0,0.1,,,,,,,,,
,,2003 - 2004,,,,78.0,14.0,0.18,429.0,126.0,0.29,,,,,,,,,
,,2004 - 2005,,,,114.0,74.0,0.65,199.0,19.0,0.1,,,,,,,,,
,,2005 - 2006,,,,117.0,79.0,0.68,162.0,27.0,0.17,,,,,,,,,
,,2006 - 2007,,,,659.0,373.0,0.57,198.0,51.0,0.26,,,,,,,,,
,,2008 - 2009,,,,332.0,144.0,0.43,107.0,21.0,0.2,,,,,,,,,
,,2009 - 2010,,,,639.0,213.0,0.33,33.0,8.0,0.24,,,,,,,,,
,,2010 - 2011,,,,615.0,216.0,0.35,66.0,11.0,0.17,,,,,,,,,
,,2011 - 2012,,,,425.0,218.0,0.51,19.0,4.0,0.21,,,,,,,,,
,,2013 - 2014,,,,,532.0,0.36,44.0,20.0,0.45,,,,,,,,,
,,2014 - 2015,,,,,,0.72,78.0,21.0,0.27,,,,,,,,,
,,2015 - 2016,,,,561.0,182.0,0.32,11.0,7.0,0.64,,,,,,,,,
,,2016 - 2017,,,,203.0,65.0,0.32,29.0,7.0,0.24,,,,,,,,,
,,2017 - 2018,,,,977.0,282.0,0.29,8.0,2.0,0.25,,,,,,,,,
,,2018 - 2019,,,,560.0,136.0,0.24,,,,,,,,,,,,
,,2019 - 2020,,,,,264.0,0.26,4.0,1.0,0.25,,,,,,,,,
,,2020 - 2021,,,,667.0,232.0,0.35,2.0,0.0,0.0,,,,,,,,,
,,2021 - 2022,,,,437.0,122.0,0.28,5.0,1.0,0.2,,,,,,,,,
,,2022 - 2023,,,,8.0,3.0,0.38,1.0,0.35,0.35,,,,,,,,,
,Nandyal,2022 - 2023,,,,479.0,205.0,0.43,,,,,,,,,,,,
,Ntr,2022 - 2023,,,,157.0,46.0,0.29,4.0,1.0,0.25,,,,,,,,,
,Palnadu,2022 - 2023,,,,151.0,45.0,0.3,29.0,6.0,0.21,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,,,,,644.0,0.31,12.0,2.0,0.17,,,,,,,,,
,Prakasam,2000 - 2001,,,,,481.0,0.21,,,0.18,,,,,,,,,
,,2001 - 2002,,,,298.0,76.0,0.26,,88.0,0.08,,,,,,,,,
,,2002 - 2003,,,,338.0,111.0,0.33,,276.0,0.04,,,,,,,,,
,,2003 - 2004,,,,575.0,117.0,0.2,,,0.35,,,,,,,,,
,,2004 - 2005,,,,36.0,8.0,0.22,,841.0,0.02,,,,,,,,,
,,2005 - 2006,,,,130.0,30.0,0.23,,,0.37,,,,,,,,,
,,2006 - 2007,,,,110.0,22.0,0.2,,,0.36,,,,,,,,,
,,2007 - 2008,,,,,,0.0,,,0.53,,,,,,,,,
,,2008 - 2009,,,,221.0,40.0,0.18,,,0.52,,,,,,,,,
,,2009 - 2010,,,,,284.0,0.2,,,0.2,,,,,,,,,
,,2010 - 2011,,,,,742.0,0.23,,,0.11,,,,,,,,,
,,2011 - 2012,,,,,467.0,0.22,,,0.59,,,,,,,,,
,,2012 - 2013,,,,,,0.33,,,0.33,,,,,,,,,
,,2013 - 2014,,,,,869.0,0.21,,,0.63,,,,,,,,,
,,2014 - 2015,,,,,,0.19,,213.0,0.19,,,,,,,,,
