state,district,year,sesamum_summer_area_hectare,sesamum_summer_production_tonne,sesamum_summer_yield_tonne_per_hectare,sesamum_rabi_area_hectare,sesamum_rabi_production_tonne,sesamum_rabi_yield_tonne_per_hectare,sesamum_kharif_area_hectare,sesamum_kharif_production_tonne,sesamum_kharif_yield_tonne_per_hectare,sesamum_winter_area_hectare,sesamum_winter_production_tonne,sesamum_winter_yield_tonne_per_hectare,sesamum_whole_year_area_hectare,sesamum_whole_year_production_tonne,sesamum_whole_year_yield_tonne_per_hectare,sesamum_autumn_area_hectare,sesamum_autumn_production_tonne,sesamum_autumn_yield_tonne_per_hectare
,,2004 - 2005,,,,,,,,800.0,0.1,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.22,,,,,,,,,
,,2006 - 2007,,,,,,,,800.0,0.12,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.17,,,,,,,,,
,,2008 - 2009,,,,,,,,800.0,0.14,,,,,,,,,
,,2009 - 2010,,,,,,,,400.0,0.12,,,,,,,,,
,,2010 - 2011,,,,,,,,800.0,0.22,,,,,,,,,
,,2011 - 2012,,,,,,,,900.0,0.24,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.3,,,,,,,,,
,,2013 - 2014,,,,,,,,700.0,0.23,,,,,,,,,
,,2014 - 2015,,,,,,,,300.0,0.14,,,,,,,,,
,,2015 - 2016,,,,100.0,100.0,1.0,,200.0,0.07,,,,,,,,,
,,2016 - 2017,,,,320.0,90.0,0.28,,563.0,0.2,,,,,,,,,
,,2017 - 2018,,,,,,,,346.0,0.12,,,,,,,,,
,,2018 - 2019,,,,,,,,286.0,0.1,,,,,,,,,
,,2019 - 2020,,,,,,,,482.0,0.21,,,,,,,,,
,,2020 - 2021,2.2,0.42,0.19,,,,,636.44,0.26,,,,,,,,,
,,2021 - 2022,,,,24.0,17.15,0.71,,434.17,0.19,,,,,,,,,
,,2022 - 2023,34.0,7.0,0.21,23.36,7.83,0.34,358.9,90.98,0.25,,,,,,,,,
,Nagpur,2000 - 2001,,,,300.0,100.0,0.33,300.0,100.0,0.33,,,,,,,,,
,,2001 - 2002,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2002 - 2003,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2004 - 2005,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2005 - 2006,,,,100.0,100.0,1.0,200.0,100.0,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,,,,100.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,100.0,29.0,0.29,100.0,40.0,0.4,,,,,,,,,
,,2011 - 2012,,,,,,,100.0,30.0,0.3,,,,,,,,,
,,2012 - 2013,,,,100.0,30.0,0.3,100.0,50.0,0.5,,,,,,,,,
,,2013 - 2014,,,,100.0,,0.0,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,100.0,20.0,0.2,,,,,,,,,
,,2016 - 2017,,,,,,,54.0,15.0,0.28,,,,,,,,,
,,2019 - 2020,16.0,5.0,0.31,,,,5.0,1.0,0.2,,,,,,,,,
,,2020 - 2021,,,,,,,26.0,5.16,0.2,,,,,,,,,
,,2021 - 2022,,,,,,,26.0,3.55,0.14,,,,,,,,,
,,2022 - 2023,,,,,,,24.32,5.41,0.22,,,,,,,,,
,Nanded,2000 - 2001,,,,400.0,100.0,0.25,,,0.19,,,,,,,,,
,,2001 - 2002,,,,400.0,100.0,0.25,,,0.36,,,,,,,,,
,,2002 - 2003,,,,500.0,100.0,0.2,,,0.29,,,,,,,,,
,,2003 - 2004,,,,500.0,100.0,0.2,,,0.32,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.18,,,,,,,,,
,,2005 - 2006,,,,600.0,100.0,0.17,,,0.29,,,,,,,,,
,,2006 - 2007,,,,600.0,200.0,0.33,,900.0,0.16,,,,,,,,,
,,2007 - 2008,,,,300.0,100.0,0.33,,,0.25,,,,,,,,,
,,2008 - 2009,,,,100.0,100.0,1.0,,500.0,0.19,,,,,,,,,
,,2009 - 2010,,,,,,,,400.0,0.17,,,,,,,,,
,,2010 - 2011,,,,200.0,100.0,0.5,,800.0,0.28,,,,,,,,,
,,2011 - 2012,,,,100.0,30.0,0.3,,600.0,0.22,,,,,,,,,
,,2012 - 2013,,,,400.0,100.0,0.25,,600.0,0.27,,,,,,,,,
,,2013 - 2014,,,,500.0,100.0,0.2,,200.0,0.14,,,,,,,,,
,,2014 - 2015,,,,100.0,,0.0,,100.0,0.08,,,,,,,,,
,,2015 - 2016,,,,100.0,100.0,1.0,,100.0,0.07,,,,,,,,,
,,2016 - 2017,,300.0,0.21,240.0,70.0,0.29,900.0,52.0,0.06,,,,,,,,,
,,2017 - 2018,600.0,100.0,0.17,,760.0,0.36,476.0,165.0,0.35,,,,,,,,,
,,2018 - 2019,810.0,162.0,0.2,,,,370.0,57.0,0.15,,,,,,,,,
,,2019 - 2020,2.0,,0.0,56.0,16.0,0.29,386.0,56.0,0.15,,,,,,,,,
,,2020 - 2021,,484.71,0.2,61.14,16.85,0.28,385.63,76.51,0.2,,,,,,,,,
,,2021 - 2022,,647.58,0.2,44.0,31.44,0.71,215.41,23.16,0.11,,,,,,,,,
,,2022 - 2023,,739.0,0.2,73.0,24.46,0.34,136.45,34.59,0.25,,,,,,,,,
,Nandurbar,2000 - 2001,,,,,,,,200.0,0.18,,,,,,,,,
,,2001 - 2002,,,,,,,900.0,300.0,0.33,,,,,,,,,
,,2002 - 2003,,,,,,,500.0,200.0,0.4,,,,,,,,,
,,2003 - 2004,,,,,,,500.0,200.0,0.4,,,,,,,,,
,,2004 - 2005,,,,,,,700.0,200.0,0.29,,,,,,,,,
,,2005 - 2006,,,,,,,700.0,200.0,0.29,,,,,,,,,
,,2006 - 2007,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2007 - 2008,,,,,,,500.0,200.0,0.4,,,,,,,,,
,,2008 - 2009,,,,,,,500.0,100.0,0.2,,,,,,,,,
,,2009 - 2010,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2010 - 2011,,,,,,,600.0,300.0,0.5,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,100.0,30.0,0.3,100.0,10.0,0.1,,,,,,,,,
,,2016 - 2017,,,,100.0,,275.0,115.0,41.0,0.36,,,,,,,,,
,,2017 - 2018,,,,32.0,11.0,0.34,115.0,35.0,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,14.0,3.0,0.21,,,,,,,,,
,,2019 - 2020,,,,23.0,9.0,0.39,15.0,5.0,0.33,,,,,,,,,
,,2020 - 2021,51.4,10.49,0.2,2.0,0.74,0.37,7.5,2.23,0.3,,,,,,,,,
,,2021 - 2022,142.0,21.3,0.15,35.0,25.01,0.71,6.7,1.28,0.19,,,,,,,,,
,,2022 - 2023,129.0,27.0,0.21,,,,0.58,0.2,0.34,,,,,,,,,
,Nashik,2000 - 2001,,,,100.0,100.0,1.0,600.0,100.0,0.17,,,,,,,,,
,,2001 - 2002,,,,,,,600.0,200.0,0.33,,,,,,,,,
,,2002 - 2003,,,,,,,700.0,300.0,0.43,,,,,,,,,
,,2003 - 2004,,,,100.0,0.0,0.0,700.0,300.0,0.43,,,,,,,,,
,,2004 - 2005,,,,,,,700.0,200.0,0.29,,,,,,,,,
,,2005 - 2006,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2006 - 2007,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,,,,100.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,12.0,0.0,0.0,,,,,,,,,
,,2016 - 2017,,,,,,,16.0,6.0,0.38,,,,,,,,,
,,2017 - 2018,,,,3.0,1.0,0.33,30.0,9.0,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,7.0,1.3,0.19,,,,,,,,,
,,2019 - 2020,,,,,,,21.0,3.0,0.14,,,,,,,,,
,,2020 - 2021,,,,22.0,4.74,0.22,4.0,1.19,0.3,,,,,,,,,
,,2021 - 2022,,,,32.2,23.01,0.71,2.0,0.38,0.19,,,,,,,,,
,,2022 - 2023,,,,24.0,8.04,0.34,1.36,0.46,0.34,,,,,,,,,
,Palghar,2015 - 2016,,,,400.0,200.0,0.5,100.0,20.0,0.2,,,,,,,,,
,,2016 - 2017,,,,500.0,100.0,0.2,112.0,40.0,0.36,,,,,,,,,
,,2017 - 2018,,,,550.0,300.0,0.55,,,,,,,,,,,,
,,2018 - 2019,,,,119.0,10.0,0.08,,,,,,,,,,,,
,,2019 - 2020,,,,475.0,182.0,0.38,,,,,,,,,,,,
,,2020 - 2021,,,,549.6,210.5,0.38,42.0,12.46,0.3,,,,,,,,,
,,2021 - 2022,,,,546.05,390.15,0.71,42.0,8.02,0.19,,,,,,,,,
,,2022 - 2023,,,,573.68,192.18,0.34,14.0,4.78,0.34,,,,,,,,,
,Parbhani,2000 - 2001,,,,,,,,900.0,0.19,,,,,,,,,
,,2001 - 2002,,,,,,,,,0.45,,,,,,,,,
,,2002 - 2003,,,,,,,,,0.42,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.32,,,,,,,,,
,,2004 - 2005,,,,600.0,100.0,0.17,,900.0,0.18,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,,700.0,0.16,,,,,,,,,
,,2007 - 2008,,,,,,,,900.0,0.21,,,,,,,,,
,,2008 - 2009,,,,,,,,500.0,0.16,,,,,,,,,
,,2009 - 2010,,,,,,,,600.0,0.18,,,,,,,,,
,,2010 - 2011,,,,,,,,900.0,0.22,,,,,,,,,
,,2011 - 2012,,,,,,,,900.0,0.26,,,,,,,,,
,,2012 - 2013,,,,,,,,500.0,0.24,,,,,,,,,
,,2013 - 2014,,,,,,,,,0.24,,,,,,,,,
,,2015 - 2016,,,,50.0,20.0,0.4,900.0,100.0,0.11,,,,,,,,,
,,2016 - 2017,,,,120.0,30.0,0.25,895.0,153.0,0.17,,,,,,,,,
,,2017 - 2018,,,,,,,932.0,133.0,0.14,,,,,,,,,
,,2018 - 2019,,,,66.0,10.0,0.15,212.0,15.0,0.07,,,,,,,,,
,,2019 - 2020,47.0,9.0,0.19,47.0,16.0,0.34,326.0,69.0,0.21,,,,,,,,,
,,2020 - 2021,31.0,5.9,0.19,47.0,16.13,0.34,325.92,64.66,0.2,,,,,,,,,
,,2021 - 2022,7.65,1.5,0.2,18.0,12.86,0.71,241.8,42.44,0.18,,,,,,,,,
,,2022 - 2023,15.0,3.0,0.2,,,,112.61,28.55,0.25,,,,,,,,,
,Pune,2000 - 2001,,,,,200.0,0.18,,600.0,0.2,,,,,,,,,
,,2001 - 2002,,,,,200.0,0.2,,900.0,0.38,,,,,,,,,
,,2002 - 2003,,,,600.0,100.0,0.17,,300.0,0.13,,,,,,,,,
,,2003 - 2004,,,,100.0,0.0,0.0,,700.0,0.26,,,,,,,,,
,,2004 - 2005,,,,200.0,100.0,0.5,,900.0,0.33,,,,,,,,,
,,2005 - 2006,,,,300.0,100.0,0.33,,600.0,0.21,,,,,,,,,
,,2006 - 2007,,,,,300.0,0.3,,600.0,0.21,,,,,,,,,
,,2007 - 2008,,,,600.0,200.0,0.33,,900.0,0.35,,,,,,,,,
,,2008 - 2009,,,,300.0,100.0,0.33,,500.0,0.33,,,,,,,,,
,,2009 - 2010,,,,300.0,100.0,0.33,,100.0,0.07,,,,,,,,,
,,2010 - 2011,,,,400.0,100.0,0.25,,400.0,0.24,,,,,,,,,
,,2011 - 2012,,,,100.0,,0.0,,500.0,0.29,,,,,,,,,
,,2012 - 2013,,,,100.0,30.0,0.3,,300.0,0.18,,,,,,,,,
,,2013 - 2014,,,,100.0,,0.0,,400.0,0.33,,,,,,,,,
,,2014 - 2015,,,,100.0,,0.0,,,,,,,,,,,,
,,2015 - 2016,,,,30.0,20.0,0.67,700.0,50.0,0.07,,,,,,,,,
,,2016 - 2017,,,,40.0,10.0,0.25,704.0,183.0,0.26,,,,,,,,,
,,2017 - 2018,,,,140.0,50.0,0.36,739.0,226.0,0.31,,,,,,,,,
,,2018 - 2019,,,,45.0,5.0,0.11,646.0,81.0,0.13,,,,,,,,,
,,2019 - 2020,42.0,,0.0,51.0,14.0,0.27,512.0,113.0,0.22,,,,,,,,,
,,2020 - 2021,,,,51.14,14.4,0.28,857.35,254.37,0.3,,,,,,,,,
,,2021 - 2022,,,,48.35,34.55,0.71,797.11,152.17,0.19,,,,,,,,,
,,2022 - 2023,,,,,,,55.92,19.09,0.34,,,,,,,,,
,Raigad,2000 - 2001,,,,100.0,100.0,1.0,200.0,100.0,0.5,,,,,,,,,
,,2001 - 2002,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2002 - 2003,,,,100.0,10.0,0.1,200.0,100.0,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2004 - 2005,,,,100.0,100.0,1.0,200.0,100.0,0.5,,,,,,,,,
,,2005 - 2006,,,,100.0,100.0,1.0,200.0,100.0,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2010 - 2011,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2011 - 2012,,,,100.0,20.0,0.2,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,,,,100.0,40.0,0.4,,,,,,,,,
,,2015 - 2016,,,,3.0,2.0,0.67,100.0,30.0,0.3,,,,,,,,,
,,2016 - 2017,,,,,,,220.0,79.0,0.36,,,,,,,,,
,Ratnagiri,2000 - 2001,,,,,,,100.0,10.0,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2002 - 2003,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2003 - 2004,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2005 - 2006,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2006 - 2007,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2007 - 2008,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2008 - 2009,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,,,,100.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,100.0,50.0,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,100.0,50.0,0.5,,,,,,,,,
,,2012 - 2013,,,,,,,100.0,40.0,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,0.0,0.0,,,,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,100.0,10.0,0.1,,,,,,,,,
,,2016 - 2017,,,,,,,41.0,15.0,0.37,,,,,,,,,
,,2017 - 2018,,,,,,,40.0,12.0,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,49.0,21.0,0.43,,,,,,,,,
,,2019 - 2020,,,,,,,53.0,20.0,0.38,,,,,,,,,
,,2020 - 2021,,,,3.65,1.87,0.51,35.16,10.43,0.3,,,,,,,,,
,,2021 - 2022,,,,,,,16.89,3.22,0.19,,,,,,,,,
,,2022 - 2023,,,,,,,16.94,5.78,0.34,,,,,,,,,
,Sangli,2000 - 2001,,,,,,,900.0,200.0,0.22,,,,,,,,,
,,2001 - 2002,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,200.0,10.0,0.05,,,,,,,,,
,,2003 - 2004,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2005 - 2006,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,500.0,100.0,0.2,,,,,,,,,
,,2007 - 2008,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2008 - 2009,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,100.0,,0.0,100.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,200.0,100.0,0.5,100.0,20.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,100.0,30.0,0.3,,,,,,,,,
,,2012 - 2013,,,,100.0,30.0,0.3,,,,,,,,,,,,
,,2013 - 2014,,,,100.0,20.0,0.2,,,,,,,,,,,,
,,2016 - 2017,,,,,,,24.0,6.0,0.25,,,,,,,,,
,,2017 - 2018,,,,4.0,14.0,3.5,18.0,6.0,0.33,,,,,,,,,
,,2018 - 2019,,,,4.0,,0.0,,,,,,,,,,,,
,,2020 - 2021,,,,,,,2.0,0.59,0.3,,,,,,,,,
,,2021 - 2022,,,,,,,2.0,0.38,0.19,,,,,,,,,
,,2022 - 2023,,,,,,,3.0,1.02,0.34,,,,,,,,,
,Satara,2000 - 2001,,,,100.0,100.0,1.0,300.0,100.0,0.33,,,,,,,,,
,,2001 - 2002,,,,100.0,10.0,0.1,300.0,100.0,0.33,,,,,,,,,
,,2002 - 2003,,,,100.0,10.0,0.1,300.0,100.0,0.33,,,,,,,,,
,,2003 - 2004,,,,100.0,0.0,0.0,300.0,100.0,0.33,,,,,,,,,
,,2004 - 2005,,,,100.0,0.0,0.0,400.0,100.0,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2006 - 2007,,,,100.0,100.0,1.0,400.0,100.0,0.25,,,,,,,,,
,,2007 - 2008,,,,100.0,100.0,1.0,200.0,100.0,0.5,,,,,,,,,
,,2008 - 2009,,,,100.0,100.0,1.0,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,100.0,,0.0,100.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,100.0,29.0,0.29,100.0,20.0,0.2,,,,,,,,,
,,2011 - 2012,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2012 - 2013,,,,,,,100.0,20.0,0.2,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,,,,100.0,5.0,0.05,,,,,,,,,
,,2016 - 2017,,,,,,,8.0,2.0,0.25,,,,,,,,,
,,2017 - 2018,,,,,,,10.0,3.0,0.3,,,,,,,,,
,,2018 - 2019,,,,,,,15.0,2.0,0.13,,,,,,,,,
,,2019 - 2020,,,,,,,24.0,5.0,0.21,,,,,,,,,
,,2020 - 2021,,,,,,,38.0,11.27,0.3,,,,,,,,,
,,2021 - 2022,,,,,,,35.0,6.68,0.19,,,,,,,,,
,Sindhudurg,2000 - 2001,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2001 - 2002,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2002 - 2003,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2004 - 2005,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,100.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,,,,100.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,100.0,20.0,0.2,100.0,100.0,1.0,,,,,,,,,
,,2012 - 2013,,,,,,,100.0,40.0,0.4,,,,,,,,,
,,2013 - 2014,,,,,,,100.0,,0.0,,,,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,39.0,9.3,0.24,,,,,,,,,
,,2016 - 2017,,,,2.0,0.4,0.2,20.0,7.0,0.35,,,,,,,,,
,,2019 - 2020,,,,36.0,14.0,0.39,,,,,,,,,,,,
,,2020 - 2021,31.0,6.39,0.21,,,,,,,,,,,,,,,
,,2021 - 2022,39.0,5.85,0.15,,,,,,,,,,,,,,,
,,2022 - 2023,74.0,15.0,0.2,,,,,,,,,,,,,,,
,Solapur,2000 - 2001,,,,,,,900.0,200.0,0.22,,,,,,,,,
,,2001 - 2002,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2002 - 2003,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2003 - 2004,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2004 - 2005,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2007 - 2008,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2008 - 2009,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,,,,100.0,,0.0,,,,,,,,,
,,2010 - 2011,,,,100.0,29.0,0.29,300.0,100.0,0.33,,,,,,,,,
,,2011 - 2012,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2012 - 2013,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2013 - 2014,,,,,,,300.0,100.0,0.33,,,,,,,,,
,,2014 - 2015,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2015 - 2016,,,,80.0,40.0,0.5,30.0,2.0,0.07,,,,,,,,,
,,2016 - 2017,,,,160.0,44.0,0.28,27.0,7.0,0.26,,,,,,,,,
,,2017 - 2018,,,,350.0,126.0,0.36,63.0,19.0,0.3,,,,,,,,,
,,2018 - 2019,,,,408.0,50.0,0.12,45.0,6.0,0.13,,,,,,,,,
,,2019 - 2020,,,,369.0,129.0,0.35,81.0,7.0,0.09,,,,,,,,,
,,2020 - 2021,14.0,2.88,0.21,193.67,67.6,0.35,109.48,32.48,0.3,,,,,,,,,
,,2021 - 2022,0.8,0.15,0.19,197.27,140.95,0.71,88.77,16.95,0.19,,,,,,,,,
,,2022 - 2023,1.0,0.2,0.2,,,,132.16,45.11,0.34,,,,,,,,,
,Thane,2000 - 2001,,,,300.0,100.0,0.33,,200.0,0.18,,,,,,,,,
,,2001 - 2002,,,,300.0,100.0,0.33,600.0,200.0,0.33,,,,,,,,,
,,2002 - 2003,,,,300.0,100.0,0.33,600.0,200.0,0.33,,,,,,,,,
,,2003 - 2004,,,,300.0,100.0,0.33,600.0,200.0,0.33,,,,,,,,,
,,2004 - 2005,,,,300.0,100.0,0.33,600.0,200.0,0.33,,,,,,,,,
,,2005 - 2006,,,,400.0,100.0,0.25,700.0,200.0,0.29,,,,,,,,,
,,2006 - 2007,,,,400.0,100.0,0.25,600.0,200.0,0.33,,,,,,,,,
,,2007 - 2008,,,,500.0,100.0,0.2,500.0,200.0,0.4,,,,,,,,,
,,2008 - 2009,,,,500.0,100.0,0.2,600.0,200.0,0.33,,,,,,,,,
,,2009 - 2010,,,,400.0,100.0,0.25,600.0,200.0,0.33,,,,,,,,,
,,2010 - 2011,,,,,,,600.0,300.0,0.5,,,,,,,,,
,,2011 - 2012,,,,400.0,200.0,0.5,700.0,400.0,0.57,,,,,,,,,
,,2012 - 2013,,,,,,,700.0,300.0,0.43,,,,,,,,,
,,2013 - 2014,,,,,,,700.0,200.0,0.29,,,,,,,,,
,,2014 - 2015,,,,400.0,100.0,0.25,,,,,,,,,,,,
,,2015 - 2016,,,,100.0,100.0,1.0,20.0,5.0,0.25,,,,,,,,,
,,2016 - 2017,,,,100.0,30.0,0.3,,,,,,,,,,,,
,,2021 - 2022,,,,85.1,60.8,0.71,30.7,5.86,0.19,,,,,,,,,
,,2022 - 2023,,,,60.3,20.2,0.34,,,,,,,,,,,,
,Wardha,2000 - 2001,,,,100.0,100.0,1.0,800.0,100.0,0.13,,,,,,,,,
,,2001 - 2002,,,,100.0,10.0,0.1,700.0,200.0,0.29,,,,,,,,,
,,2002 - 2003,,,,100.0,10.0,0.1,800.0,100.0,0.13,,,,,,,,,
,,2003 - 2004,,,,,,,600.0,100.0,0.17,,,,,,,,,
,,2004 - 2005,,,,,,,500.0,100.0,0.2,,,,,,,,,
,,2005 - 2006,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2006 - 2007,,,,,,,400.0,100.0,0.25,,,,,,,,,
,,2007 - 2008,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,100.0,100.0,1.0,,,,,,,,,
,,2009 - 2010,,,,,,,100.0,,0.0,,,,,,,,,
,,2011 - 2012,,,,,,,200.0,100.0,0.5,,,,,,,,,
,,2016 - 2017,15.0,3.0,0.2,,,,,,,,,,,,,,,
,,2017 - 2018,16.0,3.0,0.19,,,,,,,,,,,,,,,
,,2018 - 2019,10.0,2.0,0.2,,,,,,,,,,,,,,,
,,2019 - 2020,,,,,,,22.0,4.0,0.18,,,,,,,,,
,,2020 - 2021,365.6,73.12,0.2,,,,22.0,4.36,0.2,,,,,,,,,
,,2021 - 2022,279.3,53.53,0.19,,,,17.12,2.34,0.14,,,,,,,,,
,,2022 - 2023,311.0,61.0,0.2,,,,,,,,,,,,,,,
,Washim,2000 - 2001,,,,,,,,600.0,0.25,,,,,,,,,
,,2001 - 2002,,,,,,,,600.0,0.33,,,,,,,,,
,,2002 - 2003,,,,,,,,400.0,0.21,,,,,,,,,
,,2003 - 2004,,,,,,,,500.0,0.29,,,,,,,,,
,,2004 - 2005,,,,,,,,300.0,0.19,,,,,,,,,
,,2005 - 2006,,,,,,,,400.0,0.21,,,,,,,,,
,,2006 - 2007,,,,,,,,300.0,0.17,,,,,,,,,
,,2007 - 2008,,,,,,,900.0,300.0,0.33,,,,,,,,,
,,2008 - 2009,,,,,,,600.0,100.0,0.17,,,,,,,,,
,,2009 - 2010,,,,,,,500.0,200.0,0.4,,,,,,,,,
,,2010 - 2011,,,,,,,600.0,200.0,0.33,,,,,,,,,
,,2011 - 2012,,,,,,,500.0,100.0,0.2,,,,,,,,,
,,2012 - 2013,,,,,,,700.0,100.0,0.14,,,,,,,,,
,,2013 - 2014,,,,,,,500.0,100.0,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,200.0,30.0,0.15,,,,,,,,,
,,2016 - 2017,158.0,30.0,0.19,,,,239.0,65.0,0.27,,,,,,,,,
,,2017 - 2018,,,,,,,235.0,44.0,0.19,,,,,,,,,
,,2018 - 2019,10.0,2.0,0.2,,,,208.0,54.0,0.26,,,,,,,,,
,,2019 - 2020,63.0,13.0,0.21,,,,377.0,139.0,0.37,,,,,,,,,
,,2020 - 2021,218.2,40.91,0.19,,,,303.37,60.19,0.2,,,,,,,,,
,,2021 - 2022,194.0,36.38,0.19,12.0,8.57,0.71,323.59,44.24,0.14,,,,,,,,,
,,2022 - 2023,168.0,32.0,0.19,12.0,4.02,0.34,299.83,66.75,0.22,,,,,,,,,
,Yavatmal,2000 - 2001,,,,100.0,100.0,1.0,,,0.23,,,,,,,,,
,,2001 - 2002,,,,100.0,10.0,0.1,,,0.32,,,,,,,,,
,,2002 - 2003,,,,100.0,10.0,0.1,,,0.24,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.28,,,,,,,,,
