state,district,year,niger_seed_rabi_area_hectare,niger_seed_rabi_production_tonne,niger_seed_rabi_yield_tonne_per_hectare,niger_seed_kharif_area_hectare,niger_seed_kharif_production_tonne,niger_seed_kharif_yield_tonne_per_hectare,niger_seed_winter_area_hectare,niger_seed_winter_production_tonne,niger_seed_winter_yield_tonne_per_hectare,niger_seed_whole_year_area_hectare,niger_seed_whole_year_production_tonne,niger_seed_whole_year_yield_tonne_per_hectare
,,2010 - 2011,,,,311.0,156.0,0.5,,,,,,
,,2011 - 2012,,,,525.0,267.0,0.51,,,,,,
,,2012 - 2013,,,,660.0,342.0,0.52,,,,,,
,,2013 - 2014,,,,613.0,582.0,0.95,,,,,,
,,2014 - 2015,,,,550.0,523.0,0.95,,,,,,
,,2015 - 2016,,,,551.0,273.0,0.5,,,,,,
,,2016 - 2017,,,,432.0,269.0,0.62,,,,,,
,,2017 - 2018,,,,511.0,317.0,0.62,,,,,,
,,2018 - 2019,,,,359.0,223.0,0.62,,,,,,
,,2019 - 2020,,,,358.0,223.0,0.62,,,,,,
,,2020 - 2021,,,,355.0,194.0,0.55,,,,,,
,,2021 - 2022,,,,355.0,208.0,0.59,,,,,,
,,2022 - 2023,,,,355.0,257.0,0.72,,,,,,
,Dhemaji,2000 - 2001,,,,1.0,1.0,1.0,,,,,,
,,2001 - 2002,,,,50.0,26.0,0.52,,,,,,
,,2002 - 2003,,,,50.0,26.0,0.52,,,,,,
,,2003 - 2004,,,,50.0,26.0,0.52,,,,,,
,,2004 - 2005,,,,55.0,28.0,0.51,,,,,,
,,2005 - 2006,,,,58.0,30.0,0.52,,,,,,
,,2006 - 2007,,,,50.0,26.0,0.52,,,,,,
,,2007 - 2008,,,,50.0,26.0,0.52,,,,,,
,,2008 - 2009,,,,15.0,7.0,0.47,,,,,,
,,2009 - 2010,,,,33.0,17.0,0.52,,,,,,
,,2010 - 2011,,,,50.0,25.0,0.5,,,,,,
,,2011 - 2012,,,,40.0,21.0,0.53,,,,,,
,,2012 - 2013,,,,2.0,2.0,1.0,,,,,,
,,2013 - 2014,,,,2.0,1.0,0.5,,,,,,
,,2014 - 2015,,,,2.0,1.0,0.5,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
,,2017 - 2018,,,,2.0,1.0,0.5,,,,,,
,,2018 - 2019,,,,4.0,2.0,0.5,,,,,,
,,2019 - 2020,,,,5.0,2.0,0.4,,,,,,
,,2020 - 2021,,,,4.0,2.0,0.5,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,3.0,1.0,0.33,,,,,,
,Dhubri,2000 - 2001,,,,,,0.52,,,,,,
,,2001 - 2002,,,,,868.0,0.52,,,,,,
,,2002 - 2003,,,,,872.0,0.53,,,,,,
,,2003 - 2004,,,,,906.0,0.52,,,,,,
,,2004 - 2005,,,,,922.0,0.53,,,,,,
,,2005 - 2006,,,,,642.0,0.53,,,,,,
,,2006 - 2007,,,,,599.0,0.52,,,,,,
,,2007 - 2008,,,,603.0,317.0,0.53,,,,,,
,,2008 - 2009,,,,666.0,348.0,0.52,,,,,,
,,2009 - 2010,,,,643.0,338.0,0.53,,,,,,
,,2010 - 2011,,,,440.0,231.0,0.53,,,,,,
,,2011 - 2012,,,,460.0,245.0,0.53,,,,,,
,,2012 - 2013,,,,450.0,246.0,0.55,,,,,,
,,2013 - 2014,,,,425.0,235.0,0.55,,,,,,
,,2014 - 2015,,,,445.0,245.0,0.55,,,,,,
,,2015 - 2016,,,,324.0,167.0,0.52,,,,,,
,,2016 - 2017,,,,372.0,224.0,0.6,,,,,,
,,2017 - 2018,,,,380.0,229.0,0.6,,,,,,
,,2018 - 2019,,,,391.0,242.0,0.62,,,,,,
,,2019 - 2020,,,,391.0,242.0,0.62,,,,,,
,,2020 - 2021,,,,370.0,227.0,0.61,,,,,,
,,2021 - 2022,,,,370.0,227.0,0.61,,,,,,
,,2022 - 2023,,,,425.0,260.0,0.61,,,,,,
,Dibrugarh,2006 - 2007,,,,9.0,5.0,0.56,,,,,,
,,2010 - 2011,,,,8.0,4.0,0.5,,,,,,
,,2019 - 2020,,,,2.0,1.0,0.5,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,2.0,1.0,0.5,,,,,,
,Dima hasao,2000 - 2001,,,,1.0,2.0,2.0,,,,,,
,,2001 - 2002,,,,1.0,1.0,1.0,,,,,,
,,2002 - 2003,,,,1.0,1.0,1.0,,,,,,
,,2003 - 2004,,,,1.0,1.0,1.0,,,,,,
,,2004 - 2005,,,,1.0,1.0,1.0,,,,,,
,,2005 - 2006,,,,1.0,1.0,1.0,,,,,,
,,2006 - 2007,,,,1.0,1.0,1.0,,,,,,
,,2007 - 2008,,,,1.0,1.0,1.0,,,,,,
,,2009 - 2010,,,,2.0,1.0,0.5,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,
,,2011 - 2012,,,,2.0,1.0,0.5,,,,,,
,,2012 - 2013,,,,4.0,2.0,0.5,,,,,,
,,2013 - 2014,,,,7.0,4.0,0.57,,,,,,
,,2014 - 2015,,,,68.0,37.0,0.54,,,,,,
,,2015 - 2016,,,,10.0,5.0,0.5,,,,,,
,,2016 - 2017,,,,28.0,15.0,0.54,,,,,,
,,2017 - 2018,,,,10.0,5.0,0.5,,,,,,
,,2018 - 2019,,,,16.0,8.0,0.5,,,,,,
,,2019 - 2020,,,,18.0,9.0,0.5,,,,,,
,,2020 - 2021,,,,15.0,8.0,0.53,,,,,,
,,2021 - 2022,,,,13.0,7.0,0.54,,,,,,
,,2022 - 2023,,,,13.0,7.0,0.54,,,,,,
,Goalpara,2000 - 2001,,,,960.0,480.0,0.5,,,,,,
,,2001 - 2002,,,,960.0,480.0,0.5,,,,,,
,,2002 - 2003,,,,900.0,450.0,0.5,,,,,,
,,2003 - 2004,,,,912.0,456.0,0.5,,,,,,
,,2004 - 2005,,,,950.0,475.0,0.5,,,,,,
,,2005 - 2006,,,,950.0,475.0,0.5,,,,,,
,,2006 - 2007,,,,950.0,475.0,0.5,,,,,,
,,2007 - 2008,,,,,505.0,0.5,,,,,,
,,2008 - 2009,,,,,510.0,0.5,,,,,,
,,2009 - 2010,,,,920.0,460.0,0.5,,,,,,
,,2010 - 2011,,,,,550.0,0.5,,,,,,
,,2011 - 2012,,,,,611.0,0.51,,,,,,
,,2012 - 2013,,,,960.0,496.0,0.52,,,,,,
,,2013 - 2014,,,,870.0,805.0,0.93,,,,,,
,,2014 - 2015,,,,890.0,823.0,0.92,,,,,,
,,2015 - 2016,,,,880.0,506.0,0.58,,,,,,
,,2016 - 2017,,,,305.0,175.0,0.57,,,,,,
,,2017 - 2018,,,,326.0,228.0,0.7,,,,,,
,,2018 - 2019,,,,319.0,223.0,0.7,,,,,,
,,2019 - 2020,,,,321.0,225.0,0.7,,,,,,
,,2020 - 2021,,,,309.0,216.0,0.7,,,,,,
,,2021 - 2022,,,,322.0,229.0,0.71,,,,,,
,,2022 - 2023,,,,311.0,190.0,0.61,,,,,,
,Golaghat,2000 - 2001,,,,11.0,5.0,0.45,,,,,,
,,2001 - 2002,,,,11.0,5.0,0.45,,,,,,
,,2002 - 2003,,,,11.0,5.0,0.45,,,,,,
,,2003 - 2004,,,,13.0,5.0,0.38,,,,,,
,,2004 - 2005,,,,10.0,5.0,0.5,,,,,,
,,2005 - 2006,,,,11.0,5.0,0.45,,,,,,
,,2006 - 2007,,,,9.0,4.0,0.44,,,,,,
,,2007 - 2008,,,,7.0,4.0,0.57,,,,,,
,,2008 - 2009,,,,4.0,3.0,0.75,,,,,,
,,2009 - 2010,,,,17.0,8.0,0.47,,,,,,
,,2010 - 2011,,,,6.0,3.0,0.5,,,,,,
,,2011 - 2012,,,,1.0,1.0,1.0,,,,,,
,,2012 - 2013,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,5.0,2.0,0.4,,,,,,
,Hailakandi,2006 - 2007,,,,30.0,15.0,0.5,,,,,,
,,2007 - 2008,,,,7.0,4.0,0.57,,,,,,
,,2008 - 2009,,,,5.0,2.0,0.4,,,,,,
,,2009 - 2010,,,,14.0,7.0,0.5,,,,,,
,,2010 - 2011,,,,25.0,13.0,0.52,,,,,,
,,2012 - 2013,,,,5.0,3.0,0.6,,,,,,
,,2013 - 2014,,,,5.0,3.0,0.6,,,,,,
,,2014 - 2015,,,,3.0,2.0,0.67,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,,,,,,
,,2016 - 2017,,,,3.0,1.0,0.33,,,,,,
,,2018 - 2019,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,1.0,1.0,1.0,,,,,,
,,2020 - 2021,,,,1.0,1.0,1.0,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,1.0,1.0,1.0,,,,,,
,Hojai,2020 - 2021,,,,70.0,56.0,0.8,,,,,,
,,2021 - 2022,,,,77.0,62.0,0.81,,,,,,
,,2022 - 2023,,,,77.0,62.0,0.81,,,,,,
,Jorhat,2008 - 2009,,,,15.0,7.0,0.47,,,,,,
,,2016 - 2017,,,,1.0,1.0,1.0,,,,,,
,,2019 - 2020,,,,16.0,7.0,0.44,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,2.0,1.0,0.5,,,,,,
,Kamrup,2000 - 2001,,,,953.0,477.0,0.5,,,,,,
,,2001 - 2002,,,,,824.0,0.5,,,,,,
,,2002 - 2003,,,,,833.0,0.5,,,,,,
,,2003 - 2004,,,,,769.0,0.5,,,,,,
,,2004 - 2005,,,,558.0,279.0,0.5,,,,,,
,,2005 - 2006,,,,567.0,284.0,0.5,,,,,,
,,2006 - 2007,,,,654.0,327.0,0.5,,,,,,
,,2007 - 2008,,,,735.0,368.0,0.5,,,,,,
,,2008 - 2009,,,,627.0,314.0,0.5,,,,,,
,,2009 - 2010,,,,455.0,228.0,0.5,,,,,,
,,2010 - 2011,,,,394.0,197.0,0.5,,,,,,
,,2011 - 2012,,,,389.0,199.0,0.51,,,,,,
,,2012 - 2013,,,,431.0,221.0,0.51,,,,,,
,,2013 - 2014,,,,446.0,239.0,0.54,,,,,,
,,2014 - 2015,,,,398.0,213.0,0.54,,,,,,
,,2015 - 2016,,,,365.0,189.0,0.52,,,,,,
,,2016 - 2017,,,,349.0,181.0,0.52,,,,,,
,,2017 - 2018,,,,339.0,176.0,0.52,,,,,,
,,2018 - 2019,,,,315.0,163.0,0.52,,,,,,
,,2019 - 2020,,,,302.0,156.0,0.52,,,,,,
,,2020 - 2021,,,,370.0,192.0,0.52,,,,,,
,,2021 - 2022,,,,467.0,252.0,0.54,,,,,,
,,2022 - 2023,,,,354.0,272.0,0.77,,,,,,
,Kamrup metro,2005 - 2006,,,,19.0,10.0,0.53,,,,,,
,,2006 - 2007,,,,27.0,14.0,0.52,,,,,,
,,2007 - 2008,,,,41.0,21.0,0.51,,,,,,
,,2008 - 2009,,,,26.0,13.0,0.5,,,,,,
,,2009 - 2010,,,,27.0,14.0,0.52,,,,,,
,,2010 - 2011,,,,30.0,15.0,0.5,,,,,,
,,2011 - 2012,,,,29.0,15.0,0.52,,,,,,
,,2012 - 2013,,,,25.0,13.0,0.52,,,,,,
,,2013 - 2014,,,,29.0,16.0,0.55,,,,,,
,,2014 - 2015,,,,26.0,14.0,0.54,,,,,,
,,2015 - 2016,,,,23.0,12.0,0.52,,,,,,
,,2016 - 2017,,,,12.0,6.0,0.5,,,,,,
,,2017 - 2018,,,,12.0,6.0,0.5,,,,,,
,,2018 - 2019,,,,15.0,8.0,0.53,,,,,,
,,2019 - 2020,,,,15.0,8.0,0.53,,,,,,
,,2020 - 2021,,,,14.0,7.0,0.5,,,,,,
,,2021 - 2022,,,,17.0,9.0,0.53,,,,,,
,,2022 - 2023,,,,15.0,7.0,0.47,,,,,,
,Karbi anglong,2000 - 2001,,,,42.0,22.0,0.52,,,,,,
,,2001 - 2002,,,,45.0,26.0,0.58,,,,,,
,,2002 - 2003,,,,41.0,21.0,0.51,,,,,,
,,2003 - 2004,,,,59.0,31.0,0.53,,,,,,
,,2004 - 2005,,,,56.0,29.0,0.52,,,,,,
,,2005 - 2006,,,,305.0,153.0,0.5,,,,,,
,,2006 - 2007,,,,296.0,149.0,0.5,,,,,,
,,2007 - 2008,,,,296.0,149.0,0.5,,,,,,
,,2008 - 2009,,,,282.0,141.0,0.5,,,,,,
,,2009 - 2010,,,,292.0,147.0,0.5,,,,,,
,,2010 - 2011,,,,186.0,94.0,0.51,,,,,,
,,2011 - 2012,,,,66.0,34.0,0.52,,,,,,
,,2012 - 2013,,,,122.0,63.0,0.52,,,,,,
,,2013 - 2014,,,,22.0,11.0,0.5,,,,,,
,,2014 - 2015,,,,24.0,12.0,0.5,,,,,,
,,2015 - 2016,,,,25.0,13.0,0.52,,,,,,
,,2016 - 2017,,,,54.0,27.0,0.5,,,,,,
,,2017 - 2018,,,,55.0,28.0,0.51,,,,,,
,,2018 - 2019,,,,62.0,32.0,0.52,,,,,,
,,2019 - 2020,,,,67.0,35.0,0.52,,,,,,
,,2020 - 2021,,,,43.0,22.0,0.51,,,,,,
,,2021 - 2022,,,,27.0,14.0,0.52,,,,,,
,,2022 - 2023,,,,20.0,10.0,0.5,,,,,,
,Karimganj,2000 - 2001,,,,1.0,1.0,1.0,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,Kokrajhar,2000 - 2001,,,,951.0,476.0,0.5,,,,,,
,,2001 - 2002,,,,595.0,298.0,0.5,,,,,,
,,2002 - 2003,,,,,525.0,0.5,,,,,,
,,2003 - 2004,,,,990.0,495.0,0.5,,,,,,
,,2004 - 2005,,,,995.0,496.0,0.5,,,,,,
,,2005 - 2006,,,,863.0,432.0,0.5,,,,,,
,,2006 - 2007,,,,,610.0,0.5,,,,,,
,,2007 - 2008,,,,704.0,352.0,0.5,,,,,,
,,2008 - 2009,,,,820.0,410.0,0.5,,,,,,
,,2009 - 2010,,,,989.0,501.0,0.51,,,,,,
,,2010 - 2011,,,,853.0,435.0,0.51,,,,,,
,,2011 - 2012,,,,,536.0,0.51,,,,,,
,,2012 - 2013,,,,,549.0,0.53,,,,,,
,,2013 - 2014,,,,970.0,522.0,0.54,,,,,,
,,2014 - 2015,,,,981.0,527.0,0.54,,,,,,
,,2015 - 2016,,,,,542.0,0.54,,,,,,
,,2016 - 2017,,,,825.0,435.0,0.53,,,,,,
,,2017 - 2018,,,,707.0,375.0,0.53,,,,,,
,,2018 - 2019,,,,700.0,372.0,0.53,,,,,,
,,2019 - 2020,,,,724.0,384.0,0.53,,,,,,
,,2020 - 2021,,,,804.0,427.0,0.53,,,,,,
,,2021 - 2022,,,,863.0,457.0,0.53,,,,,,
,,2022 - 2023,,,,603.0,449.0,0.74,,,,,,
,Lakhimpur,2000 - 2001,,,,12.0,6.0,0.5,,,,,,
,,2001 - 2002,,,,12.0,6.0,0.5,,,,,,
,,2002 - 2003,,,,8.0,4.0,0.5,,,,,,
,,2003 - 2004,,,,7.0,6.0,0.86,,,,,,
,,2004 - 2005,,,,7.0,4.0,0.57,,,,,,
,,2005 - 2006,,,,7.0,4.0,0.57,,,,,,
,,2006 - 2007,,,,7.0,4.0,0.57,,,,,,
,,2007 - 2008,,,,7.0,4.0,0.57,,,,,,
,,2008 - 2009,,,,6.0,3.0,0.5,,,,,,
,,2009 - 2010,,,,6.0,3.0,0.5,,,,,,
,,2010 - 2011,,,,20.0,10.0,0.5,,,,,,
,,2011 - 2012,,,,2.0,3.0,1.5,,,,,,
,,2012 - 2013,,,,8.0,5.0,0.63,,,,,,
,,2013 - 2014,,,,3.0,2.0,0.67,,,,,,
,,2014 - 2015,,,,3.0,2.0,0.67,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
