state,district,year,guar_seed_rabi_area_hectare,guar_seed_rabi_production_tonne,guar_seed_rabi_yield_tonne_per_hectare,guar_seed_kharif_area_hectare,guar_seed_kharif_production_tonne,guar_seed_kharif_yield_tonne_per_hectare,guar_seed_whole_year_area_hectare,guar_seed_whole_year_production_tonne,guar_seed_whole_year_yield_tonne_per_hectare
,,2009 - 2010,,,,,,,,,0.28
,,2010 - 2011,,,,,,,,,0.7
,,2011 - 2012,,,,,,,,,0.57
,,2012 - 2013,,,,,,,,,0.6
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,,,0.77
,,2015 - 2016,,,,,,,,,0.62
,,2016 - 2017,,,,,,,,,0.63
,,2017 - 2018,,,,,,,,,0.67
,,2018 - 2019,,,,,,,,,0.68
,,2019 - 2020,,,,,,0.53,,,
,,2020 - 2021,,,,,,0.27,,,
,,2021 - 2022,,,,,,0.48,,,
,,2022 - 2023,,,,,,0.65,,,
,Porbandar,2007 - 2008,,,,,,,300.0,200.0,0.67
,,2013 - 2014,,,,,,,435.0,385.0,0.89
,,2014 - 2015,,,,,,,115.0,89.0,0.77
,,2015 - 2016,,,,,,,20.0,12.0,0.6
,,2016 - 2017,,,,,,,5.0,3.0,0.6
,,2018 - 2019,,,,,,,50.0,75.0,1.5
,Rajkot,2008 - 2009,,,,,,,400.0,100.0,0.25
,,2012 - 2013,,,,,,,,800.0,0.57
,,2013 - 2014,,,,,,,,,0.89
,,2014 - 2015,,,,,,,939.0,726.0,0.77
,,2015 - 2016,,,,,,,,683.0,0.62
,,2016 - 2017,,,,,,,140.0,93.0,0.66
,,2020 - 2021,,,,650.0,423.0,0.65,,,
,Sabar kantha,2000 - 2001,,,,,,,,,0.22
,,2001 - 2002,,,,,,,,,0.42
,,2002 - 2003,,,,,,,,,0.5
,,2003 - 2004,,,,,,,,,0.93
,,2004 - 2005,,,,,,,,,0.94
,,2005 - 2006,,,,,,,,,0.88
,,2006 - 2007,,,,,,,,,0.47
,,2007 - 2008,,,,,,,,,0.73
,,2008 - 2009,,,,,,,,,0.35
,,2009 - 2010,,,,,,,,,0.28
,,2010 - 2011,,,,,,,,,0.57
,,2011 - 2012,,,,,,,,,0.58
,,2012 - 2013,,,,,,,,,0.6
,,2013 - 2014,,,,,,,,,1.18
,,2014 - 2015,,,,,,,,,0.77
