state,district,year,linseed_rabi_area_hectare,linseed_rabi_production_tonne,linseed_rabi_yield_tonne_per_hectare,linseed_kharif_area_hectare,linseed_kharif_production_tonne,linseed_kharif_yield_tonne_per_hectare,linseed_whole_year_area_hectare,linseed_whole_year_production_tonne,linseed_whole_year_yield_tonne_per_hectare
,Dhemaji,2000 - 2001,21.0,10.0,0.48,,,,,,
,,2001 - 2002,40.0,21.0,0.53,,,,,,
,,2002 - 2003,20.0,10.0,0.5,,,,,,
,,2003 - 2004,22.0,11.0,0.5,,,,,,
,,2004 - 2005,20.0,10.0,0.5,,,,,,
,,2005 - 2006,25.0,12.0,0.48,,,,,,
,,2006 - 2007,20.0,10.0,0.5,,,,,,
,,2007 - 2008,20.0,10.0,0.5,,,,,,
,,2008 - 2009,10.0,4.0,0.4,,,,,,
,,2009 - 2010,10.0,5.0,0.5,,,,,,
,,2010 - 2011,36.0,18.0,0.5,,,,,,
,,2011 - 2012,20.0,12.0,0.6,,,,,,
,,2012 - 2013,19.0,12.0,0.63,,,,,,
,,2013 - 2014,9.0,6.0,0.67,,,,,,
,,2014 - 2015,9.0,7.0,0.78,,,,,,
,,2015 - 2016,9.0,7.0,0.78,,,,,,
,,2016 - 2017,9.0,7.0,0.78,,,,,,
,,2017 - 2018,11.0,8.0,0.73,,,,,,
,,2018 - 2019,47.0,36.0,0.77,,,,,,
,,2019 - 2020,46.0,30.0,0.65,,,,,,
,,2020 - 2021,41.0,27.0,0.66,,,,,,
,,2021 - 2022,20.0,12.0,0.6,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Dhubri,2000 - 2001,,626.0,0.55,,,,,,
,,2001 - 2002,868.0,477.0,0.55,,,,,,
,,2002 - 2003,959.0,528.0,0.55,,,,,,
,,2003 - 2004,897.0,494.0,0.55,,,,,,
,,2004 - 2005,883.0,486.0,0.55,,,,,,
,,2005 - 2006,667.0,367.0,0.55,,,,,,
,,2006 - 2007,646.0,355.0,0.55,,,,,,
,,2007 - 2008,420.0,230.0,0.55,,,,,,
,,2008 - 2009,381.0,209.0,0.55,,,,,,
,,2009 - 2010,459.0,252.0,0.55,,,,,,
,,2010 - 2011,305.0,167.0,0.55,,,,,,
,,2011 - 2012,290.0,186.0,0.64,,,,,,
,,2012 - 2013,285.0,197.0,0.69,,,,,,
,,2013 - 2014,280.0,191.0,0.68,,,,,,
,,2014 - 2015,286.0,232.0,0.81,,,,,,
,,2015 - 2016,303.0,156.0,0.51,,,,,,
,,2016 - 2017,154.0,96.0,0.62,,,,,,
,,2017 - 2018,247.0,153.0,0.62,,,,,,
,,2018 - 2019,242.0,141.0,0.58,,,,,,
,,2019 - 2020,250.0,162.0,0.65,,,,,,
,,2020 - 2021,202.0,125.0,0.62,,,,,,
,,2021 - 2022,202.0,125.0,0.62,,,,,,
,,2022 - 2023,118.0,74.0,0.63,,,,,,
,Dibrugarh,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,
,,2004 - 2005,1.0,1.0,1.0,,,,,,
,,2005 - 2006,8.0,3.0,0.38,,,,,,
,,2006 - 2007,4.0,2.0,0.5,,,,,,
,,2007 - 2008,4.0,2.0,0.5,,,,,,
,,2008 - 2009,4.0,1.0,0.25,,,,,,
,,2009 - 2010,6.0,2.0,0.33,,,,,,
,,2010 - 2011,8.0,3.0,0.38,,,,,,
,,2011 - 2012,8.0,3.0,0.38,,,,,,
,,2012 - 2013,8.0,3.0,0.38,,,,,,
,,2020 - 2021,2.0,2.0,1.0,,,,,,
,,2021 - 2022,2.0,1.0,0.5,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Dima hasao,2000 - 2001,4.0,2.0,0.5,,,,,,
,,2001 - 2002,4.0,2.0,0.5,,,,,,
,,2002 - 2003,4.0,2.0,0.5,,,,,,
,,2003 - 2004,4.0,2.0,0.5,,,,,,
,,2004 - 2005,4.0,2.0,0.5,,,,,,
,,2005 - 2006,4.0,2.0,0.5,,,,,,
,,2006 - 2007,4.0,2.0,0.5,,,,,,
,,2007 - 2008,4.0,2.0,0.5,,,,,,
,,2008 - 2009,3.0,1.0,0.33,,,,,,
,,2009 - 2010,4.0,2.0,0.5,,,,,,
,,2010 - 2011,4.0,2.0,0.5,,,,,,
,,2011 - 2012,4.0,2.0,0.5,,,,,,
,,2012 - 2013,4.0,2.0,0.5,,,,,,
,Goalpara,2000 - 2001,560.0,292.0,0.52,,,,,,
,,2001 - 2002,370.0,196.0,0.53,,,,,,
,,2002 - 2003,350.0,188.0,0.54,,,,,,
,,2003 - 2004,355.0,188.0,0.53,,,,,,
,,2004 - 2005,355.0,189.0,0.53,,,,,,
,,2005 - 2006,340.0,181.0,0.53,,,,,,
,,2006 - 2007,350.0,186.0,0.53,,,,,,
,,2007 - 2008,360.0,192.0,0.53,,,,,,
,,2008 - 2009,360.0,211.0,0.59,,,,,,
,,2009 - 2010,360.0,174.0,0.48,,,,,,
,,2010 - 2011,400.0,213.0,0.53,,,,,,
,,2011 - 2012,430.0,253.0,0.59,,,,,,
,,2012 - 2013,450.0,214.0,0.48,,,,,,
,,2013 - 2014,460.0,469.0,1.02,,,,,,
,,2014 - 2015,257.0,173.0,0.67,,,,,,
,,2015 - 2016,257.0,141.0,0.55,,,,,,
,,2016 - 2017,200.0,110.0,0.55,,,,,,
,,2017 - 2018,200.0,120.0,0.6,,,,,,
,,2018 - 2019,200.0,120.0,0.6,,,,,,
,,2019 - 2020,202.0,121.0,0.6,,,,,,
,,2020 - 2021,200.0,121.0,0.61,,,,,,
,,2021 - 2022,201.0,118.0,0.59,,,,,,
,,2022 - 2023,197.0,115.0,0.58,,,,,,
,Golaghat,2000 - 2001,14.0,8.0,0.57,,,,,,
,,2001 - 2002,12.0,7.0,0.58,,,,,,
,,2002 - 2003,12.0,7.0,0.58,,,,,,
,,2003 - 2004,11.0,6.0,0.55,,,,,,
,,2004 - 2005,9.0,5.0,0.56,,,,,,
,,2005 - 2006,8.0,4.0,0.5,,,,,,
,,2006 - 2007,7.0,4.0,0.57,,,,,,
,,2007 - 2008,7.0,4.0,0.57,,,,,,
,,2008 - 2009,10.0,5.0,0.5,,,,,,
,,2022 - 2023,34.0,20.0,0.59,,,,,,
,Hailakandi,2000 - 2001,10.0,5.0,0.5,,,,,,
,,2001 - 2002,10.0,5.0,0.5,,,,,,
,,2002 - 2003,10.0,5.0,0.5,,,,,,
,,2003 - 2004,5.0,2.0,0.4,,,,,,
,,2004 - 2005,5.0,2.0,0.4,,,,,,
,,2005 - 2006,5.0,2.0,0.4,,,,,,
,,2006 - 2007,10.0,5.0,0.5,,,,,,
,,2007 - 2008,10.0,5.0,0.5,,,,,,
,,2008 - 2009,15.0,8.0,0.53,,,,,,
,,2009 - 2010,12.0,6.0,0.5,,,,,,
,,2010 - 2011,15.0,8.0,0.53,,,,,,
,,2012 - 2013,5.0,3.0,0.6,,,,,,
,,2013 - 2014,5.0,3.0,0.6,,,,,,
,,2014 - 2015,5.0,3.0,0.6,,,,,,
,,2015 - 2016,4.0,2.0,0.5,,,,,,
,,2016 - 2017,5.0,3.0,0.6,,,,,,
,,2017 - 2018,4.0,2.0,0.5,,,,,,
,,2018 - 2019,5.0,3.0,0.6,,,,,,
,,2019 - 2020,5.0,3.0,0.6,,,,,,
,,2020 - 2021,4.0,2.0,0.5,,,,,,
,,2021 - 2022,4.0,2.0,0.5,,,,,,
,,2022 - 2023,3.0,2.0,0.67,,,,,,
,Hojai,2020 - 2021,35.0,18.0,0.51,,,,,,
