state,district,year,gram_rabi_area_hectare,gram_rabi_production_tonne,gram_rabi_yield_tonne_per_hectare,gram_kharif_area_hectare,gram_kharif_production_tonne,gram_kharif_yield_tonne_per_hectare,gram_winter_area_hectare,gram_winter_production_tonne,gram_winter_yield_tonne_per_hectare,gram_whole_year_area_hectare,gram_whole_year_production_tonne,gram_whole_year_yield_tonne_per_hectare
,,2019 - 2020,,,1.4,,,,,,,,,
,,2020 - 2021,,,1.49,,,,,,,,,
,,2021 - 2022,,,1.57,,,,,,,,,
,,2022 - 2023,,,1.27,,,,,,,,,
,Spsr nellore,2000 - 2001,654.0,,2.38,,,,,,,,,
,,2001 - 2002,930.0,,1.87,,,,,,,,,
,,2002 - 2003,,,1.31,16.0,21.0,1.31,,,,,,
,,2003 - 2004,,,1.79,,,,,,,,,
,,2004 - 2005,,,1.53,,,,,,,,,
,,2005 - 2006,,,1.92,,,,,,,,,
,,2006 - 2007,,,1.91,,,,,,,,,
,,2007 - 2008,,,0.83,,,,,,,,,
,,2008 - 2009,,,1.18,,,,,,,,,
,,2009 - 2010,,,1.3,,,,,,,,,
,,2010 - 2011,,,1.39,,,,,,,,,
,,2011 - 2012,,,1.37,,,,,,,,,
,,2012 - 2013,,,1.17,,,,,,,,,
,,2013 - 2014,,,1.3,,,,,,,,,
,,2014 - 2015,,,1.91,,,,,,,,,
,,2015 - 2016,,,1.34,,,,,,,,,
,,2016 - 2017,,,0.8,,,,,,,,,
,,2017 - 2018,,,1.29,,,,,,,,,
,,2018 - 2019,,,0.93,,,,,,,,,
,,2019 - 2020,,,1.18,,,,,,,,,
,,2020 - 2021,,,1.39,,,,,,,,,
,,2021 - 2022,,,1.0,,,,,,,,,
,,2022 - 2023,,,1.38,,,,,,,,,
,Sri sathya sai,2022 - 2023,,,0.56,7.0,9.0,1.29,,,,,,
,Srikakulam,2006 - 2007,15.0,29.0,1.93,,,,,,,,,
,,2008 - 2009,16.0,28.0,1.75,,,,,,,,,
,,2009 - 2010,16.0,26.0,1.63,,,,,,,,,
,,2010 - 2011,12.0,20.0,1.67,,,,,,,,,
,,2014 - 2015,1.0,2.0,2.0,,,,,,,,,
,Visakhapatanam,2000 - 2001,27.0,64.0,2.37,,,,,,,,,
,,2001 - 2002,97.0,182.0,1.88,,,,,,,,,
,,2002 - 2003,93.0,122.0,1.31,,,,,,,,,
,,2003 - 2004,215.0,385.0,1.79,,,,,,,,,
,,2004 - 2005,64.0,98.0,1.53,,,,,,,,,
,,2005 - 2006,31.0,59.0,1.9,,,,,,,,,
,,2006 - 2007,33.0,63.0,1.91,,,,,,,,,
,,2008 - 2009,58.0,101.0,1.74,,,,,,,,,
,,2009 - 2010,60.0,99.0,1.65,,,,,,,,,
,,2010 - 2011,80.0,133.0,1.66,,,,,,,,,
,,2011 - 2012,65.0,98.0,1.51,,,,,,,,,
,,2013 - 2014,81.0,156.0,1.93,,,,,,,,,
,,2014 - 2015,87.0,168.0,1.93,,,,,,,,,
,,2015 - 2016,102.0,189.0,1.85,,,,,,,,,
,,2016 - 2017,50.0,75.0,1.5,,,,,,,,,
,,2017 - 2018,75.0,107.0,1.43,,,,,,,,,
,,2018 - 2019,178.0,192.0,1.08,5.0,5.0,1.0,,,,,,
,,2019 - 2020,82.0,119.0,1.45,,,,,,,,,
,Vizianagaram,2000 - 2001,71.0,169.0,2.38,,,,,,,,,
,,2001 - 2002,61.0,114.0,1.87,,,,,,,,,
,,2002 - 2003,322.0,422.0,1.31,,,,,,,,,
,,2003 - 2004,178.0,319.0,1.79,,,,,,,,,
,,2004 - 2005,99.0,151.0,1.53,,,,,,,,,
,,2005 - 2006,93.0,178.0,1.91,,,,,,,,,
,,2006 - 2007,165.0,315.0,1.91,,,,,,,,,
,,2008 - 2009,214.0,373.0,1.74,,,,,,,,,
,,2009 - 2010,237.0,389.0,1.64,,,,,,,,,
,,2010 - 2011,202.0,336.0,1.66,,,,,,,,,
,,2011 - 2012,250.0,379.0,1.52,,,,,,,,,
,,2013 - 2014,525.0,,1.93,,,,,,,,,
,,2014 - 2015,229.0,442.0,1.93,,,,,,,,,
,,2015 - 2016,123.0,228.0,1.85,,,,,,,,,
,,2016 - 2017,130.0,196.0,1.51,,,,,,,,,
,,2017 - 2018,112.0,160.0,1.43,,,,,,,,,
,,2018 - 2019,57.0,61.0,1.07,,,,,,,,,
,,2019 - 2020,121.0,176.0,1.45,,,,,,,,,
,,2020 - 2021,84.0,130.0,1.55,,,,,,,,,
,,2021 - 2022,31.0,49.0,1.58,,,,,,,,,
,,2022 - 2023,8.0,14.0,1.75,2.0,4.0,2.0,,,,,,
,West godavari,2000 - 2001,5.0,12.0,2.4,,,,,,,,,
,,2001 - 2002,6.0,11.0,1.83,,,,,,,,,
,,2002 - 2003,23.0,30.0,1.3,,,,,,,,,
,,2009 - 2010,200.0,328.0,1.64,,,,,,,,,
,,2014 - 2015,44.0,85.0,1.93,,,,,,,,,
,,2015 - 2016,25.0,46.0,1.84,,,,,,,,,
,,2016 - 2017,5.0,8.0,1.6,,,,,,,,,
,,2017 - 2018,33.0,47.0,1.42,,,,,,,,,
,,2018 - 2019,36.0,39.0,1.08,,,,,,,,,
,,2019 - 2020,4.0,6.0,1.5,,,,,,,,,
,,2020 - 2021,2.0,3.0,1.5,,,,,,,,,
,,2021 - 2022,,,,2.0,3.0,1.5,,,,,,
Assam,Baksa,2005 - 2006,58.0,26.0,0.45,,,,,,,,,
,,2006 - 2007,118.0,53.0,0.45,,,,,,,,,
,,2007 - 2008,97.0,44.0,0.45,,,,,,,,,
,,2008 - 2009,68.0,31.0,0.46,,,,,,,,,
,,2009 - 2010,94.0,42.0,0.45,,,,,,,,,
,,2010 - 2011,45.0,20.0,0.44,,,,,,,,,
,,2011 - 2012,69.0,31.0,0.45,,,,,,,,,
,,2012 - 2013,72.0,35.0,0.49,,,,,,,,,
,,2013 - 2014,80.0,40.0,0.5,,,,,,,,,
,,2014 - 2015,78.0,49.0,0.63,,,,,,,,,
,,2015 - 2016,65.0,52.0,0.8,,,,,,,,,
,,2016 - 2017,302.0,188.0,0.62,,,,,,,,,
,,2017 - 2018,282.0,230.0,0.82,,,,,,,,,
,,2018 - 2019,282.0,223.0,0.79,,,,,,,,,
,,2019 - 2020,282.0,251.0,0.89,,,,,,,,,
,,2020 - 2021,257.0,228.0,0.89,,,,,,,,,
,,2021 - 2022,232.0,206.0,0.89,,,,,,,,,
,,2022 - 2023,213.0,189.0,0.89,,,,,,,,,
