state,district,year,gram_rabi_area_hectare,gram_rabi_production_tonne,gram_rabi_yield_tonne_per_hectare,gram_kharif_area_hectare,gram_kharif_production_tonne,gram_kharif_yield_tonne_per_hectare,gram_winter_area_hectare,gram_winter_production_tonne,gram_winter_yield_tonne_per_hectare,gram_whole_year_area_hectare,gram_whole_year_production_tonne,gram_whole_year_yield_tonne_per_hectare
,,2011 - 2012,390.0,607.0,1.56,,,,,,,,,
,,2012 - 2013,410.0,739.0,1.8,,,,,,,,,
,,2013 - 2014,932.0,,1.88,,,,,,,,,
,,2014 - 2015,472.0,529.0,1.12,,,,,,,,,
,,2015 - 2016,465.0,330.0,0.71,,,,,,,,,
,,2016 - 2017,535.0,,1.87,,,,,,,,,
,,2017 - 2018,108.0,205.0,1.9,,,,,,,,,
,,2018 - 2019,702.0,,1.59,,,,,,,,,
,,2019 - 2020,231.0,357.0,1.55,,,,,,,,,
,,2020 - 2021,297.0,722.0,2.43,,,,,,,,,
,,2021 - 2022,625.0,,2.58,,,,,,,,,
,,2022 - 2023,625.0,784.0,1.25,,,,,,,,,
,Gautam buddha nagar,2000 - 2001,64.0,54.0,0.84,,,,,,,,,
,,2001 - 2002,56.0,56.0,1.0,,,,,,,,,
,,2002 - 2003,62.0,56.0,0.9,,,,,,,,,
,,2003 - 2004,53.0,55.0,1.04,,,,,,,,,
,,2004 - 2005,49.0,45.0,0.92,,,,,,,,,
,,2005 - 2006,3.0,3.0,1.0,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,8.0,11.0,1.38,,,,,,,,,
,Ghaziabad,2000 - 2001,22.0,19.0,0.86,,,,,,,,,
,,2001 - 2002,20.0,20.0,1.0,,,,,,,,,
,,2002 - 2003,11.0,10.0,0.91,,,,,,,,,
,,2003 - 2004,10.0,20.0,2.0,,,,,,,,,
,,2004 - 2005,23.0,21.0,0.91,,,,,,,,,
,,2005 - 2006,315.0,281.0,0.89,,,,,,,,,
,,2006 - 2007,6.0,5.0,0.83,,,,,,,,,
,,2007 - 2008,5.0,4.0,0.8,,,,,,,,,
,,2008 - 2009,5.0,5.0,1.0,,,,,,,,,
,,2009 - 2010,3.0,2.0,0.67,,,,,,,,,
,,2010 - 2011,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,
,,2022 - 2023,11.0,15.0,1.36,,,,,,,,,
,Ghazipur,2000 - 2001,,,0.92,,,,,,,,,
,,2001 - 2002,,,0.97,,,,,,,,,
,,2002 - 2003,,,0.84,,,,,,,,,
,,2003 - 2004,,,0.94,,,,,,,,,
,,2004 - 2005,,,0.91,,,,,,,,,
,,2005 - 2006,,,0.92,,,,,,,,,
,,2006 - 2007,,,0.86,,,,,,,,,
,,2007 - 2008,,,0.84,,,,,,,,,
,,2008 - 2009,,,1.08,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,,0.97,,,,,,,,,
,,2011 - 2012,,,1.24,,,,,,,,,
,,2012 - 2013,,,1.15,,,,,,,,,
,,2013 - 2014,,,0.94,,,,,,,,,
,,2014 - 2015,,,1.29,,,,,,,,,
,,2015 - 2016,,,1.56,,,,,,,,,
,,2016 - 2017,,,2.44,,,,,,,,,
,,2017 - 2018,,,1.73,,,,,,,,,
,,2018 - 2019,,,1.85,,,,,,,,,
,,2019 - 2020,,,1.77,,,,,,,,,
,,2020 - 2021,,,1.65,,,,,,,,,
,,2021 - 2022,,,1.74,,,,,,,,,
,,2022 - 2023,,,1.8,,,,,,,,,
,Gonda,2000 - 2001,,,0.64,,,,,,,,,
,,2001 - 2002,,,0.66,,,,,,,,,
,,2002 - 2003,,,0.51,,,,,,,,,
,,2003 - 2004,,,0.68,,,,,,,,,
,,2004 - 2005,,,0.92,,,,,,,,,
,,2005 - 2006,,,0.92,,,,,,,,,
,,2006 - 2007,,,0.75,,,,,,,,,
,,2007 - 2008,,,0.75,,,,,,,,,
,,2008 - 2009,528.0,523.0,0.99,,,,,,,,,
,,2009 - 2010,847.0,701.0,0.83,,,,,,,,,
,,2010 - 2011,730.0,671.0,0.92,,,,,,,,,
,,2011 - 2012,719.0,849.0,1.18,,,,,,,,,
,,2012 - 2013,769.0,852.0,1.11,,,,,,,,,
,,2013 - 2014,496.0,212.0,0.43,,,,,,,,,
,,2014 - 2015,593.0,178.0,0.3,,,,,,,,,
,,2015 - 2016,555.0,544.0,0.98,,,,,,,,,
,,2016 - 2017,890.0,966.0,1.09,,,,,,,,,
,,2017 - 2018,650.0,681.0,1.05,,,,,,,,,
,,2018 - 2019,641.0,805.0,1.26,,,,,,,,,
,,2019 - 2020,692.0,932.0,1.35,,,,,,,,,
,,2020 - 2021,703.0,851.0,1.21,,,,,,,,,
,,2021 - 2022,811.0,,1.35,,,,,,,,,
,,2022 - 2023,811.0,,1.35,,,,,,,,,
,Gorakhpur,2000 - 2001,,,0.79,,,,,,,,,
,,2001 - 2002,,,0.89,,,,,,,,,
,,2002 - 2003,,882.0,0.83,,,,,,,,,
,,2003 - 2004,894.0,820.0,0.92,,,,,,,,,
,,2004 - 2005,750.0,642.0,0.86,,,,,,,,,
,,2005 - 2006,,,0.88,,,,,,,,,
,,2006 - 2007,867.0,616.0,0.71,,,,,,,,,
,,2007 - 2008,523.0,375.0,0.72,,,,,,,,,
,,2008 - 2009,470.0,444.0,0.94,,,,,,,,,
,,2009 - 2010,603.0,459.0,0.76,,,,,,,,,
,,2010 - 2011,626.0,578.0,0.92,,,,,,,,,
,,2011 - 2012,472.0,510.0,1.08,,,,,,,,,
,,2012 - 2013,486.0,464.0,0.95,,,,,,,,,
,,2013 - 2014,981.0,643.0,0.66,,,,,,,,,
,,2014 - 2015,855.0,312.0,0.36,,,,,,,,,
,,2015 - 2016,292.0,174.0,0.6,,,,,,,,,
,,2016 - 2017,548.0,561.0,1.02,,,,,,,,,
,,2017 - 2018,350.0,373.0,1.07,,,,,,,,,
,,2018 - 2019,179.0,268.0,1.5,,,,,,,,,
,,2019 - 2020,496.0,622.0,1.25,,,,,,,,,
,,2020 - 2021,543.0,626.0,1.15,,,,,,,,,
,,2021 - 2022,431.0,580.0,1.35,,,,,,,,,
,,2022 - 2023,385.0,519.0,1.35,,,,,,,,,
,Hamirpur,2000 - 2001,,,0.7,,,,,,,,,
,,2001 - 2002,,,0.86,,,,,,,,,
,,2002 - 2003,,,0.82,,,,,,,,,
,,2003 - 2004,,,0.97,,,,,,,,,
,,2004 - 2005,,,0.63,,,,,,,,,
,,2005 - 2006,,,0.8,,,,,,,,,
,,2006 - 2007,,,0.62,,,,,,,,,
,,2007 - 2008,,,0.51,,,,,,,,,
,,2008 - 2009,,,0.8,,,,,,,,,
,,2009 - 2010,,,0.7,,,,,,,,,
,,2010 - 2011,,,0.82,,,,,,,,,
,,2011 - 2012,,,1.0,,,,,,,,,
,,2012 - 2013,,,0.92,,,,,,,,,
,,2013 - 2014,,,0.4,,,,,,,,,
,,2014 - 2015,,,0.19,,,,,,,,,
,,2015 - 2016,,,0.45,,,,,,,,,
,,2016 - 2017,,,0.83,,,,,,,,,
,,2017 - 2018,,,0.93,,,,,,,,,
,,2018 - 2019,,,1.15,,,,,,,,,
,,2019 - 2020,,,1.18,,,,,,,,,
,,2020 - 2021,,,1.1,,,,,,,,,
,,2021 - 2022,,,1.24,,,,,,,,,
,,2022 - 2023,,,1.26,,,,,,,,,
,Hapur,2017 - 2018,2.0,2.0,1.0,,,,,,,,,
,,2020 - 2021,2.0,2.0,1.0,,,,,,,,,
,,2021 - 2022,2.0,3.0,1.5,,,,,,,,,
,,2022 - 2023,4.0,5.0,1.25,,,,,,,,,
,Hardoi,2000 - 2001,,,0.8,,,,,,,,,
,,2001 - 2002,,,0.82,,,,,,,,,
,,2002 - 2003,,,0.92,,,,,,,,,
,,2003 - 2004,,,0.87,,,,,,,,,
,,2004 - 2005,,,0.94,,,,,,,,,
,,2005 - 2006,,,1.14,,,,,,,,,
,,2006 - 2007,,,0.78,,,,,,,,,
,,2007 - 2008,932.0,920.0,0.99,,,,,,,,,
,,2008 - 2009,,,1.15,,,,,,,,,
,,2009 - 2010,620.0,543.0,0.88,,,,,,,,,
,,2010 - 2011,738.0,438.0,0.59,,,,,,,,,
,,2011 - 2012,583.0,750.0,1.29,,,,,,,,,
,,2012 - 2013,737.0,872.0,1.18,,,,,,,,,
,,2013 - 2014,891.0,423.0,0.47,,,,,,,,,
,,2014 - 2015,479.0,256.0,0.53,,,,,,,,,
,,2015 - 2016,499.0,250.0,0.5,,,,,,,,,
,,2016 - 2017,588.0,441.0,0.75,,,,,,,,,
,,2017 - 2018,,,0.94,,,,,,,,,
,,2018 - 2019,607.0,689.0,1.14,,,,,,,,,
,,2019 - 2020,588.0,412.0,0.7,,,,,,,,,
,,2020 - 2021,546.0,575.0,1.05,,,,,,,,,
,,2021 - 2022,607.0,514.0,0.85,,,,,,,,,
,,2022 - 2023,615.0,636.0,1.03,,,,,,,,,
,Hathras,2000 - 2001,546.0,631.0,1.16,,,,,,,,,
,,2001 - 2002,783.0,935.0,1.19,,,,,,,,,
,,2002 - 2003,506.0,488.0,0.96,,,,,,,,,
,,2003 - 2004,333.0,454.0,1.36,,,,,,,,,
,,2004 - 2005,237.0,294.0,1.24,,,,,,,,,
,,2005 - 2006,135.0,176.0,1.3,,,,,,,,,
,,2006 - 2007,29.0,24.0,0.83,,,,,,,,,
,,2007 - 2008,84.0,113.0,1.35,,,,,,,,,
,,2008 - 2009,52.0,53.0,1.02,,,,,,,,,
,,2009 - 2010,8.0,7.0,0.88,,,,,,,,,
,,2010 - 2011,14.0,12.0,0.86,,,,,,,,,
,,2011 - 2012,16.0,19.0,1.19,,,,,,,,,
,,2012 - 2013,9.0,10.0,1.11,,,,,,,,,
,,2013 - 2014,23.0,10.0,0.43,,,,,,,,,
,,2014 - 2015,4.0,1.0,0.25,,,,,,,,,
,,2015 - 2016,12.0,7.0,0.58,,,,,,,,,
,,2016 - 2017,17.0,19.0,1.12,,,,,,,,,
,,2017 - 2018,35.0,37.0,1.06,,,,,,,,,
,,2018 - 2019,5.0,6.0,1.2,,,,,,,,,
,,2019 - 2020,10.0,14.0,1.4,,,,,,,,,
,,2020 - 2021,22.0,27.0,1.23,,,,,,,,,
,,2021 - 2022,26.0,35.0,1.35,,,,,,,,,
,,2022 - 2023,26.0,35.0,1.35,,,,,,,,,
,Jalaun,2000 - 2001,,,0.72,,,,,,,,,
,,2001 - 2002,,,1.25,,,,,,,,,
,,2002 - 2003,,,1.07,,,,,,,,,
,,2003 - 2004,,,1.2,,,,,,,,,
,,2004 - 2005,,,1.08,,,,,,,,,
,,2005 - 2006,,,0.98,,,,,,,,,
,,2006 - 2007,,,0.66,,,,,,,,,
,,2007 - 2008,,,0.59,,,,,,,,,
,,2008 - 2009,,,1.13,,,,,,,,,
,,2009 - 2010,,,0.97,,,,,,,,,
,,2010 - 2011,,,1.13,,,,,,,,,
,,2011 - 2012,,,1.31,,,,,,,,,
,,2012 - 2013,,,1.38,,,,,,,,,
,,2013 - 2014,,,0.74,,,,,,,,,
,,2014 - 2015,,,0.32,,,,,,,,,
,,2015 - 2016,,,0.42,,,,,,,,,
,,2016 - 2017,,,1.2,,,,,,,,,
,,2017 - 2018,,,1.41,,,,,,,,,
,,2018 - 2019,,,1.37,,,,,,,,,
,,2019 - 2020,,,1.48,,,,,,,,,
,,2020 - 2021,,,1.41,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,
,,2022 - 2023,,,1.21,,,,,,,,,
,Jaunpur,2000 - 2001,,,0.96,,,,,,,,,
,,2001 - 2002,,,1.35,,,,,,,,,
,,2002 - 2003,,,0.99,,,,,,,,,
,,2003 - 2004,,,1.28,,,,,,,,,
,,2004 - 2005,,,0.81,,,,,,,,,
,,2005 - 2006,,,0.92,,,,,,,,,
,,2006 - 2007,,,0.86,,,,,,,,,
,,2007 - 2008,,,0.84,,,,,,,,,
,,2008 - 2009,,,1.08,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,,0.97,,,,,,,,,
,,2011 - 2012,,,1.24,,,,,,,,,
,,2012 - 2013,,,1.15,,,,,,,,,
,,2013 - 2014,,,0.94,,,,,,,,,
,,2014 - 2015,,,0.65,,,,,,,,,
,,2015 - 2016,,,1.78,,,,,,,,,
,,2016 - 2017,,,2.27,,,,,,,,,
,,2017 - 2018,,,1.48,,,,,,,,,
,,2018 - 2019,,,1.3,,,,,,,,,
,,2019 - 2020,,,1.39,,,,,,,,,
,,2020 - 2021,,,1.88,,,,,,,,,
,,2021 - 2022,,,2.47,,,,,,,,,
,,2022 - 2023,,,2.1,,,,,,,,,
,Jhansi,2000 - 2001,,,0.85,,,,,,,,,
,,2001 - 2002,,,1.12,,,,,,,,,
,,2002 - 2003,,,0.81,,,,,,,,,
,,2003 - 2004,,,1.01,,,,,,,,,
,,2004 - 2005,,,0.9,,,,,,,,,
,,2005 - 2006,,,0.76,,,,,,,,,
,,2006 - 2007,,,0.6,,,,,,,,,
,,2007 - 2008,,,0.61,,,,,,,,,
,,2008 - 2009,,,1.17,,,,,,,,,
,,2009 - 2010,,,0.99,,,,,,,,,
,,2010 - 2011,,,0.98,,,,,,,,,
,,2011 - 2012,,,1.29,,,,,,,,,
,,2012 - 2013,,,1.13,,,,,,,,,
,,2013 - 2014,,,0.29,,,,,,,,,
,,2014 - 2015,,,0.33,,,,,,,,,
,,2015 - 2016,,,0.62,,,,,,,,,
,,2016 - 2017,,,1.22,,,,,,,,,
,,2017 - 2018,,,1.01,,,,,,,,,
,,2018 - 2019,,,1.5,,,,,,,,,
,,2019 - 2020,,,1.85,,,,,,,,,
,,2020 - 2021,,,1.07,,,,,,,,,
,,2021 - 2022,,,1.37,,,,,,,,,
,,2022 - 2023,,,1.47,,,,,,,,,
,Kannauj,2000 - 2001,,,1.28,,,,,,,,,
,,2001 - 2002,,,1.22,,,,,,,,,
,,2002 - 2003,,,1.25,,,,,,,,,
,,2003 - 2004,,,1.26,,,,,,,,,
,,2004 - 2005,,,1.13,,,,,,,,,
,,2005 - 2006,,,1.38,,,,,,,,,
,,2006 - 2007,,,1.16,,,,,,,,,
,,2007 - 2008,,,1.21,,,,,,,,,
,,2008 - 2009,,,1.52,,,,,,,,,
,,2009 - 2010,996.0,,1.22,,,,,,,,,
,,2010 - 2011,908.0,,1.52,,,,,,,,,
,,2011 - 2012,,,1.54,,,,,,,,,
,,2012 - 2013,992.0,,1.36,,,,,,,,,
,,2013 - 2014,998.0,608.0,0.61,,,,,,,,,
,,2014 - 2015,847.0,345.0,0.41,,,,,,,,,
,,2015 - 2016,719.0,666.0,0.93,,,,,,,,,
,,2016 - 2017,898.0,,1.3,,,,,,,,,
,,2017 - 2018,961.0,,1.68,,,,,,,,,
,,2018 - 2019,919.0,,1.46,,,,,,,,,
,,2019 - 2020,957.0,,1.39,,,,,,,,,
,,2020 - 2021,,,1.46,,,,,,,,,
,,2021 - 2022,,,1.46,,,,,,,,,
,,2022 - 2023,,,1.22,,,,,,,,,
,Kanpur dehat,2003 - 2004,,,1.44,,,,,,,,,
,,2004 - 2005,,,1.19,,,,,,,,,
,,2005 - 2006,,,1.52,,,,,,,,,
,,2006 - 2007,,,1.32,,,,,,,,,
,,2007 - 2008,,,1.47,,,,,,,,,
,,2008 - 2009,,,1.59,,,,,,,,,
,,2009 - 2010,,,1.22,,,,,,,,,
,,2010 - 2011,,,1.58,,,,,,,,,
,,2011 - 2012,,,1.69,,,,,,,,,
,,2012 - 2013,,,1.39,,,,,,,,,
,,2013 - 2014,,,0.75,,,,,,,,,
,,2014 - 2015,,,0.29,,,,,,,,,
,,2015 - 2016,,,0.92,,,,,,,,,
,,2016 - 2017,,,1.22,,,,,,,,,
,,2017 - 2018,,,1.67,,,,,,,,,
,,2018 - 2019,,,1.66,,,,,,,,,
,,2019 - 2020,,,1.43,,,,,,,,,
,,2020 - 2021,,,1.41,,,,,,,,,
,,2021 - 2022,,,1.39,,,,,,,,,
,,2022 - 2023,,,1.25,,,,,,,,,
,Kanpur nagar,2000 - 2001,,,1.25,,,,,,,,,
,,2001 - 2002,,,1.22,,,,,,,,,
,,2002 - 2003,,,1.36,,,,,,,,,
,,2003 - 2004,,,0.98,,,,,,,,,
,,2004 - 2005,,,0.96,,,,,,,,,
,,2005 - 2006,,,1.33,,,,,,,,,
,,2006 - 2007,,,1.02,,,,,,,,,
,,2007 - 2008,,,0.82,,,,,,,,,
,,2008 - 2009,,,1.28,,,,,,,,,
,,2009 - 2010,,,1.18,,,,,,,,,
,,2010 - 2011,,,1.46,,,,,,,,,
,,2011 - 2012,,,1.26,,,,,,,,,
,,2012 - 2013,,,1.24,,,,,,,,,
,,2013 - 2014,,,0.5,,,,,,,,,
,,2014 - 2015,,,0.74,,,,,,,,,
,,2015 - 2016,,,0.91,,,,,,,,,
,,2016 - 2017,,,1.44,,,,,,,,,
,,2017 - 2018,,,1.89,,,,,,,,,
,,2018 - 2019,,,1.14,,,,,,,,,
,,2019 - 2020,,,1.4,,,,,,,,,
,,2020 - 2021,,,1.63,,,,,,,,,
,,2021 - 2022,,,1.58,,,,,,,,,
,,2022 - 2023,,,1.21,,,,,,,,,
,Kasganj,2009 - 2010,105.0,86.0,0.82,,,,,,,,,
,,2010 - 2011,27.0,24.0,0.89,,,,,,,,,
,,2011 - 2012,25.0,29.0,1.16,,,,,,,,,
,,2013 - 2014,41.0,17.0,0.41,,,,,,,,,
,,2014 - 2015,70.0,21.0,0.3,,,,,,,,,
,,2016 - 2017,48.0,52.0,1.08,,,,,,,,,
,,2017 - 2018,9.0,9.0,1.0,,,,,,,,,
,,2018 - 2019,66.0,83.0,1.26,,,,,,,,,
,,2019 - 2020,55.0,74.0,1.35,,,,,,,,,
,,2020 - 2021,61.0,74.0,1.21,,,,,,,,,
,,2021 - 2022,379.0,510.0,1.35,,,,,,,,,
,,2022 - 2023,379.0,511.0,1.35,,,,,,,,,
,Kaushambi,2000 - 2001,,,0.98,,,,,,,,,
,,2001 - 2002,,,1.06,,,,,,,,,
,,2002 - 2003,,,0.91,,,,,,,,,
,,2003 - 2004,,,1.1,,,,,,,,,
,,2004 - 2005,,,1.16,,,,,,,,,
,,2005 - 2006,,,1.17,,,,,,,,,
,,2006 - 2007,,,1.03,,,,,,,,,
,,2007 - 2008,,,1.0,,,,,,,,,
,,2008 - 2009,,,1.25,,,,,,,,,
,,2009 - 2010,,,0.97,,,,,,,,,
,,2010 - 2011,,,1.02,,,,,,,,,
,,2011 - 2012,,,1.32,,,,,,,,,
,,2012 - 2013,,,1.33,,,,,,,,,
,,2013 - 2014,,,0.3,,,,,,,,,
,,2014 - 2015,,,0.32,,,,,,,,,
,,2015 - 2016,,,0.68,,,,,,,,,
,,2016 - 2017,,,1.14,,,,,,,,,
,,2017 - 2018,,,1.43,,,,,,,,,
,,2018 - 2019,,,1.17,,,,,,,,,
,,2019 - 2020,,,1.3,,,,,,,,,
,,2020 - 2021,,,1.16,,,,,,,,,
,,2021 - 2022,,,1.45,,,,,,,,,
,,2022 - 2023,,,1.2,,,,,,,,,
,Kheri,2000 - 2001,381.0,361.0,0.95,,,,,,,,,
,,2001 - 2002,253.0,237.0,0.94,,,,,,,,,
,,2002 - 2003,165.0,151.0,0.92,,,,,,,,,
,,2003 - 2004,157.0,136.0,0.87,,,,,,,,,
,,2004 - 2005,121.0,114.0,0.94,,,,,,,,,
,,2005 - 2006,172.0,197.0,1.15,,,,,,,,,
,,2006 - 2007,48.0,37.0,0.77,,,,,,,,,
,,2007 - 2008,128.0,126.0,0.98,,,,,,,,,
,,2008 - 2009,72.0,83.0,1.15,,,,,,,,,
,,2009 - 2010,111.0,97.0,0.87,,,,,,,,,
,,2010 - 2011,111.0,66.0,0.59,,,,,,,,,
,,2011 - 2012,82.0,105.0,1.28,,,,,,,,,
,,2012 - 2013,154.0,182.0,1.18,,,,,,,,,
,,2013 - 2014,233.0,111.0,0.48,,,,,,,,,
,,2014 - 2015,124.0,66.0,0.53,,,,,,,,,
,,2015 - 2016,65.0,32.0,0.49,,,,,,,,,
,,2016 - 2017,326.0,245.0,0.75,,,,,,,,,
,,2017 - 2018,401.0,377.0,0.94,,,,,,,,,
,,2018 - 2019,245.0,278.0,1.13,,,,,,,,,
,,2019 - 2020,206.0,145.0,0.7,,,,,,,,,
,,2020 - 2021,94.0,100.0,1.06,,,,,,,,,
,,2021 - 2022,364.0,308.0,0.85,,,,,,,,,
,,2022 - 2023,368.0,381.0,1.04,,,,,,,,,
,Kushi nagar,2000 - 2001,23.0,18.0,0.78,,,,,,,,,
,,2001 - 2002,23.0,21.0,0.91,,,,,,,,,
,,2002 - 2003,24.0,20.0,0.83,,,,,,,,,
,,2003 - 2004,20.0,18.0,0.9,,,,,,,,,
,,2004 - 2005,10.0,9.0,0.9,,,,,,,,,
,,2005 - 2006,80.0,71.0,0.89,,,,,,,,,
,,2006 - 2007,10.0,7.0,0.7,,,,,,,,,
,,2007 - 2008,11.0,8.0,0.73,,,,,,,,,
,,2008 - 2009,3.0,3.0,1.0,,,,,,,,,
,,2009 - 2010,1.0,1.0,1.0,,,,,,,,,
,,2010 - 2011,11.0,10.0,0.91,,,,,,,,,
,,2012 - 2013,1.0,1.0,1.0,,,,,,,,,
,,2014 - 2015,25.0,9.0,0.36,,,,,,,,,
,,2015 - 2016,10.0,6.0,0.6,,,,,,,,,
,,2016 - 2017,3.0,3.0,1.0,,,,,,,,,
,,2019 - 2020,3.0,4.0,1.33,,,,,,,,,
,,2021 - 2022,17.0,23.0,1.35,,,,,,,,,
,,2022 - 2023,15.0,20.0,1.33,,,,,,,,,
,Lalitpur,2000 - 2001,,,0.8,,,,,,,,,
,,2001 - 2002,,,0.86,,,,,,,,,
,,2002 - 2003,,,0.87,,,,,,,,,
,,2003 - 2004,,,1.05,,,,,,,,,
,,2004 - 2005,,,1.18,,,,,,,,,
,,2005 - 2006,,,1.1,,,,,,,,,
,,2006 - 2007,,,1.01,,,,,,,,,
,,2007 - 2008,,,0.88,,,,,,,,,
,,2008 - 2009,,,0.97,,,,,,,,,
,,2009 - 2010,,,1.19,,,,,,,,,
,,2010 - 2011,,,1.08,,,,,,,,,
,,2011 - 2012,,,1.22,,,,,,,,,
,,2012 - 2013,,,1.47,,,,,,,,,
,,2013 - 2014,,,0.46,,,,,,,,,
,,2014 - 2015,,,0.74,,,,,,,,,
,,2015 - 2016,,,0.74,,,,,,,,,
,,2016 - 2017,,,1.57,,,,,,,,,
,,2017 - 2018,,,1.3,,,,,,,,,
,,2018 - 2019,,,1.69,,,,,,,,,
,,2019 - 2020,,,1.57,,,,,,,,,
,,2020 - 2021,,,1.38,,,,,,,,,
,,2021 - 2022,,,1.72,,,,,,,,,
,,2022 - 2023,,,1.59,,,,,,,,,
,Lucknow,2000 - 2001,,,0.95,,,,,,,,,
,,2001 - 2002,,,0.94,,,,,,,,,
,,2002 - 2003,,,0.92,,,,,,,,,
,,2003 - 2004,,,0.87,,,,,,,,,
,,2004 - 2005,,,0.94,,,,,,,,,
,,2005 - 2006,,,1.14,,,,,,,,,
,,2006 - 2007,,,0.78,,,,,,,,,
,,2007 - 2008,,,0.99,,,,,,,,,
,,2008 - 2009,318.0,365.0,1.15,,,,,,,,,
,,2009 - 2010,,,0.88,,,,,,,,,
,,2010 - 2011,,728.0,0.59,,,,,,,,,
,,2011 - 2012,,,1.29,,,,,,,,,
,,2012 - 2013,938.0,,1.18,,,,,,,,,
,,2013 - 2014,,556.0,0.47,,,,,,,,,
,,2014 - 2015,646.0,346.0,0.54,,,,,,,,,
,,2015 - 2016,621.0,311.0,0.5,,,,,,,,,
,,2016 - 2017,879.0,660.0,0.75,,,,,,,,,
,,2017 - 2018,934.0,880.0,0.94,,,,,,,,,
,,2018 - 2019,202.0,230.0,1.14,,,,,,,,,
,,2019 - 2020,,849.0,0.7,,,,,,,,,
,,2020 - 2021,,,1.42,,,,,,,,,
,,2021 - 2022,,,0.98,,,,,,,,,
,,2022 - 2023,,968.0,0.74,,,,,,,,,
,Maharajganj,2000 - 2001,144.0,113.0,0.78,,,,,,,,,
,,2001 - 2002,168.0,149.0,0.89,,,,,,,,,
,,2002 - 2003,82.0,68.0,0.83,,,,,,,,,
,,2003 - 2004,83.0,76.0,0.92,,,,,,,,,
,,2004 - 2005,96.0,82.0,0.85,,,,,,,,,
,,2005 - 2006,43.0,38.0,0.88,,,,,,,,,
,,2006 - 2007,49.0,35.0,0.71,,,,,,,,,
,,2007 - 2008,8.0,6.0,0.75,,,,,,,,,
,,2008 - 2009,52.0,49.0,0.94,,,,,,,,,
,,2009 - 2010,7.0,5.0,0.71,,,,,,,,,
,,2010 - 2011,17.0,16.0,0.94,,,,,,,,,
,,2011 - 2012,52.0,56.0,1.08,,,,,,,,,
,,2012 - 2013,20.0,19.0,0.95,,,,,,,,,
,,2013 - 2014,123.0,81.0,0.66,,,,,,,,,
,,2014 - 2015,24.0,9.0,0.38,,,,,,,,,
,,2015 - 2016,79.0,47.0,0.59,,,,,,,,,
,,2016 - 2017,5.0,5.0,1.0,,,,,,,,,
,,2017 - 2018,4.0,4.0,1.0,,,,,,,,,
,,2021 - 2022,32.0,43.0,1.34,,,,,,,,,
,,2022 - 2023,31.0,42.0,1.35,,,,,,,,,
,Mahoba,2000 - 2001,,,0.54,,,,,,,,,
,,2001 - 2002,,,0.81,,,,,,,,,
,,2002 - 2003,,,0.64,,,,,,,,,
,,2003 - 2004,,,0.84,,,,,,,,,
,,2004 - 2005,,,0.94,,,,,,,,,
,,2005 - 2006,,,0.61,,,,,,,,,
,,2006 - 2007,,,0.57,,,,,,,,,
,,2007 - 2008,,,0.4,,,,,,,,,
,,2008 - 2009,,,1.1,,,,,,,,,
,,2009 - 2010,,,0.64,,,,,,,,,
,,2010 - 2011,,,0.68,,,,,,,,,
,,2011 - 2012,,,1.02,,,,,,,,,
,,2012 - 2013,,,0.92,,,,,,,,,
,,2013 - 2014,,,0.41,,,,,,,,,
,,2014 - 2015,,,0.18,,,,,,,,,
,,2015 - 2016,,,0.2,,,,,,,,,
,,2016 - 2017,,,0.78,,,,,,,,,
,,2017 - 2018,,,0.69,,,,,,,,,
,,2018 - 2019,,,1.17,,,,,,,,,
,,2019 - 2020,,,1.65,,,,,,,,,
,,2020 - 2021,,,1.02,,,,,,,,,
,,2021 - 2022,,,1.27,,,,,,,,,
,,2022 - 2023,,,1.6,,,,,,,,,
,Mainpuri,2000 - 2001,,,1.15,,,,,,,,,
,,2001 - 2002,,,1.19,,,,,,,,,
,,2002 - 2003,,,0.96,,,,,,,,,
,,2003 - 2004,,,1.36,,,,,,,,,
,,2004 - 2005,921.0,,1.24,,,,,,,,,
,,2005 - 2006,,,1.3,,,,,,,,,
,,2006 - 2007,919.0,762.0,0.83,,,,,,,,,
,,2007 - 2008,,,1.35,,,,,,,,,
,,2008 - 2009,,,1.01,,,,,,,,,
,,2009 - 2010,973.0,804.0,0.83,,,,,,,,,
,,2010 - 2011,917.0,,1.95,,,,,,,,,
,,2011 - 2012,853.0,,1.56,,,,,,,,,
,,2012 - 2013,921.0,,1.8,,,,,,,,,
,,2013 - 2014,987.0,,1.88,,,,,,,,,
,,2014 - 2015,813.0,911.0,1.12,,,,,,,,,
,,2015 - 2016,942.0,669.0,0.71,,,,,,,,,
,,2016 - 2017,891.0,,1.87,,,,,,,,,
,,2017 - 2018,793.0,,1.9,,,,,,,,,
,,2018 - 2019,,,1.59,,,,,,,,,
,,2019 - 2020,890.0,,1.54,,,,,,,,,
