state,district,year,turmeric_whole_year_area_hectare,turmeric_whole_year_production_tonne,turmeric_whole_year_yield_tonne_per_hectare,turmeric_rabi_area_hectare,turmeric_rabi_production_tonne,turmeric_rabi_yield_tonne_per_hectare,turmeric_kharif_area_hectare,turmeric_kharif_production_tonne,turmeric_kharif_yield_tonne_per_hectare,turmeric_summer_area_hectare,turmeric_summer_production_tonne,turmeric_summer_yield_tonne_per_hectare
,,2001 - 2002,,,2.04,,,,,,,,,
,,2002 - 2003,,,2.88,,,,,,,,,
,,2003 - 2004,,,2.45,,,,,,,,,
,,2004 - 2005,,,4.85,,,,,,,,,
,,2005 - 2006,,,2.89,,,,,,,,,
,,2006 - 2007,,,2.39,,,,,,,,,
,,2008 - 2009,,,2.2,,,,,,,,,
,,2009 - 2010,,,2.41,,,,,,,,,
,,2010 - 2011,,,2.52,,,,,,,,,
,,2011 - 2012,,,2.27,,,,,,,,,
,,2012 - 2013,,,,,,,,,3.35,,,
,,2013 - 2014,,,,,,,,,2.82,,,
,,2014 - 2015,,,,3.0,8.0,2.67,,,2.81,,,
,,2015 - 2016,,,,,,,,,5.14,,,
,,2016 - 2017,,,,,,,,,2.44,,,
,,2017 - 2018,,,,,,,,,12.0,,,
,,2018 - 2019,,,,,,,,,18.58,,,
,,2019 - 2020,,,,,,,,,12.0,,,
,Vizianagaram,2000 - 2001,33.0,148.0,4.48,,,,,,,,,
,,2001 - 2002,33.0,143.0,4.33,,,,,,,,,
,,2002 - 2003,63.0,338.0,5.37,,,,,,,,,
,,2003 - 2004,46.0,284.0,6.17,,,,,,,,,
,,2004 - 2005,35.0,283.0,8.09,,,,,,,,,
,,2005 - 2006,110.0,690.0,6.27,,,,,,,,,
,,2006 - 2007,155.0,911.0,5.88,,,,,,,,,
,,2008 - 2009,221.0,,6.87,,,,,,,,,
,,2009 - 2010,192.0,,6.23,,,,,,,,,
,,2010 - 2011,224.0,,6.11,,,,,,,,,
,,2011 - 2012,203.0,,7.51,,,,,,,,,
,,2012 - 2013,,,,,,,107.0,709.0,6.63,,,
,,2013 - 2014,,,,,,,128.0,852.0,6.66,,,
,,2014 - 2015,,,,,,,47.0,338.0,7.19,,,
,,2015 - 2016,,,,,,,31.0,209.0,6.74,,,
,,2016 - 2017,,,,,,,31.0,131.0,4.23,,,
