state,district,year,wheat_rabi_area_hectare,wheat_rabi_production_tonne,wheat_rabi_yield_tonne_per_hectare,wheat_kharif_area_hectare,wheat_kharif_production_tonne,wheat_kharif_yield_tonne_per_hectare,wheat_winter_area_hectare,wheat_winter_production_tonne,wheat_winter_yield_tonne_per_hectare,wheat_whole_year_area_hectare,wheat_whole_year_production_tonne,wheat_whole_year_yield_tonne_per_hectare,wheat_summer_area_hectare,wheat_summer_production_tonne,wheat_summer_yield_tonne_per_hectare
,,2009 - 2010,,,1.79,,,,,,,,,,,,
,,2010 - 2011,540.0,,2.59,,,,,,,,,,,,
,,2011 - 2012,530.0,,2.62,,,,,,,,,,,,
,,2012 - 2013,530.0,,2.51,,,,,,,,,,,,
,,2013 - 2014,530.0,,2.55,,,,,,,,,,,,
,,2014 - 2015,530.0,,2.57,,,,,,,,,,,,
,,2015 - 2016,540.0,,2.48,,,,,,,,,,,,
,,2016 - 2017,540.0,,2.48,,,,,,,,,,,,
,,2017 - 2018,540.0,,2.48,,,,,,,,,,,,
,,2018 - 2019,540.0,,2.5,,,,,,,,,,,,
,,2021 - 2022,450.0,,2.44,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,450.0,,2.44,,,
,Tamenglong,2018 - 2019,10.0,20.0,2.0,,,,,,,,,,,,
,,2021 - 2022,10.0,20.0,2.0,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,10.0,20.0,2.0,,,
,Thoubal,2008 - 2009,370.0,910.0,2.46,,,,,,,,,,,,
,,2009 - 2010,,,2.31,,,,,,,,,,,,
,,2010 - 2011,380.0,910.0,2.39,,,,,,,,,,,,
,,2011 - 2012,390.0,920.0,2.36,,,,,,,,,,,,
,,2012 - 2013,440.0,,2.5,,,,,,,,,,,,
,,2013 - 2014,380.0,980.0,2.58,,,,,,,,,,,,
,,2014 - 2015,380.0,990.0,2.61,,,,,,,,,,,,
,,2015 - 2016,400.0,,2.5,,,,,,,,,,,,
,,2016 - 2017,400.0,,2.5,,,,,,,,,,,,
,,2017 - 2018,400.0,,2.5,,,,,,,,,,,,
,,2018 - 2019,400.0,,2.5,,,,,,,,,,,,
,,2021 - 2022,400.0,950.0,2.38,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,400.0,,2.5,,,
,Ukhrul,2018 - 2019,10.0,20.0,2.0,,,,,,,,,,,,
,,2021 - 2022,10.0,20.0,2.0,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,10.0,20.0,2.0,,,
Meghalaya,East garo hills,2000 - 2001,66.0,76.0,1.15,,,,,,,,,,,,
,,2001 - 2002,65.0,75.0,1.15,,,,,,,,,,,,
,,2002 - 2003,61.0,70.0,1.15,,,,,,,,,,,,
,,2003 - 2004,60.0,69.0,1.15,,,,,,,,,,,,
,,2004 - 2005,63.0,69.0,1.1,,,,,,,,,,,,
,,2005 - 2006,63.0,66.0,1.05,,,,,,,,,,,,
,,2006 - 2007,54.0,59.0,1.09,,,,,,,,,,,,
,,2007 - 2008,48.0,53.0,1.1,,,,,,,,,,,,
,,2008 - 2009,50.0,55.0,1.1,,,,,,,,,,,,
,,2009 - 2010,52.0,58.0,1.12,,,,,,,,,,,,
,,2010 - 2011,44.0,49.0,1.11,,,,,,,,,,,,
,,2011 - 2012,45.0,51.0,1.13,,,,,,,,,,,,
,,2012 - 2013,47.0,54.0,1.15,,,,,,,,,,,,
,,2013 - 2014,13.0,14.0,1.08,,,,,,,,,,,,
,,2014 - 2015,15.0,17.0,1.13,,,,,,,,,,,,
,,2015 - 2016,15.0,18.0,1.2,,,,,,,,,,,,
,,2016 - 2017,15.0,18.0,1.2,,,,,,,,,,,,
,,2017 - 2018,15.0,18.0,1.2,,,,,,,,,,,,
,,2018 - 2019,15.0,18.0,1.2,,,,,,,,,,,,
,,2019 - 2020,15.0,18.0,1.2,,,,,,,,,,,,
,,2020 - 2021,15.0,18.0,1.2,,,,,,,,,,,,
,North garo hills,2013 - 2014,37.0,47.0,1.27,,,,,,,,,,,,
,,2014 - 2015,40.0,51.0,1.28,,,,,,,,,,,,
,,2015 - 2016,41.0,54.0,1.32,,,,,,,,,,,,
,,2016 - 2017,41.0,54.0,1.32,,,,,,,,,,,,
,,2017 - 2018,43.0,57.0,1.33,,,,,,,,,,,,
,,2018 - 2019,43.0,57.0,1.33,,,,,,,,,,,,
,,2019 - 2020,43.0,57.0,1.33,,,,,,,,,,,,
,,2020 - 2021,43.0,57.0,1.33,,,,,,,,,,,,
,,2022 - 2023,20.0,19.0,0.95,,,,,,,,,,,,
,Ri bhoi,2007 - 2008,5.0,5.0,1.0,,,,,,,,,,,,
,,2008 - 2009,4.0,4.0,1.0,,,,,,,,,,,,
,,2009 - 2010,3.0,3.0,1.0,,,,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,,,,
,South west garo hills,2013 - 2014,189.0,370.0,1.96,,,,,,,,,,,,
,,2014 - 2015,197.0,396.0,2.01,,,,,,,,,,,,
,,2015 - 2016,199.0,408.0,2.05,,,,,,,,,,,,
,,2016 - 2017,203.0,410.0,2.02,,,,,,,,,,,,
,,2017 - 2018,204.0,413.0,2.02,,,,,,,,,,,,
,,2018 - 2019,206.0,418.0,2.03,,,,,,,,,,,,
,,2019 - 2020,207.0,421.0,2.03,,,,,,,,,,,,
,,2020 - 2021,207.0,421.0,2.03,,,,,,,,,,,,
,,2022 - 2023,109.0,204.0,1.87,,,,,,,,,,,,
,West garo hills,2000 - 2001,,,1.64,,,,,,,,,,,,
,,2001 - 2002,,,1.76,,,,,,,,,,,,
,,2002 - 2003,,,1.76,,,,,,,,,,,,
,,2003 - 2004,802.0,,1.83,,,,,,,,,,,,
,,2004 - 2005,798.0,,1.87,,,,,,,,,,,,
,,2005 - 2006,605.0,,1.87,,,,,,,,,,,,
,,2006 - 2007,600.0,,1.87,,,,,,,,,,,,
,,2007 - 2008,567.0,,1.87,,,,,,,,,,,,
,,2008 - 2009,360.0,678.0,1.88,,,,,,,,,,,,
,,2009 - 2010,348.0,655.0,1.88,,,,,,,,,,,,
,,2010 - 2011,347.0,653.0,1.88,,,,,,,,,,,,
,,2011 - 2012,348.0,657.0,1.89,,,,,,,,,,,,
,,2012 - 2013,356.0,685.0,1.92,,,,,,,,,,,,
,,2013 - 2014,179.0,353.0,1.97,,,,,,,,,,,,
,,2014 - 2015,185.0,373.0,2.02,,,,,,,,,,,,
,,2015 - 2016,188.0,387.0,2.06,,,,,,,,,,,,
,,2016 - 2017,192.0,388.0,2.02,,,,,,,,,,,,
,,2017 - 2018,193.0,391.0,2.03,,,,,,,,,,,,
,,2018 - 2019,193.0,391.0,2.03,,,,,,,,,,,,
,,2019 - 2020,194.0,394.0,2.03,,,,,,,,,,,,
,,2020 - 2021,194.0,394.0,2.03,,,,,,,,,,,,
,,2022 - 2023,133.0,246.0,1.85,,,,,,,,,,,,
,West khasi hills,2004 - 2005,2.0,1.0,0.5,,,,,,,,,,,,
,,2005 - 2006,2.0,2.0,1.0,,,,,,,,,,,,
,,2006 - 2007,2.0,2.0,1.0,,,,,,,,,,,,
,,2007 - 2008,2.0,2.0,1.0,,,,,,,,,,,,
,,2008 - 2009,2.0,2.0,1.0,,,,,,,,,,,,
,,2009 - 2010,2.0,2.0,1.0,,,,,,,,,,,,
,,2010 - 2011,1.0,1.0,1.0,,,,,,,,,,,,
,,2011 - 2012,2.0,2.0,1.0,,,,,,,,,,,,
,,2012 - 2013,3.0,3.0,1.0,,,,,,,,,,,,
,,2013 - 2014,4.0,5.0,1.25,,,,,,,,,,,,
,,2014 - 2015,5.0,7.0,1.4,,,,,,,,,,,,
,,2015 - 2016,5.0,8.0,1.6,,,,,,,,,,,,
,,2016 - 2017,5.0,8.0,1.6,,,,,,,,,,,,
,,2017 - 2018,5.0,8.0,1.6,,,,,,,,,,,,
,,2018 - 2019,5.0,8.0,1.6,,,,,,,,,,,,
,,2019 - 2020,5.0,8.0,1.6,,,,,,,,,,,,
,,2020 - 2021,5.0,8.0,1.6,,,,,,,,,,,,
Mizoram,Mamit,2004 - 2005,3.0,4.0,1.33,,,,,,,,,,,,
Nagaland,Chumoukedima,2022 - 2023,127.0,249.0,1.96,,,,,,,,,,,,
,Dimapur,2000 - 2001,,,2.27,,,,,,,,,,,,
,,2001 - 2002,,,2.57,,,,,,,,,,,,
,,2002 - 2003,,,2.12,,,,,,,,,,,,
,,2003 - 2004,,,1.82,,,,,,,,,,,,
,,2004 - 2005,,,1.74,,,,,,,,,,,,
,,2005 - 2006,310.0,400.0,1.29,,,,,,,,,,,,
,,2006 - 2007,400.0,280.0,0.7,,,,,,,,,,,,
,,2007 - 2008,150.0,270.0,1.8,,,,,,,,,,,,
,,2008 - 2009,190.0,280.0,1.47,,,,,,,,,,,,
,,2009 - 2010,260.0,350.0,1.35,,,,,,,,,,,,
,,2010 - 2011,370.0,630.0,1.7,,,,,,,,,,,,
,,2011 - 2012,380.0,650.0,1.71,,,,,,,,,,,,
,,2012 - 2013,410.0,740.0,1.8,,,,,,,,,,,,
,,2013 - 2014,390.0,720.0,1.85,,,,,,,,,,,,
,,2014 - 2015,410.0,760.0,1.85,,,,,,,,,,,,
,,2015 - 2016,450.0,830.0,1.84,,,,,,,,,,,,
,,2016 - 2017,470.0,870.0,1.85,,,,,,,,,,,,
,,2017 - 2018,470.0,870.0,1.85,,,,,,,,,,,,
,,2018 - 2019,470.0,870.0,1.85,,,,,,,,,,,,
,,2019 - 2020,471.0,873.0,1.85,,,,,,,,,,,,
,,2020 - 2021,471.0,866.0,1.84,,,,,,,,,,,,
,,2021 - 2022,420.0,777.0,1.85,,,,,,,,,,,,
,,2022 - 2023,126.0,249.0,1.98,,,,,,,,,,,,
,Kiphire,2021 - 2022,34.0,58.0,1.71,,,,,,,,,,,,
,,2022 - 2023,34.0,63.0,1.85,,,,,,,,,,,,
,Kohima,2000 - 2001,220.0,700.0,3.18,,,,,,,,,,,,
,,2001 - 2002,300.0,830.0,2.77,,,,,,,,,,,,
,,2002 - 2003,550.0,,2.55,,,,,,,,,,,,
,,2003 - 2004,550.0,370.0,0.67,,,,,,,,,,,,
,,2004 - 2005,,,1.64,,,,,,,,,,,,
,,2005 - 2006,120.0,210.0,1.75,,,,,,,,,,,,
,,2006 - 2007,160.0,140.0,0.88,,,,,,,,,,,,
,,2007 - 2008,160.0,250.0,1.56,,,,,,,,,,,,
,,2008 - 2009,160.0,250.0,1.56,,,,,,,,,,,,
,,2009 - 2010,230.0,260.0,1.13,,,,,,,,,,,,
,,2010 - 2011,350.0,610.0,1.74,,,,,,,,,,,,
,,2011 - 2012,350.0,610.0,1.74,,,,,,,,,,,,
,,2012 - 2013,370.0,670.0,1.81,,,,,,,,,,,,
,,2013 - 2014,340.0,620.0,1.82,,,,,,,,,,,,
,,2014 - 2015,340.0,620.0,1.82,,,,,,,,,,,,
,,2015 - 2016,360.0,660.0,1.83,,,,,,,,,,,,
,,2016 - 2017,370.0,680.0,1.84,,,,,,,,,,,,
,,2017 - 2018,370.0,680.0,1.84,,,,,,,,,,,,
,,2018 - 2019,370.0,680.0,1.84,,,,,,,,,,,,
,,2019 - 2020,371.0,682.0,1.84,,,,,,,,,,,,
,,2020 - 2021,371.0,682.0,1.84,,,,,,,,,,,,
,,2021 - 2022,48.0,70.0,1.46,,,,,,,,,,,,
,,2022 - 2023,26.0,45.0,1.73,,,,,,,,,,,,
,Longleng,2021 - 2022,170.0,230.0,1.35,,,,,,,,,,,,
,,2022 - 2023,171.0,272.0,1.59,,,,,,,,,,,,
,Mokokchung,2000 - 2001,560.0,,1.79,,,,,,,,,,,,
,,2001 - 2002,660.0,,1.76,,,,,,,,,,,,
,,2002 - 2003,800.0,,2.33,,,,,,,,,,,,
,,2003 - 2004,840.0,,1.31,,,,,,,,,,,,
,,2004 - 2005,,,1.56,,,,,,,,,,,,
,,2005 - 2006,140.0,270.0,1.93,,,,,,,,,,,,
,,2006 - 2007,160.0,130.0,0.81,,,,,,,,,,,,
,,2007 - 2008,160.0,250.0,1.56,,,,,,,,,,,,
,,2008 - 2009,180.0,260.0,1.44,,,,,,,,,,,,
,,2009 - 2010,250.0,280.0,1.12,,,,,,,,,,,,
,,2010 - 2011,370.0,640.0,1.73,,,,,,,,,,,,
,,2011 - 2012,370.0,640.0,1.73,,,,,,,,,,,,
,,2012 - 2013,390.0,710.0,1.82,,,,,,,,,,,,
,,2013 - 2014,360.0,650.0,1.81,,,,,,,,,,,,
,,2014 - 2015,360.0,650.0,1.81,,,,,,,,,,,,
,,2015 - 2016,370.0,670.0,1.81,,,,,,,,,,,,
,,2016 - 2017,380.0,700.0,1.84,,,,,,,,,,,,
,,2017 - 2018,380.0,700.0,1.84,,,,,,,,,,,,
,,2018 - 2019,380.0,690.0,1.82,,,,,,,,,,,,
,,2019 - 2020,381.0,692.0,1.82,,,,,,,,,,,,
,,2020 - 2021,381.0,696.0,1.83,,,,,,,,,,,,
,,2021 - 2022,95.0,181.0,1.91,,,,,,,,,,,,
,,2022 - 2023,95.0,178.0,1.87,,,,,,,,,,,,
,Mon,2000 - 2001,680.0,,1.76,,,,,,,,,,,,
,,2001 - 2002,750.0,,1.76,,,,,,,,,,,,
,,2002 - 2003,950.0,,2.0,,,,,,,,,,,,
,,2003 - 2004,,,1.82,,,,,,,,,,,,
,,2004 - 2005,250.0,270.0,1.08,,,,,,,,,,,,
,,2005 - 2006,120.0,190.0,1.58,,,,,,,,,,,,
,,2006 - 2007,160.0,140.0,0.88,,,,,,,,,,,,
,,2007 - 2008,130.0,200.0,1.54,,,,,,,,,,,,
,,2008 - 2009,200.0,300.0,1.5,,,,,,,,,,,,
,,2009 - 2010,270.0,320.0,1.19,,,,,,,,,,,,
,,2010 - 2011,410.0,670.0,1.63,,,,,,,,,,,,
,,2011 - 2012,420.0,690.0,1.64,,,,,,,,,,,,
,,2012 - 2013,430.0,780.0,1.81,,,,,,,,,,,,
,,2013 - 2014,410.0,750.0,1.83,,,,,,,,,,,,
,,2014 - 2015,410.0,750.0,1.83,,,,,,,,,,,,
,,2015 - 2016,420.0,770.0,1.83,,,,,,,,,,,,
,,2016 - 2017,440.0,810.0,1.84,,,,,,,,,,,,
,,2017 - 2018,440.0,810.0,1.84,,,,,,,,,,,,
,,2018 - 2019,440.0,810.0,1.84,,,,,,,,,,,,
,,2019 - 2020,442.0,813.0,1.84,,,,,,,,,,,,
,,2020 - 2021,442.0,813.0,1.84,,,,,,,,,,,,
,,2021 - 2022,111.0,172.0,1.55,,,,,,,,,,,,
,,2022 - 2023,111.0,189.0,1.7,,,,,,,,,,,,
,Noklak,2021 - 2022,35.0,53.0,1.51,,,,,,,,,,,,
,,2022 - 2023,35.0,64.0,1.83,,,,,,,,,,,,
,Nuiland,2022 - 2023,169.0,332.0,1.96,,,,,,,,,,,,
,Peren,2008 - 2009,120.0,180.0,1.5,,,,,,,,,,,,
,,2009 - 2010,200.0,240.0,1.2,,,,,,,,,,,,
,,2010 - 2011,320.0,570.0,1.78,,,,,,,,,,,,
,,2011 - 2012,320.0,570.0,1.78,,,,,,,,,,,,
,,2012 - 2013,330.0,590.0,1.79,,,,,,,,,,,,
,,2013 - 2014,290.0,530.0,1.83,,,,,,,,,,,,
,,2014 - 2015,310.0,560.0,1.81,,,,,,,,,,,,
,,2015 - 2016,340.0,620.0,1.82,,,,,,,,,,,,
,,2016 - 2017,370.0,660.0,1.78,,,,,,,,,,,,
,,2017 - 2018,370.0,670.0,1.81,,,,,,,,,,,,
,,2018 - 2019,380.0,690.0,1.82,,,,,,,,,,,,
,,2019 - 2020,381.0,692.0,1.82,,,,,,,,,,,,
,,2020 - 2021,381.0,698.0,1.83,,,,,,,,,,,,
,,2021 - 2022,37.0,61.0,1.65,,,,,,,,,,,,
,,2022 - 2023,37.0,67.0,1.81,,,,,,,,,,,,
,Phek,2000 - 2001,730.0,,1.64,,,,,,,,,,,,
,,2001 - 2002,820.0,,1.6,,,,,,,,,,,,
,,2002 - 2003,,,1.82,,,,,,,,,,,,
,,2003 - 2004,960.0,,2.82,,,,,,,,,,,,
,,2004 - 2005,,,1.58,,,,,,,,,,,,
,,2005 - 2006,110.0,200.0,1.82,,,,,,,,,,,,
,,2006 - 2007,150.0,130.0,0.87,,,,,,,,,,,,
,,2007 - 2008,130.0,190.0,1.46,,,,,,,,,,,,
,,2008 - 2009,120.0,190.0,1.58,,,,,,,,,,,,
,,2009 - 2010,200.0,240.0,1.2,,,,,,,,,,,,
,,2010 - 2011,330.0,590.0,1.79,,,,,,,,,,,,
,,2011 - 2012,340.0,600.0,1.76,,,,,,,,,,,,
,,2012 - 2013,350.0,630.0,1.8,,,,,,,,,,,,
,,2013 - 2014,310.0,570.0,1.84,,,,,,,,,,,,
,,2014 - 2015,310.0,570.0,1.84,,,,,,,,,,,,
,,2015 - 2016,330.0,610.0,1.85,,,,,,,,,,,,
,,2016 - 2017,340.0,630.0,1.85,,,,,,,,,,,,
,,2017 - 2018,350.0,640.0,1.83,,,,,,,,,,,,
,,2018 - 2019,350.0,640.0,1.83,,,,,,,,,,,,
,,2019 - 2020,351.0,641.0,1.83,,,,,,,,,,,,
,,2020 - 2021,351.0,644.0,1.83,,,,,,,,,,,,
,,2021 - 2022,76.0,114.0,1.5,,,,,,,,,,,,
,,2022 - 2023,76.0,132.0,1.74,,,,,,,,,,,,
,Shamator,2022 - 2023,82.0,142.0,1.73,,,,,,,,,,,,
,Tseminyu,2022 - 2023,22.0,37.0,1.68,,,,,,,,,,,,
,Tuensang,2000 - 2001,420.0,800.0,1.9,,,,,,,,,,,,
,,2001 - 2002,530.0,990.0,1.87,,,,,,,,,,,,
,,2002 - 2003,780.0,,2.12,,,,,,,,,,,,
,,2003 - 2004,,,2.12,,,,,,,,,,,,
,,2004 - 2005,260.0,300.0,1.15,,,,,,,,,,,,
,,2005 - 2006,120.0,200.0,1.67,,,,,,,,,,,,
,,2006 - 2007,150.0,130.0,0.87,,,,,,,,,,,,
,,2007 - 2008,140.0,200.0,1.43,,,,,,,,,,,,
,,2008 - 2009,150.0,220.0,1.47,,,,,,,,,,,,
,,2009 - 2010,210.0,270.0,1.29,,,,,,,,,,,,
,,2010 - 2011,330.0,560.0,1.7,,,,,,,,,,,,
,,2011 - 2012,330.0,560.0,1.7,,,,,,,,,,,,
,,2012 - 2013,340.0,610.0,1.79,,,,,,,,,,,,
,,2013 - 2014,310.0,560.0,1.81,,,,,,,,,,,,
,,2014 - 2015,320.0,580.0,1.81,,,,,,,,,,,,
,,2015 - 2016,330.0,610.0,1.85,,,,,,,,,,,,
,,2016 - 2017,340.0,620.0,1.82,,,,,,,,,,,,
,,2017 - 2018,340.0,620.0,1.82,,,,,,,,,,,,
,,2018 - 2019,340.0,620.0,1.82,,,,,,,,,,,,
,,2019 - 2020,341.0,623.0,1.83,,,,,,,,,,,,
,,2020 - 2021,341.0,624.0,1.83,,,,,,,,,,,,
,,2021 - 2022,135.0,216.0,1.6,,,,,,,,,,,,
,,2022 - 2023,54.0,94.0,1.74,,,,,,,,,,,,
,Wokha,2000 - 2001,770.0,,2.08,,,,,,,,,,,,
,,2001 - 2002,850.0,,2.06,,,,,,,,,,,,
,,2002 - 2003,650.0,,1.65,,,,,,,,,,,,
,,2003 - 2004,,,2.72,,,,,,,,,,,,
,,2004 - 2005,,,1.62,,,,,,,,,,,,
,,2005 - 2006,160.0,240.0,1.5,,,,,,,,,,,,
,,2006 - 2007,170.0,160.0,0.94,,,,,,,,,,,,
,,2007 - 2008,150.0,220.0,1.47,,,,,,,,,,,,
,,2008 - 2009,130.0,200.0,1.54,,,,,,,,,,,,
,,2009 - 2010,200.0,230.0,1.15,,,,,,,,,,,,
,,2010 - 2011,330.0,580.0,1.76,,,,,,,,,,,,
,,2011 - 2012,330.0,580.0,1.76,,,,,,,,,,,,
,,2012 - 2013,340.0,610.0,1.79,,,,,,,,,,,,
,,2013 - 2014,310.0,560.0,1.81,,,,,,,,,,,,
,,2014 - 2015,320.0,580.0,1.81,,,,,,,,,,,,
,,2015 - 2016,340.0,620.0,1.82,,,,,,,,,,,,
,,2016 - 2017,360.0,670.0,1.86,,,,,,,,,,,,
,,2017 - 2018,370.0,680.0,1.84,,,,,,,,,,,,
,,2018 - 2019,370.0,680.0,1.84,,,,,,,,,,,,
,,2019 - 2020,371.0,682.0,1.84,,,,,,,,,,,,
,,2020 - 2021,371.0,682.0,1.84,,,,,,,,,,,,
,,2021 - 2022,65.0,119.0,1.83,,,,,,,,,,,,
,,2022 - 2023,66.0,130.0,1.97,,,,,,,,,,,,
,Zunheboto,2000 - 2001,520.0,,1.92,,,,,,,,,,,,
,,2001 - 2002,610.0,,1.93,,,,,,,,,,,,
,,2002 - 2003,870.0,,2.03,,,,,,,,,,,,
,,2003 - 2004,860.0,,1.65,,,,,,,,,,,,
,,2004 - 2005,,,1.56,,,,,,,,,,,,
,,2005 - 2006,120.0,210.0,1.75,,,,,,,,,,,,
,,2006 - 2007,150.0,140.0,0.93,,,,,,,,,,,,
,,2007 - 2008,130.0,220.0,1.69,,,,,,,,,,,,
,,2008 - 2009,130.0,190.0,1.46,,,,,,,,,,,,
,,2009 - 2010,190.0,220.0,1.16,,,,,,,,,,,,
,,2010 - 2011,310.0,490.0,1.58,,,,,,,,,,,,
,,2011 - 2012,310.0,490.0,1.58,,,,,,,,,,,,
,,2012 - 2013,310.0,550.0,1.77,,,,,,,,,,,,
,,2013 - 2014,280.0,510.0,1.82,,,,,,,,,,,,
,,2014 - 2015,290.0,530.0,1.83,,,,,,,,,,,,
,,2015 - 2016,310.0,560.0,1.81,,,,,,,,,,,,
,,2016 - 2017,310.0,580.0,1.87,,,,,,,,,,,,
,,2017 - 2018,320.0,590.0,1.84,,,,,,,,,,,,
,,2018 - 2019,320.0,580.0,1.81,,,,,,,,,,,,
,,2019 - 2020,321.0,582.0,1.81,,,,,,,,,,,,
,,2020 - 2021,321.0,585.0,1.82,,,,,,,,,,,,
,,2021 - 2022,166.0,299.0,1.8,,,,,,,,,,,,
,,2022 - 2023,167.0,327.0,1.96,,,,,,,,,,,,
Odisha,Anugul,2000 - 2001,102.0,140.4,1.38,,,,,,,,,,,,
,,2001 - 2002,110.0,170.3,1.55,,,,,,,,,,,,
,,2002 - 2003,112.0,146.9,1.31,,,,,,,,,,,,
,,2003 - 2004,113.0,166.1,1.47,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,35.0,45.9,1.31
,,2005 - 2006,,,,,,,,,,,,,96.0,107.4,1.12
,,2006 - 2007,,,,,,,,,,,,,115.0,177.2,1.54
,,2007 - 2008,,,,,,,,,,,,,102.0,164.3,1.61
,,2008 - 2009,,,,,,,,,,,,,68.0,107.2,1.58
,,2009 - 2010,,,,,,,,,,,,,44.0,53.6,1.22
,,2010 - 2011,,,,,,,,,,,,,27.0,52.9,1.96
,,2011 - 2012,,,,,,,,,,,,,8.0,13.3,1.66
,,2012 - 2013,,,,,,,,,,,,,1.0,1.8,1.8
,,2014 - 2015,,,,,,,,,,,,,3.0,4.4,1.47
,Balangir,2000 - 2001,209.0,266.0,1.27,,,,,,,,,,,,
,,2001 - 2002,257.0,355.2,1.38,,,,,,,,,,,,
,,2002 - 2003,265.0,344.8,1.3,,,,,,,,,,,,
,,2003 - 2004,272.0,351.7,1.29,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,135.0,169.0,1.25
,,2005 - 2006,,,,,,,,,,,,,224.0,263.0,1.17
,,2006 - 2007,,,,,,,,,,,,,292.0,375.6,1.29
,,2007 - 2008,,,,,,,,,,,,,262.0,376.2,1.44
,,2008 - 2009,,,,,,,,,,,,,230.0,340.4,1.48
,,2009 - 2010,,,,,,,,,,,,,200.0,295.3,1.48
,,2010 - 2011,,,,,,,,,,,,,84.0,109.3,1.3
,,2011 - 2012,,,,,,,,,,,,,77.0,109.2,1.42
,,2012 - 2013,,,,,,,,,,,,,50.0,92.4,1.85
,,2013 - 2014,,,,,,,,,,,,,6.0,14.5,2.42
,,2017 - 2018,,,,,,,,,,,,,3.0,15.0,5.0
,Baleshwar,2000 - 2001,39.0,50.8,1.3,,,,,,,,,,,,
,,2001 - 2002,79.0,69.9,0.88,,,,,,,,,,,,
,,2002 - 2003,145.0,121.5,0.84,,,,,,,,,,,,
,,2003 - 2004,128.0,143.6,1.12,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,103.0,91.4,0.89
,,2005 - 2006,,,,,,,,,,,,,91.0,94.1,1.03
,,2006 - 2007,,,,,,,,,,,,,267.0,298.5,1.12
,,2007 - 2008,,,,,,,,,,,,,280.0,316.1,1.13
,,2008 - 2009,,,,,,,,,,,,,263.0,196.9,0.75
,,2009 - 2010,,,,,,,,,,,,,94.0,84.4,0.9
,,2010 - 2011,,,,,,,,,,,,,104.0,112.8,1.08
,,2011 - 2012,,,,,,,,,,,,,51.0,57.2,1.12
,,2012 - 2013,,,,,,,,,,,,,57.0,74.3,1.3
,,2013 - 2014,,,,,,,,,,,,,60.0,78.5,1.31
,,2014 - 2015,,,,,,,,,,,,,5.0,6.4,1.28
,,2015 - 2016,,,,,,,,,,,,,3.0,2.0,0.67
,,2021 - 2022,,,,,,,,,,,,,2.0,5.0,2.5
,Bargarh,2000 - 2001,291.0,408.8,1.4,,,,,,,,,,,,
,,2001 - 2002,291.0,384.1,1.32,,,,,,,,,,,,
,,2002 - 2003,255.0,324.1,1.27,,,,,,,,,,,,
,,2003 - 2004,492.0,723.2,1.47,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,198.0,278.3,1.41
,,2005 - 2006,,,,,,,,,,,,,262.0,351.1,1.34
,,2006 - 2007,,,,,,,,,,,,,227.0,316.2,1.39
,,2007 - 2008,,,,,,,,,,,,,446.0,638.8,1.43
,,2008 - 2009,,,,,,,,,,,,,258.0,360.2,1.4
,,2009 - 2010,,,,,,,,,,,,,214.0,314.6,1.47
,,2010 - 2011,,,,,,,,,,,,,114.0,192.8,1.69
,,2011 - 2012,,,,,,,,,,,,,76.0,122.4,1.61
,,2012 - 2013,,,,,,,,,,,,,15.0,23.6,1.57
,,2013 - 2014,,,,,,,,,,,,,4.0,5.2,1.3
,,2014 - 2015,,,,,,,,,,,,,4.0,4.8,1.2
,,2015 - 2016,,,,,,,,,,,,,9.0,19.1,2.12
,,2016 - 2017,,,,,,,,,,,,,5.0,3.3,0.66
,,2017 - 2018,,,,,,,,,,,,,9.0,21.7,2.41
,,2018 - 2019,,,,,,,,,,,,,11.0,11.6,1.05
,,2019 - 2020,,,,,,,,,,,,,47.0,65.9,1.4
,,2020 - 2021,,,,,,,,,,,,,52.0,97.7,1.88
,,2021 - 2022,,,,,,,,,,,,,29.0,37.8,1.3
,,2022 - 2023,,,,,,,,,,,,,82.0,130.9,1.6
,Bhadrak,2000 - 2001,135.0,138.4,1.03,,,,,,,,,,,,
,,2001 - 2002,26.0,21.3,0.82,,,,,,,,,,,,
,,2002 - 2003,37.0,29.0,0.78,,,,,,,,,,,,
,,2003 - 2004,124.0,131.4,1.06,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,,,,96.0,109.1,1.14
,,2005 - 2006,,,,,,,,,,,,,40.0,41.9,1.05
,,2006 - 2007,,,,,,,,,,,,,144.0,142.8,0.99
,,2007 - 2008,,,,,,,,,,,,,144.0,155.1,1.08
,,2008 - 2009,,,,,,,,,,,,,697.0,412.7,0.59
,,2009 - 2010,,,,,,,,,,,,,495.0,529.7,1.07
,,2010 - 2011,,,,,,,,,,,,,186.0,159.0,0.85
,,2011 - 2012,,,,,,,,,,,,,57.0,37.3,0.65
,,2012 - 2013,,,,,,,,,,,,,9.0,10.0,1.11
,,2013 - 2014,,,,,,,,,,,,,20.0,19.4,0.97
