state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2005 - 2006,5.0,3.0,0.6,170.0,496.0,2.92,,,,,,,,,
,,2006 - 2007,227.0,169.0,0.74,643.0,,2.16,,,,,,,,,
,,2008 - 2009,2.0,5.0,2.5,274.0,,4.72,,,,,,,,,
,,2009 - 2010,585.0,690.0,1.18,,,3.49,,,,,,,,,
,,2010 - 2011,,,,73.0,285.0,3.9,,,,,,,,,
,,2011 - 2012,,,,905.0,,4.65,,,,,,,,,
,,2013 - 2014,8.0,14.0,1.75,145.0,669.0,4.61,,,,,,,,,
,,2014 - 2015,,,,524.0,,4.52,,,,,,,,,
,,2015 - 2016,,,,217.0,934.0,4.3,,,,,,,,,
,,2016 - 2017,226.0,325.0,1.44,508.0,,3.44,,,,,,,,,
,,2017 - 2018,16.0,16.0,1.0,,,4.25,,,,,,,,,
,,2018 - 2019,,,,263.0,722.0,2.75,,,,,,,,,
,,2019 - 2020,28.0,33.0,1.18,395.0,,4.96,,,,,,,,,
,,2020 - 2021,6.0,8.0,1.33,,,3.94,,,,,,,,,
,,2021 - 2022,8.0,8.0,1.0,,,3.18,,,,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,7.24,,,,,,,,,
,Kurnool,2000 - 2001,,,1.56,,,1.22,,,,,,,,,
,,2001 - 2002,,,1.06,,,1.53,,,,,,,,,
,,2002 - 2003,,,0.98,,,1.34,,,,,,,,,
,,2003 - 2004,,,4.55,,,1.34,,,,,,,,,
,,2004 - 2005,,,3.94,,,1.61,,,,,,,,,
,,2005 - 2006,,,4.2,,,1.92,,,,,,,,,
,,2006 - 2007,,,2.01,,,1.5,,,,,,,,,
,,2007 - 2008,,,3.4,,,2.14,,,,,,,,,
,,2008 - 2009,,,2.98,,,2.42,,,,,,,,,
,,2009 - 2010,,,2.61,,,1.63,,,,,,,,,
,,2010 - 2011,,,3.25,,,1.82,,,,,,,,,
,,2011 - 2012,,,3.29,,,1.82,,,,,,,,,
,,2012 - 2013,,,3.53,,,1.72,,,,,,,,,
,,2013 - 2014,,,2.99,,,1.84,,,,,,,,,
,,2014 - 2015,,,2.46,,,1.88,,,,,,,,,
,,2015 - 2016,,,1.9,,,1.91,,,,,,,,,
,,2016 - 2017,,,2.37,,,1.58,,,,,,,,,
,,2017 - 2018,,,2.38,,,1.77,,,,,,,,,
,,2018 - 2019,742.0,336.0,0.45,,,0.94,,,,,,,,,
,,2019 - 2020,,,1.8,,,1.69,,,,,,,,,
,,2020 - 2021,255.0,318.0,1.25,,,1.94,,,,,,,,,
,,2021 - 2022,,,0.83,,,2.17,,,,,,,,,
,,2022 - 2023,187.0,158.0,0.84,,,1.27,,,,,,,,,
,Nandyal,2022 - 2023,,,1.07,,,2.84,,,,,,,,,
,Ntr,2022 - 2023,1.0,1.0,1.0,749.0,,4.21,,,,,,,,,
,Palnadu,2022 - 2023,11.0,13.0,1.18,92.0,220.0,2.39,,,,,,,,,
,Parvathipuram manyam,2022 - 2023,184.0,211.0,1.15,,,,,,,,,,,,
,Prakasam,2000 - 2001,,,0.37,,,0.81,,,,,,,,,
,,2001 - 2002,,898.0,0.57,,,0.74,,,,,,,,,
,,2002 - 2003,792.0,264.0,0.33,,,0.8,,,,,,,,,
,,2003 - 2004,,,2.96,,,1.88,,,,,,,,,
,,2004 - 2005,,,0.54,,,0.85,,,,,,,,,
,,2005 - 2006,722.0,401.0,0.56,,,0.98,,,,,,,,,
,,2006 - 2007,619.0,460.0,0.74,,,1.04,,,,,,,,,
,,2007 - 2008,,,1.5,,,1.0,,,,,,,,,
,,2008 - 2009,401.0,,2.56,,,2.34,,,,,,,,,
,,2009 - 2010,408.0,481.0,1.18,,,2.32,,,,,,,,,
,,2010 - 2011,124.0,179.0,1.44,,,1.63,,,,,,,,,
,,2011 - 2012,66.0,142.0,2.15,,,2.11,,,,,,,,,
,,2012 - 2013,,,,,,1.95,,,,,,,,,
,,2013 - 2014,477.0,833.0,1.75,,,2.12,,,,,,,,,
,,2014 - 2015,12.0,18.0,1.5,,,1.52,,,,,,,,,
,,2015 - 2016,66.0,73.0,1.11,,,2.19,,,,,,,,,
,,2016 - 2017,208.0,299.0,1.44,,,0.78,,,,,,,,,
,,2017 - 2018,610.0,621.0,1.02,,,0.6,,,,,,,,,
,,2018 - 2019,375.0,49.0,0.13,,,0.16,,,,,,,,,
,,2019 - 2020,311.0,464.0,1.49,,,0.79,,,,,,,,,
,,2020 - 2021,203.0,326.0,1.61,,,0.95,,,,,,,,,
,,2021 - 2022,249.0,270.0,1.08,,,1.57,,,,,,,,,
,,2022 - 2023,130.0,149.0,1.15,,,2.17,,,,,,,,,
,Spsr nellore,2000 - 2001,20.0,7.0,0.35,,,1.25,,,,,,,,,
,,2001 - 2002,,,,162.0,120.0,0.74,,,,,,,,,
,,2002 - 2003,10.0,3.0,0.3,283.0,227.0,0.8,,,,,,,,,
,,2003 - 2004,3.0,9.0,3.0,104.0,195.0,1.88,,,,,,,,,
,,2004 - 2005,18.0,10.0,0.56,160.0,300.0,1.88,,,,,,,,,
,,2005 - 2006,9.0,5.0,0.56,49.0,143.0,2.92,,,,,,,,,
,,2006 - 2007,5.0,4.0,0.8,125.0,270.0,2.16,,,,,,,,,
,,2008 - 2009,8.0,20.0,2.5,42.0,198.0,4.71,,,,,,,,,
,,2009 - 2010,,,,27.0,94.0,3.48,,,,,,,,,
,,2010 - 2011,,,,16.0,62.0,3.88,,,,,,,,,
,,2011 - 2012,14.0,30.0,2.14,484.0,,4.65,,,,,,,,,
,,2012 - 2013,,,,,,4.0,,,,,,,,,
,,2013 - 2014,8.0,14.0,1.75,,,4.61,,,,,,,,,
,,2014 - 2015,6.0,9.0,1.5,,,1.81,,,,,,,,,
,,2015 - 2016,1.0,1.0,1.0,,,2.49,,,,,,,,,
,,2016 - 2017,4.0,6.0,1.5,,,2.31,,,,,,,,,
,,2017 - 2018,10.0,10.0,1.0,648.0,,4.25,,,,,,,,,
,,2018 - 2019,2.0,,0.0,,,0.86,,,,,,,,,
,,2019 - 2020,26.0,39.0,1.5,951.0,,1.44,,,,,,,,,
,,2020 - 2021,1.0,1.0,1.0,,,1.25,,,,,,,,,
,,2021 - 2022,,,,27.0,43.0,1.59,,,,,,,,,
,,2022 - 2023,,,,607.0,,3.14,,,,,,,,,
,Sri sathya sai,2022 - 2023,714.0,251.0,0.35,67.0,158.0,2.36,,,,,,,,,
,Srikakulam,2000 - 2001,376.0,139.0,0.37,63.0,51.0,0.81,,,,,,,,,
,,2001 - 2002,184.0,105.0,0.57,109.0,80.0,0.73,,,,,,,,,
,,2002 - 2003,318.0,106.0,0.33,40.0,32.0,0.8,,,,,,,,,
,,2003 - 2004,376.0,,2.96,27.0,51.0,1.89,,,,,,,,,
,,2004 - 2005,313.0,167.0,0.53,15.0,28.0,1.87,,,,,,,,,
,,2005 - 2006,345.0,191.0,0.55,18.0,53.0,2.94,,,,,,,,,
,,2006 - 2007,295.0,219.0,0.74,36.0,78.0,2.17,,,,,,,,,
,,2008 - 2009,223.0,570.0,2.56,,,,,,,,,,,,
,,2009 - 2010,185.0,218.0,1.18,,,,,,,,,,,,
,,2010 - 2011,135.0,195.0,1.44,6.0,23.0,3.83,,,,,,,,,
,,2011 - 2012,145.0,312.0,2.15,6.0,28.0,4.67,,,,,,,,,
,,2013 - 2014,39.0,68.0,1.74,21.0,97.0,4.62,,,,,,,,,
,,2014 - 2015,44.0,65.0,1.48,,,,,,,,,,,,
,,2015 - 2016,47.0,52.0,1.11,,,,,,,,,,,,
,,2016 - 2017,17.0,24.0,1.41,6.0,21.0,3.5,,,,,,,,,
,,2017 - 2018,16.0,16.0,1.0,,,,,,,,,,,,
,,2018 - 2019,8.0,1.0,0.13,,,,,,,,,,,,
,,2019 - 2020,5.0,6.0,1.2,,,,,,,,,,,,
,,2020 - 2021,4.0,6.0,1.5,1.0,5.0,5.0,,,,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,,,,,,,
,,2022 - 2023,2.0,2.0,1.0,,,,,,,,,,,,
,Tirupati,2022 - 2023,,,,3.0,7.0,2.33,,,,,,,,,
,Visakhapatanam,2000 - 2001,,554.0,0.37,198.0,173.0,0.87,,,,,,,,,
,,2001 - 2002,,825.0,0.57,94.0,69.0,0.73,,,,,,,,,
,,2002 - 2003,,512.0,0.33,363.0,291.0,0.8,,,,,,,,,
,,2003 - 2004,,,2.96,199.0,374.0,1.88,,,,,,,,,
,,2004 - 2005,,585.0,0.53,69.0,130.0,1.88,,,,,,,,,
,,2005 - 2006,,710.0,0.56,23.0,67.0,2.91,,,,,,,,,
,,2006 - 2007,,759.0,0.74,9.0,19.0,2.11,,,,,,,,,
,,2007 - 2008,,,2.0,,,,,,,,,,,,
,,2008 - 2009,,,2.55,55.0,260.0,4.73,,,,,,,,,
,,2009 - 2010,833.0,982.0,1.18,83.0,290.0,3.49,,,,,,,,,
,,2010 - 2011,982.0,,1.45,3.0,12.0,4.0,,,,,,,,,
,,2011 - 2012,837.0,,2.15,4.0,19.0,4.75,,,,,,,,,
