state,district,year,jowar_kharif_area_hectare,jowar_kharif_production_tonne,jowar_kharif_yield_tonne_per_hectare,jowar_rabi_area_hectare,jowar_rabi_production_tonne,jowar_rabi_yield_tonne_per_hectare,jowar_whole_year_area_hectare,jowar_whole_year_production_tonne,jowar_whole_year_yield_tonne_per_hectare,jowar_summer_area_hectare,jowar_summer_production_tonne,jowar_summer_yield_tonne_per_hectare,jowar_autumn_area_hectare,jowar_autumn_production_tonne,jowar_autumn_yield_tonne_per_hectare
,,2009 - 2010,,,0.72,,,0.83,,,,,,,,,
,,2010 - 2011,,,1.3,,,0.72,,,,,,,,,
,,2011 - 2012,,,1.14,,,0.69,,,,,,,,,
,,2012 - 2013,,,1.05,,,0.26,,,,,,,,,
,,2013 - 2014,,,1.28,,,0.65,,,,,,,,,
,,2014 - 2015,,,0.53,,,0.54,,,,,,,,,
,,2015 - 2016,,,0.29,,,0.29,,,,,,,,,
,,2016 - 2017,,,0.3,,,0.53,,,,,,,,,
,,2017 - 2018,,,0.7,,,0.47,,,,,,,,,
,,2018 - 2019,,,0.25,,,0.28,,,,,,,,,
,,2019 - 2020,,,0.54,,,0.75,,,,,,,,,
,,2020 - 2021,,,0.49,,,1.31,,,,,,,,,
,,2021 - 2022,,785.3,0.32,,,1.2,,,,,,,,,
,,2022 - 2023,,,0.8,,,1.16,,,,100.0,32.38,0.32,,,
,Bhandara,2000 - 2001,,,,,400.0,0.27,,,,,,,,,
,,2001 - 2002,,,,900.0,400.0,0.44,,,,,,,,,
,,2002 - 2003,100.0,100.0,1.0,800.0,300.0,0.38,,,,,,,,,
,,2003 - 2004,100.0,100.0,1.0,400.0,200.0,0.5,,,,,,,,,
,,2004 - 2005,,,,200.0,100.0,0.5,,,,,,,,,
,,2005 - 2006,,,,200.0,200.0,1.0,,,,,,,,,
,,2006 - 2007,,,,100.0,100.0,1.0,,,,,,,,,
,Buldhana,2000 - 2001,,,1.51,,,0.64,,,,,,,,,
,,2001 - 2002,,,1.32,,,1.04,,,,,,,,,
,,2002 - 2003,,,1.58,,,0.83,,,,,,,,,
,,2003 - 2004,,,1.66,,,0.75,,,,,,,,,
,,2004 - 2005,,,1.13,,,0.42,,,,,,,,,
,,2005 - 2006,,,1.05,,,0.55,,,,,,,,,
,,2006 - 2007,,,1.42,,,0.88,,,,,,,,,
,,2007 - 2008,,,1.86,,,1.1,,,,,,,,,
,,2008 - 2009,,,1.79,,,1.07,,,,,,,,,
,,2009 - 2010,,,1.75,,,1.23,,,,,,,,,
,,2010 - 2011,,,1.24,,,1.0,,,,,,,,,
,,2011 - 2012,,,1.77,,,0.83,,,,,,,,,
,,2012 - 2013,,,1.7,,,0.81,,,,,,,,,
,,2013 - 2014,,,0.86,,,0.8,,,,,,,,,
,,2014 - 2015,,,1.07,,,0.82,,,,,,,,,
,,2015 - 2016,,,0.62,,,0.56,,,,,,,,,
,,2016 - 2017,,,1.43,,,1.16,,,,,,,,,
,,2017 - 2018,,,0.92,,,0.69,,,,,,,,,
,,2018 - 2019,,,1.07,,,0.48,,,,,,,,,
,,2019 - 2020,,,0.16,,,0.92,,,,,,,,,
,,2020 - 2021,,,1.08,,,1.24,,,,,,,,,
,,2021 - 2022,,,1.11,,,1.05,,,,293.8,244.27,0.83,,,
,,2022 - 2023,,,0.7,,,1.39,,,,,,0.83,,,
,Chandrapur,2000 - 2001,,,1.75,,,0.24,,,,,,,,,
,,2001 - 2002,,,1.1,,,0.5,,,,,,,,,
,,2002 - 2003,,,1.16,,,0.29,,,,,,,,,
,,2003 - 2004,,,1.0,,,,,,,,,,,,
,,2004 - 2005,,,0.97,,,0.32,,,,,,,,,
,,2005 - 2006,,,1.31,,,0.32,,,,,,,,,
,,2006 - 2007,,,1.31,,,0.43,,,,,,,,,
,,2007 - 2008,,,1.26,,,0.51,,,,,,,,,
,,2008 - 2009,,,1.0,,,0.37,,,,,,,,,
,,2009 - 2010,900.0,600.0,0.67,,,0.41,,,,,,,,,
,,2010 - 2011,,,0.62,,,0.49,,,,,,,,,
,,2011 - 2012,,,0.72,,,0.38,,,,,,,,,
,,2012 - 2013,,,0.96,,,0.54,,,,,,,,,
,,2013 - 2014,,,0.78,,,0.45,,,,,,,,,
,,2014 - 2015,,,3.96,,,0.44,,,,,,,,,
,,2015 - 2016,,,0.67,,,0.35,,,,,,,,,
,,2016 - 2017,,,0.37,,,0.63,,,,,,,,,
,,2017 - 2018,,,0.59,,300.0,0.23,,,,,,,,,
,,2018 - 2019,,,0.59,,900.0,0.68,,,,,,,,,
,,2019 - 2020,,,0.77,,721.0,0.48,,,,,,,,,
,,2020 - 2021,596.53,324.63,0.54,,847.34,0.55,,,,,,,,,
,,2021 - 2022,531.21,324.09,0.61,,,0.91,,,,86.6,72.0,0.83,,,
,,2022 - 2023,527.32,313.28,0.59,,,0.63,,,,54.5,46.33,0.85,,,
,Chhatrapati Sambhajinagar,2000 - 2001,,,0.9,,,0.58,,,,,,,,,
,,2001 - 2002,,,1.06,,,0.58,,,,,,,,,
,,2002 - 2003,,,1.41,,,0.56,,,,,,,,,
,,2003 - 2004,,,1.33,,,0.36,,,,,,,,,
,,2004 - 2005,,,1.22,,,0.64,,,,,,,,,
,,2005 - 2006,,,1.41,,,0.8,,,,,,,,,
,,2006 - 2007,,,1.76,,,0.98,,,,,,,,,
,,2007 - 2008,,,1.63,,,1.06,,,,,,,,,
,,2008 - 2009,,,1.78,,,0.9,,,,,,,,,
,,2009 - 2010,,,1.57,,,1.09,,,,,,,,,
,,2010 - 2011,,,2.08,,,0.78,,,,,,,,,
,,2011 - 2012,,,1.97,,,0.76,,,,,,,,,
,,2012 - 2013,,,1.07,,,0.27,,,,,,,,,
,,2013 - 2014,,,1.81,,,0.76,,,,,,,,,
,,2014 - 2015,,,0.46,,,0.42,,,,,,,,,
,,2015 - 2016,,,0.41,,,0.32,,,,,,,,,
,,2016 - 2017,,,1.08,,,0.89,,,,,,,,,
,,2017 - 2018,,,1.45,,,0.68,,,,,,,,,
,,2018 - 2019,,855.0,0.47,,,0.31,,,,,,,,,
,,2019 - 2020,,408.0,0.31,,,0.98,,,,,,,,,
,,2020 - 2021,985.41,,1.47,,,0.72,,,,,,,,,
,,2021 - 2022,985.41,392.69,0.4,,,0.75,,,,206.0,171.27,0.83,,,
,,2022 - 2023,447.84,342.33,0.76,,,0.69,,,,59.0,47.2,0.8,,,
,Dharashiv,2000 - 2001,,,1.27,,,0.79,,,,,,,,,
,,2001 - 2002,,,0.62,,,0.68,,,,,,,,,
,,2002 - 2003,,,0.89,,,0.58,,,,,,,,,
,,2003 - 2004,,,0.51,,,0.14,,,,,,,,,
,,2004 - 2005,,,0.74,,,0.57,,,,,,,,,
,,2005 - 2006,,,0.89,,,0.81,,,,,,,,,
,,2006 - 2007,,,0.73,,,0.73,,,,,,,,,
,,2007 - 2008,,,0.74,,,0.87,,,,,,,,,
,,2008 - 2009,,,0.51,,,0.82,,,,,,,,,
,,2009 - 2010,,,0.53,,,0.82,,,,,,,,,
,,2010 - 2011,,,0.8,,,0.75,,,,,,,,,
,,2011 - 2012,,,1.05,,,0.72,,,,,,,,,
,,2012 - 2013,,,0.45,,,0.39,,,,,,,,,
,,2013 - 2014,,,1.01,,,0.84,,,,,,,,,
,,2014 - 2015,,,0.26,,,0.35,,,,,,,,,
,,2015 - 2016,,,0.2,,,0.3,,,,,,,,,
,,2016 - 2017,,,0.45,,,0.83,,,,,,,,,
,,2017 - 2018,,,0.7,,,0.72,,,,,,,,,
,,2018 - 2019,,,0.32,,,0.67,,,,,,,,,
,,2019 - 2020,,,0.58,,,0.92,,,,,,,,,
,,2020 - 2021,,,1.06,,,1.31,,,,,,,,,
,,2021 - 2022,,,0.31,,,1.15,,,,274.0,227.81,0.83,,,
,,2022 - 2023,,283.74,0.15,,,1.23,,,,317.7,264.14,0.83,,,
,Dhule,2000 - 2001,,,0.52,,,0.4,,,,,,,,,
,,2001 - 2002,,,1.4,,,0.64,,,,,,,,,
,,2002 - 2003,,,1.11,,,0.84,,,,,,,,,
,,2003 - 2004,,,1.71,,,1.46,,,,,,,,,
,,2004 - 2005,,,1.48,,,1.45,,,,,,,,,
,,2005 - 2006,,,1.13,,,0.75,,,,,,,,,
,,2006 - 2007,,,1.25,,,1.21,,,,,,,,,
,,2007 - 2008,,,1.98,,,1.67,,,,,,,,,
,,2008 - 2009,,,0.64,,,1.23,,,,,,,,,
,,2009 - 2010,,,1.21,,,1.28,,,,,,,,,
,,2010 - 2011,,,2.2,,,1.66,,,,,,,,,
,,2011 - 2012,,,1.57,,,1.23,,,,,,,,,
,,2012 - 2013,,,1.56,,,1.13,,,,,,,,,
,,2013 - 2014,,,1.78,,,1.39,,,,,,,,,
,,2014 - 2015,,,1.19,,,1.35,,,,,,,,,
,,2015 - 2016,,,0.93,,,0.91,,,,,,,,,
,,2016 - 2017,,,1.22,,,1.14,,,,,,,,,
,,2017 - 2018,,,1.49,,,1.03,,,,,,,,,
,,2018 - 2019,,,0.83,,,0.73,,,,,,,,,
,,2019 - 2020,,,0.72,,,1.92,,,,,,,,,
,,2020 - 2021,,,1.4,,,1.64,,,,,,,,,
,,2021 - 2022,,,0.74,,,1.54,,,,,,,,,
,,2022 - 2023,,,1.12,,,1.53,,,,,,,,,
,Gadchiroli,2000 - 2001,,,,,,0.33,,,,,,,,,
,,2001 - 2002,,,,,,0.44,,,,,,,,,
,,2002 - 2003,,,,,,0.33,,,,,,,,,
,,2003 - 2004,,,,,,0.48,,,,,,,,,
,,2004 - 2005,,,,,,0.29,,,,,,,,,
,,2005 - 2006,,,,,,0.43,,,,,,,,,
,,2006 - 2007,,,,,,0.56,,,,,,,,,
,,2007 - 2008,,,,,,0.68,,,,,,,,,
,,2008 - 2009,,,,,,0.5,,,,,,,,,
,,2009 - 2010,,,,,,0.75,,,,,,,,,
,,2010 - 2011,,,,,,0.74,,,,,,,,,
,,2011 - 2012,,,,,900.0,0.64,,,,,,,,,
,,2012 - 2013,,,,,,1.15,,,,,,,,,
,,2013 - 2014,,,,,,1.0,,,,,,,,,
,,2014 - 2015,,,,400.0,300.0,0.75,,,,,,,,,
,,2015 - 2016,,,,200.0,100.0,0.5,,,,,,,,,
,,2016 - 2017,,,,100.0,100.0,1.0,,,,,,,,,
,,2017 - 2018,23.0,12.0,0.52,,700.0,0.54,,,,,,,,,
,,2018 - 2019,,,,,530.0,0.41,,,,,,,,,
,,2019 - 2020,55.0,29.0,0.53,,845.0,0.67,,,,,,,,,
,,2020 - 2021,15.71,8.53,0.54,,938.15,0.71,,,,,,,,,
,,2021 - 2022,7.86,4.72,0.6,,,0.83,,,,,,,,,
,,2022 - 2023,7.86,3.51,0.45,,,1.38,,,,,,,,,
,Gondia,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,
,,2020 - 2021,,,,89.6,29.76,0.33,,,,,,,,,
,,2021 - 2022,,,,149.8,121.2,0.81,,,,,,,,,
,,2022 - 2023,,,,356.7,321.6,0.9,,,,,,,,,
,Hingoli,2000 - 2001,,,1.28,,,0.61,,,,,,,,,
,,2001 - 2002,,,1.25,,,0.54,,,,,,,,,
,,2002 - 2003,,,1.55,,,0.69,,,,,,,,,
,,2003 - 2004,,,1.52,,,0.71,,,,,,,,,
,,2004 - 2005,,,0.75,,,0.63,,,,,,,,,
,,2005 - 2006,,,1.35,,,0.62,,,,,,,,,
,,2006 - 2007,,,1.02,,,0.56,,,,,,,,,
,,2007 - 2008,,,1.59,,,0.7,,,,,,,,,
,,2008 - 2009,,,1.1,,,1.35,,,,,,,,,
,,2009 - 2010,,,1.11,,,0.94,,,,,,,,,
,,2010 - 2011,,,1.15,,,0.68,,,,,,,,,
,,2011 - 2012,,,1.25,,,0.75,,,,,,,,,
,,2012 - 2013,,,1.51,,,1.16,,,,,,,,,
,,2013 - 2014,,,0.99,,,1.11,,,,,,,,,
,,2014 - 2015,,,0.4,,,0.68,,,,,,,,,
,,2015 - 2016,,,0.39,,,0.39,,,,,,,,,
,,2016 - 2017,,,0.47,,,0.68,,,,,,,,,
,,2017 - 2018,,,0.59,,,0.93,,,,,,,,,
,,2018 - 2019,,,0.28,,,0.7,,,,,,,,,
,,2019 - 2020,,,0.71,,,1.2,,,,,,,,,
,,2020 - 2021,,,0.19,,,1.0,,,,,,,,,
,,2021 - 2022,,,0.36,,,0.93,,,,299.0,248.6,0.83,,,
,,2022 - 2023,,,0.51,,,0.77,,,,420.0,349.2,0.83,,,
,Jalgaon,2000 - 2001,,,1.18,,,1.0,,,,,,,,,
,,2001 - 2002,,,1.5,,,1.31,,,,,,,,,
,,2002 - 2003,,,2.11,,,1.58,,,,,,,,,
,,2003 - 2004,,,1.87,,,1.49,,,,,,,,,
,,2004 - 2005,,,1.83,,,1.59,,,,,,,,,
,,2005 - 2006,,,2.01,,,1.43,,,,,,,,,
,,2006 - 2007,,,1.9,,,1.47,,,,,,,,,
,,2007 - 2008,,,2.27,,,1.87,,,,,,,,,
,,2008 - 2009,,,1.93,,,1.4,,,,,,,,,
,,2009 - 2010,,,2.02,,,1.54,,,,,,,,,
,,2010 - 2011,,,2.31,,,1.64,,,,,,,,,
,,2011 - 2012,,,2.35,,,1.47,,,,,,,,,
,,2012 - 2013,,,1.94,,,1.1,,,,,,,,,
,,2013 - 2014,,,2.3,,,1.57,,,,,,,,,
,,2014 - 2015,,,2.24,,,1.39,,,,,,,,,
,,2015 - 2016,,,1.24,,,1.13,,,,,,,,,
,,2016 - 2017,,,2.3,,,1.58,,,,,,,,,
,,2017 - 2018,,,1.9,,,1.72,,,,,,,,,
,,2018 - 2019,,,1.47,,,1.46,,,,,,,,,
,,2019 - 2020,,,0.66,,,1.65,,,,,,,,,
,,2020 - 2021,,,1.75,,,1.58,,,,,,,,,
,,2021 - 2022,,,1.05,,,1.71,,,,229.0,190.4,0.83,,,
,,2022 - 2023,,,1.95,,,1.82,,,,175.0,145.5,0.83,,,
,Jalna,2000 - 2001,,,1.02,,,0.7,,,,,,,,,
,,2001 - 2002,,,1.23,,,0.89,,,,,,,,,
,,2002 - 2003,,,1.39,,,0.93,,,,,,,,,
,,2003 - 2004,,,1.31,,,0.51,,,,,,,,,
,,2004 - 2005,,,0.99,,,0.74,,,,,,,,,
,,2005 - 2006,,,1.23,,,0.8,,,,,,,,,
,,2006 - 2007,,,1.33,,,1.04,,,,,,,,,
,,2007 - 2008,,,1.19,,,1.06,,,,,,,,,
,,2008 - 2009,,,0.58,,,0.96,,,,,,,,,
,,2009 - 2010,,,1.02,,,1.03,,,,,,,,,
,,2010 - 2011,,,1.24,,,0.76,,,,,,,,,
,,2011 - 2012,,,1.22,,,0.73,,,,,,,,,
,,2012 - 2013,,,1.06,,,0.16,,,,,,,,,
,,2013 - 2014,,,1.19,,,0.8,,,,,,,,,
,,2014 - 2015,,300.0,0.27,,,0.28,,,,,,,,,
,,2015 - 2016,,200.0,0.2,,,0.31,,,,,,,,,
,,2016 - 2017,,,1.5,,,1.11,,,,,,,,,
,,2017 - 2018,200.0,46.0,0.23,,,0.74,,,,,,,,,
,,2018 - 2019,161.0,35.0,0.22,,,0.47,,,,,,,,,
,,2019 - 2020,163.0,177.0,1.09,,,0.92,,,,,,,,,
,,2020 - 2021,456.51,,2.38,,,1.09,,,,,,,,,
,,2021 - 2022,268.96,143.76,0.53,,,1.1,,,,,,,,,
,,2022 - 2023,331.65,315.8,0.95,,,1.21,,,,9.0,7.2,0.8,,,
,Kolhapur,2000 - 2001,,,1.58,,,1.31,,,,,,,,,
,,2001 - 2002,,,2.07,,,1.36,,,,,,,,,
,,2002 - 2003,,,1.82,,,1.59,,,,,,,,,
,,2003 - 2004,,,1.61,,,1.38,,,,,,,,,
,,2004 - 2005,,,2.15,,,1.53,,,,,,,,,
,,2005 - 2006,,,1.19,,,1.32,,,,,,,,,
,,2006 - 2007,,,1.08,,,1.41,,,,,,,,,
,,2007 - 2008,,,1.82,,,1.61,,,,,,,,,
,,2008 - 2009,,,2.09,,,1.55,,,,,,,,,
,,2009 - 2010,,,2.09,,,1.32,,,,,,,,,
,,2010 - 2011,,,1.89,,,1.6,,,,,,,,,
,,2011 - 2012,,,2.27,,,1.64,,,,,,,,,
,,2012 - 2013,,,2.45,,,1.35,,,,,,,,,
,,2013 - 2014,,,1.85,,,1.54,,,,,,,,,
,,2014 - 2015,,,1.82,,,1.58,,,,,,,,,
,,2015 - 2016,,,1.77,,,1.22,,,,,,,,,
,,2016 - 2017,,,1.63,,,2.16,,,,,,,,,
,,2017 - 2018,,,1.76,,,1.52,,,,,,,,,
,,2018 - 2019,,,1.43,,,1.36,,,,,,,,,
,,2019 - 2020,,,1.08,,,1.63,,,,,,,,,
,,2020 - 2021,,,1.56,,,1.73,,,,,,,,,
,,2021 - 2022,,,1.82,,,1.71,,,,,,,,,
,,2022 - 2023,,,1.72,,,1.98,,,,,,,,,
,Latur,2000 - 2001,,,1.25,,,0.75,,,,,,,,,
,,2001 - 2002,,,1.26,,,0.6,,,,,,,,,
,,2002 - 2003,,,1.59,,,0.7,,,,,,,,,
,,2003 - 2004,,,1.46,,,0.43,,,,,,,,,
,,2004 - 2005,,,0.99,,,0.61,,,,,,,,,
,,2005 - 2006,,,1.64,,,0.92,,,,,,,,,
,,2006 - 2007,,,1.31,,,0.74,,,,,,,,,
,,2007 - 2008,,,1.52,,,0.96,,,,,,,,,
,,2008 - 2009,,,1.04,,,0.76,,,,,,,,,
,,2009 - 2010,,,0.77,,,0.83,,,,,,,,,
,,2010 - 2011,,,1.43,,,0.74,,,,,,,,,
,,2011 - 2012,,,1.32,,,1.01,,,,,,,,,
,,2012 - 2013,,,1.66,,,0.94,,,,,,,,,
,,2013 - 2014,,,1.53,,,0.99,,,,,,,,,
,,2014 - 2015,,,1.07,,,0.36,,,,,,,,,
,,2015 - 2016,,,0.47,,,0.37,,,,,,,,,
,,2016 - 2017,,,0.88,,,1.09,,,,,,,,,
,,2017 - 2018,,,0.86,,,0.75,,,,,,,,,
,,2018 - 2019,,,0.7,,,0.68,,,,,,,,,
,,2019 - 2020,,,0.79,,,0.95,,,,,,,,,
,,2020 - 2021,,,0.84,,,1.34,,,,,,,,,
,,2021 - 2022,,,0.57,,,1.22,,,,,,,,,
,,2022 - 2023,,,0.3,,,0.97,,,,230.0,191.23,0.83,,,
,Nagpur,2000 - 2001,,,0.92,,,0.23,,,,,,,,,
,,2001 - 2002,,,0.81,,,0.41,,,,,,,,,
,,2002 - 2003,,,0.94,,,0.45,,,,,,,,,
,,2003 - 2004,,,0.96,,,0.37,,,,,,,,,
,,2004 - 2005,,,0.73,,,0.46,,,,,,,,,
,,2005 - 2006,,,0.84,,,0.36,,,,,,,,,
,,2006 - 2007,,,1.04,,,0.54,,,,,,,,,
,,2007 - 2008,,,0.99,,,0.42,,,,,,,,,
,,2008 - 2009,,,0.84,,800.0,0.36,,,,,,,,,
,,2009 - 2010,,,0.75,,,0.52,,,,,,,,,
,,2010 - 2011,,,0.74,,,0.45,,,,,,,,,
,,2011 - 2012,,,0.71,,,0.71,,,,,,,,,
,,2012 - 2013,,,0.82,,,0.7,,,,,,,,,
,,2013 - 2014,,,0.4,,,0.83,,,,,,,,,
,,2014 - 2015,,,0.59,,400.0,0.36,,,,,,,,,
,,2015 - 2016,,,0.88,700.0,300.0,0.43,,,,,,,,,
,,2016 - 2017,,,0.68,700.0,200.0,0.29,,,,,,,,,
,,2017 - 2018,,,0.74,100.0,14.0,0.14,,,,,,,,,
,,2018 - 2019,,982.0,0.44,6.0,,0.0,,,,,,,,,
,,2019 - 2020,,848.0,0.4,88.0,50.0,0.57,,,,,,,,,
,,2020 - 2021,,,0.69,43.42,26.48,0.61,,,,,,,,,
,,2021 - 2022,,,0.74,35.98,31.28,0.87,,,,,,,,,
,,2022 - 2023,,545.81,0.49,14.39,12.06,0.84,,,,14.0,11.9,0.85,,,
,Nanded,2000 - 2001,,,1.23,,,0.71,,,,,,,,,
,,2001 - 2002,,,1.16,,,1.03,,,,,,,,,
,,2002 - 2003,,,1.63,,,1.01,,,,,,,,,
,,2003 - 2004,,,1.31,,,1.0,,,,,,,,,
,,2004 - 2005,,,1.29,,,0.85,,,,,,,,,
,,2005 - 2006,,,0.78,,,0.75,,,,,,,,,
,,2006 - 2007,,,0.95,,,0.86,,,,,,,,,
,,2007 - 2008,,,1.16,,,0.87,,,,,,,,,
,,2008 - 2009,,,0.95,,,0.81,,,,,,,,,
,,2009 - 2010,,,0.73,,,0.74,,,,,,,,,
,,2010 - 2011,,,1.06,,,0.96,,,,,,,,,
,,2011 - 2012,,,1.29,,,0.94,,,,,,,,,
,,2012 - 2013,,,1.22,,,0.85,,,,,,,,,
,,2013 - 2014,,,0.81,,,0.73,,,,,,,,,
,,2014 - 2015,,,0.32,,,0.51,,,,,,,,,
,,2015 - 2016,,,0.37,,,0.38,,,,,,,,,
,,2016 - 2017,,,0.37,,,0.96,,,,,,,,,
,,2017 - 2018,,,0.65,,,1.05,,,,,,,,,
,,2018 - 2019,,,0.69,,,0.94,,,,,,,,,
,,2019 - 2020,,,0.63,,,1.39,,,,,,,,,
,,2020 - 2021,,,0.65,,,1.14,,,,,,,,,
,,2021 - 2022,,,0.45,,,0.96,,,,,,0.83,,,
,,2022 - 2023,,,0.45,,,1.01,,,,,,0.83,,,
,Nandurbar,2000 - 2001,,,0.69,,,0.37,,,,,,,,,
,,2001 - 2002,,,1.24,,,0.79,,,,,,,,,
,,2002 - 2003,,,1.13,,,0.92,,,,,,,,,
,,2003 - 2004,,,1.6,,,0.83,,,,,,,,,
,,2004 - 2005,,,0.95,,,0.8,,,,,,,,,
,,2005 - 2006,,,1.29,,,0.96,,,,,,,,,
,,2006 - 2007,,,0.97,,,0.81,,,,,,,,,
,,2007 - 2008,,,1.84,,,1.27,,,,,,,,,
,,2008 - 2009,,,1.86,,,1.08,,,,,,,,,
,,2009 - 2010,,,1.31,,,1.13,,,,,,,,,
,,2010 - 2011,,,1.63,,,1.25,,,,,,,,,
,,2011 - 2012,,,2.38,,,1.3,,,,,,,,,
,,2012 - 2013,,,1.99,,,1.09,,,,,,,,,
,,2013 - 2014,,,1.34,,,1.37,,,,,,,,,
,,2014 - 2015,,,1.07,,,1.26,,,,,,,,,
,,2015 - 2016,,,1.0,,,1.07,,,,,,,,,
,,2016 - 2017,,,1.52,,,1.42,,,,,,,,,
,,2017 - 2018,,,1.51,,,1.53,,,,,,,,,
,,2018 - 2019,,,1.21,,,1.02,,,,,,,,,
,,2019 - 2020,,,1.16,,,1.15,,,,,,,,,
,,2020 - 2021,,,1.55,,,1.24,,,,,,,,,
,,2021 - 2022,,,1.34,,,1.21,,,,55.0,45.73,0.83,,,
,,2022 - 2023,,,1.18,,,1.5,,,,29.0,24.11,0.83,,,
,Nashik,2000 - 2001,,,0.83,,,0.53,,,,,,,,,
,,2001 - 2002,,,0.89,,,0.54,,,,,,,,,
,,2002 - 2003,,,1.22,,,0.52,,,,,,,,,
,,2003 - 2004,,,0.67,,,0.46,,,,,,,,,
,,2004 - 2005,,,1.23,,,0.52,,,,,,,,,
,,2005 - 2006,,,0.95,,,0.59,,,,,,,,,
,,2006 - 2007,,,0.8,,,0.7,,,,,,,,,
,,2007 - 2008,,,0.78,,,0.59,,,,,,,,,
,,2008 - 2009,,,1.27,,,0.58,,,,,,,,,
,,2009 - 2010,600.0,400.0,0.67,,,0.75,,,,,,,,,
,,2010 - 2011,,,1.17,,,0.7,,,,,,,,,
,,2011 - 2012,,,1.34,,,0.71,,,,,,,,,
,,2012 - 2013,,,1.88,,,0.8,,,,,,,,,
,,2013 - 2014,,,1.99,,,0.65,,,,,,,,,
,,2014 - 2015,,,,,,0.73,,,,,,,,,
,,2015 - 2016,800.0,700.0,0.88,,,0.59,,,,,,,,,
,,2016 - 2017,,,1.91,,,0.61,,,,,,,,,
,,2017 - 2018,800.0,,1.38,,,0.67,,,,,,,,,
,,2018 - 2019,647.0,813.0,1.26,,,0.5,,,,,,,,,
,,2019 - 2020,707.0,369.0,0.52,,,0.63,,,,,,,,,
,,2020 - 2021,854.2,,1.53,,,0.76,,,,,,,,,
,,2021 - 2022,724.39,,1.46,,,0.92,,,,75.0,62.36,0.83,,,
,,2022 - 2023,695.24,963.6,1.39,,,0.92,,,,,,,,,
,Palghar,2022 - 2023,,,,516.95,345.9,0.67,,,,,,,,,
,Parbhani,2000 - 2001,,,1.25,,,0.71,,,,,,,,,
,,2001 - 2002,,,1.29,,,0.83,,,,,,,,,
,,2002 - 2003,,,1.44,,,0.76,,,,,,,,,
,,2003 - 2004,,,1.26,,,0.61,,,,,,,,,
,,2004 - 2005,,,0.77,,,0.41,,,,,,,,,
,,2005 - 2006,,,1.09,,,0.66,,,,,,,,,
,,2006 - 2007,,,0.88,,,0.88,,,,,,,,,
,,2007 - 2008,,,1.43,,,0.99,,,,,,,,,
,,2008 - 2009,,,1.19,,,0.85,,,,,,,,,
,,2009 - 2010,,,0.85,,,0.83,,,,,,,,,
,,2010 - 2011,,,1.25,,,0.42,,,,,,,,,
,,2011 - 2012,,,1.32,,,0.78,,,,,,,,,
,,2012 - 2013,,,1.14,,,0.74,,,,,,,,,
,,2013 - 2014,,,1.1,,,0.63,,,,,,,,,
,,2014 - 2015,,,0.42,,,0.5,,,,,,,,,
,,2015 - 2016,,,0.22,,,0.21,,,,,,,,,
,,2016 - 2017,,,0.69,,,0.96,,,,,,,,,
,,2017 - 2018,,,0.43,,,0.72,,,,,,,,,
,,2018 - 2019,,,0.91,,,0.64,,,,,,,,,
,,2019 - 2020,,,0.65,,,1.03,,,,,,,,,
,,2020 - 2021,,,0.46,,,1.24,,,,,,,,,
,,2021 - 2022,,,0.4,,,1.24,,,,103.6,86.14,0.83,,,
,,2022 - 2023,,,0.71,,,1.3,,,,182.0,151.32,0.83,,,
,Pune,2000 - 2001,,,0.8,,,0.42,,,,,,,,,
,,2001 - 2002,,,0.69,,,0.48,,,,,,,,,
,,2002 - 2003,,,0.53,,,0.35,,,,,,,,,
,,2003 - 2004,,,1.59,,,0.24,,,,,,,,,
,,2004 - 2005,,,1.06,,,0.53,,,,,,,,,
,,2005 - 2006,,,1.03,,,0.49,,,,,,,,,
,,2006 - 2007,,,0.63,,,0.51,,,,,,,,,
,,2007 - 2008,,,0.8,,,0.54,,,,,,,,,
,,2008 - 2009,,,1.14,,,0.64,,,,,,,,,
,,2009 - 2010,,,1.05,,,0.74,,,,,,,,,
,,2010 - 2011,,,0.95,,,0.74,,,,,,,,,
,,2011 - 2012,,,1.0,,,0.58,,,,,,,,,
,,2012 - 2013,,,0.85,,,0.49,,,,,,,,,
,,2013 - 2014,,,0.84,,,0.63,,,,,,,,,
,,2014 - 2015,,,0.49,,,0.49,,,,,,,,,
,,2015 - 2016,,,0.71,,,0.45,,,,,,,,,
,,2016 - 2017,,400.0,0.22,,,0.35,,,,,,,,,
,,2017 - 2018,,,0.94,,,0.73,,,,,,,,,
,,2018 - 2019,,,0.7,,,0.3,,,,,,,,,
,,2019 - 2020,,,0.81,,,0.71,,,,,,,,,
,,2020 - 2021,,949.14,0.62,,,0.72,,,,,,,,,
,,2021 - 2022,,,1.13,,,0.83,,,,,,,,,
,,2022 - 2023,164.3,50.47,0.31,,,0.93,,,,,,,,,
,Ratnagiri,2021 - 2022,,,,,,,,,,2.0,1.66,0.83,,,
,Sangli,2000 - 2001,,,1.28,,,0.53,,,,,,,,,
,,2001 - 2002,,,0.47,,,0.65,,,,,,,,,
,,2002 - 2003,,,0.56,,,0.38,,,,,,,,,
,,2003 - 2004,,,0.31,,,0.22,,,,,,,,,
,,2004 - 2005,,,1.82,,,0.53,,,,,,,,,
,,2005 - 2006,,,0.87,,,0.49,,,,,,,,,
