state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2014 - 2015,0.96
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.86
,,2018 - 2019,1.4
,,2019 - 2020,0.85
,,2020 - 2021,1.06
,,2021 - 2022,1.04
,,2022 - 2023,0.71
,Dhubri,2001 - 2002,0.77
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,0.77
,,2005 - 2006,0.77
,,2006 - 2007,0.77
,,2007 - 2008,0.77
,,2008 - 2009,0.77
,,2009 - 2010,0.77
,,2010 - 2011,0.77
,,2011 - 2012,0.8
,,2012 - 2013,0.82
,,2013 - 2014,0.85
,,2014 - 2015,1.11
,,2015 - 2016,1.11
,,2016 - 2017,0.92
,,2017 - 2018,0.91
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.93
,,2021 - 2022,0.93
,,2022 - 2023,0.94
,Dibrugarh,2001 - 2002,0.34
,,2002 - 2003,0.34
,,2003 - 2004,0.34
,,2004 - 2005,0.34
,,2005 - 2006,0.34
,,2006 - 2007,0.34
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.34
,,2010 - 2011,0.34
,,2011 - 2012,0.35
,,2012 - 2013,0.36
,,2013 - 2014,0.57
,,2014 - 2015,0.49
,,2015 - 2016,0.61
,,2016 - 2017,0.61
,,2017 - 2018,0.61
,,2018 - 2019,0.76
,,2019 - 2020,0.8
,,2020 - 2021,0.78
,,2021 - 2022,0.41
,,2022 - 2023,0.61
,Dima hasao,2001 - 2002,0.5
,,2002 - 2003,0.47
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2005 - 2006,0.48
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,,2008 - 2009,0.48
,,2009 - 2010,0.49
,,2010 - 2011,0.49
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2013 - 2014,0.56
,,2014 - 2015,0.69
,,2015 - 2016,0.49
,,2016 - 2017,0.49
,,2017 - 2018,0.45
,,2018 - 2019,0.49
,,2019 - 2020,0.8
,,2020 - 2021,0.49
,,2021 - 2022,0.49
,,2022 - 2023,0.49
,Goalpara,2001 - 2002,0.51
,,2002 - 2003,0.53
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.54
,,2012 - 2013,0.55
,,2013 - 2014,1.0
,,2014 - 2015,0.74
,,2015 - 2016,0.76
,,2016 - 2017,0.72
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.99
,,2020 - 2021,0.71
,,2021 - 2022,0.73
,,2022 - 2023,0.79
,Golaghat,2001 - 2002,0.87
,,2002 - 2003,0.87
,,2003 - 2004,0.87
,,2004 - 2005,0.87
,,2005 - 2006,0.87
,,2006 - 2007,0.87
,,2007 - 2008,0.87
,,2008 - 2009,0.89
,,2009 - 2010,0.88
,,2010 - 2011,0.88
,,2011 - 2012,0.91
,,2012 - 2013,0.94
,,2013 - 2014,0.95
,,2014 - 2015,1.28
,,2015 - 2016,0.93
,,2016 - 2017,0.95
,,2017 - 2018,0.98
,,2018 - 2019,0.97
,,2019 - 2020,1.19
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Hailakandi,2001 - 2002,0.57
,,2002 - 2003,0.57
,,2003 - 2004,0.57
,,2004 - 2005,0.57
,,2005 - 2006,0.57
,,2006 - 2007,0.57
,,2007 - 2008,0.57
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.59
,,2012 - 2013,0.6
,,2013 - 2014,1.09
,,2014 - 2015,0.8
,,2015 - 2016,0.62
,,2016 - 2017,0.62
,,2017 - 2018,0.91
,,2018 - 2019,0.9
,,2019 - 2020,1.33
,,2020 - 2021,0.9
,,2021 - 2022,0.96
,,2022 - 2023,1.24
,Hojai,2020 - 2021,0.83
,,2021 - 2022,0.83
,,2022 - 2023,0.83
,Jorhat,2001 - 2002,0.42
,,2002 - 2003,0.43
,,2003 - 2004,0.44
,,2004 - 2005,0.43
,,2005 - 2006,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.44
,,2008 - 2009,0.42
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.44
,,2012 - 2013,0.47
,,2013 - 2014,0.67
,,2014 - 2015,0.63
,,2015 - 2016,0.63
,,2016 - 2017,0.62
,,2017 - 2018,0.96
,,2018 - 2019,0.67
,,2019 - 2020,0.72
,,2020 - 2021,0.63
,,2021 - 2022,0.64
,,2022 - 2023,0.64
,Kamrup,2001 - 2002,0.78
,,2002 - 2003,0.77
,,2003 - 2004,0.79
,,2004 - 2005,0.83
,,2005 - 2006,0.82
,,2006 - 2007,0.78
,,2007 - 2008,0.81
,,2008 - 2009,0.81
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.84
,,2012 - 2013,0.84
,,2013 - 2014,0.86
,,2014 - 2015,1.14
,,2015 - 2016,0.85
,,2016 - 2017,0.87
,,2017 - 2018,0.86
,,2018 - 2019,0.9
,,2019 - 2020,1.05
,,2020 - 2021,0.9
,,2021 - 2022,0.67
,,2022 - 2023,1.2
,Kamrup metro,2005 - 2006,0.86
,,2006 - 2007,0.86
,,2007 - 2008,0.81
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.83
,,2011 - 2012,0.87
,,2012 - 2013,0.88
,,2013 - 2014,0.89
,,2014 - 2015,1.2
,,2015 - 2016,0.89
,,2016 - 2017,0.9
,,2017 - 2018,0.9
,,2018 - 2019,0.89
,,2019 - 2020,1.72
,,2020 - 2021,0.9
