state,district,year,peas_and_beans_rabi_yield_tonne_per_hectare
,,2009 - 2010,0.31
,,2010 - 2011,0.31
,,2011 - 2012,0.2
,,2012 - 2013,0.25
,,2013 - 2014,0.27
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.25
,,2017 - 2018,0.27
,,2018 - 2019,0.29
,,2019 - 2020,0.23
,,2020 - 2021,0.29
,,2021 - 2022,0.25
,,2022 - 2023,0.29
,Raigarh,2000 - 2001,0.33
,,2001 - 2002,0.36
,,2002 - 2003,0.34
,,2003 - 2004,0.37
,,2004 - 2005,0.33
,,2005 - 2006,0.34
,,2006 - 2007,0.34
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,0.3
,,2010 - 2011,0.37
,,2011 - 2012,0.36
,,2012 - 2013,0.38
,,2013 - 2014,0.37
,,2014 - 2015,0.39
,,2015 - 2016,0.39
,,2016 - 2017,0.39
,,2017 - 2018,0.39
,,2018 - 2019,0.37
,,2019 - 2020,0.37
,,2020 - 2021,0.4
,,2021 - 2022,0.37
,,2022 - 2023,0.37
,Raipur,2000 - 2001,0.43
,,2001 - 2002,0.42
,,2002 - 2003,0.36
,,2003 - 2004,0.36
,,2004 - 2005,0.29
,,2005 - 2006,0.34
,,2006 - 2007,0.34
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.37
,,2011 - 2012,0.35
,,2012 - 2013,0.42
,,2013 - 2014,0.39
,,2014 - 2015,0.46
,,2015 - 2016,0.42
,,2016 - 2017,0.49
,,2017 - 2018,0.46
,,2018 - 2019,0.49
,,2019 - 2020,0.49
,,2020 - 2021,0.63
,,2021 - 2022,0.45
,,2022 - 2023,0.68
,Rajnandgaon,2000 - 2001,0.29
,,2001 - 2002,0.3
,,2002 - 2003,0.24
,,2003 - 2004,0.3
,,2004 - 2005,0.29
,,2005 - 2006,0.3
,,2006 - 2007,0.29
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.28
,,2010 - 2011,0.32
,,2011 - 2012,0.32
,,2012 - 2013,0.3
,,2013 - 2014,0.35
,,2014 - 2015,0.32
,,2015 - 2016,0.33
,,2016 - 2017,0.35
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.35
,,2020 - 2021,0.47
,,2021 - 2022,0.35
,,2022 - 2023,0.47
,Sakti,2022 - 2023,0.77
,Sarangarh bilaigarh,2022 - 2023,0.43
,Sukma,2019 - 2020,0.45
,,2020 - 2021,0.45
,,2021 - 2022,0.43
,,2022 - 2023,0.45
,Surajpur,2011 - 2012,0.35
,,2012 - 2013,0.46
,,2013 - 2014,0.43
,,2014 - 2015,0.43
,,2015 - 2016,0.43
,,2016 - 2017,0.43
,,2017 - 2018,0.47
,,2018 - 2019,0.51
,,2019 - 2020,0.54
,,2020 - 2021,0.51
,,2021 - 2022,0.53
,,2022 - 2023,0.51
,Surguja,2000 - 2001,0.44
,,2001 - 2002,0.44
,,2002 - 2003,0.41
,,2003 - 2004,0.45
,,2004 - 2005,0.42
,,2005 - 2006,0.42
,,2006 - 2007,0.43
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,0.4
,,2010 - 2011,0.29
,,2011 - 2012,0.36
,,2012 - 2013,0.35
,,2013 - 2014,0.45
,,2014 - 2015,0.47
,,2015 - 2016,0.5
,,2016 - 2017,0.42
,,2017 - 2018,0.47
,,2018 - 2019,0.47
,,2019 - 2020,0.43
,,2020 - 2021,0.5
,,2021 - 2022,0.47
,,2022 - 2023,0.52
Haryana,Ambala,2000 - 2001,1.64
,,2001 - 2002,1.82
,,2002 - 2003,0.0
,,2003 - 2004,0.72
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.19
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,2.0
,Bhiwani,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.1
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Charki dadri,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,0.0
,Faridabad,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2011 - 2012,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.09
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.95
,Fatehabad,2000 - 2001,1.85
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,3.45
,,2004 - 2005,4.17
,,2005 - 2006,1.85
,,2006 - 2007,1.82
,,2007 - 2008,2.94
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,1.28
,,2011 - 2012,0.0
,,2012 - 2013,1.3
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.5
,,2017 - 2018,1.3
,,2018 - 2019,1.35
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,Gurgaon,2000 - 2001,0.49
,,2010 - 2011,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.11
,,2019 - 2020,
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,Hisar,2001 - 2002,1.56
,,2003 - 2004,0.0
,,2005 - 2006,0.87
,,2006 - 2007,1.55
,,2007 - 2008,0.0
,,2008 - 2009,1.64
,,2009 - 2010,2.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Jhajjar,2000 - 2001,1.16
,,2001 - 2002,0.91
,,2002 - 2003,1.19
,,2003 - 2004,0.76
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,1.28
,,2007 - 2008,1.33
,,2011 - 2012,0.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Jind,2001 - 2002,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.2
,,2018 - 2019,1.14
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.1
,Kaithal,2009 - 2010,1.2
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.5
,,2017 - 2018,1.2
,,2018 - 2019,1.09
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,Karnal,2000 - 2001,1.56
,,2001 - 2002,1.49
,,2002 - 2003,1.18
,,2003 - 2004,1.22
,,2004 - 2005,1.2
,,2005 - 2006,1.1
,,2006 - 2007,1.4
,,2007 - 2008,1.25
,,2008 - 2009,1.7
,,2009 - 2010,1.19
,,2010 - 2011,2.25
,,2011 - 2012,1.73
,,2012 - 2013,1.5
,,2013 - 2014,1.5
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.23
,,2018 - 2019,1.2
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Kurukshetra,2001 - 2002,1.01
,,2002 - 2003,1.62
,,2005 - 2006,1.28
,,2006 - 2007,1.3
,,2007 - 2008,0.0
,,2008 - 2009,1.22
,,2009 - 2010,1.04
,,2010 - 2011,1.05
,,2012 - 2013,1.1
,,2013 - 2014,1.5
,,2014 - 2015,2.0
,,2015 - 2016,1.25
,,2016 - 2017,1.4
,,2017 - 2018,1.43
,,2018 - 2019,1.47
,,2019 - 2020,1.4
,,2020 - 2021,1.4
,,2021 - 2022,1.4
,Mahendragarh,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2009 - 2010,0.65
,,2010 - 2011,0.58
,,2013 - 2014,0.5
,,2014 - 2015,2.0
,,2015 - 2016,1.4
,,2016 - 2017,1.4
,,2017 - 2018,1.25
,,2018 - 2019,1.3
,,2019 - 2020,1.4
,,2020 - 2021,1.4
,,2021 - 2022,1.4
,Mewat,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.05
,,2019 - 2020,
,Palwal,2009 - 2010,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,Panchkula,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2007 - 2008,0.9
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.25
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.0
,,2019 - 2020,
,,2021 - 2022,0.0
,Panipat,2000 - 2001,1.04
,,2001 - 2002,1.28
,,2002 - 2003,1.23
,,2003 - 2004,4.17
,,2006 - 2007,1.14
,,2007 - 2008,1.53
,,2008 - 2009,1.08
,,2009 - 2010,1.42
,,2010 - 2011,1.3
,,2011 - 2012,0.92
,,2012 - 2013,1.5
,,2013 - 2014,1.67
,,2014 - 2015,2.0
,,2015 - 2016,1.25
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.25
,,2019 - 2020,1.4
,,2020 - 2021,1.4
,,2021 - 2022,1.4
,Rewari,2001 - 2002,0.0
,,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.45
,,2009 - 2010,0.61
,,2010 - 2011,0.5
,,2011 - 2012,0.61
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,1.18
,,2018 - 2019,1.25
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Rohtak,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,Sirsa,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,1.2
,,2018 - 2019,0.6
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Sonipat,2000 - 2001,1.29
,,2002 - 2003,1.17
,,2003 - 2004,1.39
,,2004 - 2005,1.39
,,2005 - 2006,1.5
,,2007 - 2008,2.0
,,2008 - 2009,0.0
,,2009 - 2010,1.28
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Yamunanagar,2000 - 2001,0.0
,,2002 - 2003,2.27
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,2.04
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.04
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,1.21
,,2019 - 2020,1.4
,,2020 - 2021,1.4
,,2021 - 2022,0.0
Himachal Pradesh,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.88
,,2006 - 2007,0.45
,,2007 - 2008,
,,2008 - 2009,0.0
,,2009 - 2010,1.5
,,2010 - 2011,2.13
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,2.25
,,2016 - 2017,0.0
,,2017 - 2018,2.25
,,2018 - 2019,2.25
,,2019 - 2020,2.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Chamba,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,0.81
,,2007 - 2008,
,,2008 - 2009,1.51
,,2009 - 2010,1.27
,,2010 - 2011,3.13
,,2011 - 2012,1.56
,,2012 - 2013,4.16
,,2013 - 2014,0.25
,,2014 - 2015,0.58
,,2015 - 2016,2.11
,,2016 - 2017,1.82
,,2017 - 2018,2.17
,,2018 - 2019,2.17
,,2019 - 2020,2.07
,,2020 - 2021,2.62
,,2021 - 2022,
,,2022 - 2023,2.62
,Hamirpur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Kangra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,1.07
,,2006 - 2007,1.56
,,2007 - 2008,
,,2008 - 2009,1.35
,,2009 - 2010,1.38
,,2010 - 2011,1.07
,,2011 - 2012,0.8
,,2012 - 2013,1.88
,,2013 - 2014,0.29
,,2014 - 2015,0.37
,,2015 - 2016,2.37
,,2016 - 2017,1.05
,,2017 - 2018,2.32
,,2018 - 2019,2.32
,,2019 - 2020,2.1
,Kinnaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.62
,,2006 - 2007,0.64
,,2007 - 2008,
,,2008 - 2009,0.64
,,2009 - 2010,1.18
,,2010 - 2011,1.42
,,2011 - 2012,1.13
,,2012 - 2013,0.93
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.13
,,2016 - 2017,0.53
,,2017 - 2018,2.12
,,2018 - 2019,2.12
,,2019 - 2020,1.98
,,2020 - 2021,3.61
,,2021 - 2022,3.53
,,2022 - 2023,3.59
,Kullu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,1.2
,,2006 - 2007,1.25
,,2007 - 2008,
,,2008 - 2009,0.56
,,2009 - 2010,1.2
,,2010 - 2011,1.27
,,2011 - 2012,1.8
,,2012 - 2013,1.11
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.07
,,2016 - 2017,0.42
,,2017 - 2018,1.98
,,2018 - 2019,1.98
,,2019 - 2020,1.97
,,2020 - 2021,
,,2021 - 2022,2.6
,,2022 - 2023,0.0
,Lahul and spiti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,5.5
,,2006 - 2007,5.55
,,2007 - 2008,
,,2008 - 2009,5.55
,,2009 - 2010,1.94
,,2010 - 2011,5.98
,,2011 - 2012,1.82
,,2012 - 2013,2.02
,,2013 - 2014,0.33
,,2014 - 2015,0.36
,,2015 - 2016,2.22
,,2016 - 2017,5.98
,,2017 - 2018,2.22
,,2018 - 2019,2.32
,,2019 - 2020,2.32
,,2020 - 2021,
,Mandi,2000 - 2001,
,,2002 - 2003,
,,2006 - 2007,1.96
,,2007 - 2008,
,,2008 - 2009,0.31
,,2009 - 2010,1.23
,,2010 - 2011,1.04
,,2011 - 2012,1.44
,,2012 - 2013,1.75
,,2013 - 2014,
,,2014 - 2015,0.21
,,2015 - 2016,2.31
,,2016 - 2017,0.29
,,2017 - 2018,2.05
,,2018 - 2019,2.03
,,2019 - 2020,1.96
,,2020 - 2021,1.98
,,2021 - 2022,1.98
,,2022 - 2023,1.98
,Shimla,2002 - 2003,
,,2007 - 2008,
,,2008 - 2009,0.62
,,2009 - 2010,1.23
,,2010 - 2011,2.84
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,
,,2014 - 2015,0.49
,,2015 - 2016,1.83
,,2016 - 2017,0.67
,,2017 - 2018,2.17
,,2018 - 2019,2.17
,,2019 - 2020,2.14
,,2020 - 2021,3.51
,,2021 - 2022,3.52
,,2022 - 2023,3.52
,Sirmaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.39
,,2006 - 2007,0.39
,,2007 - 2008,
,,2008 - 2009,0.29
,,2009 - 2010,1.14
,,2010 - 2011,1.17
,,2011 - 2012,1.59
,,2012 - 2013,1.08
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.45
,,2016 - 2017,0.29
,,2017 - 2018,2.45
,,2018 - 2019,2.45
,,2019 - 2020,2.35
,,2020 - 2021,0.66
,,2021 - 2022,1.75
,,2022 - 2023,0.66
,Solan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.27
,,2006 - 2007,0.52
,,2007 - 2008,
,,2008 - 2009,0.52
,,2009 - 2010,1.19
,,2010 - 2011,1.15
,,2011 - 2012,2.55
,,2012 - 2013,1.78
,,2013 - 2014,0.4
,,2014 - 2015,0.21
,,2015 - 2016,2.14
,,2016 - 2017,0.54
,,2017 - 2018,1.9
,,2018 - 2019,1.79
,,2019 - 2020,1.8
,,2020 - 2021,3.71
,,2021 - 2022,3.74
,,2022 - 2023,3.7
,Una,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.86
,,2006 - 2007,2.0
,,2007 - 2008,
,,2008 - 2009,1.0
,,2009 - 2010,1.41
,,2010 - 2011,1.09
,,2011 - 2012,1.0
,,2012 - 2013,0.94
,,2013 - 2014,0.0
,,2014 - 2015,0.4
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,2.0
,,2020 - 2021,3.67
,,2021 - 2022,3.56
,,2022 - 2023,3.56
Jammu and Kashmir,Anantnag,2003 - 2004,1.53
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.71
,,2010 - 2011,0.71
,,2011 - 2012,0.71
,,2012 - 2013,0.71
,,2013 - 2014,0.71
,,2015 - 2016,0.69
,,2016 - 2017,0.69
,,2017 - 2018,0.69
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Badgam,2001 - 2002,1.19
,,2002 - 2003,1.2
,,2003 - 2004,1.2
,,2004 - 2005,1.2
,,2006 - 2007,1.2
,,2007 - 2008,1.2
,,2008 - 2009,1.2
,,2009 - 2010,1.2
,,2010 - 2011,1.2
,,2011 - 2012,1.2
,,2012 - 2013,1.2
,,2013 - 2014,1.2
,,2015 - 2016,1.18
,,2016 - 2017,1.18
,,2017 - 2018,1.18
,,2018 - 2019,1.18
,,2019 - 2020,1.18
,,2020 - 2021,1.18
,,2021 - 2022,1.18
,,2022 - 2023,1.18
,Bandipora,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,0.68
,,2016 - 2017,0.68
,,2017 - 2018,0.68
,,2018 - 2019,0.68
,,2019 - 2020,0.68
,,2020 - 2021,0.68
,,2021 - 2022,0.68
,,2022 - 2023,0.68
,Baramulla,2003 - 2004,0.7
,,2004 - 2005,0.71
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.72
,,2010 - 2011,0.72
,,2011 - 2012,0.72
,,2012 - 2013,0.72
,,2013 - 2014,0.72
,,2015 - 2016,0.9
,,2018 - 2019,
,,2019 - 2020,
,Doda,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Ganderbal,2021 - 2022,0.35
,,2022 - 2023,0.35
,Jammu,2001 - 2002,1.85
,,2002 - 2003,1.85
,,2003 - 2004,1.86
,,2004 - 2005,1.82
,,2006 - 2007,1.86
,,2007 - 2008,1.86
,,2008 - 2009,1.86
,,2009 - 2010,1.86
,,2010 - 2011,0.48
,,2011 - 2012,0.49
,,2012 - 2013,0.49
,,2013 - 2014,0.49
,,2015 - 2016,0.48
,,2016 - 2017,0.48
,,2018 - 2019,0.48
,,2019 - 2020,0.48
,,2020 - 2021,0.48
,,2022 - 2023,26.36
,Kargil,2001 - 2002,0.78
,,2002 - 2003,0.78
,,2003 - 2004,0.78
,,2004 - 2005,0.78
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.78
,,2009 - 2010,0.78
,,2010 - 2011,0.78
,,2011 - 2012,0.78
,,2012 - 2013,0.78
,,2013 - 2014,0.78
,,2015 - 2016,0.78
,,2016 - 2017,0.78
,,2017 - 2018,0.78
,,2018 - 2019,0.78
,Kathua,2001 - 2002,0.5
,,2003 - 2004,0.75
,,2004 - 2005,0.67
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.72
,,2010 - 2011,0.7
,,2011 - 2012,0.7
,,2012 - 2013,0.7
,,2013 - 2014,0.7
,,2015 - 2016,0.7
,,2016 - 2017,0.7
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Kishtwar,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Kulgam,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.71
,,2010 - 2011,0.71
,,2011 - 2012,0.71
,,2012 - 2013,0.71
,,2013 - 2014,0.71
,,2015 - 2016,0.78
,,2016 - 2017,0.78
,,2017 - 2018,0.78
,,2018 - 2019,0.78
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,Leh ladakh,2001 - 2002,0.49
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,,2008 - 2009,0.49
,,2009 - 2010,0.49
,,2010 - 2011,0.78
,,2011 - 2012,0.78
,,2012 - 2013,0.78
,,2013 - 2014,0.78
,,2015 - 2016,0.78
,,2016 - 2017,0.78
,,2017 - 2018,0.78
,,2018 - 2019,0.78
,Poonch,2020 - 2021,0.6
,,2021 - 2022,0.6
,Pulwama,2001 - 2002,0.69
,,2002 - 2003,0.7
,,2003 - 2004,0.7
,,2004 - 2005,0.7
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.7
,,2010 - 2011,0.7
,,2011 - 2012,0.7
,,2012 - 2013,0.7
,,2013 - 2014,0.7
,,2015 - 2016,0.7
,,2016 - 2017,0.7
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Rajauri,2001 - 2002,0.57
,,2002 - 2003,0.73
,,2003 - 2004,0.8
,,2004 - 2005,0.67
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2015 - 2016,
,,2017 - 2018,0.48
,Ramban,2015 - 2016,0.6
,Reasi,2007 - 2008,0.7
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,Samba,2008 - 2009,1.86
,,2009 - 2010,1.87
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,Shopian,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.7
,,2010 - 2011,0.7
,,2011 - 2012,0.7
,,2012 - 2013,0.7
,,2013 - 2014,0.7
,Srinagar,2001 - 2002,0.59
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Udhampur,2001 - 2002,0.5
,,2002 - 2003,0.7
,,2004 - 2005,0.5
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,,2008 - 2009,0.7
,,2009 - 2010,0.75
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
Jharkhand,Bokaro,2017 - 2018,1.18
,,2018 - 2019,0.91
,,2019 - 2020,1.8
,,2020 - 2021,1.8
,,2021 - 2022,1.1
,,2022 - 2023,1.8
,Chatra,2014 - 2015,0.89
,,2015 - 2016,0.69
,,2017 - 2018,1.48
,,2018 - 2019,1.47
,,2019 - 2020,1.48
,,2020 - 2021,1.49
,,2021 - 2022,1.1
,,2022 - 2023,1.1
,Deoghar,2017 - 2018,1.8
,,2018 - 2019,2.0
,,2019 - 2020,1.8
,,2020 - 2021,1.8
,,2021 - 2022,1.8
,,2022 - 2023,1.8
,Dhanbad,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Dumka,2017 - 2018,1.35
,,2018 - 2019,1.8
,,2019 - 2020,1.8
,,2020 - 2021,1.8
,,2021 - 2022,1.8
,,2022 - 2023,1.8
,East singhbum,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.86
,,2022 - 2023,0.87
,Garhwa,2014 - 2015,0.4
,,2015 - 2016,0.78
,,2017 - 2018,0.71
,,2018 - 2019,0.62
,,2019 - 2020,0.57
,,2020 - 2021,0.67
,,2021 - 2022,1.02
,,2022 - 2023,1.03
,Giridih,2017 - 2018,1.08
,,2018 - 2019,1.04
,,2019 - 2020,1.21
,,2020 - 2021,1.25
,,2021 - 2022,1.26
,,2022 - 2023,1.32
,Godda,2015 - 2016,0.88
,,2017 - 2018,1.89
,,2018 - 2019,1.86
,,2019 - 2020,1.84
,,2020 - 2021,1.9
