state,district,year,mesta_kharif_yield_tonne_per_hectare
,,2001 - 2002,3.46
,,2002 - 2003,3.46
,,2003 - 2004,3.46
,,2004 - 2005,3.46
,,2005 - 2006,3.44
,,2006 - 2007,3.46
,,2007 - 2008,3.45
,,2008 - 2009,3.46
,,2009 - 2010,3.45
,,2010 - 2011,3.45
,,2011 - 2012,3.54
,,2012 - 2013,3.93
,,2013 - 2014,3.78
,,2014 - 2015,4.18
,,2015 - 2016,11.65
,,2016 - 2017,13.45
,,2017 - 2018,11.9
,,2018 - 2019,10.58
,,2019 - 2020,11.44
,,2020 - 2021,11.97
,,2021 - 2022,11.97
,,2022 - 2023,10.82
,Nalbari,2000 - 2001,3.89
,,2001 - 2002,3.89
,,2002 - 2003,3.89
,,2003 - 2004,3.89
,,2004 - 2005,3.89
,,2005 - 2006,3.9
,,2006 - 2007,3.88
,,2007 - 2008,3.89
,,2008 - 2009,3.9
,,2009 - 2010,3.89
,,2010 - 2011,3.89
,,2011 - 2012,5.2
,,2012 - 2013,4.07
,,2013 - 2014,4.1
,,2014 - 2015,4.19
,,2015 - 2016,3.89
,,2016 - 2017,4.08
,,2017 - 2018,4.07
,,2018 - 2019,4.2
,,2019 - 2020,4.29
,,2020 - 2021,8.62
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Sivasagar,2000 - 2001,5.22
,,2001 - 2002,4.89
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2004 - 2005,4.83
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2011 - 2012,6.5
,,2012 - 2013,5.25
,,2013 - 2014,5.33
,,2014 - 2015,5.33
,,2015 - 2016,5.5
,,2016 - 2017,5.5
,,2017 - 2018,5.5
,,2018 - 2019,5.25
,,2019 - 2020,6.0
,,2020 - 2021,6.5
,,2021 - 2022,6.5
,,2022 - 2023,6.6
,Sonitpur,2000 - 2001,6.54
,,2001 - 2002,6.55
,,2002 - 2003,6.53
,,2003 - 2004,6.52
,,2004 - 2005,6.55
,,2005 - 2006,6.31
,,2006 - 2007,6.54
,,2007 - 2008,8.33
,,2008 - 2009,7.22
,,2009 - 2010,7.41
,,2010 - 2011,7.68
,,2011 - 2012,8.44
,,2012 - 2013,8.03
,,2013 - 2014,8.34
,,2014 - 2015,8.3
,,2015 - 2016,7.49
,,2016 - 2017,7.55
,,2017 - 2018,6.67
,,2018 - 2019,5.14
,,2019 - 2020,5.81
,,2020 - 2021,5.81
,,2021 - 2022,7.92
,,2022 - 2023,7.91
,South salmara mancachar,2020 - 2021,5.1
,,2021 - 2022,5.1
,,2022 - 2023,4.89
,Tinsukia,2000 - 2001,5.0
