state,district,year,mesta_kharif_yield_tonne_per_hectare
,,2012 - 2013,1.05
,,2013 - 2014,1.05
,,2014 - 2015,1.05
,,2015 - 2016,1.05
,,2016 - 2017,1.05
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.11
,,2021 - 2022,1.0
,,2022 - 2023,1.23
Odisha,Anugul,2000 - 2001,6.06
,,2019 - 2020,5.0
,Balangir,2000 - 2001,3.16
,,2019 - 2020,4.6
,Baleshwar,2000 - 2001,3.5
,Bargarh,2000 - 2001,3.25
,,2019 - 2020,4.67
,Boudh,2000 - 2001,2.32
,,2019 - 2020,5.0
,Cuttack,2000 - 2001,6.0
,,2019 - 2020,4.83
,Deogarh,2000 - 2001,3.33
,,2019 - 2020,4.6
,Dhenkanal,2000 - 2001,5.95
,,2019 - 2020,5.25
,Gajapati,2000 - 2001,4.44
,,2019 - 2020,4.75
,Ganjam,2000 - 2001,3.22
,,2019 - 2020,5.04
,Jajapur,2000 - 2001,2.78
,Jharsuguda,2000 - 2001,3.19
,,2019 - 2020,3.33
,Kalahandi,2000 - 2001,4.33
,,2019 - 2020,5.5
,Kandhamal,2000 - 2001,2.06
,,2019 - 2020,5.5
,Kendujhar,2000 - 2001,5.46
,,2019 - 2020,5.39
,Khordha,2000 - 2001,3.07
,Koraput,2000 - 2001,3.55
,,2019 - 2020,5.15
,Malkangiri,2019 - 2020,4.86
,Mayurbhanj,2000 - 2001,4.12
,,2019 - 2020,4.83
,Nabarangpur,2000 - 2001,4.73
,,2019 - 2020,4.88
,Nayagarh,2000 - 2001,4.11
,,2019 - 2020,4.93
,Nuapada,2000 - 2001,2.22
,,2019 - 2020,4.79
,Rayagada,2000 - 2001,4.0
,,2019 - 2020,5.25
,Sambalpur,2000 - 2001,3.53
,,2019 - 2020,4.0
,Sonepur,2000 - 2001,2.42
,,2019 - 2020,4.4
,Sundargarh,2000 - 2001,6.88
,,2019 - 2020,5.0
Rajasthan,Chittorgarh,2001 - 2002,1.0
,Dholpur,2012 - 2013,0.5
,Dungarpur,2000 - 2001,0.14
,,2001 - 2002,0.09
,,2002 - 2003,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.6
,,2014 - 2015,0.0
,Jalore,2007 - 2008,0.0
,Sirohi,2000 - 2001,0.8
,,2002 - 2003,0.0
Tamil Nadu,Erode,2000 - 2001,4.0
,Nagapattinam,2000 - 2001,4.67
,Namakkal,2000 - 2001,4.0
,Salem,2000 - 2001,0.0
,,2005 - 2006,0.0
,Tiruchirappalli,2000 - 2001,4.68
,Villupuram,2000 - 2001,4.75
Telangana,Adilabad,2005 - 2006,9.14
,,2009 - 2010,8.31
,Khammam,2000 - 2001,8.81
,,2009 - 2010,8.31
,,2010 - 2011,8.96
,,2011 - 2012,0.0
,,2013 - 2014,9.14
,,2014 - 2015,7.14
,Mahbubnagar,2000 - 2001,8.83
,,2001 - 2002,8.51
,,2002 - 2003,7.56
,,2003 - 2004,7.95
,,2004 - 2005,8.56
,,2005 - 2006,9.13
,Medak,2000 - 2001,8.82
,,2001 - 2002,8.52
,,2002 - 2003,7.54
,,2003 - 2004,7.95
,,2004 - 2005,8.57
,,2005 - 2006,9.13
,,2013 - 2014,9.17
,Nalgonda,2000 - 2001,8.75
,,2001 - 2002,8.5
,Nizamabad,2000 - 2001,8.84
,,2001 - 2002,8.21
,,2002 - 2003,7.56
,,2006 - 2007,8.79
,Rangareddi,2002 - 2003,8.0
,,2010 - 2011,8.95
,,2011 - 2012,7.76
,Warangal,2001 - 2002,8.5
,,2004 - 2005,8.55
,,2005 - 2006,9.14
,,2006 - 2007,8.78
,,2009 - 2010,8.31
Tripura,Dhalai,2004 - 2005,8.18
,,2005 - 2006,7.33
,,2006 - 2007,7.1
,,2007 - 2008,6.11
,,2008 - 2009,7.26
,,2009 - 2010,6.16
,,2010 - 2011,8.19
,,2011 - 2012,8.16
,,2012 - 2013,8.18
,,2013 - 2014,8.3
,,2014 - 2015,8.65
,,2015 - 2016,8.95
,,2016 - 2017,8.48
,,2017 - 2018,9.89
,,2018 - 2019,9.08
,,2019 - 2020,10.0
,,2020 - 2021,9.8
,,2021 - 2022,9.45
,,2022 - 2023,9.76
,Gomati,2012 - 2013,7.61
,,2013 - 2014,7.92
,,2014 - 2015,7.27
,,2015 - 2016,8.1
,,2016 - 2017,8.32
,,2017 - 2018,10.44
,,2018 - 2019,8.68
,,2019 - 2020,9.0
,,2020 - 2021,9.0
,,2021 - 2022,8.94
,,2022 - 2023,8.85
,Khowai,2012 - 2013,7.8
,,2013 - 2014,8.0
,,2014 - 2015,8.4
,,2015 - 2016,8.65
,,2016 - 2017,8.58
,,2017 - 2018,8.76
,,2018 - 2019,8.1
,,2019 - 2020,9.13
,,2020 - 2021,8.71
,,2021 - 2022,8.78
,,2022 - 2023,8.94
,North tripura,2004 - 2005,9.28
,,2005 - 2006,9.13
,,2006 - 2007,9.24
,,2007 - 2008,8.78
,,2008 - 2009,9.28
,,2009 - 2010,8.75
,,2010 - 2011,8.48
,,2011 - 2012,8.11
,,2012 - 2013,8.05
,,2013 - 2014,8.24
,,2014 - 2015,8.18
,,2015 - 2016,9.25
,,2016 - 2017,8.86
,,2017 - 2018,8.74
,,2018 - 2019,7.82
,,2019 - 2020,8.45
,,2020 - 2021,9.0
,,2021 - 2022,9.22
,,2022 - 2023,9.67
,Sepahijala,2012 - 2013,8.42
,,2013 - 2014,7.88
,,2014 - 2015,8.33
,,2015 - 2016,9.0
,,2016 - 2017,8.29
,,2017 - 2018,8.24
,,2018 - 2019,7.06
,,2019 - 2020,6.4
,,2020 - 2021,7.5
,,2021 - 2022,8.0
,,2022 - 2023,6.8
,South tripura,2004 - 2005,6.83
,,2005 - 2006,6.71
,,2006 - 2007,6.69
,,2007 - 2008,6.72
,,2008 - 2009,7.29
,,2009 - 2010,6.39
,,2010 - 2011,8.05
,,2011 - 2012,8.52
,,2012 - 2013,7.64
,,2013 - 2014,7.82
,,2014 - 2015,7.2
,,2015 - 2016,8.15
,,2016 - 2017,8.09
,,2017 - 2018,7.9
,,2018 - 2019,7.56
,,2019 - 2020,7.66
,,2020 - 2021,7.61
,,2021 - 2022,7.62
,,2022 - 2023,7.45
,Unakoti,2012 - 2013,7.83
,,2013 - 2014,9.32
,,2014 - 2015,9.2
,,2015 - 2016,9.48
,,2016 - 2017,9.45
,,2017 - 2018,9.21
,,2018 - 2019,8.59
,,2019 - 2020,9.0
,,2020 - 2021,9.0
,,2021 - 2022,8.73
,,2022 - 2023,8.83
,West tripura,2004 - 2005,7.48
,,2005 - 2006,7.21
,,2006 - 2007,7.4
,,2007 - 2008,8.63
,,2008 - 2009,7.79
,,2009 - 2010,7.84
,,2010 - 2011,7.91
,,2011 - 2012,8.32
,,2012 - 2013,8.05
,,2013 - 2014,7.93
,,2014 - 2015,7.73
,,2015 - 2016,8.4
,,2016 - 2017,7.97
,,2017 - 2018,8.45
,,2018 - 2019,8.28
,,2019 - 2020,8.53
,,2020 - 2021,8.48
,,2021 - 2022,8.44
,,2022 - 2023,8.4
West Bengal,paraganas north,2000 - 2001,8.36
,,2001 - 2002,10.55
,,2002 - 2003,8.6
,,2003 - 2004,8.45
,,2004 - 2005,9.97
,,2005 - 2006,15.14
,,2006 - 2007,13.33
,,2007 - 2008,14.29
,,2008 - 2009,12.38
,,2009 - 2010,14.21
,,2010 - 2011,13.0
,,2011 - 2012,17.29
,,2012 - 2013,14.48
,,2014 - 2015,10.9
,,2015 - 2016,11.8
,,2016 - 2017,14.08
,,2017 - 2018,12.09
,,2018 - 2019,12.18
,,2019 - 2020,17.61
,,2020 - 2021,12.05
,,2021 - 2022,19.94
,,2022 - 2023,19.17
,paraganas south,2005 - 2006,15.0
,,2010 - 2011,9.7
,Alipurduar,2016 - 2017,9.68
,,2017 - 2018,8.98
,,2018 - 2019,11.57
,,2019 - 2020,13.1
,,2020 - 2021,11.88
,,2021 - 2022,10.17
,,2022 - 2023,14.17
,Bankura,2000 - 2001,5.45
,,2001 - 2002,2.84
,,2002 - 2003,12.0
,,2003 - 2004,14.65
,,2004 - 2005,0.67
,,2005 - 2006,10.0
,,2006 - 2007,10.0
,,2010 - 2011,0.27
,,2019 - 2020,4.08
,,2020 - 2021,4.22
,,2021 - 2022,3.0
,,2022 - 2023,4.31
,Birbhum,2007 - 2008,1.0
,,2013 - 2014,13.0
,,2016 - 2017,10.66
,,2019 - 2020,13.08
,,2020 - 2021,11.92
,,2021 - 2022,13.21
,,2022 - 2023,14.2
,Coochbehar,2000 - 2001,8.13
,,2001 - 2002,9.15
,,2002 - 2003,6.92
,,2003 - 2004,7.02
,,2004 - 2005,8.87
,,2005 - 2006,9.2
,,2006 - 2007,7.72
,,2007 - 2008,8.47
,,2008 - 2009,8.97
,,2009 - 2010,13.4
,,2010 - 2011,11.44
,,2011 - 2012,9.6
,,2012 - 2013,11.63
,,2013 - 2014,10.01
,,2014 - 2015,11.85
,,2015 - 2016,11.62
,,2016 - 2017,9.56
,,2017 - 2018,11.51
,,2018 - 2019,14.02
,,2019 - 2020,13.1
,,2020 - 2021,11.88
,,2021 - 2022,11.87
,,2022 - 2023,14.17
,Darjeeling,2001 - 2002,9.0
,,2015 - 2016,12.13
,,2016 - 2017,9.67
,,2017 - 2018,8.96
,,2018 - 2019,11.58
,,2019 - 2020,13.07
,,2020 - 2021,11.92
,,2021 - 2022,10.2
,,2022 - 2023,14.17
,Dinajpur dakshin,2000 - 2001,10.12
,,2001 - 2002,10.94
,,2002 - 2003,13.11
,,2003 - 2004,13.44
,,2004 - 2005,11.82
,,2005 - 2006,13.49
,,2006 - 2007,11.78
,,2007 - 2008,12.41
,,2008 - 2009,14.98
,,2009 - 2010,15.98
,,2010 - 2011,13.8
,,2011 - 2012,12.8
,,2012 - 2013,13.89
,,2013 - 2014,14.62
,,2014 - 2015,13.72
,,2015 - 2016,13.75
,,2016 - 2017,14.03
,,2017 - 2018,13.28
,,2018 - 2019,13.37
,,2019 - 2020,12.87
,,2020 - 2021,12.26
,,2021 - 2022,13.74
,,2022 - 2023,13.11
,Dinajpur uttar,2000 - 2001,6.55
,,2001 - 2002,8.38
,,2002 - 2003,7.72
,,2003 - 2004,9.18
,,2004 - 2005,8.46
,,2005 - 2006,9.02
,,2006 - 2007,7.34
,,2007 - 2008,8.78
,,2008 - 2009,9.49
,,2009 - 2010,10.33
,,2010 - 2011,9.11
,,2011 - 2012,7.73
,,2012 - 2013,8.72
,,2013 - 2014,8.6
,,2014 - 2015,11.81
,,2015 - 2016,8.58
,,2016 - 2017,9.28
,,2017 - 2018,7.78
,,2018 - 2019,8.93
,,2019 - 2020,13.23
,,2020 - 2021,12.3
,,2021 - 2022,9.01
,,2022 - 2023,9.26
,Hooghly,2002 - 2003,12.5
,,2003 - 2004,14.6
,,2012 - 2013,12.49
,,2013 - 2014,13.18
,,2014 - 2015,12.98
,,2015 - 2016,3.04
,,2016 - 2017,10.66
,,2019 - 2020,13.1
,,2020 - 2021,11.88
,,2021 - 2022,13.23
,,2022 - 2023,14.17
,Howrah,2006 - 2007,6.8
,Jalpaiguri,2000 - 2001,7.35
,,2001 - 2002,8.76
,,2002 - 2003,8.68
,,2003 - 2004,9.91
,,2004 - 2005,8.25
,,2005 - 2006,9.28
,,2006 - 2007,10.28
,,2007 - 2008,8.38
,,2008 - 2009,10.88
,,2009 - 2010,10.9
,,2010 - 2011,12.05
,,2011 - 2012,10.4
,,2012 - 2013,10.26
,,2013 - 2014,9.98
,,2014 - 2015,13.43
,,2015 - 2016,11.3
,,2016 - 2017,9.68
,,2018 - 2019,11.57
,,2019 - 2020,13.09
,,2020 - 2021,11.9
,,2021 - 2022,10.18
,,2022 - 2023,14.16
,Jhargram,2018 - 2019,3.94
,,2019 - 2020,4.07
,,2020 - 2021,4.27
,,2021 - 2022,3.0
,,2022 - 2023,4.36
,Maldah,2000 - 2001,7.94
,,2001 - 2002,9.11
,,2002 - 2003,8.84
,,2003 - 2004,9.27
,,2004 - 2005,9.89
,,2005 - 2006,10.93
,,2006 - 2007,9.83
,,2007 - 2008,8.12
,,2008 - 2009,7.05
,,2009 - 2010,13.24
,,2010 - 2011,11.86
,,2011 - 2012,7.63
,,2012 - 2013,8.29
,,2013 - 2014,7.83
,,2014 - 2015,7.25
,,2015 - 2016,12.17
,,2016 - 2017,10.7
,,2017 - 2018,10.22
,,2018 - 2019,12.51
,,2019 - 2020,13.23
,,2020 - 2021,12.3
,,2021 - 2022,11.95
,,2022 - 2023,13.96
,Medinipur east,2005 - 2006,10.19
,Medinipur west,2000 - 2001,5.69
,,2001 - 2002,2.86
,,2003 - 2004,14.65
,,2004 - 2005,0.52
,,2005 - 2006,10.33
,,2012 - 2013,12.49
,Murshidabad,2000 - 2001,7.18
,,2001 - 2002,10.55
,,2002 - 2003,8.6
,,2003 - 2004,8.45
,,2004 - 2005,9.97
,,2005 - 2006,15.14
,,2006 - 2007,6.8
,,2007 - 2008,8.29
,,2008 - 2009,7.09
,,2009 - 2010,10.15
,,2010 - 2011,9.7
,,2012 - 2013,11.92
,,2013 - 2014,13.18
,,2014 - 2015,10.01
,,2015 - 2016,10.91
,,2016 - 2017,10.47
,,2017 - 2018,6.98
,,2018 - 2019,12.51
,,2019 - 2020,13.23
,,2020 - 2021,12.3
,,2021 - 2022,12.93
,,2022 - 2023,13.96
,Nadia,2000 - 2001,7.18
,,2001 - 2002,10.55
,,2002 - 2003,8.6
,,2003 - 2004,8.02
,,2004 - 2005,9.97
,,2005 - 2006,17.08
,,2006 - 2007,6.8
,,2007 - 2008,8.29
,,2008 - 2009,7.09
,,2009 - 2010,10.15
,,2010 - 2011,9.72
,,2011 - 2012,17.07
,,2012 - 2013,11.91
,,2013 - 2014,13.18
,,2014 - 2015,10.9
,,2015 - 2016,13.11
,,2016 - 2017,15.08
,,2017 - 2018,15.86
,,2018 - 2019,12.18
,,2019 - 2020,14.17
,,2020 - 2021,11.88
,,2021 - 2022,15.17
,,2022 - 2023,17.96
,Paschim bardhaman,2021 - 2022,13.2
,,2022 - 2023,14.19
,Purba bardhaman,2000 - 2001,5.71
,,2002 - 2003,12.45
,,2003 - 2004,14.67
,,2004 - 2005,0.52
,,2005 - 2006,10.0
,,2006 - 2007,10.2
,,2008 - 2009,9.17
,,2009 - 2010,11.6
,,2010 - 2011,0.27
,,2011 - 2012,1.0
,,2012 - 2013,12.33
,,2013 - 2014,13.18
,,2014 - 2015,12.99
,,2015 - 2016,3.04
,,2016 - 2017,10.66
,,2017 - 2018,10.14
,,2018 - 2019,12.18
,,2019 - 2020,13.1
,,2020 - 2021,11.88
,,2021 - 2022,13.23
,,2022 - 2023,14.17
,Purulia,2000 - 2001,2.67
,,2001 - 2002,2.84
,,2002 - 2003,12.46
,,2003 - 2004,14.65
,,2004 - 2005,1.53
,,2005 - 2006,10.16
,,2006 - 2007,10.1
,,2007 - 2008,0.61
,,2008 - 2009,0.67
,,2009 - 2010,2.74
,,2010 - 2011,2.0
,,2011 - 2012,1.0
,,2014 - 2015,12.99
,,2015 - 2016,3.33
,,2016 - 2017,3.59
,,2017 - 2018,2.59
,,2018 - 2019,3.28
,,2019 - 2020,3.38
,,2020 - 2021,3.58
,,2021 - 2022,2.51
,,2022 - 2023,3.58
