Crop: Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
50,Haryana,Sonipat,22.64,,20,23.81,19.05,19.1,,20,,,,,,,,,,,,,,,
51,Bihar,Samastipur,20.92,20.85,22.98,14.4,23.23,12.55,,12.82,16.22,,,,,,,,,,,,,,
52,Andhra Pradesh,Kadapa,13.52,13.27,10.8,7.23,2.06,11.57,5.48,,5.71,5.9,12.81,12.86,9.63,8.77,10.25,12.26,22.62,12.1,14.54,16,10.62,8.31,18.78
53,Madhya Pradesh,Gwalior,,6.85,5.25,6.29,5.93,6.38,7.08,5.44,8.27,8.26,5.13,5.55,5.98,6.07,,,22,22,22,22,,,
54,Madhya Pradesh,Indore,,5.5,5.75,7.06,6.5,6.5,6.71,6.67,,,,5.55,,5.33,,,22,22,22,22,,,
55,Madhya Pradesh,Morena,,6,4.57,5.48,6.23,5.6,6.25,4.79,7.28,7.27,4.51,4.92,,5.55,,20.87,20.94,21,21.14,21.71,,,
56,Bihar,Madhubani,17.78,12.5,13.43,14.06,17.46,18.88,,16.84,21.39,,,,,,,,,,,,,,
57,Tamil Nadu,Tirupathur,,,,,,,,,,,,,,,,,,,,,21.33,16.13,6.27
58,Madhya Pradesh,Balaghat,,6.58,6.58,6.58,6.58,6.58,6.57,6.58,6.58,6.57,5.55,5.94,5.95,7.14,,11.78,10.96,21.15,21.31,21.31,,,
59,Andaman and Nicobar Islands,North and middle andaman,10.81,0.05,,,,,8,,,,4.4,4.21,5.86,17.12,21.17,7.55,7.43,15.34,9.71,6.59,11.24,8.78,12.71
60,Karnataka,Bangalore rural,6.34,,6.31,6.36,6.35,6.32,6.33,6.4,10.11,6.63,8.2,14.6,15.54,14.67,16.95,15.88,12,13,14.52,19.29,19.91,18,21.1
61,Tamil Nadu,Coimbatore,,,,14,15,,17,,13.5,15,,,,21,,,,,20.5,17,19,,19
62,Tamil Nadu,Thenkasi,,,,,,,,,,,,,,,,,,,,,21,,
63,Tamil Nadu,The nilgiris,12,,13.67,14.5,15.33,21,17,,,14.5,,,,,,,,,,,,,
64,Tamil Nadu,Theni,,,13.5,,15,20.8,17,,,15,,,,,,16,8.6,,,,19,,9.5
65,Uttar Pradesh,Basti,,,,,11.63,20.63,13.67,13.5,12.33,13.61,12.29,13,13,13.17,12.36,,11.13,11.17,11.5,11.83,12.5,11.5,11.5
66,Karnataka,Belgaum,9.48,,9.48,9.48,9.48,9.48,9.48,9.48,10.21,6.27,8.24,16.33,16.34,15.75,18.21,18.45,12.93,14.65,14.6,20.52,20.59,18.69,10.29
67,Karnataka,Mysore,,,,,,,,8.33,10.13,6.56,,14.5,15.5,14.5,16.96,15.92,12,12.96,14.5,19.3,19.95,20.27,12.01
68,Andhra Pradesh,Anantapur,13.54,13.26,10.8,7.23,2.06,5.26,5.48,,,5.92,12.75,13,9.57,9,11,,,15.78,20.27,17,,,
69,Madhya Pradesh,Shivpuri,,6.14,5.6,5.75,6.5,5.67,6.11,6.11,6.6,6.6,4.49,4.49,4.95,6.39,,,,20,20,19.34,,,
70,Karnataka,Tumkur,6.32,,6.32,6.35,6.33,6.33,6.33,6.35,10.13,6.57,8.25,14.56,15.52,14.75,16.96,15.9,12,12.95,14.51,19.29,20,17.69,11.75
71,Haryana,Mahendragarh,,,,,,,,,,20,,,,,,,,,,,,,
72,Karnataka,Dakshin kannad,6.19,,6.19,6.19,6.19,6.19,6.19,6.19,7.75,6.57,8.24,14.57,15.51,14.68,16.96,3.73,5.13,3.94,10.76,19,20,,
