Crop: Cotton(lint),,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
66,Nagaland,Tuensang,1.5,1,5.1,0.06,0.08,,,,,,,,,,,,,,,,,,
67,Odisha,Koraput,3.38,,,,,,,,,,,,,,,,,,,5.09,,,
68,Tamil Nadu,Thanjavur,2.13,2.03,1.95,1.88,2.35,2.99,3.61,2.77,2.01,2.87,2.72,3.04,3.23,3.31,3.32,2.48,4.43,0,5.08,2.51,2.36,2.33,1.8
69,West Bengal,24 paraganas south,2.3,2.5,1.75,1.8,4.51,2.54,2.14,1.67,1.65,1.82,1.72,4.6,4.5,3.76,2.56,2.94,3.17,4.92,4.87,1.96,2.95,3.18,5.05
70,Madhya Pradesh,Betul,0.53,0.54,0.44,0.71,0.71,0.89,0.85,0.13,0.17,0.13,0.85,1.38,1.58,1.03,1,,,1.53,0.56,0.56,0.75,5.03,0.65
71,Punjab,Patiala,2,2,2,3,3,3,3,4,4,4,3,3,3,,,1,4,4,4.33,5,,,
72,Punjab,Ludhiana,1,1.5,1,1,,5,4.5,4,4.5,4,4,3,2,3,,,,,,,4,,
73,Nagaland,Mon,1,0.75,5,0.07,0.07,,,0.23,0.56,0.43,0.5,,,,,,,,,,,,
74,Haryana,Sonipat,2.42,1.22,2.78,1.02,3.59,1.84,1.39,3.64,,3.45,,4.98,4.53,3.33,2.75,2.5,3.59,4,3.28,2.81,0,3.61,2.51
75,Rajasthan,Jodhpur,1.53,1.95,1.4,2.24,2.65,2.24,3.13,3.11,3.09,2.44,3.39,3.53,2.96,4.5,2.56,2.61,4.93,2.7,2.86,3.1,3.78,3.16,3.4
76,Rajasthan,Rajsamand,1,3.68,0.65,2.06,1.74,1.87,2.14,2.33,2.4,2.03,3.76,4.91,2.92,3.27,3.12,2.59,2.62,3.56,4.12,1.46,3.39,3.45,3.3
77,Telangana,Rajanna,,,,,,,,,,,,,,,,,3.2,3.36,2.69,4.9,3.78,3.12,3.88
78,Punjab,Mansa,2.44,1.98,2.4,3.37,4.27,4.01,4.35,4.38,4.07,3.69,3.99,3.63,3.52,3.2,2.99,1.07,4.16,3.78,4.23,4.88,4.51,1.26,1.68
79,Telangana,Medak,1.61,1.51,1.27,2.31,2.43,2.58,2.67,3.48,2.39,0.82,1.63,1.75,3.46,2.45,1.75,1.68,2.14,4.88,2.47,3.02,2.57,2.49,2.68
80,Gujarat,Devbhumi dwarka,,,,,,,,,,,,,,,4.33,0.96,2.64,4.84,1.48,4.19,3.64,0.03,3.82
