Crop: Moong(Green Gram),,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
39,Tamil Nadu,Erode,0.52,0.42,0.43,0.5,0.44,0.57,0.54,0.47,1.55,0.35,0.15,0.69,0.26,0.63,0.66,0.75,0.8,0.58,0.65,0.56,0.84,0.77,0.78
40,Gujarat,Gir somnath,,,,,,,,,,,,,,,0.49,0.51,0.45,0.57,0.34,0.69,0.71,1.5,1.55
41,Gujarat,Mahisagar,,,,,,,,,,,,,,,0.5,0.52,0.92,0.94,1.06,1.14,1.49,1.16,1.54
42,Mizoram,Lunglei,,0.67,1.53,1.43,1.04,1.13,,,,,,,,,,,,,,,,,
43,West Bengal,Dinajpur uttar,0.29,0.35,0.41,0.24,0.35,0.53,0.39,0.99,1.08,1.17,0.9,0.84,0.86,0.79,0.88,0.95,0.92,0.98,0.94,0.38,1.09,1.03,1.52
44,Madhya Pradesh,Harda,,,,,,0.14,0.26,,,0.25,0.23,0.25,0.23,0.32,0.4,0.17,,0.74,0.23,1.39,1.48,0.21,1.51
45,Madhya Pradesh,Hoshangabad,,,,,,0.3,0.36,,,0.36,0.33,0.33,0.35,0.46,0.67,0.27,0.61,1.11,0.26,1.49,1.41,0.32,1.51
46,Punjab,Muktsar,0.77,1.2,0.47,0.89,0.85,0.78,1.14,1,0.83,1.33,1,1.5,1,1,1,0.65,1,1,1,1,,,1
47,Nagaland,Dimapur,0.82,0.37,0.54,1.5,0.67,1.04,1.45,1.25,0.77,1,0.89,,,1,1,1.08,1.08,1.07,1.07,1.07,1.07,1.05,1.18
48,Uttar Pradesh,Ghaziabad,0.39,0.41,0.56,0.55,,,,0.57,0.61,0.65,0.87,0.69,0.63,0.64,0.8,0.7,0.5,0.5,0.74,1.5,0.94,0.94,0.4
49,Uttar Pradesh,Mainpuri,0.36,0.51,0.71,0.7,,,,0.85,0.95,0.69,1.34,1.17,1.1,0.71,1.01,0.85,0.91,0.95,0.72,1.36,1.5,0.84,1.3
50,Madhya Pradesh,Jabalpur,,,,,,0.41,0.32,,,0.36,0.39,0.28,0.43,0.35,0.67,0.4,0.56,0.95,0.55,1.46,1.49,0.56,1.47
51,Madhya Pradesh,Sehore,,,,,,0.33,0.32,,,0.35,0.4,0.26,0.24,0.37,0.45,0.6,,1.06,0.31,1.49,1.41,0.36,1.46
52,Uttar Pradesh,Jaunpur,0.56,0.28,0.59,0.59,,,,0.45,0.82,0.97,1,0.78,0.92,0.81,0.59,0.72,0.81,0.71,0.8,1.2,1.49,0.95,0.87
53,Gujarat,Devbhumi dwarka,,,,,,,,,,,,,,,0.66,0.46,0.48,0.77,0.35,0.78,1.04,1.48,0.65
54,Bihar,Kishanganj,0.49,0.41,0.69,0.44,0.76,0.58,0.79,0.48,0.47,0.44,0.59,1.47,0.88,0.9,1.13,0.75,1.08,0.59,0.44,0.64,0.27,0.74,0.67
55,Gujarat,Morbi,,,,,,,,,,,,,,,0.49,0.48,1.32,1.47,1.16,1.39,1.17,0.68,0.59
56,Telangana,Nalgonda,0.35,0.36,0.35,0.58,0.53,0.53,0.32,0.41,0.46,0.01,0.63,0.42,0.78,0.55,0.3,0.53,0.42,0.51,0.26,0.43,0.66,0.87,1.46
57,Andhra Pradesh,Eluru,,,,,,,,,,,,,,,,,,,,,,,1.45
58,Andhra Pradesh,Krishna,0.3,0.61,0.43,0.44,0.61,0.72,0.51,0.62,0.28,0.23,0.42,0.72,0.82,0.71,0.78,0.83,0.64,0.75,0.64,0.98,0.75,0.91,1.45
59,Bihar,Vaishali,0.58,0.5,0.54,0.51,0.4,0.36,0.32,0.46,0.49,0.43,0.54,0.3,0.62,0.68,0.52,0.45,0.41,1.44,0.82,0.73,0.4,1.26,1.09
60,Gujarat,Porbandar,,,,0.64,0.4,0.63,0.38,0.5,0.33,0.5,0.51,0.42,0.47,0.53,0.55,0.75,0.98,0.91,0.33,1.04,1.03,1.43,1.24
61,Madhya Pradesh,Bhopal,,,,,,0.32,0.33,,,0.32,0.33,0.28,0.43,0.29,0.67,0.5,,0.32,0.41,1.03,1.17,0.34,1.42
62,Andhra Pradesh,Bapatla,,,,,,,,,,,,,,,,,,,,,,,1.42
63,Nagaland,Wokha,1.14,0.96,1.32,1.4,0.86,0.75,1.08,1.25,0.75,1,1,,,1,1,1,1,1,1,1,1,1.05,1.16
64,Maharashtra,Thane,0.33,0.63,0.63,0.75,0.5,0.5,0.56,0.63,0.38,0.38,0.75,0.63,0.2,1.4,,,,,,,0.36,0.64,
65,Madhya Pradesh,Guna,,,,,,0.45,0.44,,,0.46,0.46,0.35,0.42,0.44,0.5,0.5,,0.83,0.74,1.39,1.39,0.61,1.23
66,Madhya Pradesh,Raisen,,,,,,0.32,0.32,,,0.32,0.31,0.23,0.25,0.35,0.5,0.31,,1.39,0.23,1.15,1.16,0.21,1.26
67,Haryana,Kaithal,,,,,,,1.39,,,,,,0.5,,,,,,,0.5,0.5,0.5,
68,Nagaland,Kohima,0.83,0.8,1.2,1.38,0.8,0.82,1.21,1.33,0.33,1,1,,,1,1,1,1,1,1,1,1,0.8,1.14
69,Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,0.88,1.36,1.36,1.36,1.36,0.86,0.86
70,Nagaland,Phek,0.89,0.84,1.24,1.36,0.71,0.71,1.22,1.13,0.33,0.86,1,,,1,1,1,1,1,1,1,1,0.8,1.13
71,Haryana,Jind,,,,,,0.51,1.35,,,,,0.44,,,,,,,0.5,0.57,0.57,0.5,0.4
72,West Bengal,Murshidabad,0.5,0.41,0.7,0.43,0.58,0.76,0.27,0.67,0.49,0.54,0.67,0.69,0.71,0.7,0.68,0.74,0.72,1.15,1.05,0.94,1.08,1.04,1.34
73,Punjab,Tarn taran,,,,,,,0.62,0.56,1,0.8,0.67,0.64,0.92,0.83,0.67,0.45,0.5,0.73,0.88,0.86,1.33,,1
74,Punjab,Sangrur,0.53,0.5,0.76,1,0.88,0.9,0.91,0.78,0.88,1.17,0.88,0.8,1,1,1,0.77,1,1.25,1.25,1.33,1,,1
75,Uttar Pradesh,Gautam buddha nagar,0.39,0.41,0.55,0.54,,,,0.69,0.69,0.74,1.06,0.79,0.69,0.6,0.77,0.7,0.6,0.8,0.58,1.33,0.93,0.94,0.73
76,Bihar,Gaya,0.55,0.67,0.58,0.51,0.5,0.55,0.58,0.65,0.68,0.52,0.62,0.64,0.77,1.07,0.65,0.78,1.14,1.33,0.6,1.1,0.42,0.76,0.8
77,Gujarat,Navsari,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.53,0.5,0.55,0.45,0.54,0.56,0.56,1.18,1.05,1.15,1.33,1.17
78,Gujarat,Dang,,,,,,,,,,,0.5,0.4,0.5,,0.49,0.52,0.55,0.5,1.18,1.05,1.14,1.32,1.17
79,Gujarat,Valsad,0.33,0.5,0.33,0.67,0.5,0.5,1,1,1,1,0.6,0.33,,0.43,0.38,0.43,0.5,0.5,1.22,1.05,1.15,1.32,1.17
