Crop: Cowpea(Lobia),,,,,,,,,,,,,,,,,,
S.No.,State,District,2006 - 2007,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
20,Meghalaya,West khasi hills,,,,,,,1.54,1.57,1.73,1.73,1.73,1.73,1.73,1.73,,1.75
21,Karnataka,Kolar,,,,1.14,1.74,1.45,0.75,0.84,1,0.77,0.23,0.38,0.29,0.4,0.37,0.44
22,Mizoram,Hnahthial,,,,,,,,,,,,,,1.67,,1.71
23,Meghalaya,South west garo hills,,,,,,,1.51,1.52,1.68,1.69,1.69,1.7,1.7,1.7,,1.7
24,Telangana,Karimnagar,,,,,0.74,1.5,0.89,1.69,1.19,1.41,1.18,1.11,0.94,0.88,0.68,0.84
25,Meghalaya,Ri bhoi,,,,,,,1.4,1.45,1.58,1.46,1.46,1.46,1.46,1.46,,1.5
26,Telangana,Khammam,,,,,0.8,1,0.64,1.41,1.23,1.57,1.3,1.13,0.94,1.08,0.81,0.88
27,Nagaland,Phek,,,,,,,1.5,1.5,1.46,1.46,1.46,1.5,1.47,1.48,1.4,1.55
28,Telangana,Bhadradri,,,,,,,,,,1.5,1.51,1.23,0.96,1.03,0.69,1
29,Nagaland,Dimapur,,,,,,,1.45,1.48,1.5,1.43,1.48,1.48,1.5,1.5,1.29,1.42
30,Nagaland,Kohima,,,,,,,,,,,,,,,1.32,1.5
31,Nagaland,Peren,,,,,,,,,,,,,,,1.4,1.5
32,Telangana,Medak,,,,,0.51,0.5,0.84,1.1,0.8,0.92,1.5,0.79,0.86,0.71,0.68,0.8
33,Telangana,Siddipet,,,,,,,,,,0.98,1.49,1.17,1.03,0.99,0.62,1.09
34,Nagaland,Mon,,,,,,,1.44,1.44,1.47,1.47,1.44,1.44,1.48,1.48,1.25,1.42
35,Nagaland,Wokha,,,,,,,,,,,,,,,1.47,1.47
36,Nagaland,Mokokchung,,,,,,,,,,,,,,,1.44,1.46
37,Karnataka,Ramanagara,,,,0.52,1.29,0.63,0.37,1.46,1.31,1.3,0.55,0.34,0.74,0.75,0.71,0.52
38,Karnataka,Bangalore rural,,,,1,0.73,0.19,0.44,1.44,0.5,0.76,0.23,0.37,0.29,0.38,0.37,0.38
39,Nagaland,Nuiland,,,,,,,,,,,,,,,,1.43
40,Nagaland,Chumoukedima,,,,,,,,,,,,,,,,1.42
41,Nagaland,Tseminyu,,,,,,,,,,,,,,,,1.4
42,Manipur,Imphal east,,1.19,0.9,1.39,1.19,1.12,1.12,1.21,1.21,1.28,1.26,1.15,,,,
43,Mizoram,Saiha,,,,1.38,0.86,0.57,0.83,0.57,1,1.15,1.05,1.12,1.2,1.06,1.11,1.11
44,Nagaland,Kiphire,,,,,,,,,,,,,,,1.2,1.38
45,Telangana,Mulugu,,,,,,,,,,,,1.12,0.97,1.37,0.72,0.9
46,Manipur,Imphal west,,1.31,0.9,1.34,1.26,0.98,1.07,1.15,1.18,1.2,1.18,1.06,,,,
47,Mizoram,Champhai,,,,1.1,1.22,0.05,1.21,1.1,1.32,1.12,1.06,1.08,1.05,0.73,0.8,0.81
48,Manipur,Bishnupur,,1.26,0.93,1.32,1.2,0.98,1.1,1.23,1.16,1.18,1.11,1.11,,,,
49,Telangana,Jayashankar,,,,,,,,,,0.5,1.3,1.13,0.98,0.94,0.61,0.79
50,Telangana,Mahabubabad,,,,,,,,,,0.5,1.3,0.86,1.05,0.82,0.33,0.6
51,Telangana,Nalgonda,,,,,0.8,0.67,0.24,0.22,0.27,0.26,1.3,1.12,0.98,1.09,0.66,0.9
52,Meghalaya,West jaintia hills,,,,,,,1.06,1.15,1.26,1.26,1.26,1.26,1.26,1.26,,1.3
