Crop: Other Rabi pulses,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
32,Rajasthan,Bharatpur,1,,,1,2.81,,,,,,,1,,1,1,,,1,1,1,,,
33,Rajasthan,Chittorgarh,0.5,0.8,,0.8,0.97,,,,,,,0.8,1,0.94,1.1,1.04,1.08,1.43,1.44,1.35,2.33,2.63,2.79
34,Mizoram,Lawngtlai,,,,,,1.17,0.8,,0.65,2.78,1.79,1.54,1.53,1.19,0.73,1.41,1.38,1.46,1.54,1.79,1.69,1.69,1.54
35,Meghalaya,East khasi hills,0.75,,0.72,0.78,0.77,0.83,0.77,2.27,2.74,1,1,1,,,,,,,,,,,
36,Rajasthan,Sirohi,0.46,0.5,,0.51,1.71,0.51,2.71,0.51,,,,0.54,,0.51,0.62,0.6,0.52,0.5,0.55,0.5,0.53,0.67,0.55
37,Rajasthan,Jaipur,1,1.32,,1,2.13,,,,,,,2.4,,,,,,,,,,,
38,Mizoram,Champhai,,,0.44,0.8,,2.16,1.57,1.5,1.38,1.39,1.69,1.61,1.35,1.77,1.48,1.49,1.4,1.04,2.31,1.16,0.95,0.95,0.93
39,Nagaland,Tuensang,0.87,,0.88,0.73,0.87,2.2,1.24,,0.64,,,,,,1.27,1.27,1.27,1.27,1.26,1.27,,,1.24
40,Rajasthan,Dausa,2,,,1,0.94,,,,,,,,,,,,,2,,1,,,
41,Rajasthan,Nagaur,,,,,1.92,,,,,,,,,2,,,,,,,,,
42,Telangana,Karimnagar,0.33,0.29,0.28,0.18,0.23,0.43,0.3,,,,,,,1.2,2,,,,,,,,
43,Andhra Pradesh,Guntur,,,,,,,,,,,,,,,,,,,,,2,,
44,Rajasthan,Pratapgarh,,,,,,,,,1.14,1,,1,,,2,2,1.99,1.5,1.5,1.5,1.5,1.47,1.5
45,Uttar Pradesh,Kanpur dehat,,,,,,,1.97,1.83,,,,,,,,,,,,,,,
46,Chhattisgarh,Rajnandgaon,0.34,0.36,0.35,0.3,1.94,0.31,0.31,0.34,0.3,0.19,0.2,0.3,0.26,1.29,0.19,0.19,0.32,0.15,0.2,0.5,0.45,0.43,0.42
47,Arunachal Pradesh,Kra daadi,,,,,,,,,,,,,,,,,1.57,1.89,1.89,1.89,1.89,1.89,0.78
48,Andhra Pradesh,Anantapur,,1,,0.18,,,,,,,,,,,1,,,0.8,,1,0.38,1.85,
49,Mizoram,Saitual,,,,,,,,,,,,,,,,,,,,,1.37,1.84,1.48
50,Rajasthan,Bhilwara,0.91,1,,0.05,1.84,,,,,,,0.91,1.04,0.9,1.18,1,0.43,0.5,1,0.8,1.69,0.67,
51,Uttar Pradesh,Farrukhabad,,,,,,,1.74,1.83,,,,,,,,,,,,,,,
52,Uttar Pradesh,Auraiya,,,,,,,1.74,1.83,,,,,,,,,,,,,,,
53,Uttar Pradesh,Etawah,,,,,,,1.74,1.83,,,,,,,,,,,,,,,
54,Uttar Pradesh,Kannauj,,,,,,,1.74,1.83,,,,,,,,,,,,,,,
55,Uttar Pradesh,Kanpur nagar,,,,,,,1.46,1.83,,,,,,,,,,,,,,,
56,Gujarat,Chhotaudepur,,,,,,,,,,,,,,,0.71,,,0.72,0.85,0.77,,0.8,1.75
57,Mizoram,Hnahthial,,,,,,,,,,,,,,,,,,,,,1.75,1.57,1.75
