Crop: Cardamom,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
28,Karnataka,Davangere,,,,,,,,,,,,,,,,,,,0.13,0.2,0.2,0.2,0.03
29,Karnataka,Haveri,,,,,,,,,,,,,,,,,,,0.1,,0.17,0.19,0.1
30,Karnataka,Bengaluru urban,,,,,,,,,,,,,,,,,,,,,,0.19,
31,Karnataka,Gulbarga,,,,,,,,,,,,,,,,,,,,,0.17,,
32,Karnataka,Kolar,,,,,,,,,,,,,,,,,,,0.1,,0.17,,
33,Karnataka,Chamarajanagar,0.07,,0.08,0.07,0.1,0.11,0.11,,,,,,,0.07,0.07,0.07,0.11,0.11,0.1,,0.17,0.17,0.06
34,Karnataka,Koppal,,,,,,,,,,,,,,,,,,,,,0.17,,
35,Kerala,Wayanad,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,,0.09,0.15,0.16,0.17,0.16,0.08,0.09,0.05,0.05,0.12,0.12,0.11
36,Nagaland,Zunheboto,,,,,,,,,0.17,,,,,,,,,,,,,,
37,Nagaland,Tuensang,,,,,,,,,0.17,,,,,,,,,,,,,,
38,Tamil Nadu,Erode,,,,,,,,,0.13,,,,,,,,,,,,,,0.17
39,Karnataka,Hassan,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.08,0.09,0.09,0.08,0.08,0.1,0.14,0.12,0.11,0.08,0.08,0.08,0.15
40,Kerala,Kottayam,0.11,0.12,0.12,0.13,0.13,0.13,0.1,0.1,0.07,0.07,,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.03,0.01,0.01,,
41,Kerala,Pathanamthitta,0.1,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.02,0.02,,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.1,0.1,0.04
42,Kerala,Palakkad,0.06,0.07,0.07,0.08,0.08,0.1,0.09,0.1,0.12,0.12,,0.12,0.1,0.11,0.11,0.11,0.11,0.03,0.02,0.02,0.02,0.03,0.03
43,Tamil Nadu,Dindigul,0.11,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.01,0.1,0.1,0.1,0.1,0.09,0.1,0.1
44,Tamil Nadu,Kanniyakumari,,,,0.09,0.09,0.1,0.1,0.1,0.1,0.08,,0.08,,0.08,0.08,,0.06,0.06,0.06,0.1,0.1,0.11,0.08
45,Tamil Nadu,Salem,,,,0.07,0.07,0.07,0.08,0.07,0.07,0.05,,0.08,,0.06,0.06,0.09,0.08,0.08,0.08,0.08,0.1,0.08,0.08
46,Tamil Nadu,Tirunelveli,0.1,,,0.1,0.1,0.1,0.1,0.1,0.09,0.1,,0.1,,0.1,0.09,0.01,0.1,0.1,0.09,0.1,0.09,0.1,0.09
47,Tamil Nadu,Thenkasi,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.1
48,Tamil Nadu,Theni,0.09,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.02,0.1,0.1,0.1,0.1,0.09,0.09,0.1
49,Tamil Nadu,The nilgiris,0.09,,,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,0.09,,0.09,0.09,,0.09,0.09,0.09,0.09,0.09,0.09,0.09
50,Tamil Nadu,Coimbatore,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,0.08,,0.08,0.08,0.03,0.08,0.08,0.08,0.08,0.09,0.08,0.08
51,Kerala,Malappuram,,0.01,0.04,0.04,0.04,0.04,0.04,0.03,0.01,,,0.01,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.02
52,Kerala,Kozhikode,,,,,,0,0,0,0,0.01,,0,0.02,0.02,0.02,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01
53,Kerala,Kasaragod,,,,0,0,0,0,,,,,,,,,,,,,,,,
