Crop: Moth,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
81,Rajasthan,Sikar,0.09,0.18,0,0.36,0.19,0.09,0.2,0.29,0.24,0.01,0.28,0.35,0.2,0.22,0.42,0.18,0.53,0.27,0.39,0.43,0.38,0.12,0.11
82,Rajasthan,Jhalawar,,,,0.53,,,,,,,,,,,,,,,,,,,
83,Rajasthan,Sirohi,0.15,0.24,,0.53,,0.11,0.14,0.31,,,0.48,,0.33,,,,0.32,,,0.32,0.31,,
84,Rajasthan,Jaisalmer,0.15,0.24,0.04,0.53,0.13,0.12,0.17,0.31,0.27,0.03,0.49,0.34,0.27,0.29,0.17,0.16,0.37,0.17,0.25,0.38,0.36,0.36,0.38
85,Rajasthan,Jhunjhunu,0.07,0.14,,0.53,0.13,0.12,0.09,0.18,0.28,0.01,0.49,0.29,0.2,0.33,0.39,0.27,0.31,0.1,0.25,0.33,0.33,0.2,0.49
86,Jammu and Kashmir,Kulgam,,,,,,,,,,0.52,0.53,0.53,0.53,,,0.53,0.53,,0.52,0.52,0.52,,
87,Rajasthan,Dausa,0.07,0.24,0.04,0.53,0.14,0.12,0.17,0.31,0.26,0.03,0.49,0.34,0.27,0.28,0.4,0.29,0.31,0.3,0.22,0.33,0.5,,
88,Rajasthan,Bharatpur,0.15,0.23,,0.53,0.14,0.12,0.17,0.31,0.27,0.03,0.49,0.3,0.29,0.33,0.4,,,,,0.33,0.5,,
89,Jammu and Kashmir,Anantnag,,,0.52,,,,0.52,,,0.52,0.52,0.52,0.52,,,0.52,0.52,0.52,0.52,0.52,0.52,,
90,Rajasthan,Karauli,0.15,0.24,0.06,0.52,0.13,0.12,0.17,0.31,0.27,0.04,0.48,0.33,0.28,0.28,0.39,0.27,0.5,0.33,,,,0.2,
91,Rajasthan,Tonk,0.15,0.24,0.04,0.52,0.13,0.12,0.16,0.32,0.27,0.04,0.49,0.34,0.28,0.46,0.39,0.26,0.31,0.38,0.25,,,0.2,
92,Jammu and Kashmir,Kupwara,,,,,,,,,,,,0.51,0.51,,,,,,,,,,
93,Rajasthan,Nagaur,0.15,0.21,0.15,0.5,0.14,0.27,0.21,0.32,0.37,0.05,0.42,0.31,0.07,0.17,0.35,0.31,0.39,0.3,0.43,0.41,0.39,0.3,0.31
94,Jammu and Kashmir,Bandipora,,,,,,,,,,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,,
95,Uttar Pradesh,Shahjahanpur,0.5,,,,,,,,,,,,,,,,,,,,,,
96,Rajasthan,Baran,,,,,,,,,0.5,,,,,,,,,,,,,,
97,Uttar Pradesh,Mirzapur,0.2,0.5,,,,,,,,,,,,,,,,,,,,,
98,Rajasthan,Pali,0.08,0.18,,0.25,0.17,0.1,0.26,0.24,0.1,0.02,0.26,0.23,0.18,0.04,0.36,0.29,0.31,0.31,0.23,0.33,0.33,0.2,0.5
99,Uttar Pradesh,Mahoba,0.28,0.5,0.5,0.33,,,,,,,,,,,,,,,,,,,
100,Rajasthan,Banswara,0.15,0.24,,,0.2,0.13,0.25,,,,,0.5,0.2,0.3,,,0.3,0.31,0.22,,,,
101,Rajasthan,Chittorgarh,,0.29,,,,,,0.3,,,,,,,,0.5,,,,,,,
102,Uttar Pradesh,Kushi nagar,,0.5,,0.33,,,,,,,,,,,,,,,,,,,
103,Uttar Pradesh,Barabanki,0.5,,0.5,0.4,,,,,,,,,,,,,,,,,,,
104,Uttar Pradesh,Jhansi,,,,0.5,,,,,,,,,,,,,,,,,,,
105,Uttar Pradesh,Balrampur,0.5,0.33,,,,,,,,,,,,,,,,,,,,,
106,Uttar Pradesh,Varanasi,,0.39,0.5,,,,,,,,,,,,,,,,,,,,
107,Uttar Pradesh,Kannauj,,0.1,,0.5,,,,,,,,,,,,,,,,,,,
108,Uttar Pradesh,Aligarh,0.33,0.35,0.5,0.29,,,,,,,,,,,,,,,,,,,
109,Uttar Pradesh,Agra,0.4,0.38,0.5,0.5,,,,,,,,,,,,,,,,,,,
110,Uttar Pradesh,Moradabad,,,0.5,0.37,,,,,,,,,,,,,,,,,,,
111,Haryana,Jind,,,,,,,,,,,,,0.5,,,,,,,,,,
112,Uttar Pradesh,Bijnor,,,,0.5,,,,,,,,,,,,,,,,,,,
113,Uttar Pradesh,Amroha,,0.5,,0.4,,,,,,,,,,,,,,,,,,,
114,Rajasthan,Kota,0.14,,,0.5,,,,,,,,,,,,,,,,,,,
115,Haryana,Faridabad,,,,,,,,,,0.5,,,,,,,,,,0.2,,,
116,Rajasthan,Jaipur,0.09,0.24,,0.44,0.13,0.12,0.17,0.31,0.27,0.03,0.49,0.34,0.27,0.29,0.39,0.27,0.31,0.31,0.23,0.33,0.33,0.21,0.48
117,Gujarat,Mahisagar,,,,,,,,,,,,,,,0.43,0.47,,,,,,,
118,Rajasthan,Churu,0.04,0.27,,0.45,0.09,0.06,0.11,0.47,0.31,0.01,0.34,0.25,0.28,0.27,0.4,0.29,0.3,0.28,0.25,0.26,0.31,0.11,0.34
119,Gujarat,Aravalli,,,,,,,,,,,,,,,,,0.43,,0.07,0.46,,,
120,Gujarat,Junagadh,,,,,,,,,,,,,,,0.43,,,,0.08,,,,
121,Uttar Pradesh,Rae bareli,0.33,0.43,,,,,,,,,,,,,,,,,,,,,
122,Uttar Pradesh,Unnao,0.3,0.42,,,,,,,,,,,,,,,,,,,,,
123,Uttar Pradesh,Budaun,0.3,0.38,0.41,0.39,,,,,,,,,,,,,,,,,,,
124,Jammu and Kashmir,Leh ladakh,,,,,,,,,,,0.4,0.4,,,,,,,,,,,
125,Uttar Pradesh,Etah,0.29,0.4,0.38,0.39,,,,,,,,,,,,,,,,,,,
126,Uttar Pradesh,Deoria,,,0.38,,,,,,,,,,,,,,,,,,,,
127,Uttar Pradesh,Shravasti,,0.36,,,,,,,,,,,,,,,,,,,,,
128,Uttar Pradesh,Pratapgarh,,,0.33,,,,,,,,,,,,,,,,,,,,
129,Uttar Pradesh,Bareilly,,,,0.33,,,,,,,,,,,,,,,,,,,
130,Uttar Pradesh,Hathras,,0.33,,,,,,,,,,,,,,,,,,,,,
131,Uttar Pradesh,Hardoi,0.25,0.25,,0.33,,,,,,,,,,,,,,,,,,,
132,Uttar Pradesh,Mathura,,,,0.33,,,,,,,,,,,,,,,,,,,
133,Uttar Pradesh,Jalaun,0.29,0.1,,,,,,,,,,,,,,,,,,,,,
134,Rajasthan,Pratapgarh,,,,,,,,,,,,,,,,0.27,,,,,,,
135,Uttarakhand,Champawat,,0.25,,,,,,,,,,,,,,,,,,,,,
136,Haryana,Kurukshetra,,,,,,,,,,,,,,,,,,,,,,0.2,
137,Haryana,Palwal,,,,,,,,,,,,,,,,,,,,,,0.2,
138,Haryana,Yamunanagar,,,,,,,,,,,,,,,,,,,,,,0.2,
139,Haryana,Ambala,,,,,,,,,,,,,,,,,,,,,,0.2,
140,Haryana,Panchkula,,,,,,,,,,,,,,,,,,,,,,0.2,
141,Rajasthan,Bundi,0.15,,,,,0.14,0.17,,,,,,,,,,,,,,,,
142,Haryana,Kaithal,,,,,,,,,,,,,,,,,,,,,0.17,,
143,Uttar Pradesh,Bulandshahr,,0.1,,,,,,,,,,,,,,,,,,,,,
144,Uttar Pradesh,Ghazipur,,0.1,,,,,,,,,,,,,,,,,,,,,
145,Uttar Pradesh,Etawah,,0.1,,,,,,,,,,,,,,,,,,,,,
