Crop: Sesamum,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
35,Karnataka,Mysore,0.47,0.74,0.37,0.41,1.01,1.39,1,0.68,0.68,0.7,0.87,0.63,0.23,0.59,0.6,0.74,0.56,0.74,0.93,0.69,0.76,0.78,0.56
36,Karnataka,Belgaum,0.41,0.37,0.39,0.44,0.54,0.87,0.43,0.27,0.21,0.04,0.18,0.13,0.09,0.23,0.86,0.35,0.76,0.62,1.39,0.85,0.23,0.3,0.65
37,Arunachal Pradesh,Kra daadi,,,,,,,,,,,,,,,,,0.99,1.33,1.33,1.29,1.29,1.15,0.91
38,Rajasthan,Dholpur,0.14,0.33,0.06,0.45,0.33,0.15,0.77,0.5,0.53,0.65,1.33,0.42,0.26,0.21,0.57,0.61,0.7,0.59,0.52,0.44,0.51,0.48,0.46
39,Assam,Goalpara,0.38,0.38,0.37,0.37,0.38,0.38,0.45,0.37,0.37,0.38,0.38,0.49,0.51,1.3,0.54,0.58,0.6,0.8,0.8,0.8,0.8,0.81,0.81
40,Tamil Nadu,Virudhunagar,0.5,0.52,0.35,0.27,0.32,0.31,0.42,0.36,0.16,0.16,0.2,0.34,0.21,0.24,1.3,0.25,0.14,0.6,0.36,0.25,0.39,0.35,0.33
41,Arunachal Pradesh,East siang,,,,,,,,,,,,,,,,,1.29,0.92,0.91,0.91,0.91,0.94,0.88
42,Karnataka,Mandya,0.36,0.53,0.44,0.22,0.62,1.29,0.83,0.8,0.88,0.78,0.78,0.71,0.17,0.52,0.29,0.53,0.61,0.56,0.73,0.66,0.86,0.75,0.64
43,Madhya Pradesh,Balaghat,0.61,0.62,0.65,0.79,0.86,0.82,0.69,0.87,0.86,0.87,0.9,1.29,1.13,0.91,0.5,0.5,1,0.88,1.07,0.95,0.89,0.96,0.71
44,Karnataka,Chikmagalur,0.67,0.37,0.28,0.42,0.62,1.28,0.92,0.75,0.74,0.68,0.82,0.55,0.36,0.63,0.49,0.89,0.88,0.68,0.88,0.91,1.11,1.03,0.98
45,Nagaland,Mokokchung,0.68,0.85,0.79,1.27,0.4,0.69,0.64,0.6,0.58,0.51,0.58,0.58,0.58,0.58,0.58,0.58,0.6,0.61,0.61,0.61,0.62,0.48,0.59
46,Gujarat,Morbi,,,,,,,,,,,,,,,0.53,0.38,1.02,1.17,1.27,0.6,1.22,0.53,0.82
47,Gujarat,Rajkot,0.33,0.69,0.26,0.53,0.21,0.42,0.19,0.43,0.34,0.41,0.31,0.26,0.48,0.54,0.44,0.29,0.65,1,0.53,1.27,0.93,1.13,1.19
48,Jammu and Kashmir,Udhampur,0.5,1.25,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,0.28,0.5,0.28,0.28,0.28,0.28,0.28,,
49,Mizoram,Lunglei,1.24,0.84,0.85,0.7,0.72,0.57,,,,,0.48,0.66,0.74,0.94,0.93,0.88,0.66,0.7,0.86,1,1.02,1.13,1.13
50,Karnataka,Koppal,0.43,0.38,0.22,0.47,0.36,0.85,0.27,0.44,0.47,0.17,0.54,0.44,0.66,1.23,0.68,0.14,0.49,1.18,0.36,0.6,0.87,0.66,0.58
51,West Bengal,Nadia,0.91,0.92,1.08,1.04,0.87,1.01,1.05,1.12,1.05,1.06,1.06,1.04,1.1,1.19,1.21,1.23,1.03,1,1.12,0.62,0.9,1.02,1.01
52,Karnataka,Chamarajanagar,0.41,0.1,0.39,0.44,0.54,1.23,0.34,0.44,0.35,0.29,0.3,0.46,0.23,0.38,0.25,0.21,0.23,0.51,0.63,0.43,0.56,0.58,0.54
53,Meghalaya,West khasi hills,1,0.47,0.5,0.56,0.65,0.74,0.75,0.75,0.79,0.82,0.71,0.71,1.1,1.12,1.17,1.22,1.22,1.22,1.22,1.22,1.22,,1.22
54,Mizoram,Aizawl,0.61,0.48,0.55,0.83,0.84,0.52,,,,,0.79,0.59,1.11,1.08,0.89,1.04,0.81,0.93,0.89,0.7,1.03,1.16,1.22
55,Karnataka,Hassan,0.45,0.46,0.42,0.34,0.62,1.21,0.86,0.54,0.43,0.62,1.02,0.58,0.17,0.25,0.49,0.47,0.25,0.14,0.47,0.53,0.73,0.75,0.65
56,Puducherry,Pondicherry,,,,,0.83,0.8,0.73,1.05,1.03,0.97,0.81,0.82,1.07,0.82,0.81,0.82,1.1,1.21,0.9,1,1,1,1
57,Nagaland,Zunheboto,0.81,0.86,0.94,1.18,0.5,0.66,0.65,0.62,0.5,0.55,0.64,0.64,0.64,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.4,0.53
58,Assam,Kokrajhar,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.61,0.61,0.71,0.7,0.79,0.77,0.76,0.74,0.74,0.76,0.76,0.75,0.78,1.18
