State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Maharashtra,Nagpur,,,,,,,,,,,,,,,,0.4,,,,0.33,0.49,0.31,0.4
Maharashtra,Nanded,,,,0.24,,,,,,,,,,,,,,,,0.21,0.42,0.22,0.22
Maharashtra,Nandurbar,,,,0.5,,,,,,,,,,,,0.24,0.45,6.0,,0.27,0.29,0.37,0.38
Maharashtra,Nashik,,,,0.15,,,,,,,,,,,,0.33,,,,1.24,0.47,0.28,0.39
Maharashtra,Osmanabad,,,,0.13,,,,,,,,,,,,0.06,,,,0.25,0.26,0.24,0.33
Maharashtra,Palghar,,,,,,,,,,,,,,,,1.0,,,,0.6,0.42,0.25,0.53
Maharashtra,Parbhani,,,,0.4,,,,,,,,,,,,,,,,0.13,0.38,0.16,0.19
Maharashtra,Pune,,,,,,,,,,,,,,,,0.2,,,,0.17,0.17,0.13,0.23
Maharashtra,Raigad,,,,,,,,,,,,,,,,0.67,,,,0.65,0.34,0.45,0.45
Maharashtra,Ratnagiri,,,,,,,,,,,,,,,,,,,,0.63,0.63,0.38,0.66
Maharashtra,Sangli,,,,,,,,,,,,,,,,,,,,0.16,0.48,0.22,0.2
Maharashtra,Satara,,,,,,,,,,,,,,,,0.13,,,,0.18,0.24,0.25,0.34
Maharashtra,Sindhudurg,,,,,,,,,,,,,,,,0.71,,,,0.57,0.61,0.23,0.6
Maharashtra,Solapur,,,,,,,,,,,,,,,,0.1,,,,0.26,0.21,0.16,0.21
Maharashtra,Thane,,,,,,,,,,,,,,,,1.0,,,,0.43,,0.1,0.47
Maharashtra,Wardha,,,,,,,,,,,,,,,,0.33,,,,0.29,0.89,0.53,0.67
Maharashtra,Washim,,,,,,,,,,,,,,,,0.13,0.33,0.2,,0.46,0.47,0.24,0.33
Maharashtra,Yavatmal,,,,,,,,,,,,,,,,,,,,0.4,0.13,0.03,0.37
Manipur,Bishnupur,,,,,,,,,,,,,,,,,,,,,,0.7,0.95
Manipur,Chandel,,,,,,,,,,,,,,,,,,,,,,0.69,0.8
Manipur,Churachandpur,,,,,,,,,,,,,,,,,,,,,,0.61,0.82
Manipur,Imphal East,,,,,,,,,,,,,,,,,,,,,,0.76,0.81
Manipur,Imphal West,,,,,,,,,,,,,,,,,,,,,,0.78,0.86
Manipur,Senapati,,,,,,,,,,,,,,,,,,,,,,0.56,0.56
