Crop: Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
58,Bihar,Arwal,,,,42.15,35.96,26.31,,37.08,35,48.78,67.13,,60.47,24.74,113.29,110.5,122.5,40.71,94.47,60.6,54.79,,
59,Bihar,Aurangabad,45.02,44.49,46.15,42.67,35.96,26.3,,36.52,38.51,48.6,67.12,,60.46,24.73,112.85,101.74,122.5,40.7,94.49,60.67,54.78,57.25,
60,West Bengal,Medinipur east,67.67,,,,,77,75.35,106.99,121.88,83.1,,,,,,,,,83.4,78.54,64.39,75.23,71.75
61,West Bengal,Darjeeling,,,,,,,,121.37,106.13,98.67,99,116.38,104.63,102.5,107,93.63,73.7,87.5,83.8,79.58,75.2,81.27,78
62,West Bengal,Jalpaiguri,,83.83,65.76,74.19,67.93,113.01,102.49,121.36,106.09,98.7,98.93,116.4,104.57,102.36,107.02,93.67,73.68,87.51,83.75,79.62,75.18,81.31,78.05
63,West Bengal,Maldah,67.67,83.82,65.75,74.19,67.93,113.01,102.48,121.35,106.09,98.7,98.92,116.39,104.57,102.37,107.01,93.67,103,99.54,99.91,90.54,96.09,96.07,103.52
64,Maharashtra,Sangli,96.12,99.61,88.73,79.64,83.91,81.42,93.13,101.24,90.92,85.75,102.9,101.61,116.41,119.28,108.82,96.28,107.93,106.6,102.08,100.05,110.72,106.43,103.4
65,Karnataka,Haveri,95,78.85,37.05,43.7,,88.35,86.45,71.25,49.4,75.05,95,82.65,65.55,118.75,105.45,97.85,92.15,86.45,68.4,47.68,97,87,54
66,Karnataka,Tumkur,102.6,80.75,92.15,66.5,,88.35,87.4,84.55,86.45,112.1,97.85,86.45,84.55,78.85,104.5,104.5,90.25,94.05,85.5,118.22,92,103.88,80.09
67,Maharashtra,Pune,93.6,85.44,87.66,69.6,83.76,93.61,87.88,97.48,97.35,95.31,99.4,101.29,100.86,117.88,108.25,103.76,94.58,117.29,93.37,103.26,113.38,110.38,107
68,Tamil Nadu,Tiruvannamalai,91.44,46.09,14.31,87.34,92.66,94.81,102.36,116.15,98.91,93.68,93.83,116.72,100.67,81.64,82.89,86,78.44,103,93.04,83.22,102.38,100.99,97.14
69,Bihar,Sheohar,33.64,47.15,21.31,18.11,34.15,39.6,,43.1,57.37,51.04,21.22,,116.53,92.39,64.57,102.73,54.17,102.28,99.7,69.63,53.67,53.46,67.44
70,West Bengal,Dinajpur dakshin,,,,74.25,,,,,,,,116.4,,,,,,,,,,89,83
71,West Bengal,Dinajpur uttar,,83.81,65.75,,,113,102.5,,106.09,,98.92,116.39,104.57,102.38,107.01,93.67,84.41,91.68,87.98,80.65,87.39,88.99,83
72,West Bengal,Coochbehar,,84,65.78,74.33,68,,102.5,,,,,116.39,104.57,102.37,107.02,93.67,73.67,87.51,83.75,79.62,75.18,81.31,78.04
73,Tamil Nadu,Ariyalur,,,,,,,,,,116.2,98.53,110.49,90.67,112.64,104.65,93,91.85,84,85.57,102.11,83.28,96.2,74.82
74,Maharashtra,Dhule,72,64.07,60.83,62.32,58.77,62.28,64.71,64.07,56.05,76.17,83.51,69.15,81.91,82.6,62.63,73.33,115.88,79.65,70,,,93.36,90
75,Odisha,Kalahandi,44.12,47.74,51.66,49.78,44.73,57.5,49.52,44.14,46.5,51.42,50.81,45.05,55.43,52,49.05,55.86,48,57.3,115.8,53.8,58.1,58.4,66.8
76,Tamil Nadu,Virudhunagar,104.01,100.18,91.84,101.68,99.57,115.78,108.23,99.07,105.36,104.39,86.8,114.49,89.66,101.48,97.65,79,66.64,86,107.58,104.2,92.12,96.68,96.41
77,Tamil Nadu,Vellore,87.14,48.87,78.8,82.36,81.19,82.02,96.36,92.89,94.3,76.36,90.33,96.81,94.4,94.36,83.74,80,94.64,89,99.44,88.56,103.2,108.55,114.79
78,Andhra Pradesh,Spsr nellore,80.44,88.32,104.19,96.1,94.53,93.97,114.44,94.6,87.81,100.77,91.87,107.76,97.3,104.37,98.43,103.29,96.64,103,84.92,84.55,31,79,
79,Haryana,Panchkula,72.29,54.25,50.13,66.01,70.84,52.68,92.39,45.45,106.54,,,,113.68,,,64,90,84.4,78.2,84.6,86.19,81.66,
80,Rajasthan,Karauli,45.9,41.08,38.09,56.62,70.09,49.99,113.52,100.42,64.87,108.96,83.27,76.23,77.11,109.28,61.85,84.64,67.29,36.44,51.25,103.6,78.47,108.9,71.88
81,Bihar,Nawada,45.02,44.52,46.15,42.59,35.95,27.05,,36.99,35,48.78,50.18,,60.46,24.74,113.26,110.48,97.39,48.97,78.3,60.8,54.68,55.95,
82,Karnataka,Bagalkot,113.05,92.15,89.3,73.15,,91.2,87.4,88.35,103.55,102.6,98.8,90.25,87.4,103.55,109.25,95.95,72.2,80.75,76.95,70.2,92,86,74
83,Maharashtra,Nashik,91.02,78.26,70.94,56.83,55.61,51.01,68.77,85.78,69.83,72.93,77.4,75.66,75.77,85.07,82.39,80.59,86.14,83.32,95.23,80.22,113.03,76.61,91.59
84,Tamil Nadu,Tiruchirappalli,111.97,100.19,91.84,101.68,87.67,86.59,98.84,112.84,103.51,112.84,102.49,111.78,70.5,111.31,84.95,92,93.59,85,80.88,93.76,111.45,84.7,65.23
