State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Chhattisgarh,Mohla Manpur Ambagarh Chouki,,,,,,,,,,,,,,,,,,,,,,,0.44
Chhattisgarh,Mungeli,,,,,,,,,,,,,,,,,,,,,0.4,0.64,0.33
Chhattisgarh,Narayanpur,,,,,,,,0.35,0.35,0.3,0.37,0.37,0.32,0.33,0.27,0.26,0.38,0.37,0.38,0.38,0.6,0.61,0.54
Chhattisgarh,Raigarh,0.23,0.27,0.24,0.25,0.24,0.25,0.27,0.3,0.29,0.27,0.29,0.29,0.3,0.29,0.31,0.33,0.33,0.32,0.32,0.32,0.35,0.33,0.33
Chhattisgarh,Raipur,0.24,0.31,0.29,0.31,0.28,0.27,0.29,0.29,0.3,0.29,0.32,,,,,,,,,,,,1
Chhattisgarh,Rajnandgaon,0.28,0.31,0.23,0.3,0.32,0.3,0.29,0.28,0.27,0.23,0.3,0.31,0.27,0.29,0.32,0.27,0.29,0.29,0.32,0.39,0.48,0.48,0.43
Chhattisgarh,Sakti,,,,,,,,,,,,,,,,,,,,,,,0.56
Chhattisgarh,Sarangarh Bilaigarh,,,,,,,,,,,,,,,,,,,,,,,0.71
Chhattisgarh,Sukma,,,,,,,,,,,,0.3,0.42,0.39,0.33,0.42,0.39,0.44,0.71,0.41,0.48,0.4,0.42
Chhattisgarh,Surajpur,,,,,,,,,,,,0.24,0.28,0.3,0.3,0.58,0.5,0.57,0.62,0.62,0.66,0.68,0.6
Chhattisgarh,Surguja,0.27,0.29,0.25,0.29,0.24,0.27,0.29,0.27,0.28,0.24,0.16,0.24,0.28,0.3,0.3,0.33,0.29,0.27,0.33,0.33,0.34,0.31,0.3
Haryana,Ambala,,,,,,,,,,,,,,,,,,,,1,,,
Haryana,Bhiwani,,,,,,,,,,,,,,1,1,,,,,,,,
Haryana,Faridabad,,,,0.17,,0.28,0.26,,,,,,,0.67,,,,,,,,,
Haryana,Hisar,,,,,,,0.8,,,,,,,,,,,,,,,,
Haryana,Karnal,,,,,,,,,0.81,,,,,,,,,,,,,,
Haryana,Nuh,,,,,,0.18,,,,,,,,,,,,,,,,,
Haryana,Panchkula,,,0.31,0.27,0.31,0.27,0.32,0.33,0.28,0.27,0.29,0.28,0.4,0.5,1,0.5,0.5,0.29,0.5,0.5,0.5,0.5,
Haryana,Yamunanagar,,,,,,,,,,,,,0.38,,,,,,0.5,0.5,0.5,0.5,
Himachal Pradesh,Bilaspur,0.32,0.52,0.28,,,0.55,0.64,0.64,0.33,0.23,0.25,0.75,0.57,0.25,0.27,0.45,0.27,0.55,0.55,0.62,,0.67,0.67
Himachal Pradesh,Chamba,0.26,0.42,0.29,,,0.22,0.35,0.35,0.27,0.23,0.56,0.61,0.54,0.27,0.27,0.41,0.27,0.46,0.46,0.66,0.66,0.66,0.65
Himachal Pradesh,Hamirpur,0.36,0.46,0.18,,,0.27,0.29,0.33,0.2,0.33,0.33,0.33,0.5,0.33,0.33,0.33,0.33,0.33,0.33,0.5,,,
Himachal Pradesh,Kangra,0.31,0.52,0.3,,,0.41,0.51,0.43,0.45,0.42,0.71,0.69,1,0.5,0.5,0.5,0.5,0.67,0.61,0.61,0.36,0.42,0.35
Himachal Pradesh,Kullu,0.15,0.19,0.06,,,0.4,0.42,0.3,0.31,0.22,0.69,0.78,0.53,0.26,0.27,0.53,0.26,0.63,0.64,0.65,0.63,0.63,0.63
Himachal Pradesh,Lahul And Spiti,0.24,,0.25,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Mandi,0.56,0.59,0.79,,,0.71,0.61,0.43,0.43,0.38,0.59,0.62,0.11,0.45,0.44,0.48,0.44,0.65,0.59,0.58,0.46,0.46,0.46
Himachal Pradesh,Shimla,0.24,0.38,0.05,,,0.36,0.61,0.43,0.42,0.29,0.37,0.34,0.67,0.34,0.53,0.45,0.34,0.58,0.61,0.62,0.46,0.46,0.46
Himachal Pradesh,Sirmaur,0.23,0.34,0.05,,,0.33,0.82,0.9,0.69,0.67,0.88,0.79,1.59,0.79,0.79,0.79,0.79,0.78,0.65,0.65,0.4,0.4,0.4
Himachal Pradesh,Solan,0.18,0.22,0.13,,,0.2,0.33,0.37,0.15,0.06,0.61,0.07,0.16,0.07,0.09,0.32,0.07,0.49,0.58,0.62,0.65,0.65,
