Crop: Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
50,Nagaland,Dimapur,1.15,,0.74,1.22,0.95,1.41,,1.06,0.9,,,,,,,,,,,,,1.23,1.26
51,Andhra Pradesh,Anantapur,0.18,0.13,0.1,0.04,0.11,0.21,0.18,,0.5,0.3,,0.33,,0.29,0.08,,0.94,1.41,,,0.7,1.38,0.92
52,Nagaland,Zunheboto,0.83,,0.53,1.41,0.95,0.93,,0.85,0.82,,,,,,1.06,1.21,1.2,1.2,1.19,1.2,,1.22,1.21
53,Nagaland,Phek,0.87,,0.4,1.41,1.24,1.04,,0.92,0.93,,,,,,1.15,1.15,1.16,1.17,1.17,1.18,,1.16,1.15
54,Uttarakhand,Pithoragarh,0.57,0.55,0.56,0.52,0.55,0.58,0.69,0.79,0.8,0.95,1.02,0.96,1,0.91,0.87,0.92,0.9,1.4,1.07,1.16,1.13,1.17,1.16
55,Maharashtra,Satara,0.36,0.27,0.48,0.29,0.49,0.31,0.25,0.46,0.3,0.34,0.51,0.4,0.3,0.5,0.45,0.48,0.48,1.1,0.61,0.61,1.11,1.4,1.3
56,Manipur,Bishnupur,0.48,0.5,0.5,0.5,0.5,0.51,0.52,0.49,1.25,0.92,1.38,1.17,0.96,1.11,1.12,1.16,1.2,1.15,1.12,,,1.12,1
57,Manipur,Imphal east,0.5,0.52,,0.5,0.52,0.5,0.51,0.5,1.26,0.94,1.38,1.18,1.05,1.1,1.15,1.15,1.2,1.11,1.11,,,0.91,1.05
58,Andhra Pradesh,Kadapa,0.17,0.14,,,0.16,0.15,0.17,,0.5,0.3,0.37,0.35,0.38,0.29,,,0.3,0.51,0.3,0.5,0.43,1.38,1.29
59,Karnataka,Mysore,0.5,0.48,0.48,0.47,0.48,0.45,0.71,0.57,0.53,1.2,0.54,0.55,0.42,0.49,0.53,1.37,0.29,0.67,0.62,0.59,0.69,0.6,0.51
60,Karnataka,Bidar,0.1,0.1,0.1,0.1,0.1,0.1,1.04,0.94,0.96,0.49,0.9,1.07,0.61,0.84,0.85,1.37,0.37,0.99,0.61,0.81,0.8,0.55,0.57
61,Nagaland,Mon,1.1,,0.43,1.37,1.03,0.85,,1.11,0.89,,,,,,1.2,1.21,1.22,1.22,1.23,1.23,,1.24,1.24
62,Uttarakhand,Tehri garhwal,0.51,0.51,0.51,0.46,0.67,0.56,0.64,0.78,0.78,0.55,0.77,0.63,0.69,0.69,0.92,0.84,0.82,0.67,0.9,0.9,1.1,1.03,1.37
63,Karnataka,Shimoga,0.39,0.43,0.43,0.43,0.43,0.41,0.79,0.75,0.69,0.57,0.9,1.06,1,0.75,0.86,1.37,0.39,1,0.68,0.79,0.79,0.55,0.6
64,Karnataka,Haveri,0.27,0.27,0.27,0.27,,0.27,0.55,0.58,0.53,0.43,0.89,1.07,0.97,0.74,0.85,1.36,0.38,0.97,0.62,0.81,0.82,0.55,0.59
65,Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,0.95,1.33,1.33,1.25,1.31,1.31,1.31
66,Karnataka,Gulbarga,0.15,0.15,0.15,0.13,0.15,0.15,0.55,0.44,0.38,0.26,0.19,0.52,0.73,0.56,0.5,1.32,0.32,0.92,0.58,0.74,0.81,0.55,0.59
67,Uttarakhand,Chamoli,0.61,0.61,0.6,0.63,0.68,0.59,0.72,0.79,0.8,0.81,0.96,0.92,0.67,0.93,1.29,1.03,1.19,1.19,1.26,1.06,1.16,1.31,1.22
68,Manipur,Imphal west,0.52,0.48,0.56,0.53,0.5,0.5,0.52,,1.29,0.9,1.31,1.2,0.97,1.08,1.1,1.16,1.19,1.12,1.01,,,0.92,1.19
69,Kerala,Palakkad,,,,,,,,,,,,,,,,0.94,1.31,1.31,0.93,0.8,,,1
70,Andhra Pradesh,Annamayya,,,,,,,,,,,,,,,,,,,,,,,1.31
71,Arunachal Pradesh,Leparada,,,,,,,,,,,,,,,,,,,,1.13,1.17,1.17,1.3
72,Uttarakhand,Almora,0.64,0.57,0.59,0.89,0.84,0.62,0.62,0.68,0.68,1,1,1.15,1.15,1.15,0.59,1.1,0.67,1.28,1.19,1,0.92,1.25,1.08
73,Manipur,Ukhrul,,,,0.52,0.56,0.5,0.42,0.51,1.17,0.67,1.18,1.23,1.08,1.12,1.19,1.19,1.18,1.28,1,,,1,1
74,Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,1.09,1.2,1.2,1.21,1.21,1.2,1.28
75,Nagaland,Mokokchung,1.02,,0.5,1.28,1,0.97,,1.11,0.78,,,,,,1.17,1.22,1.2,1.23,1.23,1.23,,1.23,1.2
76,Uttarakhand,Dehradun,0.53,0.53,0.52,0.46,0.58,0.6,0.59,0.83,0.83,0.84,1.06,0.69,0.86,0.85,1.12,1.12,1.17,1.28,1.24,0.99,0.96,0.99,0.97
77,Jammu and Kashmir,Doda,,,0.82,0.46,0.46,,1.2,,,1.2,1.2,1.19,0.69,,1.14,1.2,1.28,1.2,1.2,1.21,1.25,,
78,Manipur,Thoubal,0.51,0.51,,0.5,0.5,1,0.5,0.49,1.13,0.95,1.16,1.04,1.05,1.05,1.12,1.11,1.1,1.02,1.02,,,1.02,1.27
79,Rajasthan,Churu,0.2,0.25,0.06,0.43,0.51,0.07,0.02,0.33,1.27,0.05,0.3,0.23,0.3,0.42,0.31,0.21,0.44,0.63,0.49,0.64,0.59,0.19,0.46
80,Nagaland,Tuensang,0.89,,0.29,1.19,0.58,0.59,,1.17,0.8,,,,,,1.27,1.26,1.26,1.26,1.26,1.27,,1.25,1.25
81,Mizoram,Lawngtlai,,,,,,0.76,0.86,0.43,0.41,0.48,0.46,0.45,0.45,0.44,0.86,0.85,0.88,0.47,0.92,1.26,1.24,1.22,1.07
82,Nagaland,Kiphire,,,,,,,,,0.86,,,,,,1.26,1.25,1.25,1.25,1.25,1.25,,1.09,1.18
83,Nagaland,Shamator,,,,,,,,,,,,,,,,,,,,,,,1.25
84,Jharkhand,Simdega,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,1.25,1.25,1.2
85,Kerala,Thiruvananthapuram,,,,,,,,,,,,,,,,1.24,0.98,0.96,1.1,,,,
86,Andhra Pradesh,Alluri sitharama raju,,,,,,,,,,,,,,,,,,,,,,,1.24
87,Nagaland,Longleng,,,,,,,,,0.75,,,,,,1.17,1.2,1.21,1.21,1.23,1.23,,1.23,1.21
88,Nagaland,Kohima,1.2,,0.45,1.23,0.96,1,,0.85,1.09,,,,,,1.15,1.15,1.16,1.17,1.17,1.17,,1.05,1.17
89,Arunachal Pradesh,Papum pare,,,,,,,,,,,,,,,,,1.23,1.09,1.09,1.11,1.12,1.12,1.19
90,Nagaland,Wokha,0.82,,0.45,1.23,0.85,0.9,,1.05,0.97,,,,,,1.19,1.19,1.2,1.19,1.19,1.19,,1.13,1.16
91,Rajasthan,Rajsamand,0.05,0.79,0.05,0.68,0.25,0.26,0.63,0.36,0.53,0.09,0.52,0.7,0.39,0.45,0.92,0.25,1,0.89,0.93,0.95,0.95,0.79,1.22
92,Sikkim,Gangtok,0.84,0.98,1.05,,0.11,1.21,0.1,0.96,1.13,1.12,0.91,0.91,0.93,0.96,0.96,0.97,0.98,0.97,0.98,0.98,0.99,0.99,1.04
