Crop: Coriander,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
82,Madhya Pradesh,Bhopal,0.41,0.35,0.35,0.36,0.35,,0.38,0.39,0.4,0.47,0.32,0.45,0.68,0.8,,1.5,1.5,1.5,1.5,1.61,,,
83,Rajasthan,Bundi,0.79,0.98,0.89,1.13,1.21,1.26,1.11,0.82,0.83,1.11,1.01,0.91,1.06,0.82,0.08,1.08,1.35,1.56,1.36,1.41,1.61,1.31,1.43
84,Madhya Pradesh,Balaghat,0.22,0.29,0.27,0.28,0.27,,0.27,0.27,0.27,0.27,0.27,0.27,0.2,0.23,,1.6,1.59,0.95,0.97,0.98,,,
85,Haryana,Charki dadri,,,,,,,,,,,,,,,,,,,1.09,1.6,,,
86,Rajasthan,Jaipur,0.3,0.74,0.62,1.25,1.15,1.05,1.19,0.78,1.13,1.6,1.1,1.23,1.19,0.64,0.8,1,1.2,1.33,1.3,1.49,1.46,1.47,1.39
87,Madhya Pradesh,Vidisha,0.22,0.27,0.21,0.31,0.31,,0.32,0.26,0.27,0.3,0.23,0.32,0.36,,,1.1,1.5,1.5,1.5,1.54,,,
88,Madhya Pradesh,Ashoknagar,,,,0.27,0.26,,0.31,0.29,0.31,0.33,0.2,0.25,0.62,0.63,,1.5,1.5,1.5,1.53,1.52,,,
89,Madhya Pradesh,Harda,0.29,0.36,0.37,0.36,0.43,,0.31,0.3,0.39,0.36,0.37,0.34,0.39,0.34,,1.5,1.5,1.51,1.51,1.51,,,
90,Rajasthan,Sikar,0.5,0.5,0.5,1.24,1.15,1.04,1.15,0.79,1.11,1.19,1.11,1.23,1.2,0.64,0.5,1.07,,1.33,,1.47,1.5,1.48,1.5
91,Madhya Pradesh,Datia,0.33,0.25,0.2,0.2,0.33,,0.2,0.14,0.36,0.27,0.25,0.33,0.42,0.37,,1,1.5,1.5,1.5,1.5,,,
92,Madhya Pradesh,Shivpuri,0.25,0.27,0.15,0.29,0.32,,0.25,0.21,0.27,0.3,0.23,0.27,0.23,0.29,,0.5,1.48,1.5,1.5,1.21,,,
93,Madhya Pradesh,Burhanpur,,,,0.36,0.26,,0.31,0.33,0.29,0.34,0.24,0.26,0.38,0.28,,1.14,1.5,1.5,1.5,1.5,,,
94,Rajasthan,Barmer,0.75,1,1,1,,,,1,1,1,,,1,0.5,0.67,1,1.33,1.33,1,1.33,1.43,1.5,1.25
95,Rajasthan,Rajsamand,0.23,0.35,0.02,1.27,1.15,1.04,1.19,0.79,1.12,0.53,1.1,1.23,1.18,0.63,0.8,1.06,1.15,1.36,,0.13,1.5,0.75,1.33
96,Rajasthan,Jalore,1,0.62,,1.27,1,1,1.14,0.71,,1,1.14,1,1,0.75,1,1,1.14,1.33,1,1.5,1.47,1.5,1.4
97,Rajasthan,Pali,0.5,0.9,1,1.25,1,1,1,0.83,1.13,1.2,1.11,1.23,1.14,0.75,0.81,1.08,1.15,1.34,1.33,1.43,1.5,1.33,1.38
98,Madhya Pradesh,Jabalpur,0.23,0.3,0.29,0.35,0.36,,0.36,0.22,0.23,0.23,0.27,0.29,0.27,0.36,,1.4,1.4,1.4,1.5,1.4,,,
99,Rajasthan,Tonk,0.33,0.37,0.39,1.24,1.14,1.04,1.13,0.76,1.13,1.23,1.11,1.23,1.19,0.6,0.77,1.07,1.14,1.33,1.31,1.49,1.49,1.5,1.33
100,Rajasthan,Bhilwara,0.45,0.36,0.57,1.23,1.14,1,1.33,0.75,1.11,1.25,1.13,1.22,1.33,0.67,0.79,1.07,1.14,1.33,1.31,1.46,1.5,1.46,1.36
101,Rajasthan,Sirohi,0.5,0.44,0.67,1.25,1,1,1.14,1,1.25,1,1,1.33,1.25,0.67,0.75,1,1.15,1.5,1.25,1.47,1.5,1.45,1.25
102,Rajasthan,Bharatpur,1.4,1,1,,1,,,0.77,1.17,1.19,1.08,1.24,1,0.67,0.77,1.1,1.1,1.29,1.29,1.5,,,
103,Madhya Pradesh,Bhind,0.5,0.5,0.01,0.33,0.25,,0.25,0.14,,,,,,,,1,1,1.49,1.49,1.5,,,
104,Rajasthan,Jodhpur,0.59,0.6,0.6,1.24,1.15,1.05,1.19,0.78,1.12,0.97,1.11,1.23,1.17,0.64,0.8,1.07,1.14,1.33,1.3,1.49,1.49,1.48,1.37
105,Rajasthan,Nagaur,0.1,0.31,0.92,1.24,1.1,1,1.14,0.79,1.1,1.23,1.17,1.22,1.17,0.63,0.81,1.07,1.14,1.33,1.29,1.48,1.49,1.47,1.38
106,Rajasthan,Ajmer,0.95,0.63,0.81,1.24,1.15,1.05,1.17,0.78,1.11,0.38,1.1,1.23,1.18,0.64,0.8,1.07,1.14,1.33,0.28,0.21,1.49,0.62,1.37
107,Rajasthan,Pratapgarh,,,,,,,,,1.11,1.21,1.1,1.22,1.19,0.64,0.8,1.07,1.14,1.33,1.3,1.49,1.19,1.39,1.23
108,Madhya Pradesh,Khargone,0.2,0.27,0.26,0.29,0.28,,0.35,0.35,0.34,0.34,0.39,0.38,0.29,0.32,,1.1,1.1,1.1,1.1,1.49,,,
109,Rajasthan,Ganganagar,0.5,0.5,0.57,1.27,1.17,1.04,1.25,0.71,1.08,0.67,1.17,1.21,1,1,,1.09,1.13,1.31,,,1.48,1.33,
110,Madhya Pradesh,Narsinghpur,0.54,0.54,0.5,0.53,0.53,,0.53,0.51,0.51,0.51,0.43,0.48,0.43,0.48,,1.45,1.46,1.46,1.47,1.47,,,
111,Rajasthan,Alwar,0.79,0.27,0.69,1.24,1.15,1.03,1.19,0.77,1.11,1.22,1.11,1.23,1.17,0.65,0.81,1.05,1.15,1.33,1.27,,1.45,,
112,Telangana,Siddipet,,,,,,,,,,,,,,,,,0.4,0.83,1,0.92,1.08,0.61,1.41
113,Madhya Pradesh,Mandsaur,0.44,0.53,0.35,0.54,0.56,,0.61,0.49,0.62,0.61,0.59,0.53,0.59,0.58,,1.4,1.4,1.4,1.4,1.4,,,
114,Madhya Pradesh,Shajapur,0.36,0.36,0.29,0.43,0.45,,0.48,0.29,0.33,0.49,0.49,0.49,0.47,0.48,,1.32,1.35,1.4,1.4,1.4,,,
115,Telangana,Nizamabad,0.26,0.49,0.42,0.27,0.6,0.42,0.56,,0.44,0.63,0.68,0.58,,0.72,0.24,0.71,0.83,0.83,1,0.94,0.48,1.4,0.63
116,Rajasthan,Udaipur,0.35,0.48,0.39,1.26,1.14,1.05,1.17,0.78,1.12,1.33,1.12,1.24,1.17,0.61,0.81,1.09,1.17,1.29,1.29,1,1.4,1.38,1.37
117,Himachal Pradesh,Kullu,,0.25,0.29,,,0.08,0.29,0.32,0.22,0.67,0.55,0.28,0.25,0.33,0.26,0.36,0.2,0.2,0.36,0.55,1.36,1.09,
118,Himachal Pradesh,Sirmaur,,0.29,0.32,,,0.04,0.04,0.23,0.06,0.49,0.48,0.34,0.34,0.34,0.33,0.32,0.04,0.04,0.03,0.41,1.36,1.33,
119,Rajasthan,Banswara,,,,1.33,1,1,1.33,,,,,,,,,,,,,,,,1
120,Rajasthan,Jhalawar,0.84,0.74,0.99,1.08,0.99,0.84,1.1,0.45,0.95,1.1,0.81,1.05,0.93,0.66,0.86,0.91,0.87,1.23,1.06,1.31,1.33,1.33,1.22
