Crop: Dry chillies,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
61,Madhya Pradesh,Gwalior,0.59,0.78,0.87,0.92,,,0.91,,,2.02,2.7,1.57,1.88,1,,7,7,7,7,,,,
62,Karnataka,Kodagu,2.52,1.16,4.63,5.47,5,6.72,4.15,3.38,3.08,4.97,3.65,3.41,2.83,2.61,1.14,1.37,2.29,2.04,,,,,
63,Arunachal Pradesh,Upper siang,0.85,1.24,1.26,1.26,1.39,0.5,0.5,0.5,0.5,0.6,0.6,0.63,0.8,6.5,6.07,1.96,2.05,2.11,2.12,2.13,2.14,2.26,2.27
64,Madhya Pradesh,Sheopur,0.49,0.68,0.57,0.9,,,0.87,,,1.82,2.67,1.54,1.55,,,6.5,4.72,4.72,4.72,,,,
65,Madhya Pradesh,Barwani,0.25,0.58,0.63,0.82,,,0.68,,,1.67,2.56,1.46,6.38,5.63,,1,1.6,1.6,1.6,,,,
66,Telangana,Wanaparthy,,,,,,,,,,,,,,,,,2.47,2.47,4.53,5.36,6.33,3.87,4.38
67,Telangana,Adilabad,0.89,0.79,0.7,1.32,0.98,1.27,1.25,2.4,2.32,0.91,1.4,1.15,1,2.39,1.19,1.39,3.91,4.79,4.98,5.5,6.29,3.16,3.95
68,Andhra Pradesh,Visakhapatanam,2.34,1.81,1.45,2.17,3.08,2.59,3.26,1.33,2.12,2.86,3.39,2.49,2,2.92,3.6,1.57,1.79,1.25,1.45,1.53,1.27,2.02,6.29
69,Andhra Pradesh,Anakapalli,,,,,,,,,,,,,,,,,,,,,,,6.25
70,Andhra Pradesh,Parvathipuram manyam,,,,,,,,,,,,,,,,,,,,,,,6.21
71,Telangana,Rangareddi,2.03,2.31,1.84,2.55,2.69,2.79,3.07,3,3.52,3.57,3.1,2.52,2,3.49,3.6,2.78,4.89,5,5.33,5.77,6.2,3.62,3.98
72,Telangana,Narayanapet,,,,,,,,,,,,,,,,,,,4.3,5.33,6.15,3.51,4.15
73,Andhra Pradesh,East godavari,2.49,2.66,1.81,3.28,3.35,3.44,3.9,2,3.94,4.36,3.81,4.1,,4.79,1.78,5.4,5.06,4.91,3.74,3.57,3.8,2.87,6.15
74,Andhra Pradesh,Kakinada,,,,,,,,,,,,,,,,,,,,,,,6.12
75,Madhya Pradesh,Jabalpur,0.47,0.89,1.02,1.2,,,1.45,,,2.03,1.92,2.28,2.54,1.34,,6.11,6.11,6.11,6.11,,,,
76,Telangana,Yadadri,,,,,,,,,,,,,,,,,2.55,4.42,4.3,5.39,6.11,3.86,4.17
77,Telangana,Mulugu,,,,,,,,,,,,,,,,,,,5.2,6.11,6.01,4.72,4.62
78,Telangana,Komaram bheem asifabad,,,,,,,,,,,,,,,,,3.47,4.44,5.4,5.69,6.11,3.96,4.26
79,Karnataka,Davangere,0.67,0.66,0.6,0.46,0.94,1.55,0.97,0.61,1.54,3.78,1.71,2.57,1.54,2.06,2.05,1.54,6.1,1.93,1.24,1.71,1.69,1.36,1.4
80,Andhra Pradesh,Palnadu,,,,,,,,,,,,,,,,,,,,,,,6.09
81,Telangana,Nizamabad,2.12,2.4,1.91,2.63,2.83,2.87,3.15,3.5,3.66,3.67,3.07,2.83,3,3.94,3.69,2.77,4.54,5.4,5.61,5.7,6.09,4.58,4.81
82,Telangana,Vikarabad,,,,,,,,,,,,,,,,,4.41,4.42,4.3,5.36,6.08,3.41,4.24
