state,district,year,moong_kharif_yield_tonne_per_hectare
,,2018 - 2019,0.7
,,2019 - 2020,0.64
,,2020 - 2021,0.62
,,2021 - 2022,0.72
,,2022 - 2023,0.67
,Gir somnath,2014 - 2015,0.49
,,2015 - 2016,0.5
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.34
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.45
,,2022 - 2023,0.59
,Jamnagar,2000 - 2001,0.45
,,2001 - 2002,0.63
,,2002 - 2003,0.3
,,2003 - 2004,0.57
,,2004 - 2005,0.42
,,2005 - 2006,0.62
,,2006 - 2007,0.32
,,2007 - 2008,0.57
,,2008 - 2009,0.45
,,2009 - 2010,0.39
,,2010 - 2011,0.46
,,2011 - 2012,0.42
,,2012 - 2013,0.45
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,1.02
,,2018 - 2019,0.77
,,2019 - 2020,0.79
,,2020 - 2021,0.26
,,2021 - 2022,0.35
,,2022 - 2023,1.04
,Junagadh,2000 - 2001,0.63
,,2001 - 2002,0.48
,,2002 - 2003,0.3
,,2003 - 2004,0.59
,,2004 - 2005,0.42
,,2005 - 2006,0.6
,,2006 - 2007,0.34
,,2007 - 2008,0.56
,,2008 - 2009,0.43
,,2009 - 2010,0.38
,,2010 - 2011,0.45
,,2011 - 2012,0.42
,,2012 - 2013,0.42
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Kachchh,2000 - 2001,0.17
,,2001 - 2002,0.34
,,2002 - 2003,0.12
,,2003 - 2004,0.53
,,2004 - 2005,0.33
,,2005 - 2006,0.52
,,2006 - 2007,0.47
,,2007 - 2008,0.5
,,2008 - 2009,0.41
,,2009 - 2010,0.41
,,2010 - 2011,0.48
,,2011 - 2012,0.38
,,2012 - 2013,0.33
,,2013 - 2014,0.47
,,2014 - 2015,0.41
,,2015 - 2016,0.49
,,2016 - 2017,0.4
,,2017 - 2018,0.55
,,2018 - 2019,0.14
,,2019 - 2020,0.64
,,2020 - 2021,0.37
,,2021 - 2022,0.39
,,2022 - 2023,0.55
,Kheda,2000 - 2001,0.29
,,2001 - 2002,0.44
,,2002 - 2003,0.3
,,2003 - 2004,0.6
,,2004 - 2005,0.43
,,2005 - 2006,0.64
,,2006 - 2007,0.36
,,2007 - 2008,0.53
,,2008 - 2009,0.38
,,2009 - 2010,0.38
,,2010 - 2011,0.5
,,2011 - 2012,0.38
,,2012 - 2013,0.38
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Mahesana,2000 - 2001,0.38
,,2001 - 2002,0.59
,,2002 - 2003,0.34
,,2003 - 2004,0.49
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.2
,,2007 - 2008,0.55
,,2008 - 2009,0.52
,,2009 - 2010,0.41
,,2010 - 2011,0.47
,,2011 - 2012,0.46
,,2012 - 2013,0.43
,,2013 - 2014,0.37
,,2014 - 2015,0.36
,,2015 - 2016,0.4
,,2016 - 2017,0.36
,,2017 - 2018,0.57
,,2018 - 2019,0.36
,,2019 - 2020,0.39
,,2020 - 2021,0.41
,,2021 - 2022,0.38
,,2022 - 2023,0.59
,Mahisagar,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.61
,,2020 - 2021,0.41
,,2021 - 2022,0.45
,,2022 - 2023,0.58
,Morbi,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Narmada,2003 - 2004,0.6
,,2004 - 2005,0.4
,,2005 - 2006,0.6
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2009 - 2010,0.43
,,2010 - 2011,0.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.5
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,1.01
,,2020 - 2021,0.41
,,2021 - 2022,0.45
,,2022 - 2023,0.58
,Navsari,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.33
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.55
,,2014 - 2015,0.45
,,2015 - 2016,
,,2016 - 2017,0.4
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panch mahals,2000 - 2001,0.29
,,2001 - 2002,0.44
,,2002 - 2003,0.33
,,2003 - 2004,0.54
,,2004 - 2005,0.38
,,2005 - 2006,0.58
,,2006 - 2007,0.36
,,2007 - 2008,0.55
,,2008 - 2009,0.45
,,2009 - 2010,0.39
,,2010 - 2011,0.44
,,2011 - 2012,0.5
,,2012 - 2013,0.46
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.46
,,2017 - 2018,0.56
,,2018 - 2019,0.34
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Patan,2003 - 2004,0.59
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.23
,,2007 - 2008,0.51
,,2008 - 2009,0.45
,,2009 - 2010,0.2
,,2010 - 2011,0.48
,,2011 - 2012,0.36
,,2012 - 2013,0.45
,,2013 - 2014,0.57
,,2014 - 2015,0.34
,,2015 - 2016,0.36
,,2016 - 2017,0.46
,,2017 - 2018,0.42
,,2018 - 2019,0.46
,,2019 - 2020,0.38
,,2020 - 2021,0.15
,,2021 - 2022,0.42
,,2022 - 2023,0.54
,Porbandar,2003 - 2004,0.64
,,2004 - 2005,0.4
,,2005 - 2006,0.63
,,2006 - 2007,0.38
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.44
,,2012 - 2013,0.44
,,2013 - 2014,0.53
,,2014 - 2015,0.98
,,2015 - 2016,0.75
,,2016 - 2017,0.7
,,2017 - 2018,0.86
,,2018 - 2019,0.33
,,2019 - 2020,0.63
,,2020 - 2021,0.42
,,2021 - 2022,0.44
,,2022 - 2023,0.6
,Rajkot,2000 - 2001,0.43
,,2001 - 2002,0.66
,,2002 - 2003,0.13
,,2003 - 2004,0.77
,,2004 - 2005,0.59
,,2005 - 2006,0.58
,,2006 - 2007,0.38
,,2007 - 2008,0.61
,,2008 - 2009,0.43
,,2009 - 2010,0.31
,,2010 - 2011,0.39
,,2011 - 2012,0.6
,,2012 - 2013,0.13
,,2013 - 2014,0.74
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Sabar kantha,2000 - 2001,0.38
,,2001 - 2002,0.29
,,2002 - 2003,0.39
,,2003 - 2004,0.51
,,2004 - 2005,0.41
,,2005 - 2006,0.45
,,2006 - 2007,0.2
,,2007 - 2008,0.32
,,2008 - 2009,0.33
,,2009 - 2010,0.37
,,2010 - 2011,0.52
,,2011 - 2012,0.38
,,2012 - 2013,0.74
,,2013 - 2014,0.39
,,2014 - 2015,0.61
,,2015 - 2016,0.7
,,2016 - 2017,0.6
,,2017 - 2018,0.67
,,2018 - 2019,0.95
,,2019 - 2020,0.54
,,2020 - 2021,1.0
,,2021 - 2022,1.37
,,2022 - 2023,1.19
,Surat,2000 - 2001,0.27
,,2001 - 2002,0.47
,,2002 - 2003,0.3
,,2003 - 2004,0.6
,,2004 - 2005,0.43
,,2005 - 2006,0.57
,,2006 - 2007,0.36
,,2007 - 2008,0.54
,,2008 - 2009,0.45
,,2009 - 2010,0.38
,,2010 - 2011,0.43
,,2011 - 2012,0.44
,,2012 - 2013,0.4
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Surendranagar,2000 - 2001,0.47
,,2001 - 2002,0.77
,,2002 - 2003,0.31
,,2003 - 2004,0.58
,,2004 - 2005,0.4
,,2005 - 2006,0.6
,,2006 - 2007,0.34
,,2007 - 2008,0.59
,,2008 - 2009,0.41
,,2009 - 2010,0.47
,,2010 - 2011,0.41
,,2011 - 2012,0.67
,,2012 - 2013,0.23
,,2013 - 2014,0.64
,,2014 - 2015,0.57
,,2015 - 2016,0.64
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.36
,,2019 - 2020,0.92
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Tapi,2008 - 2009,0.41
,,2009 - 2010,0.38
,,2010 - 2011,0.42
,,2011 - 2012,0.43
,,2012 - 2013,0.46
,,2013 - 2014,0.53
,,2014 - 2015,0.79
,,2015 - 2016,0.49
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.33
,,2019 - 2020,0.64
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.59
,Vadodara,2000 - 2001,0.29
,,2001 - 2002,0.43
,,2002 - 2003,0.31
,,2003 - 2004,0.57
,,2004 - 2005,0.42
,,2005 - 2006,0.6
,,2006 - 2007,0.35
,,2007 - 2008,0.58
,,2008 - 2009,0.44
,,2009 - 2010,0.4
,,2010 - 2011,0.44
,,2011 - 2012,0.43
,,2012 - 2013,0.41
,,2013 - 2014,0.53
,,2014 - 2015,0.49
,,2015 - 2016,0.51
,,2016 - 2017,0.45
,,2017 - 2018,0.57
,,2018 - 2019,0.34
,,2019 - 2020,0.67
,,2020 - 2021,0.41
,,2021 - 2022,0.45
,,2022 - 2023,0.59
,Valsad,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,0.33
,,2015 - 2016,0.55
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Haryana,Ambala,2001 - 2002,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Bhiwani,2000 - 2001,0.13
,,2001 - 2002,0.13
,,2002 - 2003,0.06
,,2003 - 2004,0.07
,,2004 - 2005,0.35
,,2005 - 2006,0.42
,,2006 - 2007,0.44
,,2007 - 2008,0.41
,,2008 - 2009,0.44
,,2009 - 2010,0.43
,,2010 - 2011,0.44
,,2011 - 2012,0.47
,,2012 - 2013,0.48
,,2013 - 2014,0.57
,,2014 - 2015,0.47
,,2015 - 2016,0.55
,,2016 - 2017,0.14
,,2017 - 2018,0.45
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2021 - 2022,0.0
,,2022 - 2023,0.36
,Charki dadri,2017 - 2018,0.75
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.98
,Faridabad,2000 - 2001,0.0
,,2001 - 2002,0.26
,,2002 - 2003,0.0
,,2003 - 2004,0.31
,,2004 - 2005,0.38
,,2005 - 2006,0.48
,,2006 - 2007,0.49
,,2007 - 2008,0.5
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.71
,,2011 - 2012,0.0
,,2018 - 2019,0.6
,,2019 - 2020,0.57
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Fatehabad,2000 - 2001,0.29
,,2001 - 2002,0.28
,,2002 - 2003,0.3
,,2003 - 2004,0.15
,,2004 - 2005,0.48
,,2005 - 2006,0.55
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.59
,,2009 - 2010,0.55
,,2010 - 2011,0.53
,,2011 - 2012,0.57
,,2012 - 2013,0.55
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.6
,,2016 - 2017,1.0
,,2017 - 2018,0.58
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.65
,Gurgaon,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.19
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.5
,,2018 - 2019,0.67
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.4
,Hisar,2000 - 2001,0.3
,,2001 - 2002,0.26
,,2002 - 2003,0.25
,,2003 - 2004,0.2
,,2004 - 2005,0.4
,,2005 - 2006,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.43
,,2008 - 2009,0.45
,,2009 - 2010,0.43
,,2010 - 2011,0.46
,,2011 - 2012,0.47
,,2012 - 2013,0.47
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.54
,,2016 - 2017,0.54
,,2017 - 2018,0.45
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.61
,Jhajjar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.4
,,2017 - 2018,0.0
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.37
,,2021 - 2022,0.37
,,2022 - 2023,0.5
,Jind,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.51
,,2006 - 2007,1.35
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.44
,,2018 - 2019,0.5
,,2019 - 2020,0.57
,,2020 - 2021,0.57
,,2021 - 2022,0.5
,,2022 - 2023,0.4
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,1.39
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Karnal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,Kurukshetra,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.42
,,2006 - 2007,0.38
,,2007 - 2008,0.0
,,2008 - 2009,0.69
,,2009 - 2010,0.42
,,2011 - 2012,0.57
,,2012 - 2013,0.55
,,2013 - 2014,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.6
,,2017 - 2018,0.66
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Mahendragarh,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.3
,,2004 - 2005,0.51
,,2005 - 2006,1.03
,,2006 - 2007,0.0
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.42
,,2011 - 2012,0.47
,,2013 - 2014,0.0
,,2015 - 2016,0.6
,,2016 - 2017,1.0
,,2017 - 2018,0.47
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.55
,Mewat,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.17
,,2011 - 2012,0.0
,,2012 - 2013,0.28
,,2017 - 2018,0.0
,,2018 - 2019,0.4
,,2019 - 2020,0.42
,,2020 - 2021,0.36
,,2021 - 2022,0.4
,,2022 - 2023,1.0
,Palwal,2008 - 2009,0.4
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.4
,,2012 - 2013,0.48
,,2013 - 2014,0.33
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2006 - 2007,0.0
,,2012 - 2013,0.28
,,2021 - 2022,0.0
,,2022 - 2023,1.0
,Panipat,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2014 - 2015,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.52
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2019 - 2020,0.53
,,2020 - 2021,0.57
,,2021 - 2022,0.5
,,2022 - 2023,0.23
,Rohtak,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.43
,,2017 - 2018,0.0
,,2020 - 2021,0.67
,,2021 - 2022,0.7
,Sirsa,2000 - 2001,0.22
,,2001 - 2002,0.25
,,2002 - 2003,0.27
,,2003 - 2004,0.28
,,2004 - 2005,0.41
,,2005 - 2006,0.44
,,2006 - 2007,0.48
,,2007 - 2008,0.48
,,2008 - 2009,0.47
,,2009 - 2010,0.55
,,2010 - 2011,0.54
,,2011 - 2012,0.53
,,2012 - 2013,0.55
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,0.64
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.8
,Sonipat,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.4
,,2007 - 2008,0.38
,,2008 - 2009,0.0
,,2009 - 2010,0.87
,,2010 - 2011,0.43
,,2011 - 2012,0.0
,,2012 - 2013,0.05
,,2019 - 2020,0.6
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Yamunanagar,2000 - 2001,0.0
,,2006 - 2007,0.0
,,2012 - 2013,0.55
,,2017 - 2018,0.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,0.5
Himachal Pradesh,Bilaspur,2000 - 2001,0.22
,,2001 - 2002,0.5
,,2002 - 2003,0.0
,,2005 - 2006,0.54
,,2006 - 2007,0.57
,,2007 - 2008,0.5
,,2008 - 2009,0.1
,,2009 - 2010,0.19
,,2010 - 2011,0.49
,,2011 - 2012,0.75
,,2012 - 2013,0.18
,,2013 - 2014,0.52
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.14
,,2017 - 2018,0.75
,,2018 - 2019,0.69
,,2019 - 2020,0.8
,,2021 - 2022,1.0
,Chamba,2000 - 2001,0.28
,,2001 - 2002,0.5
,,2002 - 2003,0.36
,,2005 - 2006,0.2
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.38
,,2009 - 2010,0.44
,,2010 - 2011,0.37
,,2011 - 2012,0.43
,,2012 - 2013,0.48
,,2013 - 2014,0.51
,,2014 - 2015,0.52
,,2015 - 2016,0.46
,,2016 - 2017,0.35
,,2017 - 2018,0.59
,,2018 - 2019,0.7
,,2019 - 2020,0.82
,,2020 - 2021,0.49
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Hamirpur,2006 - 2007,0.5
,Kangra,2002 - 2003,0.24
,,2005 - 2006,0.38
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2019 - 2020,0.49
,Kullu,2000 - 2001,0.29
,,2001 - 2002,0.39
,,2002 - 2003,0.29
,,2005 - 2006,0.4
,,2006 - 2007,0.35
,,2007 - 2008,0.4
,,2008 - 2009,0.33
,,2009 - 2010,0.44
,,2010 - 2011,0.71
,,2011 - 2012,0.11
,,2012 - 2013,0.42
,,2013 - 2014,0.48
,,2014 - 2015,0.52
,,2015 - 2016,0.47
,,2016 - 2017,0.33
,,2017 - 2018,0.76
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,1.0
,Mandi,2000 - 2001,0.29
,,2001 - 2002,0.27
,,2002 - 2003,0.43
,,2005 - 2006,0.71
,,2006 - 2007,0.5
,,2007 - 2008,0.45
,,2008 - 2009,0.48
,,2009 - 2010,0.53
,,2010 - 2011,0.56
,,2011 - 2012,0.46
,,2012 - 2013,0.5
,,2013 - 2014,0.53
,,2014 - 2015,0.71
,,2015 - 2016,0.53
,,2016 - 2017,0.43
,,2017 - 2018,0.76
,,2018 - 2019,0.73
,,2019 - 2020,0.76
,,2020 - 2021,0.5
,,2021 - 2022,0.57
,,2022 - 2023,0.57
,Shimla,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2005 - 2006,0.36
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,,2008 - 2009,0.52
,,2009 - 2010,0.57
,,2010 - 2011,0.5
,,2011 - 2012,0.66
,,2012 - 2013,0.59
,,2013 - 2014,0.42
,,2014 - 2015,0.54
,,2015 - 2016,0.5
,,2016 - 2017,0.4
,,2017 - 2018,0.75
,,2018 - 2019,0.71
,,2019 - 2020,0.72
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.51
,Sirmaur,2000 - 2001,0.33
,,2005 - 2006,0.33
,,2020 - 2021,1.0
,,2022 - 2023,0.5
,Solan,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2005 - 2006,0.33
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.39
,,2012 - 2013,0.25
,,2013 - 2014,0.49
,,2014 - 2015,0.55
,,2015 - 2016,0.6
,,2016 - 2017,0.0
,,2017 - 2018,0.8
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,Una,2000 - 2001,0.28
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2005 - 2006,0.36
,,2006 - 2007,0.5
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,0.4
,,2010 - 2011,0.41
,,2011 - 2012,0.55
,,2012 - 2013,0.42
,,2013 - 2014,0.44
,,2014 - 2015,0.06
,,2015 - 2016,0.44
,,2016 - 2017,0.33
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.8
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.46
Jammu and Kashmir,Anantnag,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2014 - 2015,0.12
,,2015 - 2016,0.52
,,2016 - 2017,0.51
,,2017 - 2018,0.52
,,2018 - 2019,0.52
,,2019 - 2020,0.58
,,2020 - 2021,0.58
,Badgam,2001 - 2002,0.57
,,2002 - 2003,0.57
,,2003 - 2004,0.57
,,2004 - 2005,0.58
,,2005 - 2006,0.57
,,2006 - 2007,0.57
,,2007 - 2008,0.57
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.57
,,2013 - 2014,
,,2014 - 2015,0.01
,,2015 - 2016,0.58
,,2016 - 2017,0.58
,,2017 - 2018,0.58
,,2018 - 2019,0.57
,,2019 - 2020,0.57
,,2020 - 2021,0.57
,Bandipora,2007 - 2008,0.36
,,2009 - 2010,0.36
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2015 - 2016,0.36
,,2016 - 2017,0.36
,,2017 - 2018,0.36
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.36
,Baramulla,2001 - 2002,0.36
,,2002 - 2003,0.36
,,2003 - 2004,0.36
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2009 - 2010,0.36
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2014 - 2015,0.36
,,2015 - 2016,0.36
,,2016 - 2017,0.36
,,2017 - 2018,0.36
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.36
,Doda,2001 - 2002,0.42
,,2005 - 2006,0.46
,,2006 - 2007,0.45
,,2010 - 2011,0.3
,,2016 - 2017,0.5
,Ganderbal,2007 - 2008,0.49
,,2010 - 2011,0.58
,,2011 - 2012,0.58
,,2012 - 2013,0.58
,,2014 - 2015,0.58
,Jammu,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
